ORF_ID,Resistance_Mechanism,ID,genome
PON31054.1 hypothetical protein TGAM01_v200474 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|821|hsp_num:0,GCA_001481775
PON31063.1 D-isomer specific 2-hydroxyacid dehydrogenase [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|165|hsp_num:0,GCA_001481775
PON31094.1 hypothetical protein TGAM01_v200514 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_001481775
PON20077.1 3-oxoacyl-(acyl-carrier protein) reductase [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2344|hsp_num:0,GCA_001481775
PON20746.1 general stress protein [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2341|hsp_num:0,GCA_001481775
PON21130.1 hypothetical protein TGAM01_v209978 [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2024|hsp_num:0,GCA_001481775
PON21525.1 hypothetical protein TGAM01_v209556 [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|1991|hsp_num:0,GCA_001481775
PON21777.1 eukaryotic translation initiation factor 2 subunit gamma [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2027|hsp_num:0,GCA_001481775
PON21951.1 hypothetical protein TGAM01_v209207 [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2341|hsp_num:0,GCA_001481775
PON22430.1 DNA topoisomerase II [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2565|hsp_num:0,GCA_001481775
PON22821.1 3-oxoacyl-(acyl-carrier protein) reductase [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2341|hsp_num:0,GCA_001481775
PON24240.1 catalase/peroxidase HPI [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2008|hsp_num:0,GCA_001481775
PON24424.1 hypothetical protein TGAM01_v206756 [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2341|hsp_num:0,GCA_001481775
PON24523.1 KR domain-containing protein [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON24597.1 hypothetical protein TGAM01_v206527 [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2320|hsp_num:0,GCA_001481775
PON25454.1 isochorismatase hydrolase [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2000|hsp_num:0,GCA_001481775
PON25697.1 eukaryotic translation initiation factor 2 subunit alpha [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2311|hsp_num:0,GCA_001481775
PON25776.1 hypothetical protein TGAM01_v205213 [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2000|hsp_num:0,GCA_001481775
PON25850.1 short chain dehydrogenase [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2344|hsp_num:0,GCA_001481775
PON26613.1 hypothetical protein TGAM01_v204623 [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2037|hsp_num:0,GCA_001481775
PON27091.1 30S ribosomal protein S12 [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2009|hsp_num:0,GCA_001481775
"PON27387.1 2,4-dienoyl-CoA reductase (NADPH2) [Trichoderma gamsii]",antibiotic target alteration,gnl|BL_ORD_ID|2344|hsp_num:0,GCA_001481775
PON27715.1 catalase-peroxidase 2 [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2008|hsp_num:0,GCA_001481775
PON28634.1 short chain dehydrogenase [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2341|hsp_num:0,GCA_001481775
PON29921.1 NAD(P)H dehydrogenase [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2010|hsp_num:0,GCA_001481775
PON30767.1 hypothetical protein TGAM01_v200187 [Trichoderma gamsii],antibiotic target alteration,gnl|BL_ORD_ID|2037|hsp_num:0,GCA_001481775
PON20600.1 hypothetical protein TGAM01_v210558 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON20661.1 alcohol dehydrogenase zinc-binding domain-containing protein [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON21061.1 TOXD [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON21480.1 hypothetical protein TGAM01_v209643 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON21670.1 hypothetical protein TGAM01_v209408 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
"PON21677.1 TOXD, partial [Trichoderma gamsii]",antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON22181.1 NADPH2:quinone reductase [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON22308.1 hypothetical protein TGAM01_v208791 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
"PON22587.1 D-xylulose reductase A, partial [Trichoderma gamsii]",antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON22640.1 alcohol dehydrogenase [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON22940.1 hypothetical protein TGAM01_v208195 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON23093.1 menadione-induced gene-6 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON23258.1 hypothetical protein TGAM01_v207785 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON23356.1 zinc-binding dehydrogenase [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON23383.1 hypothetical protein TGAM01_v207617 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON23464.1 alcohol dehydrogenase 1 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON24244.1 hypothetical protein TGAM01_v206932 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON24407.1 hypothetical protein TGAM01_v206739 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON24488.1 hypothetical protein TGAM01_v206820 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON24719.1 acetyltransferase [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON24979.1 hypothetical protein TGAM01_v206060 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON25292.1 zinc-binding dehydrogenase [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON25620.1 hypothetical protein TGAM01_v205505 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON26481.1 hypothetical protein TGAM01_v204491 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON26615.1 lovastatin nonaketide synthase [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON26725.1 hypothetical protein TGAM01_v204225 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON26972.1 menadione-induced gene-6 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON27029.1 alcohol dehydrogenase [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON27110.1 hypothetical protein TGAM01_v204059 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON27128.1 hypothetical protein TGAM01_v204077 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON27215.1 hypothetical protein TGAM01_v204164 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON28512.1 zinc-binding dehydrogenase [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON28848.1 hypothetical protein TGAM01_v201956 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON28957.1 beta-ketoacyl synthase domain-containing protein [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON28967.1 alcohol dehydrogenase [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON28978.1 alcohol dehydrogenase [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON29002.1 hypothetical protein TGAM01_v202110 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON29122.1 lovastatin nonaketide synthase [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON29179.1 hypothetical protein TGAM01_v202287 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON29685.1 hypothetical protein TGAM01_v201051 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON29896.1 alcohol dehydrogenase [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON29922.1 hypothetical protein TGAM01_v201288 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON30083.1 hypothetical protein TGAM01_v201450 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON30755.1 NADPH2:quinone reductase [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
PON31065.1 hypothetical protein TGAM01_v200485 [Trichoderma gamsii],antibiotic efflux,gnl|BL_ORD_ID|1068|hsp_num:0,GCA_001481775
"OPB35929.1 DNA-directed RNA polymerase, beta subunit [Trichoderma guizhouense]",antibiotic target alteration; antibiotic target replacement,gnl|BL_ORD_ID|2406|hsp_num:0,GCA_002022785
"OPB35935.1 Translation factor GUF1, mitochondrial [Trichoderma guizhouense]",antibiotic target protection,gnl|BL_ORD_ID|1911|hsp_num:0,GCA_002022785
OPB35993.1 2-hydroxyacid dehydrogenase [Trichoderma guizhouense],antibiotic target alteration,gnl|BL_ORD_ID|1257|hsp_num:0,GCA_002022785
OPB36051.1 ABC multidrug transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,GCA_002022785
OPB36063.1 hypothetical protein A0O28_0112290 [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|751|hsp_num:0,GCA_002022785
OPB36070.1 MFS transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_002022785
OPB36079.1 monooxygenase [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|751|hsp_num:0,GCA_002022785
OPB36084.1 hypothetical protein A0O28_0112500 [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|751|hsp_num:0,GCA_002022785
OPB36087.1 hypothetical protein A0O28_0108610 [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|1977|hsp_num:0,GCA_002022785
OPB36112.1 hypothetical protein A0O28_0108860 [Trichoderma guizhouense],antibiotic target protection,gnl|BL_ORD_ID|2556|hsp_num:0,GCA_002022785
OPB36143.1 MFS transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2553|hsp_num:0,GCA_002022785
OPB36168.1 hypothetical protein A0O28_0109430 [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_002022785
OPB36180.1 MFS hexose transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1103|hsp_num:0,GCA_002022785
OPB36217.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_002022785
OPB36229.1 MFS maltose permease MalP [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2342|hsp_num:0,GCA_002022785
OPB36273.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_002022785
OPB36277.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,GCA_002022785
OPB36334.1 MFS toxin efflux pump [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,GCA_002022785
OPB36359.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1352|hsp_num:0,GCA_002022785
OPB36422.1 PDR-type ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_002022785
OPB36429.1 Flavoprotein monooxygenase [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|2302|hsp_num:0,GCA_002022785
OPB36436.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2386|hsp_num:0,GCA_002022785
OPB36448.1 B-glycosyltransferase [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|1729|hsp_num:0,GCA_002022785
"OPB36449.1 Iron-sulfur clusters transporter ATM1, mitochondrial [Trichoderma guizhouense]",antibiotic efflux,gnl|BL_ORD_ID|1141|hsp_num:0,GCA_002022785
OPB36461.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_002022785
OPB36467.1 MFS general substrate transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2342|hsp_num:0,GCA_002022785
OPB36527.1 hypothetical protein A0O28_0056060 [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|1975|hsp_num:0,GCA_002022785
OPB36543.1 flavoprotein monooxygenase [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|2302|hsp_num:0,GCA_002022785
OPB36545.1 MFS permease [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|820|hsp_num:0,GCA_002022785
OPB36549.1 hypothetical protein A0O28_0056280 [Trichoderma guizhouense],antibiotic target alteration,gnl|BL_ORD_ID|2145|hsp_num:0,GCA_002022785
"OPB36558.1 histidine kinase PHY1p, phytochrome-like [Trichoderma guizhouense]",antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,GCA_002022785
OPB36559.1 MRP-type ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2278|hsp_num:0,GCA_002022785
OPB36591.1 PDR-type ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_002022785
OPB36629.1 PDR-type ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_002022785
OPB36660.1 FAD binding domain protein [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|751|hsp_num:0,GCA_002022785
OPB36775.1 MRP-type ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1964|hsp_num:0,GCA_002022785
OPB36795.1 GT1 glycosyltransferase [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|120|hsp_num:0,GCA_002022785
OPB36796.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1981|hsp_num:0,GCA_002022785
OPB36801.1 monooxygenase [Trichoderma guizhouense],antibiotic target protection,gnl|BL_ORD_ID|2563|hsp_num:0,GCA_002022785
OPB36820.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_002022785
OPB36826.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_002022785
OPB36898.1 mitochondrial initiation factor 2 (IF-2) [Trichoderma guizhouense],antibiotic target protection,gnl|BL_ORD_ID|1107|hsp_num:0,GCA_002022785
OPB36925.1 acetyltransferase [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|1528|hsp_num:0,GCA_002022785
OPB37016.1 Carbamoyl-phosphate synthase arginine-specific large chain [Trichoderma guizhouense],antibiotic target alteration,gnl|BL_ORD_ID|2097|hsp_num:0,GCA_002022785
OPB37135.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1065|hsp_num:0,GCA_002022785
OPB37144.1 ribosomal protein S2 and tRNA/rRNA methyltransferase [Trichoderma guizhouense],antibiotic target alteration,gnl|BL_ORD_ID|154|hsp_num:0,GCA_002022785
OPB37175.1 flavoprotein monooxygenase [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|2310|hsp_num:0,GCA_002022785
OPB37216.1 MRP-type ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2326|hsp_num:0,GCA_002022785
OPB37246.1 methionine tRNA synthetase (MetRS) [Trichoderma guizhouense],antibiotic target alteration,gnl|BL_ORD_ID|2130|hsp_num:0,GCA_002022785
OPB37318.1 hypothetical protein A0O28_0042300 [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|2298|hsp_num:0,GCA_002022785
OPB37356.1 MSF permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_002022785
OPB37390.1 MRP-type ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,GCA_002022785
OPB37391.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1980|hsp_num:0,GCA_002022785
OPB37394.1 putative formate dehydrogenase [Trichoderma guizhouense],antibiotic target alteration,gnl|BL_ORD_ID|165|hsp_num:0,GCA_002022785
OPB37441.1 Zn2Cys6 transcriptional regulator [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|2483|hsp_num:0,GCA_002022785
OPB37612.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2246|hsp_num:0,GCA_002022785
OPB37665.1 MFS tartrate transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_002022785
OPB37678.1 MFS siderophore iron transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,GCA_002022785
OPB37711.1 hypothetical protein A0O28_0046240 [Trichoderma guizhouense],antibiotic target protection,gnl|BL_ORD_ID|2560|hsp_num:0,GCA_002022785
OPB37718.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_002022785
OPB37726.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2244|hsp_num:0,GCA_002022785
OPB37773.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_002022785
OPB37811.1 LdhA Lactate dehydrogenase and related dehydrogenase [Trichoderma guizhouense],antibiotic target alteration,gnl|BL_ORD_ID|165|hsp_num:0,GCA_002022785
OPB37820.1 hypothetical protein A0O28_0101040 [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|821|hsp_num:0,GCA_002022785
OPB37833.1 histidine kinase HHK6 [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,GCA_002022785
OPB37870.1 UDP-glucose:sterol b-glucosyltransferase [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|120|hsp_num:0,GCA_002022785
OPB37874.1 half-sized ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2328|hsp_num:0,GCA_002022785
OPB37914.1 flavoprotein monooxygenase [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|733|hsp_num:0,GCA_002022785
"OPB37917.1 Elongation factor G, mitochondrial [Trichoderma guizhouense]",antibiotic target alteration,gnl|BL_ORD_ID|2125|hsp_num:0,GCA_002022785
OPB37921.1 half-sized ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_002022785
OPB37947.1 MFS efflux pump [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2244|hsp_num:0,GCA_002022785
OPB37949.1 salicylate hydroxylase [Trichoderma guizhouense],antibiotic target protection,gnl|BL_ORD_ID|2560|hsp_num:0,GCA_002022785
OPB37977.1 translation factor eIF2 [Trichoderma guizhouense],antibiotic target protection,gnl|BL_ORD_ID|1222|hsp_num:0,GCA_002022785
OPB37995.1 MFS multidrug transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2342|hsp_num:0,GCA_002022785
OPB38031.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1948|hsp_num:0,GCA_002022785
OPB38051.1 MFS maltose permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1531|hsp_num:0,GCA_002022785
OPB38077.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_002022785
OPB38100.1 Elongation factor 2 [Trichoderma guizhouense],antibiotic target protection,gnl|BL_ORD_ID|1928|hsp_num:0,GCA_002022785
OPB38109.1 D-3-phosphoglycerate dehydrogenase [Trichoderma guizhouense],antibiotic target alteration,gnl|BL_ORD_ID|1630|hsp_num:0,GCA_002022785
OPB38116.1 ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,GCA_002022785
OPB38132.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_002022785
OPB38242.1 hypothetical protein A0O28_0013460 [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,GCA_002022785
OPB38244.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1531|hsp_num:0,GCA_002022785
OPB38246.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|151|hsp_num:0,GCA_002022785
OPB38336.1 MSF permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1352|hsp_num:0,GCA_002022785
OPB38341.1 hypothetical protein A0O28_0014460 [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2283|hsp_num:0,GCA_002022785
OPB38353.1 MRP-type ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2328|hsp_num:0,GCA_002022785
OPB38356.1 hypothetical protein A0O28_0014610 [Trichoderma guizhouense],antibiotic target replacement,gnl|BL_ORD_ID|2470|hsp_num:0,GCA_002022785
OPB38373.1 ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2283|hsp_num:0,GCA_002022785
OPB38389.1 GTP-binding protein involved in protein synthesis [Trichoderma guizhouense],antibiotic target alteration,gnl|BL_ORD_ID|2125|hsp_num:0,GCA_002022785
OPB38420.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1839|hsp_num:0,GCA_002022785
OPB38492.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2342|hsp_num:0,GCA_002022785
OPB38569.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|151|hsp_num:0,GCA_002022785
OPB38596.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_002022785
OPB38602.1 MFS permease (light regulation of gametogenesis protein 6) [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2263|hsp_num:0,GCA_002022785
OPB38616.1 Inorganic phosphate transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2275|hsp_num:0,GCA_002022785
OPB38659.1 GT2 dolichyl-phosphate beta-glucosyltransferase [Trichoderma guizhouense],antibiotic target alteration,gnl|BL_ORD_ID|1983|hsp_num:0,GCA_002022785
OPB38713.1 hypothetical protein A0O28_0018190 [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|915|hsp_num:0,GCA_002022785
OPB38715.1 Elongation factor 1-alpha [Trichoderma guizhouense],antibiotic target alteration,gnl|BL_ORD_ID|2092|hsp_num:0,GCA_002022785
OPB38748.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2244|hsp_num:0,GCA_002022785
OPB38774.1 maltose permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1531|hsp_num:0,GCA_002022785
"OPB38776.1 histidine kinase class I, M27Mp [Trichoderma guizhouense]",antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,GCA_002022785
OPB38780.1 hypothetical protein A0O28_0018860 [Trichoderma guizhouense],antibiotic target alteration,gnl|BL_ORD_ID|127|hsp_num:0,GCA_002022785
OPB38867.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1531|hsp_num:0,GCA_002022785
OPB38891.1 extracellular salicylate hydroxylase/monooxygenase [Trichoderma guizhouense],antibiotic target protection,gnl|BL_ORD_ID|2559|hsp_num:0,GCA_002022785
OPB38902.1 PDR-type ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_002022785
OPB38945.1 Sensory transduction histidine kinase [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,GCA_002022785
OPB38972.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1352|hsp_num:0,GCA_002022785
OPB38975.1 MDR-type ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,GCA_002022785
"OPB39005.1 valyl-tRNA synthetase, mitochondrial precursor [Trichoderma guizhouense]",antibiotic target alteration,gnl|BL_ORD_ID|2129|hsp_num:0,GCA_002022785
OPB39066.1 MSF permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1065|hsp_num:0,GCA_002022785
OPB39135.1 hypothetical protein A0O28_0048410 [Trichoderma guizhouense],antibiotic inactivation,gnl|BL_ORD_ID|2414|hsp_num:0,GCA_002022785
OPB39137.1 MFS permease [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|2342|hsp_num:0,GCA_002022785
OPB39175.1 MRP-type ABC transporter [Trichoderma guizhouense],antibiotic efflux,gnl|BL_ORD_ID|1535|hsp_num:0,GCA_002022785
