Gene	interpro	PANTHER	MobiDBLite	Pfam	Phobius	TMHMM	GO	PRINTS	Gene3D	SUPERFAMILY	CDD	SMART	ProSitePatterns	ProSiteProfiles	SignalP_GRAM_POSITIVE	PATHWAY	PIRSF	Hamap	Coils	SFLD	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	ProDom
augustus_masked-NODE_73_length_100376_cov_46.315006-processed-gene-0.80-mRNA-1	IPR015421	PTHR42699	mobidb-lite	PF01053	NA	NA	GO:0003824;GO:0030170	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10;G3DSA:3.10.180.10	SSF53383	NA	NA	PS00868	NA	NA	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_95_length_87000_cov_47.419532-snap-gene-0.3-mRNA-1	IPR013057	PTHR22950;PTHR22950:SF20	NA	PF01490	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_377_length_7794_cov_45.247554-augustus-gene-0.4-mRNA-1	IPR004152	PTHR13856:SF101;PTHR13856	mobidb-lite	PF03127	NA	NA	GO:0005622;GO:0006886	NA	G3DSA:1.25.40.90	SSF89009;SSF48464	cd12930	NA	NA	PS50909	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_88_length_89743_cov_48.178350-processed-gene-0.140-mRNA-1	IPR014016	PTHR11070:SF7;PTHR11070	mobidb-lite	PF13361;PF00580	NA	NA	GO:0005524;GO:0016787;GO:0003677;GO:0004003	NA	G3DSA:1.10.10.160;G3DSA:1.10.486.10;G3DSA:3.40.50.300	SSF52540	NA	NA	NA	PS51198;PS51217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_10_length_227953_cov_50.657541-processed-gene-1.323-mRNA-1	IPR019775	PTHR22840	mobidb-lite	PF00400;PF04192	NA	NA	GO:0005515;GO:0006364;GO:0032040	NA	G3DSA:2.130.10.10	SSF50978;SSF50998	NA	SM00320	PS00678	PS50082;PS50294	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_237230_cov_48.894759-augustus-gene-1.16-mRNA-1	IPR027483	PTHR23086:SF8;PTHR23086	mobidb-lite	PF01504	NA	NA	GO:0016307;GO:0046488	NA	G3DSA:3.30.810.10;G3DSA:3.30.800.10	SSF56104	NA	SM00330	NA	PS51455	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_6_length_241765_cov_47.318621-protein2genome-gene-1.245-mRNA-1	IPR039751	PTHR12943:SF36;PTHR12943	mobidb-lite	PF13373;PF10302	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	G3DSA:3.10.20.90	SSF54236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_136004_cov_46.387682-snap-gene-0.305-mRNA-1	IPR040451	PTHR31983:SF9;PTHR31983	mobidb-lite	PF17652;PF03639	NA	NA	GO:0052861	NA	G3DSA:2.70.98.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_73_length_100376_cov_46.315006-augustus-gene-0.42-mRNA-1	IPR001138	PTHR38791;PTHR38791:SF7	mobidb-lite	PF00172	NA	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	SSF57701	cd00067	SM00066	PS00463	PS50048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_54_length_118209_cov_46.684169-augustus-gene-0.27-mRNA-1	IPR006035	PTHR43782;PTHR43782:SF3	NA	PF00491	NA	NA	GO:0046872;GO:0016813;GO:0004053;GO:0006525	PR00116	G3DSA:3.40.800.10	SSF52768	cd09989	NA	PS01053	PS51409	NA	KEGG: 00220+3.5.3.1|KEGG: 00330+3.5.3.1|MetaCyc: PWY-31|MetaCyc: PWY-4984|MetaCyc: PWY-6305|MetaCyc: PWY-6922|Reactome: R-HSA-70635	NA	NA	NA	NA	TIGR01229	NA	NA	NA
maker-NODE_172_length_51276_cov_47.937516-snap-gene-0.13-mRNA-1	IPR039764	PTHR12299;PTHR12299:SF17	mobidb-lite	PF09598	NA	NA	GO:0003723	NA	NA	NA	NA	SM01233	NA	NA	NA	Reactome: R-HSA-5689880	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_87_length_89869_cov_45.216454-processed-gene-0.183-mRNA-1	IPR007251	NA	mobidb-lite	PF04120	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_68_length_103608_cov_48.540389-processed-gene-0.31-mRNA-1	IPR011527	PTHR24223:SF344;PTHR24223	mobidb-lite	PF00005;PF00664	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	NA	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	SSF52540;SSF90123	cd03250;cd03244	SM00382	PS00211	PS50929;PS50893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_215_length_36654_cov_51.316834-processed-gene-0.22-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_209278_cov_48.786977-processed-gene-1.31-mRNA-1	IPR025122	NA	mobidb-lite	PF13257	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_2_length_314939_cov_49.752548-augustus-gene-0.247-mRNA-1	IPR039632	PTHR31965	mobidb-lite	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	SSF103481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_58_length_115198_cov_48.740916-snap-gene-0.111-mRNA-1	NA	NA	mobidb-lite	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_83_length_93810_cov_48.739259-augustus-gene-0.208-mRNA-1	IPR002937	PTHR10742;PTHR10742:SF353	mobidb-lite	PF01593;PF04433	NA	NA	GO:0016491;GO:0055114;GO:0005515;GO:0003677	NA	G3DSA:1.10.10.10;G3DSA:1.10.30.10;G3DSA:3.50.50.60;G3DSA:3.90.660.10	SSF46689;SSF47095;SSF54373;SSF51905	NA	NA	NA	PS50934;PS50118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_192_length_44620_cov_48.621109-processed-gene-0.81-mRNA-1	IPR007568	PTHR31465;PTHR31465:SF9	mobidb-lite	PF04479	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_215496_cov_47.709197-augustus-gene-1.88-mRNA-1	IPR036869	PTHR43888;PTHR43888:SF14	NA	PF00226	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	PR00625	G3DSA:1.10.287.110	SSF46565	cd06257	SM00271	NA	PS50076	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
maker-NODE_17_length_191130_cov_47.991796-snap-gene-0.105-mRNA-1	IPR005225	PTHR43381:SF4;PTHR43381	mobidb-lite	PF03144;PF00009	NA	NA	GO:0005525;GO:0003924	PR00315	G3DSA:3.40.50.300;G3DSA:2.40.30.10	SSF52540;SSF50447	cd01887;cd03703	NA	NA	PS51722	NA	NA	NA	NA	Coil	NA	TIGR00231	NA	NA	NA
maker-NODE_205_length_39115_cov_49.725787-snap-gene-0.65-mRNA-1	IPR039931	PTHR21456;PTHR21456:SF1	mobidb-lite	PF10358	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_127_length_65846_cov_43.895175-processed-gene-0.94-mRNA-1	IPR003140	PTHR10655:SF2;PTHR10655	NA	PF02230	NA	NA	GO:0016787	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_31_length_158924_cov_45.864217-processed-gene-0.357-mRNA-1	IPR003817	PTHR10067:SF2;PTHR10067	NA	PF02666	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	GO:0004609;GO:0008654	NA	NA	NA	NA	NA	NA	NA	NA	KEGG: 00564+4.1.1.65|MetaCyc: PWY-5669|Reactome: R-HSA-1483213	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_109_length_76433_cov_47.372671-augustus-gene-0.132-mRNA-1	IPR014908	PTHR13405	mobidb-lite	PF08801;PF03177	NA	NA	GO:0017056	NA	NA	SSF117289	NA	NA	NA	NA	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	NA	NA	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_153_length_57830_cov_49.167132-processed-gene-0.124-mRNA-1	IPR004886	PTHR31468;PTHR31468:SF5	mobidb-lite	PF03198	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	G3DSA:3.20.20.80	SSF51445	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA
maker-NODE_128_length_65099_cov_46.687311-snap-gene-0.166-mRNA-1	IPR001208	PTHR11630:SF42;PTHR11630	NA	PF00493;PF17207;PF17855;PF14551	NA	NA	GO:0003677;GO:0005524;GO:0006270;GO:0003688;GO:0005634;GO:0042555;GO:0006260	PR01657;PR01661	G3DSA:2.40.50.140;G3DSA:2.20.28.10;G3DSA:3.30.1640.10;G3DSA:3.40.50.300	SSF50249;SSF52540	cd00009	SM00350	PS00847	PS50051	NA	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_181327_cov_50.490110-augustus-gene-0.177-mRNA-1	IPR015943	PTHR12616:SF1;PTHR12616	mobidb-lite	PF00637	NA	NA	GO:0005515;GO:0006886;GO:0016192	NA	G3DSA:2.130.10.10;G3DSA:1.25.40.10	SSF50978	cd16448	SM00299	NA	PS50236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_32_length_154693_cov_49.520664-processed-gene-0.327-mRNA-1	IPR012677	PTHR23189:SF41;PTHR23189	mobidb-lite	PF00076	NA	NA	GO:0003676	NA	G3DSA:3.30.70.330;G3DSA:1.25.40.90	SSF54928;SSF48464	NA	SM00582;SM00360	NA	PS50102;PS51391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_118_length_70579_cov_43.888350-snap-gene-0.21-mRNA-1	IPR017441	PTHR24343:SF124;PTHR24343	mobidb-lite	PF00069	NA	NA	GO:0005524;GO:0004672;GO:0006468	NA	G3DSA:1.10.510.10	SSF56112	cd13994	SM00220	PS00107;PS00108	PS50011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_28_length_165981_cov_49.966302-processed-gene-0.30-mRNA-1	IPR003663	PTHR23500;PTHR23500:SF143	NA	PF00083	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	PR00171	G3DSA:1.20.1250.20	SSF103473	cd06174	NA	PS00217;PS00216	PS50850	NA	Reactome: R-HSA-189200	NA	NA	NA	NA	TIGR00879	NA	NA	NA
augustus_masked-NODE_68_length_103608_cov_48.540389-processed-gene-0.16-mRNA-1	IPR010920	PTHR31323	mobidb-lite	PF00924	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0005509;GO:0016020;GO:0055085	NA	G3DSA:1.10.238.10	SSF50182;SSF47473	NA	NA	NA	PS50222	NA	NA	PIRSF017209	NA	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_82_length_93996_cov_47.064611-processed-gene-0.271-mRNA-1	IPR014480	PTHR12145:SF19;PTHR12145	NA	PF03663	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	GO:0008496;GO:0016052;GO:0003824	NA	G3DSA:1.50.10.20	SSF48208	NA	NA	NA	NA	SignalP-TM	NA	PIRSF016302	NA	NA	NA	NA	NA	NA	NA
maker-NODE_111_length_76300_cov_46.636984-snap-gene-0.7-mRNA-1	IPR029070	PTHR11177;PTHR11177:SF174	NA	PF00704	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	GO:0004553;GO:0005975;GO:0008061	NA	G3DSA:3.10.50.10	SSF51445;SSF54556	NA	SM00636	PS01095	NA	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_135_length_62702_cov_44.213903-augustus-gene-0.9-mRNA-1	IPR000297	PTHR10657:SF25;PTHR10657	mobidb-lite	PF13616	NA	NA	GO:0003755	NA	G3DSA:3.10.50.40	SSF54534	NA	NA	NA	PS50198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_61_length_110293_cov_45.901903-snap-gene-0.43-mRNA-1	IPR001138	PTHR31944	mobidb-lite	PF00172;PF04082	NA	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	G3DSA:4.10.240.10	SSF57701	cd00067;cd12148	SM00906;SM00066	PS00463	PS50048	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_115_length_72912_cov_45.988171-snap-gene-0.166-mRNA-1	IPR019452	PTHR10283:SF92;PTHR10283	mobidb-lite	PF10366;PF00939;PF10367;PF03105;PF00780	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0005215;GO:0006814;GO:0016020;GO:0055085	NA	NA	SSF81995	cd01115;cd14478	NA	NA	PS50219;PS51382	NA	Reactome: R-HSA-433137	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_88_length_89743_cov_48.178350-processed-gene-0.143-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_11_length_219827_cov_45.592399-augustus-gene-1.103-mRNA-1	IPR006600	PTHR44198	mobidb-lite	PF03221;PF04218	NA	NA	GO:0003677	NA	G3DSA:1.10.10.60	SSF46689	NA	SM00674	NA	PS51253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_247_length_29276_cov_42.032969-snap-gene-0.8-mRNA-1	IPR001138	PTHR35392:SF3;PTHR35392	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	NA	NA	NA	PS50048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_115_length_72912_cov_45.988171-processed-gene-0.3-mRNA-1	IPR018108	PTHR24089;PTHR24089:SF45	NA	PF00153	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0022857	NA	G3DSA:1.50.40.10	SSF103506	NA	NA	NA	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_56_length_116941_cov_48.009665-processed-gene-0.271-mRNA-1	IPR037171	PTHR10233;PTHR10233:SF14	mobidb-lite	PF01008	NA	NA	GO:0044237	NA	G3DSA:3.40.50.10470	SSF100950	NA	NA	NA	NA	NA	KEGG: 00270+5.3.1.23|MetaCyc: PWY-4361|MetaCyc: PWY-7174	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_119_length_70524_cov_48.127505-augustus-gene-0.35-mRNA-1	IPR012423	PTHR13581	mobidb-lite	PF07904	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	GO:0005634;GO:0006355;GO:0043189	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	Reactome: R-HSA-3214847	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_234_length_32082_cov_51.418964-processed-gene-0.87-mRNA-1	IPR031350	PTHR10039:SF9;PTHR10039	mobidb-lite	PF17109	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	GO:0005515;GO:0032126;GO:0070941	NA	G3DSA:3.40.50.300	SSF52540;SSF48452	NA	SM00028	NA	PS50293;PS50005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_114_length_73903_cov_46.388053-processed-gene-0.0-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_90_length_89352_cov_53.090221-processed-gene-0.202-mRNA-1	IPR028606	PTHR12755;PTHR12755:SF6	NA	PF06807;PF16575;PF16573	NA	NA	GO:0005849;GO:0031124	NA	G3DSA:3.40.50.300;G3DSA:3.30.70.2410;G3DSA:2.60.120.1030	SSF52540	cd00009	NA	NA	NA	NA	Reactome: R-HSA-109688|Reactome: R-HSA-6784531|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	NA	MF_03035	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_146819_cov_48.030233-snap-gene-0.18-mRNA-1	IPR021858	PTHR38111:SF1;PTHR38111	NA	PF11951;PF00172	NA	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	SSF57701	cd00067	SM00066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_165981_cov_49.966302-augustus-gene-0.109-mRNA-1	IPR005887	PTHR12143:SF25;PTHR12143	mobidb-lite	PF17678;PF07971	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	GO:0030246;GO:0003824	NA	G3DSA:1.20.1610.10;G3DSA:3.30.2080.10;G3DSA:2.70.98.10;G3DSA:1.20.1050.60	SSF48208	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	TIGR01180	SignalP-noTM	NA	NA
maker-NODE_52_length_119193_cov_47.475442-snap-gene-0.40-mRNA-1	IPR003892	PTHR16308:SF13;PTHR16308	mobidb-lite	PF02845	NA	NA	GO:0005515	NA	NA	NA	cd14368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_219827_cov_45.592399-snap-gene-0.157-mRNA-1	IPR001757	PTHR24093:SF373;PTHR24093	NA	PF00702;PF12409;PF00689;PF00122	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0006812;GO:0016887;GO:0000166	PR00119;PR00120	G3DSA:3.40.1110.10;G3DSA:2.70.150.10;G3DSA:3.40.50.1000	SSF56784;SSF81665;SSF81660;SSF81653	cd07542	NA	PS00154	NA	NA	Reactome: R-HSA-936837	NA	NA	NA	SFLDF00027;SFLDG00002	TIGR01494;TIGR01657	NA	NA	NA
maker-NODE_164_length_54378_cov_48.397983-augustus-gene-0.60-mRNA-1	IPR020683	PTHR24123;PTHR24123:SF47	NA	PF12796	NA	NA	GO:0005515	PR01415	G3DSA:1.25.40.20	SSF48403	cd00204	SM00248	NA	PS50297;PS50088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_109_length_76433_cov_47.372671-processed-gene-0.140-mRNA-1	IPR002735	PTHR23001:SF3;PTHR23001	mobidb-lite	PF01873	NA	NA	GO:0003743;GO:0006413	NA	G3DSA:3.30.70.3150	SSF75689;SSF100966	NA	SM00653	NA	NA	NA	Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_53_length_118650_cov_47.760460-processed-gene-0.16-mRNA-1	IPR001012	PTHR13020;PTHR13020:SF34	mobidb-lite	PF00789	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0005515	NA	G3DSA:3.10.20.90;G3DSA:3.40.30.10	SSF52833;SSF54236	NA	SM00166	NA	PS50053;PS50033	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_11_length_219827_cov_45.592399-augustus-gene-1.96-mRNA-1	IPR036427	PTHR16062:SF14;PTHR16062	mobidb-lite	PF00439	NA	NA	GO:0005515;GO:0006338;GO:0016586	NA	G3DSA:1.20.920.10	SSF47370	cd04369	SM00297	NA	PS50014	NA	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_100_length_85149_cov_46.301616-augustus-gene-0.184-mRNA-1	IPR000210	PTHR26379:SF222;PTHR26379	mobidb-lite	PF00651	NA	NA	GO:0005515	NA	G3DSA:3.30.710.10	SSF54695	NA	SM00225	NA	PS50097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_178887_cov_49.850123-augustus-gene-0.406-mRNA-1	IPR001841	PTHR20932:SF8;PTHR20932	mobidb-lite	PF14555	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	G3DSA:1.10.8.10	SSF57850	cd00118	NA	NA	PS50089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_21_length_184856_cov_48.682551-processed-gene-0.19-mRNA-1	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_404280_cov_47.690922-processed-gene-1.79-mRNA-1	IPR011993	PTHR21399	mobidb-lite	PF03517	NA	NA		NA	G3DSA:2.30.29.30	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-191859	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_68_length_103608_cov_48.540389-snap-gene-0.235-mRNA-1	IPR017946	PTHR13593:SF74;PTHR13593	NA	PF01910	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	TMhelix	GO:0006629;GO:0008081	NA	G3DSA:3.30.70.930;G3DSA:3.20.20.190	SSF51695;SSF89957	NA	NA	NA	PS51318	SignalP-TM	NA	NA	NA	NA	NA	TIGR00106	SignalP-noTM	SignalP-noTM	NA
augustus_masked-NODE_89_length_89668_cov_46.187478-processed-gene-0.57-mRNA-1	IPR000092	PTHR12001:SF44;PTHR12001	mobidb-lite	PF00348	NA	NA	GO:0008299	NA	G3DSA:1.10.600.10	SSF48576	cd00685	NA	PS00444;PS00723	NA	NA	NA	NA	NA	NA	SFLDS00005	NA	NA	NA	NA
snap_masked-NODE_48_length_123201_cov_44.872036-processed-gene-0.35-mRNA-1	IPR028941	PTHR32075	mobidb-lite	PF15613;PF15612;PF02791;PF10537	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51136;PS50827	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_202_length_40380_cov_43.400318-augustus-gene-0.126-mRNA-1	IPR013780	PTHR10357;PTHR10357:SF194	NA	PF00128	NA	NA	GO:0003824;GO:0005975	NA	G3DSA:2.60.40.1180;G3DSA:3.20.20.80;G3DSA:3.90.400.10	SSF51445;SSF51011	cd11333	SM00642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_65_length_105409_cov_48.274805-processed-gene-0.19-mRNA-1	IPR020846	PTHR23500:SF198;PTHR23500	mobidb-lite	PF00083	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0016020	PR00171	G3DSA:1.20.1250.20	SSF103473	cd06174	NA	PS00216;PS00217	PS50850	NA	Reactome: R-HSA-189200	NA	NA	Coil	NA	TIGR00879	NA	NA	NA
