Gene	interpro	SUPERFAMILY	GO	PATHWAY	Gene3D	TIGRFAM	Pfam	MobiDBLite	PIRSF	Hamap	ProSiteProfiles	SMART	PRINTS	Coils	CDD	ProSitePatterns	SFLD
augustus_masked-SPDT01000003.1-processed-gene-23.84-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-47.41-mRNA-1	IPR001494	SSF48371	GO:0006886;GO:0008536	NA	G3DSA:1.25.10.10	NA	PF03810	NA	NA	NA	PS50166	SM00913	NA	NA	NA	NA	NA
augustus_masked-SPDT01000004.1-processed-gene-26.198-mRNA-1	IPR036228	SSF161065	GO:0000276;GO:0015078;GO:0015986	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	G3DSA:1.20.58.880	NA	PF05873	NA	PIRSF005514	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000004.1-processed-gene-29.16-mRNA-1	IPR000782	SSF82153	NA	NA	G3DSA:2.30.180.10	NA	PF02469	NA	NA	NA	PS50213	SM00554	NA	NA	NA	NA	NA
maker-SPDT01000010.1-augustus-gene-8.256-mRNA-1	IPR001680	SSF50978	GO:0005515	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	G3DSA:2.130.10.10	NA	PF04003;PF00400	mobidb-lite	NA	NA	PS50082;PS50294	SM00320	PR00320	Coil	cd00200	PS00678	NA
maker-SPDT01000003.1-augustus-gene-40.5-mRNA-1	IPR000008	SSF49562	GO:0008289;GO:0061817	NA	G3DSA:2.60.40.150	NA	PF00168	mobidb-lite	NA	NA	PS50004;PS51847	SM00239	NA	Coil	cd04041;cd04052	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-17.249-mRNA-1	IPR007252	NA	GO:0005643;GO:0017056	Reactome: R-HSA-1169408|Reactome: R-HSA-141444|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-5663220|Reactome: R-HSA-6784531|Reactome: R-HSA-68877	G3DSA:1.10.3450.20	NA	PF04121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000001.1-augustus-gene-34.33-mRNA-1	IPR001128	SSF48264	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	G3DSA:1.10.630.10	NA	PF00067	NA	NA	NA	NA	NA	PR00465;PR00385	NA	NA	PS00086	NA
maker-SPDT01000013.1-augustus-gene-14.90-mRNA-1	IPR036864	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	G3DSA:4.10.240.10	NA	PF04082;PF00172	mobidb-lite	NA	NA	PS50048	SM00906;SM00066	NA	NA	cd00067;cd12148	PS00463	NA
maker-SPDT01000007.1-augustus-gene-22.36-mRNA-1	IPR000892	NA	GO:0003735;GO:0005840;GO:0006412	NA	G3DSA:3.30.1740.20	NA	PF01283	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PS00733	NA
augustus_masked-SPDT01000001.1-processed-gene-13.140-mRNA-1	IPR037319	SSF54791;SSF50249	GO:0003723	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	G3DSA:3.30.1370.10;G3DSA:2.40.50.140	NA	PF15985;PF18311	NA	NA	NA	NA	NA	NA	NA	cd05790	NA	NA
maker-SPDT01000010.1-augustus-gene-7.33-mRNA-1	IPR016024	SSF48371	NA	NA	G3DSA:1.25.10.10	NA	PF08514	mobidb-lite	NA	NA	PS51425	NA	NA	Coil	NA	NA	NA
maker-SPDT01000002.1-snap-gene-33.155-mRNA-1	IPR003903	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	PS50330	NA	NA	Coil	NA	NA	NA
maker-SPDT01000007.1-augustus-gene-65.94-mRNA-1	IPR017972	SSF48264	GO:0016705;GO:0055114;GO:0005506;GO:0020037	NA	G3DSA:1.10.630.10	NA	PF00067	NA	NA	NA	NA	NA	PR00463;PR00385	NA	NA	PS00086	NA
augustus_masked-SPDT01000007.1-processed-gene-18.161-mRNA-1	IPR029481	SSF52540	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085;GO:0016020	Reactome: R-HSA-1369062	G3DSA:3.40.50.300	NA	PF14510;PF06422;PF00005;PF01061	mobidb-lite	NA	NA	PS50893	SM00382	NA	Coil	cd03232	PS00211	NA
snap_masked-SPDT01000010.1-processed-gene-12.207-mRNA-1	IPR029058	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	PF12146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000001.1-augustus-gene-24.7-mRNA-1	IPR000277	SSF53383	GO:0019346;GO:0030170;GO:0003824;GO:0006520;GO:0016765	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	TIGR01326	PF01053	NA	PIRSF001434	NA	NA	NA	NA	NA	cd00614	PS00868	NA
maker-SPDT01000009.1-augustus-gene-2.32-mRNA-1	IPR002347	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF00106	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
augustus_masked-SPDT01000002.1-processed-gene-30.48-mRNA-1	IPR036869	SSF46565;SSF48452;SSF46934	GO:0005515	NA	G3DSA:1.10.8.10;G3DSA:1.10.287.110;G3DSA:1.25.40.10	NA	NA	mobidb-lite	NA	NA	PS50030	SM00165	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-6.206-mRNA-1	IPR000403	SSF48371;SSF56112	GO:0016301;GO:0016773	KEGG: 00562+2.7.1.67|KEGG: 04070+2.7.1.67|MetaCyc: PWY-6351|MetaCyc: PWY-6352	G3DSA:3.30.1010.10;G3DSA:1.10.1070.11	NA	PF00454;PF11522	mobidb-lite	NA	NA	PS50290;PS51545	SM00146	NA	NA	cd05168	PS00916;PS00915	NA
maker-SPDT01000007.1-augustus-gene-37.19-mRNA-1	IPR016024	SSF48371	GO:0000502;GO:0030234;GO:0042176	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	G3DSA:1.25.10.10	NA	PF18004;PF01851;PF13646	mobidb-lite	PIRSF015947	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000010.1-snap-gene-22.130-mRNA-1	IPR002110	SSF48403	GO:0005515	NA	G3DSA:1.25.40.20	NA	PF12796	mobidb-lite	NA	NA	PS50088;PS50297	SM00248	PR01415	Coil	NA	NA	NA
snap_masked-SPDT01000007.1-processed-gene-18.171-mRNA-1	IPR006694	NA	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	NA	NA	PF04116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000005.1-augustus-gene-30.25-mRNA-1	IPR005225	SSF52540	GO:0005525	NA	G3DSA:3.40.50.300	TIGR00231	PF00025	NA	NA	NA	PS51417	SM00178;SM00177;SM00175	PR00328	NA	cd04159	NA	NA
augustus_masked-SPDT01000004.1-processed-gene-18.105-mRNA-1	IPR011058	SSF51322	NA	NA	G3DSA:2.30.60.10	NA	PF08881	NA	NA	NA	NA	SM01111	NA	NA	NA	NA	NA
snap_masked-SPDT01000010.1-processed-gene-9.46-mRNA-1	IPR028124	NA	NA	NA	NA	NA	PF15477	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-SPDT01000009.1-snap-gene-10.27-mRNA-1	IPR008949	SSF48576	NA	NA	G3DSA:1.10.600.10	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-17.236-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000006.1-snap-gene-15.109-mRNA-1	IPR005809	SSF56059;SSF52210	GO:0006099;GO:0005524;GO:0046872;GO:0003824	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384|Reactome: R-HSA-71403	G3DSA:3.40.50.261;G3DSA:3.30.470.20;G3DSA:3.30.1490.20	TIGR01016	PF08442;PF00549	NA	PIRSF001554	MF_00558	PS50975	NA	NA	NA	NA	PS01217	NA
augustus_masked-SPDT01000006.1-processed-gene-28.156-mRNA-1	IPR002048	SSF47473	GO:0005509	NA	G3DSA:1.10.238.10	NA	PF13499;PF13202	mobidb-lite	NA	NA	PS50222	SM00054	NA	NA	cd16180	PS00018	NA
maker-SPDT01000004.1-augustus-gene-9.2-mRNA-1	IPR000192	SSF53383	GO:0003824	NA	G3DSA:3.40.640.10	NA	PF00266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000004.1-augustus-gene-17.3-mRNA-1	IPR039390	SSF49482	GO:0016702;GO:0005506;GO:0009712;GO:0018576;GO:0055114;GO:0003824;GO:0006725;GO:0008199	NA	G3DSA:2.60.130.10	NA	PF04444;PF00775	NA	NA	NA	NA	NA	NA	NA	cd03461	NA	NA
maker-SPDT01000007.1-augustus-gene-19.36-mRNA-1	IPR011989	SSF48371	NA	NA	G3DSA:1.25.10.10	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000013.1-processed-gene-8.113-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000003.1-snap-gene-20.73-mRNA-1	IPR036852	SSF52743	GO:0004252;GO:0006508	NA	G3DSA:3.40.50.200	NA	PF01822;PF00082	NA	NA	NA	NA	NA	PR00723	Coil	NA	PS00137;PS00138	NA
augustus_masked-SPDT01000010.1-processed-gene-0.13-mRNA-1	IPR012459	NA	GO:0006364	NA	NA	NA	PF07890	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000002.1-processed-gene-25.6-mRNA-1	IPR013149	SSF51735;SSF50129	GO:0055114;GO:0008270;GO:0016491	Reactome: R-HSA-71384	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	PF00107;PF08240	NA	NA	NA	NA	SM00829	NA	NA	cd08296	PS00059	NA
maker-SPDT01000006.1-snap-gene-31.244-mRNA-1	IPR038528	NA	NA	NA	G3DSA:1.25.40.720	NA	PF10193	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000001.1-augustus-gene-17.26-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-SPDT01000001.1-augustus-gene-18.265-mRNA-1	IPR001453	SSF53218	NA	NA	G3DSA:3.40.980.10	NA	PF00994	NA	NA	NA	NA	SM00852	NA	NA	NA	NA	NA
maker-SPDT01000006.1-snap-gene-49.238-mRNA-1	IPR036869	SSF48452;SSF46565	GO:0005515	NA	G3DSA:1.10.287.110;G3DSA:1.25.40.10	NA	PF00226;PF13432;PF14559	mobidb-lite	NA	NA	PS50005;PS50076;PS50293	SM00028;SM00271	PR00625	NA	cd06257	PS00636	NA
augustus_masked-SPDT01000004.1-processed-gene-12.32-mRNA-1	IPR029052	SSF56300	GO:0016787	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	G3DSA:3.60.21.10	NA	PF00149	NA	NA	NA	NA	SM00156	PR00114	NA	cd07415	PS00125	NA
augustus_masked-SPDT01000001.1-processed-gene-49.30-mRNA-1	IPR013087	SSF57667	GO:0003676	NA	G3DSA:3.30.160.60	NA	PF00096	mobidb-lite	NA	NA	PS50157	SM00355	NA	NA	NA	PS00028	NA
augustus_masked-SPDT01000006.1-processed-gene-48.206-mRNA-1	IPR001849	SSF50729	NA	NA	G3DSA:2.30.29.30	NA	PF15410	mobidb-lite	NA	NA	NA	SM00233	NA	NA	NA	NA	NA
augustus_masked-SPDT01000008.1-processed-gene-3.31-mRNA-1	IPR010730	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-5.7-mRNA-1	IPR001242	SSF56801;SSF47336;SSF52777	GO:0003824;GO:0031177	Reactome: R-HSA-389661	G3DSA:3.30.559.10;G3DSA:3.30.559.30;G3DSA:3.40.50.12780;G3DSA:1.10.1200.10	NA	PF00668;PF00501;PF00550	mobidb-lite	NA	NA	PS50075	SM00823	NA	NA	cd05918	PS00012	NA
augustus_masked-SPDT01000001.1-processed-gene-29.84-mRNA-1	IPR013810	SSF54768;SSF54211	GO:0003723;GO:0003735;GO:0005840;GO:0006412	NA	G3DSA:3.30.230.10;G3DSA:3.30.160.20	NA	PF03719;PF00333	mobidb-lite	NA	NA	PS50881	NA	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000006.1-processed-gene-41.208-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000001.1-augustus-gene-35.19-mRNA-1	IPR008278	SSF56214;SSF52151;SSF51735;SSF53901	GO:0000287;GO:0008897;GO:0003824;GO:0006633;GO:0004312;GO:0042759	KEGG: 00770+2.7.8.7|MetaCyc: PWY-6012|MetaCyc: PWY-6012-1|MetaCyc: PWY-6289|Reactome: R-HSA-199220	G3DSA:3.40.47.10;G3DSA:3.90.25.70;G3DSA:3.90.470.20	TIGR00556	PF01648;PF00109;PF18314;PF02801;PF18325	mobidb-lite	PIRSF000454	MF_00101	PS50075	NA	NA	Coil	cd08950;cd00828	PS00606	NA
maker-SPDT01000001.1-snap-gene-0.74-mRNA-1	IPR021331	NA	NA	NA	G3DSA:2.30.30.1060	NA	PF11160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-SPDT01000005.1-processed-gene-16.298-mRNA-1	IPR013657	NA	GO:0055085	NA	NA	NA	PF08449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000006.1-snap-gene-15.98-mRNA-1	IPR031342	NA	NA	NA	NA	NA	PF17119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000013.1-processed-gene-10.50-mRNA-1	IPR003378	NA	GO:0016020;GO:0016757	NA	G3DSA:3.90.550.50;G3DSA:3.50.4.10	NA	PF02434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-66.110-mRNA-1	NA	SSF53187	NA	NA	G3DSA:3.40.630.10;G3DSA:3.30.70.360	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd05672	NA	NA
maker-SPDT01000002.1-snap-gene-9.65-mRNA-1	IPR001623	SSF81296;SSF158702;SSF46565	NA	NA	G3DSA:1.10.287.110;G3DSA:2.60.40.150	NA	PF00226	mobidb-lite	NA	NA	PS50076	SM00973;SM00271	PR00625	Coil	cd06257	PS00636	NA
maker-SPDT01000007.1-snap-gene-31.92-mRNA-1	IPR036867	SSF82708	GO:0003676	NA	G3DSA:3.30.1370.50	NA	PF01585;PF01424	NA	NA	NA	PS50174;PS51061	SM00443;SM00393	NA	NA	cd02646	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-27.40-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-SPDT01000005.1-augustus-gene-0.20-mRNA-1	IPR024655	SSF51445	NA	NA	G3DSA:3.20.20.80	NA	PF11790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000007.1-augustus-gene-57.75-mRNA-1	IPR017439	SSF53187;SSF55031	GO:0016787	NA	G3DSA:3.30.70.360;G3DSA:3.40.630.10	TIGR01891	PF01546	NA	PIRSF037226	NA	NA	NA	NA	NA	cd05672	NA	NA
maker-SPDT01000010.1-snap-gene-15.227-mRNA-1	IPR018825	NA	NA	NA	NA	NA	PF10348;PF10355	mobidb-lite	NA	NA	NA	NA	NA	NA	cd08760	NA	NA
augustus_masked-SPDT01000013.1-processed-gene-5.27-mRNA-1	IPR008011	NA	NA	NA	NA	NA	PF05347	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-44.252-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000003.1-processed-gene-8.174-mRNA-1	IPR036705	SSF101478	NA	NA	G3DSA:1.10.4080.10;G3DSA:2.60.120.560	NA	PF03747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000007.1-augustus-gene-43.45-mRNA-1	IPR020946	SSF51905	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	G3DSA:3.50.50.60	NA	PF00743	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000004.1-augustus-gene-29.255-mRNA-1	IPR000504	SSF54928	GO:0003676	Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-73856|Reactome: R-HSA-9010553|Reactome: R-HSA-975957	G3DSA:3.30.70.330	NA	PF00076	mobidb-lite	NA	NA	PS50102	SM00360	NA	NA	cd12365	NA	NA
maker-SPDT01000006.1-snap-gene-8.0-mRNA-1	IPR010530	NA	NA	NA	NA	NA	PF06522	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-13.106-mRNA-1	IPR029058	SSF53474	GO:0006629	Reactome: R-HSA-426048	G3DSA:3.40.50.1820	NA	PF01764	NA	NA	NA	NA	NA	NA	NA	cd00519	NA	NA
augustus_masked-SPDT01000013.1-processed-gene-18.44-mRNA-1	IPR036866	SSF56281	NA	NA	G3DSA:3.60.15.10	NA	PF00753;PF11696	mobidb-lite	NA	NA	NA	SM00849	NA	NA	NA	NA	NA
maker-SPDT01000001.1-augustus-gene-20.186-mRNA-1	IPR016181	SSF55729	GO:0008080	NA	G3DSA:3.40.630.30	NA	PF00583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000004.1-snap-gene-22.252-mRNA-1	IPR038273	NA	GO:0031262;GO:0051315	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	G3DSA:1.10.418.30	NA	PF03801	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-10.41-mRNA-1	IPR036236	SSF57667	GO:0003676	NA	G3DSA:3.30.160.60	NA	NA	mobidb-lite	NA	NA	PS50157	NA	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-18.222-mRNA-1	IPR011598	SSF47459	GO:0046983	NA	NA	NA	PF00010	mobidb-lite	NA	NA	PS50888	SM00353	NA	NA	cd00083	NA	NA
maker-SPDT01000001.1-snap-gene-13.16-mRNA-1	IPR001544	SSF56752	GO:0003824;GO:0004084;GO:0009081	Reactome: R-HSA-70895	G3DSA:3.30.470.10;G3DSA:3.20.10.10	NA	PF01063	NA	PIRSF006468	NA	NA	NA	NA	NA	cd01557	NA	NA
maker-SPDT01000010.1-snap-gene-2.236-mRNA-1	IPR012308	SSF56091	GO:0003677;GO:0003910;GO:0006281;GO:0006310;GO:0005524	NA	G3DSA:3.30.470.30;G3DSA:3.30.1490.70;G3DSA:1.10.3260.10;G3DSA:2.40.50.140	NA	PF04675;PF01068	mobidb-lite	NA	NA	PS50160	NA	NA	NA	NA	NA	NA
maker-SPDT01000004.1-augustus-gene-5.124-mRNA-1	IPR019357	NA		Reactome: R-HSA-6811440	G3DSA:1.20.5.170	NA	PF10224	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-SPDT01000001.1-snap-gene-19.19-mRNA-1	IPR001810	SSF81383	GO:0005515	NA	G3DSA:3.80.10.10	NA	PF12937	mobidb-lite	NA	NA	PS50181	SM00256	NA	NA	NA	NA	NA
maker-SPDT01000006.1-snap-gene-43.92-mRNA-1	IPR004932	NA	GO:0016021	NA	NA	NA	PF03248	NA	PIRSF016013	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-SPDT01000013.1-processed-gene-9.189-mRNA-1	IPR036322	SSF50978	GO:0005515;GO:0006355	Reactome: R-HSA-2559584	G3DSA:2.130.10.10	NA	PF09453;PF07569;PF00400	mobidb-lite	NA	NA	PS50294;PS50082	SM00320	NA	NA	cd00200	PS00678	NA
maker-SPDT01000006.1-augustus-gene-49.205-mRNA-1	IPR004827	SSF57959	GO:0003700;GO:0006355	NA	G3DSA:1.20.5.170	NA	NA	mobidb-lite	NA	NA	NA	SM00338	NA	Coil	cd14688	PS00036	NA
maker-SPDT01000007.1-snap-gene-4.49-mRNA-1	IPR016039	SSF53901;SSF47336;SSF53335;SSF51735;SSF50129;SSF52151;SSF55048	GO:0003824;GO:0016491;GO:0016740;GO:0031177;GO:0055114;GO:0008270	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	G3DSA:3.40.47.10;G3DSA:3.40.50.150;G3DSA:3.40.366.10;G3DSA:1.10.1200.10;G3DSA:3.10.129.110;G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	PF08240;PF00107;PF00550;PF02801;PF16197;PF00109;PF14765;PF08242;PF00698;PF08659	NA	NA	NA	PS50075	SM00829;SM00822;SM00823;SM00825;SM00827;SM00826	NA	NA	cd02440;cd05195;cd00833	PS01162	NA
augustus_masked-SPDT01000007.1-processed-gene-61.99-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-13.148-mRNA-1	IPR012590	NA		Reactome: R-HSA-6784531	NA	NA	PF08170;PF06978	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-19.5-mRNA-1	IPR006219	SSF51569	GO:0003849;GO:0009073;GO:0009058;GO:0003824	KEGG: 00400+2.5.1.54|MetaCyc: PWY-6164	G3DSA:3.20.20.70	TIGR00034	PF00793	NA	PIRSF001361	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000006.1-augustus-gene-14.55-mRNA-1	IPR025715	SSF54928	GO:0003676	Reactome: R-HSA-159236|Reactome: R-HSA-72187|Reactome: R-HSA-73856	G3DSA:3.30.70.330	NA	PF00076	mobidb-lite	NA	NA	PS50102	SM01218;SM00360	NA	NA	NA	NA	NA
snap_masked-SPDT01000005.1-processed-gene-46.102-mRNA-1	IPR010920	SSF50182	NA	NA	G3DSA:2.30.30.100	NA	PF01423	mobidb-lite	NA	NA	NA	SM00651	NA	NA	cd01717	NA	NA
augustus_masked-SPDT01000006.1-processed-gene-8.125-mRNA-1	NA	NA	NA	NA	NA	NA	PF17733	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-44.22-mRNA-1	IPR020846	SSF103473	GO:0055085	NA	G3DSA:1.20.1250.20	NA	PF07690	NA	NA	NA	PS50850	NA	NA	NA	cd17327	NA	NA
maker-SPDT01000004.1-augustus-gene-16.23-mRNA-1	IPR012808	NA	NA	NA	NA	TIGR02453	PF09365	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000001.1-augustus-gene-0.57-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-21.186-mRNA-1	IPR034660	SSF109854	NA	NA	G3DSA:1.20.120.450	NA	PF09351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-13.81-mRNA-1	IPR013752	SSF48179	GO:0016491;GO:0055114	NA	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	NA	PF08546;PF02558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-1.64-mRNA-1	IPR002938	SSF51905	GO:0071949	NA	G3DSA:3.50.50.60	NA	PF01494	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA
maker-SPDT01000001.1-augustus-gene-21.250-mRNA-1	IPR015590	SSF53720	GO:0016491;GO:0055114;GO:0016620	NA	G3DSA:3.40.605.10;G3DSA:3.40.309.10	NA	PF00171	NA	NA	NA	NA	NA	NA	NA	cd07102	PS00687	NA
augustus_masked-SPDT01000003.1-processed-gene-36.49-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000002.1-processed-gene-4.13-mRNA-1	IPR019009	SSF52540		Reactome: R-HSA-1799339|Reactome: R-HSA-381038	G3DSA:3.40.50.300	NA	PF09439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
