Gene	interpro	SMART	MobiDBLite	GO	SUPERFAMILY	Gene3D	Pfam	PANTHER	PATHWAY	ProSiteProfiles	CDD	ProSitePatterns	Phobius	TMHMM	PRINTS	Coils	SignalP_EUK	Hamap	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	TIGRFAM	SFLD	ProDom
maker-NODE_168_length_40313_cov_11.972578-snap-gene-0.27-mRNA-1	IPR013057	NA	mobidb-lite	NA	NA	NA	PF01490	PTHR22950;PTHR22950:SF339	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_31_length_91375_cov_13.158524-snap-gene-0.12-mRNA-1	IPR001841	SM00184	mobidb-lite	NA	SSF57850;SSF52025	G3DSA:3.30.40.10	PF13639;PF02225	PTHR22765:SF5;PTHR22765	NA	PS50089	cd16454;cd04813	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	TMhelix	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-NODE_441_length_18359_cov_12.671128-augustus-gene-0.54-mRNA-1	IPR002328	NA	NA	GO:0008270;GO:0016491;GO:0055114	SSF51735;SSF50129	G3DSA:3.90.180.10;G3DSA:3.40.50.720	PF08240;PF00107	PTHR42813;PTHR42813:SF2	Reactome: R-HSA-71384	NA	cd08284	PS00059	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_84171_cov_14.626077-snap-gene-0.250-mRNA-1	IPR007111	NA	NA	NA	SSF52540;SSF48371;SSF53474	G3DSA:3.40.50.1820;G3DSA:1.25.10.10;G3DSA:3.40.50.300	PF05729;PF17776	PTHR24106;PTHR24106:SF117	NA	PS50837	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_115933_cov_12.671209-augustus-gene-0.189-mRNA-1	IPR040189	NA	mobidb-lite	NA	SSF103481	NA	PF03151	PTHR11132:SF234;PTHR11132	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_254_length_31496_cov_13.913195-augustus-gene-0.101-mRNA-1	IPR008913	NA	NA	GO:0008270	SSF161219	NA	PF05495	PTHR28082;PTHR28082:SF2	Reactome: R-HSA-110320|Reactome: R-HSA-983168	PS51266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_414_length_19636_cov_15.279358-processed-gene-0.0-mRNA-1	IPR002293	NA	mobidb-lite	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	NA	G3DSA:1.20.1740.10	PF13520	PTHR11785;PTHR11785:SF360	NA	NA	NA	PS00218	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	PIRSF006060	NA	NA	NA	NA	NA
augustus_masked-NODE_64_length_68635_cov_13.046885-processed-gene-0.94-mRNA-1	IPR011701	NA	mobidb-lite	GO:0016021;GO:0055085	SSF103473	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	PF07690	PTHR23501:SF143;PTHR23501	NA	PS50850	cd06174	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	PR01036	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_129899_cov_13.674213-processed-gene-0.99-mRNA-1	IPR006165	SM00559;SM00513	mobidb-lite	GO:0000723;GO:0003677;GO:0003684;GO:0005634;GO:0006303;GO:0042162;GO:0043564;GO:0004003	SSF68906;SSF100939;SSF53300	G3DSA:1.10.720.30;G3DSA:2.40.290.10;G3DSA:1.10.1600.10;G3DSA:3.40.50.410;G3DSA:4.10.970.10	PF03730;PF02735;PF02037;PF03731	PTHR12604;PTHR12604:SF2	Reactome: R-HSA-164843|Reactome: R-HSA-1834949|Reactome: R-HSA-3270619|Reactome: R-HSA-5693571|Reactome: R-HSA-6798695	PS50800	cd01458;cd00788	NA	NA	NA	NA	NA	NA	NA	PIRSF003033	NA	NA	TIGR00578	NA	NA
maker-NODE_314_length_26408_cov_13.097371-augustus-gene-0.96-mRNA-1	IPR016093	SM00472	mobidb-lite	GO:0016020;GO:0000030;GO:0006493	SSF82109	G3DSA:2.80.10.50	PF02366;PF02815;PF16192	PTHR10050	Reactome: R-HSA-5173105	PS50919	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_97629_cov_13.701452-augustus-gene-0.201-mRNA-1	IPR000757	NA	NA	GO:0004553;GO:0005975	SSF49899	G3DSA:2.60.120.200	PF00722	PTHR10963	NA	PS51762	cd02182	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA
snap_masked-NODE_6_length_135386_cov_13.670565-processed-gene-0.35-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	PTHR34776	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_129899_cov_13.674213-processed-gene-0.91-mRNA-1	IPR036259	NA	mobidb-lite	GO:0016021;GO:0055085	SSF103473	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	PF07690	PTHR23502:SF23;PTHR23502	NA	PS50850	cd06174	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_114886_cov_12.062792-snap-gene-0.2-mRNA-1	IPR000727	SM00397;SM01199;SM01271	mobidb-lite	GO:0016020;GO:0016192;GO:0006886	SSF50182;SSF47661;SSF58038	G3DSA:1.20.58.400;G3DSA:1.20.5.110;G3DSA:2.30.30.100	PF12352;PF12701;PF09532;PF05008	PTHR13586:SF0;PTHR13586	NA	PS51536;PS51512;PS51513	cd15862;cd01736	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_110_length_51928_cov_13.075404-processed-gene-0.44-mRNA-1	IPR036457	NA	mobidb-lite		SSF81606	G3DSA:3.60.40.10	NA	PTHR12320:SF24;PTHR12320	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_97_length_56313_cov_11.738120-snap-gene-0.89-mRNA-1	IPR038765	SM00326;SM00460	mobidb-lite	GO:0005515	SSF54001;SSF50044	G3DSA:3.10.620.30;G3DSA:2.30.30.40	PF01841;PF07653	PTHR11039:SF61;PTHR11039	NA	PS50002	cd11889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_292_length_28390_cov_13.445813-snap-gene-0.40-mRNA-1	IPR020846	NA	mobidb-lite	GO:0005215;GO:0016021;GO:0055085	SSF103473	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	PF07690	PTHR23501;PTHR23501:SF43	NA	PS50850	cd06174	PS00216	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_113_length_51002_cov_12.844934-snap-gene-0.0-mRNA-1	IPR027417	NA	NA	GO:0016491	SSF52540;SSF51735	G3DSA:3.40.50.300;G3DSA:3.40.50.720	PF13561	PTHR43008;PTHR43008:SF5	NA	NA	NA	PS00061	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_222_length_34204_cov_13.734132-processed-gene-0.71-mRNA-1	IPR038175	NA	mobidb-lite	GO:0005515	NA	G3DSA:2.60.40.2440	PF03370	PTHR12307;PTHR12307:SF36	NA	PS51159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_285_length_28678_cov_12.999440-processed-gene-0.59-mRNA-1	IPR036188	NA	NA	GO:0016491;GO:0055114	SSF51905	G3DSA:3.50.50.60;G3DSA:3.90.660.10;G3DSA:3.30.9.30	PF13450;PF01593	PTHR42923:SF17;PTHR42923	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_421_length_19341_cov_12.280993-augustus-gene-0.23-mRNA-1	IPR013026	NA	NA	GO:0005515	SSF81383;SSF52047;SSF48452	G3DSA:1.25.40.10	NA	NA	NA	PS50293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_150_length_43779_cov_13.082539-processed-gene-0.95-mRNA-1	IPR005821	NA	NA	GO:0005216;GO:0006811;GO:0016020;GO:0055085;GO:0005887;GO:0030171;GO:1902600	NA	G3DSA:1.20.120.350	PF00520	PTHR12305:SF47;PTHR12305	Reactome: R-HSA-1300642|Reactome: R-HSA-6798695	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_110_length_51928_cov_13.075404-augustus-gene-0.3-mRNA-1	IPR000253	SM00240;SM00220	mobidb-lite	GO:0005515;GO:0004672;GO:0005524;GO:0006468	SSF56112;SSF49879	G3DSA:1.10.510.10;G3DSA:2.60.200.20	PF00498;PF00069	PTHR44167	NA	PS50006;PS50011	cd00060	PS00108;PS00107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_232_length_33652_cov_12.961044-snap-gene-0.3-mRNA-1	IPR014718	NA	NA	GO:0030246;GO:0003824;GO:0005975;GO:0016853	SSF74650	G3DSA:2.70.98.10	PF01263	PTHR11122:SF13;PTHR11122	KEGG: 00010+5.1.3.15	NA	cd09020	NA	NA	NA	NA	NA	NA	NA	PIRSF016020	NA	NA	NA	NA	NA
maker-NODE_60_length_70154_cov_13.482328-augustus-gene-0.65-mRNA-1	IPR003663	NA	mobidb-lite	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	SSF103473	G3DSA:1.20.1250.20	PF00083	PTHR23500:SF42;PTHR23500	Reactome: R-HSA-189200	PS50850	cd06174	PS00216	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	PR00171	NA	NA	NA	NA	NA	NA	TIGR00879	NA	NA
snap_masked-NODE_83_length_62673_cov_13.058373-processed-gene-0.165-mRNA-1	IPR010730	NA	mobidb-lite	NA	NA	NA	PF06985	PTHR33112:SF1;PTHR33112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_300_length_27410_cov_13.666825-augustus-gene-0.101-mRNA-1	IPR006035	NA	NA	GO:0046872;GO:0016813;GO:0004053;GO:0006525	SSF52768	G3DSA:3.40.800.10	PF00491	PTHR43782;PTHR43782:SF3	KEGG: 00220+3.5.3.1|KEGG: 00330+3.5.3.1|MetaCyc: PWY-31|MetaCyc: PWY-4984|MetaCyc: PWY-6305|MetaCyc: PWY-6922|Reactome: R-HSA-70635	PS51409	cd09989	PS01053	NA	NA	PR00116	NA	NA	NA	NA	NA	NA	TIGR01229	NA	NA
maker-NODE_336_length_24757_cov_12.669793-snap-gene-0.0-mRNA-1	IPR016130	SM00195;SM00404	mobidb-lite	GO:0004725;GO:0016311;GO:0006470;GO:0008138;GO:0016791	SSF52799	G3DSA:3.90.190.10	PF00782	PTHR10159;PTHR10159:SF493	NA	PS50056;PS50054	cd00127	PS00383	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
snap_masked-NODE_102_length_53776_cov_13.442394-processed-gene-0.141-mRNA-1	IPR022024	NA	mobidb-lite	NA	NA	NA	PF12223	PTHR34693;PTHR34693:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_317_length_26030_cov_13.138054-processed-gene-0.93-mRNA-1	IPR009598	SM01396	NA	NA	NA	NA	PF06726	PTHR13259	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD062192
maker-NODE_72_length_66399_cov_13.134672-augustus-gene-0.209-mRNA-1	IPR018034	NA	mobidb-lite	NA	NA	NA	PF05178;PF12936	PTHR14490	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_120377_cov_13.748050-snap-gene-0.44-mRNA-1	IPR036282	NA	mobidb-lite	GO:0003824;GO:0016491;GO:0055114	SSF47616;SSF52499;SSF51197	G3DSA:3.40.30.10;G3DSA:1.20.1050.10;G3DSA:2.60.120.590;G3DSA:3.40.50.850	PF00857;PF13532	PTHR11080:SF33;PTHR11080	NA	PS50405;PS51471	cd00431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_568_length_12896_cov_13.941029-augustus-gene-0.13-mRNA-1	IPR000697	SM00461	mobidb-lite		SSF50729	G3DSA:2.30.29.30	PF00568	PTHR23202:SF34;PTHR23202	Reactome: R-HSA-2029482|Reactome: R-HSA-5663213	PS50229	cd01205	NA	NA	NA	PR01217	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_139_length_45374_cov_14.184211-processed-gene-0.9-mRNA-1	IPR006694	NA	mobidb-lite	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	NA	PF04116	PTHR11863:SF26;PTHR11863	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_374_length_22327_cov_12.567973-processed-gene-0.2-mRNA-1	IPR025122	NA	mobidb-lite	NA	NA	NA	PF13257	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_54_length_73723_cov_13.544432-processed-gene-0.16-mRNA-1	IPR003333	NA	mobidb-lite	GO:0008610	SSF53335	G3DSA:3.40.50.150	PF02353	PTHR45197	NA	NA	cd02440	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	PIRSF003085	NA	NA	NA	NA	NA
augustus_masked-NODE_78_length_63729_cov_13.812679-processed-gene-0.189-mRNA-1	IPR021983	SM00232	mobidb-lite	GO:0000398;GO:0017070;GO:0005681;GO:0005515;GO:0003723;GO:0030623	SSF53098	G3DSA:3.90.1570.40;G3DSA:3.40.140.10;G3DSA:3.30.420.230;G3DSA:1.20.80.40;G3DSA:1.20.58.1750	PF08083;PF12134;PF10596;PF08084;PF10598;PF08082;PF10597	PTHR11140	Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	cd08056;cd13838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD149576
snap_masked-NODE_155_length_42876_cov_14.137313-processed-gene-0.60-mRNA-1	IPR000999	SM00535	NA	GO:0004525;GO:0006396	SSF54768;SSF69065	G3DSA:3.30.160.20;G3DSA:1.10.1520.10	PF00035;PF00636	PTHR11207;PTHR11207:SF16	Reactome: R-HSA-203927	PS50142	cd00048;cd00593	PS00517	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_178_length_39291_cov_11.281611-processed-gene-0.50-mRNA-1	IPR003439	SM00382	mobidb-lite	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	SSF90123;SSF52540	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	PF00005;PF00664	PTHR24223:SF344;PTHR24223	NA	PS50893;PS50929	cd03250;cd03244	PS00211	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_364_length_23350_cov_12.682470-processed-gene-0.50-mRNA-1	IPR024224	NA	mobidb-lite	GO:0017112	NA	NA	PF08616;PF07792	PTHR13677;PTHR13677:SF3	Reactome: R-HSA-8876198	PS50211	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_152_length_43284_cov_14.262599-processed-gene-0.4-mRNA-1	IPR036898	NA	NA	GO:0003899;GO:0006351;GO:0003676	SSF50249;SSF88798	G3DSA:2.40.50.140;G3DSA:3.30.1490.120	PF03876;PF00575	PTHR12709;PTHR12709:SF4	NA	NA	cd04329;cd04462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_242_length_32094_cov_13.881284-augustus-gene-0.88-mRNA-1	IPR032005	NA	mobidb-lite	GO:0003723;GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004831;GO:0005737;GO:0006437	SSF52374	G3DSA:1.10.240.10;G3DSA:3.40.50.620;G3DSA:3.10.290.10	PF16714;PF00579	PTHR11766:SF0;PTHR11766	KEGG: 00970+6.1.1.1	NA	cd00805	PS00178	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	PR01040	NA	NA	NA	NA	NA	NA	TIGR00234	NA	NA
snap_masked-NODE_61_length_69890_cov_14.566891-processed-gene-0.105-mRNA-1	IPR018303	SM00831	mobidb-lite	GO:0016021;GO:0000166	SSF81660;SSF81665;SSF81653;SSF56784	G3DSA:1.20.1110.10;G3DSA:2.70.150.10;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000	PF00689;PF00702;PF13246;PF00122;PF00690	PTHR43294	Reactome: R-HSA-936837	NA	NA	PS00154	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	PR00119;PR00121	NA	NA	NA	NA	NA	NA	TIGR01494	SFLDS00003;SFLDF00027	NA
maker-NODE_91_length_59686_cov_14.327574-snap-gene-0.116-mRNA-1	IPR019775	SM00320	NA	GO:0005515	SSF50978	G3DSA:2.130.10.10	PF00400	PTHR44239:SF2;PTHR44239	NA	PS50294;PS50082	NA	PS00678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_337_length_24620_cov_11.505736-processed-gene-0.1-mRNA-1	IPR000719	SM00220	mobidb-lite	GO:0004672;GO:0005524;GO:0006468	SSF56112	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PF00069	PTHR24361;PTHR24361:SF633	NA	PS50011	cd06609	NA	NA	NA	NA	Coil	NA	NA	PIRSF000615	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_129899_cov_13.674213-processed-gene-0.81-mRNA-1	IPR008271	SM00320;SM00220	mobidb-lite	GO:0004672;GO:0006468;GO:0005515;GO:0005524	SSF52058;SSF50978;SSF56112;SSF48371	G3DSA:3.80.10.10;G3DSA:1.25.10.10;G3DSA:1.10.510.10	PF14580;PF00400;PF00069	PTHR17583	NA	PS50082;PS50294;PS51450;PS50011	cd13980	PS00108;PS00678	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_30_length_91447_cov_13.464488-snap-gene-0.37-mRNA-1	IPR020846	NA	mobidb-lite	GO:0016021;GO:0055085;GO:0005215	SSF103473	NA	PF07690	PTHR23504:SF6;PTHR23504	NA	PS50850	cd06174	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	PR01035	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_496_length_15782_cov_11.622613-processed-gene-0.34-mRNA-1	IPR014014	SM00487;SM01178;SM00490	mobidb-lite	GO:0003676;GO:0005524	SSF52540	G3DSA:3.40.50.300	PF00270;PF13959;PF00271	PTHR24031:SF54;PTHR24031	NA	PS51195;PS51194;PS51192	cd00268;cd00079	PS00039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_361_length_23402_cov_11.846531-processed-gene-0.55-mRNA-1	IPR000086	NA	mobidb-lite	GO:0016787	SSF55811	NA	PF00293	PTHR12992;PTHR12992:SF0	NA	PS51462	cd03426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_31_length_91375_cov_13.158524-snap-gene-0.8-mRNA-1	IPR013032	NA	mobidb-lite	NA	NA	NA	NA	PTHR17178	NA	PS50026	cd00054	PS00022;PS01186	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_167_length_40370_cov_13.280397-processed-gene-0.158-mRNA-1	IPR005606	NA	mobidb-lite		NA	NA	PF03908	PTHR12825:SF0;PTHR12825	Reactome: R-HSA-6811434	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_160_length_40994_cov_13.364304-processed-gene-0.124-mRNA-1	IPR001138	SM00066	mobidb-lite	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	G3DSA:4.10.240.10	PF00172	PTHR31944;PTHR31944:SF90	NA	PS50048	cd00067;cd12148	PS00463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_432_length_18916_cov_11.972750-augustus-gene-0.21-mRNA-1	IPR000719	SM00220	mobidb-lite	GO:0004672;GO:0005524;GO:0006468;GO:0000124;GO:0003712	SSF56112	G3DSA:1.10.510.10	PF12090;PF00069	PTHR24343:SF191;PTHR24343	NA	PS50011	NA	PS00108	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_503_length_15551_cov_13.310749-snap-gene-0.2-mRNA-1	IPR002048	NA	NA	GO:0005509	SSF47473	G3DSA:1.10.238.10	NA	PTHR19237:SF20;PTHR19237	NA	PS50222	NA	PS00018	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-noTM	NA	NA	NA	NA
maker-NODE_341_length_24547_cov_13.688370-augustus-gene-0.10-mRNA-1	IPR013120	NA	NA	GO:0004043;GO:0009085;GO:0003824	SSF51735;SSF47336;SSF56801	G3DSA:3.30.300.30;G3DSA:3.40.50.12780;G3DSA:1.10.1200.10;G3DSA:3.40.50.720	PF07993;PF00550;PF00501	PTHR44845:SF1;PTHR44845	Reactome: R-HSA-8848584	PS50075	cd05930;cd05235	PS00455	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	PIRSF001617	NA	NA	TIGR01746;TIGR01733;TIGR03443	NA	NA
snap_masked-NODE_116_length_50368_cov_13.631218-processed-gene-0.16-mRNA-1	IPR002110	SM00248	NA	GO:0005515	SSF48403	G3DSA:1.25.40.20	PF12796	PTHR44181	NA	PS50088;PS50297	cd00204	NA	NA	NA	PR01415	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_51_length_77332_cov_13.564925-processed-gene-0.40-mRNA-1	IPR014718	NA	NA	GO:0030246;GO:0003824	SSF48208	G3DSA:1.20.1610.10;G3DSA:2.70.98.10;G3DSA:1.20.1050.60;G3DSA:3.30.2080.10	PF17678;PF07971	PTHR12143;PTHR12143:SF36	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-noTM	NA	TIGR01180	NA	NA
maker-NODE_103_length_53666_cov_13.618278-augustus-gene-0.28-mRNA-1	IPR008271	SM00220	mobidb-lite	GO:0004672;GO:0006468;GO:0005524;GO:0004674	SSF56112;SSF103243	G3DSA:1.10.510.10;G3DSA:3.30.310.80	PF16579;PF08587;PF00069	PTHR24343:SF312;PTHR24343	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-1632852|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-6804756	PS50011	cd14079;cd12122;cd14334	PS00108;PS00107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_66_length_68292_cov_12.289562-processed-gene-0.43-mRNA-1	IPR003020	NA	mobidb-lite	GO:0005452;GO:0006820;GO:0016020;GO:0016021	NA	G3DSA:1.10.287.570	PF00955	PTHR11453:SF82;PTHR11453	Reactome: R-HSA-425381	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_88_length_60635_cov_13.468847-augustus-gene-0.28-mRNA-1	IPR036010	SM01008;SM01092	NA	GO:0009055;GO:0051536;GO:0016491;GO:0055114;GO:0046872;GO:0050660;GO:0051537;GO:0005506;GO:0071949	SSF54292;SSF54665;SSF55447;SSF56176;SSF56003;SSF47741	G3DSA:3.30.365.10	PF00941;PF01799;PF02738;PF01315;PF03450;PF00111	PTHR11908:SF124;PTHR11908	NA	PS51085;PS51387	cd00207	PS00197	NA	NA	NA	NA	NA	NA	PIRSF000127	NA	NA	NA	NA	NA
maker-NODE_15_length_105858_cov_13.623365-snap-gene-0.2-mRNA-1	IPR034181	SM00360	NA	GO:0003723;GO:0046872;GO:0003676;GO:0000387;GO:0017070;GO:0036002;GO:0045292;GO:0000398	SSF54928	G3DSA:3.30.70.330	PF16131;PF00076	PTHR14089:SF2;PTHR14089	Reactome: R-HSA-72163	PS50103;PS50102	cd12360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
