Gene	interpro	GO	SMART	Pfam	PANTHER	Gene3D	SUPERFAMILY	ProSiteProfiles	MobiDBLite	CDD	Coils	PATHWAY	ProSitePatterns	PIRSF	PRINTS	Phobius	TMHMM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	TIGRFAM	SFLD	Hamap	ProDom
maker-NODE_56_length_196720_cov_42.575295-augustus-gene-0.5-mRNA-1	IPR039421	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	SM00382	PF00664;PF00005	PTHR24221;PTHR24221:SF400	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	SSF90123;SSF52540	PS50929;PS50893	mobidb-lite	cd03249	NA	NA	PS00211	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_32_length_303124_cov_51.905705-processed-gene-2.18-mRNA-1	IPR020846	GO:0016021;GO:0055085	NA	PF07690	PTHR42718:SF11;PTHR42718	G3DSA:1.20.1720.10	SSF103473	PS50850	mobidb-lite	cd06174	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_270935_cov_45.967634-augustus-gene-1.77-mRNA-1	IPR013861	GO:0006890;GO:0016021	SM01160	PF08551	PTHR13377:SF3;PTHR13377	NA	SSF144091	NA	mobidb-lite	NA	NA	Reactome: R-HSA-6807878	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_55_length_197038_cov_46.543520-processed-gene-0.26-mRNA-1	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	PF13520	PTHR11785:SF382;PTHR11785	G3DSA:1.20.1740.10	NA	NA	mobidb-lite	NA	NA	NA	NA	PIRSF006060	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_399465_cov_44.223703-augustus-gene-0.18-mRNA-1	IPR004648	GO:0055085	NA	PF03169	PTHR22601:SF48;PTHR22601	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	TIGR00727;TIGR00728	NA	NA	NA
maker-NODE_82_length_123684_cov_46.464263-augustus-gene-0.31-mRNA-1	IPR013328	GO:0016491;GO:0055114;GO:0050662;GO:0003824;GO:0008926;GO:0019594	NA	PF08125;PF01232	PTHR30524;PTHR30524:SF0	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	SSF48179;SSF51735	NA	NA	NA	NA	KEGG: 00051+1.1.1.17|MetaCyc: PWY-6531	NA	NA	PR00084	NA	NA	NA	NA	NA	NA	NA	MF_00196	NA
augustus_masked-NODE_16_length_404132_cov_53.888514-processed-gene-1.21-mRNA-1	IPR033469	GO:0050333;GO:0006772	SM01118	NA	PTHR14586	G3DSA:2.40.320.10	SSF55154	NA	NA	cd07758	NA	Reactome: R-HSA-196819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_592919_cov_50.166630-augustus-gene-3.34-mRNA-1	IPR014876	GO:0003676;GO:0005515	SM00151;SM00355	PF08766;PF02201	PTHR22938;PTHR22938:SF0	G3DSA:1.10.245.10	SSF57850;SSF109715;SSF47592	PS50089	mobidb-lite	cd16615	Coil	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	PS00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_389369_cov_49.707909-processed-gene-0.10-mRNA-1	IPR019734	GO:0005515	SM00028	PF00515;PF13432;PF14559;PF12895;PF13181	PTHR12558:SF13;PTHR12558	G3DSA:1.25.40.10	SSF48452	PS50005;PS50293	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_533797_cov_51.760206-processed-gene-3.23-mRNA-1	IPR001296	GO:0000506;GO:0006506;GO:0017176	NA	PF00534;PF08288	PTHR12526:SF232;PTHR12526	G3DSA:3.40.50.2000	SSF53756	NA	NA	cd03796	NA	KEGG: 00563+2.4.1.198|Reactome: R-HSA-162710	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_83_length_123571_cov_47.203056-processed-gene-0.26-mRNA-1	IPR009445	NA	NA	PF06417	PTHR19315	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	PIRSF017207	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_425382_cov_49.164553-processed-gene-2.25-mRNA-1	IPR029021	GO:0008138;GO:0016311;GO:0004725;GO:0016791	NA	PF00782;PF12697	PTHR10367:SF6;PTHR10367	G3DSA:3.40.50.1820;G3DSA:3.90.190.10	SSF52799;SSF53474	PS50056	mobidb-lite	NA	NA	NA	PS00383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_39_length_280547_cov_51.498181-processed-gene-1.52-mRNA-1	IPR006603		SM00679	PF04193	PTHR13131:SF5;PTHR13131	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-425393|Reactome: R-HSA-5223345	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_53_length_203429_cov_38.242064-augustus-gene-0.28-mRNA-1	IPR036259	GO:0016021;GO:0055085	NA	PF07690	PTHR23294:SF27;PTHR23294	G3DSA:1.20.1250.20	SSF103473	NA	NA	cd06174	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_358069_cov_41.594663-processed-gene-1.13-mRNA-1	IPR009447	GO:0006506;GO:0016021;GO:0016746	NA	PF06423	PTHR20661	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-162710	NA	PIRSF017321	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_296247_cov_55.180214-augustus-gene-1.88-mRNA-1	IPR037151	GO:0016491;GO:0055114	NA	PF13532	PTHR16557;PTHR16557:SF3	G3DSA:2.60.120.590	SSF51197	PS51471	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_43_length_242652_cov_45.973747-processed-gene-1.40-mRNA-1	IPR020846	GO:0016021;GO:0055085	NA	PF07690	PTHR23501:SF3;PTHR23501	G3DSA:1.20.1250.20	SSF103473	PS50850	mobidb-lite	cd06174	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_173_length_20202_cov_53.595816-augustus-gene-0.9-mRNA-1	IPR027417	GO:0003924;GO:0005525;GO:0007165;GO:0016020	SM00175;SM00173;SM00176;SM00174	PF00071	PTHR24070:SF284;PTHR24070	G3DSA:3.40.50.300	SSF52540	PS51421	mobidb-lite	NA	NA	NA	NA	NA	PR00449	NA	NA	NA	NA	NA	TIGR00231	NA	NA	NA
maker-NODE_85_length_117886_cov_48.857811-augustus-gene-0.5-mRNA-1	IPR000642	GO:0004222;GO:0005524;GO:0006508;GO:0008270;GO:0016021;GO:0016020	SM00382	PF01434;PF17862;PF00004;PF06480	PTHR43655;PTHR43655:SF14	G3DSA:3.40.50.300;G3DSA:1.20.58.760;G3DSA:3.40.1690.20;G3DSA:1.10.8.60	SSF52540;SSF140990	NA	mobidb-lite	cd00009	NA	Reactome: R-HSA-8949664	PS00674	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	TIGR01241	NA	MF_01458	NA
maker-NODE_93_length_98148_cov_53.586119-augustus-gene-0.36-mRNA-1	IPR017981	GO:0004888;GO:0007166;GO:0016021;GO:0004930;GO:0007186	NA	PF00002	PTHR23112:SF22;PTHR23112	G3DSA:1.20.1070.10	SSF81321	PS50261	mobidb-lite	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_76_length_137587_cov_53.700800-processed-gene-0.47-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_45_length_239225_cov_44.495215-augustus-gene-1.36-mRNA-1	IPR020795	GO:0003677;GO:0005664;GO:0006260	NA	PF07034;PF18137	PTHR12748	NA	NA	NA	mobidb-lite	NA	NA	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_576710_cov_38.331728-augustus-gene-4.8-mRNA-1	IPR000210	GO:0005515	SM00225	PF13418;PF00651;PF13854	PTHR23244:SF354;PTHR23244	G3DSA:3.30.710.10;G3DSA:2.120.10.80	SSF117281;SSF54695	PS50097	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_425382_cov_49.164553-augustus-gene-2.7-mRNA-1	IPR001357	GO:0003677;GO:0003910;GO:0006281;GO:0006310;GO:0005524;GO:0051103;GO:0071897;GO:0003909	SM00292	PF04679;PF01068;PF16589;PF04675	PTHR10459;PTHR10459:SF7	G3DSA:3.30.470.30;G3DSA:2.40.50.140;G3DSA:1.10.3260.10;G3DSA:3.40.50.10190	SSF117018;SSF52113;SSF50249;SSF56091	PS50160;PS50172	mobidb-lite	cd00027;cd07903	NA	Reactome: R-HSA-164843|Reactome: R-HSA-5693571	PS00697	NA	NA	NA	NA	NA	NA	NA	TIGR00574	NA	NA	NA
maker-NODE_15_length_422333_cov_46.772682-augustus-gene-3.15-mRNA-1	IPR006043	GO:0016020;GO:0022857;GO:0055085;GO:0005215	NA	PF00860	PTHR42810:SF2;PTHR42810	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-196836	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	TIGR00801	NA	NA	NA
maker-NODE_60_length_180888_cov_46.146929-augustus-gene-0.20-mRNA-1	IPR038852	NA	NA	NA	PTHR42106	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_835251_cov_43.524260-augustus-gene-3.4-mRNA-1	IPR036322	GO:0005515;GO:0004672;GO:0005524;GO:0006468	SM00320;SM00220	PF14580;PF00069;PF00400	PTHR17583	G3DSA:3.80.10.10;G3DSA:1.10.510.10;G3DSA:1.25.10.10	SSF50978;SSF48371;SSF52058;SSF56112	PS51450;PS50011;PS50082;PS50294	mobidb-lite	cd13980	Coil	NA	PS00678;PS00108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_592919_cov_50.166630-augustus-gene-4.76-mRNA-1	IPR022057	NA	NA	PF12271	PTHR35329:SF2;PTHR35329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_81_length_124629_cov_55.594521-augustus-gene-0.42-mRNA-1	IPR036291	GO:0006099;GO:0030060;GO:0003824;GO:0005975;GO:0016616;GO:0055114;GO:0016491;GO:0019752;GO:0006108;GO:0016615	NA	PF00056;PF02866	PTHR11540;PTHR11540:SF30	G3DSA:3.40.50.720;G3DSA:3.90.110.10	SSF51735;SSF56327	NA	NA	cd01337	Coil	KEGG: 00020+1.1.1.37|KEGG: 00270+1.1.1.37|KEGG: 00620+1.1.1.37|KEGG: 00630+1.1.1.37|KEGG: 00680+1.1.1.37|KEGG: 00710+1.1.1.37|KEGG: 00720+1.1.1.37|MetaCyc: PWY-1622|MetaCyc: PWY-5392|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7115|MetaCyc: PWY-7383|Reactome: R-HSA-70263|Reactome: R-HSA-71403	PS00068	PIRSF000102	NA	NA	NA	NA	NA	NA	TIGR01772	NA	NA	NA
maker-NODE_1_length_923648_cov_49.367359-augustus-gene-1.2-mRNA-1	IPR027359	GO:0005245;GO:0005891;GO:0070588;GO:0005216;GO:0006811;GO:0016020;GO:0055085;GO:0005509	NA	PF00520	PTHR10037;PTHR10037:SF62	G3DSA:1.20.120.350;G3DSA:1.10.287.70;G3DSA:1.10.238.10	SSF81324	PS50222	mobidb-lite	NA	NA	NA	NA	NA	PR00167	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_139_length_51378_cov_53.865622-processed-gene-0.9-mRNA-1	NA	NA	NA	NA	PTHR42105	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_533797_cov_51.760206-processed-gene-0.13-mRNA-1	IPR012337	GO:0006281;GO:0016035;GO:0019985	NA	PF03104	PTHR10322;PTHR10322:SF26	G3DSA:3.30.342.10	SSF53098	NA	NA	NA	NA	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7|Reactome: R-HSA-110312|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_797078_cov_49.968901-processed-gene-4.30-mRNA-1	IPR015421	GO:0003824;GO:0000105;GO:0004400;GO:0009058;GO:0030170;GO:0016740	NA	PF00155	PTHR42885;PTHR42885:SF2	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	SSF53383	NA	NA	cd00609	NA	KEGG: 00340+2.6.1.9|KEGG: 00350+2.6.1.9|KEGG: 00360+2.6.1.9|KEGG: 00400+2.6.1.9|KEGG: 00401+2.6.1.9|KEGG: 00960+2.6.1.9	PS00599	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	TIGR01141	NA	MF_01023	NA
maker-NODE_135_length_53722_cov_52.965333-augustus-gene-0.1-mRNA-1	IPR011417	GO:0005543;GO:0005545;GO:0030136;GO:0030276;GO:0048268	SM00273	PF07651	PTHR22951;PTHR22951:SF5	G3DSA:1.20.58.150;G3DSA:1.25.40.90	SSF48464;SSF89009	PS50942	mobidb-lite	cd03564	NA	Reactome: R-HSA-8856828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_280547_cov_51.498181-augustus-gene-1.12-mRNA-1	IPR013763	GO:0005634	SM00385;SM01332	PF00134;PF02984	PTHR10177;PTHR10177:SF348	G3DSA:1.10.472.10	SSF47954	NA	mobidb-lite	cd00043	NA	NA	PS00292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_399465_cov_44.223703-augustus-gene-2.49-mRNA-1	IPR023213	GO:0016740;GO:0031177;GO:0003824	SM00825;SM00827;SM00823;SM00826;SM00822	PF02801;PF08242;PF00109;PF16197;PF00501;PF07993;PF00698;PF08659;PF00550;PF14765;PF00668	PTHR43775;PTHR43775:SF19	G3DSA:3.40.50.12780;G3DSA:3.30.559.10;G3DSA:3.40.366.10;G3DSA:1.10.1200.10;G3DSA:3.40.50.720;G3DSA:3.40.50.150;G3DSA:3.10.129.110;G3DSA:3.30.300.30;G3DSA:3.30.559.30;G3DSA:3.40.47.10	SSF51735;SSF56801;SSF55048;SSF53901;SSF47336;SSF52777;SSF53335;SSF52151	PS50075	mobidb-lite	cd00833;cd02440;cd05930	NA	Reactome: R-HSA-389661	PS00606;PS00455;PS00012	NA	NA	NA	NA	NA	NA	NA	TIGR01733	NA	NA	NA
maker-NODE_2_length_835251_cov_43.524260-augustus-gene-7.23-mRNA-1	IPR036400	GO:0000104;GO:0055114	SM01117	PF00890;PF00173	PTHR43400:SF1;PTHR43400	G3DSA:3.10.120.10;G3DSA:3.90.700.10;G3DSA:3.50.50.60	SSF55856;SSF56425;SSF51905	PS50255	mobidb-lite	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	TIGR01813	NA	NA	NA
augustus_masked-NODE_7_length_592919_cov_50.166630-processed-gene-0.13-mRNA-1	IPR018823	NA	NA	PF10337;PF10334;PF13515	PTHR37994	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_46_length_236884_cov_44.438762-augustus-gene-1.45-mRNA-1	IPR036259	GO:0016021;GO:0055085	NA	PF07690	PTHR23501;PTHR23501:SF60	G3DSA:1.20.1250.20	SSF103473	PS50850	NA	cd06174	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_425382_cov_49.164553-processed-gene-0.13-mRNA-1	IPR004712	GO:0005886;GO:0015385;GO:0016021;GO:0030004;GO:0006814;GO:0016020;GO:0006812;GO:0015299;GO:0055085	NA	PF08619;PF00999	PTHR31382:SF4;PTHR31382	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_58_length_186216_cov_40.970724-processed-gene-0.27-mRNA-1	IPR019581	GO:0030623;GO:0000398;GO:0005681;GO:0005515;GO:0003723;GO:0017070	SM00232	PF10597;PF08083;PF08082;PF12134;PF10598;PF08084;PF10596	PTHR11140	G3DSA:1.20.80.40;G3DSA:3.30.420.230;G3DSA:1.20.58.1750;G3DSA:3.90.1570.40;G3DSA:3.40.140.10	SSF53098	NA	mobidb-lite	cd08056;cd13838	NA	Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD149576
augustus_masked-NODE_34_length_296376_cov_41.669224-processed-gene-0.10-mRNA-1	IPR017455	GO:0046872	SM00064	PF01363	PTHR13510:SF43;PTHR13510	G3DSA:3.30.40.10	SSF57903	PS50178	mobidb-lite	cd15760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_301127_cov_37.102465-augustus-gene-2.23-mRNA-1	IPR002579	GO:0033743;GO:0055114;GO:0006979;GO:0016671;GO:0030091	NA	PF01641	PTHR10173;PTHR10173:SF52	G3DSA:2.170.150.20	SSF51316	PS51790	NA	NA	NA	Reactome: R-HSA-5676934	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	TIGR00357	NA	NA	NA
maker-NODE_1_length_923648_cov_49.367359-augustus-gene-1.8-mRNA-1	IPR002680	GO:0009916;GO:0055114	NA	PF01786	PTHR31803:SF3;PTHR31803	G3DSA:1.20.1260.140	NA	NA	NA	cd01053	NA	NA	NA	PIRSF005229	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_55_length_197038_cov_46.543520-augustus-gene-0.77-mRNA-1	NA	NA	NA	NA	PTHR33048	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_425382_cov_49.164553-augustus-gene-0.1-mRNA-1	IPR024078	GO:0000225;GO:0006506	NA	PF02585	PTHR12993:SF11;PTHR12993	G3DSA:3.40.50.10320	SSF102588	NA	NA	NA	NA	Reactome: R-HSA-162710	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_797078_cov_49.968901-augustus-gene-0.34-mRNA-1	IPR036259	GO:0016021;GO:0055085	NA	PF07690	PTHR43791:SF24;PTHR43791	G3DSA:1.20.1250.20	SSF103473	PS50850	NA	cd06174	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_19_length_388427_cov_45.172902-processed-gene-2.48-mRNA-1	IPR017441	GO:0005524;GO:0004672;GO:0006468	NA	PF00069	PTHR43671;PTHR43671:SF19	G3DSA:1.10.510.10	SSF56112	PS50011	mobidb-lite	NA	NA	NA	PS00107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_358069_cov_41.594663-augustus-gene-1.0-mRNA-1	IPR011009	GO:0004672;GO:0005524;GO:0006468	SM00220	PF00069	PTHR24343;PTHR24343:SF302	NA	SSF56112	PS50011	mobidb-lite	NA	NA	NA	PS00108;PS00107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_72_length_143145_cov_39.756059-augustus-gene-0.58-mRNA-1	IPR007241		NA	PF04109	PTHR13038:SF10;PTHR13038	NA	NA	NA	mobidb-lite	NA	NA	Reactome: R-HSA-1632852	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_296247_cov_55.180214-augustus-gene-1.96-mRNA-1	IPR005829	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0016020	NA	PF00083	PTHR23500;PTHR23500:SF50	G3DSA:1.20.1250.20	SSF103473	PS50850	mobidb-lite	cd06174	NA	Reactome: R-HSA-189200	PS00216;PS00217	NA	PR00171	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	TIGR00879	NA	NA	NA
augustus_masked-NODE_3_length_797078_cov_49.968901-processed-gene-6.56-mRNA-1	IPR037523	NA	NA	PF00903	NA	G3DSA:3.10.180.10	SSF54593	PS51819	NA	cd06587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_592919_cov_50.166630-processed-gene-1.1-mRNA-1	IPR012947	GO:0004812;GO:0005524;GO:0043039;GO:0000166	SM00863	PF07973	PTHR43462;PTHR43462:SF2	G3DSA:3.30.980.10;G3DSA:2.40.30.130	SSF55186;SSF50447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_316251_cov_50.101138-augustus-gene-1.12-mRNA-1	IPR029055	GO:0004066;GO:0006529	NA	PF13537;PF00733	PTHR11772:SF3;PTHR11772	G3DSA:3.60.20.10;G3DSA:3.40.50.620	SSF56235;SSF52402	PS51278	NA	cd03766;cd01991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_425382_cov_49.164553-augustus-gene-2.1-mRNA-1	IPR001623	GO:0006457;GO:0051082;GO:0005524;GO:0009408;GO:0031072	SM00271	PF00684;PF01556;PF00226	PTHR43888:SF12;PTHR43888	G3DSA:2.60.260.20;G3DSA:2.10.230.10;G3DSA:1.10.287.110	SSF49493;SSF46565;SSF57938	PS50076;PS51188	mobidb-lite	cd06257;cd10719;cd10747	Coil	NA	PS00636	NA	PR00625	NA	NA	NA	NA	NA	NA	NA	MF_01152	NA
maker-NODE_103_length_87762_cov_39.171267-augustus-gene-0.3-mRNA-1	IPR003439	GO:0005524;GO:0016887;GO:0016020;GO:0016021;GO:0042626;GO:0055085	SM00382	PF14510;PF00005;PF01061;PF06422	PTHR19241;PTHR19241:SF179	G3DSA:3.40.50.300	SSF52540	PS50893	mobidb-lite	cd03232;cd03233	NA	Reactome: R-HSA-1369062	PS00211	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_366562_cov_50.008967-augustus-gene-1.31-mRNA-1	IPR000061	GO:0003723;GO:0006396	SM00648	PF01805;PF12230	PTHR15316:SF1;PTHR15316	G3DSA:1.10.10.790	SSF109905	PS50128	mobidb-lite	NA	Coil	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_358069_cov_41.594663-processed-gene-2.44-mRNA-1	IPR029056	NA	NA	NA	PTHR43085;PTHR43085:SF1	NA	SSF53613	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_835251_cov_43.524260-augustus-gene-7.18-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_835251_cov_43.524260-augustus-gene-7.22-mRNA-1	IPR020846	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	NA	PF00083	PTHR23500;PTHR23500:SF128	G3DSA:1.20.1250.20	SSF103473	PS50850	mobidb-lite	cd06174	NA	Reactome: R-HSA-189200	PS00216;PS00217	NA	PR00171	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	TIGR00879	NA	NA	NA
