Gene	Gene3D	TMHMM	Phobius	PANTHER	SUPERFAMILY	interpro	GO	PATHWAY	Pfam	PIRSF	MobiDBLite	SMART	Coils	ProSiteProfiles	CDD	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	ProSitePatterns	Hamap	PRINTS	TIGRFAM	SFLD	ProDom
augustus_masked-NODE_198_length_43914_cov_28.336767-processed-gene-0.7-mRNA-1	G3DSA:3.40.630.30	NA	NA	PTHR42919:SF12;PTHR42919	SSF55729	IPR016181	NA	NA	PF00583	NA	NA	NA	NA	PS51186	cd04301	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_587_length_16765_cov_28.257904-processed-gene-0.3-mRNA-1	NA	NA	NA	PTHR21964	NA	IPR013907	NA	NA	PF08598	NA	mobidb-lite	SM01401	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_190777_cov_31.566892-processed-gene-0.49-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_190777_cov_31.566892-augustus-gene-0.18-mRNA-1	G3DSA:3.30.450.50;G3DSA:1.20.5.110	NA	NA	PTHR21136;PTHR21136:SF5	SSF64356;SSF58038	IPR001388	GO:0016021;GO:0016192	Reactome: R-HSA-204005	PF00957;PF13774	NA	NA	SM01270	NA	PS50892;PS50859	cd15867	NA	NA	NA	NA	NA	PR00219	NA	NA	NA
maker-NODE_338_length_31257_cov_35.498458-augustus-gene-0.0-mRNA-1	G3DSA:1.20.1250.20	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23500;PTHR23500:SF198	SSF103473	IPR036259	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	Reactome: R-HSA-189200	PF00083	NA	NA	NA	NA	PS50850	cd06174	NA	NA	NA	PS00216;PS00217	NA	PR00171	NA	NA	NA
maker-NODE_205_length_42937_cov_29.778043-augustus-gene-0.13-mRNA-1	G3DSA:3.30.420.40;G3DSA:3.90.640.60	NA	NA	PTHR11937:SF231;PTHR11937	SSF53067	IPR027665	GO:0006338;GO:0016514;GO:0016586	NA	PF00022	NA	mobidb-lite	SM00268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_751_length_11877_cov_29.894213-augustus-gene-0.0-mRNA-1	G3DSA:3.30.56.10;G3DSA:3.30.930.10;G3DSA:3.50.40.10	NA	NA	PTHR10947;PTHR10947:SF0	SSF56037;SSF55681;SSF46955	IPR004531	GO:0000166;GO:0004826;GO:0005524;GO:0005737;GO:0006432;GO:0003723;GO:0000287	KEGG: 00970+6.1.1.20|Reactome: R-HSA-379716	PF03483;PF03484;PF18262;PF17759	NA	NA	SM00873;SM00874	NA	PS51483	cd00769	NA	NA	NA	NA	NA	NA	TIGR00471	NA	NA
augustus_masked-NODE_354_length_29967_cov_26.954055-processed-gene-0.7-mRNA-1	NA	NA	NA	PTHR31010	NA	IPR008812	NA	NA	PF05508	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_146443_cov_31.837947-augustus-gene-0.44-mRNA-1	G3DSA:3.50.7.10;G3DSA:1.10.560.10;G3DSA:3.30.260.10	NA	NA	PTHR11353;PTHR11353:SF22	SSF54849;SSF52029;SSF48592	IPR012720	GO:0005524;GO:0006457;GO:0051082	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-6814122	PF00118	NA	mobidb-lite	NA	NA	NA	cd03340	NA	NA	NA	PS00751;PS00995	NA	PR00304	TIGR02345	NA	NA
maker-NODE_31_length_92627_cov_28.197589-augustus-gene-0.7-mRNA-1	G3DSA:1.20.930.60	NA	NA	PTHR12260	SSF111321	IPR036075	GO:0051998	NA	PF01937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_183_length_45644_cov_32.763012-augustus-gene-0.0-mRNA-1	G3DSA:1.20.1280.290	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR16201;PTHR16201:SF35	NA	IPR006603	NA	NA	PF04193	NA	mobidb-lite	SM00679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_192_length_44408_cov_33.686976-processed-gene-0.22-mRNA-1	G3DSA:3.40.30.10;G3DSA:3.90.1720.30;G3DSA:1.25.10.10	NA	NA	PTHR12378:SF7;PTHR12378	SSF52833	IPR013766	GO:0045454	NA	PF05903;PF08324;PF00085	NA	mobidb-lite	SM01179	NA	PS51352;PS51396	cd02947	NA	NA	NA	PS00194	NA	NA	NA	NA	NA
maker-NODE_253_length_38403_cov_27.630578-augustus-gene-0.15-mRNA-1	G3DSA:1.25.40.690;G3DSA:3.30.1610.10	NA	NA	PTHR23198:SF6;PTHR23198	SSF82215	IPR036903	GO:0017056;GO:0005643;GO:0006913	Reactome: R-HSA-1169408|Reactome: R-HSA-141444|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5663220|Reactome: R-HSA-6784531|Reactome: R-HSA-68877	PF13634;PF12110;PF04096	NA	mobidb-lite	NA	Coil	PS51434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_581_length_16901_cov_30.303804-processed-gene-0.3-mRNA-1	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR43791;PTHR43791:SF33	SSF103473	IPR011701	GO:0016021;GO:0055085	NA	PF07690	NA	mobidb-lite	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_455_length_23153_cov_26.101364-processed-gene-0.0-mRNA-1	NA	NA	NA	PTHR28014	NA	IPR021711	NA	NA	PF11702;PF08550	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_439_length_24191_cov_32.690575-augustus-gene-0.6-mRNA-1	G3DSA:3.30.870.10	NA	NA	PTHR18896;PTHR18896:SF113	SSF56024	IPR001736	GO:0003824;GO:0035091;GO:0004630;GO:0006654;GO:0048017	Reactome: R-HSA-1483148	PF00787;PF00614;PF13091	PIRSF009376	mobidb-lite	SM00155	Coil	PS50035	cd09141;cd01254;cd09138	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_803_length_10280_cov_22.783020-augustus-gene-0.0-mRNA-1	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR31306:SF3;PTHR31306	NA	IPR008630	GO:0016021;GO:0016757	NA	PF05637	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_250_length_38500_cov_28.879785-augustus-gene-0.12-mRNA-1	G3DSA:3.40.50.970;G3DSA:3.40.50.920;G3DSA:3.90.480.10;G3DSA:3.30.413.10;G3DSA:3.40.50.360	NA	NA	PTHR19384:SF93;PTHR19384	SSF56014;SSF52518;SSF52218;SSF52922;SSF55124	IPR008254	GO:0010181;GO:0016491;GO:0020037;GO:0051536;GO:0055114;GO:0003824;GO:0004783;GO:0008652;GO:0009337;GO:0050661;GO:0051539	KEGG: 00920+1.8.1.2|MetaCyc: PWY-6683	PF01077;PF00258;PF01855;PF03460	NA	NA	NA	NA	PS50902	cd07034	NA	NA	NA	PS00365	MF_01540	PR00369;PR00397	NA	NA	NA
maker-NODE_135_length_54679_cov_33.360372-augustus-gene-0.25-mRNA-1	G3DSA:3.40.50.12470;G3DSA:1.10.287.1150;G3DSA:3.40.50.970;G3DSA:3.40.50.11610	NA	NA	PTHR23152:SF4;PTHR23152	SSF52518	IPR005475	GO:0004591;GO:0006099;GO:0030976;GO:0055114;GO:0016624	KEGG: 00020+1.2.4.2|KEGG: 00310+1.2.4.2|KEGG: 00380+1.2.4.2|MetaCyc: PWY-5084	PF02779;PF00676;PF16870;PF16078	PIRSF000157	mobidb-lite	SM00861	NA	NA	cd02016	NA	NA	SignalP-TM	NA	NA	NA	TIGR00239	NA	NA
maker-NODE_460_length_22952_cov_29.572705-augustus-gene-0.7-mRNA-1	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR12570:SF5;PTHR12570	SSF103481	IPR008521	GO:0015095;GO:0015693;GO:0016021	Reactome: R-HSA-5223345	PF05653	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_44_length_83539_cov_28.927840-processed-gene-0.1-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_165_length_49100_cov_32.610459-processed-gene-0.2-mRNA-1	G3DSA:2.20.28.10;G3DSA:3.30.40.10	NA	NA	PTHR21319:SF0;PTHR21319	SSF57850;SSF161245;SSF161219	IPR008913	GO:0008270	Reactome: R-HSA-110320|Reactome: R-HSA-983168	PF05495;PF14599;PF13639	NA	mobidb-lite	SM00184	NA	PS51270;PS51266;PS50089	cd16464	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_234_length_40350_cov_26.320314-processed-gene-0.9-mRNA-1	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	PTHR28156	SSF82153	IPR040200	NA	NA	NA	NA	mobidb-lite	NA	NA	PS50213	NA	SignalP-noTM	NA	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_655_length_14520_cov_25.729521-augustus-gene-0.4-mRNA-1	G3DSA:2.30.29.30	NA	NA	PTHR42073	SSF50729	IPR039483	NA	NA	PF15406	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_273_length_35956_cov_28.674789-augustus-gene-0.6-mRNA-1	G3DSA:3.40.50.150	NA	NA	PTHR22809:SF9;PTHR22809	SSF53335	IPR026113	NA	NA	PF13649	PIRSF037755	mobidb-lite	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_99982_cov_34.719373-augustus-gene-0.39-mRNA-1	G3DSA:3.30.40.10	NA	NA	PTHR44445	SSF57850	IPR013083	NA	NA	PF13639	NA	mobidb-lite	SM00184	Coil	PS50089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_135_length_54679_cov_33.360372-augustus-gene-0.23-mRNA-1	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR13116:SF5;PTHR13116	NA	IPR002809	GO:0016020	NA	PF01956	PIRSF010045	NA	SM01415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_249_length_38649_cov_30.013784-augustus-gene-0.7-mRNA-1	G3DSA:1.25.10.10	NA	NA	PTHR15952	SSF48371	IPR011989	GO:0000049;GO:0006409;GO:0008536;GO:0071528	Reactome: R-HSA-6784531	PF08389	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_114_length_59017_cov_29.964391-augustus-gene-0.13-mRNA-1	G3DSA:1.10.246.90;G3DSA:1.10.150.460;G3DSA:1.10.287.660	NA	NA	PTHR13904	SSF89124	IPR029012	GO:0000244;GO:0000398;GO:0046540	Reactome: R-HSA-72163	PF09785;PF01798	NA	mobidb-lite	SM00931	NA	PS51358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_581_length_16901_cov_30.303804-augustus-gene-0.1-mRNA-1	G3DSA:2.30.30.40;G3DSA:1.20.1270.60;G3DSA:3.30.60.20	NA	NA	PTHR43990	SSF103657;SSF50044;SSF57889	IPR001452	GO:0005515;GO:0035556	NA	PF00018;PF00611;PF14604;PF00130	NA	mobidb-lite	SM00326;SM00109;SM00055	Coil	PS51741;PS50081;PS50002	cd00029;cd11912	NA	NA	NA	PS00479	NA	PR00008	NA	NA	NA
augustus_masked-NODE_172_length_46829_cov_29.794977-processed-gene-0.10-mRNA-1	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR11157;PTHR11157:SF38	NA	IPR002076	GO:0016021	KEGG: 00062+2.3.1.199|MetaCyc: PWY-5080|MetaCyc: PWY-5972|MetaCyc: PWY-6433|MetaCyc: PWY-6598|MetaCyc: PWY-7036|MetaCyc: PWY-7601|MetaCyc: PWY-7602|MetaCyc: PWY-7619|MetaCyc: PWY-7724|MetaCyc: PWY-7725|Reactome: R-HSA-75876	PF01151	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_135_length_54679_cov_33.360372-augustus-gene-0.19-mRNA-1	G3DSA:3.30.70.2820;G3DSA:3.90.1600.10;G3DSA:1.10.132.60;G3DSA:2.40.50.730;G3DSA:1.10.287.690;G3DSA:1.10.3200.20;G3DSA:3.30.420.10	NA	NA	PTHR10322:SF21;PTHR10322	SSF53098;SSF56672	IPR012337	GO:0000166;GO:0003677;GO:0003676;GO:0003887;GO:0001882;GO:0006260	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7	PF03104;PF00136;PF12254;PF08996	NA	mobidb-lite	SM00486	NA	NA	cd05532;cd05776	NA	NA	NA	PS00116	NA	PR00106	TIGR00592	NA	NA
augustus_masked-NODE_11_length_135501_cov_31.577622-processed-gene-0.21-mRNA-1	G3DSA:3.30.70.330	NA	NA	PTHR12311	SSF54928	IPR034353	GO:0003676	NA	NA	NA	mobidb-lite	NA	NA	NA	cd12263	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_465_length_22662_cov_30.093277-processed-gene-0.1-mRNA-1	G3DSA:1.20.1250.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR43791:SF59;PTHR43791	SSF103473	IPR020846	GO:0016021;GO:0055085	NA	PF07690	NA	mobidb-lite	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_144_length_53448_cov_30.943137-processed-gene-0.9-mRNA-1	G3DSA:3.40.250.10	NA	NA	PTHR10828;PTHR10828:SF38	SSF52821	IPR036873	NA	NA	PF00581	NA	NA	SM00450	NA	PS50206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_156_length_51155_cov_32.089598-processed-gene-0.1-mRNA-1	NA	NA	NA	PTHR15885	NA	IPR025066	NA	NA	PF13300	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_563_length_17602_cov_30.675937-augustus-gene-0.10-mRNA-1	NA	NA	NA	PTHR12425:SF5;PTHR12425	SSF48371	IPR019318	NA	NA	PF10165	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_70_length_70422_cov_31.699836-augustus-gene-0.1-mRNA-1	G3DSA:3.30.70.330	NA	NA	PTHR44696	SSF54928	IPR012677	GO:0003676	NA	PF00076	NA	mobidb-lite	SM00360	Coil	PS50102	cd12669	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_68_length_71103_cov_30.508764-augustus-gene-0.23-mRNA-1	NA	NA	NA	PTHR11089;PTHR11089:SF7	SSF52540	IPR030378	GO:0005525	NA	PF01926	NA	mobidb-lite	NA	Coil	PS51721	cd01857	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_73_length_70178_cov_29.909780-augustus-gene-0.3-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_267_length_36508_cov_29.164811-augustus-gene-0.12-mRNA-1	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	PTHR10778;PTHR10778:SF4	SSF103481	IPR013657	GO:0055085	NA	PF08449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00803	NA	NA
maker-NODE_550_length_18148_cov_25.002109-augustus-gene-0.1-mRNA-1	NA	NA	NA	PTHR31944:SF92;PTHR31944	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	mobidb-lite	SM00066	NA	PS50048	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_336_length_31424_cov_29.051059-processed-gene-0.5-mRNA-1	G3DSA:3.30.499.10;G3DSA:3.30.499.20	NA	NA	PTHR43822;PTHR43822:SF2	SSF52016;SSF53732	IPR004418	GO:0004409;GO:0009085;GO:0051539	KEGG: 00300+4.2.1.36|MetaCyc: PWY-3081	PF00694;PF00330	NA	mobidb-lite	NA	Coil	NA	cd01674	NA	NA	NA	PS01244;PS00450	NA	PR00415	TIGR00139	NA	NA
augustus_masked-NODE_676_length_14048_cov_36.422814-processed-gene-0.5-mRNA-1	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR28206	NA	IPR037701	GO:0017056;GO:0070762	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_176_length_46237_cov_33.031013-processed-gene-0.3-mRNA-1	G3DSA:3.50.50.60	TMhelix	NA	PTHR43539:SF3;PTHR43539	SSF51905	IPR020946	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	PF00743	PIRSF000332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00370	NA	NA	NA
maker-NODE_202_length_43410_cov_26.661438-augustus-gene-0.15-mRNA-1	NA	NA	NA	PTHR13389	SSF48371	IPR040059	GO:0003723	NA	PF08144	NA	mobidb-lite	SM00025	Coil	PS50303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_181_length_45826_cov_33.961443-augustus-gene-0.3-mRNA-1	G3DSA:3.40.50.10240	NA	NA	PTHR13622;PTHR13622:SF8	SSF63999;SSF63862	IPR007373	GO:0009229;GO:0030975;GO:0004788;GO:0005524;GO:0006772	KEGG: 00730+2.7.6.2|MetaCyc: PWY-6898|MetaCyc: PWY-6907|MetaCyc: PWY-6908|MetaCyc: PWY-7356|Reactome: R-HSA-196819	PF04263;PF04265	PIRSF031057	NA	SM00983	NA	NA	cd07995	NA	NA	NA	NA	NA	NA	TIGR01378	NA	NA
augustus_masked-NODE_53_length_76262_cov_31.542602-processed-gene-0.12-mRNA-1	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR10989:SF16;PTHR10989	NA	IPR006838	GO:0016021	NA	PF04750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_742_length_12135_cov_25.569454-augustus-gene-0.0-mRNA-1	G3DSA:3.40.50.720	NA	NA	PTHR43180	SSF51735	IPR036291	GO:0016491	NA	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS00061	NA	PR00081;PR00080	NA	NA	NA
maker-NODE_254_length_38402_cov_31.022913-augustus-gene-0.13-mRNA-1	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	PTHR31902;PTHR31902:SF1	NA	IPR009737	NA	NA	PF06999	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_127_length_55708_cov_30.020870-processed-gene-0.5-mRNA-1	G3DSA:3.40.50.300	NA	NA	PTHR23359:SF68;PTHR23359	SSF52540	IPR007862	GO:0004017;GO:0005524;GO:0006139;GO:0019205;GO:0005739	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219	PF05191;PF00406	NA	mobidb-lite	NA	NA	NA	cd01428	NA	NA	NA	PS00113	MF_00235;MF_03169	PR00094	NA	NA	NA
augustus_masked-NODE_174_length_46337_cov_30.920775-processed-gene-0.4-mRNA-1	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR42051	NA	IPR034443	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_220_length_41360_cov_33.628720-augustus-gene-0.15-mRNA-1	NA	NA	NA	PTHR23246:SF12;PTHR23246	SSF46689	IPR009057	GO:0003677	NA	NA	NA	mobidb-lite	NA	NA	PS50090	cd00167	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_71_length_70377_cov_27.669423-augustus-gene-0.33-mRNA-1	G3DSA:3.50.50.60	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR13789:SF257;PTHR13789	SSF51905	IPR002938	GO:0071949	NA	PF01494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00420	NA	NA	NA
maker-NODE_42_length_83770_cov_31.605107-augustus-gene-0.5-mRNA-1	G3DSA:1.25.40.20;G3DSA:3.40.50.300	NA	NA	PTHR24151;PTHR24151:SF1	SSF48403;SSF52540	IPR002110	GO:0005515	NA	PF12796;PF17100;PF05729	NA	mobidb-lite	SM00248	Coil	PS50088;PS50837;PS50297	cd00204	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_95_length_61615_cov_25.893166-augustus-gene-0.18-mRNA-1	G3DSA:3.20.20.70;G3DSA:3.40.50.1100	NA	NA	PTHR42882;PTHR42882:SF1	SSF53686;SSF51366	IPR023026	GO:0000162;GO:0004834;GO:0006568;GO:0003824	KEGG: 00260+4.2.1.20|KEGG: 00400+4.2.1.20	PF00290;PF00291	NA	NA	NA	NA	NA	cd06446;cd04724	NA	NA	NA	PS00167;PS00168	MF_00133;MF_00131	NA	TIGR00262;TIGR00263	NA	NA
augustus_masked-NODE_16_length_121858_cov_26.817705-processed-gene-0.38-mRNA-1	G3DSA:3.30.420.40	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR11735;PTHR11735:SF6	SSF53067	IPR000905	GO:0002949;GO:0004222	NA	PF00814	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00789	NA	NA	NA
augustus_masked-NODE_309_length_33322_cov_27.141045-processed-gene-0.7-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR10622:SF10;PTHR10622	NA	IPR010730	NA	NA	PF06985	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_708_length_13131_cov_31.038373-augustus-gene-0.6-mRNA-1	G3DSA:3.60.130.10	NA	NA	PTHR30468;PTHR30468:SF19	SSF51197	IPR003819	GO:0016491;GO:0055114	Reactome: R-HSA-71262	PF02668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_74_length_69926_cov_28.732919-augustus-gene-0.7-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR11814;PTHR11814:SF80	SSF52091	IPR002645	GO:0008272;GO:0015116;GO:0016021;GO:0008271;GO:0016020;GO:0055085	Reactome: R-HSA-427601	PF01740;PF00916	NA	mobidb-lite	NA	NA	PS50801	cd07042	NA	NA	NA	PS01130	NA	NA	TIGR00815	NA	NA
augustus_masked-NODE_157_length_50929_cov_29.461576-processed-gene-0.7-mRNA-1	G3DSA:2.30.30.40;G3DSA:1.10.150.50	NA	NA	PTHR12844:SF27;PTHR12844	SSF47769;SSF50044;SSF50729	IPR001452	GO:0005515	NA	PF00018;PF00169;PF07647	NA	mobidb-lite	SM00233;SM00326;SM00454	NA	PS50002;PS50105;PS50003	cd09535;cd13316	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_190777_cov_31.566892-augustus-gene-0.5-mRNA-1	G3DSA:3.40.630.30	NA	NA	PTHR10615;PTHR10615:SF114	SSF55729	IPR002717	GO:0004402;GO:0006355;GO:0016573	Reactome: R-HSA-3214847	PF01853	NA	mobidb-lite	NA	NA	PS51726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_163_length_49199_cov_30.839909-augustus-gene-0.3-mRNA-1	G3DSA:2.130.10.30	NA	NA	PTHR22870:SF321;PTHR22870	SSF50985	IPR009091	NA	NA	PF13540	NA	NA	NA	NA	PS50012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_390_length_27361_cov_27.532239-augustus-gene-0.1-mRNA-1	G3DSA:1.10.8.60;G3DSA:3.40.50.300;G3DSA:1.20.58.760	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR23076	SSF140990;SSF52540	IPR000642	GO:0004222;GO:0005524;GO:0006508;GO:0016020	Reactome: R-HSA-8949664	PF01434;PF00004;PF17862	NA	mobidb-lite	SM00382	NA	NA	cd00009	NA	NA	SignalP-TM	PS00674	MF_01458	NA	TIGR01241	NA	NA
maker-NODE_427_length_24820_cov_28.095857-augustus-gene-0.3-mRNA-1	G3DSA:3.40.50.150	NA	NA	PTHR10920:SF13;PTHR10920	SSF53335	IPR029063	GO:0005634;GO:0006364;GO:0008168;GO:0001510;GO:0008649;GO:0031167;GO:0032259	Reactome: R-HSA-6791226	PF07780;PF11861;PF01728	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	MF_01547;MF_03163	NA	NA	NA	NA
