Gene	Phobius	MobiDBLite	TMHMM	PRINTS	SFLD	PANTHER	interpro	GO	PATHWAY	TIGRFAM	ProSitePatterns	Gene3D	SUPERFAMILY	Pfam	CDD	SMART	ProSiteProfiles	Hamap	SignalP_EUK	SignalP_GRAM_POSITIVE	Coils	PIRSF	SignalP_GRAM_NEGATIVE	ProDom
maker-NODE_58_length_160627_cov_62.950766-augustus-gene-0.20-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR23181;PTHR23181:SF19	IPR036020	GO:0005515	NA	NA	NA	G3DSA:2.20.70.10	SSF51045	PF00397	NA	SM00456	PS50020	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_23_length_227044_cov_60.670871-processed-gene-1.28-mRNA-1	NA	NA	NA	NA	NA	PTHR44288	IPR016193	GO:0003824	NA	NA	NA	G3DSA:3.40.140.10	SSF53927	PF18785	NA	NA	PS51747	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_253343_cov_59.136358-augustus-gene-1.57-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	mobidb-lite	TMhelix	NA	NA	PTHR12147;PTHR12147:SF6	IPR007484	NA	NA	NA	NA	NA	SSF53187	PF04389	cd03875	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_31_length_201297_cov_63.621141-augustus-gene-1.32-mRNA-1	NA	NA	NA	NA	NA	PTHR45022	IPR013823	GO:0003735;GO:0006412;GO:0005622;GO:0005840	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	G3DSA:3.30.1390.10	SSF54736	PF00542	cd00387	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	PD001326
maker-NODE_130_length_87093_cov_59.619391-augustus-gene-0.2-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR14950;PTHR14950:SF37	IPR001650	GO:0004525;GO:0006396;GO:0016891;GO:0003677;GO:0005524;GO:0016787	Reactome: R-HSA-203927	NA	PS00517	G3DSA:1.10.1520.10;G3DSA:3.40.50.300;G3DSA:3.30.160.380	SSF69065;SSF52540	PF00271;PF03368;PF04851;PF00636	cd00593;cd00079;cd00046	SM00487;SM00535;SM00490	PS51194;PS51192;PS50142;PS51327	NA	NA	NA	NA	NA	NA	NA
maker-NODE_108_length_107061_cov_58.730067-augustus-gene-0.20-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR23242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_7_length_390667_cov_62.570321-augustus-gene-1.7-mRNA-1	NA	NA	NA	NA	NA	PTHR12638;PTHR12638:SF0	IPR036605	GO:0005634;GO:0008380;GO:0035145	Reactome: R-HSA-109688|Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-9010553|Reactome: R-HSA-975957	NA	NA	G3DSA:3.30.1560.10	SSF89817	PF02792	cd11295	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_63_length_152677_cov_59.817214-processed-gene-0.52-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12228;PTHR12228:SF0	IPR006751	GO:0005669;GO:0006367	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA	PF04658	cd08047	SM01370	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_217_length_33035_cov_54.937644-processed-gene-0.1-mRNA-1	NA	mobidb-lite	NA	PR00315	NA	PTHR23115:SF188;PTHR23115	IPR010730	GO:0003924;GO:0005525	Reactome: R-HSA-429958	TIGR00231	PS00301	G3DSA:2.40.30.10;G3DSA:3.40.50.300	SSF50465;SSF50447;SSF52540	PF06985;PF00009;PF08938	cd01883;cd16267	NA	PS51722	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_112_length_101290_cov_54.693663-augustus-gene-0.34-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR10120:SF24;PTHR10120	IPR001915	GO:0004222;GO:0006508;GO:0008233;GO:0071586	KEGG: 00900+3.4.24.84	NA	NA	G3DSA:3.30.2010.10	NA	PF01435;PF16491	cd07343	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_158_length_66947_cov_57.888491-processed-gene-0.4-mRNA-1	NA	mobidb-lite	NA	PR00981	NA	PTHR11778;PTHR11778:SF0	IPR002317	GO:0000166;GO:0004828;GO:0005524;GO:0006434;GO:0004812;GO:0006418	KEGG: 00970+6.1.1.11|MetaCyc: PWY-6281	TIGR00414	NA	G3DSA:3.30.930.10;G3DSA:1.10.287.40	SSF46589;SSF55681	PF00587;PF02403	NA	NA	PS50862	NA	NA	SignalP-TM	Coil	NA	NA	NA
maker-NODE_19_length_255739_cov_51.913670-augustus-gene-1.19-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR10501;PTHR10501:SF32	IPR000504	GO:0003676	NA	NA	NA	G3DSA:3.30.70.330	SSF54928	PF00076	cd12246	SM00360	PS50102	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_66_length_147406_cov_59.785699-processed-gene-0.7-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR43514;PTHR43514:SF4	IPR003439	GO:0005524;GO:0016887	NA	NA	NA	G3DSA:3.40.50.300	SSF52540	PF00005	NA	SM00382	PS50893	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_406391_cov_59.664661-processed-gene-3.13-mRNA-1	NA	NA	NA	NA	NA	PTHR12683;PTHR12683:SF13	IPR001841	GO:0005675;GO:0006289;GO:0045737;GO:0061575	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-69202|Reactome: R-HSA-69231|Reactome: R-HSA-69273|Reactome: R-HSA-69656|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73777|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075|Reactome: R-HSA-8939236	TIGR00570	PS00518	G3DSA:3.30.40.10	SSF57850	PF17121;PF06391	NA	NA	PS50089	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_116_length_99166_cov_59.501631-augustus-gene-0.28-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	NA	IPR021109	NA	NA	NA	NA	G3DSA:2.40.70.10	SSF50630	NA	NA	NA	PS51767	NA	SignalP-noTM	SignalP-TM	NA	NA	SignalP-noTM	NA
maker-NODE_23_length_227044_cov_60.670871-augustus-gene-1.38-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR40626:SF4;PTHR40626	IPR036236	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	G3DSA:3.30.160.60	SSF57667	PF04082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_54_length_166755_cov_60.439518-augustus-gene-0.57-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	mobidb-lite	TMhelix	NA	NA	PTHR12203;PTHR12203:SF57	IPR006598	NA	NA	NA	NA	NA	NA	PF05686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_271234_cov_58.796328-processed-gene-0.28-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR23029:SF55;PTHR23029	IPR013078	GO:0003824	NA	NA	PS00175	G3DSA:3.40.50.1240	SSF53254	PF00300	cd07067	SM00855	NA	NA	NA	NA	NA	PIRSF000709	NA	NA
maker-NODE_97_length_116387_cov_61.952056-augustus-gene-0.15-mRNA-1	NA	NA	NA	NA	NA	PTHR21499	IPR005260	GO:0004072;GO:0009089;GO:0008652	KEGG: 00260+2.7.2.4|KEGG: 00261+2.7.2.4|KEGG: 00270+2.7.2.4|KEGG: 00300+2.7.2.4|MetaCyc: PWY-2941|MetaCyc: PWY-2942|MetaCyc: PWY-5097|MetaCyc: PWY-6160|MetaCyc: PWY-6559|MetaCyc: PWY-6562|MetaCyc: PWY-7153|MetaCyc: PWY-7977	TIGR00657	PS00324	G3DSA:3.30.2130.10;G3DSA:3.40.1160.10	SSF55021;SSF53633	PF00696;PF13840	NA	NA	PS51671	NA	NA	NA	NA	PIRSF000726	NA	NA
maker-NODE_2_length_433942_cov_61.033279-augustus-gene-3.45-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR14398;PTHR14398:SF0	IPR035979	GO:0003676;GO:0046872;GO:0006397	NA	NA	NA	G3DSA:3.30.70.330	SSF54928	PF01480;PF00642;PF00076	cd12257	SM00356;SM00360	PS50102;PS50103	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_28_length_214489_cov_61.086685-augustus-gene-1.43-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR23511:SF5;PTHR23511	IPR011701	GO:0016021;GO:0055085	NA	NA	NA	G3DSA:1.20.1250.20	SSF103473	PF07690	cd06174	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
maker-NODE_104_length_109618_cov_58.740737-augustus-gene-0.39-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR31845;PTHR31845:SF5	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0007165;GO:0035091	Reactome: R-HSA-194840	NA	PS00463	G3DSA:4.10.240.10;G3DSA:2.30.29.30;G3DSA:1.10.555.10;G3DSA:3.30.1520.10	SSF57701;SSF64268;SSF48350;SSF50729	PF00620;PF00172	cd00067;cd06093;cd12148	SM00066;SM00324	PS50048;PS50238	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_405600_cov_57.965645-processed-gene-2.24-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	IPR028084	NA	NA	NA	NA	NA	NA	PF14636	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_10_length_343689_cov_59.984777-processed-gene-1.8-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	IPR022124	NA	NA	NA	NA	NA	NA	PF12396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_66_length_147406_cov_59.785699-augustus-gene-0.59-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR42886;PTHR42886:SF24	IPR029058	NA	NA	NA	NA	NA	SSF53474	PF00561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_283279_cov_54.252907-processed-gene-1.28-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR23074;PTHR23074:SF95	IPR003959	GO:0005524	NA	NA	NA	G3DSA:1.10.8.60;G3DSA:3.40.50.300	SSF52540	PF17862;PF00004	cd00009	SM00382	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_90_length_118339_cov_56.836709-augustus-gene-0.16-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR10578;PTHR10578:SF86	IPR000262	GO:0016491;GO:0055114;GO:0010181;GO:0003824	Reactome: R-HSA-9033241	NA	PS00557	G3DSA:3.20.20.70	SSF51395	PF01070	NA	NA	PS51349	NA	NA	NA	Coil	PIRSF000138	NA	NA
maker-NODE_135_length_84386_cov_57.841251-augustus-gene-0.6-mRNA-1	NA	NA	NA	NA	NA	PTHR11953:SF1;PTHR11953	IPR027408		Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	NA	NA	G3DSA:3.30.230.70	SSF55666;SSF54211	PF01138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_58_length_160627_cov_62.950766-processed-gene-0.35-mRNA-1	NA	mobidb-lite	NA	PR01270	NA	PTHR10625;PTHR10625:SF175	IPR023801		Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862	NA	NA	G3DSA:3.40.800.20	SSF52768	PF00850	cd09998	NA	NA	NA	NA	SignalP-TM	Coil	NA	NA	NA
maker-NODE_33_length_199258_cov_59.565969-augustus-gene-0.32-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR23183	IPR007276	GO:0032040	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	PF04147	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_48_length_172563_cov_64.011529-processed-gene-0.38-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12209	IPR008266	GO:0004672;GO:0006468;GO:0004674;GO:0005524	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6782315|Reactome: R-HSA-6804756	NA	PS00109	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	NA	NA	NA	PS50011	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_20_length_254254_cov_58.988368-augustus-gene-1.68-mRNA-1	NA	NA	NA	NA	NA	PTHR43712;PTHR43712:SF1	IPR001077	GO:0008171;GO:0008168	NA	NA	NA	G3DSA:1.10.10.10;G3DSA:3.40.50.150	SSF46785;SSF53335	PF00891	NA	NA	PS51683	NA	NA	NA	NA	PIRSF005739	NA	NA
augustus_masked-NODE_5_length_406391_cov_59.664661-processed-gene-2.4-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR22761:SF10;PTHR22761	IPR005024	GO:0007034	NA	NA	NA	G3DSA:1.10.287.1060	NA	PF03357	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_14_length_283279_cov_54.252907-augustus-gene-0.4-mRNA-1	NA	mobidb-lite	NA	PR01270	NA	PTHR10625;PTHR10625:SF177	IPR019154		Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862	NA	NA	G3DSA:3.40.800.20	SSF52768	PF09757;PF00850	NA	NA	NA	NA	NA	NA	NA	PIRSF037919	NA	NA
maker-NODE_130_length_87093_cov_59.619391-augustus-gene-0.4-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	IPR028163		Reactome: R-HSA-2565942|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-8854518	NA	NA	NA	NA	PF14661	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_6_length_405600_cov_57.965645-augustus-gene-1.6-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR24031;PTHR24031:SF204	IPR011545	GO:0003676;GO:0005524	NA	NA	NA	G3DSA:3.40.50.300	SSF52540	PF00270;PF00271	cd00268;cd00079	SM00490;SM00487	PS51192;PS51195;PS51194	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_390667_cov_62.570321-processed-gene-2.50-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR14942:SF0;PTHR14942	IPR003103	GO:0051087;GO:0005515;GO:0000398;GO:0005689	Reactome: R-HSA-3371453	NA	NA	G3DSA:1.20.58.120;G3DSA:3.10.20.90	SSF63491;SSF54236	PF02179	cd01769	SM00264	PS50053;PS51035	NA	NA	NA	NA	NA	NA	NA
maker-NODE_161_length_65003_cov_55.187820-augustus-gene-0.2-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	mobidb-lite	TMhelix	NA	NA	PTHR40978;PTHR40978:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NODE_201_length_44095_cov_56.385053-processed-gene-0.7-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	SignalP-noTM	NA
maker-NODE_14_length_283279_cov_54.252907-augustus-gene-1.17-mRNA-1	NA	NA	NA	NA	NA	PTHR13600:SF30;PTHR13600	IPR015915	GO:0005515;GO:0018423;GO:0008168;GO:0032259	NA	NA	NA	G3DSA:2.120.10.80;G3DSA:3.40.50.150;G3DSA:2.60.120.650	SSF53335;SSF51197	PF13621;PF04072	NA	NA	PS51184	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_223128_cov_59.763692-augustus-gene-1.44-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR23514;PTHR23514:SF3	IPR001955	GO:0005179;GO:0005576;GO:0016021;GO:0055085	NA	NA	NA	G3DSA:1.20.1250.20	SSF103473	PF07690	cd06174	NA	PS50276;PS50850	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_136_length_84092_cov_53.172191-processed-gene-0.27-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	PR00380	NA	PTHR24115;PTHR24115:SF557	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003777;GO:0005524;GO:0007018;GO:0008017;GO:0003677;GO:0006351	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	NA	PS00463;PS00411	G3DSA:4.10.240.10;G3DSA:3.40.850.10	SSF57701;SSF52540	PF04082;PF00172;PF00225	cd01370;cd00067;cd12148	SM00129;SM00906;SM00066	PS50048;PS50067	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_14_length_283279_cov_54.252907-augustus-gene-0.8-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR10283;PTHR10283:SF92	IPR004331	GO:0005215;GO:0006814;GO:0016020;GO:0055085	Reactome: R-HSA-433137	NA	NA	NA	NA	PF03105;PF00939	cd01115;cd14478	NA	PS51382	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_62_length_153758_cov_57.514701-processed-gene-0.31-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12309:SF12;PTHR12309	IPR007902	GO:0007059;GO:0051382	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	NA	G3DSA:3.10.20.720	NA	PF05238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_30_length_201833_cov_57.581872-augustus-gene-1.4-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR24348:SF22;PTHR24348	IPR008271	GO:0004672;GO:0006468;GO:0005524;GO:0004674	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	PS00108;PS00107	G3DSA:1.20.58.280;G3DSA:1.10.510.10	SSF56112	PF12063;PF00069	cd14009	SM00220	PS50011	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_165_length_63921_cov_59.995423-processed-gene-0.9-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	NA	NA	NA	PTHR12820	IPR039766	GO:0000938;GO:0042147;GO:0005515	Reactome: R-HSA-6811440	NA	NA	G3DSA:2.60.40.10	SSF49265	PF00041;PF04100	cd00063;cd00890	SM00060	PS50853	NA	SignalP-noTM	NA	Coil	NA	NA	NA
maker-NODE_32_length_200618_cov_49.023123-augustus-gene-0.38-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR13357;PTHR13357:SF1	IPR018556		Reactome: R-HSA-2029482|Reactome: R-HSA-5663213	NA	NA	NA	SSF48371	PF09431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_27_length_216459_cov_59.245156-augustus-gene-0.1-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	PTHR28206	IPR037701	GO:0017056;GO:0070762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_82_length_127700_cov_56.161265-processed-gene-0.30-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR18934;PTHR18934:SF118	IPR001650	GO:0004386;GO:0003676;GO:0005524	NA	NA	PS00690	G3DSA:1.20.5.110;G3DSA:1.20.120.1080;G3DSA:3.40.50.300	SSF58038;SSF52540	PF04408;PF07717;PF00270;PF00271	cd15886;cd00079;cd00046;cd15857	SM00397;SM00490;SM00847;SM00487	PS50192;PS51194;PS51192	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_2_length_433942_cov_61.033279-processed-gene-2.14-mRNA-1	NA	mobidb-lite	NA	PR00851	NA	PTHR11274:SF0;PTHR11274	IPR001161	GO:0004003;GO:0006289;GO:0006367;GO:0003677;GO:0005524;GO:0016787	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73777|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075	TIGR00603	NA	G3DSA:3.40.50.300	SSF52540	PF16203;PF04851;PF13625	cd00079;cd00046	SM00487;SM00490	PS51192;PS51194	NA	NA	NA	NA	NA	NA	NA
maker-NODE_91_length_118097_cov_55.622260-augustus-gene-0.6-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR22599:SF20;PTHR22599	IPR036703	NA	NA	NA	NA	NA	SSF101152	PF03637	NA	SM01388	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_27_length_216459_cov_59.245156-processed-gene-1.43-mRNA-1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	NA	NA	NA	PTHR14790;PTHR14790:SF15	IPR039215	GO:0000166;GO:0031422	Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	NA	NA	NA	NA	PF08585	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_94_length_116752_cov_56.639666-processed-gene-0.32-mRNA-1	NA	mobidb-lite	NA	PR01042	NA	PTHR43450;PTHR43450:SF2	IPR004523	GO:0000166;GO:0004815;GO:0005524;GO:0005737;GO:0006422;GO:0004812;GO:0006418	Reactome: R-HSA-2408517|Reactome: R-HSA-379716	TIGR00458	NA	G3DSA:3.30.930.10;G3DSA:2.40.50.140	SSF55681;SSF50249	PF09924;PF00152	cd04320;cd00776	NA	PS50862	MF_02075	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_111_length_103007_cov_58.285235-processed-gene-0.16-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	mobidb-lite	TMhelix	NA	NA	PTHR23500;PTHR23500:SF35	IPR020846	GO:0005215;GO:0016021;GO:0055085;GO:0022857	NA	NA	PS00216	G3DSA:1.20.1250.20	SSF103473	PF00083	cd06174	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
maker-NODE_170_length_61423_cov_64.891004-augustus-gene-0.28-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_69_length_145752_cov_61.060903-processed-gene-0.34-mRNA-1	SIGNAL_PEPTIDE;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	mobidb-lite	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-TM	NA	NA	SignalP-TM	NA
