Gene	PANTHER	interpro	GO	Pfam	SMART	Gene3D	MobiDBLite	ProSiteProfiles	SUPERFAMILY	Phobius	TMHMM	CDD	PATHWAY	ProSitePatterns	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	PRINTS	Coils	PIRSF	TIGRFAM	SFLD	Hamap	ProDom
augustus_masked-NODE_2_length_834423_cov_25.846594-processed-gene-7.57-mRNA-1	PTHR43261;PTHR43261:SF4	IPR027417	GO:0003924;GO:0005525	PF00009	NA	NA	mobidb-lite	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_83_length_95774_cov_72.042730-processed-gene-0.29-mRNA-1	PTHR18860:SF38;PTHR18860	IPR000308	GO:0019904	NA	NA	NA	NA	NA	SSF48445	NA	NA	NA	Reactome: R-HSA-111447|Reactome: R-HSA-1445148|Reactome: R-HSA-5625740|Reactome: R-HSA-5628897|Reactome: R-HSA-75035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_126_length_65184_cov_70.503343-augustus-gene-0.76-mRNA-1	PTHR44167	IPR017441	GO:0005524;GO:0004672;GO:0006468;GO:0005515	PF00069;PF00498	SM00240;SM00220	G3DSA:2.60.200.20;G3DSA:3.30.200.20;G3DSA:1.10.510.10	mobidb-lite	PS50011;PS50006	SSF56112;SSF49879	NA	NA	cd00060;cd05117	NA	PS00107;PS00108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_263_length_12238_cov_61.434811-processed-gene-0.5-mRNA-1	PTHR14083;PTHR14083:SF0	IPR005578	NA	PF03878	NA	NA	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_74_length_109595_cov_71.369944-augustus-gene-0.327-mRNA-1	PTHR23102;PTHR23102:SF13	IPR000571	GO:0046872	NA	SM00356	G3DSA:4.10.1000.10	mobidb-lite	PS50103	SSF90229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_129_length_63937_cov_77.103291-processed-gene-0.134-mRNA-1	PTHR43791:SF47;PTHR43791	IPR020846	GO:0016021;GO:0055085	PF07690	NA	G3DSA:1.20.1250.20	NA	NA	SSF103473	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_111_length_79994_cov_37.327607-snap-gene-0.15-mRNA-1	PTHR12363;PTHR12363:SF34	IPR016024	NA	NA	NA	G3DSA:1.25.10.10	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_83_length_95774_cov_72.042730-processed-gene-0.9-mRNA-1	PTHR14577	IPR019186		PF09805	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_25_length_194567_cov_74.961417-augustus-gene-0.556-mRNA-1	PTHR23317;PTHR23317:SF69	IPR001452	GO:0005515;GO:0005085;GO:0007264;GO:0035556	PF06920;PF14429;PF16172	SM00326	G3DSA:1.25.40.410;G3DSA:1.20.1270.350;G3DSA:2.30.30.40;G3DSA:2.60.40.150	mobidb-lite	PS50002;PS51651;PS51650	SSF48371;SSF50044	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	cd08679;cd11684	Reactome: R-HSA-983231	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_48_length_145549_cov_74.379929-processed-gene-0.49-mRNA-1	PTHR22600	IPR025705	GO:0004563;GO:0005975;GO:0004553	PF00728;PF14845	NA	G3DSA:3.30.379.10;G3DSA:3.20.20.80	NA	NA	SSF55545;SSF51445	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	KEGG: 00511+3.2.1.52|KEGG: 00513+3.2.1.52|KEGG: 00520+3.2.1.52|KEGG: 00531+3.2.1.52|KEGG: 00603+3.2.1.52|KEGG: 00604+3.2.1.52|MetaCyc: PWY-6902|MetaCyc: PWY-7822|MetaCyc: PWY-7883|Reactome: R-HSA-1660662|Reactome: R-HSA-2022857|Reactome: R-HSA-2024101|Reactome: R-HSA-2160916	NA	SignalP-TM	SignalP-noTM	NA	PR00738	NA	PIRSF001093	NA	NA	NA	NA
maker-NODE_115_length_77220_cov_72.349137-snap-gene-0.164-mRNA-1	PTHR42923;PTHR42923:SF3	IPR004572	GO:0004729;GO:0006779;GO:0055114;GO:0016491	PF01593	NA	G3DSA:3.50.50.60	NA	NA	SSF54373;SSF51905	NA	NA	NA	KEGG: 00860+1.3.3.4|MetaCyc: PWY-7159|Reactome: R-HSA-189451	NA	NA	NA	NA	NA	NA	NA	TIGR00562	NA	NA	NA
augustus_masked-NODE_198_length_32571_cov_76.495623-processed-gene-0.43-mRNA-1	PTHR10623;PTHR10623:SF17	IPR004827	GO:0003700;GO:0006355;GO:0003677;GO:0005634;GO:0008017	PF10297	NA	G3DSA:1.20.5.170	mobidb-lite	NA	SSF57959	NA	NA	NA	NA	PS00036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_298307_cov_73.795379-processed-gene-1.49-mRNA-1	PTHR23342:SF0;PTHR23342	IPR000706	GO:0003942;GO:0006526;GO:0055114;GO:0016620;GO:0051287;GO:0003991;GO:0005739;GO:0005737	PF00696;PF04768;PF01118	SM00859	G3DSA:3.30.360.10;G3DSA:3.40.50.720;G3DSA:3.40.1160.10;G3DSA:3.40.630.30	mobidb-lite	PS51731	SSF55347;SSF53633;SSF51735	NA	NA	cd04252;cd04263	KEGG: 00220+1.2.1.38|MetaCyc: PWY-5154|MetaCyc: PWY-7400	PS01224	NA	NA	NA	NA	NA	PIRSF036440	TIGR00761;TIGR01850	NA	MF_00150	NA
maker-NODE_32_length_187929_cov_76.767180-snap-gene-0.310-mRNA-1	PTHR11188:SF69;PTHR11188	IPR011022	NA	PF02752;PF00339	SM01017	G3DSA:2.60.40.640	mobidb-lite	NA	SSF81296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_19_length_217226_cov_73.336528-processed-gene-1.285-mRNA-1	PTHR43791:SF16;PTHR43791	IPR020846	GO:0016021;GO:0055085	PF07690	NA	G3DSA:1.20.1250.20	mobidb-lite	PS50850	SSF103473	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_155_length_49618_cov_72.032491-processed-gene-0.79-mRNA-1	PTHR13242:SF0;PTHR13242	IPR019382	GO:0003743;GO:0005737;GO:0005852	PF10255	NA	NA	NA	PS50250	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_03011	NA
maker-NODE_144_length_56080_cov_71.513699-snap-gene-0.20-mRNA-1	PTHR12383:SF3;PTHR12383	IPR036286	GO:0006508;GO:0008236;GO:0016020;GO:0006465;GO:0006627;GO:0042720	PF00717	NA	G3DSA:2.10.109.10	NA	NA	SSF51306	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd06530	NA	NA	NA	NA	NA	PR00727	NA	NA	NA	NA	NA	NA
maker-NODE_99_length_84655_cov_67.805071-snap-gene-0.174-mRNA-1	PTHR12277;PTHR12277:SF64	IPR029058	NA	NA	NA	G3DSA:3.40.50.1820	NA	NA	SSF53474	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
maker-NODE_163_length_46291_cov_72.165714-protein2genome-gene-0.25-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_40_length_168875_cov_71.947022-snap-gene-0.408-mRNA-1	PTHR42683:SF20;PTHR42683	IPR013149	GO:0055114;GO:0016491	PF00107	SM00829	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	NA	SSF51735;SSF50129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_150_length_51910_cov_71.949269-processed-gene-0.15-mRNA-1	PTHR11042;PTHR11042:SF134	IPR011009	GO:0004672;GO:0005524;GO:0006468	PF00069	SM00220	G3DSA:1.10.510.10;G3DSA:3.30.200.20	mobidb-lite	PS50011	SSF56112	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	PS00108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_59_length_128781_cov_65.042533-snap-gene-0.13-mRNA-1	PTHR43791;PTHR43791:SF59	IPR020846	NA	NA	NA	G3DSA:1.20.1250.20	mobidb-lite	NA	SSF103473	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_101_length_82488_cov_69.532436-processed-gene-0.200-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_61_length_127591_cov_77.450260-augustus-gene-0.347-mRNA-1	PTHR13251	IPR022233		PF12584	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_135_length_61921_cov_80.554504-processed-gene-0.51-mRNA-1	PTHR17901:SF14;PTHR17901	IPR023214	GO:0016791	PF12689	NA	G3DSA:3.40.50.1000	NA	NA	SSF56784	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01685	SFLDG01131;SFLDG01129	NA	NA
augustus_masked-NODE_10_length_298307_cov_73.795379-processed-gene-1.60-mRNA-1	PTHR11177:SF174;PTHR11177	IPR001223	GO:0005975;GO:0008061;GO:0004553	PF00704;PF00187	SM00636;SM00270	G3DSA:3.20.20.80;G3DSA:3.10.50.10;G3DSA:3.30.60.10	NA	PS50941	SSF57016;SSF51445;SSF54556	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	cd00035	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	PS00026;PS01095	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD000609
maker-NODE_4_length_535112_cov_62.228238-snap-gene-4.39-mRNA-1	PTHR13018;PTHR13018:SF26	IPR027815	GO:0016020	PF14703;PF02714;PF13967;PF12621	NA	NA	mobidb-lite	NA	SSF50965	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_65_length_125574_cov_75.988346-augustus-gene-0.72-mRNA-1	PTHR11360;PTHR11360:SF125	IPR011701	GO:0016021;GO:0055085	PF07690	NA	G3DSA:1.20.1250.20	mobidb-lite	PS50850	SSF103473	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_447864_cov_73.606110-augustus-gene-2.19-mRNA-1	PTHR43416:SF5;PTHR43416	IPR003016	GO:0004149;GO:0006099;GO:0045252;GO:0016746	PF00364;PF00198	NA	G3DSA:2.40.50.100;G3DSA:3.30.559.10	mobidb-lite	PS50968	SSF52777;SSF51230	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	cd06849	Reactome: R-HSA-389661	PS00189	NA	NA	NA	NA	NA	NA	TIGR01347	NA	NA	NA
maker-NODE_118_length_75508_cov_68.323954-augustus-gene-0.163-mRNA-1	PTHR24361;PTHR24361:SF633	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	SM00220	G3DSA:3.30.200.20;G3DSA:1.10.510.10	mobidb-lite	PS50011	SSF56112	NA	NA	cd06609	NA	PS00107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_189_length_35081_cov_68.549007-processed-gene-0.8-mRNA-1	PTHR43083;PTHR43083:SF4	IPR029044	NA	PF03452	NA	G3DSA:3.90.550.10	NA	NA	SSF53448	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_129_length_63937_cov_77.103291-processed-gene-0.11-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_54_length_135677_cov_73.518879-processed-gene-0.260-mRNA-1	PTHR44149	IPR011990	GO:0005515	NA	NA	G3DSA:1.25.40.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_48_length_145549_cov_74.379929-processed-gene-0.44-mRNA-1	PTHR42111	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_222320_cov_75.220682-augustus-gene-1.68-mRNA-1	PTHR10627:SF31;PTHR10627	IPR036612	GO:0003723;GO:0003676	PF00013	SM00322	G3DSA:3.30.1370.10;G3DSA:3.30.310.210	mobidb-lite	PS50084	SSF54791	NA	NA	cd02394;cd00105	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_54_length_135677_cov_73.518879-augustus-gene-0.0-mRNA-1	PTHR12765	IPR039896	GO:0007094;GO:0005634	PF07808	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_98_length_85044_cov_71.802878-snap-gene-0.168-mRNA-1	PTHR24361:SF651;PTHR24361	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004709;GO:0005737;GO:0051403	PF00069	SM00220	G3DSA:1.10.510.10	mobidb-lite	PS50011	SSF56112	NA	NA	cd06626	NA	PS00107;PS00108	NA	NA	NA	NA	Coil	PIRSF037579	NA	NA	NA	NA
snap_masked-NODE_6_length_447864_cov_73.606110-processed-gene-1.207-mRNA-1	PTHR22957;PTHR22957:SF439	IPR000195	NA	PF00566	SM00164	G3DSA:1.10.10.750;G3DSA:1.10.8.270;G3DSA:1.10.472.80	mobidb-lite	PS50086	SSF47923	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_216_length_24261_cov_62.365998-processed-gene-0.52-mRNA-1	PTHR11808;PTHR11808:SF15	IPR015421	GO:0003824;GO:0030170	PF01053	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	NA	SSF53383	NA	NA	cd00614	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	NA	NA	NA	NA	NA	NA	PIRSF001434	NA	NA	NA	NA
augustus_masked-NODE_21_length_204983_cov_73.166083-processed-gene-1.285-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_140_length_58492_cov_68.048385-processed-gene-0.37-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_76_length_107424_cov_73.387084-processed-gene-0.41-mRNA-1	PTHR12790	IPR007991	NA	PF05327;PF02996	NA	G3DSA:1.10.287.370	mobidb-lite	NA	SSF46579	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_59_length_128781_cov_65.042533-augustus-gene-0.19-mRNA-1	PTHR10344:SF1;PTHR10344	IPR018095	GO:0004798;GO:0005524;GO:0006233	PF02223	NA	G3DSA:3.40.50.300	NA	NA	SSF52540	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	cd01672	KEGG: 00240+2.7.4.9|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7187|MetaCyc: PWY-7197|MetaCyc: PWY-7198|MetaCyc: PWY-7210|Reactome: R-HSA-499943	PS01331	NA	NA	NA	NA	NA	NA	TIGR00041	NA	MF_00165	NA
maker-NODE_13_length_254769_cov_74.495374-augustus-gene-1.299-mRNA-1	PTHR18916:SF6;PTHR18916	IPR000938		PF01302;PF12455	SM01052	G3DSA:2.30.30.190	mobidb-lite	PS50245	SSF74924	NA	NA	NA	Reactome: R-HSA-2132295|Reactome: R-HSA-2565942|Reactome: R-HSA-3371497|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-381038|Reactome: R-HSA-5620912|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-8854518	PS00845	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_75_length_108235_cov_71.577756-processed-gene-0.44-mRNA-1	PTHR33048	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_77_length_106811_cov_74.852405-processed-gene-0.43-mRNA-1	NA	IPR000073	NA	PF12697	NA	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_11_length_279013_cov_75.597233-processed-gene-0.271-mRNA-1	PTHR11785:SF432;PTHR11785	IPR002293	GO:0016020;GO:0022857;GO:0055085	PF13520	NA	G3DSA:1.20.1740.10	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA	NA	NA	NA
augustus_masked-NODE_35_length_184481_cov_72.699838-processed-gene-0.100-mRNA-1	PTHR23077;PTHR23077:SF55	IPR027417	GO:0005524	PF00004	SM00382	G3DSA:3.40.50.300;G3DSA:1.10.8.60	mobidb-lite	NA	SSF52540	NA	NA	cd00009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_86_length_94289_cov_69.977305-augustus-gene-0.65-mRNA-1	PTHR35519;PTHR35519:SF2	IPR025187	NA	PF13430	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_105_length_81009_cov_70.909213-processed-gene-0.97-mRNA-1	PTHR12360;PTHR12360:SF0	IPR001374	GO:0003676;GO:0003700;GO:0005634;GO:0006355;GO:0008270	PF01424;PF01422	SM00438;SM00393	G3DSA:3.30.1370.50	mobidb-lite	PS51061	SSF82708	NA	NA	cd06008	NA	PS01359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_145_length_55483_cov_71.285732-augustus-gene-0.147-mRNA-1	PTHR15629;PTHR15629:SF8	IPR007461	NA	PF04366	NA	NA	mobidb-lite	NA	NA	NA	NA	cd11524	NA	NA	SignalP-TM	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_50_length_141428_cov_75.730051-processed-gene-0.291-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_86_length_94289_cov_69.977305-augustus-gene-0.59-mRNA-1	PTHR13265;PTHR13265:SF0	IPR021861		PF11957;PF00625	SM00072	G3DSA:3.40.50.300	mobidb-lite	PS50052	SSF52540	NA	NA	NA	Reactome: R-HSA-109688|Reactome: R-HSA-159236|Reactome: R-HSA-72187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_143_length_56623_cov_64.346449-processed-gene-0.144-mRNA-1	PTHR23073:SF8;PTHR23073	IPR003960	GO:0005524;GO:0036402;GO:0005737;GO:0016787;GO:0030163	PF16450;PF00004	SM00382	G3DSA:1.10.8.60;G3DSA:2.40.50.140;G3DSA:3.40.50.300	mobidb-lite	NA	SSF52540	NA	NA	cd00009	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PS00674	NA	NA	NA	NA	Coil	NA	TIGR01242	NA	NA	NA
maker-NODE_71_length_114124_cov_74.649517-snap-gene-0.302-mRNA-1	PTHR20959	IPR039600	NA	PF10304;PF10363	NA	NA	mobidb-lite	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_76_length_107424_cov_73.387084-processed-gene-0.299-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_15_length_235441_cov_69.504560-snap-gene-1.280-mRNA-1	PTHR10587:SF126;PTHR10587	IPR033123	GO:0004553;GO:0005975	PF00457	NA	G3DSA:2.60.120.180	NA	PS51761	SSF49899	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	MetaCyc: PWY-6717|MetaCyc: PWY-6784	PS00777	SignalP-TM	SignalP-noTM	SignalP-noTM	PR00911	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_254769_cov_74.495374-augustus-gene-1.281-mRNA-1	PTHR15362:SF4;PTHR15362	IPR000462	GO:0008654;GO:0016020;GO:0016780	PF01066	NA	G3DSA:1.20.120.1760	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	PS00379	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_167803_cov_71.976091-snap-gene-0.31-mRNA-1	PTHR11774;PTHR11774:SF4	IPR008930	GO:0003824	PF00432	NA	G3DSA:1.50.10.20;G3DSA:1.10.287.1130	NA	PS51808	SSF48239;SSF47072	NA	NA	cd02895	Reactome: R-HSA-1268020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_93_length_89095_cov_70.836357-augustus-gene-0.8-mRNA-1	PTHR10887:SF368;PTHR10887	IPR027417	GO:0005524	PF13086;PF17866;PF13087;PF00004	SM00382	G3DSA:3.40.50.300;G3DSA:1.10.8.60	mobidb-lite	NA	SSF52540	NA	NA	cd06008;cd00009	NA	NA	NA	NA	NA	PR00819	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_75_length_108235_cov_71.577756-processed-gene-0.45-mRNA-1	PTHR10342:SF247;PTHR10342	IPR000917	GO:0008484;GO:0003824	PF00884	NA	G3DSA:3.40.720.10	mobidb-lite	NA	SSF53649	TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_184_length_36890_cov_74.457008-augustus-gene-0.79-mRNA-1	PTHR16019:SF5;PTHR16019	IPR005607	NA	PF03909	SM00751	NA	mobidb-lite	PS50858	SSF140383	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
