Gene	interpro	Pfam	Phobius	TMHMM	GO	PATHWAY	ProSitePatterns	CDD	TIGRFAM	Gene3D	SMART	PANTHER	SUPERFAMILY	MobiDBLite	Coils	PRINTS	PIRSF	Hamap	ProSiteProfiles	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SFLD	ProDom
maker-NODE_40_length_59669_cov_35.066105-snap-gene-0.4-mRNA-1	IPR000555	PF01398;PF08969	NA	NA	GO:0005515	NA	NA	cd08066	NA	G3DSA:3.40.140.10;G3DSA:1.20.58.280	SM00232	PTHR12947:SF4;PTHR12947	SSF102712;SSF140856	mobidb-lite	NA	NA	NA	NA	PS50249	NA	NA	NA	NA	NA
maker-NODE_18_length_73782_cov_32.199973-snap-gene-0.5-mRNA-1	IPR000432	PF00488;PF05188;PF01624;PF05192	NA	NA	GO:0005524;GO:0006298;GO:0030983	Reactome: R-HSA-5632928	PS00486	NA	NA	G3DSA:1.10.1420.10;G3DSA:3.40.50.300;G3DSA:3.40.1170.10;G3DSA:3.30.420.110	SM00534;SM00533	PTHR11361;PTHR11361:SF34	SSF55271;SSF52540;SSF48334;SSF53150	mobidb-lite	Coil	NA	PIRSF037677	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_108151_cov_34.571308-snap-gene-0.346-mRNA-1	IPR036291	PF13561	NA	NA	GO:0016491	NA	PS00061	NA	NA	G3DSA:3.40.50.720	NA	PTHR42760;PTHR42760:SF40	SSF51735	mobidb-lite	NA	PR00080;PR00081	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_188_length_32124_cov_31.214708-snap-gene-0.91-mRNA-1	IPR021582	PF11489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_870_length_9329_cov_23.938274-snap-gene-0.0-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR22949	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_485_length_18078_cov_25.190964-snap-gene-0.33-mRNA-1	IPR022812	PF00350	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	GO:0003924;GO:0005525	Reactome: R-HSA-5205685|Reactome: R-HSA-983231	NA	NA	NA	G3DSA:3.40.50.300	NA	PTHR10465;PTHR10465:SF0	SSF52540	mobidb-lite	NA	NA	NA	NA	PS51718	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_79530_cov_31.008866-processed-gene-0.171-mRNA-1	IPR024936	PF00160	NA	NA	GO:0003755;GO:0006457;GO:0000413	NA	PS00170	cd01928	NA	G3DSA:2.40.100.10	NA	PTHR11071;PTHR11071:SF147	SSF50891	NA	NA	PR00153	PIRSF001467	NA	PS50072	NA	NA	NA	NA	NA
maker-NODE_2_length_128784_cov_30.676978-snap-gene-0.87-mRNA-1	IPR036291	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	NA	NA	SSF51735	NA	NA	PR00081	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
augustus_masked-NODE_761_length_11005_cov_15.786726-processed-gene-0.4-mRNA-1	IPR036259	PF07690	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0055085	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	PTHR23502:SF34;PTHR23502	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_315_length_24146_cov_24.439652-processed-gene-0.73-mRNA-1	IPR020472	PF00400;PF08154	NA	NA	GO:0005515;GO:0042254	Reactome: R-HSA-6791226	PS00678	NA	NA	G3DSA:2.130.10.10	SM00320	PTHR19855:SF11;PTHR19855	SSF50978	NA	NA	PR00320	NA	MF_03029	PS50082;PS50294	NA	NA	NA	NA	NA
maker-NODE_536_length_16416_cov_34.049604-snap-gene-0.9-mRNA-1	IPR027417	PF11987;PF00009	NA	NA	GO:0003743;GO:0005525;GO:0005622;GO:0006413;GO:0003924	Reactome: R-HSA-5368286	PS01176	cd03702;cd03692;cd01887	TIGR00487;TIGR00231	G3DSA:3.40.50.300;G3DSA:2.40.30.10;G3DSA:3.40.50.10050	NA	PTHR43381;PTHR43381:SF1	SSF52540;SSF50447;SSF52156	mobidb-lite	Coil	NA	NA	MF_00100_B	PS51722	NA	NA	NA	NA	NA
augustus_masked-NODE_89_length_44084_cov_27.581773-processed-gene-0.18-mRNA-1	IPR006214	PF01027	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	PTHR23291:SF32;PTHR23291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_533_length_16449_cov_28.789670-processed-gene-0.29-mRNA-1	IPR006683	PF03061	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0047617	Reactome: R-HSA-77289	NA	cd03440	NA	G3DSA:3.10.129.10	NA	PTHR21660:SF4;PTHR21660	SSF54637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_111_length_39740_cov_40.205690-snap-gene-0.45-mRNA-1	IPR001680	PF12265;PF00400	NA	NA	GO:0005515	NA	PS00678	NA	NA	G3DSA:2.130.10.10	SM00320	PTHR22850:SF6;PTHR22850	SSF50978	mobidb-lite	Coil	PR00320	NA	NA	PS50294;PS50082	NA	NA	NA	NA	NA
augustus_masked-NODE_42_length_58407_cov_25.107979-processed-gene-0.103-mRNA-1	IPR003265	PF07690;PF00730	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0006284;GO:0003824;GO:0006281;GO:0016021;GO:0055085	Reactome: R-HSA-110357	NA	cd00056;cd06174;cd03431	NA	G3DSA:3.90.79.10;G3DSA:1.10.1670.10;G3DSA:1.10.340.30	SM00478	PTHR42944	SSF48150;SSF103473	NA	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA
maker-NODE_1813_length_1941_cov_22.871555-snap-gene-0.7-mRNA-1	IPR024655	PF11790	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	G3DSA:3.20.20.80	NA	PTHR34154:SF3;PTHR34154	SSF51445	mobidb-lite	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
maker-NODE_543_length_16237_cov_36.660211-snap-gene-0.36-mRNA-1	IPR032042	PF16686	NA	NA	GO:0043047;GO:0000723	Reactome: R-HSA-1221632|Reactome: R-HSA-171306|Reactome: R-HSA-2559586	NA	NA	NA	G3DSA:2.40.50.140	NA	PTHR14513:SF0;PTHR14513	SSF50249	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1033_length_7145_cov_19.113708-processed-gene-0.1-mRNA-1	IPR017927	PF08022;PF01794;PF08030	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0016491;GO:0055114;GO:0016020	NA	NA	cd06186	NA	G3DSA:3.40.50.80;G3DSA:2.40.30.10	NA	PTHR11972:SF69;PTHR11972	SSF63380;SSF52343	NA	NA	PR00466	NA	NA	PS51384	NA	NA	NA	SFLDS00052;SFLDG01169;SFLDG01168	NA
maker-NODE_63_length_53251_cov_32.042241-augustus-gene-0.148-mRNA-1	IPR003674	PF02516	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0004576;GO:0006486;GO:0016020	NA	NA	NA	NA	G3DSA:3.40.50.12610	NA	PTHR13872;PTHR13872:SF38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_74090_cov_34.299068-processed-gene-0.176-mRNA-1	IPR034610	PF13378;PF02746	NA	NA	GO:0016052;GO:0050023;GO:0009063	KEGG: 00051+4.2.1.68	PS00909	cd03324	NA	G3DSA:3.30.390.10;G3DSA:3.20.20.120	SM00922	PTHR13794:SF58;PTHR13794	SSF54826;SSF51604	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFLDF00270;SFLDF00111;SFLDG00179	NA
maker-NODE_372_length_21480_cov_40.631668-snap-gene-0.46-mRNA-1	IPR015943	NA	NA	NA	GO:0005515	NA	NA	NA	NA	G3DSA:2.130.10.10	NA	PTHR23193:SF23;PTHR23193	SSF117289	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_668_length_13118_cov_25.137480-augustus-gene-0.32-mRNA-1	IPR010908	PF13774;PF00957	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0016192	Reactome: R-HSA-204005	NA	cd15866	NA	G3DSA:1.20.5.110;G3DSA:3.30.450.50	SM01270	PTHR21136:SF69;PTHR21136	SSF58038;SSF64356	NA	NA	NA	NA	NA	PS50892;PS50859	NA	NA	NA	NA	NA
snap_masked-NODE_18_length_73782_cov_32.199973-processed-gene-0.121-mRNA-1	IPR000073	PF00561	NA	NA	GO:0006508;GO:0008233	KEGG: 00330+3.4.11.5	NA	NA	NA	G3DSA:3.40.50.1820	NA	PTHR43248;PTHR43248:SF2	SSF53474	NA	NA	PR00793	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_862_length_9437_cov_31.284318-augustus-gene-0.3-mRNA-1	IPR001680	PF00400	NA	NA	GO:0005515	NA	PS00678	cd00200	NA	G3DSA:2.130.10.10	SM00320	PTHR19923	SSF50978	mobidb-lite	NA	PR00320	NA	NA	PS50082;PS50294	NA	NA	NA	NA	NA
snap_masked-NODE_411_length_20401_cov_29.954178-processed-gene-0.4-mRNA-1	IPR029012	PF04420	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	GO:0071816;GO:0043529	NA	NA	NA	NA	G3DSA:1.10.287.660	NA	PTHR11760:SF21;PTHR11760	NA	mobidb-lite	NA	NA	NA	MF_03113	NA	SignalP-noTM	NA	NA	NA	NA
augustus_masked-NODE_246_length_27520_cov_27.507575-processed-gene-0.17-mRNA-1	IPR016040	PF13460	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	NA	PTHR15020	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_338_length_23214_cov_27.139083-snap-gene-0.26-mRNA-1	IPR000014	PF00072;PF02518;PF00512;PF08447	NA	NA	GO:0000160;GO:0000155;GO:0007165;GO:0016310;GO:0016772;GO:0005515	Reactome: R-HSA-70895	NA	cd00130;cd00082;cd00075;cd00156	NA	G3DSA:3.40.50.2300;G3DSA:3.30.450.20;G3DSA:1.10.287.130;G3DSA:3.30.565.10	SM00091;SM00387;SM00448;SM00086;SM00388	PTHR43719	SSF55785;SSF55874;SSF52172;SSF47384	mobidb-lite	Coil	PR00344	NA	NA	PS50110;PS50112;PS50113;PS50109	NA	SignalP-TM	NA	NA	NA
maker-NODE_615_length_14337_cov_30.833638-snap-gene-0.4-mRNA-1	IPR034586	NA	NA	NA	GO:0001100;GO:0005096;GO:0005816;GO:1990334	NA	NA	NA	NA	NA	NA	PTHR35140	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_244_length_27616_cov_24.505257-augustus-gene-0.5-mRNA-1	IPR028124	PF15477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_289_length_25295_cov_19.108113-snap-gene-0.5-mRNA-1	IPR021950	PF12090	NA	NA	GO:0000124;GO:0003712	NA	NA	NA	NA	NA	NA	PTHR13526:SF8;PTHR13526	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_885_length_9055_cov_44.742720-snap-gene-0.0-mRNA-1	IPR003169	PF02213	NA	NA	GO:0005515	NA	NA	cd00072	NA	G3DSA:3.30.1490.40	SM00444	PTHR14445;PTHR14445:SF36	SSF55277	mobidb-lite	Coil	NA	NA	NA	PS50829	NA	NA	NA	NA	NA
augustus_masked-NODE_413_length_20355_cov_30.850751-processed-gene-0.45-mRNA-1	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	PTHR39150	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
snap_masked-NODE_396_length_20863_cov_30.367573-processed-gene-0.45-mRNA-1	IPR022495	PF06293	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	GO:0004674;GO:0004672;GO:0005524;GO:0006468	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6782315|Reactome: R-HSA-6804756	PS00109	cd00180	TIGR03724	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SM00220	PTHR12209	SSF56112	mobidb-lite	Coil	NA	NA	NA	PS50011	NA	NA	NA	NA	NA
snap_masked-NODE_495_length_17619_cov_31.063343-processed-gene-0.2-mRNA-1	IPR001347	PF01380	NA	NA	GO:0097367;GO:1901135	NA	NA	cd05014	NA	G3DSA:3.40.50.10490	NA	PTHR38418	SSF53697	NA	Coil	NA	NA	NA	PS51464	NA	NA	NA	NA	NA
maker-NODE_128_length_37595_cov_25.263852-snap-gene-0.87-mRNA-1	IPR002013	PF02383	NA	NA	GO:0042578	NA	NA	NA	NA	NA	NA	PTHR11200:SF9;PTHR11200	NA	mobidb-lite	NA	NA	NA	NA	PS50275	NA	NA	NA	NA	NA
maker-NODE_772_length_10778_cov_16.905361-snap-gene-0.21-mRNA-1	IPR011074	PF03765;PF00650	NA	NA	NA	NA	NA	cd00170	NA	G3DSA:3.40.525.10	SM00516	PTHR23324:SF98;PTHR23324	SSF52087;SSF46938	mobidb-lite	NA	NA	NA	NA	PS50191	NA	NA	NA	NA	NA
maker-NODE_146_length_35788_cov_27.809259-augustus-gene-0.4-mRNA-1	IPR020568	PF01138	NA	NA		Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	NA	cd11370	NA	G3DSA:3.30.230.70	NA	PTHR11953;PTHR11953:SF0	SSF54211;SSF55666	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_673_length_12992_cov_31.371473-snap-gene-0.8-mRNA-1	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	PTHR13145	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_101_length_41998_cov_29.801438-processed-gene-0.20-mRNA-1	IPR007518	PF04424	NA	NA	GO:0004843;GO:1990380	NA	NA	NA	NA	NA	NA	PTHR18063;PTHR18063:SF6	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_233_length_28605_cov_35.842545-processed-gene-0.2-mRNA-1	IPR029636	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0006113;GO:0016021	NA	NA	NA	NA	NA	NA	PTHR32085	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2092_length_1237_cov_21.963063-processed-gene-0.0-mRNA-1	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	SignalP-TM	NA	NA
snap_masked-NODE_239_length_28141_cov_36.598094-processed-gene-0.0-mRNA-1	IPR036770	PF06985;PF12796	NA	NA	GO:0005515	NA	NA	cd00204	NA	G3DSA:1.25.40.20	SM00248	PTHR10622;PTHR10622:SF10	SSF48403	mobidb-lite	Coil	NA	NA	NA	PS50088;PS50297	NA	NA	NA	NA	NA
augustus_masked-NODE_339_length_23204_cov_26.222039-processed-gene-0.48-mRNA-1	IPR029040	PF03604	NA	NA	GO:0003677;GO:0003899;GO:0006351;GO:0008270	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6807505|Reactome: R-HSA-75955	NA	NA	NA	G3DSA:2.20.28.30	SM00659	PTHR12056	SSF63393	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD012151
snap_masked-NODE_91_length_43423_cov_29.101603-processed-gene-0.15-mRNA-1	IPR018303	PF00702;PF00689;PF00122;PF00690	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0005388;GO:0006816;GO:0016021;GO:0000166;GO:0005524;GO:0005783;GO:0033017;GO:0070588	Reactome: R-HSA-936837	PS00154	cd02083	TIGR01116;TIGR01494	G3DSA:2.70.150.10;G3DSA:3.40.50.1000;G3DSA:1.20.1110.10;G3DSA:3.40.1110.10	SM00831	PTHR42861:SF18;PTHR42861	SSF56784;SSF81653;SSF81665;SSF81660	NA	NA	PR00121;PR00119	NA	NA	NA	NA	NA	NA	SFLDF00027;SFLDG00002	NA
maker-NODE_562_length_15740_cov_25.456607-snap-gene-0.7-mRNA-1	IPR019845	PF00494	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0016765;GO:0009058;GO:0016740;GO:0004310;GO:0006696;GO:0051996;GO:0008610;GO:0016021	Reactome: R-HSA-191273|Reactome: R-HSA-1989781|Reactome: R-HSA-2426168	PS01044	cd00683	TIGR01559	G3DSA:1.10.600.10	NA	PTHR11626	SSF48576	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFLDG01018;SFLDS00005	NA
maker-NODE_155_length_34570_cov_22.816102-snap-gene-0.70-mRNA-1	IPR036915	PF00134;PF02984	NA	NA	GO:0005634	NA	PS00292	cd00043	NA	G3DSA:1.10.472.10	SM01332;SM00385	PTHR10177;PTHR10177:SF348	SSF47954	mobidb-lite	Coil	NA	PIRSF001771	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_230_length_28902_cov_30.037880-processed-gene-0.23-mRNA-1	IPR000048	PF05794	NA	NA	GO:0005515	NA	NA	NA	NA	NA	NA	PTHR12832;PTHR12832:SF18	NA	mobidb-lite	Coil	NA	NA	NA	PS50096	NA	NA	NA	NA	NA
maker-NODE_1390_length_3968_cov_10.381671-augustus-gene-0.3-mRNA-1	IPR007461	PF04366	NA	NA	NA	NA	NA	cd11524	NA	NA	NA	PTHR15629:SF8;PTHR15629	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_902_length_8816_cov_28.422143-processed-gene-0.23-mRNA-1	IPR005729	PF00338	NA	NA	GO:0003735;GO:0006412;GO:0015935;GO:0005840	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	TIGR01046	G3DSA:3.30.70.600	SM01403	PTHR11700:SF8;PTHR11700	SSF54999	NA	NA	PR00971	NA	MF_00508	NA	NA	NA	NA	NA	NA
snap_masked-NODE_90_length_43575_cov_28.875092-processed-gene-0.130-mRNA-1	IPR032442	PF16503;PF01171	NA	NA	GO:0008033;GO:0000049;GO:0002098;GO:0034227	Reactome: R-HSA-6782315	NA	cd01993	NA	NA	NA	PTHR11807:SF12;PTHR11807	SSF52402	NA	NA	NA	PIRSF004976	NA	NA	NA	NA	NA	NA	NA
maker-NODE_73_length_48013_cov_33.524684-snap-gene-0.26-mRNA-1	IPR007855	PF05183	NA	NA	GO:0003968	NA	NA	NA	NA	G3DSA:1.10.8.790	NA	PTHR23079:SF14;PTHR23079	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1137_length_5981_cov_32.269047-snap-gene-0.3-mRNA-1	IPR000433	PF00569;PF04433;PF00249	NA	NA	GO:0008270;GO:0005515;GO:0003677;GO:0003713;GO:0006357;GO:0035065	Reactome: R-HSA-3214847	PS01357	cd02335	NA	G3DSA:1.10.10.780;G3DSA:1.10.10.60;G3DSA:3.30.60.90	SM00291;SM00717	PTHR12374:SF20;PTHR12374	SSF46689;SSF57850	mobidb-lite	Coil	NA	PIRSF025024	NA	PS50934;PS51293;PS50135	NA	NA	NA	NA	NA
snap_masked-NODE_893_length_8965_cov_36.849400-processed-gene-0.37-mRNA-1	IPR029038	PF09334	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004825;GO:0006431	KEGG: 00450+6.1.1.10|KEGG: 00970+6.1.1.10|Reactome: R-HSA-2408517|Reactome: R-HSA-379716	PS00178	cd00814;cd07957	TIGR00398	G3DSA:1.10.730.10;G3DSA:3.40.50.620;G3DSA:2.20.28.20	NA	PTHR11946;PTHR11946:SF86	SSF57770;SSF52374;SSF47323	mobidb-lite	Coil	PR01041	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_193_length_31808_cov_30.570594-processed-gene-0.14-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_286_length_25479_cov_27.938033-processed-gene-0.42-mRNA-1	IPR020846	PF07690	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0055085	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	PTHR23520	SSF103473	NA	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA
maker-NODE_2_length_128784_cov_30.676978-snap-gene-0.85-mRNA-1	IPR002110	PF12796	NA	NA	GO:0005515	NA	NA	cd00204	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300	SM00248	PTHR24151;PTHR24151:SF1	SSF53474;SSF48403	mobidb-lite	NA	PR01415	NA	NA	PS50088;PS50297	NA	NA	NA	NA	NA
maker-NODE_233_length_28605_cov_35.842545-snap-gene-0.17-mRNA-1	IPR001138	NA	NA	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	cd00067	NA	NA	NA	PTHR35392;PTHR35392:SF2	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_182_length_32550_cov_35.522099-processed-gene-0.7-mRNA-1	IPR012978	PF08161	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR21576;PTHR21576:SF2	SSF48371	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_180263_cov_34.489297-processed-gene-0.34-mRNA-1	IPR029063	PF08704	NA	NA	GO:0016429;GO:0030488;GO:0031515	MetaCyc: PWY-6829	NA	NA	NA	G3DSA:3.10.330.20	NA	PTHR12133;PTHR12133:SF2	SSF53335	mobidb-lite	Coil	NA	NA	NA	PS51620	NA	NA	NA	NA	NA
maker-NODE_818_length_10007_cov_33.932490-snap-gene-0.6-mRNA-1	IPR033961	PF08700;PF16528	NA	NA	GO:0000145;GO:0006887	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	NA	NA	G3DSA:1.20.58.1210;G3DSA:2.30.29.30;G3DSA:1.20.58.1220	NA	PTHR21426;PTHR21426:SF12	SSF50729;SSF74788	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_70961_cov_37.322882-snap-gene-0.110-mRNA-1	IPR036259	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0055085	NA	NA	cd06174	NA	NA	NA	PTHR23507:SF29;PTHR23507	SSF103473	NA	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA
maker-NODE_51_length_55582_cov_35.412154-snap-gene-0.163-mRNA-1	IPR026270	PF17004;PF08492	NA	NA	GO:0006614;GO:0005515;GO:0008312;GO:0048500	Reactome: R-HSA-1799339	NA	NA	NA	G3DSA:1.25.40.10	NA	PTHR14094	SSF48452	mobidb-lite	Coil	NA	PIRSF038922	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_14_length_79530_cov_31.008866-processed-gene-0.200-mRNA-1	IPR004000	PF00022	NA	NA	NA	NA	PS00432	cd00012	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10	SM00268	PTHR11937:SF274;PTHR11937	SSF53067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_41_length_58823_cov_29.748467-processed-gene-0.120-mRNA-1	IPR000504	PF15519;PF00076	NA	NA	GO:0003676;GO:0003723;GO:0005634;GO:0006397	NA	NA	cd12283;cd12284;cd12285	TIGR01622	G3DSA:3.30.70.330	SM00360	PTHR44047:SF1;PTHR44047	SSF54928	mobidb-lite	NA	NA	NA	NA	PS50102	NA	NA	NA	NA	NA
maker-NODE_2609_length_746_cov_1.059774-snap-gene-0.0-mRNA-1	IPR002347	PF00550;PF13561	NA	NA	GO:0006633;GO:0016491	Reactome: R-HSA-389661|Reactome: R-HSA-611105|Reactome: R-HSA-6799198|Reactome: R-HSA-77289	PS00061;PS00012	NA	TIGR00517	G3DSA:1.10.1200.10;G3DSA:3.40.50.720	NA	PTHR42760;PTHR42760:SF52	SSF51735;SSF47336	NA	NA	PR00081;PR00080	NA	MF_01217	PS50075	NA	NA	NA	NA	PD000887
