Gene	Phobius	PANTHER	TMHMM	MobiDBLite	interpro	SMART	Pfam	ProSiteProfiles	GO	SUPERFAMILY	PRINTS	CDD	Gene3D	Coils	PATHWAY	ProSitePatterns	PIRSF	Hamap	TIGRFAM	SignalP_EUK	SFLD	ProDom	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE
maker-NODE_108_length_35709_cov_11.468720-augustus-gene-0.53-mRNA-1	NA	PTHR43494:SF10;PTHR43494	NA	mobidb-lite	IPR033140	NA	PF07859	NA	GO:0016787	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	Reactome: R-HSA-163560	PS01174;PS01173	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_797_length_11017_cov_10.915243-processed-gene-0.11-mRNA-1	NA	PTHR41391	NA	mobidb-lite	IPR028094	SM01312	PF14474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_215_length_27463_cov_13.599429-processed-gene-0.25-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR43341	TMhelix	mobidb-lite	IPR002293	NA	PF00324	NA	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	NA	NA	NA	G3DSA:1.20.1740.10	NA	NA	PS00218	PIRSF006060	NA	TIGR00913	NA	NA	NA	NA	NA
snap_masked-NODE_814_length_10781_cov_11.685001-processed-gene-0.7-mRNA-1	NA	PTHR31944	NA	mobidb-lite	IPR001138	SM00066;SM00906	PF04082;PF00172	PS50048	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	NA	cd00067;cd12148	G3DSA:4.10.240.10	Coil	NA	PS00463	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_57113_cov_13.380321-augustus-gene-0.72-mRNA-1	NA	PTHR12636:SF5;PTHR12636	NA	mobidb-lite	IPR029028	NA	PF03587	NA	GO:0008168	SSF75217	NA	NA	G3DSA:3.40.1280.10	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_372_length_19729_cov_11.208601-snap-gene-0.21-mRNA-1	NA	PTHR22809;PTHR22809:SF9	NA	mobidb-lite	IPR026113	NA	PF13649	NA	NA	SSF53335	NA	cd02440	G3DSA:3.40.50.150	NA	NA	NA	PIRSF037755	NA	NA	NA	NA	NA	NA	NA
maker-NODE_147_length_31637_cov_12.809108-snap-gene-0.22-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR23500:SF71;PTHR23500	TMhelix	NA	IPR003663	NA	PF00083	PS50850	GO:0016020;GO:0022857;GO:0055085;GO:0016021	SSF103473	PR00171	cd06174	G3DSA:1.20.1250.20	NA	Reactome: R-HSA-189200	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_252_length_25593_cov_12.469214-processed-gene-0.17-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23071	TMhelix	mobidb-lite	IPR037675	NA	PF01663	NA	GO:0006506;GO:0051377;GO:0003824;GO:0016772	SSF53649	NA	cd16023	G3DSA:3.40.720.10	Coil	Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_419_length_18072_cov_10.463305-snap-gene-0.18-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1407_length_5376_cov_10.207087-snap-gene-0.1-mRNA-1	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	PTHR32035	NA	mobidb-lite	IPR013177	SM01155	PF08213	PS51318		NA	NA	NA	NA	Coil	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM
maker-NODE_1639_length_4211_cov_8.553624-augustus-gene-0.5-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_53_length_44788_cov_12.585141-processed-gene-0.41-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	SignalP-noTM
augustus_masked-NODE_331_length_21426_cov_11.164139-processed-gene-0.10-mRNA-1	NA	PTHR43762;PTHR43762:SF1	NA	mobidb-lite	IPR016166	NA	PF04030;PF01565	PS51387	GO:0071949;GO:0016899;GO:0055114;GO:0050660;GO:0003885;GO:0016020;GO:0016491	SSF56176	NA	NA	G3DSA:3.30.43.10;G3DSA:3.30.465.10	NA	NA	NA	PIRSF000136	NA	TIGR01678	NA	NA	NA	NA	NA
maker-NODE_838_length_10416_cov_10.280202-augustus-gene-0.0-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR13148;PTHR13148:SF0	TMhelix	NA	IPR007217	NA	PF04080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_136_length_32935_cov_12.381553-snap-gene-0.20-mRNA-1	NA	PTHR11630;PTHR11630:SF44	NA	mobidb-lite	IPR001208	SM00350	PF00493;PF14551;PF17855;PF12619;PF17207	PS50051	GO:0003677;GO:0005524;GO:0006270;GO:0006260;GO:0005634;GO:0042555;GO:1905775	SSF50249;SSF52540	PR01658;PR01657	NA	G3DSA:2.20.28.10;G3DSA:3.30.1640.10;G3DSA:2.40.50.140	Coil	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	PS00847	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_47792_cov_11.523948-augustus-gene-0.3-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	PTHR10745;PTHR10745:SF0	NA	mobidb-lite	IPR002315	NA	PF03129	PS50862	GO:0000166;GO:0004820;GO:0005524;GO:0005737;GO:0006426	SSF55681;SSF52954	PR01043	cd00774;cd00858	G3DSA:3.40.50.800	NA	KEGG: 00970+6.1.1.14|Reactome: R-HSA-379716|Reactome: R-HSA-379726	NA	NA	NA	TIGR00389	NA	NA	NA	SignalP-TM	NA
maker-NODE_588_length_14004_cov_12.329970-augustus-gene-0.18-mRNA-1	NA	PTHR11066;PTHR11066:SF34	NA	mobidb-lite	IPR029069	NA	PF13622	NA	GO:0006637;GO:0047617	SSF54637	NA	cd03444	G3DSA:3.10.129.90	NA	Reactome: R-HSA-193368|Reactome: R-HSA-2046106|Reactome: R-HSA-389887|Reactome: R-HSA-390247|Reactome: R-HSA-9033241	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_499_length_16032_cov_12.191072-snap-gene-0.2-mRNA-1	NA	PTHR14527	NA	mobidb-lite	IPR008685	NA	PF05859	NA	GO:0000278;GO:0000775;GO:0005634	NA	NA	NA	NA	Coil	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_598_length_13797_cov_11.204097-processed-gene-0.19-mRNA-1	NA	PTHR12928	NA	mobidb-lite	IPR010414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_65550_cov_12.534124-augustus-gene-0.3-mRNA-1	NA	PTHR19376:SF11;PTHR19376	NA	mobidb-lite	IPR007083	SM00663	PF05000;PF04983;PF04998;PF00623;PF04997	NA	GO:0003677;GO:0003899;GO:0006351;GO:0005634;GO:0008270	SSF64484	NA	cd02735;cd01435	G3DSA:3.30.1490.180;G3DSA:1.10.274.100;G3DSA:1.10.357.120;G3DSA:1.20.120.1280;G3DSA:3.30.70.2850;G3DSA:2.40.40.20;G3DSA:1.10.132.30	NA	KEGG: 00230+2.7.7.6|KEGG: 00240+2.7.7.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_456_length_17021_cov_10.391796-processed-gene-0.9-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_50790_cov_11.555968-augustus-gene-0.40-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR11766;PTHR11766:SF0	NA	mobidb-lite	IPR002307	NA	PF16714;PF00579	NA	GO:0000166;GO:0004831;GO:0005524;GO:0005737;GO:0006437;GO:0003723;GO:0004812;GO:0006418	SSF52374	PR01040	cd00805	G3DSA:1.10.240.10;G3DSA:3.40.50.620;G3DSA:3.10.290.10	NA	KEGG: 00970+6.1.1.1	PS00178	NA	NA	TIGR00234	NA	NA	NA	SignalP-TM	NA
maker-NODE_45_length_47580_cov_12.920806-augustus-gene-0.26-mRNA-1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	PTHR31834	TMhelix	NA	IPR039367	NA	PF04488	NA	GO:0000009	SSF53448	NA	NA	G3DSA:3.90.550.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
augustus_masked-NODE_687_length_12513_cov_11.552317-processed-gene-0.8-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	PTHR23130:SF115;PTHR23130	TMhelix	mobidb-lite	IPR006593	SM00665	PF16010	NA	NA	SSF49344	NA	cd08760;cd09630	G3DSA:2.60.40.1210	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	SignalP-noTM
maker-NODE_496_length_16079_cov_12.822593-augustus-gene-0.2-mRNA-1	NA	PTHR19321;PTHR19321:SF0	NA	mobidb-lite	IPR007145	NA	PF03999	NA	GO:0000226;GO:0008017	NA	NA	NA	G3DSA:1.20.58.1520	Coil	Reactome: R-HSA-5625900	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_277_length_23430_cov_12.004549-augustus-gene-0.17-mRNA-1	NA	PTHR10677;PTHR10677:SF3	NA	mobidb-lite	IPR029071	SM00213;SM00165	PF00240;PF00627	PS50053;PS50030	GO:0005515	SSF54236;SSF46934	NA	cd01809;cd14324	G3DSA:1.10.8.10;G3DSA:3.10.20.90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_79586_cov_11.892120-snap-gene-0.34-mRNA-1	NA	PTHR16092:SF14;PTHR16092	NA	mobidb-lite	IPR019160	SM01313	PF09763;PF15277	NA	GO:0000145;GO:0006887	NA	NA	cd13315	G3DSA:2.30.29.90	NA	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_55427_cov_15.000868-augustus-gene-0.47-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR24305;PTHR24305:SF102	TMhelix	NA	IPR036396	NA	PF00067	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	SSF48264	PR00385;PR00465	NA	G3DSA:1.10.630.10	NA	NA	PS00086	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_882_length_9876_cov_12.429480-processed-gene-0.7-mRNA-1	NA	PTHR44301	NA	mobidb-lite	IPR035979	SM00360	PF00076	PS50102	GO:0003676	SSF54928	NA	NA	G3DSA:3.30.70.330	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1734_length_3700_cov_12.469913-augustus-gene-0.3-mRNA-1	NA	PTHR22599:SF20;PTHR22599	NA	mobidb-lite	IPR036703	SM01388	PF03637	NA	NA	SSF101152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_150_length_31437_cov_11.599329-snap-gene-0.13-mRNA-1	NA	PTHR22834;PTHR22834:SF20	NA	mobidb-lite	IPR027267	SM00325	PF00621	PS50010	GO:0005089;GO:0035023	SSF103657;SSF48065	NA	cd07589;cd00160	G3DSA:1.20.1270.60;G3DSA:1.20.900.10	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_102_length_36237_cov_13.171891-snap-gene-0.20-mRNA-1	NA	PTHR19965;PTHR19965:SF35	NA	mobidb-lite	IPR000504	SM00360;SM01218	PF00076	PS50102	GO:0003676	SSF54928	NA	NA	G3DSA:3.30.70.330	NA	Reactome: R-HSA-109688|Reactome: R-HSA-159236|Reactome: R-HSA-72187	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_30_length_52283_cov_12.264955-processed-gene-0.49-mRNA-1	NA	PTHR13115:SF8;PTHR13115	NA	mobidb-lite	IPR036128	SM00719	PF03126	PS51360	GO:0003677;GO:0006368;GO:0016570;GO:0016593	SSF159042	NA	NA	G3DSA:2.170.260.30	Coil	Reactome: R-HSA-112382|Reactome: R-HSA-674695|Reactome: R-HSA-75955|Reactome: R-HSA-8866654	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_510_length_15916_cov_11.563367-processed-gene-0.8-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR16130	TMhelix	mobidb-lite	IPR006876	NA	PF04791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_105_length_36137_cov_12.306776-augustus-gene-0.0-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR19957:SF83;PTHR19957	TMhelix	NA	IPR006012	SM00397	PF05739	PS50192	GO:0005484;GO:0006886;GO:0016020;GO:0016192	SSF47661	NA	cd15845	G3DSA:1.20.58.70	Coil	NA	PS00914	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_214_length_27470_cov_12.849029-snap-gene-0.19-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR23500;PTHR23500:SF162	TMhelix	NA	IPR005829	NA	PF00083	PS50850	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0016020	SSF103473	NA	cd06174	G3DSA:1.20.1250.20	NA	Reactome: R-HSA-189200	PS00217	NA	NA	TIGR00879	NA	NA	NA	NA	NA
maker-NODE_251_length_25612_cov_12.630881-augustus-gene-0.25-mRNA-1	NA	PTHR14773:SF0;PTHR14773	NA	NA	IPR019775	SM00320	NA	PS50294;PS50082	GO:0005515;GO:0006974	SSF50978	NA	NA	G3DSA:2.130.10.10	Coil	NA	PS00678	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_895_length_9681_cov_10.627905-augustus-gene-0.13-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR13789;PTHR13789:SF205	TMhelix	mobidb-lite	IPR036188	NA	PF00410;PF01494	NA	GO:0003735;GO:0005840;GO:0006412;GO:0004502;GO:0006569;GO:0019805;GO:0071949	SSF51905;SSF56047	PR00420	NA	G3DSA:3.30.1370.30;G3DSA:3.30.1490.10;G3DSA:3.50.50.60	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	MF_01971	NA	NA	NA	NA	NA	NA
maker-NODE_156_length_31308_cov_10.340175-snap-gene-0.9-mRNA-1	NA	PTHR10792:SF8;PTHR10792	NA	mobidb-lite	IPR038630	SM00746	PF01246	NA	NA	SSF57716	NA	cd00472	G3DSA:2.30.170.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_198_length_28352_cov_10.742817-augustus-gene-0.9-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR23502;PTHR23502:SF4	TMhelix	mobidb-lite	IPR011701	NA	PF07690	PS50850	GO:0016021;GO:0055085	SSF103473	NA	cd06174	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_78_length_39771_cov_11.720992-processed-gene-0.22-mRNA-1	NA	PTHR23114:SF22;PTHR23114	NA	NA	IPR000086	NA	PF13649;PF00293	PS51462	GO:0016787	SSF55811;SSF53335	NA	cd02440	G3DSA:3.90.79.10;G3DSA:3.40.50.150	NA	NA	PS00893	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_57113_cov_13.380321-processed-gene-0.48-mRNA-1	NA	PTHR31570	NA	mobidb-lite	IPR026243	NA	NA	NA	GO:0051225;GO:0070652	NA	NA	NA	NA	Coil	Reactome: R-HSA-2565942|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-8854518	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_100_length_36341_cov_10.763158-augustus-gene-0.48-mRNA-1	NA	PTHR21551;PTHR21551:SF0	NA	mobidb-lite	IPR039900	NA	PF09770	NA	GO:0000290	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_103_length_36208_cov_10.446551-snap-gene-0.9-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_703_length_12328_cov_11.606590-processed-gene-0.2-mRNA-1	NA	PTHR21483	NA	mobidb-lite	IPR013929	NA	PF08620;PF08621	NA	GO:0006366	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_136_length_32935_cov_12.381553-augustus-gene-0.2-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR23500:SF353;PTHR23500	TMhelix	mobidb-lite	IPR005829	NA	PF00083	PS50850	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0016020	SSF103473	PR00171	cd06174	G3DSA:1.20.1250.20	NA	Reactome: R-HSA-189200	PS00216;PS00217	NA	NA	TIGR00879	NA	NA	NA	NA	NA
maker-NODE_1083_length_7762_cov_10.482777-snap-gene-0.0-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR23501;PTHR23501:SF43	TMhelix	mobidb-lite	IPR011701	NA	PF07690	PS50850	GO:0016021;GO:0055085	SSF103473	NA	cd06174	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_376_length_19661_cov_11.301884-augustus-gene-0.17-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_795_length_11026_cov_12.392330-snap-gene-0.7-mRNA-1	NA	PTHR43047;PTHR43047:SF5	NA	mobidb-lite	IPR000014	SM00448;SM00387;SM00091;SM00388;SM00086	PF13188;PF00072;PF00512;PF02518;PF08447	PS50110;PS50112;PS50109;PS50113	GO:0000160;GO:0000155;GO:0007165;GO:0005515;GO:0016310;GO:0016772	SSF52172;SSF55785;SSF47384;SSF55874	PR00344	cd00082;cd00075;cd00130;cd00156	G3DSA:1.10.287.130;G3DSA:3.30.565.10;G3DSA:3.40.50.2300;G3DSA:3.30.450.20	NA	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	NA	NA	NA	TIGR00229	NA	NA	NA	NA	NA
maker-NODE_433_length_17617_cov_10.580446-snap-gene-0.2-mRNA-1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	PTHR32083	NA	mobidb-lite	IPR000048	NA	NA	PS50096	GO:0005515	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_73_length_40549_cov_12.111078-augustus-gene-0.22-mRNA-1	NA	PTHR24031:SF91;PTHR24031	NA	mobidb-lite	IPR011545	SM00487;SM00490	PF00270;PF00271	PS51192;PS51195;PS51194	GO:0003676;GO:0005524	SSF52540	NA	cd00079	G3DSA:3.40.50.300	Coil	NA	PS00039	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_133_length_33255_cov_10.883543-snap-gene-0.8-mRNA-1	NA	PTHR22967	NA	mobidb-lite	IPR008271	SM00220	PF00069	PS50011	GO:0004672;GO:0006468;GO:0005524	SSF56112	NA	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	NA	PS00108;PS00107	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_90410_cov_12.114208-augustus-gene-0.6-mRNA-1	NA	PTHR43008;PTHR43008:SF7	NA	NA	IPR002347	NA	PF00106	NA	GO:0016491	SSF51735	PR00081	cd05233	G3DSA:3.40.50.720	NA	NA	PS00061	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_604_length_13769_cov_13.355960-processed-gene-0.1-mRNA-1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	PTHR16631:SF24;PTHR16631	NA	mobidb-lite	IPR017853	NA	NA	NA	NA	SSF51445	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	SignalP-noTM
maker-NODE_1907_length_2903_cov_10.590058-snap-gene-0.1-mRNA-1	NA	PTHR44739	NA	mobidb-lite	IPR036236	SM00355	PF00096	PS50157	GO:0003676	SSF57667	NA	NA	G3DSA:3.30.160.60	NA	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1010_length_8460_cov_11.960158-augustus-gene-0.0-mRNA-1	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	PTHR42032	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2133_length_2100_cov_9.690826-processed-gene-0.1-mRNA-1	NA	PTHR13581	NA	mobidb-lite	IPR012423	NA	PF07904	NA	GO:0005634;GO:0006355;GO:0043189	NA	NA	NA	NA	NA	Reactome: R-HSA-3214847	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1451_length_5130_cov_9.679792-processed-gene-0.1-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR23070;PTHR23070:SF33	TMhelix	mobidb-lite	IPR027417	SM01024;SM00382	PF08740;PF00004	NA	GO:0034551;GO:0005524	SSF52540	NA	cd00009	G3DSA:3.40.50.300	Coil	Reactome: R-HSA-1268020	PS00674	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_153_length_31409_cov_12.384598-processed-gene-0.3-mRNA-1	NA	PTHR12595;PTHR12595:SF6	NA	mobidb-lite	IPR003162	NA	PF02291	NA	GO:0006352;GO:0046982	SSF47113	NA	cd07979	G3DSA:1.10.20.10	NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_596_length_13827_cov_10.484891-snap-gene-0.4-mRNA-1	NA	PTHR44533;PTHR44533:SF2	NA	mobidb-lite	IPR027417	SM00490;SM00487	PF00270;PF00271	PS51192;PS51194	GO:0003676;GO:0005524	SSF52540	NA	cd00079;cd00046	G3DSA:3.40.50.300	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_945_length_9213_cov_10.860665-augustus-gene-0.3-mRNA-1	NA	PTHR45590	NA	mobidb-lite	IPR011993	SM00222	PF01369;PF15410	PS50190	GO:0005086;GO:0032012	SSF48425;SSF50729	NA	cd00171	G3DSA:2.30.29.30;G3DSA:1.10.1000.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_54833_cov_12.461924-augustus-gene-0.3-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR10281;PTHR10281:SF4	NA	mobidb-lite	IPR036400	SM01117	PF00173	NA	NA	SSF55856	NA	NA	G3DSA:3.10.120.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_132_length_33273_cov_14.241115-snap-gene-0.16-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR10778:SF4;PTHR10778	TMhelix	mobidb-lite	IPR013657	NA	PF08449	NA	GO:0055085	SSF103481	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00803	NA	NA	NA	NA	NA
maker-NODE_938_length_9287_cov_12.435480-augustus-gene-0.0-mRNA-1	NA	PTHR22846;PTHR22846:SF2	NA	mobidb-lite	IPR015943	SM00320;SM00667	PF00400;PF08513	PS50294;PS50082;PS50896	GO:0005515	SSF50978	NA	NA	G3DSA:2.130.10.10;G3DSA:1.20.960.30	NA	NA	PS00678	NA	NA	NA	NA	NA	NA	NA	NA
