Gene	TMHMM	interpro	SUPERFAMILY	MobiDBLite	Phobius	PANTHER	GO	PATHWAY	Pfam	TIGRFAM	Gene3D	Coils	ProSiteProfiles	SMART	SignalP_EUK	CDD	ProSitePatterns	PRINTS	SignalP_GRAM_POSITIVE	PIRSF	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
snap_masked-NODE_59_length_151286_cov_48.523409-processed-gene-0.3-mRNA-1	NA	NA	NA	mobidb-lite	NA	PTHR19444:SF49;PTHR19444	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_16_length_321002_cov_48.649680-processed-gene-1.10-mRNA-1	NA	IPR001579	SSF51445	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	PTHR11177:SF318;PTHR11177	GO:0004553;GO:0005975	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	PF00704	NA	G3DSA:3.20.20.80	NA	NA	NA	SignalP-noTM	cd02877	PS01095	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
maker-NODE_17_length_310219_cov_46.891864-snap-gene-2.14-mRNA-1	NA	IPR000195	SSF47923	mobidb-lite	NA	PTHR22957:SF212;PTHR22957	NA	NA	PF00566	NA	G3DSA:1.10.472.80;G3DSA:1.10.8.270	NA	PS50086	SM00164	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
snap_masked-NODE_36_length_200612_cov_47.596648-processed-gene-1.78-mRNA-1	NA	IPR012337	SSF53098	NA	NA	PTHR11140	GO:0005515;GO:0000398;GO:0005681;GO:0003723;GO:0030623;GO:0017070	Reactome: R-HSA-72163|Reactome: R-HSA-72165	PF08084;PF12134;PF08083;PF10598;PF06487;PF08082;PF10597;PF10596	NA	G3DSA:3.90.1570.40;G3DSA:3.30.420.230;G3DSA:3.40.140.10;G3DSA:1.20.80.40;G3DSA:3.10.20.550;G3DSA:1.20.58.1750	NA	NA	SM00232	NA	cd08056;cd13838	NA	NA	NA	NA	NA	NA	PD149576	NA
maker-NODE_25_length_243189_cov_46.787314-snap-gene-0.18-mRNA-1	NA	IPR036910	SSF47095	mobidb-lite	NA	PTHR13711:SF294;PTHR13711	NA	NA	PF00505	NA	G3DSA:1.10.30.10	NA	PS50118	SM00398	NA	cd01390	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_60_length_150837_cov_45.855736-processed-gene-0.90-mRNA-1	NA	NA	NA	mobidb-lite	NA	PTHR42068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_74_length_128168_cov_48.880140-snap-gene-0.5-mRNA-1	NA	IPR027417	SSF52540	mobidb-lite	NA	PTHR13367;PTHR13367:SF18	NA	NA	PF12340;PF12359	NA	G3DSA:3.40.50.300	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_82_length_115983_cov_46.803126-augustus-gene-0.33-mRNA-1	NA	IPR000679	SSF57716	mobidb-lite	NA	PTHR10071:SF228;PTHR10071	GO:0006355;GO:0008270;GO:0043565;GO:0003700	Reactome: R-HSA-383280	PF00320	NA	G3DSA:3.30.50.10	Coil	PS50114	SM00401	NA	cd00202	PS00344	PR00619	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_57_length_155057_cov_47.339650-processed-gene-0.12-mRNA-1	NA	IPR007304	NA	NA	NA	PTHR10933;PTHR10933:SF9	GO:0009966	NA	PF04177	NA	G3DSA:1.25.40.540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_250861_cov_48.902781-augustus-gene-1.114-mRNA-1	NA	IPR005141	SSF53137;SSF159065;SSF55315	mobidb-lite	NA	PTHR10853	GO:0070481;GO:0070966;GO:0071025	NA	PF03464;PF03465;PF03463	TIGR00111	G3DSA:3.30.1330.30;G3DSA:3.30.420.60;G3DSA:2.30.30.870	NA	NA	SM01194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_119_length_70153_cov_45.221218-augustus-gene-0.61-mRNA-1	TMhelix	IPR004923	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR31632:SF6;PTHR31632	GO:0005381;GO:0016020;GO:0033573;GO:0034755	NA	PF03239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_12_length_365688_cov_47.560864-processed-gene-2.24-mRNA-1	TMhelix	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	G3DSA:1.20.140.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_46_length_170045_cov_47.017809-processed-gene-0.32-mRNA-1	TMhelix	IPR004776	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR31794;PTHR31794:SF2	GO:0016021;GO:0055085	NA	PF03547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_177098_cov_44.865243-snap-gene-0.77-mRNA-1	TMhelix	IPR001901	SSF103456	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR12309:SF20;PTHR12309	GO:0006605;GO:0006886;GO:0016020;GO:0015031;GO:0015450	Reactome: R-HSA-1236974|Reactome: R-HSA-1799339|Reactome: R-HSA-381038	PF00584	TIGR00327	G3DSA:1.20.5.820	NA	NA	NA	NA	NA	PS01067	NA	NA	NA	MF_00422	NA	NA	NA
maker-NODE_103_length_84421_cov_47.178791-snap-gene-0.33-mRNA-1	NA	IPR002326	SSF81496;SSF46626	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR10266:SF3;PTHR10266	GO:0009055;GO:0020037	Reactome: R-HSA-1268020|Reactome: R-HSA-611105	PF02167	NA	G3DSA:1.10.760.10;G3DSA:1.20.5.100	NA	PS51007	NA	NA	NA	NA	PR00603	NA	NA	NA	NA	NA	NA
snap_masked-NODE_18_length_304008_cov_47.216986-processed-gene-1.13-mRNA-1	NA	IPR011990	SSF48452;SSF46565;SSF46934	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR23172:SF19;PTHR23172	GO:0005515	NA	NA	NA	G3DSA:1.25.40.10;G3DSA:1.10.287.110;G3DSA:1.10.8.10	Coil	PS50030	SM00165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_62_length_149231_cov_46.803272-augustus-gene-0.113-mRNA-1	NA	IPR019775	SSF81383;SSF50978	mobidb-lite	NA	PTHR44007:SF5;PTHR44007	GO:0005515	NA	PF00400;PF12937	NA	G3DSA:1.20.1280.50;G3DSA:2.130.10.10	NA	PS50082;PS50294;PS50181	SM00320;SM00256	NA	cd00200	PS00678	PR00320	NA	NA	NA	NA	NA	NA
snap_masked-NODE_134_length_50070_cov_33.583685-processed-gene-0.6-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_30_length_221711_cov_47.927368-processed-gene-1.41-mRNA-1	NA	IPR017438	SSF111331	mobidb-lite	NA	PTHR20275;PTHR20275:SF0	GO:0003951;GO:0006741;GO:0019674	KEGG: 00760+2.7.1.23|MetaCyc: PWY-5083|MetaCyc: PWY-7268|MetaCyc: PWY-7269|Reactome: R-HSA-196807	PF01513	NA	G3DSA:3.40.50.10330;G3DSA:2.60.200.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_00361	NA	NA	NA
augustus_masked-NODE_6_length_459376_cov_47.460123-processed-gene-2.75-mRNA-1	NA	IPR029062	SSF52317;SSF56322	NA	NA	PTHR11236:SF18;PTHR11236	GO:0009058	KEGG: 00400+4.1.3.27|KEGG: 00405+4.1.3.27|MetaCyc: PWY-5958|MetaCyc: PWY-6661	PF00117;PF00425;PF04715	TIGR01823	G3DSA:3.40.50.880	NA	PS51273	NA	NA	cd01743	NA	PR00095	NA	NA	NA	NA	NA	NA
snap_masked-NODE_62_length_149231_cov_46.803272-processed-gene-0.69-mRNA-1	NA	IPR025118	NA	mobidb-lite	NA	NA	NA	NA	PF13254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_30_length_221711_cov_47.927368-snap-gene-1.77-mRNA-1	NA	IPR027417	SSF52540;SSF54980;SSF50447;SSF54211	NA	NA	PTHR42908:SF3;PTHR42908	GO:0005525;GO:0003924	NA	PF00679;PF03144;PF00009;PF14492	TIGR00231	G3DSA:3.30.70.870;G3DSA:3.30.70.240;G3DSA:3.30.230.10	NA	PS51722	SM00838	NA	cd04096;cd16268;cd01885;cd01681	NA	PR00315	NA	NA	NA	NA	NA	NA
maker-NODE_150_length_38442_cov_40.298056-snap-gene-0.2-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_510266_cov_45.656092-snap-gene-3.9-mRNA-1	TMhelix	IPR037761	SSF49562	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR10774:SF116;PTHR10774	GO:0061817;GO:0008289	NA	PF00168	NA	G3DSA:2.60.40.150	NA	PS50004;PS51847	SM00239	NA	cd04044;cd04052;cd04045;cd04040	NA	NA	NA	PIRSF037232	NA	NA	NA	NA
maker-NODE_101_length_89282_cov_47.641916-snap-gene-0.0-mRNA-1	NA	IPR001936	SSF47576;SSF143885;SSF48350	mobidb-lite	NA	PTHR14149:SF14;PTHR14149	GO:0043087;GO:0005515;GO:0007165	Reactome: R-HSA-5626467	PF00616;PF00307;PF03836;PF00612	NA	G3DSA:1.10.506.10;G3DSA:1.10.418.10	Coil	PS50096;PS50021;PS50018	SM00033;SM00015;SM00323	NA	cd00014	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_57_length_155057_cov_47.339650-snap-gene-0.117-mRNA-1	TMhelix	IPR002528	SSF56024	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR11206:SF197;PTHR11206	GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085;GO:0005634;GO:0006281;GO:0008081	Reactome: R-HSA-425366	PF01554;PF06087	TIGR00797	G3DSA:3.30.870.10;G3DSA:3.30.870.20	NA	NA	NA	NA	cd09123;cd13132	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_26_length_237870_cov_47.987125-processed-gene-1.2-mRNA-1	NA	IPR000569	SSF56204	mobidb-lite	NA	PTHR11254:SF357;PTHR11254	GO:0004842;GO:0005515	MetaCyc: PWY-7511|Reactome: R-HSA-983168	PF00612;PF00632	NA	G3DSA:3.30.2160.10;G3DSA:3.30.2410.10;G3DSA:3.90.1750.10	Coil	PS50237;PS50096	SM00119;SM00015	NA	cd00078	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_31_length_213503_cov_48.557462-processed-gene-0.41-mRNA-1	NA	IPR027532	NA	mobidb-lite	NA	PTHR28204	GO:0007005;GO:0032865;GO:0045040;GO:0008289	NA	PF10296	NA	NA	NA	PS51847	NA	NA	NA	NA	NA	NA	NA	MF_03104	NA	NA	NA
snap_masked-NODE_66_length_142711_cov_43.938107-processed-gene-0.64-mRNA-1	NA	IPR038765	SSF54001	mobidb-lite	NA	PTHR12419;PTHR12419:SF10	NA	NA	PF02338	NA	G3DSA:3.90.70.80	Coil	PS50802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_336798_cov_44.461587-snap-gene-1.5-mRNA-1	TMhelix	IPR014043	SSF47336;SSF51735;SSF52151;SSF53901;SSF55048;SSF50129;SSF53335	NA	NA	PTHR43775:SF7;PTHR43775	GO:0003824;GO:0016740;GO:0016491;GO:0031177	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	PF00698;PF00109;PF02801;PF13602;PF08659;PF00550;PF16197;PF14765;PF08242	NA	G3DSA:3.90.180.10;G3DSA:3.40.50.720;G3DSA:1.10.1200.10;G3DSA:3.40.47.10;G3DSA:3.30.70.3290;G3DSA:3.10.129.110;G3DSA:3.40.366.10;G3DSA:3.40.50.150	Coil	PS50075	SM00827;SM00822;SM00829;SM00826;SM00823;SM00825	NA	cd05195;cd05274;cd02440;cd00833	PS00012;PS00606	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_510603_cov_44.643932-snap-gene-1.16-mRNA-1	TMhelix	NA	NA	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR33048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_129_length_56122_cov_37.923047-snap-gene-0.19-mRNA-1	NA	IPR011333	SSF54695	mobidb-lite	NA	PTHR13384	GO:0003676;GO:0006397	NA	PF01585;PF07713	NA	NA	NA	PS50174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_106_length_81601_cov_44.466517-processed-gene-0.11-mRNA-1	TMhelix	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_169_length_28874_cov_46.067555-snap-gene-0.19-mRNA-1	TMhelix	IPR011701	SSF103473	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR23504:SF31;PTHR23504	GO:0016021;GO:0055085;GO:0005215	NA	PF07690	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	cd06174	PS00216	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_96_length_97337_cov_46.673624-processed-gene-0.47-mRNA-1	NA	IPR001222	SSF57783	NA	NA	PTHR11239:SF12;PTHR11239	GO:0003676;GO:0006351;GO:0008270;GO:0042779	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	PF02150;PF01096	NA	G3DSA:2.20.25.10	NA	PS51133	SM00440;SM00661	NA	cd10509	NA	NA	NA	PIRSF005586	NA	NA	NA	NA
maker-NODE_37_length_200296_cov_45.924529-snap-gene-0.5-mRNA-1	NA	IPR024882	NA	mobidb-lite	NA	PTHR13437	GO:0005643;GO:0006913	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	PF13634	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_41_length_188794_cov_46.184076-processed-gene-0.63-mRNA-1	NA	IPR001161	SSF52540	mobidb-lite	NA	PTHR11274:SF0;PTHR11274	GO:0004003;GO:0006289;GO:0006367;GO:0003677;GO:0005524;GO:0016787	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73777|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075	PF13625;PF16203;PF04851	TIGR00603	G3DSA:3.40.50.300	NA	PS51194;PS51192	SM00490;SM00487	NA	cd00079;cd00046	NA	PR00851	NA	NA	NA	NA	NA	NA
snap_masked-NODE_46_length_170045_cov_47.017809-processed-gene-0.62-mRNA-1	NA	NA	NA	mobidb-lite	NA	PTHR13856:SF91;PTHR13856	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_80_length_118422_cov_45.835462-snap-gene-0.96-mRNA-1	NA	IPR002717	SSF55729	mobidb-lite	NA	PTHR10615;PTHR10615:SF114	GO:0004402;GO:0006355;GO:0016573	Reactome: R-HSA-3214847	PF01853	NA	G3DSA:3.40.630.30;G3DSA:1.10.10.10	NA	PS51726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_69_length_139047_cov_36.011510-augustus-gene-0.17-mRNA-1	NA	IPR023319	SSF47781;SSF55550;SSF53098;SSF158832;SSF50249	mobidb-lite	NA	PTHR10145	GO:0032968;GO:0003676;GO:0003677;GO:0006139	Reactome: R-HSA-112382|Reactome: R-HSA-674695|Reactome: R-HSA-75955	PF14633;PF17674;PF14635;PF14632;PF14641;PF14639;PF00575	NA	G3DSA:1.10.10.650;G3DSA:3.30.505.10;G3DSA:1.10.150.850;G3DSA:2.40.50.140;G3DSA:1.10.10.2740;G3DSA:1.10.3500.10;G3DSA:3.30.420.140	NA	PS50126	SM00252	NA	cd09928;cd09918	NA	NA	NA	PIRSF036947	NA	NA	NA	NA
snap_masked-NODE_129_length_56122_cov_37.923047-processed-gene-0.8-mRNA-1	NA	IPR002347	SSF51735	NA	NA	PTHR24320:SF106;PTHR24320	NA	NA	PF00106	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA
maker-NODE_138_length_47642_cov_39.636515-snap-gene-0.2-mRNA-1	NA	IPR013087	SSF57667	mobidb-lite	NA	PTHR24390;PTHR24390:SF62	GO:0003676	NA	PF00096	NA	G3DSA:3.30.160.60	NA	PS50157	SM00355	NA	NA	PS00028	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_440057_cov_47.711181-snap-gene-1.46-mRNA-1	NA	IPR036866	SSF56281	mobidb-lite	NA	PTHR23240:SF13;PTHR23240	NA	NA	PF07522	NA	G3DSA:3.60.15.10;G3DSA:3.40.50.12650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_348637_cov_45.330134-processed-gene-2.36-mRNA-1	NA	IPR016166	SSF56176	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	PTHR13878;PTHR13878:SF70	GO:0071949;GO:0016491;GO:0050660;GO:0055114	NA	PF01565;PF08031	NA	G3DSA:3.40.462.20;G3DSA:3.30.465.40	NA	PS51387	NA	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_382122_cov_47.985369-processed-gene-0.44-mRNA-1	TMhelix	IPR006976	NA	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	PTHR28008	NA	NA	PF04892	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_34_length_208333_cov_45.525086-augustus-gene-0.53-mRNA-1	NA	IPR004045	SSF52833;SSF47616	NA	NA	NA	GO:0005515	NA	PF13417;PF13410	NA	G3DSA:1.20.1050.10;G3DSA:3.40.30.110	NA	NA	NA	NA	cd00570;cd00299	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_126_length_58343_cov_46.276917-snap-gene-0.39-mRNA-1	NA	IPR036867	SSF82708	mobidb-lite	NA	PTHR15672	GO:0003676	NA	PF12752;PF01424	NA	G3DSA:3.30.1370.50	NA	PS51673;PS51061	NA	NA	cd02642	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_27_length_234181_cov_45.442107-augustus-gene-1.93-mRNA-1	NA	IPR018181	SSF53067;SSF100920;SSF100934	NA	NA	PTHR19375;PTHR19375:SF325		Reactome: R-HSA-3371453	PF00012	NA	G3DSA:2.60.34.10;G3DSA:3.30.420.40;G3DSA:3.90.640.10;G3DSA:1.20.1270.10	Coil	NA	NA	NA	NA	PS00329;PS01036	PR00301	NA	NA	NA	NA	NA	NA
maker-NODE_77_length_121482_cov_46.388002-augustus-gene-0.11-mRNA-1	TMhelix	IPR001171	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR21257;PTHR21257:SF38	GO:0016020;GO:0016628;GO:0055114	NA	PF01222	NA	G3DSA:1.20.120.1630	NA	NA	NA	NA	NA	PS01018;PS01017	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_243189_cov_46.787314-snap-gene-0.36-mRNA-1	NA	IPR025972	SSF51011;SSF117100;SSF49785;SSF51445	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	PTHR23421:SF64;PTHR23421	GO:0004553;GO:0005975	KEGG: 00052+3.2.1.23|KEGG: 00511+3.2.1.23|KEGG: 00531+3.2.1.23|KEGG: 00600+3.2.1.23|KEGG: 00604+3.2.1.23|MetaCyc: PWY-6807	PF13363;PF13364;PF10435;PF01301	NA	G3DSA:3.20.20.80;G3DSA:2.102.20.10;G3DSA:2.60.120.260;G3DSA:2.60.390.10	NA	NA	SM01029	SignalP-noTM	NA	PS01182	PR00742	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
maker-NODE_27_length_234181_cov_45.442107-snap-gene-1.101-mRNA-1	NA	IPR012965	NA	mobidb-lite	NA	PTHR28093	NA	NA	PF08101	NA	NA	NA	NA	NA	NA	cd04401	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_30_length_221711_cov_47.927368-snap-gene-1.75-mRNA-1	NA	IPR000253	SSF57850;SSF49879	mobidb-lite	NA	PTHR15067	GO:0005515	NA	PF00498;PF17123	NA	G3DSA:2.60.200.20;G3DSA:3.30.40.10	NA	PS50089;PS50006	SM00240;SM00184	NA	cd00060	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_50_length_165979_cov_45.247757-processed-gene-0.39-mRNA-1	TMhelix	NA	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	PTHR42028	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
maker-NODE_1_length_655175_cov_46.306011-snap-gene-3.32-mRNA-1	TMhelix	NA	NA	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_53_length_157893_cov_44.883574-snap-gene-0.28-mRNA-1	NA	IPR036872	SSF116907	NA	NA	PTHR18947	NA	NA	PF05622	NA	G3DSA:1.10.418.10	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_243189_cov_46.787314-snap-gene-1.15-mRNA-1	NA	IPR001138	SSF57701	mobidb-lite	NA	PTHR31313;PTHR31313:SF42	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF04082;PF00172	NA	G3DSA:4.10.240.10	NA	PS50048	SM00906;SM00066	NA	cd00067;cd12148;cd14653	PS00463	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_485167_cov_46.599687-snap-gene-1.82-mRNA-1	NA	IPR008927	SSF48179	mobidb-lite	NA	PTHR21708;PTHR21708:SF25	GO:0055114;GO:0016491	NA	PF08546;PF02558	NA	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_31_length_213503_cov_48.557462-snap-gene-1.53-mRNA-1	NA	IPR003593	SSF53300;SSF52540	mobidb-lite	NA	PTHR22908;PTHR22908:SF66	GO:0000027;GO:0005634;GO:0016887;GO:0005524	NA	PF17865;PF17867;PF07728	NA	G3DSA:3.40.50.410;G3DSA:3.40.50.300	Coil	PS50234	SM00382	NA	cd00009	NA	NA	NA	PIRSF010340	NA	NA	NA	NA
maker-NODE_91_length_100488_cov_45.953996-snap-gene-0.77-mRNA-1	NA	IPR016528	SSF48371;SSF50978	mobidb-lite	NA	PTHR23323:SF24;PTHR23323	GO:0006886;GO:0016192;GO:0005515	NA	PF00637;PF17122;PF12451	NA	G3DSA:1.25.40.10;G3DSA:3.30.40.10	NA	PS50089;PS50236	SM00299	NA	cd16688	NA	NA	NA	PIRSF007860	NA	NA	NA	NA
augustus_masked-NODE_107_length_81207_cov_48.009645-processed-gene-0.45-mRNA-1	NA	NA	NA	mobidb-lite	NA	PTHR28034	NA	NA	PF05205	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_99_length_89951_cov_46.513738-snap-gene-0.83-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_150_length_38442_cov_40.298056-snap-gene-0.4-mRNA-1	TMhelix	IPR000209	SSF49785;SSF52743	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	PTHR42884;PTHR42884:SF14	GO:0004252;GO:0006508	NA	PF00082;PF01483	NA	G3DSA:2.60.120.260;G3DSA:3.40.50.200	NA	PS51829	NA	SignalP-noTM	cd04059	PS00137;PS00138	PR00723	NA	NA	NA	NA	NA	NA
