Gene	interpro	Pfam	MobiDBLite	SMART	Gene3D	SUPERFAMILY	PRINTS	GO	CDD	PIRSF	Coils	PATHWAY	ProSiteProfiles	ProSitePatterns	TIGRFAM	Hamap	SFLD
ETS00384.1	IPR007590	PF04502	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00492.1	IPR002347	PF00106	NA	NA	G3DSA:3.40.50.720	SSF51735	PR00081	GO:0016491	NA	NA	NA	NA	NA	PS00061	NA	NA	NA
ETR99535.1	IPR029052	PF00149	mobidb-lite	NA	G3DSA:3.60.21.10	SSF56300	NA	GO:0016787	cd07379	NA	NA	NA	NA	NA	NA	NA	NA
ETS01402.1	IPR021858	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02589.1	IPR020683	PF12796	NA	SM00248	G3DSA:1.25.40.20	SSF48403	NA	GO:0005515	NA	NA	NA	NA	PS50297;PS50088	NA	NA	NA	NA
ETR98607.1	IPR020846	PF07690	mobidb-lite	NA	G3DSA:1.20.1250.20	SSF103473	NA	GO:0055085	cd17327	NA	NA	NA	PS50850	NA	NA	NA	NA
ETS01480.1	IPR029048	PF00012	mobidb-lite	NA	G3DSA:1.20.1270.10;G3DSA:3.30.420.40;G3DSA:3.30.30.30;G3DSA:3.90.640.10	SSF53067;SSF100934	PR00301		cd10230	NA	Coil	Reactome: R-HSA-3371453	NA	NA	NA	NA	NA
ETR97615.1	IPR001138	PF00172;PF04082	mobidb-lite	SM00066;SM00906	G3DSA:4.10.240.10	SSF57701	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	cd12148;cd00067	NA	NA	NA	PS50048	PS00463	NA	NA	NA
ETS02355.1	IPR012083	PF00884	NA	NA	G3DSA:3.40.720.10	SSF53649	NA	GO:0004065;GO:0018958;GO:0008484;GO:0003824	cd16147	PIRSF000972	Coil	KEGG: 00140+3.1.6.1|KEGG: 00600+3.1.6.1	NA	PS00523	NA	NA	NA
ETR97430.1	IPR035971	PF00704;PF00734	mobidb-lite	SM00236	G3DSA:3.20.20.80	SSF57180;SSF51445	NA	GO:0005576;GO:0005975;GO:0030248;GO:0004553	cd02877	NA	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	PS51164	PS01095;PS00562	NA	NA	NA
ETR99027.1	IPR006047	PF00128;PF02806;PF02922	NA	SM00642	G3DSA:3.20.20.80;G3DSA:2.60.40.10;G3DSA:2.60.40.1180	SSF51011;SSF51445;SSF81296	NA	GO:0003824;GO:0005975;GO:0043169;GO:0003844;GO:0005978;GO:0004553	cd02854;cd11321	PIRSF000463	NA	KEGG: 00500+2.4.1.18|MetaCyc: PWY-5067|MetaCyc: PWY-622|MetaCyc: PWY-7900	NA	NA	NA	NA	NA
ETR99680.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00490.1	IPR036589	PF02574	NA	NA	G3DSA:3.20.20.330	SSF82282	NA		NA	NA	NA	Reactome: R-HSA-1614635	PS50970	NA	NA	NA	NA
ETS04733.1	IPR020946	PF00743	NA	NA	G3DSA:3.50.50.60	SSF51905	PR00370	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01207.1	IPR036249	PF13848;PF00085	mobidb-lite	NA	G3DSA:3.40.30.10	SSF52833	PR00421	GO:0016853;GO:0045454;GO:0003756	cd02961;cd02982;cd02981;cd02995	NA	NA	NA	PS51352	PS00194	TIGR01126;TIGR01130	NA	NA
ETR97669.1	IPR011059	PF07969	NA	NA	NA	SSF51338;SSF51556	NA	GO:0016810	cd01297	NA	NA	NA	NA	NA	NA	NA	NA
ETR97778.1	IPR036188	PF01266	NA	NA	G3DSA:3.30.9.10;G3DSA:3.50.50.60	SSF51905	NA	GO:0016491;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97792.1	IPR016181	PF00583	NA	NA	G3DSA:3.40.630.30	SSF55729	NA	GO:0008080	NA	NA	NA	NA	PS51186	NA	NA	NA	NA
ETS00778.1	IPR010497	PF06441	NA	NA	G3DSA:3.40.50.1820	SSF53474	PR00412	GO:0003824;GO:0033961	NA	PIRSF001112	NA	Reactome: R-HSA-211945	NA	NA	NA	NA	NA
ETS05684.1	IPR009395	PF06320	mobidb-lite	NA	NA	NA	NA	GO:0031083	NA	NA	Coil	Reactome: R-HSA-432720|Reactome: R-HSA-432722	NA	NA	NA	NA	NA
ETS02304.1	IPR000608	PF00179	NA	SM00212	G3DSA:3.10.110.10	SSF54495	NA		cd00195	NA	NA	Reactome: R-HSA-983168	PS50127	NA	NA	NA	NA
ETS03524.1	IPR036259	PF07690	NA	NA	G3DSA:1.20.1250.20	SSF103473	NA	GO:0055085	cd17327	NA	NA	NA	PS50850	NA	NA	NA	NA
ETR99868.1	IPR003163	NA	mobidb-lite	SM01252	G3DSA:3.10.260.10	SSF54616	NA	GO:0003677	NA	NA	NA	NA	PS51299	NA	NA	NA	NA
ETS01183.1	IPR017932	PF00733;PF13537	mobidb-lite	NA	G3DSA:3.60.20.10;G3DSA:3.40.50.620	SSF52402;SSF56235	NA	GO:0004066;GO:0006529	cd00712;cd01991	PIRSF001589	NA	KEGG: 00250+6.3.5.4|Reactome: R-HSA-380994|Reactome: R-HSA-8963693	PS51278	NA	TIGR01536	NA	NA
ETR99443.1	IPR001680	PF12894;PF00400	mobidb-lite	SM00320	G3DSA:2.130.10.10	SSF50978	NA	GO:0005515	cd00200	NA	NA	NA	PS50082;PS50294	NA	NA	NA	NA
ETR97591.1	IPR037104	PF00191	mobidb-lite	SM00335	G3DSA:1.10.220.10	SSF47874	PR00196	GO:0005509;GO:0005544	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01409.1	IPR011011	PF00628	mobidb-lite	SM00249	G3DSA:3.30.40.10	SSF57903	NA	NA	NA	NA	NA	NA	PS50016	PS01359	NA	NA	NA
ETS05242.1	IPR011009	PF00069	NA	NA	G3DSA:1.10.510.10	SSF56112	NA	GO:0004672;GO:0005524;GO:0006468	NA	NA	NA	NA	PS50011	NA	NA	NA	NA
ETS06488.1	IPR018122	PF00250	mobidb-lite	SM00339	G3DSA:1.10.10.10	SSF46785	PR00053	GO:0003700;GO:0006355;GO:0043565	cd00059	NA	NA	NA	PS50039	PS00657;PS00658	NA	NA	NA
ETS01718.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS07073.1	IPR029058	PF00561;PF08386	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA
ETR99733.1	IPR019405	PF10282	NA	NA	G3DSA:2.130.10.10	SSF51004	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01895.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETR99227.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS04622.1	IPR004871	PF03178;PF10433	NA	NA	G3DSA:2.130.10.10;G3DSA:3.30.980.30	SSF50998	NA	GO:0003676;GO:0005634;GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03592.1	IPR041496	PF18014;PF00583	NA	NA	G3DSA:3.40.630.30	SSF55729	NA	GO:0008080	cd04301	NA	NA	NA	PS51186	NA	NA	NA	NA
ETS05376.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02102.1	IPR007175	PF04032	mobidb-lite	NA	NA	NA	NA		NA	NA	Coil	Reactome: R-HSA-6784531|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA
ETR99112.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97776.1	IPR001849	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS50003	NA	NA	NA	NA
ETS03841.1	IPR036864	PF04082	mobidb-lite	SM00066	G3DSA:4.10.240.10	SSF57701	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	cd00067;cd12148	NA	NA	NA	PS50048	NA	NA	NA	NA
ETS03607.1	IPR029063	PF13489	mobidb-lite	NA	G3DSA:3.40.50.150	SSF53335	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA
ETR99981.1	IPR000719	PF00069	mobidb-lite	SM00220	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	NA	GO:0004672;GO:0005524;GO:0006468	cd06609	PIRSF000615	NA	NA	PS50011	PS00107	NA	NA	NA
ETS02642.1	IPR029058	PF02450	mobidb-lite	NA	G3DSA:3.40.50.1820	SSF53474	NA	GO:0006629;GO:0008374	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS04842.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00067.1	IPR001876	PF00641;PF01585	mobidb-lite	SM00547;SM00443	G3DSA:4.10.1060.10	NA	NA	GO:0003676	NA	NA	NA	NA	PS50174;PS50199	PS01358;PS00028	NA	NA	NA
ETS02424.1	IPR041800	PF02845	mobidb-lite	SM00546	G3DSA:1.10.8.10	SSF46934	NA	GO:0005515	cd14364	NA	NA	Reactome: R-HSA-112126	PS51140	NA	NA	NA	NA
ETS01169.1	IPR001781	PF00412	mobidb-lite	SM00132	G3DSA:2.10.110.10	SSF57716	NA	NA	cd08368;cd09397	NA	NA	NA	PS50023	PS00478	NA	NA	NA
ETS03016.1	IPR015940	NA	mobidb-lite	SM00165	G3DSA:1.10.8.10;G3DSA:1.25.40.10;G3DSA:1.10.287.110	SSF46565;SSF46934;SSF48452	NA	GO:0005515	NA	NA	Coil	NA	PS50030	NA	NA	NA	NA
ETS06791.1	IPR014710	NA	NA	NA	G3DSA:2.60.120.10	SSF51182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS07039.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS07207.1	IPR002347	PF00106	mobidb-lite	NA	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01032.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01406.1	IPR018713	PF09995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR96867.1	IPR001680	PF01546;PF00400	mobidb-lite	SM00320	G3DSA:2.130.10.10;G3DSA:3.40.630.10;G3DSA:3.30.70.360	SSF53187;SSF50978	NA	GO:0005515;GO:0016787;GO:0006508;GO:0008237;GO:0006751	cd05677	PIRSF037237	NA	NA	PS50082;PS50294	PS00758	NA	NA	NA
ETR98645.1	IPR003864	PF02714;PF14703;PF13967;PF12621	mobidb-lite	NA	NA	NA	NA	GO:0016020	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98477.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS02307.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97990.1	IPR006603	PF04193	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00789.1	IPR013087	PF04082;PF00096	mobidb-lite	SM00355	G3DSA:3.30.160.60	SSF57667	NA	GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0008270	cd12148	NA	NA	NA	PS50157	PS00028	NA	NA	NA
ETS01874.1	IPR029068	PF13468	NA	NA	G3DSA:3.10.180.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS06869.1	IPR011701	PF07690	NA	NA	G3DSA:1.20.1250.20	SSF103473	NA	GO:0055085	cd17327	NA	NA	NA	PS50850	NA	NA	NA	NA
ETR97602.1	IPR015421	PF00155	NA	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	SSF53383	PR00753	GO:0003824;GO:0009058;GO:0030170	cd00609	NA	NA	NA	NA	PS00105	NA	NA	NA
ETR97015.1	IPR003613	PF04564;PF00160	mobidb-lite	SM00504	G3DSA:2.40.100.10;G3DSA:3.30.40.10	SSF50891;SSF57850	PR00153	GO:0004842;GO:0016567;GO:0000413;GO:0003755;GO:0006457	cd01923	NA	Coil	MetaCyc: PWY-7511	PS51698;PS50072	PS00170	NA	NA	NA
ETS04463.1	IPR018502	PF00191	mobidb-lite	SM00335	G3DSA:1.10.220.10	SSF47874	PR01813;PR00196	GO:0005509;GO:0005544	NA	NA	NA	NA	NA	PS00223	NA	NA	NA
ETR99614.1	IPR014001	PF00271;PF13892;PF00176	mobidb-lite	SM00487;SM00490	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	SSF52540	NA	GO:0003677;GO:0005524	cd18793;cd18002	NA	Coil	NA	PS51194;PS51192;PS51413	NA	NA	NA	NA
ETS03907.1	IPR000306	PF01363	mobidb-lite	SM00064	G3DSA:3.30.40.10	SSF57903	NA	GO:0046872	cd15760	NA	NA	NA	PS50178	NA	NA	NA	NA
ETR99115.1	IPR006314	PF04261	NA	NA	NA	SSF54909	NA	GO:0004601;GO:0020037;GO:0055114	NA	NA	NA	NA	PS51404	NA	TIGR01413	NA	NA
ETS00896.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98805.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	cd06503	NA	Coil	NA	NA	NA	NA	NA	NA
ETS05734.1	IPR008386	PF05680	NA	NA	NA	NA	NA	GO:0000276;GO:0015078;GO:0015986	NA	NA	Coil	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	NA	NA	NA	NA	NA
ETS03192.1	NA	PF08592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02796.1	IPR026255	PF01262;PF02233;PF05222;PF12769	NA	SM01002;SM01003	G3DSA:3.40.50.720;G3DSA:3.40.50.1220	SSF52283;SSF52467;SSF51735	NA	GO:0008746;GO:0055114;GO:1902600;GO:0016491	cd17390;cd05304	NA	NA	Reactome: R-HSA-71403	NA	PS00836;PS00837	TIGR00561	NA	NA
ETS05691.1	IPR018607	PF09696	NA	NA	NA	NA	NA	GO:0007064;GO:0031390	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98995.1	IPR007466	PF04371	NA	NA	G3DSA:3.75.10.10	SSF55909	NA	GO:0004668;GO:0009446	NA	NA	NA	KEGG: 00330+3.5.3.12|MetaCyc: PWY-43	NA	NA	NA	NA	NA
ETR96896.1	IPR018392	NA	mobidb-lite	NA	G3DSA:3.10.350.10	NA	NA	NA	cd00118	NA	NA	NA	NA	NA	NA	NA	NA
ETR98909.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03956.1	IPR011993	PF16457;PF11841;PF04727	mobidb-lite	NA	G3DSA:2.30.29.30;G3DSA:1.10.8.920;G3DSA:1.25.10.10	SSF48371	NA	NA	NA	NA	NA	NA	PS51335	NA	NA	NA	NA
ETR98184.1	IPR029058	NA	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01646.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS06829.1	IPR003959	PF00004	mobidb-lite	SM00382	G3DSA:3.40.50.300	SSF52540	NA	GO:0005524	cd00009	NA	NA	NA	NA	NA	NA	NA	NA
ETS00872.1	IPR004006	PF02734;PF02733	NA	SM01120	G3DSA:3.30.1180.20;G3DSA:3.40.50.10440;G3DSA:1.25.40.340	SSF82549;SSF101473	NA	GO:0004371;GO:0006071;GO:0005524	NA	NA	NA	Reactome: R-HSA-168928|Reactome: R-HSA-70350	PS51481;PS51480	NA	TIGR02361	NA	NA
ETR99722.1	IPR012875	PF07896	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS05207.1	IPR004649	PF01351	mobidb-lite	NA	G3DSA:3.30.420.10;G3DSA:1.10.10.460	SSF53098	NA	GO:0004523;GO:0016070;GO:0003676	cd07181	NA	NA	NA	NA	NA	TIGR00729	NA	NA
ETS01234.1	IPR028889	PF00443	mobidb-lite	NA	G3DSA:3.90.70.10	SSF54001	NA	GO:0016579;GO:0036459;GO:0006511	cd02663	NA	Coil	NA	PS50235	PS00973	NA	NA	NA
ETR97462.1	IPR036938	PF01569	NA	SM00014	G3DSA:1.20.144.10	SSF48317	NA	NA	cd03390	NA	NA	NA	NA	NA	NA	NA	NA
ETS01070.1	IPR014001	PF00270;PF00271	mobidb-lite	SM00487;SM00490	G3DSA:3.40.50.300	SSF52540	NA	GO:0003676;GO:0005524	cd18025;cd18795	NA	NA	NA	PS51194;PS51192	NA	NA	NA	NA
ETS06936.1	IPR001138	PF04082;PF00172	mobidb-lite	SM00066;SM00906	G3DSA:4.10.240.10	SSF57701	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	cd12148;cd00067	NA	Coil	NA	PS50048	PS00463	NA	NA	NA
ETR97086.1	NA	NA	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	cd18040	NA	NA	NA	NA	NA	NA	NA	NA
ETS00973.1	IPR029058	PF08386	mobidb-lite	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00325.1	IPR006357	PF13344;PF13242	NA	NA	G3DSA:3.40.50.1000	SSF56784	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01460;TIGR01456	NA	NA
ETS00919.1	IPR016215	PF00296	NA	NA	G3DSA:3.20.20.30	SSF51679	NA	GO:0004497;GO:0016705;GO:0055114	NA	PIRSF000337	NA	NA	NA	NA	TIGR03860	NA	NA
ETS02182.1	IPR019826	PF00135	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	PS00122	NA	NA	NA
ETS02706.1	IPR027424	PF00732;PF05199	NA	NA	G3DSA:4.10.450.10;G3DSA:3.30.410.40;G3DSA:3.50.50.60;G3DSA:1.10.1220.110	SSF54373;SSF51905	NA	GO:0016614;GO:0050660;GO:0055114	NA	PIRSF000137	NA	KEGG: 00260+1.2.1.8+1.1.99.1|MetaCyc: PWY-3722|MetaCyc: PWY-7494|Reactome: R-HSA-6798163	NA	PS00624	NA	NA	NA
ETR98656.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00742.1	IPR036291	PF00106	NA	SM00822	G3DSA:3.40.50.720	SSF51735	PR00081;PR00080	GO:0016491	cd05233	NA	NA	NA	NA	PS00061	NA	NA	NA
ETS05834.1	IPR011043	PF12768	mobidb-lite	NA	G3DSA:2.120.10.80	SSF50965	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR96924.1	IPR007219	PF04082	NA	NA	NA	NA	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	cd12148	NA	NA	NA	NA	NA	NA	NA	NA
ETR97722.1	IPR039804	PF13639	NA	SM00184;SM01197;SM00744	G3DSA:3.30.40.10	SSF57850;SSF48371	NA	GO:0008270	cd16491	NA	NA	MetaCyc: PWY-7511|Reactome: R-HSA-983168	PS50089	NA	NA	NA	NA
ETR99006.1	IPR012173	PF04006	mobidb-lite	NA	NA	NA	NA	GO:0005634;GO:0005732;GO:0006364;GO:0034457	NA	PIRSF017300	Coil	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA
ETR99813.1	IPR001447	PF00797	NA	NA	G3DSA:3.30.2140.20	SSF54001	PR01543	GO:0016407	NA	NA	NA	KEGG: 00232+2.3.1.5|KEGG: 00633+2.3.1.5|KEGG: 00983+2.3.1.5|Reactome: R-HSA-156582	NA	NA	NA	NA	NA
ETR99441.1	IPR016181	PF00583	mobidb-lite	NA	G3DSA:3.40.630.30	SSF55729	NA	GO:0008080	cd04301	NA	NA	NA	PS51186	NA	NA	NA	NA
ETS02368.1	IPR000352	PF00472	mobidb-lite	NA	G3DSA:3.30.160.20	SSF75620	NA	GO:0003747;GO:0006415	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03421.1	IPR002867	PF01485	mobidb-lite	NA	NA	SSF57850	NA	NA	NA	NA	NA	NA	PS51873	NA	NA	NA	NA
ETS04576.1	IPR023395	PF00153	mobidb-lite	NA	G3DSA:1.50.40.10	SSF103506	NA	NA	NA	NA	NA	NA	PS50920	NA	NA	NA	NA
ETS00478.1	IPR002616	PF01702	NA	NA	G3DSA:3.20.20.105	SSF51713	NA	GO:0006400;GO:0016763;GO:0008479;GO:0101030	NA	NA	NA	MetaCyc: PWY-6700|Reactome: R-HSA-6782315	NA	NA	TIGR00449;TIGR00430	MF_00168	NA
ETS01317.1	IPR032800	PF14558;PF06011	mobidb-lite	SM01320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS06641.1	IPR004839	PF00155	NA	NA	G3DSA:3.40.640.10	SSF53383	NA	GO:0009058;GO:0030170;GO:0003824	cd00609	NA	NA	NA	NA	NA	NA	NA	NA
ETS03568.1	IPR001734	PF00474	NA	NA	G3DSA:1.20.1730.10	NA	NA	GO:0016020;GO:0022857;GO:0055085	NA	NA	NA	NA	PS50283	NA	NA	NA	NA
ETR96843.1	IPR023631	PF01425	mobidb-lite	NA	G3DSA:3.90.1300.10	SSF75304	NA		NA	NA	NA	KEGG: 00970+6.3.5.7	NA	NA	NA	NA	NA
ETS02470.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00383.1	IPR041371	PF17678;PF07971	NA	NA	G3DSA:1.20.1050.60;G3DSA:1.20.1610.10;G3DSA:3.30.2080.10;G3DSA:2.70.98.10	SSF48208	NA	GO:0030246;GO:0003824	NA	NA	NA	NA	NA	NA	TIGR01180	NA	NA
ETR99653.1	IPR036188	PF01494	NA	NA	G3DSA:3.50.50.60	SSF51905	PR00420	GO:0071949	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS00975.1	IPR035647	PF00679;PF00009;PF06421	NA	NA	G3DSA:3.30.70.870;G3DSA:3.30.70.3380;G3DSA:2.40.30.10;G3DSA:3.30.70.2570;G3DSA:3.40.50.300	SSF54980;SSF52540	PR00315	GO:0005525;GO:0003924	cd03699;cd03709;cd01890	NA	NA	NA	PS51722	PS00301	TIGR01393;TIGR00231	MF_00071	NA
ETS03525.1	IPR000504	PF00076	mobidb-lite	SM00360	G3DSA:3.30.70.330	SSF54928	NA	GO:0003676	NA	NA	Coil	NA	PS50102	NA	NA	NA	NA
ETR99678.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00079.1	IPR015943	NA	mobidb-lite	SM00320	G3DSA:2.130.10.10	SSF50978	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS05806.1	IPR020683	PF12796	NA	SM00248	G3DSA:1.25.40.20	SSF48403	NA	GO:0005515	NA	NA	NA	NA	PS50297;PS50088	NA	NA	NA	NA
ETS06375.1	IPR004932	PF03248	NA	NA	NA	NA	NA	GO:0016021	NA	PIRSF016013	NA	NA	NA	NA	NA	NA	NA
ETS00378.1	IPR004179	PF02889	mobidb-lite	SM00973	G3DSA:1.10.3380.10	SSF158702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03045.1	IPR013935	PF08626	mobidb-lite	NA	NA	SSF51735	NA		NA	NA	NA	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	NA	NA	NA
ETS06773.1	IPR011701	PF07690	mobidb-lite	NA	NA	SSF103473	NA	GO:0055085	cd17323	NA	NA	NA	PS50850	NA	NA	NA	NA
ETS05143.1	IPR000407	PF01150	mobidb-lite	NA	G3DSA:3.30.420.40;G3DSA:3.30.420.150	NA	NA	GO:0016787	cd00012	NA	Coil	Reactome: R-HSA-8850843	NA	PS01238	NA	NA	NA
ETS01247.1	IPR036898	PF03876;PF00575	NA	NA	G3DSA:3.30.1490.120;G3DSA:2.40.50.140	SSF88798;SSF50249	NA	GO:0003899;GO:0006351;GO:0003676	cd04462;cd04329	NA	NA	NA	NA	NA	NA	NA	NA
ETR97426.1	IPR013780	PF13802;PF01055	NA	NA	G3DSA:2.60.40.1180;G3DSA:3.20.20.80;G3DSA:2.60.40.1760	SSF117125;SSF51445;SSF74650;SSF51011	NA	GO:0003824;GO:0005975;GO:0030246;GO:0004553	cd14752;cd06593	NA	NA	NA	NA	NA	NA	NA	NA
ETS04050.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02467.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97184.1	IPR008972	PF07732;PF07731;PF00394	mobidb-lite	NA	G3DSA:2.60.40.420	SSF49503	NA	GO:0005507;GO:0016491;GO:0055114	cd04205;cd13910	NA	NA	NA	NA	PS00079;PS00080	NA	NA	NA
ETS06619.1	IPR009072	PF02269	mobidb-lite	NA	G3DSA:1.10.20.10	SSF47113	NA	GO:0046982;GO:0006366	cd07978	NA	Coil	NA	NA	NA	NA	NA	NA
ETS00644.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS05736.1	IPR023210	PF00248	NA	NA	G3DSA:3.20.20.100	SSF51430	NA	NA	cd06660	NA	NA	NA	NA	NA	NA	NA	NA
ETS06160.1	IPR001310	PF01230;PF16278;PF11969	mobidb-lite	NA	NA	SSF54197	NA	NA	NA	NA	NA	NA	NA	PS00892	NA	NA	NA
ETS05169.1	IPR011687	PF07767	mobidb-lite	NA	NA	NA	NA	NA	NA	PIRSF017302	Coil	NA	NA	NA	NA	NA	NA
ETS00368.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00454.1	IPR005493	PF03737	NA	NA	G3DSA:3.50.30.100	SSF89562	NA	NA	cd16841	NA	Coil	NA	NA	NA	NA	NA	NA
ETS02548.1	IPR001608	PF01168;PF14031	NA	SM01119	NA	SSF51419	NA		NA	NA	NA	KEGG: 00473+5.1.1.1|MetaCyc: PWY-7383|MetaCyc: PWY-8040	NA	NA	NA	NA	NA
ETR99143.1	IPR014743	PF00654	mobidb-lite	NA	G3DSA:3.10.580.20;G3DSA:3.90.1280.20;G3DSA:1.10.3080.10	SSF54631;SSF81340	PR00762	GO:0005247;GO:0006821;GO:0016020;GO:0055085	cd03684;cd04591	NA	NA	Reactome: R-HSA-2672351	NA	NA	NA	NA	NA
ETS02419.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS00786.1	IPR021643	PF11597;PF06333	mobidb-lite	NA	NA	NA	NA	GO:0003712;GO:0006357;GO:0016592	NA	NA	Coil	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	NA	NA	NA	NA	NA
