Gene	interpro	GO	ProSiteProfiles	MobiDBLite	Pfam	PATHWAY	SMART	PANTHER	Coils	Phobius	TMHMM	ProSitePatterns	CDD	PRINTS	Gene3D	SUPERFAMILY	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	SFLD	Hamap	PIRSF	ProDom
augustus_masked-NQYR01000010.1-processed-gene-8.6-mRNA-1	IPR008426	GO:0000776;GO:0051382	NA	mobidb-lite	PF05837	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	PTHR42116	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000014.1-processed-gene-4.4-mRNA-1	IPR001251	NA	PS50191	mobidb-lite	PF03765;PF00650	NA	SM00516;SM01100	PTHR10174;PTHR10174:SF132	NA	NA	NA	NA	cd00170	NA	G3DSA:3.40.525.10	SSF52087;SSF46938	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000009.1-processed-gene-12.26-mRNA-1	IPR001650	GO:0003676;GO:0005524	PS51192;PS51194	NA	PF07717;PF00271;PF00270	NA	SM00490	PTHR18934:SF190;PTHR18934	NA	NA	NA	NA	cd00046;cd00079	NA	G3DSA:3.40.50.300	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-13.34-mRNA-1	IPR029056	NA	NA	NA	NA	NA	NA	PTHR43085;PTHR43085:SF1	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	G3DSA:3.40.1190.20	SSF53613	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NQYR01000003.1-augustus-gene-1.13-mRNA-1	IPR001680	GO:0005515	PS50082;PS50294	mobidb-lite	PF00400;PF12341	NA	SM00320	PTHR19932	NA	NA	NA	NA	NA	NA	G3DSA:2.130.10.10	SSF50978	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000003.1-processed-gene-32.13-mRNA-1	IPR004695	GO:0016021;GO:0055085	NA	NA	PF03595	NA	NA	PTHR31686	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000008.1-augustus-gene-10.7-mRNA-1	IPR006153	GO:0006812;GO:0015299;GO:0016021;GO:0055085	NA	mobidb-lite	PF00999	NA	NA	PTHR31382:SF1;PTHR31382	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-10.16-mRNA-1	IPR009447	GO:0006506;GO:0016021;GO:0016746	NA	NA	PF06423	Reactome: R-HSA-162710	NA	PTHR20661	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF017321	NA
maker-NQYR01000001.1-augustus-gene-26.3-mRNA-1	IPR023395	GO:0022857;GO:0055085	PS50920	mobidb-lite	PF00153	NA	NA	PTHR24089;PTHR24089:SF425	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	PR00926	G3DSA:1.50.40.10	SSF103506	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000014.1-processed-gene-0.11-mRNA-1	IPR020472	GO:0005515	PS50294;PS50082	NA	PF00400	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-2565942|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-5663220|Reactome: R-HSA-6811436|Reactome: R-HSA-68877|Reactome: R-HSA-8854518	SM00320	PTHR44129	NA	NA	NA	PS00678	cd00200	PR00320	G3DSA:2.130.10.10	SSF50978	NA	NA	NA	NA	NA	NA	PIRSF037647	NA
maker-NQYR01000010.1-augustus-gene-5.4-mRNA-1	IPR001849	NA	PS50003	mobidb-lite	PF00169	NA	SM00233	PTHR24361:SF450;PTHR24361	NA	NA	NA	NA	cd00821	NA	G3DSA:2.30.29.30	SSF50729	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-8.13-mRNA-1	IPR020846	GO:0016021;GO:0055085	PS50850	NA	PF07690	NA	NA	PTHR11360;PTHR11360:SF224	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	cd06174	NA	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000006.1-processed-gene-12.28-mRNA-1	IPR000634	GO:0006520;GO:0030170	NA	NA	PF00291	NA	NA	PTHR43419:SF9;PTHR43419	NA	NA	NA	PS00165	NA	NA	G3DSA:3.40.50.1100	SSF53686	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000006.1-processed-gene-10.6-mRNA-1	IPR004837	GO:0016021;GO:0055085	NA	mobidb-lite	PF01699	Reactome: R-HSA-425561	NA	PTHR31503;PTHR31503:SF18	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	G3DSA:1.20.1420.30;G3DSA:1.20.58.1130	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-12.37-mRNA-1	IPR037555	GO:0005839;GO:0004175;GO:0006511;GO:0019773;GO:0004298;GO:0051603	PS51475	mobidb-lite	PF10584;PF00227	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	SM00948	PTHR11599:SF10;PTHR11599	Coil	NA	NA	PS00388	cd03751	NA	G3DSA:3.60.20.10	SSF56235	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000007.1-augustus-gene-4.33-mRNA-1	IPR039542	NA	NA	NA	PF13850;PF07970	NA	NA	PTHR10984;PTHR10984:SF30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000016.1-processed-gene-1.15-mRNA-1	IPR031642	GO:0016491	NA	mobidb-lite	PF16910;PF16909;PF06650;PF12624;PF16908	Reactome: R-HSA-5662702	NA	PTHR16166;PTHR16166:SF93	Coil	NA	NA	PS00498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF037235	NA
maker-NQYR01000001.1-augustus-gene-34.28-mRNA-1	IPR013887	NA	NA	mobidb-lite	PF08578	NA	NA	PTHR37988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000003.1-processed-gene-10.6-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-34.19-mRNA-1	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004712;GO:0007093;GO:0051304	PS50011	mobidb-lite	PF00069	NA	SM00220	PTHR22974:SF21;PTHR22974	NA	NA	NA	PS00107;PS00108	cd14131	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-38.51-mRNA-1	IPR019680	GO:0003712;GO:0006357;GO:0016592	NA	mobidb-lite	PF10744	Reactome: R-HSA-1368082|Reactome: R-HSA-1368108|Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-2151201|Reactome: R-HSA-2426168|Reactome: R-HSA-381340|Reactome: R-HSA-383280|Reactome: R-HSA-400206|Reactome: R-HSA-400253|Reactome: R-HSA-9018519	NA	PTHR35041:SF4;PTHR35041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000009.1-processed-gene-5.3-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000018.1-augustus-gene-1.37-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000013.1-processed-gene-11.35-mRNA-1	IPR002885	GO:0005515	PS51375	NA	PF01535	NA	NA	PTHR44149	NA	NA	NA	NA	NA	NA	G3DSA:1.25.40.10	NA	TIGR00756	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000009.1-augustus-gene-2.3-mRNA-1	IPR002591	GO:0003824	NA	mobidb-lite	PF01663	NA	NA	PTHR10151;PTHR10151:SF70	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	cd16018	NA	G3DSA:3.40.720.10;G3DSA:3.30.1360.180	SSF53649	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000009.1-augustus-gene-6.8-mRNA-1	IPR000704	GO:0005956;GO:0019887	NA	mobidb-lite	PF01214	Reactome: R-HSA-1483191|Reactome: R-HSA-201688|Reactome: R-HSA-2514853|Reactome: R-HSA-445144|Reactome: R-HSA-6798695|Reactome: R-HSA-6804756|Reactome: R-HSA-6814122|Reactome: R-HSA-8934903|Reactome: R-HSA-8939243|Reactome: R-HSA-8948751	SM01085	PTHR11740:SF13;PTHR11740	Coil	NA	NA	PS01101	NA	PR00472	G3DSA:2.20.25.20;G3DSA:1.10.1820.10	SSF57798	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-31.14-mRNA-1	IPR008862	NA	NA	mobidb-lite	PF05794	NA	NA	PTHR12832:SF11;PTHR12832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000008.1-augustus-gene-13.39-mRNA-1	IPR036525	GO:0003924;GO:0005874;GO:0007017;GO:0005200;GO:0005525	NA	NA	PF03953;PF00091	Reactome: R-HSA-380320	SM00865	PTHR11588;PTHR11588:SF248	Coil	NA	NA	NA	NA	PR01161;PR01162	G3DSA:3.30.1330.20;G3DSA:3.40.50.1440;G3DSA:1.10.287.600	SSF52490;SSF55307	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-12.0-mRNA-1	IPR004541	GO:0003746;GO:0005525;GO:0005622;GO:0006414;GO:0003924	PS51722	NA	PF03143;PF03144;PF00009	Reactome: R-HSA-5389840	NA	PTHR43721:SF12;PTHR43721	NA	NA	NA	PS00301	cd03697;cd03707;cd01884	PR00315	G3DSA:3.40.50.300;G3DSA:2.40.30.10	SSF50447;SSF52540;SSF50465	TIGR00231;TIGR00485	NA	NA	NA	NA	MF_00118_B	NA	NA
augustus_masked-NQYR01000006.1-processed-gene-17.22-mRNA-1	IPR038769	NA	NA	mobidb-lite	NA	NA	NA	PTHR38426	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000009.1-processed-gene-10.1-mRNA-1	IPR018937		NA	NA	PF10270	Reactome: R-HSA-5223345	NA	PTHR28144	NA	SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NQYR01000003.1-augustus-gene-31.21-mRNA-1	IPR017972	GO:0016705;GO:0055114;GO:0005506;GO:0020037;GO:0004497	NA	NA	PF00067	NA	NA	PTHR24279:SF87;PTHR24279	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	PS00086	NA	PR00465	G3DSA:1.10.630.10	SSF48264	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000012.1-augustus-gene-9.23-mRNA-1	IPR016024	GO:0010265	NA	mobidb-lite	PF08623	NA	NA	PTHR12696:SF0;PTHR12696	Coil	NA	NA	NA	NA	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000005.1-augustus-gene-17.6-mRNA-1	IPR006214	NA	NA	NA	PF01027	NA	NA	PTHR23291;PTHR23291:SF32	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-11.30-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NQYR01000012.1-augustus-gene-10.48-mRNA-1	IPR035810	GO:0003735;GO:0005762	NA	mobidb-lite	PF01161	NA	NA	PTHR11362;PTHR11362:SF25	NA	NA	NA	NA	cd00866	NA	G3DSA:3.90.280.10	SSF49777	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NQYR01000009.1-augustus-gene-15.49-mRNA-1	IPR000159	GO:0007165;GO:0005515	PS50200;PS50105	mobidb-lite	PF00788;PF07647	NA	SM00454;SM00314	PTHR12844:SF39;PTHR12844	Coil	NA	NA	NA	cd09533	NA	G3DSA:3.10.20.90;G3DSA:1.10.150.50	SSF47769;SSF54236	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-14.31-mRNA-1	IPR036885	GO:0005515	NA	mobidb-lite	PF02201	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	SM00151	PTHR13844:SF7;PTHR13844	NA	NA	NA	NA	NA	NA	G3DSA:1.10.245.10	SSF47592	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-9.30-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR39601:SF2;PTHR39601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000005.1-processed-gene-15.0-mRNA-1	IPR001810	GO:0005515;GO:0005737;GO:0006887;GO:0048278	PS50181	mobidb-lite	PF12937;PF07393	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	SM00256	PTHR12100:SF1;PTHR12100	NA	NA	NA	NA	NA	NA	G3DSA:1.20.1280.50	SSF81995;SSF81383	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000006.1-processed-gene-19.5-mRNA-1	IPR036052	GO:0006535	NA	NA	PF00291	NA	NA	PTHR10314:SF35;PTHR10314	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	PS00901	cd01561	NA	G3DSA:3.40.50.1100	SSF53686	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-22.34-mRNA-1	IPR036020	GO:0005515	PS50020	mobidb-lite	PF00397	NA	SM00456	PTHR23181;PTHR23181:SF19	Coil	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	cd00201	NA	G3DSA:2.20.70.10	SSF51045	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-3.19-mRNA-1	IPR036649	GO:0000287;GO:0004427;GO:0005737;GO:0006796	NA	NA	PF00719	KEGG: 00190+3.6.1.1|MetaCyc: PWY-7805|MetaCyc: PWY-7807|Reactome: R-HSA-71737	NA	PTHR10286:SF3;PTHR10286	NA	NA	NA	PS00387	cd00412	NA	G3DSA:3.90.80.10	SSF50324	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000003.1-processed-gene-16.20-mRNA-1	IPR036249	GO:0005515	PS50405;PS50404	NA	PF02798;PF13410	NA	NA	PTHR44051;PTHR44051:SF8	NA	NA	NA	NA	cd03048	NA	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	SSF52833;SSF47616	NA	NA	NA	NA	SFLDG01151;SFLDG00358	NA	NA	NA
augustus_masked-NQYR01000008.1-processed-gene-13.11-mRNA-1	IPR017703	GO:0005515	NA	NA	PF01571	KEGG: 00260+2.1.2.10|KEGG: 00670+2.1.2.10|Reactome: R-HSA-6783984	NA	PTHR22602	NA	NA	NA	NA	NA	NA	G3DSA:3.30.70.1400;G3DSA:3.30.1360.120	SSF103025	TIGR03317	NA	NA	NA	NA	NA	PIRSF006487	NA
augustus_masked-NQYR01000006.1-processed-gene-22.24-mRNA-1	IPR036291	GO:0016491	NA	NA	PF00106	NA	SM00822	PTHR43008;PTHR43008:SF8	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	PS00061	NA	PR00081	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000009.1-augustus-gene-6.7-mRNA-1	IPR040096	GO:0006886;GO:0034066;GO:0005515	NA	mobidb-lite	PF07064	Reactome: R-HSA-6811438|Reactome: R-HSA-6811440|Reactome: R-HSA-8876198	SM00320	PTHR22746	Coil	NA	NA	NA	NA	NA	NA	SSF69322	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000006.1-processed-gene-6.16-mRNA-1	IPR013943	GO:0000959;GO:0005739	NA	mobidb-lite	PF08634	NA	NA	PTHR31014	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000012.1-augustus-gene-3.39-mRNA-1	IPR018535	NA	NA	NA	PF09362	NA	NA	PTHR43662;PTHR43662:SF7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000005.1-augustus-gene-11.14-mRNA-1	IPR000558	GO:0000786;GO:0003677;GO:0046982	NA	mobidb-lite	PF00125	NA	SM00427	PTHR23428;PTHR23428:SF164	NA	NA	NA	PS00357	NA	PR00621	G3DSA:1.10.20.10	SSF47113	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000004.1-augustus-gene-2.3-mRNA-1	IPR013714	NA	NA	NA	PF08507	NA	NA	PTHR28128	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-10.21-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000008.1-processed-gene-19.12-mRNA-1	IPR015865	GO:0008531;GO:0009231	NA	mobidb-lite	PF01687;PF01722	KEGG: 00740+2.7.1.26|MetaCyc: PWY-5523|MetaCyc: PWY-6168|MetaCyc: PWY-7863|Reactome: R-HSA-196843	SM00904	PTHR22749:SF2;PTHR22749	NA	NA	NA	NA	NA	NA	G3DSA:3.30.300.90;G3DSA:2.40.30.30	SSF82657;SSF82114	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000003.1-augustus-gene-5.34-mRNA-1	IPR040189	NA	NA	mobidb-lite	NA	NA	NA	PTHR11132;PTHR11132:SF234	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000008.1-augustus-gene-8.22-mRNA-1	IPR005225	GO:0005525;GO:0003924;GO:0007165;GO:0016020	PS51421	mobidb-lite	PF00071	NA	SM00175;SM00176;SM00174;SM00173	PTHR24070:SF284;PTHR24070	NA	NA	NA	NA	NA	PR00449	G3DSA:3.40.50.300	SSF52540	TIGR00231	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000008.1-processed-gene-20.43-mRNA-1	IPR011545	GO:0003676;GO:0005524	PS51192;PS51194;PS51195	mobidb-lite	PF00270;PF00271	NA	SM00490;SM00487	PTHR24031;PTHR24031:SF91	Coil	NA	NA	PS00039	cd00079	NA	G3DSA:3.40.50.300	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-21.31-mRNA-1	IPR038770	GO:0016020;GO:0015103;GO:0015297;GO:0016021	NA	mobidb-lite	PF01758	NA	NA	PTHR43057	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	G3DSA:1.20.1530.20	NA	TIGR00832	NA	NA	NA	NA	NA	PIRSF005508	NA
maker-NQYR01000001.1-augustus-gene-31.0-mRNA-1	IPR027417	GO:0031011;GO:0035267;GO:0043141;GO:0097255;GO:0003678;GO:0005524	NA	NA	PF06068;PF17856	Reactome: R-HSA-171319|Reactome: R-HSA-201722|Reactome: R-HSA-3214847|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-5696394|Reactome: R-HSA-606279	SM00382	PTHR11093:SF6;PTHR11093	NA	NA	NA	NA	cd00009	NA	G3DSA:1.10.8.60	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-7.7-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000005.1-augustus-gene-2.12-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000009.1-augustus-gene-4.49-mRNA-1	IPR037176	NA	PS51367	NA	PF00314	NA	SM00205	PTHR31048;PTHR31048:SF1	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	G3DSA:2.60.110.10	SSF49870	NA	NA	NA	NA	NA	NA	PIRSF002703	NA
augustus_masked-NQYR01000008.1-processed-gene-18.21-mRNA-1	IPR016193	GO:0003824	PS51747	mobidb-lite	PF00383	NA	NA	PTHR11079:SF92;PTHR11079	NA	NA	NA	NA	cd01285	NA	G3DSA:3.40.140.10	SSF53927	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000006.1-processed-gene-14.24-mRNA-1	IPR001891	GO:0004470;GO:0004471;GO:0055114;GO:0051287	NA	NA	PF03949;PF00390	NA	SM00919;SM01274	PTHR23406;PTHR23406:SF40	NA	NA	NA	NA	NA	PR00072	G3DSA:3.40.50.10380;G3DSA:3.40.50.720	SSF53223;SSF51735	NA	NA	NA	NA	NA	NA	PIRSF000106	NA
maker-NQYR01000015.1-augustus-gene-3.12-mRNA-1	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020;GO:0005215	PS50850	mobidb-lite	PF00083	Reactome: R-HSA-189200	NA	PTHR23500;PTHR23500:SF145	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	PS00216	cd06174	NA	G3DSA:1.20.1250.20	SSF103473	TIGR00879	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000005.1-augustus-gene-15.35-mRNA-1	IPR001841	NA	PS50089;PS51194	mobidb-lite	PF13639	NA	SM00184	PTHR10799:SF944;PTHR10799	Coil	NA	NA	PS00518	NA	NA	G3DSA:3.30.40.10;G3DSA:3.40.50.300	SSF57850;SSF52540	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000011.1-augustus-gene-6.17-mRNA-1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	mobidb-lite	PF04082;PF00172	NA	SM00906;SM00066	PTHR31313:SF67;PTHR31313	Coil	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	PS00463	cd00067;cd12148	PR00755	G3DSA:4.10.240.10	SSF57701	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-27.12-mRNA-1	IPR033749	GO:0008299	NA	NA	PF00348	NA	NA	PTHR12001:SF44;PTHR12001	NA	NA	NA	PS00444;PS00723	cd00685	NA	G3DSA:1.10.600.10	SSF48576	NA	NA	NA	NA	SFLDS00005	NA	NA	NA
maker-NQYR01000008.1-augustus-gene-15.12-mRNA-1	IPR001734	GO:0016020;GO:0022857;GO:0055085	PS50283	NA	PF00474	NA	NA	PTHR11819:SF114;PTHR11819	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	G3DSA:1.20.1730.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
