Gene	MobiDBLite	interpro	Pfam	CDD	ProSiteProfiles	GO	SUPERFAMILY	SMART	Gene3D	PANTHER	PATHWAY	PIRSF	ProSitePatterns	Phobius	TMHMM	PRINTS	Coils	Hamap	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	TIGRFAM	ProDom	SFLD
snap_masked-NODE_81_length_77431_cov_38.103151-processed-gene-0.167-mRNA-1	mobidb-lite	IPR003593	PF00004	cd00009	NA	GO:0005524	SSF52540	SM00382	NA	PTHR23389:SF19;PTHR23389	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_158_length_55356_cov_36.171196-augustus-gene-0.2-mRNA-1	NA	IPR001926	PF00291	cd06449	NA	GO:0008660;GO:0009310;GO:0030170	SSF53686	NA	G3DSA:3.40.50.1100	PTHR43780:SF1;PTHR43780	KEGG: 00270+3.5.99.7	PIRSF006278	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	TIGR01274	NA	NA
maker-NODE_247_length_40606_cov_36.651869-snap-gene-0.2-mRNA-1	mobidb-lite	IPR033133	PF00806	cd07920	PS50303;PS50302	GO:0003723	SSF48371	SM00025	G3DSA:1.25.10.10	PTHR12537:SF48;PTHR12537	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_80_length_78120_cov_37.618427-processed-gene-0.214-mRNA-1	NA	IPR020846	PF00083	cd06174	PS50850	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0016020	SSF103473	NA	G3DSA:1.20.1250.20	PTHR23500;PTHR23500:SF162	Reactome: R-HSA-189200	NA	PS00217	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	TIGR00879	NA	NA
maker-NODE_110_length_68765_cov_37.926950-snap-gene-0.178-mRNA-1	mobidb-lite	IPR018829	PF10360	cd00838	NA	NA	SSF56300	NA	NA	PTHR31987;PTHR31987:SF11	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_207_length_45378_cov_34.780624-processed-gene-0.37-mRNA-1	NA	IPR018946	PF09423	NA	NA	NA	SSF56300	NA	G3DSA:3.60.21.70	PTHR11177:SF327;PTHR11177	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_175564_cov_39.171309-snap-gene-0.30-mRNA-1	mobidb-lite	IPR008011	PF05347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_175564_cov_39.171309-snap-gene-0.0-mRNA-1	mobidb-lite	IPR008011	PF05347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_65_length_85733_cov_41.516401-snap-gene-0.3-mRNA-1	mobidb-lite	IPR006935	PF04851;PF00271	cd00046;cd00079	PS51192;PS51194	GO:0003677;GO:0005524;GO:0016787	SSF52540	SM00490;SM00487	G3DSA:3.40.50.300	PTHR24031;PTHR24031:SF550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_177_length_51103_cov_37.785350-processed-gene-0.135-mRNA-1	mobidb-lite	IPR003265	PF00730	cd00056	NA	GO:0006284;GO:0003824;GO:0006281	SSF48150	SM00478	G3DSA:1.10.1670.10;G3DSA:1.10.340.30	PTHR10359;PTHR10359:SF18	Reactome: R-HSA-110357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_381_length_24670_cov_31.639490-processed-gene-0.6-mRNA-1	mobidb-lite	IPR009057	PF15963	cd00167	NA	GO:0003677;GO:0000126;GO:0000995;GO:0006383	SSF46689	SM00717	G3DSA:1.20.58.1880	PTHR22929	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	NA	NA	NA	Coil	NA	SignalP-TM	NA	NA	NA	NA	NA
snap_masked-NODE_6_length_185330_cov_37.016922-processed-gene-0.113-mRNA-1	mobidb-lite	IPR003689	PF02535	NA	NA	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	NA	NA	PTHR16133;PTHR16133:SF0	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_288_length_35580_cov_23.102333-snap-gene-0.28-mRNA-1	NA	IPR015422	PF00464	cd00378	NA	GO:0003824;GO:0004372;GO:0019264;GO:0030170;GO:0035999	SSF53383	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	PTHR11680;PTHR11680:SF25	KEGG: 00260+2.1.2.1|KEGG: 00460+2.1.2.1|KEGG: 00630+2.1.2.1|KEGG: 00670+2.1.2.1|KEGG: 00680+2.1.2.1|MetaCyc: PWY-1622|MetaCyc: PWY-181|MetaCyc: PWY-2161|MetaCyc: PWY-2201|MetaCyc: PWY-3661|MetaCyc: PWY-3661-1|MetaCyc: PWY-3841|MetaCyc: PWY-5497|Reactome: R-HSA-196757	NA	PS00096	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NODE_443_length_19015_cov_38.882306-processed-gene-0.4-mRNA-1	NA	IPR036188	PF01494	NA	NA	GO:0006744;GO:0016709;GO:0050660;GO:0055114;GO:0071949	SSF51905	NA	G3DSA:3.50.50.60	PTHR43876;PTHR43876:SF7	Reactome: R-HSA-2142789	NA	PS01304	NA	NA	PR00420	NA	NA	NA	NA	NA	TIGR01988	NA	NA
maker-NODE_105_length_70167_cov_39.073715-snap-gene-0.116-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_272_length_37297_cov_31.366774-augustus-gene-0.10-mRNA-1	mobidb-lite	IPR013320	PF00722	cd02183	PS51257;PS51762	GO:0004553;GO:0005975;GO:0005618;GO:0016798;GO:0071555	SSF49899	NA	G3DSA:2.60.120.200	PTHR10963;PTHR10963:SF27	NA	PIRSF037299	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-NODE_484_length_15550_cov_36.852558-processed-gene-0.5-mRNA-1	mobidb-lite	IPR019481	PF10419	NA	NA		NA	NA	G3DSA:3.30.200.170	NA	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_233_length_42163_cov_16.084023-snap-gene-0.1-mRNA-1	NA	IPR040062	PF00153	NA	PS50920	GO:0022857	SSF103506	NA	G3DSA:1.50.40.10	PTHR24089;PTHR24089:SF409	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_29_length_111880_cov_31.419201-processed-gene-0.219-mRNA-1	mobidb-lite	IPR014851	PF08740;PF00004	cd00009	NA	GO:0034551;GO:0005524	SSF52540	SM01024;SM00382	G3DSA:3.40.50.300	PTHR23070;PTHR23070:SF33	Reactome: R-HSA-1268020	NA	PS00674	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_151757_cov_36.540520-snap-gene-0.56-mRNA-1	mobidb-lite	IPR001452	PF00018;PF00564;PF00787	cd11879;cd05992;cd06890;cd11878	PS50002;PS51745;PS50195	GO:0005515;GO:0000902;GO:0035091	SSF54277;SSF50044;SSF64268	SM00326;SM00666;SM00312	G3DSA:2.30.30.40;G3DSA:3.10.20.90;G3DSA:3.30.1520.10	PTHR45397	NA	NA	NA	NA	NA	PR00452	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_146553_cov_38.626508-augustus-gene-0.35-mRNA-1	mobidb-lite	IPR012677	PF00076;PF15519	cd12285;cd12284;cd12283	PS50102	GO:0003676;GO:0003723;GO:0005634;GO:0006397	SSF54928	SM00360	G3DSA:3.30.70.330	PTHR44047;PTHR44047:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01622	NA	NA
maker-NODE_345_length_28379_cov_36.726922-augustus-gene-0.81-mRNA-1	mobidb-lite	IPR016901	PF03256	cd08366	PS51284	GO:0005680;GO:0031145	SSF49785	SM01337	G3DSA:2.60.120.260	PTHR12936	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_228_length_42326_cov_34.878646-processed-gene-0.22-mRNA-1	mobidb-lite	IPR000504	PF00076	cd12383	PS50102	GO:0003676	SSF54928	SM00360	G3DSA:3.30.70.330	PTHR45321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_158_length_55356_cov_36.171196-augustus-gene-0.1-mRNA-1	mobidb-lite	IPR011701	PF07690	cd06174	PS50850	GO:0016021;GO:0055085	SSF103473	NA	G3DSA:1.20.1250.20	PTHR23502:SF2;PTHR23502	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_402_length_23265_cov_30.337929-processed-gene-0.54-mRNA-1	mobidb-lite	IPR006593	PF16010;PF03188	cd09630;cd08760	NA	NA	SSF49344	SM00665	G3DSA:2.60.40.1210	PTHR23130;PTHR23130:SF115	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
augustus_masked-NODE_35_length_101218_cov_37.157027-processed-gene-0.156-mRNA-1	mobidb-lite	IPR026505	NA	NA	NA	NA	SSF103481	NA	NA	PTHR19346:SF4;PTHR19346	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_134355_cov_36.180342-processed-gene-0.45-mRNA-1	NA	IPR001852	PF01680	cd04727	PS51129	GO:0042819;GO:0042823;GO:0003824	SSF51366	NA	G3DSA:3.20.20.70	PTHR31829:SF0;PTHR31829	KEGG: 00750+4.3.3.6|MetaCyc: PWY-6466	PIRSF029271	PS01235	NA	NA	NA	NA	MF_01824	NA	NA	NA	TIGR00343	NA	NA
snap_masked-NODE_163_length_54646_cov_23.087859-processed-gene-0.1-mRNA-1	mobidb-lite	IPR036388	PF00249;PF04433;PF16495	cd00167;cd02336	PS51293;PS50934	GO:0005515;GO:0003677	SSF46689	SM00717	G3DSA:1.10.10.10;G3DSA:1.10.10.60	PTHR12802:SF41;PTHR12802	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_244_length_40674_cov_38.520088-snap-gene-0.24-mRNA-1	mobidb-lite	IPR005178	PF03619	NA	NA	NA	NA	NA	NA	PTHR23423;PTHR23423:SF10	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_821_length_2944_cov_35.854810-snap-gene-0.6-mRNA-1	mobidb-lite	IPR006575	PF01485;PF05773	NA	PS50908;PS50089	GO:0005515;GO:0004842;GO:0016567;GO:0003676	SSF57850;SSF54495	SM00647	G3DSA:3.30.40.10;G3DSA:1.20.120.1750	PTHR11685	NA	NA	PS00518;PS00028	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_141_length_58958_cov_32.798678-processed-gene-0.102-mRNA-1	mobidb-lite	IPR000719	PF00069	cd14008	PS50011	GO:0004672;GO:0005524;GO:0006468	SSF56112	SM00220	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PTHR44035	NA	NA	PS00108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_222443_cov_37.740487-snap-gene-1.71-mRNA-1	mobidb-lite	IPR001005	PF00249;PF13921	cd00167	PS51294;PS50090	GO:0003677	SSF46689	SM00717	G3DSA:1.10.10.60	PTHR10641	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_222443_cov_37.740487-snap-gene-1.78-mRNA-1	mobidb-lite	IPR001005	PF00249;PF13921	cd00167	PS51294;PS50090	GO:0003677	SSF46689	SM00717	G3DSA:1.10.10.60	PTHR10641	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_409_length_22200_cov_34.375345-snap-gene-0.59-mRNA-1	mobidb-lite	IPR013734	PF08528	NA	NA	NA	NA	NA	NA	PTHR40468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_417_length_21469_cov_33.545919-snap-gene-0.14-mRNA-1	mobidb-lite	IPR018554	PF09421	NA	NA	GO:0005634;GO:0005737;GO:0006355;GO:0007623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_323_length_30318_cov_31.024113-snap-gene-0.8-mRNA-1	mobidb-lite	IPR029793	PF12796	cd00204	PS50088;PS50297	GO:0000083;GO:0030907;GO:0005515	SSF48403	SM00248	G3DSA:1.25.40.20	PTHR43828:SF1;PTHR43828	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_306_length_32839_cov_39.517486-processed-gene-0.72-mRNA-1	mobidb-lite	IPR003877	NA	cd12872	NA	GO:0005515;GO:0048188;GO:0051568	SSF49899	SM00449	NA	PTHR10598	Reactome: R-HSA-201722|Reactome: R-HSA-3214841|Reactome: R-HSA-3769402|Reactome: R-HSA-5617472|Reactome: R-HSA-8936459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_2_length_222443_cov_37.740487-processed-gene-1.58-mRNA-1	mobidb-lite	IPR021858	PF11951	NA	NA	NA	NA	NA	NA	PTHR12526;PTHR12526:SF531	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_550_length_11565_cov_34.166987-augustus-gene-0.32-mRNA-1	mobidb-lite	IPR019002	PF09420	NA	NA	NA	NA	NA	NA	PTHR13243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_205_length_45593_cov_34.208771-snap-gene-0.156-mRNA-1	NA	IPR006838	PF04750	NA	NA	GO:0016021	NA	NA	NA	PTHR10989:SF16;PTHR10989	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_54_length_92510_cov_38.469318-augustus-gene-0.210-mRNA-1	mobidb-lite	IPR014052	PF01896	cd04860	NA	GO:0003896;GO:0006269	SSF56747	NA	G3DSA:3.90.920.30	PTHR10536	Reactome: R-HSA-113501|Reactome: R-HSA-174411|Reactome: R-HSA-174430|Reactome: R-HSA-68952|Reactome: R-HSA-68962|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00335	NA	NA
maker-NODE_111_length_68426_cov_37.661078-snap-gene-0.8-mRNA-1	mobidb-lite	IPR003018	PF01590;PF00512;PF00072;PF00360;PF02518;PF08446	cd00082;cd00075;cd00156	PS50112;PS50109;PS50046;PS50110	GO:0005515;GO:0000155;GO:0007165;GO:0006355;GO:0009584;GO:0000160;GO:0018298	SSF55781;SSF47384;SSF52172;SSF55874;SSF55785	SM00387;SM00448;SM00388	G3DSA:3.40.50.2300;G3DSA:3.30.450.40;G3DSA:3.30.565.10;G3DSA:1.10.287.130;G3DSA:3.30.450.20;G3DSA:3.30.450.270	PTHR43065;PTHR43065:SF10	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	NA	NA	NA	NA	PR01033	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_213125_cov_36.036690-augustus-gene-1.223-mRNA-1	NA	IPR002347	PF00106	cd05233	NA	GO:0016491	SSF51735	NA	G3DSA:3.40.50.720	PTHR43008:SF7;PTHR43008	NA	NA	PS00061	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	PR00081	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_425_length_20581_cov_36.288159-augustus-gene-0.37-mRNA-1	mobidb-lite	IPR020846	PF00083	cd06174	PS50850	GO:0016021;GO:0022857;GO:0055085;GO:0016020;GO:0005215	SSF103473	NA	G3DSA:1.20.1250.20	PTHR23500:SF117;PTHR23500	Reactome: R-HSA-189200	NA	PS00217	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	PR00171	NA	NA	NA	NA	NA	TIGR00879	NA	NA
maker-NODE_140_length_59175_cov_32.940354-snap-gene-0.43-mRNA-1	mobidb-lite	IPR004827	PF00170;PF08601	cd14688	PS50217	GO:0003700;GO:0006355	SSF57959	SM00338	G3DSA:1.10.238.100;G3DSA:1.20.5.170	PTHR22952:SF267;PTHR22952	NA	NA	PS00036	NA	NA	NA	Coil	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_24_length_121959_cov_36.964156-snap-gene-0.323-mRNA-1	mobidb-lite	IPR017892	PF00433	cd11651	NA	GO:0004674;GO:0005524;GO:0006468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_309_length_32355_cov_39.411071-processed-gene-0.50-mRNA-1	mobidb-lite	IPR002932	PF01645;PF00310;PF01493;PF07992;PF04898;PF14691	cd00713;cd02808;cd00982	PS51278	GO:0006537;GO:0015930;GO:0016638;GO:0055114;GO:0051536;GO:0003824;GO:0016491;GO:0005506;GO:0010181;GO:0016040;GO:0050660;GO:0016639;GO:0006807	SSF51971;SSF69336;SSF51395;SSF46548;SSF56235	NA	G3DSA:1.10.1060.10;G3DSA:3.20.20.70;G3DSA:2.160.20.60;G3DSA:3.60.20.10;G3DSA:3.50.50.60	PTHR11938:SF1;PTHR11938	KEGG: 00250+1.4.1.14|KEGG: 00910+1.4.1.14|MetaCyc: PWY-6963	PIRSF000187	NA	NA	NA	PR00419	NA	NA	NA	NA	NA	TIGR01317	NA	NA
maker-NODE_152_length_56901_cov_36.610825-snap-gene-0.29-mRNA-1	NA	IPR037069	PF02770;PF00441;PF02771	NA	NA	GO:0016627;GO:0050660;GO:0055114	SSF47203;SSF56645	NA	G3DSA:1.10.540.10;G3DSA:2.40.110.10;G3DSA:1.20.140.10	PTHR43604:SF2;PTHR43604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_402_length_23265_cov_30.337929-snap-gene-0.61-mRNA-1	mobidb-lite	IPR022712	PF10996;PF07521;PF16661;PF11718	cd16292	NA		SSF56281	SM01027;SM00849;SM01098	G3DSA:3.40.50.10890;G3DSA:3.60.15.10	PTHR11203;PTHR11203:SF11	Reactome: R-HSA-109688|Reactome: R-HSA-159231|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_419_length_21224_cov_33.687349-snap-gene-0.9-mRNA-1	NA	IPR000715	PF00953	cd06855	NA	GO:0008963;GO:0016021;GO:0003975;GO:0006487;GO:0006488	NA	NA	NA	PTHR10571	KEGG: 00550+2.7.8.13|MetaCyc: PWY-5265|MetaCyc: PWY-6470|MetaCyc: PWY-6471|Reactome: R-HSA-446193|Reactome: R-HSA-4549356	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_170_length_52370_cov_34.307812-processed-gene-0.5-mRNA-1	NA	IPR001830	PF00982	cd03788	NA	GO:0003824;GO:0005992	SSF53756	NA	G3DSA:3.40.50.2000	PTHR10788:SF71;PTHR10788	KEGG: 00500+2.4.1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_146625_cov_36.210549-augustus-gene-0.19-mRNA-1	NA	IPR029052	PF00149	cd07383	NA	GO:0016787	SSF56300	NA	G3DSA:3.60.21.10	PTHR32440:SF11;PTHR32440	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-NODE_7_length_175564_cov_39.171309-processed-gene-0.113-mRNA-1	mobidb-lite	IPR000420	PF00399	NA	PS50256	GO:0005199;GO:0005618	NA	NA	NA	PTHR23124;PTHR23124:SF121	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-NODE_7_length_175564_cov_39.171309-processed-gene-0.98-mRNA-1	mobidb-lite	IPR000420	PF00399	NA	PS50256	GO:0005199;GO:0005618	NA	NA	NA	PTHR23124;PTHR23124:SF121	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-NODE_296_length_34604_cov_37.973751-snap-gene-0.10-mRNA-1	mobidb-lite	IPR036259	PF07690	cd06174	PS50850	GO:0016021;GO:0055085	SSF103473	NA	G3DSA:1.20.1250.20	PTHR11360;PTHR11360:SF130	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_559_length_11027_cov_29.664220-snap-gene-0.11-mRNA-1	NA	IPR020846	PF07690	cd06174	PS50850	GO:0016021;GO:0055085	SSF103473	NA	NA	PTHR23504;PTHR23504:SF15	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_148_length_57274_cov_39.533081-processed-gene-0.143-mRNA-1	mobidb-lite	IPR003593	PF00004;PF16450;PF17862	cd00009	NA	GO:0005524;GO:0036402;GO:0005737;GO:0016787;GO:0030163	SSF52540	SM00382	G3DSA:3.40.50.300;G3DSA:2.40.50.140;G3DSA:1.10.8.60	PTHR23073:SF7;PTHR23073	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	PS00674	NA	NA	NA	Coil	NA	NA	NA	NA	TIGR01242	NA	NA
snap_masked-NODE_15_length_143457_cov_37.139747-processed-gene-0.80-mRNA-1	NA	IPR002937	PF01593	NA	NA	GO:0016491;GO:0055114	SSF54373;SSF51905	NA	G3DSA:1.10.405.10;G3DSA:3.90.660.10;G3DSA:3.50.50.60	PTHR10742;PTHR10742:SF342	NA	NA	NA	NA	NA	PR00419	NA	NA	NA	NA	NA	NA	NA	NA
