Gene	Gene3D	interpro	PIRSF	Pfam	CDD	MobiDBLite	GO	PATHWAY	SUPERFAMILY	TIGRFAM	ProSitePatterns	ProSiteProfiles	SMART	PRINTS	Coils	Hamap	SFLD
maker-WWCI01000003.1-snap-gene-33.28-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000005.1-processed-gene-45.17-mRNA-1	G3DSA:1.25.40.10	IPR011990	NA	NA	NA	NA	GO:0005515	NA	SSF48452	NA	NA	NA	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-16.72-mRNA-1	G3DSA:4.10.240.10	IPR007219	NA	PF04082;PF00172	cd12148;cd00067	mobidb-lite	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	SSF57701	NA	PS00463	PS50048	SM00066;SM00906	NA	Coil	NA	NA
maker-WWCI01000007.1-snap-gene-15.13-mRNA-1	NA	IPR013636	NA	PF08427	NA	NA	NA	NA	NA	NA	NA	NA	SM01158	NA	NA	NA	NA
augustus_masked-WWCI01000002.1-processed-gene-31.50-mRNA-1	G3DSA:1.10.20.10	IPR018465	NA	PF10384	NA	mobidb-lite	GO:0005634;GO:0042393;GO:0046982	Reactome: R-HSA-606279	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-augustus-gene-4.81-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-1.41-mRNA-1	G3DSA:1.10.510.50	IPR005522	NA	PF03770	NA	mobidb-lite	GO:0016301;GO:0032958	NA	SSF56104	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-59.17-mRNA-1	G3DSA:3.40.1360.10	IPR013049	NA	PF04406	NA	mobidb-lite	GO:0003677;GO:0003824;GO:0005524;GO:0005694;GO:0006259;GO:0016889;GO:0000737	Reactome: R-HSA-912446	SSF56726	NA	NA	NA	NA	PR01550	Coil	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-58.41-mRNA-1	G3DSA:3.40.50.720;G3DSA:3.40.50.12780;G3DSA:3.30.559.30;G3DSA:3.30.559.10;G3DSA:1.10.1200.10;G3DSA:3.30.300.30	IPR000873	NA	PF00501;PF07993;PF00550;PF00668	cd05918	NA	GO:0003824	Reactome: R-HSA-9640463	SSF52777;SSF47336;SSF56801;SSF51735	TIGR01733;TIGR01746	PS00012;PS00455	PS50075	NA	NA	Coil	NA	NA
maker-WWCI01000002.1-snap-gene-17.85-mRNA-1	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	IPR013328	PIRSF000119	PF07991;PF01450	NA	NA	GO:0016491;GO:0055114;GO:0009082;GO:0004455	KEGG: 00290+1.1.1.86|KEGG: 00770+1.1.1.86|MetaCyc: PWY-5103|MetaCyc: PWY-7111	SSF51735;SSF48179	TIGR00465	NA	PS51851;PS51850	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-25.5-mRNA-1	G3DSA:4.10.240.10	IPR001138	NA	PF00172	cd00067	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	SSF57701	NA	PS00463	PS50048	SM00066	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-11.75-mRNA-1	NA	IPR024388	NA	PF12824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-60.93-mRNA-1	G3DSA:3.10.20.90;G3DSA:1.10.8.10;G3DSA:3.30.420.210	IPR012989	NA	PF08059;PF14555;PF00789	cd01770;cd14273	mobidb-lite	GO:0005515	NA	SSF102848;SSF46934;SSF54236	NA	NA	PS51399;PS50033	SM00553	NA	NA	NA	NA
maker-WWCI01000006.1-snap-gene-37.1-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000002.1-snap-gene-30.76-mRNA-1	NA	IPR007234	NA	PF04100	NA	NA		Reactome: R-HSA-6811440	NA	NA	NA	NA	NA	NA	Coil	NA	NA
snap_masked-WWCI01000007.1-processed-gene-6.18-mRNA-1	NA	IPR022190	NA	PF12511	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000007.1-processed-gene-27.62-mRNA-1	NA	IPR024661	PIRSF000777	PF11705	NA	mobidb-lite	GO:0006383	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	NA	NA	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-5.23-mRNA-1	NA	IPR001810	NA	PF00646	NA	NA	GO:0005515	NA	SSF52047;SSF81383	NA	NA	PS50181	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-26.51-mRNA-1	G3DSA:3.40.720.10	IPR017850	NA	PF01663	cd16023	mobidb-lite	GO:0003824;GO:0006506;GO:0051377	Reactome: R-HSA-162710	SSF53649	NA	NA	NA	NA	NA	Coil	NA	NA
snap_masked-WWCI01000006.1-processed-gene-42.69-mRNA-1	G3DSA:1.20.200.10;G3DSA:1.10.40.30;G3DSA:1.10.275.10	IPR020557	NA	PF10415;PF00206	cd01362	NA	GO:0003824;GO:0006099;GO:0016829;GO:0004333;GO:0006106;GO:0045239	KEGG: 00020+4.2.1.2|KEGG: 00620+4.2.1.2|KEGG: 00720+4.2.1.2|MetaCyc: PWY-5392|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7254|MetaCyc: PWY-7384|Reactome: R-HSA-71403	SSF48557	TIGR00979	PS00163	NA	NA	PR00149	NA	MF_00743	NA
augustus_masked-WWCI01000004.1-processed-gene-24.24-mRNA-1	G3DSA:1.10.287.660;G3DSA:1.10.246.90;G3DSA:1.10.150.460	IPR019175	NA	PF09785;PF01798	NA	mobidb-lite		Reactome: R-HSA-72163	SSF89124	NA	NA	PS51358	SM00931	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-15.49-mRNA-1	G3DSA:2.60.120.330	IPR026992	NA	PF14226;PF03171	NA	NA	GO:0016491;GO:0055114	NA	SSF51197	NA	NA	PS51471	NA	PR00682	NA	NA	NA
maker-WWCI01000002.1-snap-gene-1.94-mRNA-1	NA	IPR021765	NA	PF11807	NA	mobidb-lite	GO:0043386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000002.1-processed-gene-46.90-mRNA-1	G3DSA:2.30.130.70;G3DSA:3.30.2350.10	IPR015947	NA	PF08068;PF01472;PF01509;PF16198	cd02572	mobidb-lite	GO:0003723;GO:0001522;GO:0009451;GO:0009982;GO:0006396	Reactome: R-HSA-171319|Reactome: R-HSA-6790901	SSF88697;SSF55120	TIGR00425;TIGR00451	NA	PS50890	SM00359;SM01136	NA	Coil	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-57.17-mRNA-1	G3DSA:3.40.50.300;G3DSA:2.40.50.140	IPR001650	NA	PF00575;PF07717;PF04408;PF00271	cd05684;cd18791;cd17971	mobidb-lite	GO:0004386;GO:0003676	NA	SSF50249;SSF52540	NA	PS00690	PS51194;PS50126;PS51192	SM00847;SM00490;SM00487;SM00316	NA	Coil	NA	NA
maker-WWCI01000006.1-snap-gene-32.69-mRNA-1	G3DSA:2.130.10.10;G3DSA:3.40.1790.10	IPR017986	NA	PF04227;PF00294	cd01941	mobidb-lite	GO:0005515;GO:0016798	KEGG: 00240+4.2.1.70|MetaCyc: PWY-6019	SSF53613;SSF110581;SSF50978	NA	NA	PS50294;PS50082	SM00320	NA	NA	NA	NA
maker-WWCI01000006.1-snap-gene-48.78-mRNA-1	G3DSA:3.40.50.1820	IPR029058	NA	PF01083	NA	NA	GO:0016787	NA	SSF53474	NA	NA	NA	SM01110	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-27.50-mRNA-1	G3DSA:1.25.40.10	IPR016024	NA	PF00637	NA	mobidb-lite	GO:0005515;GO:0003824;GO:0006886;GO:0016192	NA	SSF48371;SSF50952	NA	NA	PS50236	SM00299	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-39.36-mRNA-1	NA	IPR013248	PIRSF029187	PF08229	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SM00786	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-58.16-mRNA-1	G3DSA:3.90.1150.10	IPR015422	PIRSF000525	PF00266	NA	NA	GO:0003824;GO:0004648;GO:0006564	KEGG: 00260+2.6.1.52|KEGG: 00270+2.6.1.52|KEGG: 00680+2.6.1.52|KEGG: 00750+2.6.1.52|MetaCyc: PWY-8010|Reactome: R-HSA-977347	SSF53383	NA	NA	NA	NA	NA	NA	MF_00160	NA
augustus_masked-WWCI01000005.1-processed-gene-36.37-mRNA-1	G3DSA:2.30.29.30;G3DSA:1.10.1000.11	IPR000904	NA	PF01369	cd00171	mobidb-lite	GO:0005086;GO:0032012	NA	SSF50729;SSF48425	NA	NA	PS50003;PS50190	SM00222	NA	Coil	NA	NA
maker-WWCI01000002.1-snap-gene-40.63-mRNA-1	G3DSA:3.40.850.10;G3DSA:1.20.120.720;G3DSA:1.20.58.530;G3DSA:1.20.5.190;G3DSA:3.30.70.3240;G3DSA:1.10.10.820	IPR002710	NA	PF01843;PF00063;PF00612	cd01380;cd15480	NA	GO:0005515;GO:0003774;GO:0005524;GO:0051015;GO:0016459	NA	SSF50084;SSF52540	NA	NA	PS50096;PS51456;PS51126;PS51844	SM01132;SM00015;SM00242	PR00193	Coil	NA	NA
maker-WWCI01000001.1-snap-gene-15.61-mRNA-1	G3DSA:3.30.40.10	IPR003034	NA	PF13923	cd16529	mobidb-lite	GO:0003697;GO:0006301;GO:0006513;GO:0061630	MetaCyc: PWY-7511	SSF57850	TIGR00599	PS00518	PS50800;PS50089	SM00184	NA	NA	NA	NA
snap_masked-WWCI01000007.1-processed-gene-23.29-mRNA-1	G3DSA:4.10.280.10	IPR036638	NA	PF00010	cd00083	mobidb-lite	GO:0046983	NA	SSF47459	NA	NA	PS50888	NA	NA	NA	NA	NA
maker-WWCI01000005.1-snap-gene-24.58-mRNA-1	G3DSA:4.10.240.10;G3DSA:3.40.50.1820	IPR001138	NA	PF07859;PF11951	cd00067	mobidb-lite	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0016787	NA	SSF57701;SSF53474	NA	PS00463	PS50048	SM00066	NA	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-12.3-mRNA-1	G3DSA:3.40.50.150	IPR017804	PIRSF018005	PF10017	NA	NA	GO:0008168	NA	NA	TIGR03439	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-19.19-mRNA-1	G3DSA:3.30.559.30;G3DSA:3.30.559.10;G3DSA:3.40.50.12780;G3DSA:3.30.300.30	IPR000873	NA	PF00501	cd04433;cd17632	NA	GO:0003824	Reactome: R-HSA-389661	SSF56801;SSF52777	NA	PS00455	NA	NA	NA	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-23.50-mRNA-1	G3DSA:3.40.50.300	IPR013525	NA	PF01061;PF00005	NA	mobidb-lite	GO:0016020;GO:0005524;GO:0016887	Reactome: R-HSA-1369062	SSF52540	NA	PS00211	PS50893	SM00382	NA	NA	NA	NA
maker-WWCI01000003.1-snap-gene-45.25-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-2.8-mRNA-1	G3DSA:2.60.120.200	IPR013320	NA	PF00722	cd02183	NA	GO:0004553;GO:0005975	NA	SSF49899	NA	NA	PS51762	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-34.114-mRNA-1	G3DSA:1.10.357.10	IPR013718	NA	PF08511	NA	NA	GO:0006744;GO:0008289	Reactome: R-HSA-2142789	NA	TIGR02396	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000003.1-augustus-gene-22.59-mRNA-1	G3DSA:1.10.10.60	IPR001356	NA	PF05920	cd00086	mobidb-lite	GO:0003677;GO:0006355	NA	SSF46689	NA	NA	PS50071	SM00389	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-23.82-mRNA-1	G3DSA:2.40.100.10	IPR002130	PIRSF001467	PF00160	NA	NA	GO:0000413;GO:0003755;GO:0006457	NA	SSF50891	NA	PS00170	PS50072	NA	PR00153	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-23.79-mRNA-1	G3DSA:2.40.160.120;G3DSA:1.20.120.1290	IPR000648	NA	PF01237	NA	mobidb-lite	NA	NA	SSF144000	NA	PS01013	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-0.36-mRNA-1	G3DSA:1.10.489.10	IPR000028	NA	PF01328	NA	NA	GO:0004601	NA	SSF47571	NA	NA	PS51405	NA	NA	NA	NA	NA
snap_masked-WWCI01000007.1-processed-gene-0.47-mRNA-1	G3DSA:1.20.245.10;G3DSA:3.10.450.60	IPR013819	NA	PF00305	NA	NA	GO:0016702;GO:0046872;GO:0055114	NA	SSF48484	NA	NA	PS51393	NA	NA	NA	NA	NA
snap_masked-WWCI01000004.1-processed-gene-27.25-mRNA-1	NA	IPR028133	NA	PF04912	NA	mobidb-lite	GO:0005869;GO:0007017	Reactome: R-HSA-2132295|Reactome: R-HSA-2565942|Reactome: R-HSA-3371497|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-8854518	NA	NA	NA	NA	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000002.1-processed-gene-34.3-mRNA-1	NA	IPR001594	NA	PF01529	NA	mobidb-lite	GO:0016409;GO:0005789;GO:0019706	NA	NA	NA	NA	PS50216	NA	NA	NA	MF_03199	NA
augustus_masked-WWCI01000007.1-processed-gene-4.59-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000007.1-snap-gene-8.49-mRNA-1	NA	IPR021858	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000004.1-snap-gene-46.72-mRNA-1	G3DSA:3.40.50.720;G3DSA:3.40.50.12780	IPR009081	NA	PF00550;PF00501;PF07993	cd04433;cd05933;cd05931	mobidb-lite	GO:0008610;GO:0003824	Reactome: R-HSA-9640463	SSF56801;SSF51735	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000006.1-processed-gene-58.22-mRNA-1	G3DSA:1.20.1250.20	IPR036259	NA	PF07690	cd17352	mobidb-lite	GO:0055085	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-28.43-mRNA-1	G3DSA:3.30.420.10;G3DSA:1.10.132.60	IPR036397	NA	PF08490;PF00136;PF03104	cd05535;cd05779	mobidb-lite	GO:0003676;GO:0003887;GO:0005634;GO:0006260;GO:0008270;GO:0000166;GO:0003677	Reactome: R-HSA-110314|Reactome: R-HSA-174430|Reactome: R-HSA-5651801|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-68952|Reactome: R-HSA-68962	SSF56672;SSF53098	NA	NA	NA	SM01159;SM00486	NA	Coil	NA	NA
maker-WWCI01000004.1-snap-gene-15.36-mRNA-1	G3DSA:1.50.40.10	IPR018108	NA	PF00153	NA	NA	GO:0005347;GO:0055085	NA	SSF103506	NA	NA	PS50920	NA	PR00926	NA	NA	NA
maker-WWCI01000005.1-snap-gene-31.47-mRNA-1	G3DSA:3.30.60.180	IPR002893	NA	PF01753	NA	NA	NA	NA	SSF144232	NA	PS01360	PS50865	NA	NA	NA	NA	NA
maker-WWCI01000003.1-augustus-gene-23.7-mRNA-1	G3DSA:2.40.50.140;G3DSA:1.10.3260.10;G3DSA:3.30.470.30;G3DSA:3.30.1490.70	IPR012340	NA	PF04675;PF04679;PF01068	cd07969;cd07900	mobidb-lite	GO:0003677;GO:0003910;GO:0006281;GO:0006310;GO:0005524;GO:0071897;GO:0003909;GO:0051103	NA	SSF50249;SSF117018;SSF56091	TIGR00574	PS00333;PS00697	PS50160	NA	NA	Coil	NA	NA
maker-WWCI01000007.1-snap-gene-18.11-mRNA-1	NA	IPR019371	NA	PF10241	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000001.1-augustus-gene-41.16-mRNA-1	NA	IPR021765	NA	PF11807	NA	NA	GO:0043386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-22.37-mRNA-1	G3DSA:1.20.920.30;G3DSA:1.20.920.20;G3DSA:3.40.50.300;G3DSA:3.40.50.11510;G3DSA:1.10.472.130;G3DSA:1.10.8.1220;G3DSA:3.20.180.20;G3DSA:1.10.8.710;G3DSA:1.10.8.720;G3DSA:1.20.140.100;G3DSA:1.20.58.1120	IPR027417	NA	PF17852;PF12774;PF12775;PF12777;PF08385;PF18198;PF03028;PF12781;PF08393;PF12780	cd00009;cd06503	NA	GO:0005524;GO:0003777;GO:0007018;GO:0030286	NA	SSF52540	NA	NA	NA	SM00382	NA	Coil	NA	NA
augustus_masked-WWCI01000001.1-processed-gene-23.37-mRNA-1	G3DSA:2.30.110.10	IPR012349	PIRSF000190	PF10590;PF01243	NA	mobidb-lite	GO:0048037;GO:0004733;GO:0008615;GO:0010181;GO:0016638;GO:0055114	KEGG: 00750+1.4.3.5|MetaCyc: PWY-7204|MetaCyc: PWY-7282|Reactome: R-HSA-964975	SSF50475	TIGR00558	PS01064	NA	NA	NA	NA	MF_01629	NA
maker-WWCI01000006.1-augustus-gene-15.48-mRNA-1	NA	IPR007482	NA	PF04387	NA	NA		KEGG: 00062+4.2.1.134|MetaCyc: PWY-5080|MetaCyc: PWY-5353|MetaCyc: PWY-6433|MetaCyc: PWY-6598|MetaCyc: PWY-6958|MetaCyc: PWY-7035|MetaCyc: PWY-7036|MetaCyc: PWY-7049|MetaCyc: PWY-7053|MetaCyc: PWY-7592|MetaCyc: PWY-7601|MetaCyc: PWY-7602|MetaCyc: PWY-7606|MetaCyc: PWY-7619|MetaCyc: PWY-7724|MetaCyc: PWY-7725|MetaCyc: PWY-7726|MetaCyc: PWY-7727|MetaCyc: PWY-7728|MetaCyc: PWY-8041|Reactome: R-HSA-75876	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000004.1-processed-gene-22.22-mRNA-1	NA	IPR018937	NA	PF10270	NA	NA		Reactome: R-HSA-5223345	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000002.1-processed-gene-33.22-mRNA-1	NA	IPR011009	NA	NA	NA	NA	NA	NA	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000003.1-snap-gene-24.46-mRNA-1	G3DSA:1.25.40.20;G3DSA:3.40.50.1820	IPR036770	NA	NA	NA	NA	NA	NA	SSF53474;SSF52540;SSF48403	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000001.1-snap-gene-11.8-mRNA-1	G3DSA:3.30.559.40;G3DSA:1.10.275.20;G3DSA:3.30.559.70;G3DSA:3.30.559.10	IPR000542	NA	PF00755	NA	mobidb-lite	GO:0016746	Reactome: R-HSA-389661	SSF52777	NA	PS00440	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-37.36-mRNA-1	G3DSA:3.40.50.1110	IPR013830	NA	PF13472	cd01833	NA	NA	NA	SSF52266	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000007.1-processed-gene-30.43-mRNA-1	NA	IPR010730	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-27.33-mRNA-1	G3DSA:3.30.40.10	IPR006845	NA	PF04757;PF13639	cd16527	NA		Reactome: R-HSA-8866654|Reactome: R-HSA-9033241	SSF57850	NA	PS00518	PS50089	SM00184	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-38.54-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000005.1-processed-gene-8.60-mRNA-1	G3DSA:3.30.420.40	IPR000577	PIRSF000538	PF00370;PF02782	NA	NA	GO:0005975;GO:0016773;GO:0004370;GO:0006072	KEGG: 00561+2.7.1.30|MetaCyc: PWY-4261	SSF53067	TIGR01311	PS00933	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-44.3-mRNA-1	G3DSA:3.30.710.10	IPR011333	NA	NA	NA	mobidb-lite	NA	NA	SSF54695	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-2.74-mRNA-1	NA	IPR021765	NA	PF11807	NA	NA	GO:0043386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000004.1-processed-gene-14.46-mRNA-1	G3DSA:3.30.1370.10	IPR036612	NA	PF16275;PF00013	cd02395	mobidb-lite	GO:0003723;GO:0003676	Reactome: R-HSA-72163	SSF54791	NA	NA	PS50084	SM00322	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-45.24-mRNA-1	G3DSA:3.40.630.30	IPR016181	NA	NA	cd04301	NA	NA	NA	SSF55729	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-17.45-mRNA-1	G3DSA:3.40.250.10	IPR001763	NA	PF00581	cd01519	NA	NA	NA	SSF52821	NA	NA	PS50206	SM00450	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-4.18-mRNA-1	NA	IPR004294	NA	PF03055	NA	NA	GO:0016702;GO:0055114	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
snap_masked-WWCI01000002.1-processed-gene-20.33-mRNA-1	NA	IPR000048	NA	NA	NA	mobidb-lite	GO:0005515	NA	NA	NA	NA	PS50096	SM00015	NA	Coil	NA	NA
maker-WWCI01000006.1-augustus-gene-49.60-mRNA-1	G3DSA:3.90.1300.10	IPR036928	NA	PF01425	NA	NA	GO:0006412;GO:0030956;GO:0050567	KEGG: 00970+6.3.5.7	SSF75304	NA	NA	NA	NA	NA	NA	MF_00120	NA
snap_masked-WWCI01000007.1-processed-gene-9.49-mRNA-1	G3DSA:3.30.830.10	IPR011249	NA	PF05193;PF00675	NA	mobidb-lite	GO:0003824;GO:0046872;GO:0004222;GO:0006508	NA	SSF63411	NA	PS00143	NA	NA	NA	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-5.33-mRNA-1	NA	IPR003126	NA	NA	NA	mobidb-lite	GO:0008270	NA	NA	NA	NA	PS51157	SM00396	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-57.1-mRNA-1	G3DSA:3.40.30.10;G3DSA:3.90.1720.30;G3DSA:1.25.10.10	IPR036249	NA	PF05903;PF08324;PF00085	cd02947	NA	GO:0045454	NA	SSF52833	NA	PS00194	PS51858;PS51352;PS51396	SM01179	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-6.8-mRNA-1	G3DSA:1.10.580.10;G3DSA:1.10.230.10	IPR036969	NA	PF00285	cd06105	NA	GO:0046912;GO:0006099;GO:0004108;GO:0006101	Reactome: R-HSA-1268020|Reactome: R-HSA-71403	SSF48256	TIGR01793	PS00480	NA	NA	PR00143	NA	NA	NA
maker-WWCI01000001.1-snap-gene-51.6-mRNA-1	G3DSA:1.20.1080.10	IPR000425	NA	PF00230	NA	NA	GO:0015267;GO:0016020;GO:0055085	Reactome: R-HSA-432047	SSF81338	NA	NA	NA	NA	PR00783	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-22.55-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-5.26-mRNA-1	NA	IPR005804	NA	PF00487	NA	mobidb-lite	GO:0006629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-45.67-mRNA-1	G3DSA:1.10.287.130;G3DSA:3.30.450.40;G3DSA:3.40.50.2300;G3DSA:3.30.565.10	IPR003594	NA	PF02518;PF00072;PF00512	cd00156;cd00082;cd16922	mobidb-lite	GO:0000160;GO:0016310;GO:0016772;GO:0000155;GO:0007165;GO:0005515	Reactome: R-HSA-70895	SSF55874;SSF55781;SSF52172;SSF47384	NA	NA	PS50109;PS50110	SM00387;SM00388;SM00448;SM00065	PR00344	Coil	NA	NA
snap_masked-WWCI01000002.1-processed-gene-47.13-mRNA-1	NA	IPR009449	NA	PF06428	NA	mobidb-lite		Reactome: R-HSA-8876198	SSF144284	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000002.1-snap-gene-55.6-mRNA-1	NA	NA	NA	PF02466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-augustus-gene-69.50-mRNA-1	G3DSA:3.40.50.300	IPR027417	NA	PF17784	NA	NA	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000006.1-snap-gene-26.42-mRNA-1	G3DSA:1.20.5.170	NA	NA	NA	cd14688	mobidb-lite	NA	NA	SSF57959	NA	NA	NA	NA	NA	Coil	NA	NA
snap_masked-WWCI01000004.1-processed-gene-46.54-mRNA-1	G3DSA:3.50.50.60	IPR036188	NA	PF13738	NA	NA	NA	NA	SSF51905	NA	NA	NA	NA	NA	Coil	NA	NA
snap_masked-WWCI01000004.1-processed-gene-42.75-mRNA-1	G3DSA:3.40.50.1820	IPR001563	NA	PF00450	NA	mobidb-lite	GO:0004185;GO:0006508	NA	SSF53474	NA	PS00131	NA	NA	PR00724	NA	NA	NA
maker-WWCI01000003.1-augustus-gene-31.92-mRNA-1	G3DSA:3.30.200.20;G3DSA:1.10.510.10	IPR000719	NA	PF00069	cd14212	mobidb-lite	GO:0004672;GO:0005524;GO:0006468	NA	SSF56112	NA	PS00107;PS00108	PS50011	SM00220	NA	Coil	NA	NA
maker-WWCI01000006.1-snap-gene-54.75-mRNA-1	G3DSA:3.90.226.10	IPR018376	NA	PF00378	cd06558	NA	GO:0003824	NA	SSF52096	NA	PS00166	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-20.85-mRNA-1	G3DSA:3.30.1110.10;G3DSA:3.40.1190.20	IPR001805	NA	PF00294	cd01168	NA	GO:0004001;GO:0006166;GO:0016773	KEGG: 00230+2.7.1.20|MetaCyc: PWY-6619|Reactome: R-HSA-74217	SSF53613	NA	PS00584	NA	NA	PR00989	NA	NA	NA
augustus_masked-WWCI01000004.1-processed-gene-4.30-mRNA-1	G3DSA:3.30.70.1240;G3DSA:3.50.50.60	IPR023389	NA	PF08883;PF07992	NA	NA	GO:0016491;GO:0055114	NA	SSF143410;SSF51905	NA	NA	NA	NA	NA	NA	NA	NA
