Gene	MobiDBLite	Phobius	interpro	Pfam	TMHMM	PANTHER	GO	Coils	Gene3D	CDD	PATHWAY	SUPERFAMILY	ProSiteProfiles	SFLD	PRINTS	TIGRFAM	ProSitePatterns	SMART	PIRSF	Hamap	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	ProDom
maker-scaffold125-augustus-gene-0.11-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	IPR001762	PF13688;PF00200;PF17771	TMhelix	PTHR11905	GO:0008237;GO:0004222;GO:0006508	NA	G3DSA:3.40.390.10;G3DSA:4.10.70.10	cd04271	NA	SSF57552;SSF55486	PS50214;PS50215	NA	NA	NA	NA	SM00050	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
maker-scaffold161-snap-gene-0.182-mRNA-1	NA	NA	IPR000559	PF02882;PF00763;PF01268	NA	PTHR43274	GO:0004329;GO:0005524;GO:0003824;GO:0055114;GO:0004488	NA	G3DSA:3.40.50.10860;G3DSA:3.10.410.10;G3DSA:1.10.8.770;G3DSA:3.40.50.720	cd00477;cd01080	KEGG: 00670+6.3.4.3|KEGG: 00720+6.3.4.3|MetaCyc: PWY-1722|MetaCyc: PWY-2161|MetaCyc: PWY-2201|MetaCyc: PWY-3841|Reactome: R-HSA-196757	SSF52540;SSF51735;SSF53223	NA	NA	PR00085	NA	PS00767;PS00766;PS00721;PS00722	NA	NA	MF_01543;MF_01576	NA	NA	NA	NA
snap_masked-scaffold24-processed-gene-0.269-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR004827	PF00170	NA	PTHR13301:SF78;PTHR13301	GO:0003700;GO:0006355	Coil	G3DSA:1.20.5.170	cd14686	NA	SSF57959	PS50217	NA	NA	NA	NA	SM00338	NA	NA	NA	NA	NA	NA
snap_masked-scaffold34-processed-gene-0.1-mRNA-1	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	IPR017946	PF00388	NA	PTHR13593:SF43;PTHR13593	GO:0006629;GO:0008081	NA	G3DSA:3.20.20.190	cd08586	NA	SSF51695	PS50007	NA	NA	NA	NA	SM00148	NA	NA	SignalP-noTM	NA	NA	NA
maker-scaffold149-snap-gene-0.176-mRNA-1	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	IPR036026	PF01532	NA	PTHR11742:SF45;PTHR11742	GO:0004571;GO:0005509;GO:0016020;GO:0003824	NA	G3DSA:1.50.10.10	NA	NA	SSF48225	NA	NA	PR00747	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
augustus_masked-scaffold294-processed-gene-0.17-mRNA-1	mobidb-lite	NA	IPR036714	PF03937	NA	PTHR12469	GO:0005739;GO:0018293	NA	G3DSA:1.10.150.250	NA	NA	SSF109910	NA	NA	NA	NA	NA	NA	NA	MF_03057	NA	NA	NA	NA
maker-scaffold131-augustus-gene-0.25-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	IPR009571	PF06687	TMhelix	PTHR36414:SF1;PTHR36414	GO:0005886	NA	G3DSA:1.20.140.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
snap_masked-scaffold83-processed-gene-0.216-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	IPR003103	PF02179	NA	PTHR14942:SF0;PTHR14942	GO:0051087;GO:0000398;GO:0005689;GO:0005515	NA	G3DSA:3.10.20.90;G3DSA:1.20.58.120	cd01769	Reactome: R-HSA-3371453	SSF63491;SSF54236	PS51035;PS50053	NA	NA	NA	NA	SM00264	NA	NA	NA	SignalP-TM	NA	NA
maker-scaffold123-augustus-gene-0.2-mRNA-1	mobidb-lite	NA	IPR031673	PF16892;PF16893;PF12738	NA	PTHR13561;PTHR13561:SF43	GO:0046983;GO:0005515	NA	G3DSA:3.40.50.10190;G3DSA:2.40.50.890;G3DSA:2.60.40.10	cd13945;cd00063;cd00027	NA	SSF52113;SSF49265	PS50853;PS50172	NA	NA	NA	NA	SM00292	NA	NA	NA	NA	NA	NA
snap_masked-scaffold216-processed-gene-0.20-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR037730	NA	TMhelix	PTHR12383:SF3;PTHR12383	GO:0006465;GO:0006627;GO:0008236;GO:0042720;GO:0006508;GO:0016020	NA	G3DSA:2.10.109.10	cd06530	NA	SSF51306	NA	NA	PR00727	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold332-snap-gene-0.20-mRNA-1	mobidb-lite	NA	IPR004327	PF03095	NA	PTHR10012:SF3;PTHR10012	GO:0019211	NA	G3DSA:1.20.120.1150	cd04087	NA	SSF140984	NA	NA	NA	NA	NA	NA	PIRSF016325	NA	NA	NA	NA	NA
augustus_masked-scaffold141-processed-gene-0.103-mRNA-1	mobidb-lite	NA	IPR030701	PF15963	NA	PTHR22929	GO:0000126;GO:0000995;GO:0006383;GO:0003677	NA	G3DSA:1.20.58.1880	cd00167	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	SSF46689	NA	NA	NA	NA	NA	SM00717	NA	NA	NA	SignalP-TM	NA	NA
maker-scaffold29-snap-gene-0.13-mRNA-1	mobidb-lite	NA	IPR034148	PF00076	NA	PTHR18847	GO:0003676;GO:0000339;GO:0005846;GO:0045292	NA	G3DSA:3.30.70.330	cd12240	NA	SSF54928	PS50102	NA	NA	NA	NA	SM00360	NA	NA	NA	NA	NA	NA
snap_masked-scaffold266-processed-gene-0.48-mRNA-1	mobidb-lite	NA	IPR018034	PF05178;PF12936	NA	PTHR14490	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold79-augustus-gene-0.188-mRNA-1	mobidb-lite	NA	IPR036388	PF10557;PF00888	NA	PTHR11932;PTHR11932:SF126	GO:0006511;GO:0031625	Coil	G3DSA:1.10.10.10;G3DSA:1.10.10.2620;G3DSA:1.20.1310.10	NA	Reactome: R-HSA-8951664	SSF75632;SSF74788;SSF46785	PS50069	NA	NA	NA	NA	SM00884;SM00182	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold53-processed-gene-0.156-mRNA-1	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR004299	PF03062	TMhelix	PTHR13285:SF18;PTHR13285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold14-snap-gene-1.110-mRNA-1	mobidb-lite	NA	IPR000504	PF00076	NA	PTHR15241	GO:0003676	NA	G3DSA:3.30.70.330	cd12447	NA	SSF54928	PS50102	NA	NA	NA	NA	SM00360	NA	NA	NA	NA	NA	NA
maker-scaffold74-snap-gene-0.26-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR036259	PF00083	TMhelix	PTHR23500:SF140;PTHR23500	GO:0016020;GO:0022857;GO:0055085;GO:0016021	NA	G3DSA:1.20.1250.20	cd06174	Reactome: R-HSA-189200	SSF103473	PS50850	NA	PR00171	TIGR00879	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-scaffold5-augustus-gene-2.9-mRNA-1	NA	NA	IPR011989	PF04063;PF04064	NA	PTHR13387	NA	NA	G3DSA:1.25.10.10	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold74-snap-gene-0.31-mRNA-1	mobidb-lite	NA	IPR015381	PF09302	NA	PTHR32235	GO:0005634;GO:0006302	Coil	G3DSA:2.170.210.10	NA	Reactome: R-HSA-5693571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold45-snap-gene-0.57-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR023395	PF00153	NA	PTHR24089;PTHR24089:SF39	GO:0022857	NA	G3DSA:1.50.40.10	NA	NA	SSF103506	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold210-augustus-gene-0.71-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	IPR006939	PF04855	NA	PTHR10019;PTHR10019:SF5	GO:0000228;GO:0006338	NA	NA	NA	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold52-processed-gene-0.85-mRNA-1	mobidb-lite	NA	IPR013904	PF08595	NA	PTHR28232	GO:0016575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold136-augustus-gene-0.3-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold16-snap-gene-0.17-mRNA-1	mobidb-lite	NA	IPR007356	PF01746	NA	PTHR13563;PTHR13563:SF13	GO:0008168	NA	G3DSA:3.40.1280.30	NA	MetaCyc: PWY-6829|MetaCyc: PWY-7285|MetaCyc: PWY-7286	NA	PS51675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold70-processed-gene-0.171-mRNA-1	mobidb-lite	NA	IPR011990	NA	NA	PTHR22904:SF365;PTHR22904	GO:0005515	Coil	NA	NA	NA	SSF48452	NA	NA	NA	NA	NA	SM00028	NA	NA	NA	NA	NA	NA
snap_masked-scaffold21-processed-gene-0.46-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	IPR000757	PF00722	TMhelix	PTHR10963:SF56;PTHR10963	GO:0004553;GO:0005975	Coil	G3DSA:2.60.120.200	cd02183	NA	SSF49899	PS51762	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
maker-scaffold73-snap-gene-0.155-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold36-processed-gene-0.300-mRNA-1	mobidb-lite	NA	IPR017986	PF00646;PF00400	NA	PTHR44007;PTHR44007:SF3	GO:0005515	NA	G3DSA:1.20.1280.50;G3DSA:2.130.10.10	cd00200	NA	SSF81383;SSF50978	PS50294;PS50082;PS50181	NA	PR00320	NA	PS00678	SM00320;SM00256	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold205-processed-gene-0.51-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR15549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
maker-scaffold4-snap-gene-2.64-mRNA-1	NA	NA	IPR036972	PF01215	NA	PTHR10122:SF0;PTHR10122	GO:0004129;GO:0005740	NA	G3DSA:2.60.11.10	cd00924	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	SSF57802	PS51359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD007270
augustus_masked-scaffold65-processed-gene-0.231-mRNA-1	mobidb-lite	NA	IPR040000	NA	NA	PTHR13102	GO:0003723	NA	NA	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold25-snap-gene-0.90-mRNA-1	NA	NA	IPR007855	PF05183	NA	PTHR23079;PTHR23079:SF14	GO:0003968	Coil	G3DSA:1.10.8.790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold102-augustus-gene-0.223-mRNA-1	NA	NA	IPR009644	NA	NA	PTHR15407;PTHR15407:SF32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold18-snap-gene-0.111-mRNA-1	mobidb-lite	NA	IPR009057	PF00249	NA	PTHR21717;PTHR21717:SF9	GO:0003677	NA	G3DSA:1.10.10.60	cd11660	NA	SSF46689	PS51294;PS50090	NA	NA	NA	NA	SM00717	NA	NA	NA	NA	NA	NA
maker-scaffold37-augustus-gene-0.204-mRNA-1	mobidb-lite	NA	IPR036249	PF00085	NA	PTHR18929;PTHR18929:SF174	GO:0045454	NA	G3DSA:3.40.30.10	cd03002	NA	SSF52833	PS51352	NA	PR00421	NA	PS00194	NA	NA	NA	NA	NA	NA	NA
maker-scaffold145-augustus-gene-0.172-mRNA-1	NA	NA	IPR002130	PF00160	NA	PTHR11071:SF327;PTHR11071	GO:0000413;GO:0003755;GO:0006457	NA	G3DSA:2.40.100.10	cd01926	NA	SSF50891	PS50072	NA	PR00153	NA	PS00170	NA	PIRSF001467	NA	NA	NA	NA	NA
maker-scaffold4-augustus-gene-0.30-mRNA-1	NA	NA	IPR027413	PF00118	NA	PTHR11353;PTHR11353:SF23	GO:0005524;GO:0006457;GO:0051082	Coil	G3DSA:1.10.560.10;G3DSA:3.50.7.10;G3DSA:3.30.260.10	cd03336	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-6814122	SSF48592;SSF52029;SSF54849	NA	NA	PR00304	TIGR02341	PS00751;PS00995;PS00750	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold1-processed-gene-3.105-mRNA-1	NA	NA	IPR000542	PF00755	NA	PTHR22589:SF67;PTHR22589	GO:0016746	NA	G3DSA:3.30.559.40;G3DSA:3.30.559.70	NA	NA	SSF52777	NA	NA	NA	NA	PS00440;PS00439	NA	NA	NA	NA	NA	NA	NA
maker-scaffold3-augustus-gene-1.181-mRNA-1	mobidb-lite	NA	IPR002558	PF01608;PF07651	NA	PTHR10407	GO:0003779;GO:0006897;GO:0030276;GO:0005543	Coil	G3DSA:1.25.40.90;G3DSA:1.20.1410.10	cd03564	Reactome: R-HSA-8856828	SSF109885;SSF48464	PS50942;PS50945	NA	NA	NA	NA	SM00307;SM00273	NA	NA	NA	NA	NA	PD011820
augustus_masked-scaffold78-processed-gene-0.25-mRNA-1	mobidb-lite	NA	IPR037859	PF07200	NA	PTHR13678;PTHR13678:SF2	GO:0000813;GO:0032509	Coil	NA	NA	Reactome: R-HSA-162588|Reactome: R-HSA-174490|Reactome: R-HSA-917729	SSF140111	PS51314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold12-processed-gene-1.33-mRNA-1	NA	NA	IPR019465	PF10392	NA	PTHR13228	GO:0006891;GO:0017119	Coil	NA	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold5-processed-gene-1.172-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	PTHR42095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
maker-scaffold23-snap-gene-0.432-mRNA-1	NA	NA	IPR000572	PF00174;PF03404	NA	PTHR19372;PTHR19372:SF6	GO:0042128;GO:0016491;GO:0030151;GO:0055114	NA	G3DSA:2.60.40.650;G3DSA:3.90.420.10	cd02110	Reactome: R-HSA-1614517	SSF81296;SSF56524	NA	NA	PR00407	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold59-augustus-gene-0.23-mRNA-1	mobidb-lite	NA	IPR035892	PF02889;PF18149;PF00270;PF00271	NA	PTHR24075;PTHR24075:SF5	GO:0003676;GO:0005524	NA	G3DSA:2.60.40.150;G3DSA:3.40.50.300;G3DSA:1.10.3380.10;G3DSA:1.10.150.20;G3DSA:1.10.10.2530	cd00046;cd00079	NA	SSF158702;SSF46785;SSF52540;SSF81296	PS51194;PS51192	NA	NA	NA	NA	SM00973;SM00487;SM00490	PIRSF039073	NA	NA	NA	NA	NA
maker-scaffold264-snap-gene-0.78-mRNA-1	NA	NA	IPR036291	PF01073	NA	PTHR10366:SF242;PTHR10366	GO:0003854;GO:0006694;GO:0016616;GO:0055114	NA	G3DSA:3.40.50.720	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold98-augustus-gene-0.135-mRNA-1	NA	NA	IPR015590	PF00171	NA	PTHR43570:SF11;PTHR43570	GO:0016491;GO:0055114;GO:0006081;GO:0016620	NA	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	NA	SSF53720	NA	NA	NA	NA	NA	NA	PIRSF036492	NA	NA	NA	NA	NA
maker-scaffold13-augustus-gene-1.132-mRNA-1	mobidb-lite	NA	IPR011422	PF13639;PF02148;PF07576	NA	PTHR24007;PTHR24007:SF7	GO:0008270	Coil	G3DSA:3.30.40.10	cd16457	Reactome: R-HSA-5673000|Reactome: R-HSA-5675221|Reactome: R-HSA-6802946|Reactome: R-HSA-6802949|Reactome: R-HSA-6802955	SSF57850	PS50089;PS50271	NA	NA	NA	NA	SM00290;SM00184	NA	NA	NA	NA	NA	PD017029
snap_masked-scaffold87-processed-gene-0.18-mRNA-1	NA	NA	IPR038084	PF03928	NA	PTHR28255	NA	NA	G3DSA:3.30.450.150	NA	NA	SSF143744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold81-snap-gene-0.4-mRNA-1	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR023395	PF00153	TMhelix	PTHR24089;PTHR24089:SF377	GO:0022857	NA	G3DSA:1.50.40.10	NA	NA	SSF103506	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold107-processed-gene-0.119-mRNA-1	NA	NA	IPR028343	PF00316	NA	PTHR11556:SF1;PTHR11556	GO:0042132;GO:0005975;GO:0016791;GO:0042578	NA	G3DSA:3.30.540.10;G3DSA:3.40.190.80	cd00354	KEGG: 00010+3.1.3.11|KEGG: 00030+3.1.3.11|KEGG: 00051+3.1.3.11|KEGG: 00680+3.1.3.11|KEGG: 00710+3.1.3.11|MetaCyc: PWY-5484|Reactome: R-HSA-70263	SSF56655	NA	NA	PR00115	NA	PS00124	NA	PIRSF500210;PIRSF000904	MF_01855	NA	NA	NA	NA
maker-scaffold359-snap-gene-0.10-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	IPR013087	NA	NA	NA	GO:0003676	NA	NA	NA	NA	NA	PS50157	NA	NA	NA	PS00028	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold37-processed-gene-0.286-mRNA-1	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	IPR005123	PF14226;PF03171	NA	PTHR10209;PTHR10209:SF144	GO:0016491;GO:0055114	NA	G3DSA:2.60.120.330	NA	NA	SSF51197	PS51471	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
maker-scaffold134-augustus-gene-0.200-mRNA-1	mobidb-lite	NA	IPR004009	PF02736;PF00063	NA	PTHR13140;PTHR13140:SF574	GO:0003774;GO:0005524;GO:0016459;GO:0051015	Coil	G3DSA:1.20.58.530;G3DSA:2.30.30.360;G3DSA:4.10.270.10;G3DSA:3.30.70.3240;G3DSA:3.40.850.10;G3DSA:1.20.120.720	cd01377	NA	SSF90257;SSF52540	PS51456;PS51844	NA	PR00193	NA	NA	SM00242	NA	NA	NA	SignalP-TM	NA	NA
maker-scaffold302-snap-gene-0.36-mRNA-1	mobidb-lite	NA	IPR035979	PF00076	NA	PTHR23139;PTHR23139:SF34	GO:0003676	Coil	G3DSA:3.30.70.330	NA	NA	SSF54928	PS50102	NA	NA	NA	NA	SM00360	NA	NA	NA	NA	NA	NA
maker-scaffold21-augustus-gene-0.82-mRNA-1	NA	NA	IPR002347	PF13561	TMhelix	PTHR43180:SF21;PTHR43180	NA	NA	G3DSA:3.40.50.720	cd05233	NA	SSF51735	NA	NA	PR00080;PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold183-augustus-gene-0.108-mRNA-1	NA	NA	IPR005716	PF00177	NA	PTHR11205;PTHR11205:SF31	GO:0003735;GO:0006412;GO:0015935;GO:0003723	NA	G3DSA:1.10.455.10	cd14867	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	SSF47973	NA	NA	NA	TIGR01028	PS00052	NA	PIRSF002122	NA	NA	NA	NA	NA
maker-scaffold211-augustus-gene-0.12-mRNA-1	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	IPR031330	PF01301;PF13363;PF13364;PF10435	TMhelix	PTHR23421;PTHR23421:SF64	GO:0004553;GO:0005975	NA	G3DSA:3.20.20.80;G3DSA:2.102.20.10;G3DSA:2.60.390.10;G3DSA:2.60.120.260	NA	KEGG: 00052+3.2.1.23|KEGG: 00511+3.2.1.23|KEGG: 00531+3.2.1.23|KEGG: 00600+3.2.1.23|KEGG: 00604+3.2.1.23|MetaCyc: PWY-6807	SSF51011;SSF49785;SSF51445;SSF117100	NA	NA	PR00742	NA	NA	SM01029	NA	NA	SignalP-noTM	NA	SignalP-TM	NA
augustus_masked-scaffold60-processed-gene-0.60-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold20-snap-gene-0.20-mRNA-1	NA	NA	IPR016706	PF13869	NA	PTHR13047	GO:0003729;GO:0005849;GO:0006378	NA	G3DSA:3.90.79.10	NA	Reactome: R-HSA-109688|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	NA	NA	NA	NA	NA	NA	NA	PIRSF017888	NA	NA	NA	NA	NA
snap_masked-scaffold40-processed-gene-0.223-mRNA-1	mobidb-lite	NA	IPR017956	NA	NA	NA	GO:0003677	NA	NA	NA	NA	NA	NA	NA	PR00929	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold58-snap-gene-0.30-mRNA-1	mobidb-lite	NA	IPR011022	PF02752;PF00339	NA	PTHR11188:SF69;PTHR11188	NA	NA	G3DSA:2.60.40.640	NA	NA	SSF81296	NA	NA	NA	NA	NA	SM01017	NA	NA	NA	NA	NA	NA
maker-scaffold10-augustus-gene-0.192-mRNA-1	mobidb-lite	NA	NA	NA	NA	PTHR23189;PTHR23189:SF70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold97-processed-gene-0.47-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR023395	PF00153	NA	PTHR24089;PTHR24089:SF367	GO:0022857	Coil	G3DSA:1.50.40.10	NA	NA	SSF103506	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold280-snap-gene-0.0-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR002293	PF13520	TMhelix	PTHR11785:SF360;PTHR11785	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	NA	NA	PS00218	NA	PIRSF006060	NA	NA	NA	NA	NA
maker-scaffold53-augustus-gene-0.201-mRNA-1	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
maker-scaffold6-augustus-gene-1.26-mRNA-1	NA	NA	IPR006694	PF04116	NA	PTHR11863:SF22;PTHR11863	GO:0005506;GO:0008610;GO:0016491;GO:0055114	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold73-processed-gene-0.143-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR006603	PF04193	TMhelix	PTHR16201:SF35;PTHR16201	NA	NA	G3DSA:1.20.1280.290	NA	NA	NA	NA	NA	NA	NA	NA	SM00679	NA	NA	NA	NA	NA	NA
maker-scaffold8-augustus-gene-1.378-mRNA-1	mobidb-lite	NA	IPR005467	PF00989;PF00072;PF02518;PF00512	NA	PTHR43719:SF23;PTHR43719	GO:0000160;GO:0006355;GO:0000155;GO:0007165;GO:0016310;GO:0016772	Coil	G3DSA:1.10.287.130;G3DSA:3.40.50.2300;G3DSA:3.30.450.20;G3DSA:3.30.565.10	cd00075;cd00130;cd00156;cd00082	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	SSF47384;SSF55874;SSF55785;SSF52172	PS50109;PS50110;PS50112	NA	PR00344	TIGR00229	NA	SM00448;SM00388;SM00387;SM00091	NA	NA	NA	NA	NA	NA
