Gene	interpro	SUPERFAMILY	PANTHER	Gene3D	ProSiteProfiles	GO	SFLD	CDD	Pfam	ProSitePatterns	PATHWAY	SignalP_GRAM_POSITIVE	TIGRFAM	Coils	MobiDBLite	SMART	Phobius	TMHMM	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_EUK	PRINTS	Hamap	ProDom
augustus_masked-RZGP01000008.1-processed-gene-21.134-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-augustus-gene-19.95-mRNA-1	IPR012951	NA	PTHR42973;PTHR42973:SF3	G3DSA:3.40.462.20;G3DSA:3.30.465.50	NA	GO:0016491;GO:0050660;GO:0055114	NA	NA	PF08031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-augustus-gene-17.171-mRNA-1	IPR035979	SSF54928	PTHR43987	G3DSA:3.30.70.330	PS50102	GO:0003676	NA	cd12306	PF00076	NA	NA	NA	NA	Coil	mobidb-lite	SM00360	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-snap-gene-32.10-mRNA-1	IPR032880	NA	PTHR13018:SF20;PTHR13018	NA	NA	GO:0016020	NA	NA	PF13967;PF02714;PF12621;PF14703	NA	NA	NA	NA	Coil	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-50.200-mRNA-1	IPR000209	SSF52743;SSF48403	PTHR43399	G3DSA:1.25.40.20;G3DSA:3.40.50.200	PS50297	GO:0004252;GO:0006508;GO:0005515	NA	cd00204	PF00082	NA	NA	NA	NA	Coil	mobidb-lite	SM00248	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PR00723	NA	NA
maker-RZGP01000008.1-snap-gene-41.12-mRNA-1	IPR000198	SSF50729;SSF48350;SSF57701	PTHR23176:SF94;PTHR23176	G3DSA:2.30.29.30;G3DSA:3.30.1520.10;G3DSA:4.10.240.10;G3DSA:1.10.555.10	PS50238;PS50003;PS50048	GO:0007165;GO:0035091;GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	cd04400;cd13277;cd00067;cd12148	PF00620;PF00169	PS00463	Reactome: R-HSA-194840	NA	NA	Coil	mobidb-lite	SM00324;SM00233;SM00066	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-42.132-mRNA-1	IPR029058	SSF53474	PTHR11802:SF42;PTHR11802	G3DSA:3.40.50.1820	NA	GO:0004185;GO:0006508	NA	NA	PF00450	PS00131	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SignalP-noTM	PR00724	NA	NA
snap_masked-RZGP01000005.1-processed-gene-9.131-mRNA-1	IPR008010	NA	PTHR13317	NA	NA	NA	NA	NA	PF05346	NA	NA	NA	NA	NA	mobidb-lite	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-28.174-mRNA-1	IPR000504	SSF54928	PTHR44063:SF1;PTHR44063	G3DSA:3.30.70.330	PS50102	GO:0003676	NA	cd12339	PF00076	NA	NA	NA	NA	NA	mobidb-lite	SM00360	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-18.25-mRNA-1	IPR037525	NA	PTHR33572:SF11;PTHR33572	G3DSA:2.60.40.3960	PS51821	NA	NA	NA	PF11754	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-48.139-mRNA-1	IPR040458	SSF50969	PTHR31913;PTHR31913:SF0	NA	NA	NA	NA	NA	PF17748;PF17747;PF08553	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-61.22-mRNA-1	IPR009081	SSF47336;SSF56801;SSF51735	PTHR43859:SF1;PTHR43859	G3DSA:3.40.50.12780;G3DSA:3.40.50.720;G3DSA:1.10.1200.10	PS50075	GO:0003824	NA	NA	PF07993;PF00501	PS00455	Reactome: R-HSA-8848584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-73.4-mRNA-1	IPR004695	NA	PTHR31686	NA	NA	GO:0016021;GO:0055085	NA	cd09299	PF03595	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000006.1-processed-gene-38.41-mRNA-1	IPR006032	SSF50249	PTHR11652:SF1;PTHR11652	G3DSA:2.40.50.140	NA	GO:0003735;GO:0005840;GO:0006412	NA	NA	PF00164	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	PIRSF002133	NA	NA	PR01034	NA	NA
maker-RZGP01000007.1-snap-gene-32.11-mRNA-1	IPR020846	SSF103473	PTHR23501;PTHR23501:SF59	G3DSA:1.20.1720.10	PS50850	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	NA	mobidb-lite	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-25.141-mRNA-1	IPR002524	SSF161111	PTHR11562;PTHR11562:SF13	G3DSA:1.20.1510.10	NA	GO:0006812;GO:0008324;GO:0016021;GO:0055085	NA	NA	PF01545	NA	NA	NA	TIGR01297	NA	mobidb-lite	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-31.32-mRNA-1	IPR006593	NA	PTHR15459:SF2;PTHR15459	G3DSA:1.20.120.1770	PS50939	GO:0000818	NA	cd08760	PF03188	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	mobidb-lite	SM00665	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000003.1-snap-gene-3.107-mRNA-1	IPR011701	SSF103473	PTHR42718:SF1;PTHR42718	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	PS50850	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	NA	mobidb-lite	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-29.41-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-64.143-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	SignalP-noTM	NA	NA	NA	NA
maker-RZGP01000007.1-snap-gene-14.154-mRNA-1	IPR008576	SSF53335	PTHR12753:SF0;PTHR12753	G3DSA:3.40.50.150	NA	GO:0006480;GO:0008168	NA	cd02440	PF05891	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF016958	NA	NA	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-7.52-mRNA-1	IPR027417	SSF52540	PTHR12933	G3DSA:3.40.50.300	NA	GO:0005634	NA	NA	PF06862	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-21.31-mRNA-1	IPR015424	SSF53383	PTHR11999;PTHR11999:SF70	G3DSA:3.90.1150.10;G3DSA:3.40.640.10;G3DSA:1.20.1340.10	NA	GO:0006520;GO:0016831;GO:0003824;GO:0019752;GO:0030170	NA	NA	PF00282	PS00392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00800	NA	NA
snap_masked-RZGP01000005.1-processed-gene-29.150-mRNA-1	IPR016903	NA	PTHR14428	NA	NA	NA	NA	NA	PF03914;PF07540	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	PIRSF028977	NA	NA	NA	NA	NA
snap_masked-RZGP01000001.1-processed-gene-6.12-mRNA-1	IPR020846	SSF103473	PTHR43791:SF32;PTHR43791	G3DSA:1.20.1250.20	PS50850	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-35.12-mRNA-1	IPR011547	NA	PTHR11814;PTHR11814:SF80	NA	PS50801	GO:0008272;GO:0015116;GO:0016021;GO:0008271;GO:0016020;GO:0055085	NA	cd07042	PF00916;PF01740	PS01130	Reactome: R-HSA-427601	NA	TIGR00815	NA	mobidb-lite	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-22.21-mRNA-1	IPR002320	SSF55186;SSF52954;SSF81271;SSF55681	PTHR11451:SF46;PTHR11451	G3DSA:3.10.20.30;G3DSA:3.40.50.800;G3DSA:3.30.930.10;G3DSA:3.30.980.10	PS50862	GO:0004829;GO:0005524;GO:0005737;GO:0006435;GO:0000166;GO:0004812;GO:0043039;GO:0006418	NA	cd00771;cd01667;cd00860	PF03129;PF02824;PF00587;PF07973	NA	KEGG: 00970+6.1.1.3	NA	TIGR00418	NA	mobidb-lite	SM00863	NA	NA	NA	NA	NA	PR01047	MF_00184	NA
snap_masked-RZGP01000007.1-processed-gene-42.147-mRNA-1	NA	NA	PTHR15074:SF5;PTHR15074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-2.88-mRNA-1	IPR003593	SSF52540	PTHR19229:SF184;PTHR19229	G3DSA:3.40.50.300	PS50893	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	cd03263	PF12698;PF00005	PS00211	NA	NA	NA	NA	NA	SM00382	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-43.139-mRNA-1	IPR013097	SSF54909	NA	G3DSA:3.30.70.100	PS51502	NA	NA	NA	PF07876	NA	NA	NA	NA	NA	NA	SM00886	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000004.1-processed-gene-13.37-mRNA-1	IPR036908	SSF50685	PTHR31836;PTHR31836:SF17	G3DSA:2.40.40.10	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-3.45-mRNA-1	IPR001611	SSF52058	PTHR44036:SF2;PTHR44036	G3DSA:3.80.10.10	PS51450	GO:0005515	NA	NA	PF12799	NA	NA	NA	NA	Coil	mobidb-lite	SM00365;SM00364;SM00369	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-69.47-mRNA-1	IPR020683	SSF48403;SSF50978	PTHR22847:SF600;PTHR22847	G3DSA:3.30.160.60;G3DSA:1.25.40.20;G3DSA:2.130.10.10	PS50082;PS50088;PS50297;PS50294	GO:0005515	NA	cd00204;cd00200	PF00400;PF12796;PF13637	PS00678	NA	NA	NA	NA	NA	SM00248;SM00320	NA	NA	NA	NA	NA	PR00320	NA	NA
snap_masked-RZGP01000008.1-processed-gene-49.174-mRNA-1	IPR003439	SSF52540	PTHR19229:SF184;PTHR19229	G3DSA:3.40.50.300	PS50893	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	cd03263	PF00005;PF12698	PS00211	NA	NA	NA	NA	mobidb-lite	SM00382	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-58.36-mRNA-1	IPR020845	SSF52777;SSF56801;SSF47336;SSF53335	PTHR45527	G3DSA:3.40.50.12780;G3DSA:3.30.559.30;G3DSA:3.30.300.30;G3DSA:3.40.50.150;G3DSA:3.30.559.10;G3DSA:3.40.50.980;G3DSA:1.10.1200.10	PS50075	GO:0003824;GO:0031177	NA	cd05918;cd02440	PF00550;PF00668;PF00501	PS00455;PS00012	Reactome: R-HSA-389661	NA	TIGR01733	Coil	mobidb-lite	SM00823	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-augustus-gene-50.1-mRNA-1	IPR004364	SSF55681;SSF50249	PTHR22594:SF34;PTHR22594	G3DSA:2.40.50.140;G3DSA:3.30.930.10	PS50862	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004816;GO:0006421;GO:0003676	NA	cd00776;cd04318	PF00152;PF01336	NA	KEGG: 00970+6.1.1.22	NA	TIGR00457	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	PR01042	NA	NA
snap_masked-RZGP01000001.1-processed-gene-16.143-mRNA-1	IPR002889	NA	PTHR24269;PTHR24269:SF16	NA	PS51212	NA	NA	NA	PF01822	NA	NA	SignalP-TM	NA	NA	NA	SM00321	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000005.1-processed-gene-17.98-mRNA-1	IPR036259	SSF103473	PTHR23501:SF12;PTHR23501	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	PS50850	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	NA	mobidb-lite	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-33.64-mRNA-1	IPR036388	NA	PTHR12732:SF0;PTHR12732	G3DSA:1.10.10.10;G3DSA:1.25.40.570	PS50250	NA	NA	NA	PF01399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-31.146-mRNA-1	IPR009072	NA	PTHR15992	G3DSA:1.10.20.10	NA	GO:0046982;GO:0005634;GO:0042393	NA	NA	PF10384	NA	Reactome: R-HSA-606279	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000002.1-processed-gene-64.153-mRNA-1	IPR003719	SSF54506	PTHR13774:SF23;PTHR13774	G3DSA:3.10.310.10	NA	GO:0003824;GO:0009058	NA	NA	PF02567	NA	NA	NA	TIGR00654	NA	NA	NA	NA	NA	PIRSF016184	NA	NA	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-24.22-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-snap-gene-2.94-mRNA-1	IPR013819	SSF48484	PTHR11771	G3DSA:1.20.245.10;G3DSA:3.10.450.60	PS51393	GO:0016702;GO:0046872;GO:0055114	NA	NA	PF00305	NA	NA	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-22.195-mRNA-1	IPR018517	SSF51395	PTHR11082;PTHR11082:SF31	G3DSA:3.20.20.70	NA	GO:0008033;GO:0017150;GO:0050660;GO:0055114;GO:0003824	NA	cd02801	PF01207	PS01136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-7.6-mRNA-1	IPR002016	SSF48113	PTHR31356;PTHR31356:SF4	G3DSA:1.10.520.10;G3DSA:1.10.420.20	PS50873	GO:0004601;GO:0006979;GO:0020037;GO:0055114	NA	NA	PF00141	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-39.175-mRNA-1	IPR020846	SSF103473	PTHR23500;PTHR23500:SF340	G3DSA:1.20.1250.20	PS50850	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	NA	cd06174	PF00083	PS00217;PS00216	Reactome: R-HSA-189200	NA	TIGR00879	NA	mobidb-lite	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	PR00171	NA	NA
maker-RZGP01000008.1-augustus-gene-34.3-mRNA-1	IPR002995	NA	PTHR23427;PTHR23427:SF1	NA	NA	GO:0016021	NA	NA	PF02077	PS01339	Reactome: R-HSA-6798695|Reactome: R-HSA-6811434	NA	NA	NA	mobidb-lite	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-34.0-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-21.186-mRNA-1	IPR001683	SSF56024	PTHR18896;PTHR18896:SF113	G3DSA:3.30.870.10	PS50035	GO:0035091;GO:0003824;GO:0004630;GO:0006654;GO:0048017	NA	cd09138;cd09141;cd01254	PF00787;PF00614;PF13091	NA	Reactome: R-HSA-1483148	NA	NA	NA	mobidb-lite	SM00155	NA	NA	PIRSF009376	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-5.21-mRNA-1	IPR022257	NA	PTHR13018;PTHR13018:SF53	NA	NA	GO:0016020	NA	NA	PF12621;PF13967;PF02714;PF14703	NA	NA	NA	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000004.1-processed-gene-5.61-mRNA-1	IPR002108	SSF55753	PTHR11913:SF12;PTHR11913	G3DSA:3.40.20.10	PS51263	GO:0003779;GO:0005622;GO:0015629;GO:0030042	NA	cd11286	PF00241	NA	NA	NA	NA	NA	NA	SM00102	NA	NA	NA	NA	NA	PR00006	NA	NA
snap_masked-RZGP01000004.1-processed-gene-10.142-mRNA-1	IPR027417	SSF52540	PTHR11259:SF2;PTHR11259	G3DSA:3.40.50.300;G3DSA:3.30.450.190	NA	GO:0005525	NA	NA	PF04670	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-8943724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000005.1-processed-gene-31.15-mRNA-1	IPR036249	SSF52833	PTHR12232	G3DSA:3.40.30.10	NA	NA	NA	NA	PF04908	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-49.153-mRNA-1	IPR024671	SSF51905;SSF103473	PTHR11360:SF144;PTHR11360	G3DSA:1.20.1250.20;G3DSA:3.50.50.60	NA	GO:0071949	NA	cd06174	PF11700;PF01494	NA	NA	NA	NA	NA	mobidb-lite	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	PR00420	NA	NA
maker-RZGP01000004.1-snap-gene-2.6-mRNA-1	IPR005829	SSF103473	PTHR23500;PTHR23500:SF88	G3DSA:1.20.1250.20	PS50850	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0016020	NA	cd06174	PF00083	PS00217	Reactome: R-HSA-189200	NA	TIGR00879	NA	mobidb-lite	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	PR00171	NA	NA
maker-RZGP01000006.1-snap-gene-1.0-mRNA-1	IPR036259	SSF103473	PTHR11360;PTHR11360:SF224	G3DSA:1.20.1250.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-37.195-mRNA-1	IPR013026	SSF48452;SSF52540	PTHR10039	G3DSA:3.40.50.300	PS50293;PS50005	GO:0005515;GO:0032126;GO:0070941	NA	NA	PF07719;PF13181;PF17109	NA	NA	NA	NA	Coil	mobidb-lite	SM00028	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-61.26-mRNA-1	IPR036770	SSF48403	PTHR34706:SF2;PTHR34706	G3DSA:1.25.40.20	PS50297;PS50088	GO:0005515	NA	cd00204	NA	NA	NA	NA	NA	NA	NA	SM00248	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-6.127-mRNA-1	IPR002867	SSF57850	PTHR11685	G3DSA:3.30.40.10;G3DSA:1.20.120.1750	NA	GO:0004842;GO:0016567;GO:0003676	NA	NA	PF01485	PS00028	NA	NA	NA	NA	NA	SM00647	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000001.1-snap-gene-15.174-mRNA-1	IPR001138	SSF57701	PTHR45595:SF1;PTHR45595	G3DSA:4.10.240.10	PS50048	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	cd12148;cd00067	PF00172;PF04082	NA	NA	NA	NA	NA	mobidb-lite	SM00066;SM00906	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-4.42-mRNA-1	IPR011701	SSF103473	PTHR11360;PTHR11360:SF125	G3DSA:1.20.1250.20	PS50850	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-11.136-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000003.1-snap-gene-3.106-mRNA-1	IPR008271	SSF56112	PTHR24350	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PS50011	GO:0004672;GO:0006468;GO:0005524	NA	cd14007	PF00069	PS00108;PS00107	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	NA	NA	mobidb-lite	SM00220	NA	NA	PIRSF000654	NA	NA	NA	NA	NA
snap_masked-RZGP01000004.1-processed-gene-6.4-mRNA-1	IPR001680	SSF53167;SSF52540;SSF82171	PTHR21234:SF16;PTHR21234	G3DSA:3.40.50.300;G3DSA:2.130.10.10	PS50837	GO:0005515;GO:0003824;GO:0009116;GO:0030058;GO:0042597;GO:0055114	NA	NA	PF06433;PF05729	NA	KEGG: 00680+1.4.9.1|MetaCyc: PWY-6967	NA	NA	NA	mobidb-lite	SM00320	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-36.77-mRNA-1	IPR003034	SSF68906	PTHR12381;PTHR12381:SF49	G3DSA:1.10.720.30	PS50800	NA	NA	NA	PF18592;PF02037	NA	NA	NA	NA	NA	mobidb-lite	SM00513	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000007.1-processed-gene-20.175-mRNA-1	IPR033697	SSF55895	PTHR11240	G3DSA:3.90.730.10	NA	GO:0003723;GO:0033897	NA	cd01061	PF00445	PS00530;PS00531	Reactome: R-HSA-6798695	SignalP-TM	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000004.1-snap-gene-13.24-mRNA-1	IPR011701	SSF103473	PTHR23514;PTHR23514:SF3	G3DSA:1.20.1250.20	PS50850	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	Coil	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000004.1-snap-gene-0.16-mRNA-1	IPR001494	SSF48371	PTHR11223;PTHR11223:SF2	G3DSA:1.25.10.10	PS50166	GO:0006886;GO:0008536;GO:0005049	NA	NA	PF03810;PF18784;PF18777;PF08389;PF08767;PF18787	NA	NA	NA	NA	NA	mobidb-lite	SM00913;SM01102	NA	NA	NA	NA	NA	NA	NA	NA
