Gene	interpro	SMART	CDD	SUPERFAMILY	Pfam	GO	ProSiteProfiles	MobiDBLite	Coils	PANTHER	ProSitePatterns	Gene3D	PATHWAY	TIGRFAM	PRINTS	TMHMM	Phobius	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD	Hamap	ProDom
KOS20846.1	IPR000109	NA	cd06174	SSF103473	PF00854	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0006857	NA	mobidb-lite	NA	PTHR11654;PTHR11654:SF118	PS01022	G3DSA:1.20.1250.20	Reactome: R-HSA-427975	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS22003.1	IPR024671	NA	cd06174	SSF103473	PF11700	NA	NA	mobidb-lite	NA	PTHR11360;PTHR11360:SF96	NA	G3DSA:1.20.1250.20	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS21882.1	IPR001247	NA	NA	SSF54211	PF01138		NA	mobidb-lite	NA	PTHR11097;PTHR11097:SF8	NA	NA	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16995.1	IPR039852	NA	NA	SSF48371	PF08623	GO:0010265	NA	mobidb-lite	Coil	PTHR12696;PTHR12696:SF0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21748.1	IPR036938	SM00014	cd03390	SSF48317	PF01569	NA	NA	NA	NA	PTHR10165:SF141;PTHR10165	NA	G3DSA:1.20.144.10	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS20697.1	IPR032792	NA	cd11327	SSF48208;SSF51445	PF14702;PF14701;PF06202;PF14699	GO:0003824;GO:0004134;GO:0004135;GO:0005980;GO:0005978	NA	mobidb-lite	NA	PTHR10569	NA	G3DSA:3.20.20.80;G3DSA:1.50.10.10	KEGG: 00500+2.4.1.25|MetaCyc: PWY-5941|MetaCyc: PWY-6724|MetaCyc: PWY-6737|MetaCyc: PWY-7238|Reactome: R-HSA-6798695|Reactome: R-HSA-70221	TIGR01531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21550.1	IPR014752	NA	NA	NA	PF04426	NA	NA	mobidb-lite	Coil	PTHR11188:SF78;PTHR11188	NA	G3DSA:2.60.40.640	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
KOS18374.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR37019:SF2;PTHR37019	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS20634.1	IPR000764	NA	cd02023;cd06223	SSF53271;SSF52540	PF14681;PF00485	GO:0005524;GO:0016301;GO:0009116	NA	NA	NA	PTHR10285:SF123;PTHR10285	NA	G3DSA:3.40.50.300;G3DSA:3.40.50.2020	KEGG: 00240+2.7.1.48|KEGG: 00983+2.7.1.48|MetaCyc: PWY-7193|Reactome: R-HSA-73614	NA	PR00988	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21966.1	IPR036551	NA	NA	SSF52507	PF02441	GO:0003824	NA	NA	NA	PTHR14359	NA	G3DSA:3.40.50.1950	Reactome: R-HSA-196783	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA
KOS20618.1	IPR003694	NA	cd07570;cd00553	SSF56317;SSF52402	PF02540;PF00795	GO:0003952;GO:0005524;GO:0009435;GO:0006807	PS50263	NA	NA	PTHR23090;PTHR23090:SF9	NA	G3DSA:3.60.110.10;G3DSA:3.40.50.620	KEGG: 00760+6.3.1.5|Reactome: R-HSA-196807	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	PIRSF006630	NA	NA	NA	NA	MF_02090	NA
KOS19679.1	IPR000198	SM00324	cd04396	SSF48350	PF00620	GO:0007165	PS50238	mobidb-lite	NA	PTHR15228;PTHR15228:SF25	NA	G3DSA:1.10.555.10	Reactome: R-HSA-194840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20966.1	IPR038718	SM00910;SM00490;SM00487	cd00079;cd16572;cd00046	SSF52540;SSF57850	PF08797;PF00271;PF00176	GO:0003676;GO:0008270;GO:0016818;GO:0005524	PS50089;PS51192;PS51194	mobidb-lite	Coil	PTHR10799;PTHR10799:SF779	NA	G3DSA:3.40.50.10810;G3DSA:3.40.50.300;G3DSA:1.20.120.850;G3DSA:3.30.40.10	Reactome: R-HSA-8866654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17198.1	IPR001650	SM00490;SM00487	cd00079	SSF52540	PF00270;PF00271	GO:0003676;GO:0005524	PS51195;PS51194;PS51192	NA	NA	PTHR24031;PTHR24031:SF421	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22862.1	IPR039128	NA	NA	NA	PF06221	GO:0005634;GO:0006355;GO:0008270	NA	mobidb-lite	Coil	PTHR12963:SF0;PTHR12963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17271.1	IPR020846	NA	cd06174	SSF103473	PF07690	GO:0016021;GO:0055085;GO:0005215	PS50850	mobidb-lite	NA	PTHR23502;PTHR23502:SF7	PS00216	G3DSA:1.20.1250.20	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS20818.1	IPR013763	SM00385;SM01332	cd00043	SSF47954	PF00134;PF02984	GO:0005634	NA	mobidb-lite	Coil	PTHR10177;PTHR10177:SF348	PS00292	G3DSA:1.10.472.10	NA	NA	NA	NA	NA	PIRSF001771	NA	NA	NA	NA	NA	NA
KOS22654.1	IPR038903	NA	NA	NA	NA	GO:0005576;GO:0019863	NA	NA	NA	PTHR42039	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
KOS21233.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16683.1	IPR036249	NA	cd02979	SSF52833;SSF54373;SSF51905	PF07976;PF01494	GO:0071949	NA	mobidb-lite	NA	PTHR43004;PTHR43004:SF4	NA	G3DSA:3.40.30.20;G3DSA:3.30.9.50;G3DSA:3.50.50.60	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22589.1	IPR023213	NA	NA	SSF52777	PF00755	GO:0016746	NA	mobidb-lite	NA	PTHR22589:SF29;PTHR22589	PS00440	G3DSA:1.10.275.20;G3DSA:3.30.559.10;G3DSA:3.30.559.40;G3DSA:3.30.559.70	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18714.1	IPR007128	NA	NA	NA	PF03980	GO:0000818	NA	mobidb-lite	Coil	PTHR15459:SF3;PTHR15459	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17478.1	IPR000089	NA	cd06849	SSF51230;SSF52777	PF00364;PF00198	GO:0016746;GO:0004149;GO:0006099;GO:0045252	PS50968	mobidb-lite	NA	PTHR43416;PTHR43416:SF5	PS00189	G3DSA:3.30.559.10;G3DSA:2.40.50.100	Reactome: R-HSA-389661	TIGR01347	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA
KOS21063.1	IPR003196	NA	cd07980	SSF46785;SSF50916	PF17683;PF02270	GO:0005674;GO:0006366;GO:0006367	NA	mobidb-lite	Coil	PTHR10445:SF0;PTHR10445	NA	G3DSA:1.10.10.10	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20480.1	IPR028163	NA	NA	NA	PF14661		NA	mobidb-lite	NA	NA	NA	NA	Reactome: R-HSA-2565942|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-8854518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21892.1	IPR001138	SM00066;SM00906	cd12148;cd00067	SSF57701	PF00172;PF04082	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	mobidb-lite	Coil	PTHR31944	PS00463	G3DSA:4.10.240.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21138.1	IPR036259	NA	cd06174	SSF103473	PF07690	GO:0016021;GO:0055085	PS50850	NA	NA	PTHR23501;PTHR23501:SF103	NA	G3DSA:1.20.1720.10	NA	NA	PR01036	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS21245.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR38049:SF1;PTHR38049	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	SignalP-TM	NA	SignalP-noTM	NA	NA	NA
KOS16975.1	IPR032675	SM00367	NA	SSF52047	PF13516	GO:0005515	NA	mobidb-lite	NA	PTHR44001;PTHR44001:SF2	NA	G3DSA:3.80.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23062.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21719.1	IPR019595	NA	NA	NA	PF10615	NA	NA	mobidb-lite	NA	PTHR37783	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS22575.1	IPR001650	SM00490;SM00487	cd00079	SSF52540	PF00270;PF00271	GO:0003676;GO:0005524	PS51195;PS51194;PS51192	mobidb-lite	Coil	PTHR24031;PTHR24031:SF68	PS00039	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20693.1	IPR027408	NA	cd11371	SSF54211;SSF55666	PF01138		NA	mobidb-lite	NA	PTHR11953:SF2;PTHR11953	NA	G3DSA:3.30.230.70	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20565.1	IPR013785	SM00729	cd01335	SSF102114	PF04055;PF13353	GO:0003824;GO:0051536	NA	NA	NA	PTHR21339	NA	G3DSA:3.20.20.70	NA	NA	NA	TMhelix	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	SignalP-TM	NA	SignalP-noTM	SFLDG01067;SFLDF00318;SFLDS00029	NA	NA
KOS18956.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
KOS23177.1	IPR036259	NA	cd06174	SSF103473	PF07690	GO:0005215;GO:0016021;GO:0055085	PS50850	mobidb-lite	NA	PTHR23502:SF51;PTHR23502	NA	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	NA	NA	PR01035	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS16745.1	IPR029056	NA	cd01173	SSF53613	PF08543	GO:0008478;GO:0009443	NA	NA	NA	PTHR10534	NA	G3DSA:3.40.1190.20	Reactome: R-HSA-6798695|Reactome: R-HSA-964975	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	SignalP-TM	NA	NA	NA	NA	NA
KOS21444.1	IPR007258	NA	NA	NA	PF04129		NA	mobidb-lite	NA	PTHR14190:SF7;PTHR14190	NA	NA	Reactome: R-HSA-6811440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16696.1	IPR017441	NA	cd14134	SSF56112	PF00069	GO:0005524;GO:0004672;GO:0006468	PS50011	mobidb-lite	NA	PTHR24058;PTHR24058:SF0	PS00107	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21746.1	IPR002110	SM00248	cd06093;cd00204	SSF48403;SSF109993;SSF64268	PF13857;PF02204	GO:0005515;GO:0035091	PS50297;PS51205	mobidb-lite	Coil	PTHR24170	NA	G3DSA:1.20.1050.80;G3DSA:3.30.1520.10;G3DSA:1.25.40.20	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD127710
KOS22924.1	IPR000133	NA	NA	NA	PF00810	GO:0006621;GO:0016021;GO:0046923	NA	NA	NA	PTHR10585	PS00952;PS00951	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	PR00660	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS22484.1	IPR003154	NA	cd11010	SSF48537	PF02265	GO:0003676;GO:0004519;GO:0006308;GO:0016788	NA	NA	NA	PTHR33146	NA	G3DSA:1.10.575.10	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SignalP-noTM	NA	NA	NA
KOS22993.1	IPR005225	SM00177;SM00178;SM00175	cd04149	SSF52540	PF00025	GO:0005525	PS51417	NA	NA	PTHR11711:SF182;PTHR11711	NA	G3DSA:3.40.50.300	NA	TIGR00231	PR00328	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA
KOS18074.1	IPR000261	SM00027;SM00054	cd00052	SSF47473	PF12761;PF12763	GO:0005515;GO:0006897;GO:0007015;GO:0005509	PS50031;PS50222	NA	Coil	PTHR11216;PTHR11216:SF74	PS00018	G3DSA:1.10.238.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19059.1	IPR006594	SM00668;SM00757;SM00667	NA	NA	PF08513;PF10607	GO:0005515;GO:0045721	PS50896;PS50897	NA	NA	PTHR12170:SF2;PTHR12170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17285.1	IPR010730	NA	NA	NA	PF06985	NA	NA	mobidb-lite	NA	PTHR33112;PTHR33112:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21675.1	IPR033744	SM00360	cd12324	SSF54928	PF00076	GO:0003729;GO:0003676;GO:0003723;GO:0005634;GO:0005737;GO:0006396	PS50102	mobidb-lite	NA	PTHR23139;PTHR23139:SF24	NA	G3DSA:3.30.70.330	Reactome: R-HSA-109688|Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-9010553|Reactome: R-HSA-975957	NA	PR01738	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17128.1	IPR018201	SM00826;SM00829;SM00827;SM00822;SM00825	cd02440;cd00833;cd05195	SSF51735;SSF53335;SSF52151;SSF53901;SSF55048;SSF50129	PF14765;PF00109;PF08240;PF16197;PF08659;PF08242;PF00698;PF02801;PF13602	GO:0003824;GO:0055114;GO:0016491;GO:0016740	NA	NA	Coil	PTHR43775:SF10;PTHR43775	PS00606	G3DSA:3.40.47.10;G3DSA:3.40.50.150;G3DSA:3.40.50.720;G3DSA:3.90.180.10;G3DSA:3.10.129.110;G3DSA:3.40.366.10	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18208.1	IPR038814	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	PTHR39136	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS19641.1	IPR002347	NA	NA	SSF51735	PF00106	GO:0016491	NA	NA	NA	PTHR43618;PTHR43618:SF4	PS00061	G3DSA:3.40.50.720	NA	NA	PR00080;PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17185.1	IPR007698	SM01003;SM01002	cd05304	SSF51735;SSF52467;SSF52283	PF01262;PF05222;PF12769;PF02233	GO:0016491;GO:0055114;GO:0008746;GO:1902600	NA	NA	NA	PTHR10160	PS00837	G3DSA:3.40.50.720;G3DSA:3.40.50.1220	KEGG: 00250+1.4.1.1|KEGG: 00430+1.4.1.1|Reactome: R-HSA-71403	TIGR00561	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS18356.1	IPR011009	NA	cd00180	SSF56112	PF00069	GO:0004672;GO:0005524;GO:0006468	PS50011	mobidb-lite	NA	PTHR43289;PTHR43289:SF1	NA	G3DSA:1.10.510.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18873.1	IPR001623	SM00271	cd06257	SSF46565	PF00226	NA	PS50076	mobidb-lite	NA	PTHR44653	NA	G3DSA:1.10.287.110	NA	NA	PR00625	TMhelix	SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
KOS20446.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19210.1	IPR016181	NA	cd04301	SSF55729	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19928.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19496.1	IPR037507	NA	NA	NA	PF18126	GO:0003735;GO:0005762	NA	NA	NA	PTHR28041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19086.1	IPR022764	NA	NA	SSF144091	PF01694	GO:0004252;GO:0016021	NA	mobidb-lite	Coil	PTHR43731:SF8;PTHR43731	NA	G3DSA:1.20.1540.10	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS21061.1	IPR029071	NA	NA	SSF54236	PF00240	GO:0005515	PS50053	NA	NA	PTHR10666;PTHR10666:SF230	NA	G3DSA:3.10.20.90	NA	NA	PR00348	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18416.1	IPR003788	NA	NA	SSF53335	PF02636		NA	NA	NA	PTHR12049;PTHR12049:SF7	NA	NA	Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19073.1	IPR038769	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	PTHR38426	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS22177.1	IPR011993	SM00233;SM00568	cd03784;cd13215;cd13216	SSF53756;SSF50729	PF00169;PF00201;PF02893;PF03033	GO:0016758;GO:0005975;GO:0030259	PS50003	mobidb-lite	NA	PTHR11926;PTHR11926:SF417	NA	G3DSA:3.40.50.2000;G3DSA:2.30.29.30	Reactome: R-HSA-156588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18122.1	IPR017986	SM00320	NA	SSF50978	PF00400;PF08232	GO:0005515	PS50294;PS50082	mobidb-lite	Coil	PTHR15653;PTHR15653:SF0	NA	G3DSA:2.130.10.10;G3DSA:1.20.5.300	NA	NA	PR00320	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21497.1	IPR016039	NA	cd00751	SSF53901	PF02803;PF00108	GO:0003824;GO:0016747	NA	NA	NA	PTHR18919;PTHR18919:SF69	PS00737;PS00098;PS00099	G3DSA:3.40.47.10	NA	TIGR01930	NA	NA	NA	PIRSF000429	NA	NA	NA	NA	NA	NA
KOS18682.1	IPR018517	NA	cd02801	SSF51395	PF01207	GO:0008033;GO:0017150;GO:0050660;GO:0055114;GO:0003824	NA	mobidb-lite	NA	PTHR11082:SF4;PTHR11082	PS01136	G3DSA:3.20.20.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19661.1	NA	NA	cd14688	NA	NA	NA	NA	mobidb-lite	Coil	PTHR40621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20877.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	PR01217	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19359.1	NA	NA	NA	SSF159245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
KOS19099.1	IPR027925	SM00350	cd00009	SSF50249;SSF52540	PF14551;PF17207;PF00493;PF17855	GO:0003677;GO:0005524;GO:0006260;GO:0003688;GO:0005634;GO:0006270;GO:0042555	PS50051	NA	NA	PTHR11630;PTHR11630:SF42	PS00847	G3DSA:2.20.28.10;G3DSA:2.40.50.140;G3DSA:3.30.1640.10;G3DSA:3.40.50.300	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	NA	PR01661;PR01657	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19540.1	IPR004855	SM01371	cd07976	SSF47396;SSF50784	PF03153	GO:0005672;GO:0006367	NA	NA	NA	PTHR12694:SF8;PTHR12694	NA	G3DSA:2.30.18.10;G3DSA:1.10.287.100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21930.1	IPR003347	SM00545;SM00558;SM00249	cd15571	SSF51197	PF13832;PF02373;PF02375		PS51184;PS51183;PS51805	mobidb-lite	NA	PTHR10694;PTHR10694:SF7	NA	G3DSA:3.30.40.10;G3DSA:2.60.120.650	Reactome: R-HSA-3214842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16919.1	IPR010699	NA	NA	NA	PF06912	NA	NA	mobidb-lite	NA	PTHR37488:SF1;PTHR37488	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS18032.1	IPR016024	SM01349	NA	SSF48371	PF12348	NA	NA	mobidb-lite	NA	PTHR21567;PTHR21567:SF9	NA	G3DSA:1.25.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22637.1	IPR036291	NA	NA	SSF51735	PF13561	NA	NA	NA	NA	PTHR42760;PTHR42760:SF40	NA	G3DSA:3.40.50.720	NA	NA	PR00081	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA
KOS16614.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
KOS22733.1	IPR000719	SM00220	cd07857	SSF56112	PF00069	GO:0004672;GO:0005524;GO:0006468;GO:0004707	PS50011	NA	NA	PTHR24055:SF333;PTHR24055	PS00107;PS00108;PS01351	G3DSA:1.10.510.10;G3DSA:3.30.200.20	KEGG: 04150+2.7.11.24	NA	NA	NA	NA	PIRSF000615	NA	NA	NA	NA	NA	NA
