Gene	MobiDBLite	Coils	PANTHER	interpro	GO	Pfam	Gene3D	TMHMM	Phobius	ProSiteProfiles	SMART	ProSitePatterns	SUPERFAMILY	CDD	PATHWAY	SignalP_EUK	SignalP_GRAM_POSITIVE	PRINTS	TIGRFAM	PIRSF	SignalP_GRAM_NEGATIVE	Hamap	SFLD	ProDom
maker-NQYS01000001.1-augustus-gene-5.18-mRNA-1	mobidb-lite	NA	PTHR12558:SF9;PTHR12558	IPR011990	GO:0005515	PF13181;PF13432;PF12895	NA	NA	NA	PS50005;PS50293	SM00028	NA	SSF48452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000005.1-augustus-gene-19.40-mRNA-1	NA	NA	PTHR43853;PTHR43853:SF8	IPR020613	GO:0016747;GO:0003824	PF00108;PF02803	G3DSA:3.40.47.10	NA	NA	NA	NA	PS00737	SSF53901	cd00751	NA	NA	NA	NA	TIGR01930	PIRSF000429	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-39.29-mRNA-1	NA	NA	PTHR43791:SF6;PTHR43791	IPR020846	GO:0016021;GO:0055085	PF07690	G3DSA:1.20.1250.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PS50850	NA	NA	SSF103473	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-4.33-mRNA-1	mobidb-lite	NA	PTHR11977:SF55;PTHR11977	IPR029006	GO:0051015;GO:0030036;GO:0051014	PF13254	G3DSA:3.40.20.10	NA	NA	NA	SM00262	NA	SSF55753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-63.26-mRNA-1	mobidb-lite	NA	PTHR22914;PTHR22914:SF10	IPR029044	GO:0016758	PF03142	G3DSA:3.90.550.10	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SSF53448	NA	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-22.16-mRNA-1	mobidb-lite	NA	PTHR12360;PTHR12360:SF0	IPR000967	GO:0003700;GO:0005634;GO:0006355;GO:0008270;GO:0003676	PF01424	G3DSA:3.30.1370.50	NA	NA	PS51061	SM00438	PS01359	SSF82708	cd06008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-32.37-mRNA-1	mobidb-lite	Coil	PTHR22904:SF501;PTHR22904	IPR019734	GO:0005515;GO:0005741;GO:0006886;GO:0015450	PF13432;PF13176;PF13431	G3DSA:1.25.40.10	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS50293;PS50005	SM00028	NA	SSF48452	NA	NA	NA	NA	NA	TIGR00990	NA	NA	NA	NA	NA
maker-NQYS01000008.1-augustus-gene-2.14-mRNA-1	NA	NA	PTHR19443;PTHR19443:SF30	IPR019807	GO:0004396;GO:0005524;GO:0006096;GO:0001678;GO:0005536;GO:0005975;GO:0016773	PF00349;PF03727	G3DSA:3.30.420.40;G3DSA:3.40.367.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PS51748	NA	PS00378	SSF53067	cd00012	KEGG: 00010+2.7.1.1|KEGG: 00051+2.7.1.1|KEGG: 00052+2.7.1.1|KEGG: 00500+2.7.1.1|KEGG: 00520+2.7.1.1|KEGG: 00521+2.7.1.1|KEGG: 00524+2.7.1.1|Reactome: R-HSA-70171	NA	NA	PR00475	NA	NA	NA	NA	NA	NA
maker-NQYS01000005.1-augustus-gene-15.30-mRNA-1	mobidb-lite	Coil	PTHR11254:SF73;PTHR11254	IPR000569	GO:0004842	PF00632	G3DSA:3.30.2410.10;G3DSA:3.90.1750.10;G3DSA:3.30.2160.10;G3DSA:1.25.10.10	NA	NA	PS50237	SM00119	NA	SSF56204;SSF48371	cd00078	MetaCyc: PWY-7511|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-42.9-mRNA-1	mobidb-lite	NA	NA	IPR017956	GO:0003677	NA	NA	NA	NA	NA	SM00384	NA	NA	NA	NA	NA	NA	PR00929	NA	NA	NA	NA	NA	NA
maker-NQYS01000007.1-augustus-gene-12.19-mRNA-1	NA	Coil	PTHR10137:SF0;PTHR10137	IPR036132	GO:0015078;GO:0015991;GO:0033180	PF03223	G3DSA:1.20.1460.10;G3DSA:3.30.70.1180;G3DSA:3.30.70.100	NA	NA	NA	NA	NA	SSF118203	cd14785	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-34.29-mRNA-1	NA	NA	PTHR23091;PTHR23091:SF280	IPR000182	NA	PF00583	G3DSA:3.40.630.30	NA	NA	PS51186	NA	NA	SSF55729	cd04301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000005.1-augustus-gene-16.36-mRNA-1	mobidb-lite	NA	PTHR30244	IPR000683	GO:0016491;GO:0003824	PF01408;PF01041	G3DSA:3.40.50.720;G3DSA:3.30.360.10;G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	NA	NA	NA	NA	SSF51735;SSF53383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-10.41-mRNA-1	mobidb-lite	NA	PTHR16201;PTHR16201:SF35	IPR006603	NA	PF04193	G3DSA:1.20.1280.290	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	SM00679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000006.1-processed-gene-14.24-mRNA-1	NA	NA	PTHR43520;PTHR43520:SF12	IPR006121	GO:0030001;GO:0046872;GO:0016021;GO:0000166;GO:0006812;GO:0019829	PF00403;PF00122;PF08282;PF00702	G3DSA:3.40.50.1000;G3DSA:2.70.150.20;G3DSA:3.40.1110.10;G3DSA:1.20.1110.10;G3DSA:3.30.70.100	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PS50846	NA	PS00154;PS01047	SSF55008;SSF81653;SSF81665;SSF56784	cd00371;cd02094	Reactome: R-HSA-936837	NA	NA	PR00120;PR00119	TIGR01494;TIGR01525	NA	NA	NA	NA	NA
augustus_masked-NQYS01000007.1-processed-gene-7.14-mRNA-1	mobidb-lite	NA	PTHR10459;PTHR10459:SF7	IPR036420	GO:0003677;GO:0003910;GO:0006281;GO:0006310;GO:0005524;GO:0071897;GO:0003909;GO:0051103	PF04679;PF01068;PF04675;PF16589	G3DSA:3.30.470.30;G3DSA:3.40.50.10190;G3DSA:2.40.50.140;G3DSA:1.10.3260.10	NA	NA	PS50172;PS50160	SM00292	PS00697	SSF117018;SSF56091;SSF52113;SSF50249	cd07903;cd00027	Reactome: R-HSA-164843|Reactome: R-HSA-5693571	NA	NA	NA	TIGR00574	NA	NA	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-20.10-mRNA-1	mobidb-lite	NA	PTHR11360;PTHR11360:SF78	IPR020846	GO:0016021;GO:0055085	PF07690	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PS50850	NA	NA	SSF103473	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-5.24-mRNA-1	mobidb-lite	NA	PTHR12496;PTHR12496:SF0	IPR025714	NA	PF13679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-12.4-mRNA-1	mobidb-lite	NA	PTHR11632:SF61;PTHR11632	IPR024555	NA	PF12828;PF12825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-28.5-mRNA-1	mobidb-lite	NA	PTHR23003;PTHR23003:SF23	IPR012677	GO:0003676	NA	G3DSA:3.30.70.330	NA	NA	PS50102	SM00360	NA	SSF54928	cd00590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-23.23-mRNA-1	mobidb-lite	NA	PTHR42656;PTHR42656:SF2	IPR009291	NA	PF06101	NA	TMhelix	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-49.8-mRNA-1	mobidb-lite	NA	PTHR31503:SF10;PTHR31503	IPR004837	GO:0016021;GO:0055085	PF01699;PF03733	G3DSA:1.20.1420.30;G3DSA:1.20.58.1130	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	Reactome: R-HSA-425561	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-37.35-mRNA-1	NA	NA	PTHR37992	IPR013920	NA	PF08611	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000008.1-augustus-gene-4.36-mRNA-1	mobidb-lite	NA	PTHR10277:SF28;PTHR10277	IPR002034	GO:0019752;GO:0046912;GO:0003824;GO:0003852;GO:0009098	PF08502;PF00682	G3DSA:3.20.20.70;G3DSA:3.30.160.270	NA	NA	PS50991	SM00917	PS00816	SSF110921;SSF51569;SSF89000	cd07942	KEGG: 00290+2.3.3.13|KEGG: 00620+2.3.3.13|MetaCyc: PWY-6871	NA	NA	NA	TIGR00970	NA	NA	MF_00572	NA	NA
augustus_masked-NQYS01000006.1-processed-gene-1.50-mRNA-1	mobidb-lite	Coil	PTHR10622;PTHR10622:SF10	IPR002110	GO:0005515	PF06985;PF12796	G3DSA:1.25.40.20	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PS50088;PS50297	SM00248	NA	SSF48403	cd00204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-5.12-mRNA-1	NA	NA	PTHR42666	IPR027417	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	SSF52540	cd02024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000005.1-processed-gene-16.7-mRNA-1	NA	NA	PTHR24221:SF400;PTHR24221	IPR036640	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	PF00005;PF00664	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PS50893;PS50929	SM00382	PS00211	SSF90123;SSF52540	cd03249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000005.1-augustus-gene-25.38-mRNA-1	NA	NA	PTHR24305:SF149;PTHR24305	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	G3DSA:1.10.630.10	NA	NA	NA	NA	PS00086	SSF48264	NA	NA	NA	NA	PR00385;PR00463	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-0.25-mRNA-1	mobidb-lite	NA	PTHR23500;PTHR23500:SF35	IPR036412	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	PF00083;PF13671;PF08645	G3DSA:3.40.50.300;G3DSA:3.40.50.1000;G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PS50850	NA	PS00217;PS00216	SSF56784;SSF52540;SSF103473	cd06174	Reactome: R-HSA-5649702	NA	NA	PR00171	TIGR01664;TIGR01662	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-28.10-mRNA-1	mobidb-lite	NA	PTHR11347:SF177;PTHR11347	IPR036971	GO:0004114;GO:0007165	PF00233	G3DSA:1.10.1300.10	NA	NA	PS51845	NA	NA	SSF109604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-21.10-mRNA-1	mobidb-lite	NA	PTHR21329;PTHR21329:SF3	IPR007720	GO:0006506;GO:0016021;GO:0017176	PF05024;PF05254	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS51808	NA	NA	NA	NA	Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-33.7-mRNA-1	mobidb-lite	Coil	PTHR10130;PTHR10130:SF0	IPR019734	GO:0005515	PF13432;PF13414	G3DSA:1.25.40.10	NA	NA	PS50005;PS50293	SM00028	NA	SSF48452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-19.24-mRNA-1	mobidb-lite	Coil	PTHR35859:SF1;PTHR35859	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-2.43-mRNA-1	mobidb-lite	NA	PTHR43008:SF5;PTHR43008	IPR036291	NA	PF13561	G3DSA:3.40.50.720;G3DSA:3.40.50.300	NA	NA	NA	NA	NA	SSF51735;SSF52540	cd00009	NA	NA	NA	PR00080;PR00081	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-64.47-mRNA-1	mobidb-lite	NA	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SSF57701	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000008.1-augustus-gene-6.5-mRNA-1	mobidb-lite	Coil	PTHR21017;PTHR21017:SF17	IPR011008	NA	PF07978	G3DSA:3.30.70.100	NA	NA	NA	NA	NA	SSF54909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000007.1-augustus-gene-8.12-mRNA-1	mobidb-lite	NA	PTHR30399	IPR013536	NA	PF08325	NA	NA	NA	PS51397	NA	NA	NA	cd07344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000007.1-augustus-gene-11.42-mRNA-1	mobidb-lite	NA	PTHR31316;PTHR31316:SF0	IPR005556	NA	PF03856	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-34.25-mRNA-1	mobidb-lite	NA	PTHR23507:SF1;PTHR23507	IPR020846	GO:0016021;GO:0055085	PF07690	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SSF103473	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-6.33-mRNA-1	mobidb-lite	NA	PTHR10484;PTHR10484:SF160	IPR001951	GO:0003677;GO:0006352;GO:0000786;GO:0005634;GO:0006334;GO:0046982	PF15511	G3DSA:1.10.20.10	NA	NA	NA	SM00417;SM00803	PS00047	SSF47113	cd00076	Reactome: R-HSA-606279	NA	NA	PR00623	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-14.19-mRNA-1	mobidb-lite	NA	PTHR10484;PTHR10484:SF160	IPR001951	GO:0003677;GO:0006352;GO:0000786;GO:0005634;GO:0006334;GO:0046982	PF15511	G3DSA:1.10.20.10	NA	NA	NA	SM00417;SM00803	PS00047	SSF47113	cd00076	Reactome: R-HSA-606279	NA	NA	PR00623	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000005.1-processed-gene-4.0-mRNA-1	NA	NA	PTHR42973:SF21;PTHR42973	IPR036318	GO:0050660;GO:0016491;GO:0055114;GO:0071949	PF08031;PF01565	G3DSA:3.40.462.20;G3DSA:3.30.465.40	NA	NA	PS51387	NA	NA	SSF56176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-41.27-mRNA-1	mobidb-lite	NA	PTHR24031:SF78;PTHR24031	IPR014001	GO:0003676;GO:0005524	PF00271;PF00270	G3DSA:3.40.50.300	NA	NA	PS51192;PS51194;PS51195	SM00487;SM00490	PS00039	SSF52540	cd00079;cd00268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-44.27-mRNA-1	NA	NA	PTHR11742;PTHR11742:SF47	IPR036026	GO:0004571;GO:0005509;GO:0016020	PF01532	NA	TMhelix	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	SSF48225	NA	NA	NA	NA	PR00747	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-0.4-mRNA-1	NA	NA	PTHR23502;PTHR23502:SF68	IPR020846	GO:0016021;GO:0055085	PF07690	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS50850	NA	NA	SSF103473	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-18.29-mRNA-1	mobidb-lite	Coil	PTHR44220	IPR035979	GO:0003676	PF00076	G3DSA:3.30.70.330	NA	NA	PS50102	SM00360	NA	SSF54928	cd12568;cd12320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-33.5-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	TMhelix	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-16.50-mRNA-1	NA	Coil	PTHR10404:SF64;PTHR10404	IPR007365	NA	PF04253;PF04389;PF02225	G3DSA:3.50.30.30;G3DSA:1.20.930.40;G3DSA:3.40.630.10	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	SSF47672;SSF52025;SSF53187	cd08022;cd02121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-34.58-mRNA-1	mobidb-lite	NA	PTHR14969:SF28;PTHR14969	IPR036938	NA	PF01569	G3DSA:1.20.144.10	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	SM00014	NA	SSF48317	cd03388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000009.1-processed-gene-0.6-mRNA-1	NA	NA	PTHR32361;PTHR32361:SF12	IPR017927	GO:0016491;GO:0055114	PF08030;PF01794;PF08022	G3DSA:3.40.50.80	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS51384	NA	NA	SSF63380;SSF52343	cd06186	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00052;SFLDG01168	NA
maker-NQYS01000001.1-augustus-gene-52.14-mRNA-1	mobidb-lite	NA	PTHR42861:SF26;PTHR42861	IPR004014	GO:0008553;GO:0016021;GO:0120029;GO:0000166	PF00122;PF00690;PF00702	G3DSA:3.40.1110.10;G3DSA:2.60.120.1500;G3DSA:1.20.1110.10	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	SM00831	PS00154	SSF56784;SSF81653;SSF81665	cd02076	Reactome: R-HSA-936837	NA	NA	PR00119;PR00120	TIGR01647;TIGR01494	NA	NA	NA	SFLDG00002;SFLDF00027	NA
maker-NQYS01000008.1-augustus-gene-4.30-mRNA-1	mobidb-lite	NA	PTHR10963:SF28;PTHR10963	IPR000757	GO:0004553;GO:0005975	PF00722	G3DSA:2.60.120.200	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS51762	NA	NA	SSF49899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-21.7-mRNA-1	mobidb-lite	NA	PTHR13718:SF79;PTHR13718	IPR013810	GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0015935	PF00333;PF03719	G3DSA:3.30.230.10;G3DSA:3.30.160.770	NA	NA	PS50881	NA	PS00585	SSF54768;SSF54211	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-3214858|Reactome: R-HSA-6790901|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-8876725|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	TIGR01020	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-10.23-mRNA-1	mobidb-lite	NA	PTHR10322;PTHR10322:SF23	IPR017964	GO:0000166;GO:0003676;GO:0003887;GO:0003677;GO:0004252;GO:0016021	PF00136;PF03104;PF01694;PF14260	G3DSA:1.10.132.60;G3DSA:3.90.1600.10;G3DSA:3.30.342.10;G3DSA:3.30.420.10;G3DSA:1.20.1540.10;G3DSA:1.10.287.690	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	SM00486	PS00116	SSF144091;SSF53098;SSF56672	cd05533;cd05777	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7	NA	NA	PR00106	TIGR00592	NA	NA	NA	NA	NA
augustus_masked-NQYS01000006.1-processed-gene-9.19-mRNA-1	NA	NA	PTHR12265:SF0;PTHR12265	IPR008547	NA	PF05705	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-26.38-mRNA-1	mobidb-lite	Coil	PTHR10799:SF868;PTHR10799	IPR027417	GO:0003677;GO:0005524;GO:0005634;GO:0006281;GO:0006338;GO:0006351;GO:0016887;GO:0031011	PF13892;PF00271;PF00176	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	NA	NA	PS51194;PS51192;PS51413	SM00490;SM00487	NA	SSF52540	cd00046;cd00079	Reactome: R-HSA-5689603|Reactome: R-HSA-5696394	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-39.30-mRNA-1	mobidb-lite	NA	PTHR11814:SF180;PTHR11814	IPR002645	GO:0008272;GO:0015116;GO:0016021;GO:0008271;GO:0016020;GO:0055085	PF00916;PF01740	G3DSA:3.30.750.24	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PS50801	NA	NA	SSF52091	cd07042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-19.42-mRNA-1	mobidb-lite	Coil	PTHR12460;PTHR12460:SF0	IPR006903	NA	PF04818	G3DSA:1.25.40.90	NA	NA	PS51391	SM00582	NA	SSF48464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000009.1-augustus-gene-4.14-mRNA-1	mobidb-lite	Coil	PTHR23168	IPR008672	GO:0007094	PF05557	NA	NA	NA	NA	NA	NA	SSF75704	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-20.27-mRNA-1	mobidb-lite	NA	PTHR19853;PTHR19853:SF0	IPR001680	GO:0005515	PF00400;PF04003	G3DSA:2.130.10.10	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PS50082;PS50294	SM00320	PS00678	SSF50978	cd00200	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	PR00320	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-38.36-mRNA-1	NA	NA	PTHR24287;PTHR24287:SF5	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	G3DSA:1.10.630.10	TMhelix	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	PS00086	SSF48264	NA	NA	SignalP-TM	NA	PR00463;PR00385	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-25.27-mRNA-1	NA	NA	PTHR23500:SF340;PTHR23500	IPR020846	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	PF00083	G3DSA:1.20.1250.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PS50850	NA	PS00216;PS00217	SSF103473	cd06174	Reactome: R-HSA-189200	NA	NA	PR00171	TIGR00879	NA	NA	NA	NA	NA
