Gene	MobiDBLite	Phobius	Gene3D	interpro	ProSiteProfiles	Pfam	PANTHER	SUPERFAMILY	CDD	GO	PATHWAY	Coils	ProDom	SMART	TMHMM	ProSitePatterns	SignalP_GRAM_NEGATIVE	SignalP_EUK	SignalP_GRAM_POSITIVE	SFLD	PRINTS	Hamap	PIRSF	TIGRFAM
maker-NQYQ01000007.1-augustus-gene-7.29-mRNA-1	mobidb-lite	NA	NA	IPR024774	NA	PF12814	PTHR28190;PTHR28190:SF2	NA	NA	GO:0005515;GO:0005543;GO:0005938;GO:0032065	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000017.1-processed-gene-2.16-mRNA-1	mobidb-lite	NA	G3DSA:2.130.10.10	IPR001680	PS50082;PS50294	PF00400;PF09384	PTHR19924;PTHR19924:SF26	SSF50978	NA	GO:0005515;GO:0005730;GO:0006364	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	SM00320	NA	PS00678	NA	NA	NA	NA	PR00320	NA	NA	NA
maker-NQYQ01000003.1-augustus-gene-16.19-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PTHR33048	NA	NA	NA	NA	Coil	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000025.1-processed-gene-1.7-mRNA-1	mobidb-lite	NA	G3DSA:3.30.200.20;G3DSA:1.10.472.10;G3DSA:1.10.510.10;G3DSA:1.20.5.650	IPR000812	NA	PF07741;PF00382	PTHR11618;PTHR11618:SF4	SSF56112;SSF47954	cd00043	GO:0006355;GO:0070897;GO:0017025;GO:0000126;GO:0000995;GO:0006383	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066	Coil	NA	SM00385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000001.1-processed-gene-5.33-mRNA-1	mobidb-lite	NA	G3DSA:3.50.50.60	IPR018554	NA	PF09421;PF07156;PF13450	PTHR42923;PTHR42923:SF9	SSF51905	NA	GO:0005634;GO:0005737;GO:0006355;GO:0007623;GO:0016670;GO:0030328;GO:0055114	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000044.1-processed-gene-0.28-mRNA-1	NA	NA	G3DSA:3.40.50.300	IPR034739	NA	PF00580	PTHR11070:SF22;PTHR11070	SSF52540	NA	GO:0005524;GO:0003677;GO:0004003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000002.1-augustus-gene-13.16-mRNA-1	mobidb-lite	NA	G3DSA:3.30.70.330	IPR000504	PS50102	PF00076	PTHR44220	SSF54928	cd12320;cd12568	GO:0003676	NA	Coil	NA	SM00360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000014.1-processed-gene-0.13-mRNA-1	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	G3DSA:3.10.450.30	IPR000026	NA	PF00545	PTHR42104	SSF53933	cd00606	GO:0003723;GO:0004521;GO:0004540	NA	NA	NA	NA	TMhelix	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	PIRSF037430	NA
augustus_masked-NQYQ01000028.1-processed-gene-1.43-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
maker-NQYQ01000001.1-augustus-gene-21.3-mRNA-1	mobidb-lite	NA	G3DSA:2.130.10.10	IPR015048	PS50294;PS50082	PF08953;PF00400;PF16300	PTHR10856:SF0;PTHR10856	SSF50978	NA	GO:0005515	NA	Coil	NA	SM01167;SM01166;SM00320	NA	PS00678	NA	NA	NA	NA	PR00320	NA	NA	NA
maker-NQYQ01000025.1-augustus-gene-2.3-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.970;G3DSA:3.40.50.1220	IPR012001	NA	PF02776;PF02775;PF00205	PTHR18968:SF13;PTHR18968	SSF52518;SSF52467	cd02015;cd07035	GO:0030976;GO:0003824;GO:0000287;GO:0003984;GO:0009082;GO:0050660	KEGG: 00290+2.2.1.6|KEGG: 00650+2.2.1.6|KEGG: 00660+2.2.1.6|KEGG: 00770+2.2.1.6|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5938|MetaCyc: PWY-5939|MetaCyc: PWY-6389|MetaCyc: PWY-7111	NA	NA	NA	NA	PS00187	NA	NA	SignalP-TM	NA	NA	NA	NA	TIGR00118
augustus_masked-NQYQ01000031.1-processed-gene-1.60-mRNA-1	mobidb-lite	NA	G3DSA:1.10.20.10	IPR003195	NA	PF02269	PTHR11380;PTHR11380:SF5	SSF47113	cd07978	GO:0006366;GO:0046982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000004.1-augustus-gene-2.8-mRNA-1	mobidb-lite	NA	NA	IPR039896	NA	PF07808	PTHR12765	NA	NA	GO:0007094;GO:0005634	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000002.1-augustus-gene-2.7-mRNA-1	NA	NA	G3DSA:3.30.750.160;G3DSA:3.90.79.10	IPR015797	PS51462	PF15916;PF00293	PTHR13622:SF10;PTHR13622	SSF55811	cd03676	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000022.1-processed-gene-3.35-mRNA-1	NA	NA	NA	NA	NA	NA	PTHR38790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000009.1-processed-gene-5.31-mRNA-1	mobidb-lite	NA	G3DSA:2.130.10.10	IPR017986	PS50294;PS50082	PF09453;PF00400;PF07569	PTHR13831	SSF50978;SSF63829	cd00200	GO:0005515;GO:0006355;GO:0005634;GO:0006325;GO:0006351	Reactome: R-HSA-2559584	NA	NA	SM00320	NA	PS00678	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000005.1-augustus-gene-5.28-mRNA-1	mobidb-lite	NA	NA	IPR015797	PS51462	PF00293	PTHR12992:SF0;PTHR12992	SSF55811	cd03426	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000005.1-augustus-gene-7.27-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.25.10.10;G3DSA:1.10.1670.10	IPR015016	NA	PF08920;PF07934	PTHR12097	SSF48371;SSF55945	NA	GO:0000245;GO:0003729;GO:0003684;GO:0006289;GO:0008534	Reactome: R-HSA-5250924|Reactome: R-HSA-72163|Reactome: R-HSA-72165	Coil	NA	SM01349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000005.1-augustus-gene-0.27-mRNA-1	NA	NA	G3DSA:3.40.1380.10;G3DSA:1.10.287.80	IPR000131	NA	PF00231	PTHR11693:SF22;PTHR11693	SSF52943	cd12151	GO:0015986;GO:0045261;GO:0046933	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	NA	NA	NA	NA	PS00153	NA	NA	SignalP-TM	NA	PR00126	NA	PIRSF039089	TIGR01146
augustus_masked-NQYQ01000004.1-processed-gene-4.21-mRNA-1	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.1820	IPR029058	NA	PF00561	PTHR43798	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
maker-NQYQ01000011.1-augustus-gene-5.1-mRNA-1	mobidb-lite	NA	NA	IPR003114	PS51207	PF02194	PTHR22999;PTHR22999:SF23	NA	NA	NA	NA	NA	PD039565	SM00313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000001.1-augustus-gene-21.14-mRNA-1	mobidb-lite	NA	G3DSA:1.20.920.10;G3DSA:1.20.5.170;G3DSA:3.40.50.300;G3DSA:3.40.50.10810	IPR036427	PS51192;PS50014;PS51204;PS51194;PS51666	PF14619;PF00176;PF07529;PF00271;PF08880;PF00439	PTHR10799;PTHR10799:SF836	SSF52540;SSF47370	cd00046;cd00079;cd04369	GO:0005515;GO:0042393;GO:0005524;GO:0005634;GO:0006355	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	Coil	NA	SM00951;SM00297;SM01314;SM00490;SM00487	NA	NA	NA	NA	NA	NA	PR00503	NA	NA	NA
maker-NQYQ01000020.1-augustus-gene-0.3-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	IPR017853	NA	PF00704	PTHR11177;PTHR11177:SF182	SSF51445	NA	GO:0005975;GO:0008061	NA	NA	NA	SM00636	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
maker-NQYQ01000005.1-augustus-gene-5.42-mRNA-1	mobidb-lite	NA	NA	IPR033487	NA	PF08598	PTHR21964:SF25;PTHR21964	NA	NA	NA	NA	Coil	NA	SM01401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000014.1-processed-gene-1.0-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	IPR007513	NA	PF04419	PTHR39470	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000001.1-processed-gene-0.42-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.25.40.180	IPR003890	PS51366	PF02847;PF02854	PTHR18034:SF4;PTHR18034	SSF48371	NA	GO:0003723;GO:0005515	NA	NA	NA	SM00543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000027.1-augustus-gene-1.5-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR005829	PS50850	PF00083	PTHR23503;PTHR23503:SF8	SSF103473	cd06174	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0016020	Reactome: R-HSA-189200	NA	NA	NA	TMhelix	PS00217	NA	NA	NA	NA	PR00171	NA	NA	NA
augustus_masked-NQYQ01000006.1-processed-gene-6.10-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:1.25.40.20;G3DSA:2.60.40.10	IPR002909	PS50297;PS50088	PF01833;PF12796	PTHR24148;PTHR24148:SF17	SSF81296;SSF48403	cd00102;cd00204	GO:0005515	NA	Coil	NA	SM00429;SM00248	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000005.1-augustus-gene-1.34-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:2.30.30.490;G3DSA:3.30.40.10;G3DSA:1.10.10.60	IPR001005	PS51156;PS51038;PS51293;PS51805	PF13832;PF01426	PTHR10629;PTHR10629:SF35	SSF46689	NA	GO:0003682;GO:0003677	NA	Coil	NA	SM00717;SM00249;SM00439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000050.1-processed-gene-0.37-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:4.10.240.10	IPR036864	PS50048	PF00172	PTHR31845;PTHR31845:SF17	SSF57701	cd00067;cd12148	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	SM00066	NA	PS00463	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000028.1-augustus-gene-0.11-mRNA-1	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:1.20.5.260;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:2.70.150.10;G3DSA:1.20.1110.10	IPR001757	NA	PF05365;PF00689;PF00690;PF00122;PF13246	PTHR24093:SF346;PTHR24093	SSF81514;SSF56784;SSF81665;SSF81653;SSF81660	cd02081	GO:0016021;GO:0005388;GO:0005524;GO:0016020;GO:0070588;GO:0005743;GO:0005750;GO:0006122;GO:0000166	Reactome: R-HSA-936837	NA	NA	NA	TMhelix	PS00154	NA	NA	NA	SFLDF00027;SFLDS00003	PR00119	NA	NA	TIGR01494;TIGR01517
augustus_masked-NQYQ01000022.1-processed-gene-0.5-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000015.1-processed-gene-2.21-mRNA-1	mobidb-lite	NA	G3DSA:1.10.10.2030	IPR036236	NA	PF10357	PTHR12805	SSF57667	NA		Reactome: R-HSA-8876725	NA	NA	SM01253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000022.1-augustus-gene-0.18-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR005178	NA	PF03619	PTHR23423:SF34;PTHR23423	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000012.1-augustus-gene-2.36-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.10190	IPR001357	PS50172	PF00533;PF12738	PTHR13561;PTHR13561:SF20	SSF52113	cd00027	NA	NA	NA	NA	SM00292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000001.1-processed-gene-6.20-mRNA-1	mobidb-lite	NA	G3DSA:1.25.40.10	IPR011990	PS50236	PF00637	PTHR12616;PTHR12616:SF1	SSF50978	NA	GO:0005515;GO:0006886;GO:0016192	NA	NA	NA	SM00299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000023.1-processed-gene-2.5-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR005351	NA	PF03669	PTHR28038	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000016.1-augustus-gene-2.33-mRNA-1	mobidb-lite	NA	NA	IPR037393	NA	PF09073	PTHR23325	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000019.1-processed-gene-1.19-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	G3DSA:1.10.10.60	IPR009057	NA	PF15963	PTHR22929	SSF46689	cd00167	GO:0003677;GO:0000126;GO:0000995;GO:0006383	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	SM00717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000005.1-processed-gene-12.8-mRNA-1	mobidb-lite	NA	G3DSA:3.30.40.10	IPR001965	NA	NA	NA	SSF57903	cd15489	NA	NA	NA	NA	SM00249	NA	PS01359	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000047.1-processed-gene-0.43-mRNA-1	mobidb-lite	NA	NA	IPR025066	NA	PF13300	PTHR15885	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000018.1-augustus-gene-4.68-mRNA-1	mobidb-lite	NA	G3DSA:1.25.40.180	IPR003890	NA	PF12152;PF02854	PTHR23253:SF9;PTHR23253	SSF48371;SSF101489	NA	GO:0003723;GO:0005515	NA	Coil	NA	SM00543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000073.1-augustus-gene-0.25-mRNA-1	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	G3DSA:3.40.50.300	IPR005225	PS51419	PF00071	PTHR24073;PTHR24073:SF556	SSF52540	cd01862	GO:0005525;GO:0003924	NA	NA	NA	SM00173;SM00176;SM00174;SM00175	NA	NA	NA	NA	NA	NA	PR00449	NA	NA	TIGR00231
maker-NQYQ01000001.1-augustus-gene-2.36-mRNA-1	NA	NA	G3DSA:3.40.50.200	IPR036852	NA	PF00082	PTHR43806;PTHR43806:SF20	SSF52743	NA	GO:0004252;GO:0006508	NA	NA	NA	NA	NA	PS00138	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000004.1-augustus-gene-0.9-mRNA-1	mobidb-lite	NA	NA	IPR017953	PS51383	PF01256	PTHR12592:SF0;PTHR12592	SSF53613	cd01171	GO:0052855	Reactome: R-HSA-197264	NA	NA	NA	NA	PS01050	NA	NA	NA	NA	NA	MF_01965	NA	TIGR00196
maker-NQYQ01000010.1-augustus-gene-6.4-mRNA-1	mobidb-lite	NA	G3DSA:2.10.110.10	IPR001781	PS50023	PF00412	PTHR24216;PTHR24216:SF8	SSF57716	cd08368	NA	NA	NA	NA	SM00132	NA	PS00478	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000018.1-augustus-gene-0.30-mRNA-1	mobidb-lite	NA	G3DSA:1.25.40.10	IPR013026	PS50293;PS50005	PF12895;PF13432	PTHR12558:SF13;PTHR12558	SSF48452	NA	GO:0005515	NA	NA	NA	SM00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000004.1-augustus-gene-3.0-mRNA-1	mobidb-lite	NA	G3DSA:3.10.120.10;G3DSA:3.20.20.70	IPR000262	PS51349;PS50255	PF01070;PF00173	PTHR10578;PTHR10578:SF82	SSF51395;SSF55856	cd02922	GO:0016491;GO:0003824;GO:0020037	Reactome: R-HSA-9033241	NA	NA	SM01117	NA	PS00191	NA	NA	NA	NA	PR00363	NA	NA	NA
augustus_masked-NQYQ01000001.1-processed-gene-18.22-mRNA-1	mobidb-lite	NA	G3DSA:1.20.120.1190;G3DSA:3.40.50.300	IPR010674	PS51710	PF06858;PF17835;PF08155	PTHR11702:SF4;PTHR11702	SSF52540	cd01897	GO:0005525;GO:0005730	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	PR00326	NA	PIRSF038919	NA
maker-NQYQ01000023.1-augustus-gene-2.66-mRNA-1	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	G3DSA:1.10.575.10	IPR003154	NA	PF02265	PTHR33146	SSF48537	cd11010	GO:0003676;GO:0004519;GO:0006308;GO:0016788	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
maker-NQYQ01000006.1-augustus-gene-8.24-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20	IPR020846	PS50850	PF07690	PTHR23502;PTHR23502:SF38	SSF103473	cd06174	GO:0005215;GO:0016021;GO:0055085	NA	NA	NA	NA	TMhelix	PS00216	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000003.1-augustus-gene-16.17-mRNA-1	mobidb-lite	NA	G3DSA:3.30.900.10	IPR036570	NA	PF10033	PTHR13430:SF4;PTHR13430	NA	NA	GO:0006914;GO:1990316;GO:0000045	Reactome: R-HSA-1632852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000001.1-processed-gene-10.32-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PTHR28019;PTHR28019:SF4	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000008.1-augustus-gene-4.1-mRNA-1	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:3.90.1750.10;G3DSA:3.30.2160.10;G3DSA:3.30.2410.10	IPR000569	PS50237	PF00632	PTHR11254;PTHR11254:SF400	SSF56204	cd00078	GO:0004842	MetaCyc: PWY-7511|Reactome: R-HSA-983168	NA	NA	SM00119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000027.1-augustus-gene-2.41-mRNA-1	mobidb-lite	NA	G3DSA:1.10.510.10;G3DSA:1.25.10.10	IPR011009	PS50011	PF00069	PTHR24361;PTHR24361:SF433	SSF56112;SSF48371	cd06627	GO:0004672;GO:0005524;GO:0006468	NA	NA	NA	SM00220	NA	PS00108;PS00107	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000010.1-augustus-gene-7.46-mRNA-1	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR013657	NA	PF08449	PTHR10778;PTHR10778:SF4	SSF103481	NA	GO:0055085	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00803
augustus_masked-NQYQ01000024.1-processed-gene-1.26-mRNA-1	mobidb-lite	NA	G3DSA:2.40.50.140	IPR040184	NA	PF09329	PTHR13454	NA	NA	GO:0003690;GO:0003697;GO:0006270;GO:0005634;GO:0006260	Reactome: R-HSA-176187|Reactome: R-HSA-68962	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000001.1-augustus-gene-7.10-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.90.550.50	IPR003378	NA	PF02434	PTHR23033:SF34;PTHR23033	NA	NA	GO:0016020;GO:0016757	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000005.1-augustus-gene-9.40-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000022.1-processed-gene-2.22-mRNA-1	mobidb-lite	NA	NA	IPR029021	PS50054	PF00782	PTHR10159:SF481;PTHR10159	SSF52799	NA	GO:0006470;GO:0008138;GO:0016311	NA	Coil	NA	SM00195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000002.1-augustus-gene-18.48-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR012578	NA	PF08058	PTHR28003	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000003.1-processed-gene-3.31-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.90.550.10	IPR029044	NA	PF09258	PTHR45576	SSF53448	NA	GO:0016021;GO:0016757	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000011.1-augustus-gene-2.4-mRNA-1	mobidb-lite	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	IPR011009	PS50011	PF00069	PTHR44844	SSF56112	cd14096	GO:0004672;GO:0006468;GO:0005524	NA	NA	NA	SM00220	NA	PS00108	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000038.1-processed-gene-1.25-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	G3DSA:2.60.34.10;G3DSA:1.20.1270.10;G3DSA:3.90.640.10;G3DSA:3.30.420.40	IPR029047	NA	PF00012	PTHR19375:SF215;PTHR19375	SSF53067;SSF100934;SSF100920	cd10241		Reactome: R-HSA-3371453	NA	NA	NA	TMhelix	PS00329;PS00297	NA	SignalP-noTM	SignalP-TM	NA	PR00301	NA	NA	NA
maker-NQYQ01000014.1-augustus-gene-0.3-mRNA-1	NA	NA	G3DSA:1.50.10.10	IPR010905	NA	PF07470	PTHR36845	SSF48208	NA	GO:0003824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000005.1-processed-gene-10.13-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	G3DSA:1.20.1540.10	IPR022764	NA	PF01694	PTHR43731;PTHR43731:SF8	SSF144091	NA	GO:0004252;GO:0016021	NA	Coil	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000014.1-augustus-gene-1.29-mRNA-1	mobidb-lite	NA	NA	IPR000237	PS50913	PF10375	PTHR18921	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
