Gene	interpro	GO	PATHWAY	Pfam	MobiDBLite	Gene3D	PANTHER	Coils	ProSiteProfiles	SMART	ProSitePatterns	CDD	SUPERFAMILY	Phobius	TMHMM	PRINTS	ProDom	TIGRFAM	Hamap	SignalP_GRAM_POSITIVE	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD
maker-NODE_1_length_796642_cov_41.286555-augustus-gene-6.42-mRNA-1	IPR004217	GO:0005758;GO:0072321	Reactome: R-HSA-1268020	PF02953	NA	G3DSA:1.10.287.810	PTHR19338:SF4;PTHR19338	NA	NA	NA	NA	NA	SSF144122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_426693_cov_41.447760-processed-gene-0.9-mRNA-1	IPR011050	NA	NA	PF12708	NA	G3DSA:2.160.20.10	PTHR31375:SF6;PTHR31375	NA	NA	NA	NA	NA	SSF51126	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	SignalP-noTM	NA
maker-NODE_257_length_48070_cov_42.500052-augustus-gene-0.6-mRNA-1	IPR024761		Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066	PF12657;PF12660	mobidb-lite	NA	PTHR15496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_40_length_214900_cov_36.733984-augustus-gene-1.23-mRNA-1	IPR017927	GO:0016491;GO:0055114	NA	PF08030;PF08022;PF01794	mobidb-lite	G3DSA:3.40.50.80	PTHR11972;PTHR11972:SF129	NA	PS51384	NA	NA	cd06186	SSF63380	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00052;SFLDG01168
maker-NODE_403_length_17849_cov_41.843133-augustus-gene-0.6-mRNA-1	IPR015943	GO:0005515	NA	NA	NA	G3DSA:2.130.10.10	PTHR22850;PTHR22850:SF17	NA	NA	NA	NA	NA	SSF50978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_133_length_103293_cov_45.458785-augustus-gene-0.10-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd12087	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_255774_cov_46.187411-augustus-gene-1.42-mRNA-1	IPR005164	GO:0000256;GO:0004037	KEGG: 00230+3.5.3.4|MetaCyc: PWY-5697	PF03561	mobidb-lite	G3DSA:2.60.120.260	PTHR12045	NA	NA	NA	NA	NA	SSF49785	NA	NA	NA	NA	NA	MF_00813	NA	PIRSF016516	NA	NA	NA
maker-NODE_23_length_255774_cov_46.187411-augustus-gene-1.35-mRNA-1	IPR002048	GO:0005509;GO:0005515	NA	PF12763;PF00627	mobidb-lite	G3DSA:1.10.8.10;G3DSA:1.10.238.10	PTHR11216;PTHR11216:SF61	Coil	PS50222;PS50031;PS50030	SM00165;SM00027;SM00054	NA	cd00052;cd14270	SSF47473;SSF46934	NA	NA	NA	PD936484	NA	NA	NA	NA	NA	NA	NA
maker-NODE_57_length_181680_cov_47.276316-augustus-gene-0.56-mRNA-1	NA	NA	NA	NA	NA	NA	PTHR38850	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	SignalP-noTM	NA
augustus_masked-NODE_229_length_56487_cov_39.177129-processed-gene-0.2-mRNA-1	IPR000326	GO:0016787	Reactome: R-HSA-446199	PF01569	NA	G3DSA:1.20.144.10	PTHR11247:SF1;PTHR11247	NA	NA	SM00014	NA	cd03382	SSF48317	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_21_length_277966_cov_46.276628-processed-gene-1.41-mRNA-1	IPR005745	GO:0003735;GO:0006412;GO:0015934;GO:0005840	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00238	NA	G3DSA:2.40.150.20	PTHR11761:SF3;PTHR11761	NA	NA	SM01374	PS00049	NA	SSF50193	NA	NA	NA	NA	TIGR01067	MF_01367	NA	NA	NA	NA	NA
augustus_masked-NODE_72_length_162633_cov_39.346289-processed-gene-0.25-mRNA-1	NA	NA	NA	NA	NA	NA	PTHR38049;PTHR38049:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_365_length_22948_cov_43.774506-processed-gene-0.1-mRNA-1	IPR036188	GO:0016491;GO:0055114;GO:0016117	NA	PF01593	NA	G3DSA:3.50.50.60	PTHR43734:SF1;PTHR43734	NA	NA	NA	PS00982	NA	SSF51905	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	TIGR02734	NA	NA	NA	NA	NA	NA
maker-NODE_114_length_116814_cov_45.725274-augustus-gene-0.1-mRNA-1	IPR036259	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0005315;GO:0006817	NA	PF00083	mobidb-lite	NA	PTHR24064:SF325;PTHR24064	NA	PS50850	NA	PS00217	cd06174	SSF103473	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	TIGR00887	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_70_length_166446_cov_42.056253-processed-gene-0.31-mRNA-1	IPR009057	GO:0003677;GO:0000126;GO:0000995;GO:0006383	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	PF15963	mobidb-lite	G3DSA:1.10.10.60	PTHR22929	Coil	NA	SM00717	NA	cd00167	SSF46689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_263_length_45321_cov_49.174116-augustus-gene-0.3-mRNA-1	IPR011990	GO:0005515	NA	NA	mobidb-lite	G3DSA:1.25.40.10	PTHR44149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NODE_20_length_286098_cov_42.192198-augustus-gene-1.41-mRNA-1	IPR036305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SSF48097	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_75_length_158243_cov_47.703034-processed-gene-0.26-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_191_length_72573_cov_45.777724-augustus-gene-0.9-mRNA-1	IPR016095	GO:0003723;GO:0003735;GO:0006412;GO:0015934	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00687	NA	G3DSA:3.40.50.790;G3DSA:3.30.190.20	PTHR23105:SF101;PTHR23105	NA	NA	NA	PS01199	cd00403	SSF56808	NA	NA	NA	NA	NA	NA	NA	PIRSF002155	NA	NA	NA
augustus_masked-NODE_221_length_60925_cov_46.384404-processed-gene-0.14-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_448038_cov_36.051550-augustus-gene-3.3-mRNA-1	IPR007275	GO:0003723	NA	PF04146	mobidb-lite	G3DSA:3.10.590.10	PTHR12357;PTHR12357:SF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_179_length_77029_cov_41.516046-processed-gene-0.15-mRNA-1	IPR036188	NA	NA	NA	mobidb-lite	G3DSA:3.50.50.60	PTHR43098:SF2;PTHR43098	Coil	NA	NA	NA	NA	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_277966_cov_46.276628-augustus-gene-0.0-mRNA-1	IPR018812	NA	NA	PF10307	mobidb-lite	NA	PTHR42677	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_148_length_90894_cov_41.017220-augustus-gene-0.0-mRNA-1	IPR015500	GO:0004252;GO:0006508	NA	PF00082	NA	G3DSA:3.40.50.200	PTHR43806:SF26;PTHR43806	NA	NA	NA	PS00138;PS00136;PS00137	cd07489	SSF52743	NA	NA	PR00723	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_277_length_41575_cov_38.709733-processed-gene-0.5-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_75_length_158243_cov_47.703034-processed-gene-0.24-mRNA-1	IPR019413	NA	NA	PF10302;PF13373	mobidb-lite	G3DSA:3.10.20.90	PTHR12943:SF36;PTHR12943	NA	NA	NA	NA	NA	SSF54236	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_137_length_96469_cov_42.895798-processed-gene-0.1-mRNA-1	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0005515	NA	PF00069	mobidb-lite	G3DSA:1.10.510.10	PTHR22967:SF57;PTHR22967	Coil	PS50011	SM00220;SM00320	PS00108	cd14037	SSF56112;SSF50978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_796642_cov_41.286555-processed-gene-0.8-mRNA-1	IPR002642	GO:0004620;GO:0009395	Reactome: R-HSA-1482788|Reactome: R-HSA-1482801|Reactome: R-HSA-1482839|Reactome: R-HSA-1482922|Reactome: R-HSA-1483115	PF01735	mobidb-lite	G3DSA:3.40.1090.10	PTHR10728:SF40;PTHR10728	NA	PS51210	SM00022	NA	NA	SSF52151	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_152_length_89039_cov_48.121019-processed-gene-0.27-mRNA-1	IPR008979	NA	NA	PF07738	mobidb-lite	G3DSA:2.60.120.260	PTHR12911;PTHR12911:SF8	NA	PS51469	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_206_length_65716_cov_46.116895-augustus-gene-0.18-mRNA-1	IPR039632	NA	NA	NA	mobidb-lite	NA	PTHR31965	NA	NA	NA	NA	NA	SSF103481	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_96_length_135926_cov_42.146150-processed-gene-0.2-mRNA-1	IPR011004	NA	NA	PF00132	NA	NA	PTHR13061:SF5;PTHR13061	NA	NA	NA	NA	cd03359	SSF51161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_115_length_116432_cov_43.239947-processed-gene-0.28-mRNA-1	IPR039164	GO:0061630;GO:0071596	MetaCyc: PWY-7511	NA	mobidb-lite	NA	PTHR21497;PTHR21497:SF40	NA	NA	NA	NA	NA	SSF46785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_155_length_86923_cov_44.801800-augustus-gene-0.13-mRNA-1	IPR030400	GO:0006508;GO:0004252;GO:0008236	Reactome: R-HSA-381038	PF09286	mobidb-lite	NA	PTHR14218;PTHR14218:SF19	NA	PS51695	SM00944	NA	cd04056;cd11377	SSF54897;SSF52743	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA
augustus_masked-NODE_148_length_90894_cov_41.017220-processed-gene-0.16-mRNA-1	IPR013929	GO:0006366	NA	PF08620;PF08621	mobidb-lite	NA	PTHR21483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_106_length_125531_cov_40.860539-processed-gene-0.6-mRNA-1	IPR027417	GO:0032126;GO:0070941	NA	NA	mobidb-lite	NA	PTHR10039:SF5;PTHR10039	NA	NA	NA	NA	NA	SSF52540	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_142_length_93137_cov_45.150048-augustus-gene-0.30-mRNA-1	IPR032880	GO:0016020	NA	PF13967;PF02714;PF14703	mobidb-lite	NA	PTHR13018;PTHR13018:SF83	Coil	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_196_length_71565_cov_46.736499-processed-gene-0.29-mRNA-1	IPR013256	NA	NA	PF08243	mobidb-lite	NA	PTHR22691:SF8;PTHR22691	Coil	NA	SM00784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_796642_cov_41.286555-processed-gene-6.8-mRNA-1	IPR006694	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	PF04116	NA	NA	PTHR11863:SF40;PTHR11863	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_146_length_92068_cov_46.661892-augustus-gene-0.25-mRNA-1	IPR011990	GO:0005515	KEGG: 00514+2.4.1.255|MetaCyc: PWY-7437|Reactome: R-HSA-3214847|Reactome: R-HSA-5689603	PF13844;PF13181;PF13432	mobidb-lite	G3DSA:1.25.40.10;G3DSA:3.40.50.2000;G3DSA:3.40.50.11380	PTHR44998	NA	PS50293;PS50005	SM00028	NA	NA	SSF48452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_308_length_34948_cov_47.186123-augustus-gene-0.4-mRNA-1	IPR013805	GO:0000774;GO:0006457;GO:0042803;GO:0051087	Reactome: R-HSA-1268020	PF01025	mobidb-lite	G3DSA:3.90.20.20;G3DSA:2.30.22.10	PTHR21237;PTHR21237:SF23	Coil	NA	NA	PS01071	cd00446	SSF58014;SSF51064	NA	NA	PR00773	NA	NA	MF_01151	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_323_length_30689_cov_44.130914-processed-gene-0.4-mRNA-1	IPR013958	GO:0007052;GO:0042729;GO:0072686;GO:0003677	NA	PF08649	mobidb-lite	G3DSA:1.20.58.1880;G3DSA:1.10.10.60	PTHR13992;PTHR13992:SF7	Coil	PS51293	SM00717	NA	cd00167	SSF46689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_27_length_244471_cov_38.850780-augustus-gene-1.2-mRNA-1	IPR001585	GO:0005975;GO:0003824	KEGG: 00030+2.2.1.2|MetaCyc: PWY-1861|MetaCyc: PWY-5723|Reactome: R-HSA-163754|Reactome: R-HSA-6791055|Reactome: R-HSA-6791462|Reactome: R-HSA-71336|Reactome: R-HSA-8950505	PF00923	NA	G3DSA:3.20.20.70	PTHR10683;PTHR10683:SF5	NA	NA	NA	NA	NA	SSF51569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_93_length_138598_cov_44.456897-augustus-gene-0.53-mRNA-1	IPR002794	GO:0016021	NA	PF01940	mobidb-lite	NA	PTHR13353;PTHR13353:SF5	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_329851_cov_42.081371-augustus-gene-0.12-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_158_length_84643_cov_48.230690-augustus-gene-0.0-mRNA-1	IPR023632	GO:0015986;GO:0045261;GO:0046933	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	PF00231	NA	G3DSA:1.10.287.80;G3DSA:3.40.1380.10	PTHR11693;PTHR11693:SF22	NA	NA	NA	PS00153	cd12151	SSF52943	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	PR00126	NA	TIGR01146	NA	SignalP-TM	PIRSF039089	NA	NA	NA
augustus_masked-NODE_276_length_41844_cov_46.921135-processed-gene-0.13-mRNA-1	IPR037701	GO:0017056;GO:0070762	NA	NA	mobidb-lite	NA	PTHR28206	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_68_length_169530_cov_40.815942-augustus-gene-0.31-mRNA-1	IPR001164	GO:0005096;GO:0005515	NA	PF01412	mobidb-lite	G3DSA:1.10.8.10;G3DSA:3.30.40.160	PTHR23180;PTHR23180:SF387	NA	PS50030;PS50115	SM00105	NA	NA	SSF46934;SSF57863	NA	NA	PR00405	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_222_length_60719_cov_47.140563-processed-gene-0.6-mRNA-1	IPR036259	NA	NA	NA	mobidb-lite	G3DSA:1.20.1250.20	PTHR23502;PTHR23502:SF76	Coil	NA	NA	NA	cd06174	SSF103473	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_317028_cov_42.556145-augustus-gene-0.16-mRNA-1	IPR022533	GO:0005743;GO:0009060;GO:0033617	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	PF12597	mobidb-lite	NA	PTHR31586	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF007871	NA	NA	NA
maker-NODE_11_length_386071_cov_40.578874-augustus-gene-1.11-mRNA-1	IPR005828	GO:0016021;GO:0022857;GO:0055085	NA	PF00083	mobidb-lite	G3DSA:1.20.1250.20	PTHR24064;PTHR24064:SF200	NA	PS50850	NA	NA	cd06174	SSF103473	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_386071_cov_40.578874-augustus-gene-0.3-mRNA-1	IPR022398	GO:0004252;GO:0006508	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	PF00082;PF05922	NA	G3DSA:3.40.50.200;G3DSA:3.30.70.80	PTHR43806;PTHR43806:SF25	NA	NA	NA	PS00137;PS00138;PS00136	cd04077	SSF52743;SSF54897	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	PR00723	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	SignalP-noTM	NA
maker-NODE_76_length_158028_cov_43.019804-augustus-gene-0.17-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_371_length_20573_cov_49.332290-augustus-gene-0.5-mRNA-1	IPR009000	GO:0003676;GO:0004813;GO:0005524;GO:0006419;GO:0000166;GO:0005737;GO:0004812;GO:0043039	KEGG: 00970+6.1.1.7	PF07973;PF01411	NA	G3DSA:3.30.54.20;G3DSA:3.30.980.10;G3DSA:3.30.930.10;G3DSA:2.40.30.130	PTHR11777	Coil	PS50860	SM00863	NA	cd00673	SSF50447;SSF101353;SSF55186;SSF55681	NA	NA	PR00980	NA	TIGR00344	MF_00036_B	NA	NA	NA	NA	NA
augustus_masked-NODE_376_length_20145_cov_48.063793-processed-gene-0.9-mRNA-1	IPR006164	GO:0003677;GO:0006303;GO:0016817;GO:0000723;GO:0003684;GO:0005634;GO:0006310;GO:0042162;GO:0043564	Reactome: R-HSA-164843|Reactome: R-HSA-1834949|Reactome: R-HSA-3270619|Reactome: R-HSA-5693571|Reactome: R-HSA-6798695	PF02735;PF08785;PF03731	NA	G3DSA:1.25.40.240;G3DSA:3.40.50.410;G3DSA:1.10.1600.10;G3DSA:2.40.290.10	PTHR12604;PTHR12604:SF4	NA	PS50234	SM00559	NA	cd00873	SSF101420;SSF100939;SSF53300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_105_length_125599_cov_46.022985-processed-gene-0.28-mRNA-1	IPR001878	GO:0003676;GO:0008270	NA	PF00098	NA	G3DSA:4.10.60.10	PTHR23002;PTHR23002:SF84	NA	PS50158	SM00343	NA	NA	SSF57756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_252914_cov_42.770862-augustus-gene-0.13-mRNA-1	IPR020846	NA	NA	NA	mobidb-lite	G3DSA:1.20.1250.20	PTHR43702;PTHR43702:SF6	NA	NA	NA	NA	cd06174	SSF103473	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_192_length_72282_cov_42.094796-augustus-gene-0.6-mRNA-1	IPR013116	GO:0009082;GO:0016491;GO:0055114;GO:0004455	KEGG: 00290+1.1.1.86|KEGG: 00770+1.1.1.86|MetaCyc: PWY-5103|MetaCyc: PWY-7111	PF07991;PF01450	NA	G3DSA:3.40.50.720;G3DSA:1.10.1040.10	PTHR21371:SF13;PTHR21371	NA	PS51850;PS51851	NA	NA	NA	SSF51735;SSF48179	NA	NA	NA	NA	TIGR00465	NA	NA	PIRSF000119	NA	NA	NA
augustus_masked-NODE_66_length_170454_cov_34.390649-processed-gene-0.13-mRNA-1	IPR036551	GO:0003824	Reactome: R-HSA-196783	PF02441	mobidb-lite	G3DSA:3.40.50.1950	PTHR14359	NA	NA	NA	NA	NA	SSF52507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_193_length_72035_cov_43.906937-processed-gene-0.2-mRNA-1	IPR001373	GO:0006511;GO:0031625	Reactome: R-HSA-8951664	PF00888;PF08672	mobidb-lite	G3DSA:1.10.10.10;G3DSA:1.10.10.2620	PTHR11932;PTHR11932:SF5	NA	PS50069	SM00182;SM01013	NA	NA	SSF46785;SSF75632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_87_length_145774_cov_43.447088-processed-gene-0.30-mRNA-1	IPR017144	NA	NA	NA	mobidb-lite	G3DSA:3.30.70.360;G3DSA:3.40.630.10	PTHR30575;PTHR30575:SF4	NA	NA	NA	NA	cd05672	SSF55031;SSF53187	NA	NA	NA	NA	NA	NA	NA	PIRSF037226	NA	NA	NA
maker-NODE_205_length_65867_cov_45.926240-augustus-gene-0.8-mRNA-1	IPR020683	GO:0005515	NA	PF12796	mobidb-lite	G3DSA:1.25.40.20	PTHR44206;PTHR44206:SF2	NA	PS50088;PS50297	SM00248	NA	cd00204	SSF48403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_223459_cov_41.673714-augustus-gene-0.2-mRNA-1	IPR017795	GO:0009820;GO:0016765	NA	PF11991	NA	NA	PTHR40627	NA	NA	NA	NA	cd13929	NA	NA	NA	NA	NA	TIGR03429	NA	NA	NA	NA	NA	SFLDS00036
augustus_masked-NODE_44_length_209490_cov_45.622388-processed-gene-1.44-mRNA-1	IPR012571	GO:0000001;GO:0005743;GO:0007005	NA	PF08118	NA	NA	PTHR31068;PTHR31068:SF0	Coil	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_25_length_251594_cov_40.499505-processed-gene-0.14-mRNA-1	IPR004327	GO:0019211	NA	PF03095	mobidb-lite	G3DSA:1.20.120.1150	PTHR10012;PTHR10012:SF5	NA	NA	NA	NA	cd04087	SSF140984	NA	NA	NA	NA	NA	NA	NA	PIRSF016325	NA	NA	NA
augustus_masked-NODE_60_length_174915_cov_41.669926-processed-gene-0.3-mRNA-1	IPR037231	GO:0005634;GO:0006334	NA	PF00956	mobidb-lite	G3DSA:3.30.1120.90	PTHR11875:SF49;PTHR11875	Coil	NA	NA	NA	NA	SSF143113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_235_length_54092_cov_44.363365-augustus-gene-0.0-mRNA-1	IPR011893	NA	NA	PF10262	mobidb-lite	NA	PTHR36417	NA	NA	NA	NA	NA	SSF52833	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
