Gene	MobiDBLite	TMHMM	interpro	GO	Pfam	Phobius	SUPERFAMILY	PANTHER	Gene3D	ProSitePatterns	PRINTS	SMART	ProSiteProfiles	CDD	Coils	TIGRFAM	PATHWAY	Hamap	SFLD	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	ProDom
augustus_masked-scaffold540-processed-gene-0.29-mRNA-1	mobidb-lite	NA	IPR009088	GO:0005672;GO:0006367	PF03153	NA	SSF50784;SSF47396	PTHR12694:SF8;PTHR12694	G3DSA:2.30.18.10;G3DSA:1.10.287.100	NA	NA	SM01371	NA	cd07976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold13-snap-gene-0.5-mRNA-1	mobidb-lite	TMhelix	IPR027815	GO:0016020	PF14703;PF13967;PF02714	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	PTHR13018;PTHR13018:SF5	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold3-augustus-gene-1.18-mRNA-1	mobidb-lite	TMhelix	IPR029044	GO:0000030;GO:0006486;GO:0016020	PF01793	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF53448	PTHR31121;PTHR31121:SF6	G3DSA:3.90.550.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold77-snap-gene-0.105-mRNA-1	mobidb-lite	NA	IPR005635	GO:0000070;GO:1902412	PF03941	NA	NA	PTHR13142	NA	NA	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-4615885|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA
maker-scaffold126-snap-gene-0.85-mRNA-1	mobidb-lite	TMhelix	IPR003689	GO:0016020;GO:0030001;GO:0046873;GO:0055085	PF02535	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	PTHR11040;PTHR11040:SF87	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold29-processed-gene-0.172-mRNA-1	mobidb-lite	TMhelix	IPR023271	GO:0015267;GO:0016020;GO:0055085	PF00230	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF81338	PTHR19139;PTHR19139:SF124	G3DSA:1.20.1080.10	NA	PR00783	NA	NA	NA	NA	NA	Reactome: R-HSA-432047	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold379-processed-gene-0.3-mRNA-1	mobidb-lite	TMhelix	IPR004762	GO:0006865;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PF00324	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	PTHR43341	G3DSA:1.20.1740.10	PS00218	NA	NA	NA	NA	NA	TIGR00913	NA	NA	NA	PIRSF006060	NA	NA	NA	NA
snap_masked-scaffold677-processed-gene-0.6-mRNA-1	mobidb-lite	TMhelix	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	PTHR15549;PTHR15549:SF6	NA	NA	PR01217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold69-snap-gene-0.83-mRNA-1	mobidb-lite	NA	IPR014031	GO:0003824;GO:0055114;GO:0016740;GO:0016491;GO:0031177	PF02801;PF00109;PF14765;PF07993;PF00107;PF00550;PF00668;PF00698;PF00501;PF08659;PF16197;PF08240	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF53901;SSF50129;SSF55048;SSF47336;SSF52777;SSF51735;SSF56801;SSF52151	PTHR43775:SF7;PTHR43775	G3DSA:3.90.180.10;G3DSA:3.30.300.30;G3DSA:3.30.70.3290;G3DSA:3.40.50.720;G3DSA:1.10.1200.10;G3DSA:3.40.47.10;G3DSA:3.10.129.110;G3DSA:3.40.366.10;G3DSA:3.40.50.12780;G3DSA:3.30.559.30;G3DSA:3.30.559.10	PS00455;PS00606	NA	SM00826;SM00829;SM00822;SM00827;SM00825;SM00823	PS50075	cd05195;cd05930;cd00833	NA	TIGR01733	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold43-processed-gene-0.56-mRNA-1	mobidb-lite	NA	IPR006073	GO:0005525	PF01926;PF13847	NA	SSF53335;SSF52540	PTHR11649	G3DSA:3.40.50.150;G3DSA:3.40.50.300	NA	NA	NA	PS51706	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold111-augustus-gene-0.47-mRNA-1	mobidb-lite	TMhelix	IPR036300	GO:0016020;GO:0000030;GO:0006493	PF02815;PF02366;PF16192	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF82109	PTHR10050;PTHR10050:SF45	G3DSA:2.80.10.50	NA	NA	SM00472	PS50919	NA	NA	NA	Reactome: R-HSA-5173105	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold84-processed-gene-0.20-mRNA-1	mobidb-lite	NA	IPR019787	GO:0006351	PF00628;PF07744;PF07500	NA	SSF57903;SSF46942	PTHR11477;PTHR11477:SF11	G3DSA:1.10.472.30;G3DSA:3.30.40.10	PS01359	NA	SM00510;SM00249	PS51321	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold103-snap-gene-0.10-mRNA-1	mobidb-lite	NA	IPR003347		PF02375;PF13832;PF02373	NA	SSF51197	PTHR10694;PTHR10694:SF7	G3DSA:2.60.120.650;G3DSA:3.30.40.10	NA	NA	SM00558;SM00249;SM00545	PS51805;PS51183;PS51184	cd15571	Coil	NA	Reactome: R-HSA-3214842	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold52-processed-gene-0.143-mRNA-1	mobidb-lite	NA	IPR039470	NA	PF15891	NA	NA	NA	G3DSA:3.40.50.450	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold3-processed-gene-0.96-mRNA-1	mobidb-lite	NA	IPR029063	GO:0008168	PF01209	NA	SSF53335	PTHR43591;PTHR43591:SF29	G3DSA:3.40.50.150	NA	NA	NA	NA	cd02440	NA	NA	KEGG: 00130+2.1.1.163|MetaCyc: PWY-5839|MetaCyc: PWY-5844|MetaCyc: PWY-5849|MetaCyc: PWY-5890|MetaCyc: PWY-5891|MetaCyc: PWY-5892|MetaCyc: PWY-5895|MetaCyc: PWY-7996|Reactome: R-HSA-2142789	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold3-processed-gene-0.132-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	PTHR39463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold5-processed-gene-0.259-mRNA-1	mobidb-lite	NA	IPR027266	GO:0005515;GO:0004047;GO:0006546	PF01571;PF08669	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	SSF101790;SSF103025	PTHR43757;PTHR43757:SF2	G3DSA:3.30.1360.120;G3DSA:4.10.1250.10;G3DSA:2.40.30.110;G3DSA:3.30.70.1400	NA	NA	NA	NA	NA	NA	TIGR00528	KEGG: 00260+2.1.2.10|KEGG: 00670+2.1.2.10|Reactome: R-HSA-6783984	NA	NA	PIRSF006487	SignalP-TM	NA	NA	NA
snap_masked-scaffold117-processed-gene-0.77-mRNA-1	NA	TMhelix	IPR001709	GO:0016491;GO:0055114	PF00175;PF00970	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF63380;SSF52343	PTHR19370;PTHR19370:SF178	G3DSA:3.40.50.80;G3DSA:2.40.30.10	NA	PR00371;PR00406	NA	PS51384	cd06183	NA	NA	Reactome: R-HSA-1237044	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold177-processed-gene-0.58-mRNA-1	mobidb-lite	NA	IPR021867	NA	PF11968	NA	SSF53335	PTHR21008:SF1;PTHR21008	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_03044	NA	NA	NA	NA	NA	NA
maker-scaffold130-snap-gene-0.39-mRNA-1	mobidb-lite	TMhelix	IPR011547	GO:0008272;GO:0015116;GO:0016021;GO:0008271;GO:0016020;GO:0055085	PF00916;PF01740	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF52091	PTHR11814;PTHR11814:SF80	G3DSA:3.30.750.24	PS01130	NA	NA	PS50801	cd07042	NA	TIGR00815	Reactome: R-HSA-427601	NA	NA	NA	NA	NA	NA	NA
maker-scaffold485-snap-gene-0.1-mRNA-1	mobidb-lite	NA	IPR036770	GO:0003677;GO:0005515	PF13637;PF13606	NA	SSF48403;SSF54616	PTHR43828:SF6;PTHR43828	G3DSA:3.10.260.10;G3DSA:1.25.40.20	NA	NA	SM01252;SM00248	PS51299;PS50088;PS50297	cd00204	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold158-processed-gene-0.98-mRNA-1	mobidb-lite	TMhelix	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	PTHR15549;PTHR15549:SF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA
augustus_masked-scaffold240-processed-gene-0.0-mRNA-1	NA	NA	IPR012156	GO:0003676	PF00313	NA	SSF50249	PTHR11544:SF57;PTHR11544	G3DSA:2.40.50.140	PS00352	PR00050	SM00357	NA	cd04458	NA	NA	NA	NA	NA	PIRSF002599	NA	NA	NA	NA
maker-scaffold408-snap-gene-0.3-mRNA-1	mobidb-lite	TMhelix	IPR005829	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PF00083	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF103473	PTHR23500:SF117;PTHR23500	G3DSA:1.20.1250.20	PS00217	PR00171	NA	PS50850	cd06174	NA	TIGR00879	Reactome: R-HSA-189200	NA	NA	NA	NA	NA	NA	NA
maker-scaffold157-snap-gene-0.3-mRNA-1	NA	TMhelix	IPR039527	GO:0006506;GO:0051377;GO:0003824	PF01663	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF53649	PTHR23072	G3DSA:3.40.720.10	NA	NA	NA	NA	cd16024	NA	NA	Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA
maker-scaffold92-snap-gene-0.9-mRNA-1	mobidb-lite	NA	IPR036020	GO:0005515	PF00397	NA	SSF51045	PTHR10351:SF48;PTHR10351	G3DSA:2.20.70.10	PS01159	NA	SM00456	PS50020	cd07389;cd00201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold69-processed-gene-0.13-mRNA-1	NA	TMhelix	IPR001807	GO:0005247;GO:0006821;GO:0016020;GO:0055085	PF00654;PF00571	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF81340;SSF54631	PTHR11689;PTHR11689:SF85	G3DSA:1.10.3080.10;G3DSA:3.10.580.10	NA	PR00762	SM00116	PS51371	cd03684	NA	NA	Reactome: R-HSA-2672351	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold47-processed-gene-0.185-mRNA-1	mobidb-lite	NA	IPR002194	GO:0005524;GO:0006457;GO:0051082	PF00118	NA	SSF54849;SSF52029;SSF48592	PTHR11353:SF22;PTHR11353	G3DSA:3.30.260.10;G3DSA:3.50.7.10;G3DSA:1.10.560.10	PS00751;PS00995	PR00304	NA	NA	cd03340	NA	TIGR02345	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-6814122	NA	NA	NA	NA	NA	NA	NA
maker-scaffold32-snap-gene-0.207-mRNA-1	mobidb-lite	NA	IPR000209	GO:0004252;GO:0006508;GO:0008236;GO:0070403	PF00082;PF09286;PF02146	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	SSF52467;SSF54897;SSF52743	PTHR14218:SF18;PTHR14218	G3DSA:3.30.1600.10;G3DSA:3.40.50.1220;G3DSA:3.40.50.200	PS00138	NA	SM00944	PS50305;PS51257;PS51695	cd04056	NA	NA	Reactome: R-HSA-381038	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA
maker-scaffold236-snap-gene-0.101-mRNA-1	mobidb-lite	TMhelix	IPR001727	NA	PF01169	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	PTHR12608:SF1;PTHR12608	NA	PS01214	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA
maker-scaffold2-snap-gene-1.272-mRNA-1	mobidb-lite	NA	IPR001841	GO:0008270;GO:0061630;GO:1990112;GO:1990116	PF13639	NA	SSF48371;SSF57850	PTHR12389	G3DSA:3.30.40.10	NA	NA	SM00744;SM01197;SM00184	PS50089	cd16491	NA	NA	MetaCyc: PWY-7511	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold34-processed-gene-0.120-mRNA-1	NA	TMhelix	IPR027054	GO:0004378;GO:0006486	PF13439;PF00534	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF53756	PTHR12526:SF463;PTHR12526	G3DSA:3.40.50.2000	NA	NA	NA	NA	cd03805	Coil	NA	KEGG: 00510+2.4.1.257+2.4.1.132|KEGG: 00513+2.4.1.257+2.4.1.132|Reactome: R-HSA-446193|Reactome: R-HSA-4549349	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold33-processed-gene-0.119-mRNA-1	mobidb-lite	NA	IPR012677	GO:0003676	PF00076	NA	SSF54928	PTHR44039	G3DSA:3.30.70.330	NA	NA	SM00360	PS50102	cd12243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold362-augustus-gene-0.70-mRNA-1	mobidb-lite	NA	IPR006195	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004815;GO:0005737;GO:0006422	PF00152	NA	SSF55681;SSF50249	PTHR43450	G3DSA:2.40.50.140;G3DSA:3.30.930.10	NA	PR01042	NA	PS50862	cd04320	Coil	NA	Reactome: R-HSA-2408517|Reactome: R-HSA-379716	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold264-processed-gene-0.13-mRNA-1	mobidb-lite	NA	IPR007900	GO:0005669;GO:0006352	PF05236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold647-processed-gene-0.2-mRNA-1	NA	NA	IPR003959	GO:0005524;GO:0036402;GO:0005737;GO:0016787;GO:0030163	PF00004;PF16450	NA	SSF52540	PTHR23073;PTHR23073:SF8	G3DSA:3.40.50.300;G3DSA:2.40.50.140;G3DSA:1.10.8.60	PS00674	NA	SM00382	NA	cd00009	Coil	TIGR01242	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold347-processed-gene-0.3-mRNA-1	mobidb-lite	NA	IPR007502	GO:0004386	PF07717;PF00271;PF04408	NA	SSF52540	PTHR18934;PTHR18934:SF83	G3DSA:3.40.50.300;G3DSA:1.20.120.1080	PS00690	NA	SM00847;SM00490;SM00487	PS51192;PS51194	cd00046;cd00079	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold237-snap-gene-0.95-mRNA-1	mobidb-lite	TMhelix	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold210-snap-gene-0.99-mRNA-1	NA	TMhelix	IPR011041	GO:0003824;GO:0005515	PF12768	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	SSF50952;SSF50965	PTHR31778	G3DSA:2.120.10.80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-scaffold95-augustus-gene-0.63-mRNA-1	NA	TMhelix	IPR007720	GO:0006506;GO:0016021;GO:0017176	PF05024;PF05254	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	PTHR21329;PTHR21329:SF3	NA	NA	NA	NA	PS51808	NA	NA	NA	Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold53-processed-gene-0.175-mRNA-1	mobidb-lite	NA	IPR013760	GO:0003918;GO:0005524;GO:0003677;GO:0006265;GO:0006259	PF00204;PF01751;PF02518;PF00521;PF16898	NA	SSF56719;SSF55874;SSF54211	PTHR10169:SF38;PTHR10169	G3DSA:1.10.268.10;G3DSA:3.90.199.10;G3DSA:3.40.50.670;G3DSA:3.30.565.10;G3DSA:3.30.1360.40;G3DSA:3.30.1490.30;G3DSA:3.30.230.10	PS00177	PR00418;PR01158	SM00434;SM00433	PS50880	cd03365;cd03481;cd00187;cd00075	Coil	NA	Reactome: R-HSA-4615885	NA	NA	NA	NA	NA	NA	NA
maker-scaffold19-snap-gene-0.22-mRNA-1	mobidb-lite	NA	IPR001623	GO:0006457;GO:0051082	PF00226;PF01556	NA	SSF46565;SSF49493	PTHR43888:SF12;PTHR43888	G3DSA:1.10.287.110;G3DSA:2.60.260.20	PS00636	PR00625	SM00271	PS50076	cd06257	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold57-processed-gene-0.34-mRNA-1	NA	TMhelix	IPR012341	GO:0003824;GO:0004571;GO:0005509;GO:0016020	PF01532	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	SSF48225	PTHR11742;PTHR11742:SF47	G3DSA:1.50.10.10	NA	PR00747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold285-processed-gene-0.63-mRNA-1	mobidb-lite	NA	IPR038718	GO:0005524	PF00176;PF00271	NA	SSF52540	PTHR10799:SF837;PTHR10799	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	NA	NA	SM00490;SM00487	PS51192;PS51194	cd00046;cd00079	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold767-snap-gene-0.5-mRNA-1	NA	TMhelix	IPR020846	GO:0016021;GO:0055085	PF07690	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF103473	PTHR42718:SF15;PTHR42718	G3DSA:1.20.1250.20	NA	PR01036	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold94-snap-gene-0.26-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	PTHR10351;PTHR10351:SF46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
augustus_masked-scaffold58-processed-gene-0.250-mRNA-1	mobidb-lite	NA	IPR009080	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0002161;GO:0004832;GO:0006438;GO:0005737	PF08264;PF10458;PF00133	NA	SSF47323;SSF50677;SSF46589;SSF52374	PTHR11946;PTHR11946:SF54	G3DSA:3.90.740.10;G3DSA:1.10.287.380;G3DSA:3.40.50.620;G3DSA:1.10.730.10	NA	PR00986	NA	NA	cd07962	Coil	TIGR00422	KEGG: 00970+6.1.1.9	NA	NA	NA	NA	NA	NA	NA
maker-scaffold60-snap-gene-0.44-mRNA-1	NA	NA	IPR036249	GO:0016491;GO:0055114	PF01257	NA	SSF52833	PTHR10371:SF3;PTHR10371	G3DSA:1.10.10.1590;G3DSA:3.40.30.10	PS01099	NA	NA	NA	cd03064	NA	TIGR01958	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	PIRSF000216	NA	NA	NA	NA
snap_masked-scaffold390-processed-gene-0.9-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold339-processed-gene-0.14-mRNA-1	mobidb-lite	NA	IPR029063	NA	NA	NA	SSF53335	PTHR43591;PTHR43591:SF12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold67-snap-gene-0.1-mRNA-1	NA	NA	IPR020796	GO:0000808;GO:0005634;GO:0006260	PF14630;PF13191	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF52540	PTHR12705	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold480-processed-gene-0.42-mRNA-1	NA	NA	IPR017865	GO:0008290;GO:0051016	PF01267	NA	SSF90096	PTHR10653:SF0;PTHR10653	G3DSA:1.20.1290.20;G3DSA:2.40.160.80	PS00748;PS00749	PR00191	NA	NA	NA	NA	NA	Reactome: R-HSA-2132295|Reactome: R-HSA-3371497|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436	NA	NA	NA	NA	NA	NA	NA
maker-scaffold406-augustus-gene-0.1-mRNA-1	NA	TMhelix	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020;GO:0005215	PF00083	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF103473	PTHR23500;PTHR23500:SF35	G3DSA:1.20.1250.20	PS00217;PS00216	PR00171	NA	PS50850	cd06174	NA	TIGR00879	Reactome: R-HSA-189200	NA	NA	NA	NA	NA	NA	NA
maker-scaffold57-snap-gene-0.7-mRNA-1	mobidb-lite	NA	IPR019734	GO:0005515	PF13181;PF13844	NA	SSF48452	PTHR44998	G3DSA:1.25.40.10;G3DSA:3.40.50.11380;G3DSA:3.40.50.2000	NA	NA	SM00028	PS50005;PS50293	NA	NA	NA	KEGG: 00514+2.4.1.255|MetaCyc: PWY-7437|Reactome: R-HSA-3214847|Reactome: R-HSA-5689603	NA	NA	NA	NA	NA	NA	NA
maker-scaffold157-snap-gene-0.0-mRNA-1	mobidb-lite	NA	IPR021891	GO:0003964;GO:0003677;GO:0003721	PF12009	NA	NA	PTHR12066	NA	NA	NA	SM00975	NA	NA	NA	NA	Reactome: R-HSA-171319|Reactome: R-HSA-201722	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold68-processed-gene-0.140-mRNA-1	mobidb-lite	NA	IPR027408	GO:0000178;GO:0006396;GO:0006401	PF01138	NA	SSF55666;SSF54211	PTHR11097;PTHR11097:SF9	G3DSA:3.30.230.70	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold507-processed-gene-0.26-mRNA-1	NA	NA	IPR006239	GO:0006790;GO:0008441;GO:0046854	PF00459	NA	SSF56655	PTHR43200;PTHR43200:SF6	G3DSA:3.40.190.80;G3DSA:3.30.540.10	PS00630;PS00629	NA	NA	NA	cd01517	NA	TIGR01330	KEGG: 00920+3.1.3.7	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold37-processed-gene-0.90-mRNA-1	NA	NA	IPR000608		PF00179	NA	SSF54495	PTHR24068;PTHR24068:SF119	G3DSA:3.10.110.10	NA	NA	SM00212	PS50127	cd00195	NA	NA	Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA
maker-scaffold396-snap-gene-0.1-mRNA-1	mobidb-lite	NA	IPR001810	GO:0005515	PF12937	NA	SSF81383	NA	NA	NA	NA	NA	PS50181	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold104-augustus-gene-0.1-mRNA-1	mobidb-lite	TMhelix	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	PTHR37919:SF2;PTHR37919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
