Gene	interpro	GO	SUPERFAMILY	Pfam	PANTHER	Gene3D	SignalP_GRAM_POSITIVE	CDD	MobiDBLite	SMART	ProSiteProfiles	Phobius	ProSitePatterns	Coils	TMHMM	PATHWAY	PRINTS	SignalP_EUK	SignalP_GRAM_NEGATIVE	TIGRFAM	Hamap	ProDom	PIRSF	SFLD
augustus_masked-NODE_25_length_361630_cov_63.766165-processed-gene-2.58-mRNA-1	NA	NA	NA	NA	PTHR37849	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_645185_cov_64.840346-augustus-gene-3.33-mRNA-1	IPR004932	GO:0016021	NA	PF03248	PTHR10743	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	PIRSF016013	NA
augustus_masked-NODE_47_length_201026_cov_60.700606-processed-gene-1.0-mRNA-1	NA	NA	NA	NA	PTHR13145	NA	NA	NA	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_868829_cov_62.810630-augustus-gene-1.12-mRNA-1	IPR011583	GO:0008061;GO:0005975	SSF51445	PF00704	PTHR11177;PTHR11177:SF182	NA	NA	NA	NA	SM00636	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_925979_cov_65.326036-processed-gene-3.8-mRNA-1	IPR005122	GO:0006281;GO:0019104	SSF52141	PF03167	PTHR12159:SF9;PTHR12159	G3DSA:3.40.470.10	NA	cd10028	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-110328|Reactome: R-HSA-110329|Reactome: R-HSA-110357	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_527745_cov_64.590967-augustus-gene-2.10-mRNA-1	IPR006186	GO:0016787	SSF56300	PF00149	PTHR11668;PTHR11668:SF261	G3DSA:3.60.21.10	NA	cd07416	mobidb-lite	SM00156	NA	NA	PS00125	Coil	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	PR00114	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_244374_cov_61.795191-augustus-gene-1.63-mRNA-1	IPR008158	GO:0015031;GO:0015450;GO:0016020;GO:0006605;GO:0006886	SSF103456	PF00584	PTHR12309:SF20;PTHR12309	G3DSA:1.20.5.820	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PS01067	NA	TMhelix	Reactome: R-HSA-1236974|Reactome: R-HSA-1799339|Reactome: R-HSA-381038	NA	NA	NA	TIGR00327	MF_00422	NA	NA	NA
maker-NODE_56_length_178877_cov_57.256297-augustus-gene-0.32-mRNA-1	IPR019786	NA	SSF57903	NA	PTHR10333;PTHR10333:SF42	G3DSA:3.30.40.10	NA	cd15505	mobidb-lite	SM00249;SM01408	PS50016	NA	PS01359	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_390111_cov_61.126862-processed-gene-2.71-mRNA-1	IPR036236	GO:0003676;GO:0008270	SSF57667	PF12874;PF12756	PTHR13182:SF8;PTHR13182	G3DSA:3.30.160.60	NA	NA	mobidb-lite	SM00355;SM00451	NA	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_19_length_423208_cov_63.707385-processed-gene-2.33-mRNA-1	IPR036322	GO:0005515	SSF50978	PF08596	PTHR10241;PTHR10241:SF25	G3DSA:2.130.10.10	NA	NA	NA	NA	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_47_length_201026_cov_60.700606-augustus-gene-1.19-mRNA-1	IPR036259	GO:0016020;GO:0022857;GO:0055085;GO:0016021	SSF103473	PF00083	PTHR23500;PTHR23500:SF103	G3DSA:1.20.1250.20	NA	cd06174	mobidb-lite	NA	PS50850	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	Reactome: R-HSA-189200	NA	NA	NA	TIGR00879	NA	NA	NA	NA
augustus_masked-NODE_17_length_449563_cov_64.535306-processed-gene-2.29-mRNA-1	IPR013785	GO:0003824;GO:0051536	SSF102114	PF04055;PF13353	PTHR21339	G3DSA:3.20.20.70	NA	cd01335	NA	SM00729	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	SFLDG01067;SFLDF00318;SFLDS00029
augustus_masked-NODE_7_length_845801_cov_64.679335-processed-gene-7.47-mRNA-1	IPR010300	GO:0005506;GO:0016702;GO:0055114	SSF51182	PF05995	PTHR12918	G3DSA:2.60.120.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG: 00270+1.13.11.20|KEGG: 00430+1.13.11.20|MetaCyc: PWY-5331|Reactome: R-HSA-1614558	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_9_length_712399_cov_64.450715-processed-gene-1.15-mRNA-1	IPR022816	GO:0000796;GO:0007076	NA	PF05786	PTHR13108	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-2514853	NA	NA	NA	NA	NA	NA	PIRSF017126	NA
augustus_masked-NODE_19_length_423208_cov_63.707385-processed-gene-3.17-mRNA-1	IPR000547	GO:0006886;GO:0016192;GO:0005515	SSF69322	PF00637	PTHR12616:SF1;PTHR12616	G3DSA:1.25.40.10;G3DSA:2.130.10.10	NA	NA	mobidb-lite	SM00299	PS50236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_886839_cov_63.192135-augustus-gene-7.12-mRNA-1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	SSF48264	PF00067	PTHR24279:SF77;PTHR24279	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	PR00465	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_260034_cov_65.474450-augustus-gene-0.0-mRNA-1	IPR036249	NA	SSF52833	NA	PTHR12232;PTHR12232:SF0	G3DSA:3.40.30.10	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_619819_cov_63.830454-augustus-gene-2.10-mRNA-1	IPR035892	GO:0035556;GO:0006629;GO:0008081;GO:0004435;GO:0007165	SSF49562;SSF51695	PF00387;PF00388	PTHR10336;PTHR10336:SF82	G3DSA:2.60.40.150;G3DSA:3.20.20.190	NA	cd08598;cd00275	mobidb-lite	SM00149;SM00148	PS50007;PS50008	NA	NA	NA	NA	KEGG: 00562+3.1.4.11|KEGG: 04070+3.1.4.11|MetaCyc: PWY-6351|MetaCyc: PWY-6367|MetaCyc: PWY-7039|Reactome: R-HSA-1855204	PR00390	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_391651_cov_54.823929-augustus-gene-2.11-mRNA-1	IPR012677	GO:0003676	SSF54928	PF00076	PTHR23236;PTHR23236:SF11	G3DSA:3.30.70.330	NA	NA	mobidb-lite	SM00360	PS50102	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_645185_cov_64.840346-augustus-gene-4.19-mRNA-1	IPR037274	GO:0008270	SSF161219	PF05495	PTHR28082:SF2;PTHR28082	NA	NA	NA	NA	NA	PS51266	NA	NA	NA	NA	Reactome: R-HSA-110320|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1091443_cov_63.945247-processed-gene-0.38-mRNA-1	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	PF00067	PTHR24305:SF35;PTHR24305	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_38_length_263057_cov_61.801365-processed-gene-1.82-mRNA-1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	PF04082;PF00172	PTHR45582	G3DSA:4.10.240.10	NA	cd00067;cd12148	mobidb-lite	SM00066;SM00906	PS50048	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_41_length_244374_cov_61.795191-processed-gene-1.25-mRNA-1	IPR008979	NA	NA	NA	PTHR12911;PTHR12911:SF8	G3DSA:2.60.120.260	NA	NA	NA	NA	PS51469	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_619819_cov_63.830454-augustus-gene-2.7-mRNA-1	IPR007811	GO:0003677;GO:0003899;GO:0005666;GO:0006383	NA	PF05132	PTHR13408;PTHR13408:SF0	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_768202_cov_65.452000-augustus-gene-4.34-mRNA-1	IPR017926	GO:0003824;GO:0004425;GO:0004049;GO:0004640;GO:0006568	SSF51366;SSF52317	PF00218;PF00117;PF00697	PTHR43418:SF4;PTHR43418	G3DSA:3.20.20.70;G3DSA:3.40.50.880	NA	cd01743;cd00331;cd00405	NA	NA	PS51273	NA	PS00614	NA	NA	KEGG: 00400+4.1.1.48	PR00096;PR00097	NA	NA	TIGR00566	MF_00135	NA	PIRSF001382	NA
augustus_masked-NODE_18_length_437960_cov_63.438948-processed-gene-3.41-mRNA-1	IPR040241	NA	NA	PF14558;PF06011	PTHR31145;PTHR31145:SF5	NA	NA	NA	NA	SM01320	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_46_length_207988_cov_63.319781-processed-gene-1.8-mRNA-1	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NODE_39_length_260034_cov_65.474450-augustus-gene-1.60-mRNA-1	IPR005147	GO:0000287;GO:0003723;GO:0005524;GO:0006432;GO:0004826;GO:0000166;GO:0005737	SSF56037;SSF46955;SSF55681	PF03483;PF18262;PF17759;PF03484	PTHR10947;PTHR10947:SF0	G3DSA:3.30.56.10;G3DSA:3.50.40.10;G3DSA:3.30.930.10	NA	cd00769	NA	SM00874;SM00873	PS51483	NA	NA	NA	NA	KEGG: 00970+6.1.1.20|Reactome: R-HSA-379716	NA	NA	NA	TIGR00471	NA	NA	NA	NA
maker-NODE_11_length_619819_cov_63.830454-augustus-gene-2.14-mRNA-1	IPR009450	GO:0006506;GO:0016021;GO:0017176	NA	PF06432	PTHR12982	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	KEGG: 00563+2.4.1.198|Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_285618_cov_58.526770-augustus-gene-1.58-mRNA-1	IPR000744	GO:0006886;GO:0005515	SSF48452	PF14938	PTHR13768;PTHR13768:SF8	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-204005|Reactome: R-HSA-6807878|Reactome: R-HSA-6811434|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	PR00448	NA	NA	NA	NA	NA	NA	NA
maker-NODE_85_length_73050_cov_62.272013-augustus-gene-0.19-mRNA-1	IPR013861	GO:0006890;GO:0016021	SSF144091	PF08551	PTHR13377;PTHR13377:SF3	NA	NA	NA	mobidb-lite	SM01160	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	Reactome: R-HSA-6807878	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_29_length_309253_cov_63.563806-processed-gene-1.14-mRNA-1	IPR040112	NA	NA	NA	PTHR22934:SF23;PTHR22934	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1091443_cov_63.945247-processed-gene-5.16-mRNA-1	IPR000300	GO:0046856	SSF56219	PF03372	PTHR11200;PTHR11200:SF185	G3DSA:3.60.10.10;G3DSA:2.60.40.10	NA	NA	mobidb-lite	SM00128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_134_length_27057_cov_65.960416-processed-gene-0.0-mRNA-1	IPR036259	GO:0016021;GO:0055085	SSF103473	PF07690	PTHR11360;PTHR11360:SF120	G3DSA:1.20.1250.20	NA	cd06174	NA	NA	PS50850	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_73_length_101209_cov_54.810481-processed-gene-0.7-mRNA-1	IPR017946	GO:0006629;GO:0008081	SSF51695	NA	PTHR13593;PTHR13593:SF35	G3DSA:3.20.20.190	SignalP-TM	cd08621	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NODE_4_length_886839_cov_63.192135-augustus-gene-2.33-mRNA-1	IPR036259	GO:0016021;GO:0055085	SSF103473	PF07690	PTHR23520	NA	NA	cd06174	NA	NA	PS50850	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_64_length_129700_cov_59.344385-augustus-gene-0.6-mRNA-1	IPR004562	GO:0009249;GO:0006464	SSF55681	NA	PTHR12561;PTHR12561:SF3	G3DSA:3.30.930.10	NA	cd16443	NA	NA	PS51733	NA	NA	NA	NA	KEGG: 00785+6.3.1.20|Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_48_length_200203_cov_48.758592-processed-gene-0.29-mRNA-1	IPR013859	NA	NA	PF08549	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_15_length_474549_cov_63.245189-augustus-gene-3.46-mRNA-1	IPR010655	GO:0031124	SSF52540	PF06807;PF16573;PF16575	PTHR12755;PTHR12755:SF6	G3DSA:3.30.70.2410;G3DSA:2.60.120.1030;G3DSA:3.40.50.300	NA	cd00009	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-109688|Reactome: R-HSA-6784531|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1091443_cov_63.945247-processed-gene-2.33-mRNA-1	IPR006086	GO:0004518;GO:0016788;GO:0003677;GO:0003824;GO:0006281	SSF47807;SSF88723	PF00867;PF00752	PTHR11081;PTHR11081:SF9	G3DSA:3.40.50.1010	NA	cd09907;cd09867	mobidb-lite	SM00279;SM00485;SM00484	NA	NA	PS00842;PS00841	Coil	NA	Reactome: R-HSA-110362|Reactome: R-HSA-162594|Reactome: R-HSA-174437|Reactome: R-HSA-5651801|Reactome: R-HSA-5685939|Reactome: R-HSA-69166	PR00853	NA	NA	NA	MF_00614	NA	NA	NA
maker-NODE_5_length_868829_cov_62.810630-augustus-gene-7.70-mRNA-1	IPR036871	GO:0035091	SSF64268;SSF103657	PF00787;PF09325	PTHR10555:SF127;PTHR10555	G3DSA:3.30.1520.10;G3DSA:1.20.1270.60	NA	cd06861;cd07627	mobidb-lite	SM00312	PS50195	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1091443_cov_63.945247-processed-gene-5.13-mRNA-1	IPR013780	GO:0004557;GO:0005975;GO:0003824	SSF51445	PF02065;PF16874;PF16875	PTHR22762:SF81;PTHR22762	G3DSA:2.60.40.1180;G3DSA:3.20.20.70;G3DSA:2.70.98.60	SignalP-TM	cd14791	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	PR00743	SignalP-noTM	NA	NA	NA	NA	PIRSF005536	NA
augustus_masked-NODE_24_length_363082_cov_57.773986-processed-gene-2.60-mRNA-1	IPR024320	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004815;GO:0005737;GO:0006422	SSF50249;SSF55681	PF09924;PF00152	PTHR43450;PTHR43450:SF2	G3DSA:2.40.50.140;G3DSA:3.30.930.10	NA	cd00776;cd04320	mobidb-lite	NA	PS50862	NA	NA	NA	NA	Reactome: R-HSA-2408517|Reactome: R-HSA-379716	PR01042	NA	NA	TIGR00458	MF_02075	NA	NA	NA
augustus_masked-NODE_26_length_358778_cov_64.650727-processed-gene-2.6-mRNA-1	IPR003169	GO:0005515	SSF55277	PF02213	PTHR14445;PTHR14445:SF36	G3DSA:3.30.1490.40	NA	cd00072	mobidb-lite	SM00444	PS50829	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_536238_cov_57.715738-augustus-gene-4.36-mRNA-1	IPR036640	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	SSF90123;SSF52540	PF00664;PF00005	PTHR24221:SF400;PTHR24221	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	NA	cd03249	mobidb-lite	SM00382	PS50929;PS50893	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PS00211	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_868829_cov_62.810630-processed-gene-7.9-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_390111_cov_61.126862-processed-gene-0.15-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_925979_cov_65.326036-augustus-gene-6.7-mRNA-1	IPR035780	GO:0019888;GO:0030289	NA	PF09184	PTHR12864:SF22;PTHR12864	G3DSA:2.60.120.920	NA	cd12910	mobidb-lite	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-5693607	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_449563_cov_64.535306-augustus-gene-2.44-mRNA-1	IPR002023	GO:0016491;GO:0055114	SSF52833	PF01257	PTHR10371;PTHR10371:SF3	G3DSA:1.10.10.1590;G3DSA:3.40.30.10	SignalP-TM	cd03064	mobidb-lite	NA	NA	NA	PS01099	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	TIGR01958	NA	NA	PIRSF000216	NA
augustus_masked-NODE_28_length_335966_cov_65.278157-processed-gene-2.45-mRNA-1	IPR027413	GO:0005524;GO:0005737;GO:0006457;GO:0042026	SSF48592;SSF52029	PF00118	PTHR11353:SF64;PTHR11353	G3DSA:1.10.560.10;G3DSA:3.30.260.10;G3DSA:3.50.7.10	NA	cd03344	NA	NA	NA	NA	PS00296	NA	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-8869496	PR00298	NA	NA	TIGR02348	MF_00600	NA	NA	NA
augustus_masked-NODE_6_length_849364_cov_61.265323-processed-gene-3.0-mRNA-1	IPR002110	GO:0005515	SSF81296;SSF48403	PF12796;PF01833	PTHR24148;PTHR24148:SF17	G3DSA:1.25.40.20;G3DSA:2.60.40.10	NA	cd00102;cd00204	mobidb-lite	SM00248;SM00429	PS50088;PS50297	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	Coil	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_26_length_358778_cov_64.650727-augustus-gene-2.64-mRNA-1	IPR024862	GO:0005216;GO:0006811;GO:0016021	NA	NA	PTHR10582:SF2;PTHR10582	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	Reactome: R-HSA-3295583	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_33_length_285618_cov_58.526770-processed-gene-1.3-mRNA-1	IPR001452	GO:0005515;GO:0005737	SSF103657;SSF50044	PF00018;PF03114	PTHR45102	G3DSA:2.30.30.40;G3DSA:1.20.1270.60	NA	cd07599	mobidb-lite	SM00326;SM00721	PS50002;PS51021	NA	NA	Coil	NA	NA	PR00452	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_768202_cov_65.452000-augustus-gene-3.11-mRNA-1	IPR018485	GO:0005975;GO:0016773	SSF53067	PF02782;PF00370	PTHR10196:SF57;PTHR10196	G3DSA:3.30.420.40	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_388669_cov_60.231074-augustus-gene-0.0-mRNA-1	IPR013320	GO:0005515	SSF49899	PF08513;PF10607;PF00622	PTHR12864;PTHR12864:SF44	G3DSA:2.60.120.920	NA	cd12909	mobidb-lite	SM00668;SM00667;SM00449	PS50897;PS50188;PS50896	NA	NA	Coil	NA	Reactome: R-HSA-8851805	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_19_length_423208_cov_63.707385-processed-gene-1.7-mRNA-1	IPR018555	NA	NA	PF09428	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_536238_cov_57.715738-augustus-gene-4.37-mRNA-1	IPR000103	GO:0016491;GO:0055114	SSF51905	PF07992	PTHR42817;PTHR42817:SF1	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	PR00368;PR00469	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_768202_cov_65.452000-augustus-gene-0.29-mRNA-1	IPR013933	NA	NA	PF08624	PTHR22597:SF3;PTHR22597	NA	NA	NA	mobidb-lite	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD041931	NA	NA
augustus_masked-NODE_102_length_48716_cov_55.795180-processed-gene-0.6-mRNA-1	IPR004813	GO:0055085	NA	PF03169	PTHR31645:SF3;PTHR31645	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	TIGR00728	NA	NA	NA	NA
maker-NODE_4_length_886839_cov_63.192135-augustus-gene-4.10-mRNA-1	IPR001494	GO:0006886;GO:0008536	SSF48371	PF08506;PF03810;PF08389	PTHR10997:SF18;PTHR10997	G3DSA:1.25.10.10	NA	NA	mobidb-lite	SM00913	PS50166	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_53_length_191911_cov_59.374833-processed-gene-0.22-mRNA-1	IPR026847	NA	NA	PF16910;PF16909;PF06650;PF16908;PF12624	PTHR16166;PTHR16166:SF93	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF037235	NA
maker-NODE_47_length_201026_cov_60.700606-augustus-gene-1.24-mRNA-1	IPR002293	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	NA	PF13520	PTHR11785;PTHR11785:SF360	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS00218	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA
maker-NODE_7_length_845801_cov_64.679335-augustus-gene-5.48-mRNA-1	IPR001680	GO:0005515	SSF50978	PF00400	PTHR22850:SF142;PTHR22850	G3DSA:2.130.10.10	NA	NA	NA	SM00320	PS50082;PS50294	NA	PS00678	NA	NA	NA	PR00320	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_437960_cov_63.438948-processed-gene-0.21-mRNA-1	IPR036420	NA	SSF52113	PF12738	PTHR13561;PTHR13561:SF20	G3DSA:3.40.50.10190	NA	cd00027	mobidb-lite	SM00292	PS50172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_515982_cov_63.869335-processed-gene-4.29-mRNA-1	IPR038872	NA	NA	NA	PTHR41807	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
