Gene	PANTHER	Phobius	interpro	GO	PATHWAY	Pfam	TMHMM	MobiDBLite	Coils	ProSitePatterns	CDD	Gene3D	SUPERFAMILY	ProSiteProfiles	SMART	PRINTS	SFLD	TIGRFAM	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	PIRSF	ProDom
augustus_masked-NODE_26_length_344838_cov_59.331504-processed-gene-0.28-mRNA-1	PTHR23245;PTHR23245:SF25	NA	IPR029063	GO:0008757;GO:0031591	Reactome: R-HSA-6782861	PF02475	NA	NA	NA	NA	NA	G3DSA:3.40.50.150	SSF53335	PS51684	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF038972	NA
maker-NODE_20_length_387202_cov_58.679540-snap-gene-2.555-mRNA-1	PTHR23359:SF117;PTHR23359	NA	IPR000850	GO:0005524;GO:0006139;GO:0019205;GO:0004017;GO:0006172;GO:0016776	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219|Reactome: R-HSA-499943	PF00406;PF05191	NA	NA	Coil	PS00113	cd01428	G3DSA:3.40.50.300	SSF52540	NA	NA	PR00094	NA	TIGR01351	NA	NA	NA	MF_03168;MF_00235	NA	NA
maker-NODE_22_length_372926_cov_58.633942-snap-gene-1.76-mRNA-1	PTHR13000;PTHR13000:SF0	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR024864	GO:0005643	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	PF13874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_639344_cov_58.481605-processed-gene-1.150-mRNA-1	NA	NA	IPR036322	GO:0005515	NA	PF10313	NA	mobidb-lite	Coil	NA	NA	G3DSA:2.130.10.10	SSF50978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_9_length_540689_cov_55.537295-processed-gene-1.242-mRNA-1	PTHR23500;PTHR23500:SF117	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	Reactome: R-HSA-189200	PF00083	TMhelix	mobidb-lite	NA	PS00217	cd06174	G3DSA:1.20.1250.20	SSF103473	PS50850	NA	PR00171	NA	TIGR00879	NA	NA	NA	NA	NA	NA
snap_masked-NODE_51_length_158936_cov_54.945186-processed-gene-0.28-mRNA-1	PTHR11680:SF25;PTHR11680	NA	IPR001085	GO:0004372;GO:0019264;GO:0030170;GO:0035999;GO:0003824	KEGG: 00260+2.1.2.1|KEGG: 00460+2.1.2.1|KEGG: 00630+2.1.2.1|KEGG: 00670+2.1.2.1|KEGG: 00680+2.1.2.1|MetaCyc: PWY-1622|MetaCyc: PWY-181|MetaCyc: PWY-2161|MetaCyc: PWY-2201|MetaCyc: PWY-3661|MetaCyc: PWY-3661-1|MetaCyc: PWY-3841|MetaCyc: PWY-5497|Reactome: R-HSA-196757	PF00464	NA	NA	NA	PS00096	cd00378	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	SSF53383	NA	NA	NA	NA	NA	NA	NA	NA	MF_00051	PIRSF000412	NA
maker-NODE_15_length_426026_cov_57.133846-snap-gene-0.155-mRNA-1	PTHR10978:SF5;PTHR10978	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR034804	GO:0016020;GO:0016627	Reactome: R-HSA-611105|Reactome: R-HSA-71403	PF01127	TMhelix	NA	NA	NA	cd03499	G3DSA:1.20.1300.10	SSF81343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_23_length_370437_cov_58.723945-processed-gene-1.296-mRNA-1	PTHR10882:SF0;PTHR10882	NA	IPR004551	GO:0004164;GO:0017183;GO:0008168	Reactome: R-HSA-5358493	PF00590	NA	NA	NA	NA	cd11647	G3DSA:3.30.950.10;G3DSA:3.40.1010.10	SSF53790	NA	NA	NA	NA	TIGR00522	NA	NA	NA	MF_01084	PIRSF036432	NA
maker-NODE_9_length_540689_cov_55.537295-augustus-gene-1.11-mRNA-1	PTHR17630;PTHR17630:SF32	NA	IPR002925	GO:0016787	NA	PF01738	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_604053_cov_57.456056-processed-gene-5.9-mRNA-1	PTHR11236;PTHR11236:SF9	NA	IPR005801	GO:0009058	KEGG: 00400+4.1.3.27|KEGG: 00405+4.1.3.27|MetaCyc: PWY-5958|MetaCyc: PWY-6661	PF00425;PF04715	NA	NA	NA	NA	NA	G3DSA:3.60.120.10	SSF56322	NA	NA	PR00095	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_738_length_1278_cov_1.253692-protein2genome-gene-0.0-mRNA-1	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	IPR036150	GO:0009055;GO:0016020;GO:0016491	Reactome: R-HSA-611105	NA	TMhelix	NA	NA	NA	NA	G3DSA:1.20.810.10	SSF81648	PS51003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_106_length_41611_cov_37.304503-processed-gene-0.40-mRNA-1	PTHR31084;PTHR31084:SF0	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	IPR008928	GO:0003824;GO:0004560	KEGG: 00511+3.2.1.51|MetaCyc: PWY-6807	PF14498	NA	NA	NA	NA	NA	G3DSA:1.50.10.10;G3DSA:2.70.98.50	SSF48208	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	PIRSF007663	NA
snap_masked-NODE_61_length_126232_cov_55.567186-processed-gene-0.237-mRNA-1	PTHR20855:SF15;PTHR20855	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR004254	GO:0016021	NA	PF03006	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_304748_cov_57.569130-snap-gene-2.35-mRNA-1	PTHR33711:SF5;PTHR33711	NA	IPR015889	GO:0005506;GO:0016702;GO:0055114;GO:0009712;GO:0018576;GO:0003824;GO:0006725;GO:0008199	NA	PF04444;PF00775	NA	NA	NA	NA	NA	G3DSA:2.60.130.10	SSF49482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_345928_cov_56.170083-snap-gene-2.387-mRNA-1	PTHR12595:SF0;PTHR12595	NA	IPR020618	GO:0004017;GO:0005524	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219|Reactome: R-HSA-499943	PF13238	NA	NA	NA	NA	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	MF_00039	NA	NA
maker-NODE_60_length_127260_cov_57.881667-snap-gene-0.235-mRNA-1	PTHR12893:SF0;PTHR12893	NA	IPR024958	GO:0005515	Reactome: R-HSA-162658	PF04495	NA	mobidb-lite	NA	NA	NA	G3DSA:2.30.42.10	SSF50156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_50_length_160537_cov_57.630279-processed-gene-0.19-mRNA-1	PTHR11909;PTHR11909:SF7	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	NA	mobidb-lite	Coil	PS00108	cd14019	G3DSA:1.10.510.10	SSF56112	PS50011	SM00220	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_604053_cov_57.456056-processed-gene-4.64-mRNA-1	PTHR13609;PTHR13609:SF4	NA	IPR000626	GO:0005515	NA	PF00240;PF16455	NA	mobidb-lite	NA	NA	cd01769	G3DSA:1.20.225.20;G3DSA:3.10.20.90	SSF54236	PS50053	SM00213	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_399495_cov_56.963753-snap-gene-0.10-mRNA-1	PTHR13856;PTHR13856:SF101	NA	IPR004152	GO:0005622;GO:0006886	NA	PF03127	NA	mobidb-lite	Coil	NA	cd12930	G3DSA:1.20.58.160;G3DSA:1.25.40.90	SSF48464;SSF89009	PS50909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_40_length_236980_cov_57.581306-processed-gene-1.211-mRNA-1	PTHR10476;PTHR10476:SF4	NA	IPR005024	GO:0007034	NA	PF03357	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_29_length_304748_cov_57.569130-processed-gene-2.241-mRNA-1	PTHR44038;PTHR44038:SF2	NA	IPR001810	GO:0005515	NA	PF00400;PF12937	NA	mobidb-lite	NA	PS00678	cd00200	G3DSA:1.20.1280.50;G3DSA:2.130.10.10	SSF50978;SSF81383	PS50181;PS50082;PS50294	SM00320;SM00256	PR00320	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_39_length_237138_cov_60.081954-processed-gene-1.391-mRNA-1	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_426026_cov_57.133846-processed-gene-1.255-mRNA-1	PTHR43290:SF2;PTHR43290	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR013750	GO:0004496;GO:0005524;GO:0005737;GO:0008299	KEGG: 00900+2.7.1.36|MetaCyc: PWY-6174|MetaCyc: PWY-7391|MetaCyc: PWY-922|Reactome: R-HSA-191273|Reactome: R-HSA-2426168	PF08544;PF00288	NA	NA	NA	PS00627	NA	G3DSA:3.30.70.890;G3DSA:3.30.230.10	SSF54211;SSF55060	NA	NA	PR00959	NA	TIGR00549	NA	NA	NA	NA	NA	NA
snap_masked-NODE_117_length_32271_cov_56.218423-processed-gene-0.11-mRNA-1	PTHR42940;PTHR42940:SF3	NA	IPR013149	GO:0055114;GO:0016491;GO:0008270	Reactome: R-HSA-71384	PF00107;PF08240	NA	NA	NA	PS00059	cd08297	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF51735;SSF50129	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_563164_cov_57.757710-augustus-gene-4.40-mRNA-1	PTHR11706:SF50;PTHR11706	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR001046	GO:0016020;GO:0030001;GO:0046873	Reactome: R-HSA-425410	PF01566	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PR00447	NA	TIGR01197	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_252058_cov_61.114793-augustus-gene-1.61-mRNA-1	PTHR12883	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR012879	NA	NA	PF07946	TMhelix	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_604053_cov_57.456056-augustus-gene-1.209-mRNA-1	PTHR21581;PTHR21581:SF6	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-13.56-mRNA-1	PTHR44845	NA	IPR013120	GO:0003824	Reactome: R-HSA-8848584	PF07993;PF00501;PF00550	NA	NA	NA	PS00455;PS00012	cd05930	G3DSA:3.40.50.12780;G3DSA:3.30.300.30;G3DSA:1.10.1200.10;G3DSA:3.40.50.720	SSF56801;SSF47336;SSF51735	PS50075	NA	NA	NA	TIGR01746	NA	NA	NA	NA	NA	NA
snap_masked-NODE_34_length_266141_cov_58.906685-processed-gene-1.41-mRNA-1	PTHR15137	NA	IPR037813	GO:0005669	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	mobidb-lite	Coil	NA	NA	G3DSA:1.10.390.60	SSF55486;SSF63737	NA	NA	PR01217	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_196090_cov_50.533157-snap-gene-0.14-mRNA-1	PTHR19861	NA	IPR015943	GO:0005515	NA	PF00400	NA	mobidb-lite	NA	NA	NA	G3DSA:2.130.10.10	SSF50978	PS50082;PS50294	SM00320	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_563164_cov_57.757710-processed-gene-4.373-mRNA-1	PTHR23115:SF36;PTHR23115	NA	IPR003285	GO:0000288;GO:0003747;GO:0005525;GO:0006415;GO:0003924	NA	PF00009;PF03143	NA	mobidb-lite	NA	NA	cd03704;cd01883;cd04089	G3DSA:3.40.50.300;G3DSA:2.40.30.10	SSF50447;SSF50465;SSF52540	PS51722	NA	PR01343;PR00315	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_74_length_82158_cov_37.064439-snap-gene-0.12-mRNA-1	PTHR43083;PTHR43083:SF2	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR029044	NA	NA	PF03452	TMhelix	mobidb-lite	Coil	NA	NA	G3DSA:3.90.550.10	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_46_length_189133_cov_58.105309-augustus-gene-0.477-mRNA-1	PTHR18806:SF4;PTHR18806	NA	IPR036483	GO:0006397;GO:0003676	NA	PF01480	NA	mobidb-lite	Coil	NA	NA	G3DSA:1.20.1390.10	SSF101233;SSF54928	PS51025	SM00311	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_28_length_307899_cov_56.759910-processed-gene-1.53-mRNA-1	PTHR12983	NA	IPR039739	GO:0046872	NA	PF00097	NA	mobidb-lite	Coil	PS00518	cd16536	G3DSA:3.30.40.10	SSF57850	PS50089	SM00184	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_718053_cov_59.395713-snap-gene-3.49-mRNA-1	PTHR11758;PTHR11758:SF4	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR035987	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00410	TMhelix	NA	NA	NA	NA	G3DSA:3.30.1370.30;G3DSA:3.30.1490.10	SSF56047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_387202_cov_58.679540-augustus-gene-2.585-mRNA-1	PTHR11785:SF498;PTHR11785	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	PF13520	TMhelix	NA	NA	NA	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA
augustus_masked-NODE_40_length_236980_cov_57.581306-processed-gene-0.45-mRNA-1	PTHR28259:SF1;PTHR28259	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR003691	GO:0016021	NA	PF02537	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_32_length_276436_cov_60.070273-augustus-gene-1.141-mRNA-1	PTHR43791:SF63;PTHR43791	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR011701	GO:0016021;GO:0055085	NA	PF07690	TMhelix	NA	NA	NA	cd06174	G3DSA:1.20.1250.20	SSF103473	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_66_length_112180_cov_60.511151-processed-gene-0.315-mRNA-1	PTHR13710;PTHR13710:SF105	NA	IPR014001	GO:0003676;GO:0005524;GO:0006310;GO:0008026	NA	PF00270;PF00271;PF16124	NA	NA	NA	PS00690	cd00079;cd00046	G3DSA:3.40.50.300	SSF52540	PS51192;PS51194	SM00487;SM00490	NA	NA	TIGR00614	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_718053_cov_59.395713-snap-gene-5.178-mRNA-1	PTHR43898;PTHR43898:SF9	NA	IPR000608		Reactome: R-HSA-983168	PF00179	NA	mobidb-lite	NA	PS00183	cd00195	G3DSA:3.10.110.10	SSF54495	PS50127	SM00212	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_62_length_126088_cov_56.581196-processed-gene-0.54-mRNA-1	PTHR42918:SF5;PTHR42918	NA	IPR018149	GO:0000166;GO:0004824;GO:0005524;GO:0005737;GO:0006430;GO:0004812;GO:0006418	KEGG: 00970+6.1.1.6|Reactome: R-HSA-2408517|Reactome: R-HSA-379716|Reactome: R-HSA-379726	PF00152	NA	mobidb-lite	NA	NA	cd04322	G3DSA:2.40.50.140	SSF55681;SSF50249	PS50862	NA	PR00982	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_20_length_387202_cov_58.679540-snap-gene-2.568-mRNA-1	PTHR23506;PTHR23506:SF9	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR036259	GO:0016021;GO:0055085;GO:0005215	NA	PF07690	TMhelix	NA	NA	NA	cd06174	G3DSA:1.20.1250.20	SSF103473	PS50850	NA	PR01035	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_62_length_126088_cov_56.581196-processed-gene-0.40-mRNA-1	PTHR31737;PTHR31737:SF2	NA	IPR027417	GO:0003676;GO:0005524	NA	PF00271;PF10287;PF00270	NA	mobidb-lite	NA	NA	cd00079	G3DSA:3.40.50.300	SSF52540	PS51194;PS51192;PS51195	SM00487;SM00490	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_29_length_304748_cov_57.569130-processed-gene-2.31-mRNA-1	PTHR13759;PTHR13759:SF1	NA	IPR002108	GO:0003779;GO:0005622;GO:0030837	NA	PF00241	NA	NA	NA	NA	cd11285	G3DSA:3.40.20.10	SSF55753	PS51263	SM00102	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_42_length_197979_cov_55.852400-augustus-gene-0.130-mRNA-1	PTHR37928	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	IPR008427	NA	NA	PF05730	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SM00747	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-NODE_66_length_112180_cov_60.511151-snap-gene-0.226-mRNA-1	PTHR11699:SF211;PTHR11699	NA	IPR016163	GO:0016491;GO:0016620;GO:0055114	NA	PF00171	NA	NA	NA	PS00070;PS00687	cd07091	G3DSA:3.40.309.10;G3DSA:3.40.605.10	SSF53720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_75_length_80554_cov_59.301603-augustus-gene-0.21-mRNA-1	PTHR21320;PTHR21320:SF3	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR007533	GO:0005507	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	PF04442	NA	mobidb-lite	NA	NA	NA	G3DSA:2.60.370.10	SSF110111	NA	NA	NA	NA	NA	NA	NA	NA	MF_00155	NA	NA
maker-NODE_80_length_69998_cov_49.620873-snap-gene-0.117-mRNA-1	PTHR43806;PTHR43806:SF25	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	IPR023827	GO:0004252;GO:0006508	NA	NA	TMhelix	NA	NA	PS00136	NA	G3DSA:3.40.50.200	SSF52743	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
maker-NODE_71_length_98880_cov_54.733821-augustus-gene-0.105-mRNA-1	PTHR42817:SF1;PTHR42817	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	IPR023753	GO:0016491;GO:0055114	NA	PF07992	NA	NA	NA	NA	NA	G3DSA:3.50.50.60	SSF51905	NA	NA	PR00368;PR00469	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-NODE_171_length_17260_cov_45.089068-snap-gene-0.3-mRNA-1	PTHR34883;PTHR34883:SF3	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	IPR008972	GO:0009055	NA	PF02298	NA	mobidb-lite	NA	NA	cd00920	G3DSA:2.60.40.420	SSF49503	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-NODE_5_length_639344_cov_58.481605-processed-gene-2.273-mRNA-1	PTHR43261:SF1;PTHR43261	NA	IPR035647	GO:0003924;GO:0005525	NA	PF00679;PF14492;PF00009	NA	NA	NA	PS00301	cd03713	G3DSA:3.30.70.870;G3DSA:3.40.50.300;G3DSA:2.40.30.10	SSF54980;SSF50447;SSF52540	PS51722	SM00838	PR00315	NA	TIGR00231	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_196090_cov_50.533157-snap-gene-0.31-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_370437_cov_58.723945-processed-gene-1.261-mRNA-1	PTHR28244:SF3;PTHR28244	NA	IPR029178	NA	NA	PF15463	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_63_length_121436_cov_57.503804-processed-gene-0.15-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_51_length_158936_cov_54.945186-snap-gene-0.17-mRNA-1	PTHR10997:SF8;PTHR10997	NA	IPR016024	GO:0006886;GO:0008536;GO:0005515	NA	PF08506;PF03810;PF03378	NA	NA	NA	NA	NA	G3DSA:1.25.10.10	SSF48371	PS50166	SM00913	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1425273_cov_58.493042-augustus-gene-4.7-mRNA-1	PTHR10048:SF22;PTHR10048	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR000403	GO:0016773;GO:0016301;GO:0046854;GO:0048015	KEGG: 00562+2.7.1.67|KEGG: 04070+2.7.1.67|MetaCyc: PWY-6351|MetaCyc: PWY-6352	PF00454;PF11522	NA	mobidb-lite	NA	PS00915;PS00916	cd05168	G3DSA:3.30.1010.10;G3DSA:1.10.1070.11	SSF56112	PS50290	SM00146	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_604053_cov_57.456056-processed-gene-0.18-mRNA-1	PTHR43260	NA	IPR014614	GO:0016627;GO:0055114	Reactome: R-HSA-611105|Reactome: R-HSA-71403	PF00890	NA	NA	NA	NA	NA	G3DSA:3.50.50.60	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF036654	NA
snap_masked-NODE_23_length_370437_cov_58.723945-processed-gene-0.206-mRNA-1	PTHR11668;PTHR11668:SF242	NA	IPR006186	GO:0016787	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	PF00149	NA	NA	NA	PS00125	cd07415	G3DSA:3.60.21.10	SSF56300	NA	SM00156	PR00114	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_40_length_236980_cov_57.581306-augustus-gene-1.184-mRNA-1	PTHR24031:SF269;PTHR24031	NA	IPR001650	GO:0003676;GO:0005524	NA	PF00270;PF00271	NA	mobidb-lite	Coil	PS00039	cd00079;cd00268	G3DSA:3.40.50.300	SSF52540	PS51194;PS51195;PS51192	SM00487;SM00490	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_558485_cov_55.498657-processed-gene-4.417-mRNA-1	PTHR24031;PTHR24031:SF25	NA	IPR001650	GO:0003676;GO:0005524	NA	PF00270;PF00271	NA	mobidb-lite	Coil	PS00039	cd00079;cd00268	G3DSA:3.40.50.300	SSF52540	PS51194;PS51195;PS51192	SM00487;SM00490	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_228985_cov_52.842203-snap-gene-1.120-mRNA-1	PTHR14145:SF2;PTHR14145	NA	IPR000717	GO:0000338;GO:0008180	Reactome: R-HSA-5696394|Reactome: R-HSA-6781823|Reactome: R-HSA-8856825|Reactome: R-HSA-8951664	PF01399;PF10602	NA	mobidb-lite	NA	NA	NA	G3DSA:1.25.40.570	SSF46785	PS50250	SM00088;SM00753	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_46_length_189133_cov_58.105309-processed-gene-0.36-mRNA-1	PTHR41237	NA	IPR001911	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF01165	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
