Gene	interpro	GO	PATHWAY	TIGRFAM	PRINTS	SUPERFAMILY	PANTHER	Gene3D	PIRSF	Hamap	Pfam	ProSitePatterns	CDD	MobiDBLite	SFLD	SMART	ProSiteProfiles	Phobius	TMHMM	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	Coils	SignalP_EUK	ProDom
OPB39763.1	IPR006195	GO:0000166;GO:0004826;GO:0005524;GO:0005737;GO:0006432;GO:0000049;GO:0004812;GO:0043039	KEGG: 00970+6.1.1.20	TIGR00469	NA	SSF55681;SSF54991	PTHR11538;PTHR11538:SF41	G3DSA:3.30.930.10;G3DSA:3.30.70.380	NA	NA	PF03147;PF01409	NA	cd00496	NA	NA	SM00896	PS50862;PS51447	NA	NA	NA	NA	NA	NA	NA
OPB39388.1	IPR032675	GO:0005515	NA	NA	NA	SSF52058	PTHR15454:SF17;PTHR15454	G3DSA:3.80.10.10	NA	NA	PF13855	NA	NA	mobidb-lite	NA	NA	PS51450	NA	NA	NA	NA	NA	NA	NA
OPB37216.1	IPR003593	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	NA	NA	NA	SSF52540;SSF90123	PTHR24223;PTHR24223:SF344	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	NA	NA	PF00664;PF00005	PS00211	cd03250;cd03244	mobidb-lite	NA	SM00382	PS50929;PS50893	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB36775.1	IPR036640	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	NA	NA	NA	SSF90123;SSF52540	PTHR24223:SF269;PTHR24223	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	NA	NA	PF00664;PF00005	PS00211	NA	NA	NA	SM00382	PS50893;PS50929	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB42254.1	IPR014001	GO:0003676;GO:0005524	NA	NA	NA	SSF52540	PTHR24031:SF421;PTHR24031	G3DSA:3.40.50.300	NA	NA	PF00271;PF00270	NA	cd00079	mobidb-lite	NA	SM00487;SM00490	PS51192;PS51194;PS51195	NA	NA	NA	NA	Coil	NA	NA
OPB45520.1	IPR012001	GO:0030976;GO:0003824;GO:0000287;GO:0016831	NA	NA	NA	SSF52518;SSF52467	PTHR43452;PTHR43452:SF1	G3DSA:3.40.50.970;G3DSA:3.40.50.1220	PIRSF036565	NA	PF02776;PF02775;PF00205	PS00187	cd07038;cd02005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42560.1	IPR020846	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR43791:SF46;PTHR43791	G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	NA	NA	NA	PS50850	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB39124.1	IPR007240	GO:0006914	NA	NA	NA	NA	PTHR28005	NA	NA	NA	PF04108	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40465.1	IPR020683	GO:0005515	NA	NA	PR01415	SSF48403	PTHR44294	G3DSA:1.25.40.20	NA	NA	PF12796;PF00023	NA	cd00204	mobidb-lite	NA	SM00248	PS50088;PS50297	NA	NA	NA	NA	NA	NA	NA
OPB44970.1	NA	NA	NA	NA	NA	NA	PTHR33048;PTHR33048:SF65	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB38020.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	NA	NA	SSF57701	PTHR31944:SF55;PTHR31944	G3DSA:4.10.240.10	NA	NA	PF04082;PF00172	NA	cd00067;cd12148	mobidb-lite	NA	SM00066;SM00906	PS50048	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA
OPB43502.1	IPR036322	GO:0005515	NA	NA	NA	SSF50978	PTHR13950:SF9;PTHR13950	G3DSA:2.130.10.10	NA	NA	PF12234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB46480.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36052.1	IPR000868	GO:0003824	NA	NA	NA	SSF52499	PTHR11080;PTHR11080:SF54	G3DSA:3.40.50.850	NA	NA	PF00857	NA	cd00431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38114.1	IPR035994	GO:0003824;GO:0009116	NA	NA	NA	SSF53167;SSF52540	PTHR21234;PTHR21234:SF16	G3DSA:3.40.50.300	NA	NA	PF01048	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA
OPB39268.1	IPR000626	GO:0005515	NA	NA	NA	SSF54236	NA	G3DSA:3.10.20.90	NA	NA	PF11976	NA	NA	mobidb-lite	NA	NA	PS50053	NA	NA	NA	NA	NA	NA	NA
OPB39461.1	IPR034753	GO:0042578	NA	NA	NA	NA	PTHR11200;PTHR11200:SF251	NA	NA	NA	PF12456;PF02383	NA	NA	mobidb-lite	NA	NA	PS51791;PS50275	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA
OPB46029.1	IPR020846	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR23501;PTHR23501:SF39	NA	NA	NA	PF07690	NA	cd06174	mobidb-lite	NA	NA	PS50850	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB45590.1	IPR011701	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR23501;PTHR23501:SF92	G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB39130.1	IPR005338	GO:0005524;GO:0006040;GO:0009254;GO:0016773	MetaCyc: PWY-7883	NA	NA	SSF53067	PTHR30605:SF0;PTHR30605	G3DSA:3.30.420.40	NA	MF_01270	PF03702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37947.1	IPR036259	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR23501;PTHR23501:SF103	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	NA	NA	PF07690	NA	cd06174	mobidb-lite	NA	NA	PS50850	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB44154.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	Coil	NA	NA
OPB45091.1	IPR000048	GO:0005515;GO:0003774;GO:0005524;GO:0051015;GO:0016459	NA	NA	PR00193	SSF50084;SSF52540	PTHR13140:SF725;PTHR13140	G3DSA:1.20.120.720;G3DSA:3.30.70.3240;G3DSA:1.20.58.530;G3DSA:3.40.850.10;G3DSA:1.20.5.190;G3DSA:1.10.10.820	NA	NA	PF01843;PF00063;PF02736;PF00612	NA	cd01380;cd15480	mobidb-lite	NA	SM00015;SM00242;SM01132	PS50096;PS51456;PS51126;PS51844	NA	NA	NA	NA	Coil	NA	NA
OPB46520.1	IPR037217	GO:0019441;GO:0020037;GO:0046872	KEGG: 00380+1.13.11.11|Reactome: R-HSA-71240	NA	NA	SSF140959	PTHR28657;PTHR28657:SF5	G3DSA:1.20.58.480	NA	NA	PF01231	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB44977.1	IPR018827	NA	NA	NA	NA	NA	PTHR31685:SF2;PTHR31685	NA	NA	NA	PF10355;PF10348	NA	cd08760	mobidb-lite	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	SignalP-TM	NA
OPB39057.1	IPR009011		Reactome: R-HSA-432720|Reactome: R-HSA-6811440|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828	NA	NA	SSF50911	PTHR15071;PTHR15071:SF0	G3DSA:2.70.130.10	NA	NA	PF02157	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	TMhelix	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB41786.1	IPR020846	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR43791:SF14;PTHR43791	G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	mobidb-lite	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB44300.1	IPR004001	NA	NA	NA	NA	SSF53067	PTHR11937;PTHR11937:SF274	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	NA	PF00022	PS00432	cd00012	NA	NA	SM00268	NA	NA	NA	NA	NA	NA	NA	NA
OPB38100.1	IPR004161	GO:0005525;GO:0003924	NA	TIGR00231	PR00315	SSF52540;SSF54980;SSF54211;SSF50447	PTHR42908;PTHR42908:SF10	G3DSA:3.30.70.870;G3DSA:2.40.30.10;G3DSA:3.30.70.240;G3DSA:3.30.230.10;G3DSA:3.90.1430.10;G3DSA:3.40.50.300	NA	NA	PF14492;PF03144;PF03764;PF00679;PF00009	PS00301	cd01885;cd04096;cd16261;cd01681	NA	NA	SM00838;SM00889	PS51722	NA	NA	NA	NA	NA	NA	NA
OPB41106.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	NA	NA	SSF56112	PTHR24359:SF1;PTHR24359	G3DSA:1.10.510.10	NA	NA	PF00069	NA	cd00180	mobidb-lite	NA	SM00220	PS50011	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA
OPB41693.1	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	Reactome: R-HSA-189200	TIGR00879	PR00171	SSF103473	PTHR23500:SF353;PTHR23500	G3DSA:1.20.1250.20	NA	NA	PF00083	PS00216;PS00217	cd06174	NA	NA	NA	PS50850	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB36971.1	IPR000717		Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	SSF46785	PTHR10539:SF0;PTHR10539	G3DSA:1.25.40.570	NA	NA	PF01399;PF18261	NA	NA	NA	NA	SM00753;SM00088	PS50250	NA	NA	NA	NA	Coil	NA	NA
OPB36246.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA
OPB36727.1	IPR002110	GO:0005515	NA	NA	NA	SSF81383;SSF48403	PTHR44181	G3DSA:1.25.40.20;G3DSA:1.20.1280.50	NA	NA	NA	NA	cd00204	NA	NA	SM00248	PS50088;PS50297;PS50181	NA	NA	NA	NA	NA	NA	NA
OPB36051.1	IPR003439	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	NA	NA	SSF52540;SSF90123	PTHR24221;PTHR24221:SF400	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	NA	NA	PF00005;PF00664	PS00211	cd03249	mobidb-lite	NA	SM00382	PS50893;PS50929	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	Coil	NA	NA
OPB44030.1	IPR003855	GO:0015079;GO:0016020;GO:0071805	NA	TIGR00794	NA	NA	PTHR30540;PTHR30540:SF7	NA	NA	NA	PF02705	NA	NA	mobidb-lite	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	Coil	NA	NA
OPB41577.1	IPR004776	GO:0016021;GO:0055085	NA	NA	NA	NA	PTHR31794:SF2;PTHR31794	NA	NA	NA	PF03547	NA	NA	mobidb-lite	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	NA
OPB40127.1	NA	NA	NA	NA	NA	NA	PTHR36089	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	TMhelix	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	PD039572
OPB42296.1	IPR001005	GO:0000126;GO:0000995;GO:0006383;GO:0003677	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	SSF46689	PTHR22929	G3DSA:1.10.10.60	NA	NA	PF15963	NA	cd00167	mobidb-lite	NA	SM00717	NA	NA	NA	NA	NA	Coil	NA	NA
OPB38882.1	IPR020846	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR43791	G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	NA	NA	NA	PS50850	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB44449.1	IPR021829	NA	NA	NA	NA	SSF53335	PTHR42912:SF28;PTHR42912	G3DSA:3.40.50.150	NA	NA	PF13489;PF11899	NA	cd02440	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA
OPB44179.1	NA	NA	NA	NA	NA	SSF57845	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41168.1	IPR007568	GO:0016021	NA	NA	NA	NA	PTHR31465:SF15;PTHR31465	NA	NA	NA	PF04479	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	TMhelix	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB40401.1	IPR016720	GO:0004605;GO:0016020;GO:0016772	KEGG: 00564+2.7.7.41|KEGG: 04070+2.7.7.41|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-7817	NA	NA	NA	PTHR13773;PTHR13773:SF8	NA	PIRSF018269	NA	PF01148	PS01315	NA	mobidb-lite	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB43608.1	IPR034605	GO:0003712;GO:0008134;GO:0005515	Reactome: R-HSA-2151201	NA	NA	SSF50978	PTHR15528;PTHR15528:SF11	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB41517.1	IPR029044		Reactome: R-HSA-913709	NA	NA	SSF53448	PTHR22913:SF12;PTHR22913	NA	NA	NA	PF13632	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB43586.1	IPR036465	GO:0000439;GO:0006289;GO:0006355	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73777|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075	NA	NA	NA	PTHR12831	G3DSA:3.40.50.410	NA	NA	PF03850	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39316.1	IPR012966	NA	NA	NA	NA	SSF50729	PTHR36100	G3DSA:2.30.29.30	NA	NA	PF08174;PF00169	NA	cd13278	mobidb-lite	NA	SM00233	PS50003	NA	NA	NA	NA	Coil	NA	NA
OPB46603.1	IPR019411	GO:0008289;GO:0007005;GO:0032865	NA	NA	NA	NA	PTHR13466;PTHR13466:SF5	NA	NA	MF_03103	PF10296	NA	NA	mobidb-lite	NA	NA	PS51847	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB46073.1	IPR002018	NA	NA	NA	NA	SSF53474	PTHR11559	G3DSA:3.40.50.1820	NA	NA	PF00135	PS00122;PS00941	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB37498.1	IPR004827	GO:0003700;GO:0006355;GO:0008017;GO:0003677;GO:0005634	NA	NA	NA	SSF57959	PTHR10623:SF17;PTHR10623	G3DSA:1.20.5.170	NA	NA	PF10297	PS00036	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB45202.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	NA	PR00755	SSF57701	PTHR31313:SF67;PTHR31313	G3DSA:4.10.240.10	NA	NA	PF04082;PF00172	PS00463	cd00067;cd12148	mobidb-lite	NA	SM00066;SM00906	PS50048	NA	NA	NA	NA	NA	NA	NA
OPB41380.1	IPR011701	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR43791;PTHR43791:SF2	G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	mobidb-lite	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB39879.1	IPR013616	GO:0004100;GO:0006031;GO:0016758	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	SSF53448	PTHR22914:SF38;PTHR22914	NA	NA	NA	PF08407;PF01644	NA	cd04190	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	PD002998
OPB39155.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	NA	NA	SSF57701	PTHR19444;PTHR19444:SF23	G3DSA:4.10.240.10	NA	NA	PF04082;PF00172	PS00463	cd00067;cd12148	mobidb-lite	NA	SM00066	PS50048	NA	NA	NA	NA	NA	NA	NA
OPB40703.1	IPR027417	NA	NA	NA	NA	SSF52540	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36510.1	IPR011343	GO:0004139;GO:0005737;GO:0009264;GO:0016829;GO:0003824	KEGG: 00030+4.1.2.4|MetaCyc: PWY-7180|Reactome: R-HSA-6798695|Reactome: R-HSA-71336	TIGR00126	NA	SSF51569	PTHR10889;PTHR10889:SF1	G3DSA:3.20.20.70	PIRSF001357	MF_00114	PF01791	NA	cd00959	NA	NA	SM01133	NA	NA	NA	NA	NA	NA	NA	NA
OPB36143.1	IPR036259	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR42718;PTHR42718:SF10	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	NA	NA	NA	PS50850	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB46918.1	IPR031606	GO:0005887;GO:0015079;GO:0071805	NA	NA	NA	NA	PTHR36424	NA	NA	NA	PF16944	NA	NA	mobidb-lite	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB39529.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB40234.1	IPR001680	GO:0005515	NA	NA	PR00320	SSF50998	PTHR19856;PTHR19856:SF0	G3DSA:2.130.10.10	NA	NA	PF00400;PF12894	PS00678	cd00200	NA	NA	SM00320	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA
OPB39928.1	IPR027469	GO:0006812;GO:0008324;GO:0016021;GO:0055085	NA	NA	NA	SSF161111	PTHR11562:SF62;PTHR11562	G3DSA:1.20.1510.10	NA	NA	PF01545	NA	NA	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB45417.1	IPR011043	GO:0005515	NA	NA	NA	SSF50965	NA	G3DSA:2.120.10.80	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	NA
OPB40540.1	IPR011701	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR23502;PTHR23502:SF33	NA	NA	NA	PF07690	NA	cd06174	mobidb-lite	NA	NA	PS50850	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	Coil	NA	NA
OPB42401.1	IPR028143	NA	NA	NA	NA	NA	PTHR28263	NA	NA	NA	PF08690	NA	NA	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB36171.1	IPR009078	NA	NA	NA	NA	SSF47240	PTHR31694:SF7;PTHR31694	NA	NA	NA	PF13668	NA	cd00657	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB44934.1	IPR011008	NA	NA	NA	NA	SSF54909	PTHR40260	G3DSA:3.30.70.100	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB40189.1	IPR001607	GO:0008270;GO:0000245;GO:0006397;GO:0016579;GO:0036459	Reactome: R-HSA-72163	NA	NA	SSF54001;SSF57850	PTHR43985	G3DSA:3.30.40.10;G3DSA:3.90.70.10	NA	NA	PF02148;PF00443	NA	cd02669	mobidb-lite	NA	SM00290	PS50271;PS50235	NA	NA	NA	NA	NA	NA	NA
