Gene	interpro	ProSitePatterns	Coils	SUPERFAMILY	GO	Pfam	PANTHER	MobiDBLite	Phobius	TMHMM	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	CDD	Hamap	Gene3D	PRINTS	PATHWAY	ProSiteProfiles	ProDom	SMART	PIRSF	TIGRFAM	SFLD
PTB46041.1	IPR007568	NA	Coil	NA	GO:0016021	PF04479	PTHR31465:SF15;PTHR31465	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46360.1	IPR036852	PS00136;PS00138	NA	SSF52743	GO:0004252;GO:0006508	PF00082	PTHR43399	mobidb-lite	NA	NA	NA	NA	NA	cd00306	NA	G3DSA:3.40.50.200	PR00723	NA	NA	NA	NA	NA	NA	NA
PTB47127.1	IPR000719	PS00108	Coil	SSF55785;SSF52172;SSF56112	GO:0004672;GO:0005524;GO:0006468;GO:0000160;GO:0004674	PF00069;PF00072	PTHR24356:SF1;PTHR24356	mobidb-lite	NA	NA	NA	NA	NA	cd05611;cd00156	NA	G3DSA:3.40.50.2300;G3DSA:1.10.510.10;G3DSA:3.30.200.20;G3DSA:3.30.450.20	NA	NA	PS50011;PS50110;PS51285;PS50112	NA	SM00448;SM00220	NA	NA	NA
PTB41137.1	IPR023213	PS00455;PS00012	NA	SSF52777;SSF47336;SSF56801;SSF53901;SSF55048;SSF51735;SSF52151	GO:0031177;GO:0016740;GO:0003824	PF00501;PF00698;PF07993;PF02801;PF00550;PF00668;PF00109	PTHR45527	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	cd05918;cd00833	NA	G3DSA:3.30.559.10;G3DSA:3.40.50.720;G3DSA:3.30.559.30;G3DSA:2.30.38.10;G3DSA:3.40.366.10;G3DSA:3.40.47.10;G3DSA:3.40.50.12780;G3DSA:3.30.70.250;G3DSA:3.30.300.30;G3DSA:3.30.70.3290;G3DSA:1.10.1200.10	NA	Reactome: R-HSA-389661	PS50075	NA	SM00825;SM00823;SM00827	NA	TIGR01733;TIGR01746	NA
PTB42832.1	IPR027546	NA	NA	SSF52467	GO:0036054;GO:0036055;GO:0070403	PF02146	PTHR42984:SF2;PTHR42984	NA	NA	NA	NA	NA	NA	cd01412	NA	G3DSA:3.30.1600.10;G3DSA:3.40.50.1220	NA	Reactome: R-HSA-2151201	PS50305	NA	NA	NA	NA	NA
PTB36648.1	IPR001138	PS00463	NA	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	PTHR31944	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	cd00067;cd12148	NA	G3DSA:4.10.240.10	NA	NA	PS50048	NA	SM00906;SM00066	NA	NA	NA
PTB37242.1	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41335.1	IPR009836	NA	NA	NA	NA	PF07173	PTHR24637:SF140;PTHR24637	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44572.1	IPR000182	NA	NA	SSF55729	NA	PF00583	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	G3DSA:3.40.630.30	NA	NA	NA	NA	NA	NA	NA	NA
PTB40609.1	IPR011765	PS00143	NA	SSF63411	GO:0004222;GO:0006627;GO:0017087;GO:0006508;GO:0003824;GO:0046872	PF00675;PF05193	PTHR11851:SF103;PTHR11851	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	SignalP-TM	NA	NA	NA	NA	G3DSA:3.30.830.10	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-8949664	NA	NA	NA	NA	NA	NA
PTB36050.1	IPR027421	PS00522	NA	SSF81585;SSF47802;SSF81301	GO:0003677;GO:0003887;GO:0034061;GO:0016779;GO:0005634;GO:0006281	PF14792;PF14791;PF10391;PF14716	PTHR11276:SF29;PTHR11276	mobidb-lite	NA	NA	NA	NA	NA	cd00141	NA	G3DSA:1.10.150.110;G3DSA:3.30.460.10;G3DSA:1.10.150.20;G3DSA:3.30.210.10	PR00869;PR00870	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7	PS50172	NA	SM00483	NA	NA	NA
PTB38202.1	NA	NA	NA	NA	NA	NA	PTHR35041:SF3;PTHR35041	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44072.1	IPR016040	NA	NA	SSF82114;SSF51735	GO:0008531;GO:0009231	PF13460;PF01687	PTHR22749	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	NA	G3DSA:2.40.30.30;G3DSA:3.40.50.720	NA	Reactome: R-HSA-196843	NA	NA	SM00904	NA	NA	NA
PTB37377.1	IPR011009	NA	NA	SSF56112		PF03881	PTHR12149:SF8;PTHR12149	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.90.1200.10	NA	Reactome: R-HSA-163841	NA	NA	NA	NA	NA	NA
PTB43112.1	IPR003000	NA	NA	SSF52467	GO:0070403	PF02146	PTHR11085:SF23;PTHR11085	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.1600.10;G3DSA:3.40.50.1220	NA	NA	PS50305	NA	NA	NA	NA	NA
PTB38428.1	IPR000969	NA	NA	SSF50729	GO:0003677;GO:0005634	PF03531;PF08512;PF17292	PTHR13711;PTHR13711:SF204	mobidb-lite	NA	NA	NA	NA	NA	cd13231;cd13230;cd13229	NA	G3DSA:2.30.29.30;G3DSA:2.30.29.220;G3DSA:2.30.29.150	PR00887	Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-75955	NA	NA	SM01287	NA	NA	NA
PTB46665.1	IPR036910	NA	Coil	SSF47095	NA	PF00505	PTHR13711;PTHR13711:SF302	mobidb-lite	NA	NA	NA	NA	NA	cd01390	NA	G3DSA:1.10.30.10	PR00886	NA	PS50118	NA	SM00398	NA	NA	NA
PTB42786.1	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB34981.1	IPR002048	NA	Coil	NA	GO:0005509;GO:0016020;GO:0055085	PF00924	PTHR31323;PTHR31323:SF7	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	PS50222	NA	NA	NA	NA	NA
PTB46747.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB43462.1	IPR017853	NA	NA	SSF51445	NA	PF11790	PTHR34154;PTHR34154:SF3	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	NA
PTB47224.1	IPR001017	NA	Coil	SSF52518	GO:0016624;GO:0003826;GO:0003863;GO:0009083	PF00676	PTHR43380;PTHR43380:SF1	NA	NA	NA	SignalP-TM	NA	NA	cd02000	NA	G3DSA:3.40.50.970	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA
PTB45226.1	IPR001734	NA	NA	NA	GO:0016020;GO:0022857;GO:0055085	PF00474	PTHR11819;PTHR11819:SF114	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	G3DSA:1.20.1730.10	NA	NA	PS50283	NA	NA	NA	NA	NA
PTB43427.1	IPR010378	NA	NA	NA		PF06159	PTHR13134:SF3;PTHR13134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA
PTB38726.1	IPR001765	PS00704	Coil	SSF53056	GO:0004089;GO:0008270;GO:0015976	PF00484	PTHR11002:SF16;PTHR11002	mobidb-lite	NA	NA	NA	NA	NA	cd00883	NA	G3DSA:3.40.1050.10	NA	KEGG: 00910+4.2.1.1|MetaCyc: PWY-241|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6142|MetaCyc: PWY-7115|MetaCyc: PWY-7117	NA	NA	SM00947	NA	NA	NA
PTB39594.1	IPR013870	NA	Coil	NA		PF08561	PTHR28595	mobidb-lite	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA
PTB43432.1	IPR001126	NA	NA	SSF56672	GO:0006281;GO:0003684	PF00817;PF11799	PTHR11076:SF10;PTHR11076	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.30.40.20;G3DSA:3.30.70.270	NA	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7|Reactome: R-HSA-5656169	PS50173	NA	NA	NA	NA	NA
PTB43766.1	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	TMhelix	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45341.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB38163.1	IPR025110	PS00455	NA	SSF56801	GO:0006629;GO:0030729;GO:0003824	PF13193;PF00501	PTHR42921:SF3;PTHR42921	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	NA	KEGG: 00280+6.2.1.16|KEGG: 00650+6.2.1.16|Reactome: R-HSA-77111	NA	NA	NA	NA	TIGR01217	NA
PTB46096.1	IPR002523	NA	Coil	SSF144083	GO:0016020;GO:0030001;GO:0046873;GO:0055085	PF01544	PTHR21535:SF33;PTHR21535	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	G3DSA:1.20.58.340	NA	NA	NA	NA	NA	NA	NA	NA
PTB35328.1	IPR013217	PS00606	NA	SSF51735;SSF53901;SSF47336;SSF53335;SSF55048;SSF52151;SSF50129	GO:0003824;GO:0016740;GO:0055114;GO:0031177;GO:0016491	PF08242;PF08659;PF14765;PF08240;PF02801;PF00698;PF16197;PF00107;PF00109	PTHR43775:SF7;PTHR43775	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	cd05195;cd00833;cd05274	NA	G3DSA:1.10.1200.10;G3DSA:3.90.180.10;G3DSA:3.40.47.10;G3DSA:3.40.366.10;G3DSA:3.10.129.110;G3DSA:3.30.70.3290;G3DSA:3.40.50.720;G3DSA:3.40.50.150	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	PS50075;PS51257	NA	SM00825;SM00822;SM00823;SM00826;SM00829;SM00827	NA	NA	NA
PTB41948.1	IPR012340	NA	Coil	SSF50249	GO:0000723;GO:0000784;GO:0003677;GO:0043047	PF02765;PF16686	PTHR14513;PTHR14513:SF0	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.40.50.140	NA	Reactome: R-HSA-1221632|Reactome: R-HSA-171306|Reactome: R-HSA-2559586	NA	NA	SM00976	NA	NA	NA
PTB34908.1	IPR007219	NA	NA	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	PTHR31944:SF96;PTHR31944	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	SM00906	NA	NA	NA
PTB44519.1	IPR003960	PS00674	Coil	SSF52540	GO:0005524;GO:0036402;GO:0005737;GO:0016787;GO:0030163	PF00004;PF16450	PTHR23073;PTHR23073:SF8	mobidb-lite	NA	NA	NA	NA	NA	cd00009	NA	G3DSA:1.10.8.60;G3DSA:2.40.50.140;G3DSA:3.40.50.300	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	SM00382	NA	TIGR01242	NA
PTB37149.1	IPR036249	NA	NA	SSF52833	GO:0005515	PF13417	PTHR42673;PTHR42673:SF4	NA	NA	NA	NA	NA	NA	cd00570	NA	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	NA	NA	NA	NA	NA	NA	NA	NA
PTB46719.1	IPR006597	NA	NA	SSF81901	GO:0005515	PF08238	PTHR43628:SF2;PTHR43628	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	SM00671	NA	NA	NA
PTB37500.1	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37481.1	IPR002401	NA	NA	SSF48264	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	PTHR24305;PTHR24305:SF107	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.10.630.10	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA
PTB44953.1	IPR002921	NA	Coil	SSF53474	GO:0006629	PF01764	PTHR21493:SF164;PTHR21493	mobidb-lite	NA	NA	NA	NA	NA	cd00519	NA	NA	NA	Reactome: R-HSA-426048	NA	NA	NA	NA	NA	NA
PTB45579.1	IPR028084	NA	NA	NA	NA	PF14636	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB35362.1	IPR036396	PS00086	NA	SSF48264	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	PTHR24279:SF82;PTHR24279	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	G3DSA:1.10.630.10	PR00385;PR00463	NA	NA	NA	NA	NA	NA	NA
PTB41824.1	IPR020683	NA	NA	SSF48403	GO:0005515	PF12796	PTHR43928:SF1;PTHR43928	NA	NA	NA	NA	NA	NA	cd00204	NA	G3DSA:1.25.40.20	NA	NA	PS50088;PS50297	NA	SM00248	NA	NA	NA
PTB42057.1	IPR002132	NA	NA	SSF55282	GO:0003735;GO:0005840;GO:0006412	PF00281;PF00673	PTHR11994;PTHR11994:SF4	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.1440.10	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA
PTB41365.1	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB43364.1	IPR029191	NA	Coil	NA	NA	PF15456	PTHR43939;PTHR43939:SF1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.20.5.340	NA	NA	NA	NA	NA	NA	NA	NA
PTB36400.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39162.1	IPR006598	NA	NA	NA	NA	PF05686	PTHR12203:SF54;PTHR12203	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SM00672	NA	NA	NA
PTB42854.1	IPR004813	NA	NA	NA	GO:0055085	PF03169	PTHR22601:SF9;PTHR22601	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00728;TIGR00727	NA
PTB39639.1	IPR001126	NA	NA	SSF56672;SSF100879;SSF52113	GO:0006281;GO:0003684;GO:0016779;GO:0042276	PF00817;PF16589;PF16727;PF14377;PF11799	PTHR11076;PTHR11076:SF12	mobidb-lite	NA	NA	NA	NA	NA	cd01701;cd00027	NA	G3DSA:1.10.150.20;G3DSA:3.40.50.10190;G3DSA:3.30.70.270;G3DSA:3.30.1490.100;G3DSA:1.20.58.1280;G3DSA:2.30.40.20	NA	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7|Reactome: R-HSA-5656169	PS50173;PS50172	NA	SM00292	PIRSF036573	NA	NA
PTB36741.1	IPR036396	PS00086	NA	SSF48264	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	PTHR24287:SF5;PTHR24287	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	G3DSA:1.10.630.10	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA
PTB42289.1	IPR036322	PS00678	NA	SSF50978	GO:0005515	PF00400	PTHR42968;PTHR42968:SF15	NA	NA	NA	NA	NA	NA	cd00200	NA	G3DSA:2.130.10.10	PR00320	NA	PS50082;PS50294	NA	SM00320	PIRSF002394	NA	NA
PTB38223.1	IPR021109	NA	NA	SSF50630	GO:0004190;GO:0006508	PF00026	PTHR13683:SF243;PTHR13683	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	SignalP-TM	NA	SignalP-noTM	cd05471	NA	G3DSA:2.40.70.10	PR00792	NA	PS51767	NA	NA	NA	NA	NA
PTB35726.1	IPR011701	NA	NA	SSF103473	GO:0016021;GO:0055085	PF07690	PTHR23504:SF39;PTHR23504	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	cd06174	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA
PTB40528.1	IPR001958	NA	NA	SSF103473	GO:0005215;GO:0016021;GO:0055085	PF07690	PTHR23504:SF8;PTHR23504	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	cd06174	NA	NA	PR01035	NA	PS50850	NA	NA	NA	NA	NA
PTB40359.1	IPR011990	NA	NA	SSF57850;SSF48452	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA	cd16448	NA	G3DSA:1.25.40.10;G3DSA:3.30.40.10	NA	NA	PS50089;PS50293;PS50005	NA	SM00184	NA	NA	NA
PTB45250.1	IPR029058	NA	NA	SSF53474	GO:0032126;GO:0070941	NA	PTHR10039:SF5;PTHR10039	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA
PTB40050.1	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	TMhelix	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41613.1	IPR036259	NA	NA	SSF103473	GO:0016021;GO:0055085	PF07690	PTHR23502:SF47;PTHR23502	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	NA	PS50850	NA	NA	NA	NA	NA
PTB36793.1	IPR038324	NA	Coil	SSF47819	GO:0006352;GO:0030880;GO:0005666;GO:0006384;GO:0000166;GO:0003824;GO:0044237	PF03874	PTHR15561	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.20.1250.40	NA	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	SM00657	NA	NA	NA
PTB38095.1	IPR013766	NA	NA	SSF52833	GO:0045454;GO:0006662;GO:0015035	PF00085	PTHR10438:SF366;PTHR10438	NA	NA	NA	NA	NA	NA	cd02947	NA	G3DSA:3.40.30.10	PR00421	NA	PS51352	NA	NA	NA	NA	NA
PTB38846.1	IPR032387	PS00455	NA	SSF56801	GO:0003824	PF16177;PF13193;PF00501	PTHR43347:SF3;PTHR43347	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	NA	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857	NA	NA	NA	NA	NA	NA
PTB37928.1	IPR000014	PS00344	NA	SSF55785;SSF57716	GO:0006355;GO:0008270;GO:0043565;GO:0005515	PF13426;PF08447;PF00320	PTHR24351;PTHR24351:SF160	mobidb-lite	NA	NA	NA	NA	NA	cd00130;cd00202	NA	G3DSA:3.30.50.10;G3DSA:3.30.450.20	NA	Reactome: R-HSA-383280	PS50114;PS50112	NA	SM00086;SM00401;SM00091	NA	TIGR00229	NA
PTB38238.1	IPR018306	NA	NA	NA	NA	PF10544	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SM00974	NA	NA	NA
PTB39629.1	IPR037396	PS00191	NA	SSF55856;SSF51395	GO:0020037;GO:0016491;GO:0003824	PF00173;PF01070	PTHR10578:SF82;PTHR10578	NA	NA	NA	NA	NA	NA	cd02922	NA	G3DSA:3.10.120.10;G3DSA:3.20.20.70	PR00363	Reactome: R-HSA-9033241	PS51349;PS50255	NA	SM01117	NA	NA	NA
PTB43672.1	IPR000719	PS00108;PS00107	NA	SSF56112	GO:0004672;GO:0005524;GO:0006468	PF00069	PTHR24056:SF45;PTHR24056	mobidb-lite	NA	NA	NA	NA	NA	cd14135	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	NA	PS50011	NA	SM00220	NA	NA	NA
PTB36121.1	IPR001138	PS00463	NA	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	PTHR31944:SF64;PTHR31944	mobidb-lite	NA	NA	NA	NA	NA	cd12148;cd00067	NA	G3DSA:4.10.240.10	NA	NA	PS50048	NA	SM00066	NA	NA	NA
PTB42121.1	IPR001208	PS00847	NA	SSF50249;SSF52540	GO:0003677;GO:0005524;GO:0006270;GO:0006260;GO:0003688;GO:0005634;GO:0042555	PF00493;PF17207;PF17855;PF14551	PTHR11630;PTHR11630:SF42	NA	NA	NA	NA	NA	NA	cd00009	NA	G3DSA:3.30.1640.10;G3DSA:2.40.50.140;G3DSA:3.40.50.300;G3DSA:2.20.28.10	PR01657;PR01661	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	PS50051	NA	SM00350	NA	NA	NA
