Gene	Phobius	interpro	SUPERFAMILY	PANTHER	GO	Pfam	ProSiteProfiles	CDD	TMHMM	Coils	MobiDBLite	PATHWAY	ProSitePatterns	SMART	Gene3D	PIRSF	PRINTS	TIGRFAM	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	SFLD	ProDom
EGR49693.1	NA	IPR036188	SSF51905	PTHR43747:SF1;PTHR43747	NA	PF04820	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44272.1	NA	IPR036838	SSF54999	PTHR11700:SF9;PTHR11700	GO:0003735;GO:0005840;GO:0006412	PF00338	NA	NA	NA	NA	mobidb-lite	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	SM01403	G3DSA:3.30.70.600	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51434.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR017981	SSF81321	PTHR23112:SF0;PTHR23112	GO:0004888;GO:0007166;GO:0016021;GO:0004930;GO:0007186	PF00002	PS50261	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	G3DSA:1.20.1070.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44780.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR005344	NA	PTHR12703	GO:0016021	PF03661	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45858.1	NA	IPR007466	SSF55909	PTHR31377	GO:0004668;GO:0009446	PF04371	NA	NA	NA	NA	NA	KEGG: 00330+3.5.3.12|MetaCyc: PWY-43	NA	NA	G3DSA:3.75.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52937.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR001733	SSF51306	PTHR10806;PTHR10806:SF6	GO:0006465;GO:0008233;GO:0016020;GO:0008236;GO:0016021	PF00717	NA	cd06530	NA	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-381771|Reactome: R-HSA-400511|Reactome: R-HSA-422085	PS00501	NA	NA	NA	PR00728	TIGR02228	NA	NA	NA	NA	NA	NA
EGR51485.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	IPR021047	NA	PTHR34144;PTHR34144:SF5	NA	PF11735	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49380.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	IPR036514	SSF52266	PTHR22835;PTHR22835:SF178	GO:0016788	PF00657	NA	cd01846	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.1110	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
EGR50913.1	NA	IPR001715	SSF46966;SSF47473;SSF47576	PTHR45399	GO:0005515;GO:0005509	PF08726;PF00307	PS50222;PS50021	cd00014;cd00051	NA	NA	mobidb-lite	Reactome: R-HSA-373753	PS00020;PS00018	SM01184;SM00033	G3DSA:1.20.58.60;G3DSA:1.10.238.10;G3DSA:1.10.418.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52234.1	NA	IPR013873	SSF101391	PTHR12800;PTHR12800:SF4	GO:0019901	PF08564;PF03234;PF08565	NA	NA	NA	Coil	mobidb-lite	Reactome: R-HSA-1227986|Reactome: R-HSA-1236382|Reactome: R-HSA-5637810|Reactome: R-HSA-8863795	NA	SM01070;SM01071;SM01069	G3DSA:1.20.58.610	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46337.1	NA	IPR020472	SSF50978;SSF160897	PTHR19879;PTHR19879:SF1	GO:0005515;GO:0005669	PF00400;PF08513;PF04494	PS50082;PS50896;PS50294	cd08044;cd00200	NA	NA	mobidb-lite	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-6807505|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	PS00678	SM00320;SM00667	G3DSA:2.130.10.10;G3DSA:1.25.40.500	NA	PR00320	NA	NA	NA	NA	NA	NA	NA
EGR45259.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	PTHR10485:SF0;PTHR10485	NA	PF02466	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49699.1	NA	IPR001138	SSF57701	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	PS50048	cd00067	NA	NA	mobidb-lite	NA	PS00463	SM00066	G3DSA:4.10.240.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51455.1	NA	IPR036291	SSF51735	PTHR43647:SF1;PTHR43647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46069.1	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR51086.1	NA	IPR036770	SSF48403;SSF52540	PTHR43928:SF3;PTHR43928	GO:0005515	PF00023;PF13606;PF12796;PF05729	PS50088;PS50297	cd00204	NA	NA	mobidb-lite	NA	NA	SM00248	G3DSA:1.25.40.20;G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51518.1	NA	IPR036236	SSF57667	PTHR43950;PTHR43950:SF1	GO:0003676	PF00096	PS50157	NA	NA	NA	mobidb-lite	NA	PS00028	SM00355	G3DSA:3.30.160.60	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46102.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR004853	NA	PTHR45400	NA	PF03151	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44191.1	NA	IPR001138	SSF57701	PTHR31944	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	PS50048	cd00067;cd12148	NA	Coil	mobidb-lite	NA	PS00463	SM00906;SM00066	G3DSA:4.10.240.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50613.1	NA	IPR036525	SSF55307;SSF52490	PTHR11588:SF256;PTHR11588	GO:0005200;GO:0005525;GO:0005874;GO:0007017;GO:0003924	PF00091;PF03953	NA	cd02187	NA	Coil	mobidb-lite	Reactome: R-HSA-380320	PS00227;PS00228	SM00864;SM00865	G3DSA:3.40.50.1440;G3DSA:1.10.287.600;G3DSA:3.30.1330.20	NA	PR01163;PR01161	NA	NA	NA	NA	NA	NA	NA
EGR48077.1	NA	IPR036318	SSF56176	PTHR10801:SF3;PTHR10801	GO:0050660;GO:0071949;GO:0016491;GO:0055114	PF01565	PS51387	NA	NA	Coil	NA	KEGG: 00100+1.3.1.72|Reactome: R-HSA-6807047|Reactome: R-HSA-6807062	NA	NA	G3DSA:3.30.465.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46840.1	NA	IPR028590	SSF53335	PTHR10920:SF12;PTHR10920	GO:0008033;GO:0008175;GO:0001510;GO:0008168;GO:0032259	PF01728	NA	NA	NA	NA	mobidb-lite	MetaCyc: PWY-6829|Reactome: R-HSA-6782315	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_03162;MF_01547	NA	NA
EGR48269.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	IPR000683	SSF55347;SSF51735	PTHR43708:SF1;PTHR43708	GO:0016491	PF01408	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50476.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR000008	SSF49562	PTHR10774:SF154;PTHR10774	NA	PF10540;PF05664;PF00168	PS51259;PS50004;PS51258	cd04043	NA	NA	mobidb-lite	NA	NA	SM00239	G3DSA:1.10.357.50;G3DSA:2.60.40.150	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48899.1	NA	IPR005101	SSF52425;SSF48173	PTHR11455;PTHR11455:SF9		PF03441;PF00875	PS51645	NA	NA	NA	mobidb-lite	Reactome: R-HSA-400253	NA	NA	G3DSA:1.25.40.80;G3DSA:1.10.579.10;G3DSA:3.40.50.620	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46330.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45939.1	NA	IPR012173	NA	PTHR17039	GO:0005634;GO:0005732;GO:0006364;GO:0034457	PF04006	NA	NA	NA	Coil	mobidb-lite	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	PIRSF017300	NA	NA	NA	NA	NA	NA	NA	NA
EGR45639.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	IPR007266	SSF110019	PTHR12613;PTHR12613:SF0	GO:0003756;GO:0005783;GO:0016671;GO:0055114	PF04137	NA	NA	NA	NA	mobidb-lite	Reactome: R-HSA-264876	NA	NA	NA	PIRSF017205	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR47054.1	NA	IPR026854	NA	PTHR16166:SF93;PTHR16166	NA	PF12624;PF16910;PF16909;PF06650;PF16908	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	PIRSF037235	NA	NA	NA	NA	NA	NA	NA	NA
EGR52052.1	NA	IPR008238	SSF48600	PTHR21145:SF0;PTHR21145	GO:0004106;GO:0009073;GO:0046417	NA	PS51169	NA	NA	NA	NA	KEGG: 00400+5.4.99.5|MetaCyc: PWY-3461|MetaCyc: PWY-3462|MetaCyc: PWY-6120|MetaCyc: PWY-6627|MetaCyc: PWY-7626	NA	NA	G3DSA:1.10.590.10	PIRSF017318	NA	TIGR01802	NA	NA	NA	NA	NA	NA
EGR49198.1	NA	IPR038397	NA	PTHR15139	GO:0007023;GO:0015631;GO:0000902	PF07986;PF16752	PS51329	NA	NA	Coil	mobidb-lite	Reactome: R-HSA-389977	NA	SM00673	G3DSA:1.20.58.1250;G3DSA:2.160.20.70	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52803.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	PTHR42084	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48401.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR003734	NA	PTHR16255;PTHR16255:SF4	NA	PF02582	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44746.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR001204	NA	PTHR11101;PTHR11101:SF57	GO:0005315;GO:0006817;GO:0016020	PF01384	NA	NA	TMhelix	NA	mobidb-lite	Reactome: R-HSA-427652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50555.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR002680	NA	PTHR31803;PTHR31803:SF3	GO:0009916;GO:0055114	PF01786	NA	cd01053	TMhelix	NA	NA	NA	NA	NA	G3DSA:1.20.1260.140	PIRSF005229	NA	NA	NA	NA	NA	NA	NA	NA
EGR46155.1	NA	NA	NA	PTHR35179;PTHR35179:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50112.1	NA	IPR036396	SSF48264	PTHR24286:SF0;PTHR24286	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	PF00067	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.10.630.10	NA	PR00465	NA	NA	NA	NA	NA	NA	NA
EGR44638.1	NA	IPR040050	SSF57667	PTHR13278	GO:0003676;GO:0005681;GO:0008270	NA	NA	NA	NA	Coil	mobidb-lite	Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46880.1	NA	IPR001370	SSF57924	PTHR10044;PTHR10044:SF139	GO:0003677;GO:0006355	PF00653	PS50143	cd00022	NA	Coil	mobidb-lite	NA	PS00354	SM00238	G3DSA:1.10.1170.10	NA	PR00929	NA	NA	NA	NA	NA	NA	NA
EGR47808.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50350.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR015500	SSF52743	PTHR43806;PTHR43806:SF26	GO:0004252;GO:0006508;GO:0005515	PF00082;PF00023	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	G3DSA:3.40.50.200	NA	PR00723	NA	NA	NA	NA	NA	NA	NA
EGR46927.1	NA	NA	NA	PTHR40618	NA	NA	NA	cd14688	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49754.1	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	IPR013320	SSF49899;SSF51445;SSF55545	PTHR43678;PTHR43678:SF2	GO:0004553;GO:0005975	PF02838;PF00728	NA	cd06564	NA	NA	NA	KEGG: 00511+3.2.1.52|KEGG: 00513+3.2.1.52|KEGG: 00520+3.2.1.52|KEGG: 00531+3.2.1.52|KEGG: 00603+3.2.1.52|KEGG: 00604+3.2.1.52|MetaCyc: PWY-6902|MetaCyc: PWY-7822|MetaCyc: PWY-7883	NA	NA	G3DSA:3.20.20.80;G3DSA:3.30.379.10	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR47118.1	NA	IPR019832	SSF46609;SSF54719	PTHR11404;PTHR11404:SF6	GO:0004784;GO:0006801;GO:0046872;GO:0055114	PF02777;PF00081	NA	NA	NA	NA	NA	MetaCyc: PWY-6854|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-8862803|Reactome: R-HSA-8950505	PS00088	NA	G3DSA:1.10.287.990;G3DSA:2.40.500.20	PIRSF000349	PR01703	NA	SignalP-TM	NA	NA	NA	NA	NA
EGR48167.1	NA	IPR010714	SSF50969;SSF50978	PTHR19876;PTHR19876:SF1	GO:0005198;GO:0005515;GO:0006886;GO:0016192;GO:0030126;GO:0030117	PF06957;PF04053;PF00400	PS50294;PS50082	cd00200	NA	NA	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	PS00678	SM00320	G3DSA:1.25.40.470;G3DSA:2.130.10.10	PIRSF003354	PR00320	NA	NA	NA	NA	NA	NA	NA
EGR52759.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	IPR001579	SSF51445	PTHR11177:SF240;PTHR11177	GO:0004553;GO:0005975	PF00704	NA	cd02877	NA	NA	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	PS01095	NA	G3DSA:3.20.20.80	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR47615.1	NA	IPR036236	SSF57667	PTHR23205	GO:0003676;GO:0005634;GO:0008270	PF16835;PF12874	PS50171	NA	NA	NA	mobidb-lite	Reactome: R-HSA-72163	NA	SM00451;SM01050	G3DSA:2.60.40.2690	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48661.1	NA	IPR008927	SSF48179	PTHR43765	GO:0055114;GO:0016491	PF02558;PF08546	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720;G3DSA:1.10.1040.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51078.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR012681	NA	PTHR30618:SF2;PTHR30618	GO:0016020;GO:0022857;GO:0055085	PF02133	NA	cd11482	TMhelix	NA	mobidb-lite	NA	NA	NA	G3DSA:1.10.4160.10	NA	NA	TIGR00800	NA	NA	NA	NA	NA	NA
EGR48822.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45699.1	NA	IPR034733	SSF52440;SSF51246;SSF52096;SSF56059;SSF51230	PTHR18866:SF6;PTHR18866	GO:0005524;GO:0046872;GO:0003989;GO:0006633;GO:0016874	PF01039;PF02785;PF00364;PF00289;PF02786;PF08326	PS50975;PS50968;PS50980;PS50979;PS50989	cd06850	NA	Coil	NA	MetaCyc: PWY-4381|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6722|Reactome: R-HSA-196780	PS00188;PS00866;PS00867	SM00878	G3DSA:3.30.470.20;G3DSA:3.90.226.10;G3DSA:2.40.460.10;G3DSA:3.90.1770.10;G3DSA:3.40.50.12210;G3DSA:2.40.50.100;G3DSA:3.30.1490.20	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50803.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR007305	NA	PTHR23137:SF3;PTHR23137	GO:0016192;GO:0016021	PF04178	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46775.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR029063	SSF53335	PTHR12176:SF14;PTHR12176	NA	PF01564	NA	cd02440	NA	NA	mobidb-lite	NA	NA	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46136.1	NA	NA	SSF81995	PTHR31845:SF14;PTHR31845	NA	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48022.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49253.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR018200	SSF54001	PTHR44509	GO:0006511;GO:0036459;GO:0016579	PF00443	PS50235	cd02662	TMhelix	NA	mobidb-lite	NA	PS00973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49966.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44283.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR011993	SSF48350;SSF48371	PTHR10194;PTHR10194:SF60	GO:0007165;GO:0043087	PF00616;PF13716	PS50018	cd05392	NA	NA	NA	Reactome: R-HSA-5658442|Reactome: R-HSA-6802949	PS00509	SM00323	G3DSA:1.10.506.10;G3DSA:2.30.29.30;G3DSA:3.40.525.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51210.1	NA	IPR037160	SSF81585;SSF81301;SSF47802	PTHR11276;PTHR11276:SF28	GO:0003677;GO:0003887;GO:0006281;GO:0016779;GO:0005634;GO:0034061	PF14791;PF14716;PF10391;PF14792	PS50172	cd00141	NA	NA	mobidb-lite	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7	PS00522	SM00483	G3DSA:3.30.210.10;G3DSA:1.10.150.20;G3DSA:1.10.150.110;G3DSA:3.40.50.10190	NA	PR00870;PR00869	NA	NA	NA	NA	NA	NA	NA
EGR51386.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR017939	NA	PTHR12935;PTHR12935:SF9	GO:0003839	NA	NA	NA	TMhelix	NA	NA	KEGG: 00480+4.3.2.9|MetaCyc: PWY-4041|Reactome: R-HSA-174403	NA	NA	G3DSA:3.10.490.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49067.1	NA	IPR000504	SSF54928	PTHR23003:SF3;PTHR23003	GO:0003676	PF00076	PS50102	cd12387	NA	NA	mobidb-lite	NA	NA	SM00360	G3DSA:3.30.70.330	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46505.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48552.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51178.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR031606	NA	PTHR36424	GO:0005887;GO:0015079;GO:0071805	PF16944	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49118.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48893.1	NA	IPR003746	SSF69786	PTHR13420;PTHR13420:SF7	NA	PF02594	NA	NA	NA	NA	NA	NA	NA	SM01152	G3DSA:3.30.1200.10	NA	NA	NA	NA	NA	NA	MF_00634	NA	NA
EGR45661.1	NA	IPR036020	SSF51045;SSF54534	PTHR10657;PTHR10657:SF4	GO:0005515;GO:0003755	PF00639;PF00397	PS50198;PS50020	cd00201	NA	NA	NA	NA	PS01159	SM00456	G3DSA:3.10.50.40;G3DSA:2.20.70.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50480.1	NA	IPR008930	SSF48239	PTHR11774:SF11;PTHR11774	GO:0004663;GO:0018344;GO:0003824	PF00432	NA	cd02894	NA	NA	NA	Reactome: R-HSA-6803205|Reactome: R-HSA-8873719	NA	NA	G3DSA:1.50.10.20	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46391.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	IPR013320	SSF49899	PTHR33681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR48591.1	NA	IPR014001	SSF52540	PTHR24031;PTHR24031:SF2	GO:0003676;GO:0005524	PF13959;PF00270;PF00271	PS51192;PS51195;PS51194	cd00079	NA	Coil	mobidb-lite	NA	PS00039	SM00487;SM01178;SM00490	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49940.1	NA	IPR002110	SSF48403	PTHR43928	GO:0005515	PF00023;PF12796;PF13606	PS50088;PS50297	cd00204	NA	NA	NA	NA	NA	SM00248	G3DSA:1.25.40.960;G3DSA:1.25.40.20	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50704.1	NA	IPR009395	NA	PTHR13073:SF0;PTHR13073	GO:0031083	PF06320	NA	NA	NA	Coil	mobidb-lite	Reactome: R-HSA-432720|Reactome: R-HSA-432722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47717.1	NA	NA	NA	PTHR39606	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45921.1	NA	IPR000504	SSF54928	PTHR19965:SF35;PTHR19965	GO:0003676	PF00076	PS50102	NA	NA	NA	mobidb-lite	NA	NA	SM00360	G3DSA:3.30.70.330	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46301.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR011701	SSF103473	PTHR23502:SF47;PTHR23502	GO:0016021;GO:0055085	PF07690	PS50850	cd06174	TMhelix	NA	NA	NA	NA	NA	G3DSA:1.20.1250.20	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
EGR47428.1	NA	IPR024956	NA	PTHR12729;PTHR12729:SF6	GO:0000287;GO:0006400;GO:0008193	PF04446;PF14413	NA	NA	NA	NA	NA	Reactome: R-HSA-6782315	NA	NA	G3DSA:3.30.70.3000	PIRSF028980	NA	NA	NA	NA	NA	NA	NA	NA
EGR50776.1	NA	IPR009072	SSF47113	PTHR11426;PTHR11426:SF174	GO:0046982;GO:0000786;GO:0003677	PF00125	NA	NA	NA	NA	mobidb-lite	NA	PS00959	SM00428	G3DSA:1.10.20.10	NA	PR00622	NA	NA	NA	NA	NA	NA	NA
EGR47543.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
