Gene	interpro	Pfam	Phobius	SUPERFAMILY	TMHMM	PANTHER	MobiDBLite	Gene3D	Coils	GO	SMART	PATHWAY	PRINTS	ProSitePatterns	CDD	ProSiteProfiles	SignalP_GRAM_POSITIVE	PIRSF	Hamap	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SFLD	ProDom
PTB48774.1	IPR023271	PF00230	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF81338	TMhelix	PTHR19139:SF124;PTHR19139	mobidb-lite	G3DSA:1.20.1080.10	NA	GO:0015267;GO:0016020;GO:0055085	NA	Reactome: R-HSA-432047	PR00783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51803.1	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB47628.1	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE	NA	NA	PTHR35186	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB55203.1	IPR040410	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR34391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48404.1	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55673.1	IPR003892	PF02845	NA	SSF46934	NA	PTHR21494;PTHR21494:SF0	mobidb-lite	G3DSA:1.10.8.10	NA	GO:0005515	SM00546	NA	NA	NA	cd14364	PS51140	NA	NA	NA	NA	NA	NA	NA	NA
PTB56139.1	IPR003780	PF02628	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR23289:SF2;PTHR23289	NA	NA	NA	GO:0006784;GO:0016021;GO:0016627;GO:0055114;GO:0016020	NA	Reactome: R-HSA-189451	NA	NA	NA	NA	NA	NA	MF_01665	NA	NA	NA	NA	NA
PTB48204.1	IPR039261	PF01794;PF08030	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	SSF52343	TMhelix	PTHR32361:SF9;PTHR32361	mobidb-lite	G3DSA:3.40.50.80	NA	GO:0016491;GO:0055114	NA	NA	NA	NA	cd06186	NA	NA	NA	NA	NA	SignalP-noTM	NA	SFLDG01168;SFLDS00052	NA
PTB56379.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59778.1	IPR036282	PF13417	NA	SSF47616;SSF52833	NA	PTHR43968	mobidb-lite	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	GO:0005515;GO:0004364;GO:0005737	NA	KEGG: 00053+1.8.5.1|KEGG: 00480+2.5.1.18+1.8.5.1|KEGG: 00980+2.5.1.18|KEGG: 00982+2.5.1.18|KEGG: 00983+2.5.1.18|MetaCyc: PWY-2261|MetaCyc: PWY-4061|MetaCyc: PWY-4202|MetaCyc: PWY-6370|MetaCyc: PWY-6842|MetaCyc: PWY-7112|MetaCyc: PWY-7533|Reactome: R-HSA-156590|Reactome: R-HSA-196836	PR01625	NA	cd00570;cd00299	PS50404;PS50405	NA	NA	NA	NA	NA	NA	SFLDG00358;SFLDS00019	NA
PTB51781.1	IPR037675	PF01663	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF53649	TMhelix	PTHR23071	mobidb-lite	G3DSA:3.40.720.10	Coil	GO:0006506;GO:0051377;GO:0003824;GO:0016772	NA	Reactome: R-HSA-162710	NA	NA	cd16023	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59060.1	IPR031355	PF17104	NA	NA	NA	PTHR38698	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54294.1	IPR030381	PF00350;PF01031;PF02212	NA	SSF52540	NA	PTHR11566:SF82;PTHR11566	NA	G3DSA:3.40.50.300	Coil	GO:0005525;GO:0003924	SM00053	NA	PR00195	NA	cd08771	PS51718;PS51388	NA	NA	NA	NA	NA	NA	NA	NA
PTB50901.1	IPR036291	PF05368	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	SSF51735	NA	PTHR14194;PTHR14194:SF98	NA	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA		NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53060.1	IPR004254	PF03006	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR20855;PTHR20855:SF52	NA	NA	NA	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60958.1	IPR011701	PF07690	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23504;PTHR23504:SF2	mobidb-lite	NA	NA	GO:0016021;GO:0055085;GO:0005215	NA	NA	PR01035	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB55799.1	IPR016039	PF02803;PF00108	NA	SSF53901	NA	PTHR43853:SF5;PTHR43853	mobidb-lite	G3DSA:3.40.47.10	Coil	GO:0003824;GO:0016747	NA	NA	NA	PS00099;PS00737	cd00751	NA	NA	NA	NA	TIGR01930	NA	NA	NA	NA
PTB59948.1	IPR002293	PF00324	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	TMhelix	PTHR43341:SF9;PTHR43341	NA	G3DSA:1.20.1740.10	NA	GO:0016020;GO:0022857;GO:0055085	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA	NA	NA	NA	NA	NA
PTB51320.1	IPR002110	PF13637;PF12796	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF48403	NA	PTHR24133;PTHR24133:SF25	NA	G3DSA:1.25.40.20	NA	GO:0005515	SM00248	NA	NA	NA	cd00204	PS50088;PS50297	NA	NA	NA	NA	NA	NA	NA	NA
PTB58353.1	IPR001985	PF01536	NA	SSF56276	NA	PTHR11570:SF0;PTHR11570	NA	G3DSA:3.60.90.10	NA	GO:0004014;GO:0006597;GO:0008295	NA	KEGG: 00270+4.1.1.50|KEGG: 00330+4.1.1.50|MetaCyc: PWY-6834|Reactome: R-HSA-351202	NA	PS01336	NA	NA	NA	NA	NA	TIGR00535	NA	NA	NA	NA
PTB60790.1	IPR002885	PF01535;PF13041	NA	SSF81901	NA	PTHR44149	mobidb-lite	G3DSA:1.25.40.10	Coil	GO:0005515	NA	NA	NA	NA	NA	PS51375	NA	NA	NA	TIGR00756	NA	NA	NA	NA
PTB58115.1	IPR007219	PF00172;PF04082	NA	SSF57701	NA	PTHR31313;PTHR31313:SF43	NA	G3DSA:4.10.240.10	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	SM00906;SM00066	NA	NA	PS00463	cd00067;cd12148	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PTB52047.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR33048;PTHR33048:SF19	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49980.1	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51385.1	IPR036249	PF00085	NA	SSF52833	NA	PTHR10438;PTHR10438:SF366	NA	G3DSA:3.40.30.10	NA	GO:0006662;GO:0015035;GO:0045454	NA	NA	PR00421	NA	cd02947	PS51352	NA	NA	NA	NA	NA	NA	NA	NA
PTB52389.1	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB56842.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55346.1	IPR001931	PF01249	NA	NA	NA	PTHR10442:SF0;PTHR10442	NA	G3DSA:3.30.1230.20	NA	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PS00996	NA	NA	NA	PIRSF002148	NA	NA	NA	NA	NA	PD006584
PTB56297.1	IPR036396	PF00067	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF48264	TMhelix	PTHR24279;PTHR24279:SF85	NA	G3DSA:1.10.630.10	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	NA	PR00465	PS00086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55207.1	IPR027417	PF13476	NA	SSF52540	NA	PTHR18867	mobidb-lite	G3DSA:3.40.50.300	Coil	GO:0000723;GO:0005634;GO:0006281;GO:0016887;GO:0030870	NA	Reactome: R-HSA-2559586|Reactome: R-HSA-5685938|Reactome: R-HSA-5685939|Reactome: R-HSA-5685942|Reactome: R-HSA-5693548|Reactome: R-HSA-5693554|Reactome: R-HSA-5693565|Reactome: R-HSA-5693568|Reactome: R-HSA-5693571|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473|Reactome: R-HSA-912446	NA	NA	cd03240	NA	NA	NA	NA	TIGR00606	NA	NA	NA	NA
PTB48693.1	IPR020846	PF07690	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR43791;PTHR43791:SF48	NA	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB60278.1	IPR014001	PF08148;PF00270;PF00271;PF17911;PF13234	NA	SSF52540	NA	PTHR12131;PTHR12131:SF8	mobidb-lite	G3DSA:3.40.50.300;G3DSA:1.10.3380.30;G3DSA:1.20.1500.20;G3DSA:2.40.30.300	Coil	GO:0003723;GO:0003724;GO:0006401;GO:0003676;GO:0005524	SM00487;SM00490;SM01142	NA	NA	NA	cd00079;cd00046	PS51192;PS51194	NA	PIRSF005198	NA	NA	NA	NA	NA	NA
PTB55898.1	IPR000192	PF00266	NA	SSF53383	NA	PTHR43247;PTHR43247:SF1	NA	G3DSA:3.90.1150.10	NA	GO:0004648;GO:0006564;GO:0003824	NA	KEGG: 00260+2.6.1.52|KEGG: 00680+2.6.1.52|KEGG: 00750+2.6.1.52|MetaCyc: PWY-8010|Reactome: R-HSA-977347	NA	NA	NA	NA	NA	PIRSF000525	MF_00160	NA	NA	NA	NA	NA
PTB48543.1	IPR011059	PF01979	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	SSF51338;SSF51556	NA	PTHR11271;PTHR11271:SF37	NA	G3DSA:3.20.20.140;G3DSA:2.30.40.10	NA	GO:0016810;GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55012.1	IPR017986	PF12894;PF00400	NA	SSF50978	NA	PTHR19918;PTHR19918:SF29	mobidb-lite	G3DSA:2.130.10.10	NA	GO:0005515;GO:0010997;GO:0097027;GO:1904668	SM00320	NA	NA	PS00678	NA	PS50294;PS50082	NA	NA	NA	NA	NA	NA	NA	NA
PTB50202.1	IPR039261	PF08030;PF01794;PF08022	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF52343;SSF63380	TMhelix	PTHR11972:SF129;PTHR11972	mobidb-lite	G3DSA:3.40.50.80	NA	GO:0016491;GO:0055114	NA	NA	NA	NA	cd06186	PS51384	NA	NA	NA	NA	NA	NA	SFLDG01168;SFLDS00052	NA
PTB52615.1	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR33048	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49104.1	IPR023296	PF17851;PF04616	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	SSF49899;SSF75005	NA	PTHR42812:SF3;PTHR42812	NA	G3DSA:2.115.10.20;G3DSA:2.60.120.200	NA	GO:0004553;GO:0005975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB51920.1	IPR020846	PF00083	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23500;PTHR23500:SF50	NA	G3DSA:1.20.1250.20	NA	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	NA	Reactome: R-HSA-189200	PR00171	PS00217;PS00216	cd06174	PS50850	NA	NA	NA	TIGR00879	NA	NA	NA	NA
PTB49988.1	IPR017871	PF00664;PF00005	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF52540;SSF90123	TMhelix	PTHR24223;PTHR24223:SF344	NA	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	NA	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	SM00382	NA	NA	PS00211	cd03250;cd03244	PS50893;PS50929	NA	NA	NA	NA	NA	NA	NA	NA
PTB58671.1	IPR002889	PF09118;PF01822;PF07250	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	SSF50965;SSF81296	NA	PTHR32208;PTHR32208:SF49	NA	G3DSA:2.130.10.80;G3DSA:2.60.40.10	NA	NA	SM00321	NA	NA	NA	cd02851	PS51212;PS51257	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB52847.1	IPR014710	PF07883	NA	SSF51182	NA	PTHR41517:SF1;PTHR41517	NA	G3DSA:2.60.120.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58488.1	IPR036291	PF05368	NA	SSF51735	NA	PTHR42748;PTHR42748:SF17	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA		NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54613.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53701.1	IPR000219	PF00621	NA	SSF48065	NA	PTHR12673;PTHR12673:SF159	mobidb-lite	G3DSA:1.20.900.10	Coil	GO:0005089;GO:0035023	SM00325	NA	NA	NA	cd00160	PS50010	NA	NA	NA	NA	NA	NA	NA	NA
PTB54605.1	IPR001936	PF00168;PF00616	NA	SSF48350;SSF49562	NA	PTHR10194:SF126;PTHR10194	mobidb-lite	G3DSA:1.10.506.10;G3DSA:2.60.40.150	NA	GO:0043087;GO:0007165	SM00323;SM00239	Reactome: R-HSA-5658442|Reactome: R-HSA-6802949	NA	PS00509	cd05137;cd00030	PS50018	NA	NA	NA	NA	NA	NA	NA	NA
PTB50115.1	IPR038753	NA	NA	NA	NA	PTHR15263	mobidb-lite	NA	Coil	GO:0007249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57216.1	IPR006140	PF02826;PF00389	NA	SSF51735;SSF52283	NA	PTHR10996:SF206;PTHR10996	NA	G3DSA:3.40.50.720	NA	GO:0051287;GO:0055114;GO:0016616	NA	NA	NA	PS00670;PS00065;PS00671	cd12168	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48442.1	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56373.1	IPR036390	PF00615;PF00610	NA	SSF46785;SSF48097	NA	PTHR10845:SF192;PTHR10845	mobidb-lite	G3DSA:1.20.58.1850;G3DSA:1.10.10.10	NA	GO:0035556	SM00315;SM00049	NA	PR01301	NA	cd04450;cd08708	PS50132;PS50186	NA	NA	NA	NA	NA	NA	NA	NA
PTB58937.1	IPR036938	PF00004;PF08542;PF01569	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF48317;SSF48019;SSF52540;SSF54695	TMhelix	PTHR31758	mobidb-lite	G3DSA:1.20.272.10;G3DSA:3.40.50.300;G3DSA:3.30.710.10;G3DSA:1.20.144.10;G3DSA:1.10.8.60	NA	GO:0005524;GO:0003677;GO:0006260	SM00014;SM00382	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-176187|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804756|Reactome: R-HSA-69091|Reactome: R-HSA-69473	NA	NA	cd00009;cd03388	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54947.1	IPR008217	PF01988	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR31851;PTHR31851:SF11	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	cd02435	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48304.1	IPR029058	PF02129;PF08530	NA	SSF53474;SSF49785	NA	PTHR43056;PTHR43056:SF1	mobidb-lite	G3DSA:1.10.3020.20;G3DSA:3.40.50.1820;G3DSA:2.60.120.260	NA	GO:0016787;GO:0008239	SM00939	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00976	NA	NA	NA	NA
PTB60545.1	IPR036259	PF07690	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF103473	TMhelix	PTHR11360:SF120;PTHR11360	mobidb-lite	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52209.1	IPR029058	PF00135	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	SSF53474	NA	PTHR11559;PTHR11559:SF356	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	PS00122	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB47721.1	IPR036249	PF13417;PF00043	NA	SSF52833;SSF47616	NA	PTHR43900	NA	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	NA	GO:0005515	NA	NA	NA	NA	NA	PS50405;PS50404	NA	NA	NA	NA	NA	NA	SFLDG01154;SFLDS00019	NA
PTB54141.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55573.1	IPR017927	PF01794;PF08022;PF08030	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	SSF52343	TMhelix	PTHR32361;PTHR32361:SF9	mobidb-lite	G3DSA:3.40.50.80	NA	GO:0016491;GO:0055114	NA	NA	NA	NA	cd06186	PS51384;PS51257	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	SFLDG01168;SFLDS00052	NA
PTB49427.1	IPR003439	PF01061;PF00005;PF06422	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF52540	TMhelix	PTHR19241;PTHR19241:SF279	mobidb-lite	G3DSA:3.40.50.300	NA	GO:0005524;GO:0016887;GO:0016020;GO:0016021;GO:0042626;GO:0055085	SM00382	Reactome: R-HSA-1369062	NA	PS00211	cd03232;cd03233	PS50893	NA	NA	NA	NA	NA	NA	NA	NA
PTB57245.1	IPR038697	PF16010	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	SSF49344	TMhelix	PTHR23130:SF115;PTHR23130	NA	G3DSA:2.60.40.1210	NA	NA	SM00664	NA	NA	NA	cd09630;cd08760	PS50836	SignalP-TM	NA	NA	NA	SignalP-TM	NA	NA	NA
PTB58699.1	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB50122.1	IPR027714	PF10607	NA	NA	NA	PTHR12170:SF2;PTHR12170	NA	NA	NA	GO:0045721;GO:0005515	SM00668;SM00757;SM00667	NA	NA	NA	NA	PS50897;PS50896	NA	NA	NA	NA	NA	NA	NA	NA
PTB52512.1	IPR027267	PF00611;PF00620;PF00610	NA	SSF103657;SSF48350;SSF46785	NA	PTHR23065;PTHR23065:SF17	mobidb-lite	G3DSA:1.10.555.10;G3DSA:1.20.1270.60	NA	GO:0035556;GO:0007165	SM00055;SM00324	Reactome: R-HSA-194840	NA	NA	cd04399	PS50186;PS50238;PS51741	NA	NA	NA	NA	NA	NA	NA	NA
PTB49061.1	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56467.1	IPR000719	PF00069	NA	SSF56112	NA	PTHR24343	NA	G3DSA:1.10.510.10	NA	GO:0004672;GO:0005524;GO:0006468	SM00220	NA	NA	PS00109	cd00180	PS50011	NA	NA	NA	NA	NA	NA	NA	NA
PTB61048.1	IPR016158	PF10557;PF00888	NA	SSF46785;SSF75632;SSF74788	NA	PTHR11932:SF81;PTHR11932	NA	G3DSA:1.10.10.10;G3DSA:1.20.1310.10;G3DSA:1.10.10.2620	Coil	GO:0006511;GO:0031461;GO:0031625	SM00182;SM00884	Reactome: R-HSA-8951664	NA	PS01256	NA	PS50069	NA	NA	NA	NA	NA	NA	NA	NA
PTB55527.1	IPR029063	PF13489	NA	SSF53335	NA	PTHR43591:SF12;PTHR43591	mobidb-lite	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50819.1	IPR011009	PF00069	NA	SSF56112	NA	PTHR43289	mobidb-lite	G3DSA:1.10.510.10;G3DSA:3.30.200.20	Coil	GO:0004672;GO:0006468;GO:0005524	SM00220	NA	NA	PS00108	cd00180	PS50011	NA	NA	NA	NA	NA	NA	NA	NA
PTB51585.1	IPR008509	PF05631	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23516	NA	G3DSA:1.20.1250.20	NA	GO:0015098;GO:0015689;GO:0016021	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55809.1	IPR017871	PF00005;PF06422;PF14510;PF01061	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF52540	TMhelix	PTHR19241:SF179;PTHR19241	NA	G3DSA:3.40.50.300	Coil	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085;GO:0016020	SM00382	Reactome: R-HSA-1369062	NA	PS00211	cd03233;cd03232	PS50893	NA	NA	NA	NA	NA	NA	NA	NA
PTB59958.1	IPR018303	PF00122;PF00690;PF13246;PF00689;PF00702	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF81665;SSF81653;SSF81660;SSF56784	TMhelix	PTHR43294	mobidb-lite	G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:2.70.150.10;G3DSA:1.20.1110.10	NA	GO:0016021;GO:0000166	SM00831	Reactome: R-HSA-936837	PR00121;PR00119	PS00154;PS01229	NA	NA	NA	NA	NA	TIGR01494	NA	NA	SFLDF00027;SFLDS00003	NA
