Gene	Phobius	PRINTS	interpro	GO	ProSiteProfiles	PANTHER	TMHMM	SFLD	Gene3D	PATHWAY	TIGRFAM	CDD	SUPERFAMILY	ProSitePatterns	Pfam	MobiDBLite	SMART	Coils	PIRSF	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	Hamap	ProDom
EHK49860.1	NA	PR00405	IPR037278	GO:0005096	PS50115	PTHR23180:SF160;PTHR23180	NA	NA	G3DSA:3.30.40.160	NA	NA	NA	SSF57863	NA	PF01412	mobidb-lite	SM00105	NA	NA	NA	NA	NA	NA	NA
EHK50368.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR004706	GO:0015103;GO:0015297;GO:0016021;GO:0016020	NA	PTHR43057	TMhelix	NA	G3DSA:1.20.1530.20	NA	TIGR00832	NA	NA	NA	PF01758	NA	NA	NA	PIRSF005508	NA	NA	NA	NA	NA
EHK42474.1	NA	PR00133	IPR011658	GO:0004553;GO:0005975	PS51820	PTHR42715:SF10;PTHR42715	NA	NA	G3DSA:3.40.50.1700;G3DSA:3.20.20.300;G3DSA:2.60.120.260;G3DSA:2.60.40.10	NA	NA	NA	SSF52279;SSF51445	NA	PF07691;PF00933;PF14310;PF01915	NA	SM01217;SM00758	NA	NA	NA	NA	NA	NA	NA
EHK44133.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR020846	GO:0016021;GO:0055085	PS50850	PTHR11360;PTHR11360:SF177	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42545.1	NA	NA	IPR002110	GO:0005515	PS50088;PS50297	PTHR24151;PTHR24151:SF1	NA	NA	G3DSA:3.40.50.300;G3DSA:1.25.40.20	NA	NA	cd00204	SSF48403;SSF52540	NA	PF12796	NA	SM00248	NA	NA	NA	NA	NA	NA	NA
EHK50832.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PR00081;PR00080	IPR002347	NA	NA	PTHR43086	TMhelix	NA	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	PF00106	NA	NA	NA	PIRSF000126	NA	NA	NA	NA	NA
EHK40378.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR036259	GO:0016021;GO:0055085	NA	PTHR23294:SF19;PTHR23294	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK39770.1	NA	PR00404	IPR002100	GO:0003677;GO:0046983;GO:0000977;GO:0045944	PS50066	PTHR11945:SF277;PTHR11945	NA	NA	G3DSA:3.40.1810.10	Reactome: R-HSA-375170	NA	cd00265	SSF55455	NA	PF00319	mobidb-lite	SM00432	NA	NA	NA	NA	NA	NA	NA
EHK46313.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR018850	GO:0003676;GO:0000002;GO:0031305	NA	PTHR32198	TMhelix	NA	G3DSA:3.40.50.300	NA	NA	cd12433	SSF54928;SSF52540	NA	PF10443	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK51133.1	NA	NA	IPR027417	NA	NA	PTHR43788:SF1;PTHR43788	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	SSF52540	NA	PF13087	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45999.1	NA	NA	IPR017926	NA	PS51273	PTHR42695	NA	NA	G3DSA:3.40.50.880	NA	NA	cd01741	SSF52317	NA	PF00117	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46094.1	NA	NA	IPR008271	GO:0004672;GO:0006468;GO:0005524;GO:0004674	PS50011;PS51285	PTHR24351;PTHR24351:SF169	NA	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	NA	cd11651	SSF56112	PS00108;PS00107	PF00433;PF00069	mobidb-lite	SM00220;SM00133	NA	NA	NA	NA	NA	NA	NA
EHK46449.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49661.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK42302.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR001173		NA	PTHR43867;PTHR43867:SF2	TMhelix	NA	G3DSA:3.90.550.10	Reactome: R-HSA-913709	NA	cd06421	SSF53448	NA	PF13632	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40140.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PR01036	IPR020846	GO:0016021;GO:0055085	PS50850	PTHR23501:SF102;PTHR23501	TMhelix	NA	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	NA	NA	cd06174	SSF103473	NA	PF07690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK47939.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PTHR42084	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK42401.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR020846	GO:0016021;GO:0055085	PS50850	PTHR23501;PTHR23501:SF3	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42466.1	NA	NA	IPR002110	GO:0005515	PS50088;PS50297	PTHR44294	NA	NA	G3DSA:1.25.40.20	NA	NA	cd00204	SSF48403	NA	PF13857	mobidb-lite	SM00248	NA	NA	NA	NA	NA	NA	NA
EHK44503.1	NA	NA	IPR016197	NA	PS50013	NA	NA	NA	G3DSA:2.40.50.40	NA	NA	NA	SSF54160	NA	NA	mobidb-lite	SM00298	NA	NA	NA	NA	NA	NA	NA
EHK44152.1	NA	PR00348	IPR019956	GO:0003735;GO:0005840;GO:0006412;GO:0005515	PS50053	PTHR10666:SF236;PTHR10666	NA	NA	G3DSA:2.20.25.660;G3DSA:3.10.20.90	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-1169091|Reactome: R-HSA-1169408|Reactome: R-HSA-1234176|Reactome: R-HSA-1236382|Reactome: R-HSA-1236974|Reactome: R-HSA-1253288|Reactome: R-HSA-1295596|Reactome: R-HSA-1358803|Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-162588|Reactome: R-HSA-168638|Reactome: R-HSA-168927|Reactome: R-HSA-168928|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-174490|Reactome: R-HSA-175474|Reactome: R-HSA-179409|Reactome: R-HSA-1799339|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-182971|Reactome: R-HSA-187577|Reactome: R-HSA-192823|Reactome: R-HSA-195253|Reactome: R-HSA-201681|Reactome: R-HSA-202424|Reactome: R-HSA-205043|Reactome: R-HSA-209543|Reactome: R-HSA-209560|Reactome: R-HSA-211733|Reactome: R-HSA-2122947|Reactome: R-HSA-2122948|Reactome: R-HSA-2173788|Reactome: R-HSA-2173791|Reactome: R-HSA-2173795|Reactome: R-HSA-2173796|Reactome: R-HSA-2408557|Reactome: R-HSA-2467813|Reactome: R-HSA-2559580|Reactome: R-HSA-2559582|Reactome: R-HSA-2559585|Reactome: R-HSA-2565942|Reactome: R-HSA-2644606|Reactome: R-HSA-2672351|Reactome: R-HSA-2691232|Reactome: R-HSA-2871837|Reactome: R-HSA-2894862|Reactome: R-HSA-2979096|Reactome: R-HSA-3134975|Reactome: R-HSA-3322077|Reactome: R-HSA-349425|Reactome: R-HSA-3769402|Reactome: R-HSA-3785653|Reactome: R-HSA-382556|Reactome: R-HSA-400253|Reactome: R-HSA-445989|Reactome: R-HSA-450302|Reactome: R-HSA-450321|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-4641263|Reactome: R-HSA-5205685|Reactome: R-HSA-532668|Reactome: R-HSA-5357905|Reactome: R-HSA-5357956|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5654726|Reactome: R-HSA-5654727|Reactome: R-HSA-5654732|Reactome: R-HSA-5654733|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5675221|Reactome: R-HSA-5675482|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5684264|Reactome: R-HSA-5685942|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689877|Reactome: R-HSA-5689880|Reactome: R-HSA-5689896|Reactome: R-HSA-5689901|Reactome: R-HSA-5693565|Reactome: R-HSA-5693607|Reactome: R-HSA-5696394|Reactome: R-HSA-5696395|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6783310|Reactome: R-HSA-6791226|Reactome: R-HSA-6804756|Reactome: R-HSA-6804757|Reactome: R-HSA-6804760|Reactome: R-HSA-6807004|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69231|Reactome: R-HSA-69481|Reactome: R-HSA-69541|Reactome: R-HSA-69601|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-8849469|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828|Reactome: R-HSA-8863795|Reactome: R-HSA-8866652|Reactome: R-HSA-8866654|Reactome: R-HSA-8875360|Reactome: R-HSA-8876493|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948747|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-901032|Reactome: R-HSA-9010553|Reactome: R-HSA-9013507|Reactome: R-HSA-9013973|Reactome: R-HSA-9014325|Reactome: R-HSA-9020702|Reactome: R-HSA-9033241|Reactome: R-HSA-912631|Reactome: R-HSA-917729|Reactome: R-HSA-917937|Reactome: R-HSA-936440|Reactome: R-HSA-936964|Reactome: R-HSA-937039|Reactome: R-HSA-937041|Reactome: R-HSA-937042|Reactome: R-HSA-937072|Reactome: R-HSA-9604323|Reactome: R-HSA-975110|Reactome: R-HSA-975144|Reactome: R-HSA-975163|Reactome: R-HSA-975956|Reactome: R-HSA-975957|Reactome: R-HSA-977225|Reactome: R-HSA-983168	NA	cd01803	SSF54236;SSF57829	PS00299	PF01599;PF00240	NA	SM01402;SM00213	NA	NA	NA	NA	NA	NA	NA
EHK43427.1	NA	NA	NA	NA	NA	PTHR42070	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK45386.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK44955.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	IPR020846	GO:0016021;GO:0055085	PS50850	PTHR42718:SF1;PTHR42718	TMhelix	NA	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK51104.1	NA	PR00419	IPR020946	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	PTHR43539:SF6;PTHR43539	NA	NA	G3DSA:3.50.50.60	NA	NA	NA	SSF51905	NA	PF00743;PF13450	NA	NA	Coil	PIRSF000332	NA	NA	NA	NA	NA
EHK51093.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	IPR015366	GO:0008236;GO:0006508;GO:0004252	PS51695	PTHR14218;PTHR14218:SF19	NA	NA	NA	Reactome: R-HSA-381038	NA	cd04056;cd11377	SSF54897;SSF52743	NA	PF09286	NA	SM00944	NA	NA	SignalP-noTM	NA	NA	NA	NA
EHK49819.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	PR00092	IPR002227	GO:0016491	NA	PTHR11474:SF70;PTHR11474	NA	NA	G3DSA:1.10.1280.10	Reactome: R-HSA-5662702	NA	NA	SSF48056	PS00498;PS00497	PF00264	mobidb-lite	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA
EHK45243.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK39672.1	NA	NA	IPR001197	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	PTHR11726	NA	NA	G3DSA:2.20.25.330;G3DSA:3.90.1170.10	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	TIGR00279	cd01433	SSF54686	PS01257	PF00252	NA	NA	NA	PIRSF005590	NA	NA	NA	NA	NA
EHK40137.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PR00385;PR00463	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PTHR24305;PTHR24305:SF92	TMhelix	NA	G3DSA:1.10.630.10	NA	NA	NA	SSF48264	NA	PF00067	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40133.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR032805	NA	NA	PTHR31595:SF1;PTHR31595	TMhelix	NA	NA	NA	NA	NA	NA	NA	PF13813	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK44075.1	NA	PR01033	IPR029016	GO:0000160;GO:0000155;GO:0007165;GO:0018298;GO:0005515;GO:0006355;GO:0009584	PS50109;PS50046;PS50110	PTHR43065;PTHR43065:SF10	NA	NA	G3DSA:3.30.450.270;G3DSA:3.30.450.40;G3DSA:3.30.565.10;G3DSA:3.30.450.20;G3DSA:1.10.287.130;G3DSA:3.40.50.2300	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	NA	cd00075;cd00082;cd00156	SSF52172;SSF55781;SSF55874;SSF47384;SSF55785	NA	PF00072;PF02518;PF01590;PF00512;PF08446;PF00360	mobidb-lite	SM00448;SM00388;SM00387	NA	NA	NA	NA	NA	NA	NA
EHK45513.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	IPR029058	GO:0016787	PS51257	PTHR33630:SF8;PTHR33630	TMhelix	NA	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	PF01083	NA	SM01110	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA
EHK46836.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PR00171	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	PS50850	PTHR23500;PTHR23500:SF162	TMhelix	NA	G3DSA:1.20.1250.20	Reactome: R-HSA-189200	TIGR00879	cd06174	SSF103473	PS00217	PF00083	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK46326.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK41644.1	NA	NA	IPR035553	GO:0005515;GO:0007064	PS50002	PTHR11039:SF61;PTHR11039	NA	NA	G3DSA:3.10.620.30;G3DSA:2.30.30.40	Reactome: R-HSA-2470946	NA	cd11889	SSF54001;SSF50044	NA	PF10345;PF01841;PF07653	mobidb-lite	SM00326;SM00460	NA	NA	NA	NA	NA	NA	NA
EHK39415.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PR00171	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	PS50850	PTHR23503:SF8;PTHR23503	TMhelix	NA	G3DSA:1.20.1250.20	Reactome: R-HSA-189200	NA	cd06174	SSF103473	PS00217	PF00083	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48814.1	TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	IPR011701	GO:0016021;GO:0055085	PS50850	PTHR42910	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44230.1	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
EHK43756.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK45129.1	NA	NA	IPR036983	NA	NA	PTHR31801	NA	NA	G3DSA:3.60.160.10	NA	TIGR00266	NA	SSF51219	NA	PF01987	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK44921.1	NA	NA	IPR011059	GO:0016810;GO:0016787	NA	PTHR43135;PTHR43135:SF2	NA	NA	G3DSA:2.30.40.10;G3DSA:3.20.20.140	NA	NA	cd01299	SSF51556;SSF51338	NA	PF01979	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46230.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR017850	GO:0003824;GO:0005789;GO:0006506;GO:0016740;GO:0016021;GO:0051377;GO:0008484	NA	PTHR12250	TMhelix	NA	G3DSA:3.40.720.10	Reactome: R-HSA-162710	NA	cd16020	SSF53649	NA	PF04987;PF00884	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK49307.1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	IPR001360	GO:0004553;GO:0005975	NA	PTHR10353;PTHR10353:SF53	NA	NA	G3DSA:3.20.20.80	NA	NA	NA	SSF51445	NA	PF00232	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
EHK42450.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	PTHR11785:SF220;PTHR11785	TMhelix	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	PF13520	NA	NA	NA	PIRSF006060	NA	NA	NA	NA	NA
EHK43836.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40417.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PR00083	IPR016298	GO:0000105;GO:0004399;GO:0004635;GO:0004636;GO:0055114;GO:0008270;GO:0051287;GO:0016491	NA	PTHR21256	NA	NA	G3DSA:3.40.50.1980;G3DSA:1.10.287.1080;G3DSA:3.10.20.400	KEGG: 00340+3.6.1.31+1.1.1.23+3.5.4.19	TIGR00069;TIGR03188	cd11546;cd06572	SSF101386;SSF141734;SSF53720	PS00611	PF01502;PF00815;PF01503	mobidb-lite	NA	Coil	PIRSF001257	NA	NA	NA	MF_01024	PD002610
EHK47739.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR036259	GO:0016021;GO:0055085	PS50850	PTHR42718;PTHR42718:SF9	TMhelix	NA	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	NA	NA	cd06174	SSF103473	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41203.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR006876	NA	NA	PTHR21355:SF0;PTHR21355	TMhelix	NA	NA	NA	NA	NA	NA	NA	PF04791	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK45668.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK46070.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	PTHR43374:SF1;PTHR43374	NA	NA	G3DSA:4.10.240.10	NA	NA	cd12148;cd00067	SSF57701	PS00463	PF00172	mobidb-lite	SM00066;SM00906	Coil	NA	NA	NA	NA	NA	NA
EHK45804.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR036736	GO:0003824;GO:0031177;GO:0016539;GO:0016740	PS50075;PS50817	PTHR45527	NA	NA	G3DSA:3.30.559.30;G3DSA:3.30.300.30;G3DSA:3.30.559.10;G3DSA:3.40.47.10;G3DSA:3.40.50.12780;G3DSA:3.30.70.3290;G3DSA:3.40.50.720;G3DSA:3.40.366.10;G3DSA:3.30.70.250;G3DSA:1.10.1200.10	Reactome: R-HSA-389661	TIGR01733;TIGR01746	cd05918;cd00833	SSF47336;SSF53901;SSF52777;SSF56801;SSF52151;SSF51735;SSF55048	PS00012;PS00455	PF16197;PF00109;PF00550;PF07993;PF00501;PF00668;PF02801;PF00698	NA	SM00823;SM00825;SM01294;SM00827	NA	NA	NA	NA	NA	NA	NA
EHK46116.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	IPR011330	GO:0003824;GO:0005975;GO:0008061;GO:0016810	PS50941;PS51677	PTHR10587:SF121;PTHR10587	NA	NA	G3DSA:3.30.60.10;G3DSA:3.20.20.370	NA	NA	cd11618;cd10951;cd00035	SSF88713;SSF57016	NA	PF00187;PF01522	NA	SM00270	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	PD000609
EHK43937.1	NA	NA	IPR017849	GO:0003824;GO:0004619;GO:0005737;GO:0046872;GO:0006007;GO:0030145	NA	PTHR31637:SF0;PTHR31637	NA	NA	G3DSA:3.40.720.10;G3DSA:3.40.1450.10	KEGG: 00010+5.4.2.12|KEGG: 00260+5.4.2.12|KEGG: 00680+5.4.2.12|MetaCyc: PWY-1042|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7124|MetaCyc: PWY-7218	TIGR01307	cd16010	SSF53649;SSF64158	NA	PF01676;PF06415	NA	NA	NA	PIRSF001492	NA	NA	NA	MF_01038	NA
EHK42865.1	NA	NA	IPR030844	GO:0000289;GO:0003723;GO:0006397;GO:0031251;GO:0004672;GO:0005524;GO:0006468	PS50011	PTHR12272	NA	NA	G3DSA:1.10.510.10	Reactome: R-HSA-429947	NA	cd00180	SSF56112	NA	PF18101	mobidb-lite	NA	NA	NA	NA	NA	NA	MF_03181	NA
EHK49090.1	NA	NA	IPR002773	GO:0008612	NA	PTHR11703;PTHR11703:SF0	NA	NA	G3DSA:3.40.910.10	Reactome: R-HSA-204626	TIGR00321	NA	SSF52467	NA	PF01916	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43922.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	IPR036691	NA	NA	PTHR14859:SF1;PTHR14859	TMhelix	NA	G3DSA:3.60.10.10	NA	NA	NA	SSF56219	NA	PF10277	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41705.1	NA	NA	NA	NA	NA	PTHR39147	NA	NA	NA	NA	NA	NA	SSF57716	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK48101.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR024041	GO:0008519;GO:0015696;GO:0016020;GO:0072488	NA	PTHR43029;PTHR43029:SF4	TMhelix	NA	G3DSA:1.10.3430.10	NA	TIGR00836	NA	SSF111352	PS01219	PF00909	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK46779.1	NA	PR00081;PR00080	IPR036291	GO:0016491	NA	PTHR43008;PTHR43008:SF5	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	PS00061	PF13561	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41698.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
