Gene	Phobius	TMHMM	MobiDBLite	interpro	GO	Pfam	TIGRFAM	PANTHER	SUPERFAMILY	Coils	Gene3D	ProDom	ProSiteProfiles	PATHWAY	ProSitePatterns	SMART	PRINTS	CDD	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD	PIRSF	SignalP_GRAM_POSITIVE	Hamap
EHK20437.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK22162.1	NA	NA	mobidb-lite	IPR036887	GO:0003677	NA	NA	PTHR11707:SF39;PTHR11707	SSF54616	NA	G3DSA:3.10.260.10	NA	PS51299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19672.1	NA	NA	mobidb-lite	IPR001623	NA	PF00226	NA	PTHR24074:SF16;PTHR24074	SSF46565	Coil	G3DSA:1.10.287.110	NA	PS50076	NA	PS00636	SM00271	PR00625	cd06257	NA	NA	NA	NA	NA	NA
EHK19223.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	PTHR37577:SF1;PTHR37577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24371.1	NA	NA	mobidb-lite	IPR003169	GO:0005515	PF02213	NA	PTHR14445;PTHR14445:SF36	SSF55277	Coil	G3DSA:3.30.1490.40	NA	PS50829	NA	NA	SM00444	NA	cd00072	NA	NA	NA	NA	NA	NA
EHK17690.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	IPR001810	GO:0005515	PF12937	NA	NA	SSF81383	NA	G3DSA:1.20.1280.50	NA	NA	NA	NA	SM00256	NA	NA	NA	NA	NA	NA	NA	NA
EHK16474.1	NA	NA	mobidb-lite	IPR001401	GO:0003924;GO:0005525	PF00350;PF02212;PF01031	NA	PTHR11566:SF21;PTHR11566	SSF52540	Coil	G3DSA:1.20.120.1240;G3DSA:3.40.50.300	NA	PS51718;PS51388	NA	PS00410	SM00053;SM00302	PR00195	cd08771	NA	NA	NA	NA	NA	NA
EHK26713.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK19706.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16795.1	NA	NA	mobidb-lite	IPR002048	GO:0005509	PF13499;PF13202	NA	PTHR10183;PTHR10183:SF272	SSF47473	NA	G3DSA:1.10.238.10	NA	PS50222	NA	PS00018	SM00054	NA	cd16180	NA	NA	NA	NA	NA	NA
EHK25572.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	IPR001279	NA	PF00753	NA	PTHR11935;PTHR11935:SF118	SSF56281	NA	G3DSA:3.60.15.10	NA	NA	NA	NA	SM00849	NA	cd16276	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK27342.1	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	IPR012485	GO:0000776;GO:0034508	PF07778	NA	PTHR23139;PTHR23139:SF81	NA	NA	NA	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
EHK17413.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	IPR031606	GO:0005887;GO:0015079;GO:0071805	PF16944	NA	PTHR36424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK15737.1	NA	NA	mobidb-lite	IPR001289	GO:0003700;GO:0006355	PF02045	NA	PTHR12632:SF6;PTHR12632	NA	NA	NA	NA	PS51152	Reactome: R-HSA-1989781|Reactome: R-HSA-2426168|Reactome: R-HSA-380994|Reactome: R-HSA-381183	NA	SM00521	PR00616	NA	NA	NA	NA	NA	NA	NA
EHK20434.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	IPR036318	GO:0050660;GO:0071949;GO:0016491;GO:0055114	PF01565	NA	PTHR42973;PTHR42973:SF2	SSF56176	NA	G3DSA:3.40.462.20;G3DSA:3.30.465.10;G3DSA:3.30.465.40	NA	PS51387	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK15505.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	mobidb-lite	IPR004886	NA	PF03198	NA	PTHR31468;PTHR31468:SF4	SSF51445	NA	G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK16423.1	NA	NA	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	NA	PTHR31313;PTHR31313:SF42	SSF57701	NA	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	SM00066;SM00906	NA	cd12148;cd00067;cd14653	NA	NA	NA	NA	NA	NA
EHK15447.1	NA	NA	mobidb-lite	IPR000306	GO:0046872	PF01363	NA	PTHR13510;PTHR13510:SF43	SSF57903	NA	G3DSA:3.30.40.10	NA	PS50178	NA	NA	SM00064	NA	cd15760	NA	NA	NA	NA	NA	NA
EHK26331.1	NA	NA	mobidb-lite	IPR009078	GO:0006744;GO:0055114	PF03232	NA	PTHR11237:SF4;PTHR11237	SSF47240	NA	NA	NA	NA	Reactome: R-HSA-2142789	NA	NA	NA	cd01042	NA	NA	NA	NA	SignalP-TM	MF_01658
EHK25610.1	NA	NA	NA	IPR029044	NA	NA	NA	PTHR12042;PTHR12042:SF30	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19914.1	NA	NA	NA	IPR016084	GO:0006772;GO:0050334;GO:0008972;GO:0009228	PF03070;PF08543	TIGR04306;TIGR00097	PTHR20858;PTHR20858:SF17	SSF48613;SSF53613	NA	G3DSA:1.20.910.10;G3DSA:3.40.1190.20	NA	NA	Reactome: R-HSA-189483|Reactome: R-HSA-917937	NA	NA	NA	cd01169	NA	NA	NA	NA	NA	NA
EHK18283.1	NA	NA	NA	IPR036249	GO:0005515	PF14497;PF13409	NA	PTHR44051	SSF52833;SSF47616	NA	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	NA	PS50405;PS50404	NA	NA	NA	NA	cd03057	NA	NA	SFLDG00358;SFLDS00019	NA	NA	NA
EHK19768.1	NA	NA	NA	IPR002110	GO:0005515	PF13606	NA	PTHR44294	SSF48403	NA	G3DSA:1.25.40.20	NA	PS50088;PS50297	NA	NA	SM00248	NA	cd00204	NA	NA	NA	NA	NA	NA
EHK21685.1	NA	TMhelix	NA	IPR002347	GO:0016491	PF00106	NA	PTHR44169;PTHR44169:SF2	SSF51735	NA	G3DSA:3.40.50.720	NA	NA	NA	PS00061	SM00822	PR00081;PR00080	cd05374	NA	NA	NA	NA	NA	NA
EHK18203.1	NA	NA	mobidb-lite	IPR040456	GO:0032299	PF17745;PF09468	NA	PTHR13383	NA	Coil	G3DSA:1.10.20.120	NA	NA	NA	NA	NA	NA	cd09270	NA	NA	NA	NA	NA	NA
EHK23611.1	NA	NA	mobidb-lite	IPR011009	GO:0004672;GO:0005524;GO:0006468	PF00069	NA	PTHR24361;PTHR24361:SF611	SSF56112	NA	G3DSA:1.10.510.10	NA	PS50011	NA	PS00107;PS00108	SM00220	NA	NA	NA	NA	NA	NA	NA	NA
EHK26641.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	NA	PTHR24287:SF5;PTHR24287	SSF48264	NA	G3DSA:1.10.630.10	NA	NA	NA	PS00086	NA	PR00385;PR00463	NA	NA	NA	NA	NA	NA	NA
EHK24866.1	NA	NA	mobidb-lite	IPR036873	GO:0004725;GO:0005622;GO:0006470;GO:1902751	PF00581	NA	PTHR10828:SF17;PTHR10828	SSF52821	NA	G3DSA:3.40.250.10	NA	PS50206	Reactome: R-HSA-69273|Reactome: R-HSA-8862803	NA	SM00450	PR00716	cd01530	NA	NA	NA	NA	NA	NA
EHK15817.1	NA	NA	mobidb-lite	IPR011039	GO:0006367;GO:0003677;GO:0005634;GO:0032968	NA	NA	PTHR13011	SSF50916	Coil	NA	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK27082.1	NA	NA	NA	IPR011990	GO:0005515;GO:0003777;GO:0005871	PF13374;PF13424	NA	PTHR19959:SF205;PTHR19959	SSF48452;SSF52540	NA	G3DSA:3.40.50.300;G3DSA:1.25.40.10	NA	PS50293	Reactome: R-HSA-2132295|Reactome: R-HSA-5625970|Reactome: R-HSA-6811434|Reactome: R-HSA-983189	NA	SM00028	PR00381	NA	NA	NA	NA	NA	NA	NA
EHK16967.1	NA	NA	mobidb-lite	IPR013126		PF00012	NA	PTHR19375:SF205;PTHR19375	SSF53067	NA	G3DSA:3.90.640.10;G3DSA:3.30.420.40	NA	NA	Reactome: R-HSA-3371453	NA	NA	PR00301	cd10229	NA	NA	NA	NA	NA	NA
EHK22506.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	IPR029058	GO:0032126;GO:0070941	NA	NA	PTHR10039:SF5;PTHR10039	SSF53474	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17417.1	NA	NA	NA	IPR021858	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16901.1	NA	NA	mobidb-lite	IPR000679	GO:0006355;GO:0008270;GO:0043565;GO:0003700	PF00320	NA	PTHR10071:SF286;PTHR10071	SSF57716	NA	G3DSA:3.30.50.10	NA	PS50114	Reactome: R-HSA-383280	PS00344	SM00401	PR01217	cd00202	NA	NA	NA	NA	NA	NA
EHK26950.1	NA	NA	mobidb-lite	IPR029071	GO:0005515	PF16455;PF11976	NA	PTHR13609:SF4;PTHR13609	SSF54236	NA	G3DSA:1.20.225.20;G3DSA:3.10.20.90	NA	PS50053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16916.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26604.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	IPR036188	GO:0016491;GO:0055114	PF01593	NA	PTHR42923:SF16;PTHR42923	SSF51905	NA	G3DSA:1.10.405.10;G3DSA:3.50.50.60;G3DSA:3.90.660.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24118.1	NA	NA	mobidb-lite	IPR003511	GO:0007094	PF02301	NA	PTHR11842:SF11;PTHR11842	SSF56019	NA	G3DSA:3.30.900.10	NA	PS50815	Reactome: R-HSA-141405|Reactome: R-HSA-141430|Reactome: R-HSA-141444|Reactome: R-HSA-174184|Reactome: R-HSA-176409|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25880.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR000537	GO:0016021;GO:0016765	PF01040	NA	PTHR42723	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd13965	NA	NA	NA	NA	NA	NA
EHK22258.1	NA	NA	mobidb-lite	IPR017334	GO:0003743;GO:0005737;GO:0005852;GO:0003676	PF12353;PF00076	NA	PTHR10352;PTHR10352:SF0	SSF54928	NA	G3DSA:3.30.70.330	NA	PS50102	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	SM00360	NA	cd12408;cd12933	NA	NA	NA	PIRSF037949	NA	MF_03006
EHK18448.1	NA	NA	NA	IPR029063	GO:0008168	PF08241	NA	PTHR12176:SF16;PTHR12176	SSF53335	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA
EHK26583.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	IPR037158	NA	PF14821;PF00291	TIGR00260	PTHR42690	SSF53686	NA	G3DSA:3.90.1380.10;G3DSA:3.40.50.1100	NA	NA	NA	NA	NA	NA	cd01560	NA	NA	NA	NA	NA	NA
EHK24142.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	IPR020846	GO:0016021;GO:0055085	PF07690	NA	PTHR11360;PTHR11360:SF130	SSF103473	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK20896.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR000873	GO:0003824	PF00501	TIGR01733	PTHR33927;PTHR33927:SF2	SSF56801;SSF52343	NA	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	NA	NA	NA	PS00455	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK27296.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19452.1	NA	NA	mobidb-lite	IPR036915	NA	PF16899	NA	PTHR10026:SF8;PTHR10026	SSF47954	NA	G3DSA:1.10.472.10	NA	NA	NA	NA	SM00385	NA	cd00043	NA	NA	NA	NA	NA	NA
EHK25500.1	NA	NA	mobidb-lite	IPR000504	GO:0003676	PF00076;PF01585	NA	PTHR13288	SSF54928	NA	G3DSA:3.30.70.330	NA	PS50174;PS50102	NA	NA	SM00443	NA	NA	NA	NA	NA	NA	NA	NA
EHK16567.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	mobidb-lite	IPR004308	GO:0004357;GO:0006750;GO:0003824	PF03074	NA	PTHR11164	SSF55931	NA	G3DSA:1.10.8.960;G3DSA:3.30.590.50	NA	NA	KEGG: 00270+6.3.2.2|KEGG: 00480+6.3.2.2|MetaCyc: PWY-6840|MetaCyc: PWY-7255|Reactome: R-HSA-174403|Reactome: R-HSA-5578999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK15815.1	NA	NA	mobidb-lite	IPR029060	NA	PF12813	NA	NA	SSF88723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26088.1	NA	NA	NA	IPR027417	GO:0005525	PF16897;PF01926;PF02824	TIGR00231	PTHR43127:SF2;PTHR43127	SSF52540;SSF81271	NA	G3DSA:3.40.50.300;G3DSA:3.10.20.30	NA	PS51710	KEGG: 00970+6.1.1.3	PS00905	NA	PR00326	cd01666;cd01896	NA	NA	NA	NA	NA	NA
EHK17433.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR036259	GO:0016021;GO:0055085	PF07690	NA	PTHR42718;PTHR42718:SF18	SSF103473	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK16490.1	NA	NA	mobidb-lite	IPR021822	NA	PF11885	NA	PTHR36205:SF3;PTHR36205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25834.1	NA	NA	NA	IPR003010	GO:0006807;GO:0016810	PF00795	NA	PTHR23088;PTHR23088:SF2	SSF56317	NA	G3DSA:3.60.110.10	NA	PS50263	NA	PS00920	NA	NA	cd07564	NA	NA	NA	NA	NA	NA
EHK25036.1	NA	NA	NA	IPR001085	GO:0004372;GO:0019264;GO:0030170;GO:0035999;GO:0003824	PF00464	NA	PTHR11680;PTHR11680:SF25	SSF53383	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	NA	KEGG: 00260+2.1.2.1|KEGG: 00460+2.1.2.1|KEGG: 00630+2.1.2.1|KEGG: 00670+2.1.2.1|KEGG: 00680+2.1.2.1|MetaCyc: PWY-1622|MetaCyc: PWY-181|MetaCyc: PWY-2161|MetaCyc: PWY-2201|MetaCyc: PWY-3661|MetaCyc: PWY-3661-1|MetaCyc: PWY-3841|MetaCyc: PWY-5497|Reactome: R-HSA-196757	PS00096	NA	NA	cd00378	NA	NA	NA	PIRSF000412	NA	MF_00051
EHK21804.1	NA	NA	NA	IPR036812	NA	PF00248	NA	PTHR43625:SF19;PTHR43625	SSF51430	NA	G3DSA:3.20.20.100	NA	NA	NA	NA	NA	NA	cd06660	NA	NA	NA	NA	NA	NA
EHK20400.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR036640	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	PF00005;PF00664	NA	PTHR24223	SSF90123;SSF52540	NA	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	NA	PS50929;PS50893	NA	PS00211	SM00382	NA	cd03250;cd03244	NA	NA	NA	NA	NA	NA
EHK21514.1	NA	NA	mobidb-lite	IPR005550		PF03801	NA	PTHR10643	NA	Coil	G3DSA:1.10.418.30	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26231.1	NA	NA	NA	IPR001199	GO:0020037	PF00173	NA	PTHR19359:SF68;PTHR19359	SSF55856	NA	G3DSA:3.10.120.10	NA	PS50255	NA	PS00191	SM01117	PR00363	NA	NA	NA	NA	NA	NA	NA
EHK21187.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR011701	GO:0016021;GO:0055085	PF07690	NA	PTHR23506;PTHR23506:SF25	SSF103473	NA	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	NA	NA	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK20756.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	IPR017853	GO:0004563;GO:0005975;GO:0004553	PF14845;PF00728	NA	PTHR22600:SF37;PTHR22600	SSF51445;SSF55545	NA	G3DSA:3.20.20.80	NA	NA	KEGG: 00511+3.2.1.52|KEGG: 00513+3.2.1.52|KEGG: 00520+3.2.1.52|KEGG: 00531+3.2.1.52|KEGG: 00603+3.2.1.52|KEGG: 00604+3.2.1.52|MetaCyc: PWY-6902|MetaCyc: PWY-7822|MetaCyc: PWY-7883|Reactome: R-HSA-1660662|Reactome: R-HSA-2022857|Reactome: R-HSA-2024101|Reactome: R-HSA-2160916	NA	NA	PR00738	cd06562	SignalP-noTM	SignalP-noTM	NA	PIRSF001093	SignalP-TM	NA
EHK25582.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	PTHR38111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-TM	NA
EHK18725.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR020846	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	PF00083	TIGR00879	PTHR23500;PTHR23500:SF198	SSF103473	NA	G3DSA:1.20.1250.20	NA	PS50850	Reactome: R-HSA-189200	PS00216;PS00217	NA	PR00171	cd06174	NA	NA	NA	NA	NA	NA
EHK17071.1	NA	NA	NA	IPR019489	GO:0019538;GO:0005524	PF02861;PF10431;PF00004;PF17871;PF07724	NA	PTHR11638:SF127;PTHR11638	SSF52540;SSF81923	Coil	G3DSA:1.10.1780.10;G3DSA:3.40.50.300;G3DSA:1.10.8.60	NA	NA	NA	PS00871;PS00870	SM01086;SM00382	PR00300	cd00009	NA	NA	NA	NA	NA	NA
EHK27011.1	NA	NA	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	NA	PTHR31986:SF13;PTHR31986	SSF57667;SSF57701	NA	G3DSA:4.10.240.10;G3DSA:3.30.160.60	NA	PS50048	NA	PS00463	SM00066	NA	cd00067;cd12148	NA	NA	NA	NA	NA	NA
EHK17529.1	NA	NA	mobidb-lite	IPR014752	NA	PF00339	NA	PTHR11188;PTHR11188:SF84	SSF81296	NA	G3DSA:2.60.40.640	NA	NA	NA	NA	SM01017	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
EHK26453.1	NA	NA	mobidb-lite	IPR007109	GO:0000027;GO:0000470;GO:0019843	PF04427	NA	PTHR12728	NA	NA	NA	NA	PS50833	NA	NA	SM00879	NA	NA	NA	NA	NA	NA	NA	NA
EHK25052.1	TRANSMEMBRANE;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK15644.1	NA	NA	mobidb-lite	IPR011047	GO:0036265;GO:0005515	NA	NA	PTHR16288	SSF50998	NA	G3DSA:2.130.10.10	NA	NA	Reactome: R-HSA-6782315	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_03056
EHK16666.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	mobidb-lite	IPR003114	NA	PF02194;PF13824	NA	PTHR28069	SSF144232	NA	NA	NA	PS51207	NA	NA	SM00313	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
EHK16568.1	NA	NA	mobidb-lite	IPR006760		PF04667	NA	PTHR10358;PTHR10358:SF6	NA	NA	NA	NA	NA	Reactome: R-HSA-2465910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21816.1	NA	TMhelix	NA	IPR021858	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF11951;PF00172	NA	PTHR31263	SSF57701	NA	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	SM00066	NA	cd00067	NA	NA	NA	NA	NA	NA
EHK20779.1	NA	NA	NA	IPR011032	GO:0016491;GO:0008270;GO:0055114	PF00107;PF08240	NA	PTHR42683;PTHR42683:SF18	SSF50129;SSF51735	NA	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	Reactome: R-HSA-71384	PS00059;PS00065	SM00829	NA	cd05283	NA	NA	NA	NA	NA	NA
EHK23845.1	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
EHK23493.1	NA	NA	mobidb-lite	IPR007740	GO:0003735;GO:0005622;GO:0005840;GO:0006412	PF05046	NA	PTHR13477	NA	NA	G3DSA:3.30.780.10	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22436.1	NA	NA	mobidb-lite	IPR010994	GO:0003677;GO:0004518	PF02732	NA	PTHR10150	SSF47781;SSF52980	NA	G3DSA:3.40.50.10130;G3DSA:1.10.150.20	NA	NA	Reactome: R-HSA-6783310	NA	SM00891	NA	NA	NA	NA	NA	NA	NA	NA
EHK17537.1	NA	NA	NA	IPR001910	NA	PF01156	NA	PTHR12304:SF42;PTHR12304	SSF53590	Coil	G3DSA:3.90.245.10	NA	NA	NA	NA	NA	NA	cd02651	NA	NA	NA	NA	NA	NA
EHK21099.1	NA	NA	NA	IPR027417	GO:0005524	PF17866;PF00004	NA	PTHR43392	SSF52540	NA	G3DSA:3.40.50.300;G3DSA:1.10.8.60	NA	NA	NA	NA	SM00382	PR00819	cd00009	NA	NA	NA	NA	NA	NA
