Gene	interpro	SUPERFAMILY	PANTHER	GO	Pfam	PATHWAY	CDD	Gene3D	TMHMM	Phobius	ProSitePatterns	PIRSF	MobiDBLite	PRINTS	SMART	ProSiteProfiles	Coils	ProDom	TIGRFAM	SFLD	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	Hamap
PON31122.1	IPR001487	SSF47370	PTHR16062;PTHR16062:SF15	GO:0005515;GO:0003682;GO:0006338;GO:0016586	PF00439;PF01426	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	cd04717;cd04369;cd05522	G3DSA:2.30.30.490;G3DSA:1.20.920.10	NA	NA	PS00633	NA	mobidb-lite	PR00503	SM00439;SM00297	PS50014;PS51038	NA	NA	NA	NA	NA	NA	NA	NA
PON30239.1	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29886.1	IPR002889	NA	NA	NA	PF01822	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	mobidb-lite	NA	SM00321	PS51212	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PON23092.1	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.10.530.10	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON20537.1	IPR019775	SSF50978	PTHR19918:SF29;PTHR19918	GO:0005515;GO:0010997;GO:0097027;GO:1904668	PF12894;PF00400	NA	NA	G3DSA:2.130.10.10	NA	NA	PS00678	NA	mobidb-lite	NA	SM00320	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA	NA
PON22425.1	IPR036259	SSF103473	PTHR23507:SF1;PTHR23507	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30669.1	IPR018181	SSF100934;SSF53067;SSF100920	PTHR19375;PTHR19375:SF325		PF00012	Reactome: R-HSA-3371453	NA	G3DSA:3.90.640.10;G3DSA:3.30.420.40;G3DSA:1.20.1270.10;G3DSA:2.60.34.10	NA	NA	PS00329;PS00297;PS01036	NA	NA	PR00301	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON24696.1	IPR007219	SSF57701	PTHR31944	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	PF04082;PF00172	NA	cd12148;cd00067	G3DSA:4.10.240.10	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PS00463	NA	mobidb-lite	NA	SM00066;SM00906	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PON26515.1	IPR015943	SSF75011	PTHR30344;PTHR30344:SF1	GO:0005515	PF10282	NA	NA	G3DSA:2.130.10.10	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON24477.1	IPR002213	SSF53756	PTHR11926:SF704;PTHR11926	GO:0016758;GO:0005975;GO:0030259	PF00201;PF03033	Reactome: R-HSA-156588	cd03784	G3DSA:3.40.50.2000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22633.1	IPR011051	SSF51182	PTHR31238;PTHR31238:SF32	GO:0045735;GO:0033609	PF00190	KEGG: 00630+4.1.1.2|MetaCyc: PWY-6698	NA	G3DSA:2.60.120.10	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	SM00835	NA	NA	NA	TIGR03404	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON24473.1	IPR003663	SSF103473	PTHR23500:SF333;PTHR23500	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	PF00083	Reactome: R-HSA-189200	cd06174	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PS00217;PS00216	NA	NA	PR00171	NA	PS50850	NA	NA	TIGR00879	NA	NA	NA	NA	NA
PON21285.1	IPR031327	SSF52540;SSF50249	PTHR11630:SF43;PTHR11630	GO:0003677;GO:0005524;GO:0006270;GO:0006260;GO:0003678;GO:0005634;GO:0042555	PF17855;PF00493;PF18263;PF17207;PF14551	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	NA	G3DSA:3.30.1640.10;G3DSA:3.40.50.300;G3DSA:1.20.58.870;G3DSA:2.20.28.10;G3DSA:2.40.50.140	NA	NA	PS00847	NA	mobidb-lite	PR01657;PR01662	SM00350	PS50051	NA	NA	NA	NA	NA	NA	NA	NA
PON27153.1	IPR000182	SSF55729	PTHR42791;PTHR42791:SF2	NA	PF00583	NA	cd04301	G3DSA:3.40.630.30	NA	NA	NA	NA	NA	NA	NA	PS51186	NA	NA	NA	NA	NA	NA	NA	NA
PON25755.1	IPR007109	NA	PTHR12661;PTHR12661:SF5	NA	PF04427	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	SM00879	PS50833	NA	NA	NA	NA	NA	NA	NA	NA
PON31053.1	IPR005787	SSF55021;SSF53686	PTHR43714	GO:0004794;GO:0009097;GO:0006520;GO:0030170	PF00585;PF00291	KEGG: 00260+4.3.1.19|KEGG: 00290+4.3.1.19	cd01562;cd04906;cd04907	G3DSA:3.40.50.1100;G3DSA:3.40.1020.10	NA	NA	PS00165	NA	mobidb-lite	NA	NA	PS51672	NA	NA	TIGR01124	NA	NA	NA	NA	NA
PON27520.1	IPR001563	SSF53474	PTHR11802:SF190;PTHR11802	GO:0004185;GO:0006508	PF00450	NA	NA	G3DSA:3.40.50.1820	TMhelix	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	mobidb-lite	PR00724	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	SignalP-noTM	NA
PON23285.1	IPR001138	SSF57701	PTHR43374:SF1;PTHR43374	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	NA	cd00067;cd12148	G3DSA:4.10.240.10	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PS00463	NA	mobidb-lite	NA	SM00066;SM00906	PS50048	Coil	NA	NA	NA	NA	NA	NA	NA
PON22880.1	IPR000760	SSF56655	PTHR43200;PTHR43200:SF2	GO:0046854	PF00459	NA	cd01517	G3DSA:3.40.190.80;G3DSA:3.30.540.10	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22881.1	IPR036291	SSF51735	PTHR43349;PTHR43349:SF23	GO:0003824;GO:0050662	PF01370	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30008.1	IPR017927	SSF63380	PTHR11972:SF129;PTHR11972	GO:0016491;GO:0055114	PF08030;PF08022;PF01794	NA	cd06186	G3DSA:3.40.50.80	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	PS51384	NA	NA	NA	SFLDG01168;SFLDS00052	NA	NA	NA	NA
PON30131.1	IPR012578	NA	PTHR28003	NA	PF08058	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21919.1	IPR000073	SSF53474	PTHR43798;PTHR43798:SF11	NA	PF00561	NA	NA	G3DSA:3.50.50.60;G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20887.1	IPR036691	SSF52058;SSF56219	PTHR12121:SF34;PTHR12121	GO:0005515	PF13855;PF03372	NA	cd09097	G3DSA:3.60.10.10;G3DSA:3.80.10.10	NA	NA	NA	NA	mobidb-lite	NA	NA	PS51450	NA	NA	NA	NA	NA	NA	NA	NA
PON26826.1	IPR011527	SSF52540;SSF90123	PTHR24223:SF344;PTHR24223	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	PF00664;PF00005	NA	cd03250;cd03244	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PS00211	NA	mobidb-lite	NA	SM00382	PS50929;PS50893	Coil	NA	NA	NA	NA	NA	NA	NA
PON25409.1	IPR002769	SSF55909	PTHR10784	GO:0042256;GO:0043022	PF01912	NA	cd00527	G3DSA:3.75.10.10	NA	NA	NA	PIRSF006413	NA	NA	SM00654	NA	NA	NA	TIGR00323	NA	NA	NA	NA	MF_00032
PON29626.1	IPR036318	SSF56176;SSF55103	PTHR11748:SF83;PTHR11748	GO:0050660;GO:0071949;GO:0016491;GO:0055114;GO:0003824	PF01565;PF02913	NA	NA	G3DSA:3.30.465.40;G3DSA:3.30.70.2740;G3DSA:1.10.45.10	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	PS51387	NA	NA	NA	NA	NA	NA	NA	NA
PON28290.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON29953.1	IPR036020	SSF51045;SSF54534	PTHR10657;PTHR10657:SF4	GO:0005515;GO:0003755	PF00639;PF00397	NA	cd00201	G3DSA:2.20.70.10;G3DSA:3.10.50.40	NA	NA	PS01159	NA	NA	NA	SM00456	PS50020;PS50198	NA	NA	NA	NA	NA	NA	NA	NA
PON23619.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON24948.1	IPR020843	SSF103473;SSF51735;SSF50129	PTHR23502:SF132;PTHR23502	GO:0016491;GO:0016021;GO:0055085;GO:0055114	PF07690;PF00107	NA	cd08249;cd06174	G3DSA:1.20.1250.20;G3DSA:3.90.180.10;G3DSA:3.40.50.720	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24320.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28192.1	IPR020904	SSF51735	PTHR24320;PTHR24320:SF80	GO:0016491	PF00106	NA	NA	G3DSA:3.40.50.720	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	PS00061	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22282.1	IPR001279	SSF56281	PTHR11935:SF118;PTHR11935	NA	PF00753	NA	cd16276	G3DSA:3.60.15.10	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	SM00849	PS51257	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON29947.1	IPR001300	SSF54001	PTHR10183:SF294;PTHR10183	GO:0004198;GO:0005622;GO:0006508	PF00648	Reactome: R-HSA-1474228	NA	G3DSA:3.90.70.10	NA	NA	PS00139	NA	mobidb-lite	PR00704	SM00230	PS50203	Coil	NA	NA	NA	NA	NA	NA	NA
PON30548.1	NA	NA	PTHR33048	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28845.1	IPR011701	SSF103473	PTHR23501;PTHR23501:SF3	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON22168.1	IPR029041	SSF51730	PTHR13914;PTHR13914:SF6	GO:0004657;GO:0006562	PF01619	KEGG: 00330+1.5.5.2|MetaCyc: PWY-5737|MetaCyc: PWY-6922|Reactome: R-HSA-70688	NA	G3DSA:3.20.20.220	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PON29080.1	IPR002347	SSF51735	PTHR24320:SF115;PTHR24320	NA	PF00106	NA	cd05233	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27990.1	IPR004806	SSF101238;SSF54236;SSF46934	PTHR10621;PTHR10621:SF0	GO:0005634;GO:0006289;GO:0003684;GO:0043161;GO:0005515	PF00627;PF00240;PF09280	Reactome: R-HSA-5689877|Reactome: R-HSA-5696394|Reactome: R-HSA-5696395	cd01805;cd14281	G3DSA:1.10.8.10;G3DSA:3.10.20.90;G3DSA:1.10.10.540	NA	NA	NA	NA	mobidb-lite	PR01839	SM00727;SM00213;SM00165	PS50030;PS50053	NA	NA	TIGR00601	NA	NA	NA	NA	NA
PON21664.1	IPR020846	SSF103473	PTHR43791;PTHR43791:SF61	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON24126.1	IPR011701	SSF103473	PTHR11360;PTHR11360:SF223	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON28802.1	IPR002347	SSF51735	PTHR43157:SF1;PTHR43157	NA	PF00106	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24463.1	IPR000757	SSF49899	PTHR10963;PTHR10963:SF56	GO:0004553;GO:0005975	PF00722	NA	cd02183	G3DSA:2.60.120.200	TMhelix	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION	NA	NA	mobidb-lite	NA	NA	PS51257;PS51762	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON27119.1	IPR029058	SSF53474	PTHR43494;PTHR43494:SF9	GO:0016787	PF07859	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26985.1	IPR002293	NA	PTHR11785:SF369;PTHR11785	GO:0016020;GO:0022857;GO:0055085	PF13520	NA	NA	G3DSA:1.20.1740.10	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	PIRSF006060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30205.1	IPR016024	SSF48371	PTHR11199;PTHR11199:SF0	NA	PF08514	NA	NA	G3DSA:1.25.10.10	NA	NA	NA	NA	mobidb-lite	NA	NA	PS51425	NA	NA	NA	NA	NA	NA	NA	NA
PON25589.1	IPR029149	SSF53092;SSF55920	PTHR43226:SF4;PTHR43226	GO:0004177;GO:0030145	PF00557;PF05195	NA	NA	G3DSA:3.40.350.10;G3DSA:3.90.230.10	NA	NA	NA	NA	NA	NA	SM01011	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29962.1	IPR011032	SSF50129;SSF51735	PTHR42940:SF2;PTHR42940	GO:0055114;GO:0016491	PF08240;PF00107	NA	cd08297	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	NA	NA	NA	NA	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23322.1	IPR020846	SSF103473	PTHR23501;PTHR23501:SF59	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1720.10	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	PR01036	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON22447.1	IPR011989	SSF48371	PTHR21567:SF9;PTHR21567	NA	PF12348	NA	NA	G3DSA:1.25.10.10	NA	NA	NA	NA	mobidb-lite	NA	SM01349	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29178.1	IPR015424	SSF53383	PTHR42790;PTHR42790:SF10	GO:0003824;GO:0009058;GO:0030170	PF00155	NA	cd00609	G3DSA:3.40.640.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25232.1	IPR003439	SSF52540;SSF90123	PTHR24223:SF335;PTHR24223	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	PF00005;PF00664	NA	cd03244;cd03250	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS00211	NA	mobidb-lite	NA	SM00382	PS50893;PS50929	NA	NA	NA	NA	NA	NA	NA	NA
PON21131.1	IPR036390	SSF46785;SSF53335	PTHR43712;PTHR43712:SF5	GO:0008171;GO:0008168	PF00891	NA	NA	G3DSA:3.40.50.150;G3DSA:1.10.10.10	NA	NA	NA	NA	mobidb-lite	NA	NA	PS51683	NA	NA	NA	NA	NA	NA	NA	NA
PON23972.1	IPR023566	SSF54534	PTHR43811;PTHR43811:SF19	NA	PF17800;PF00254	NA	NA	G3DSA:3.10.50.40;G3DSA:2.60.120.340	NA	NA	NA	PIRSF001473	mobidb-lite	NA	NA	PS50059	NA	NA	NA	NA	NA	NA	NA	NA
PON24606.1	IPR036259	SSF103473	PTHR43791	NA	NA	NA	NA	G3DSA:1.20.1250.20	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20338.1	IPR010699	NA	PTHR37488:SF1;PTHR37488	NA	PF06912	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29691.1	IPR014001	SSF46689;SSF52540;SSF101224	PTHR10799;PTHR10799:SF856	GO:0003677;GO:0003676;GO:0005524;GO:0005634;GO:0006338;GO:0016818;GO:0031491;GO:0043044	PF00271;PF09111;PF09110;PF00176	NA	cd00046;cd00079;cd00167	G3DSA:1.10.10.60;G3DSA:3.40.50.10810;G3DSA:3.40.50.300;G3DSA:1.20.5.1190;G3DSA:1.10.1040.30	NA	NA	NA	NA	mobidb-lite	NA	SM00717;SM00487;SM00490	PS51192;PS51293;PS51194	Coil	NA	NA	NA	NA	NA	NA	NA
PON20100.1	IPR001138	SSF57701	PTHR31263:SF27;PTHR31263	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	NA	cd00067	G3DSA:4.10.240.10	NA	NA	PS00463	NA	mobidb-lite	NA	SM00066	PS50048	Coil	NA	NA	NA	NA	NA	NA	NA
PON21785.1	IPR007276	NA	PTHR23183	GO:0032040	PF04147	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON30048.1	NA	SSF109604	PTHR35569	NA	NA	NA	NA	G3DSA:1.10.3210.10	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PON27253.1	IPR019383	NA	PTHR13254:SF0;PTHR13254	NA	PF10256	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28402.1	IPR001128	SSF48264	PTHR24279;PTHR24279:SF85	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	NA	NA	G3DSA:1.10.630.10	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23193.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25212.1	IPR020846	SSF103473	PTHR23502;PTHR23502:SF38	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24850.1	IPR013083	SSF57850;SSF52540	PTHR15439:SF8;PTHR15439	GO:0003924;GO:0005525	PF00071	NA	cd01860;cd16620	G3DSA:3.30.40.10;G3DSA:3.40.50.300	NA	NA	NA	NA	mobidb-lite	PR00449	SM00173;SM00176;SM00175;SM00174	PS51419	Coil	NA	TIGR00231	NA	NA	NA	NA	NA
PON20648.1	IPR023299	SSF81660;SSF56784;SSF81665;SSF81653	PTHR24093:SF346;PTHR24093	GO:0000166;GO:0016021;GO:0005388;GO:0005524;GO:0016020;GO:0070588	PF00690;PF00702;PF00122;PF00689	Reactome: R-HSA-936837	cd02081	G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:2.70.150.10;G3DSA:1.20.1110.10	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PS00154	NA	NA	PR00121;PR00119	NA	NA	NA	NA	TIGR01494;TIGR01517	SFLDF00027;SFLDG00002	NA	NA	NA	NA
PON20736.1	IPR016093	SSF82109	PTHR10050;PTHR10050:SF46	GO:0016020;GO:0000030;GO:0006493	PF02366;PF02815;PF16192	Reactome: R-HSA-5173105	NA	G3DSA:2.80.10.50	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	SM00472	PS50919	NA	NA	NA	NA	NA	NA	NA	NA
PON28031.1	IPR006598	NA	PTHR12203:SF57;PTHR12203	NA	PF05686	NA	NA	NA	TMhelix	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	SM00672	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON30995.1	IPR000719	SSF56112	NA	GO:0004672;GO:0005524;GO:0006468	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	PS50011	NA	NA	NA	NA	NA	NA	NA	NA
PON26060.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20682.1	IPR036259	SSF103473	PTHR23502:SF60;PTHR23502	GO:0005215;GO:0016021;GO:0055085	PF07690	NA	cd06174	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PS00216	NA	mobidb-lite	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON30534.1	IPR003439	SSF52540	PTHR19229:SF184;PTHR19229	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	PF00005;PF12698	NA	cd03263	G3DSA:3.40.50.300	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PS00211	NA	NA	NA	SM00382	PS50893	NA	NA	NA	NA	NA	NA	NA	NA
PON24090.1	IPR002226	SSF56634	PTHR11465;PTHR11465:SF9	GO:0020037;GO:0004096;GO:0006979;GO:0055114	PF06628;PF00199	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241	cd08157	G3DSA:2.40.180.10	NA	NA	PS00437;PS00438	PIRSF038928	mobidb-lite	PR00067	SM01060	PS51402	NA	NA	NA	NA	NA	NA	NA	NA
PON21658.1	IPR005829	SSF103473	PTHR23500;PTHR23500:SF116	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PF00083	Reactome: R-HSA-189200	cd06174	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PS00217	NA	NA	PR00171	NA	PS50850	NA	NA	TIGR00879	NA	NA	NA	NA	NA
