Gene	interpro	GO	ProSiteProfiles	Phobius	SMART	TMHMM	SUPERFAMILY	Gene3D	PATHWAY	Pfam	PANTHER	CDD	Coils	ProSitePatterns	MobiDBLite	PRINTS	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	PIRSF	TIGRFAM	Hamap	SFLD	ProDom
PTB63078.1	IPR014043	GO:0016740;GO:0003824;GO:0016491;GO:0055114	PS50075	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SM00825;SM00826;SM00829;SM00822;SM00827	NA	SSF55048;SSF51735;SSF50129;SSF53901;SSF52151;SSF47336	G3DSA:3.10.129.110;G3DSA:3.40.366.10;G3DSA:3.90.180.10;G3DSA:3.40.47.10;G3DSA:3.40.50.720	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	PF00698;PF02801;PF00109;PF08659;PF16197;PF00550;PF14765;PF00107	PTHR43775:SF2;PTHR43775	cd05274;cd05195;cd00833	Coil	PS00606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62451.1	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62482.1	IPR003890	GO:0003723;GO:0005515	PS51366	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SM00543	NA	SSF48371	G3DSA:1.25.40.180	NA	PF02854;PF02847	PTHR18034:SF4;PTHR18034	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63549.1	IPR036837	GO:0006812;GO:0008324;GO:0016021;GO:0055085	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF160240;SSF161111	G3DSA:3.30.70.1350;G3DSA:1.20.1510.10	Reactome: R-HSA-435368	PF16916;PF01545	PTHR43840:SF12;PTHR43840	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	TIGR01297	NA	NA	NA
PTB66016.1	IPR036291	GO:0055114	NA	NA	NA	NA	SSF51735;SSF50129	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	PF00107;PF08240	PTHR43677;PTHR43677:SF4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65863.1	IPR002110	GO:0005515	PS50088;PS50297	NA	SM00248	NA	SSF48403	G3DSA:1.25.40.960;G3DSA:1.25.40.20	NA	PF12796	PTHR24136;PTHR24136:SF15	cd00204	NA	NA	NA	PR01415	NA	NA	NA	NA	NA	NA	NA	NA
PTB62620.1	IPR006598	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SM00672	TMhelix	NA	NA	NA	PF05686	PTHR12203;PTHR12203:SF57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64036.1	IPR029056	NA	NA	NA	NA	NA	SSF53613	G3DSA:3.40.1190.20	NA	PF00294	PTHR10584;PTHR10584:SF206	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65598.1	IPR020683	GO:0035091;GO:0005515	PS51205;PS50297	NA	SM00248	NA	SSF48403;SSF64268;SSF109993	G3DSA:3.30.1520.10;G3DSA:1.20.1050.80	Reactome: R-HSA-8876198	PF02204;PF13857	PTHR24170	cd00204;cd06093	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	PD127710
PTB69617.1	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	G3DSA:1.20.1740.10	NA	PF13520	PTHR11785:SF432;PTHR11785	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	PIRSF006060	NA	NA	NA	NA
PTB61377.1	IPR001433	GO:0016491;GO:0055114;GO:0020037;GO:0019825;GO:0008941;GO:0051409;GO:0071949	PS01033;PS51384	NA	NA	NA	SSF63380;SSF52343;SSF46458	G3DSA:2.40.30.10;G3DSA:1.10.490.10;G3DSA:3.40.50.80	Reactome: R-HSA-1237044	PF00175;PF00970;PF00042	PTHR43396	cd08922;cd06184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66827.1	IPR008927	GO:0055114;GO:0004367;GO:0006072;GO:0009331;GO:0016616;GO:0046168;GO:0051287;GO:0016491;GO:0005975	NA	NA	NA	NA	SSF48179;SSF51735	G3DSA:1.10.1040.10	KEGG: 00564+1.1.1.94|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-7902|Reactome: R-HSA-1483166	PF01210;PF07479	PTHR11728;PTHR11728:SF8	NA	NA	PS00957	NA	PR00077	NA	NA	NA	NA	NA	NA	NA	NA
PTB68159.1	IPR020846	GO:0016021;GO:0055085	PS50850	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF103473	NA	NA	PF07690	PTHR23502:SF51;PTHR23502	cd06174	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68904.1	IPR012340	NA	NA	NA	NA	NA	SSF50249	G3DSA:2.40.50.140	NA	PF10451	PTHR13989:SF14;PTHR13989	cd03524	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63916.1	IPR000439	GO:0003735;GO:0005840;GO:0006412;GO:0005622	NA	NA	SM01384	NA	SSF54189	G3DSA:3.40.1120.10	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00827	PTHR11847	NA	NA	PS01194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68849.1	IPR009571	GO:0005886	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	NA	NA	PF06687	PTHR28019;PTHR28019:SF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64209.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	NA	SM00066	NA	SSF57701	G3DSA:4.10.240.10	NA	PF00172	PTHR31986:SF11;PTHR31986	cd00067	NA	PS00463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66273.1	IPR002108	GO:0003779;GO:0005622;GO:0030837	PS51263	NA	SM00102	NA	SSF55753	G3DSA:3.40.20.10	NA	PF00241	PTHR13759:SF1;PTHR13759	cd11285;cd11284	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69557.1	IPR009737	NA	NA	NA	NA	NA	SSF52833	NA	NA	PF06999	PTHR31902:SF7;PTHR31902	cd03062	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70539.1	IPR000988	NA	NA	NA	NA	NA	SSF57716	G3DSA:3.30.160.440;G3DSA:2.30.170.20	NA	PF01246	PTHR10792:SF1;PTHR10792	cd00472	Coil	PS01073	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70019.1	IPR020103	GO:0001522;GO:0003723;GO:0009451;GO:0009982	NA	NA	NA	NA	SSF55120	G3DSA:3.30.70.580;G3DSA:3.30.70.660	NA	PF01416	PTHR11142;PTHR11142:SF5	cd02569	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	MF_00171	NA	NA
PTB66644.1	IPR004104	GO:0016491;GO:0055114	NA	NA	NA	NA	SSF55347;SSF51735	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	PF02894;PF01408	PTHR42840:SF5;PTHR42840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65651.1	IPR000182	NA	PS51186	NA	NA	NA	SSF55729	G3DSA:3.40.630.30	NA	PF00583	PTHR43617;PTHR43617:SF11	cd04301	NA	NA	NA	PR01754	NA	NA	NA	NA	NA	NA	NA	NA
PTB69924.1	IPR000702	GO:0003735;GO:0005840;GO:0006412;GO:0019843;GO:0005622	NA	NA	NA	NA	SSF56053	G3DSA:3.90.930.12	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00347	PTHR11655;PTHR11655:SF16	NA	NA	PS00700	NA	NA	NA	NA	NA	PIRSF002162	NA	NA	NA	NA
PTB62863.1	IPR001310	GO:0003677;GO:0006281;GO:0033699	NA	NA	NA	NA	SSF54197	G3DSA:3.30.428.10	NA	PF01230;PF16278	PTHR12486;PTHR12486:SF4	NA	NA	PS00892	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67551.1	IPR003010	GO:0006807;GO:0003952;GO:0005524;GO:0009435	PS50263	NA	NA	NA	SSF52402;SSF56317	G3DSA:3.60.110.10;G3DSA:3.40.50.620	KEGG: 00760+6.3.5.1|MetaCyc: PWY-5381|MetaCyc: PWY-5653|MetaCyc: PWY-7761|Reactome: R-HSA-196807	PF00795;PF02540	PTHR23090:SF9;PTHR23090	cd00553;cd07570	Coil	NA	NA	NA	NA	NA	NA	PIRSF006630	NA	MF_02090	NA	NA
PTB66681.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	NA	SM00906;SM00066	NA	SSF57701	G3DSA:4.10.240.10	NA	PF04082;PF00172	PTHR31405:SF13;PTHR31405	cd00067;cd12148	NA	PS00463	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63867.1	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67605.1	IPR002123	GO:0016746;GO:0008374;GO:0044255	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SM00563	NA	SSF69593	NA	KEGG: 00561+2.3.1.15|KEGG: 00564+2.3.1.15|MetaCyc: PWY-5667|MetaCyc: PWY-6453|MetaCyc: PWY-7411|MetaCyc: PWY-7587|Reactome: R-HSA-1483166	PF01553	PTHR12563;PTHR12563:SF17	cd07993	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63397.1	IPR013320	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	SSF49899	NA	NA	NA	PTHR33681	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB69501.1	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68225.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SM00066	NA	SSF57701	G3DSA:4.10.240.10	NA	PF00172	PTHR31845;PTHR31845:SF17	cd12148;cd00067	Coil	PS00463	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70800.1	IPR036259	GO:0016021;GO:0055085	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF103473	G3DSA:1.20.1250.20	NA	PF07690	PTHR23507:SF1;PTHR23507	cd06174	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66080.1	IPR001623	GO:0003676;GO:0008270	PS50157;PS50076	NA	SM00451;SM00271	NA	SSF57667;SSF46565	G3DSA:1.10.287.110;G3DSA:3.30.160.60	NA	PF00226;PF12171	PTHR44029	cd06257	Coil	PS00028;PS00636	mobidb-lite	PR00625	NA	NA	NA	NA	NA	NA	NA	NA
PTB69872.1	IPR016050	GO:0004175;GO:0005839;GO:0051603;GO:0004298	PS51476	NA	NA	NA	SSF56235	G3DSA:3.60.20.10	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PF00227	PTHR11599;PTHR11599:SF5	cd03760	NA	PS00854	NA	NA	NA	NA	NA	PIRSF001213	NA	NA	NA	NA
PTB63777.1	IPR003593	GO:0005737;GO:0016787;GO:0030163;GO:0005524;GO:0036402	NA	NA	SM00382	NA	SSF52540	G3DSA:2.40.50.140;G3DSA:1.10.8.60;G3DSA:3.40.50.300	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PF00004;PF16450;PF17862	PTHR23073;PTHR23073:SF12	cd00009	Coil	PS00674	NA	NA	NA	NA	NA	NA	TIGR01242	NA	NA	NA
PTB68273.1	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70931.1	IPR039481	GO:0000145;GO:0006893	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	PF15469	PTHR13043	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67309.1	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	SignalP-TM	SignalP-TM	SignalP-TM	NA	NA	NA	NA	NA
PTB61864.1	IPR002347	NA	NA	NA	NA	NA	SSF51735	G3DSA:3.40.50.720	NA	PF00106	PTHR44196	cd05233	NA	NA	NA	PR00080;PR00081	NA	NA	NA	NA	NA	NA	NA	NA
PTB70631.1	IPR007282	GO:0005634;GO:0006355;GO:0030015	NA	NA	NA	NA	NA	G3DSA:2.30.30.1020	Reactome: R-HSA-429947|Reactome: R-HSA-6804115	PF04153	PTHR23326;PTHR23326:SF3	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68997.1	IPR033749	GO:0008299	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	SSF48576	NA	NA	PF00348	PTHR12001:SF47;PTHR12001	cd00685	NA	PS00444;PS00723	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00005	NA
PTB67523.1	IPR036549	GO:0005739	PS51808	NA	NA	NA	SSF47694	G3DSA:1.10.10.140	NA	PF02297	PTHR11387;PTHR11387:SF2	cd00926	NA	NA	NA	NA	NA	NA	NA	PIRSF000278	NA	NA	NA	PD015172
PTB70238.1	IPR015798	GO:0005507;GO:0008131;GO:0009308;GO:0048038;GO:0055114	NA	NA	NA	NA	SSF54416;SSF49998	G3DSA:3.10.450.40;G3DSA:2.70.98.20	Reactome: R-HSA-211945	PF01179;PF02728;PF02727	PTHR10638;PTHR10638:SF33	NA	NA	PS01164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68579.1	IPR036188	GO:0016491;GO:0055114	NA	NA	NA	NA	SSF51905;SSF54373	G3DSA:3.90.660.10;G3DSA:3.50.50.60	NA	PF01593	PTHR10742;PTHR10742:SF347	NA	NA	NA	NA	PR00419	NA	NA	NA	NA	NA	NA	NA	NA
PTB69227.1	IPR032319	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	SSF52540	G3DSA:3.40.50.300	NA	PF16575	PTHR12755;PTHR12755:SF3	NA	NA	NA	mobidb-lite	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB69980.1	IPR029063	NA	NA	NA	NA	NA	SSF53335	G3DSA:3.40.50.150	NA	PF13489	PTHR43591;PTHR43591:SF12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70968.1	IPR036526	GO:0006807	PS50263	NA	NA	NA	SSF56317	G3DSA:3.60.110.10	NA	PF00795	PTHR23088:SF27;PTHR23088	cd07572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61531.1	IPR021863	GO:0016717;GO:0055114;GO:0006629	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	PF11960;PF00487	PTHR32100:SF0;PTHR32100	cd03507	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62295.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	NA	SM00066	NA	SSF57701	G3DSA:4.10.240.10	NA	PF00172	PTHR31313:SF55;PTHR31313	cd12148;cd00067	NA	PS00463	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69888.1	IPR013933	NA	NA	NA	NA	NA	NA	NA	NA	PF08624	PTHR22597:SF5;PTHR22597	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	PD041931
PTB66355.1	IPR014371	GO:0008374	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	PF03062	PTHR10408;PTHR10408:SF7	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	PIRSF000439	NA	NA	NA	NA
PTB64424.1	IPR007502	GO:0004386;GO:0003676;GO:0005524	PS51194;PS51192	NA	SM00847;SM00490;SM00487	NA	SSF52540	G3DSA:1.20.120.1080;G3DSA:3.40.50.300	NA	PF04408;PF00270;PF00271;PF07717	PTHR18934:SF91;PTHR18934	cd00046;cd00079	Coil	PS00690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65567.1	IPR011701	GO:0016021;GO:0055085	PS50850	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	SSF103473	NA	NA	PF07690	PTHR23502:SF33;PTHR23502	cd06174	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67169.1	IPR004254	GO:0016021	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	PF03006	PTHR20855;PTHR20855:SF15	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63842.1	IPR017932	GO:0006537;GO:0016639;GO:0055114;GO:0015930;GO:0016638;GO:0051536;GO:0006807;GO:0016491;GO:0005506;GO:0010181;GO:0016040;GO:0050660;GO:0003824	PS51278	NA	NA	NA	SSF46548;SSF51971;SSF56235;SSF69336;SSF51395	G3DSA:3.50.50.60;G3DSA:2.160.20.60;G3DSA:3.20.20.70;G3DSA:1.10.1060.10;G3DSA:3.60.20.10	Reactome: R-HSA-73621	PF01645;PF04898;PF00310;PF07992;PF14691;PF01493	PTHR11938:SF1;PTHR11938	cd00982;cd02808;cd00713	NA	NA	mobidb-lite	PR00419	NA	NA	NA	PIRSF000187	TIGR01317	NA	NA	NA
PTB67809.1	IPR007109	NA	PS50833	NA	SM00879	NA	SSF52954	NA	NA	PF04427	PTHR22734:SF3;PTHR22734	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66637.1	IPR000960	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	NA	NA	NA	SSF51905	G3DSA:3.50.50.60	NA	PF00743;PF13450	PTHR43539:SF3;PTHR43539	NA	NA	NA	NA	PR00370	NA	NA	NA	PIRSF000332	NA	NA	NA	NA
PTB67845.1	IPR001753	GO:0003824	NA	NA	NA	NA	SSF52096	G3DSA:3.90.226.10	NA	PF00378	PTHR43684;PTHR43684:SF1	cd06558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62481.1	IPR023753	GO:0016491;GO:0055114;GO:0050660;GO:0009055;GO:0045454;GO:0004148;GO:0016668	NA	NA	NA	NA	SSF55424;SSF51905	G3DSA:3.50.50.60;G3DSA:3.30.390.30	KEGG: 00010+1.8.1.4|KEGG: 00020+1.8.1.4|KEGG: 00260+1.8.1.4|KEGG: 00280+1.8.1.4|KEGG: 00620+1.8.1.4|KEGG: 00640+1.8.1.4|MetaCyc: PWY-5046|MetaCyc: PWY-5084|Reactome: R-HSA-204174|Reactome: R-HSA-389661|Reactome: R-HSA-5362517|Reactome: R-HSA-6783984|Reactome: R-HSA-70268|Reactome: R-HSA-70895|Reactome: R-HSA-71064|Reactome: R-HSA-71403	PF07992;PF02852	PTHR22912:SF151;PTHR22912	NA	NA	PS00076	NA	PR00368;PR00411	NA	NA	NA	PIRSF000350	TIGR01350	NA	NA	NA
PTB63293.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SM00906;SM00066	NA	SSF57701	G3DSA:4.10.240.10	NA	PF04082;PF00172	PTHR31944:SF123;PTHR31944	cd12148;cd00067	NA	PS00463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67022.1	IPR000504	GO:0003676	PS50102	NA	SM00360	NA	SSF54928	G3DSA:3.30.70.330	NA	PF00076	PTHR10501;PTHR10501:SF32	cd12246	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63676.1	IPR010730	NA	NA	NA	NA	NA	NA	NA	NA	PF06985	PTHR33112:SF6;PTHR33112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69073.1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF48264	G3DSA:1.10.630.10	NA	PF00067	PTHR24286;PTHR24286:SF77	NA	NA	PS00086	mobidb-lite	PR00465;PR00385	NA	NA	NA	NA	NA	NA	NA	NA
PTB64169.1	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0005515	PS50011	NA	SM00220	NA	SSF82615;SSF56112	G3DSA:1.10.510.10;G3DSA:3.30.1120.30	NA	PF00069	PTHR24345	cd13118;cd14099	NA	PS00107;PS00108	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68701.1	IPR020849	GO:0005525;GO:0007165;GO:0016020;GO:0003924	PS51421	NA	SM00176;SM00173;SM00174;SM00175	NA	SSF52540	G3DSA:3.40.50.300	NA	PF00071	PTHR24070;PTHR24070:SF293	NA	NA	NA	mobidb-lite	PR00449	NA	NA	NA	NA	TIGR00231	NA	NA	NA
PTB68340.1	IPR006603	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SM00679	TMhelix	NA	G3DSA:1.20.1280.290	NA	PF04193	PTHR16201:SF6;PTHR16201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
