Gene	interpro	GO	ProSitePatterns	ProSiteProfiles	MobiDBLite	Gene3D	SUPERFAMILY	SMART	PANTHER	TMHMM	Phobius	Pfam	CDD	PATHWAY	TIGRFAM	PRINTS	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Coils	PIRSF	Hamap	SFLD	ProDom
maker-NIGB01000003.1-augustus-gene-30.21-mRNA-1	IPR007233	GO:0016192;GO:0030008	NA	NA	NA	G3DSA:3.30.450.70	SSF64356	SM01399	PTHR23249;PTHR23249:SF16	NA	NA	PF04099	NA	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-21.35-mRNA-1	IPR005995	GO:0004619;GO:0006007;GO:0005737;GO:0030145;GO:0003824;GO:0046872	NA	NA	mobidb-lite	G3DSA:3.40.720.10;G3DSA:3.40.1450.10	SSF64158;SSF53649	NA	PTHR31637;PTHR31637:SF0	NA	NA	PF06415;PF01676	cd16010	KEGG: 00010+5.4.2.12|KEGG: 00260+5.4.2.12|KEGG: 00680+5.4.2.12|MetaCyc: PWY-1042|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7124|MetaCyc: PWY-7218	TIGR01307	NA	NA	NA	NA	NA	NA	MF_01038	NA	NA
maker-NIGB01000003.1-augustus-gene-1.7-mRNA-1	IPR000237	NA	NA	PS50913	mobidb-lite	NA	NA	NA	PTHR18921	NA	NA	PF10375	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-29.5-mRNA-1	IPR000560	GO:0000829	NA	NA	mobidb-lite	G3DSA:3.40.50.11950;G3DSA:3.40.50.1240;G3DSA:3.30.470.100	SSF53254	NA	PTHR12750:SF9;PTHR12750	NA	NA	PF00328;PF08443;PF18086	NA	Reactome: R-HSA-70614	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-20.21-mRNA-1	IPR011498	GO:0005515	NA	NA	mobidb-lite	G3DSA:2.120.10.80	SSF117281	NA	PTHR23244	NA	NA	PF07646;PF13854;PF13418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000009.1-processed-gene-3.26-mRNA-1	IPR009571	GO:0005886	NA	NA	mobidb-lite	NA	NA	NA	PTHR36414:SF1;PTHR36414	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF06687	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000007.1-processed-gene-7.17-mRNA-1	IPR003099	GO:0004665;GO:0006571;GO:0008977;GO:0055114	NA	PS51176	mobidb-lite	G3DSA:1.10.3660.10;G3DSA:3.40.50.720	SSF48179	NA	PTHR21363	NA	NA	PF02153	NA	KEGG: 00400+1.3.1.12|KEGG: 00401+1.3.1.12|MetaCyc: PWY-7303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-26.23-mRNA-1	IPR002403	GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0055114	PS00086	NA	NA	G3DSA:1.10.630.10	SSF48264	NA	PTHR24286;PTHR24286:SF0	NA	NA	PF00067	NA	NA	NA	PR00465;PR00385	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000004.1-processed-gene-23.4-mRNA-1	IPR003593	GO:0005524;GO:0016887;GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497;GO:0016021;GO:0042626;GO:0055085	PS00211	PS50893;PS50929	mobidb-lite	G3DSA:3.40.50.300;G3DSA:1.10.630.10;G3DSA:1.20.1560.10	SSF52540;SSF48264;SSF90123	SM00382	PTHR24221;PTHR24221:SF187	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF00067;PF00005;PF00664	cd03253	NA	NA	PR00465	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-8.11-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000005.1-processed-gene-8.12-mRNA-1	IPR000399	GO:0000287;GO:0030976	PS00187	NA	mobidb-lite	NA	NA	NA	NA	TMhelix	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGB01000009.1-augustus-gene-13.38-mRNA-1	IPR004148	GO:0005515;GO:0005737;GO:0006897	NA	PS51021	mobidb-lite	G3DSA:1.20.1270.60	SSF103657	SM00721	PTHR43965	NA	NA	PF03114	NA	Reactome: R-HSA-182971|Reactome: R-HSA-6807004|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828|Reactome: R-HSA-8875360	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-36.6-mRNA-1	IPR035899	GO:0005089;GO:0035023	NA	PS50010	mobidb-lite	G3DSA:1.20.1270.60;G3DSA:1.20.900.10	SSF48065;SSF103657	SM00325	PTHR22834;PTHR22834:SF20	NA	NA	PF00621	cd07589;cd00160	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-18.35-mRNA-1	IPR017853	GO:0005975	NA	NA	NA	G3DSA:3.20.20.80	SSF51445	NA	PTHR11177;PTHR11177:SF239	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	PF00704	cd06546	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-20.5-mRNA-1	IPR016181	NA	NA	PS51186	mobidb-lite	G3DSA:3.40.630.30	SSF55729	NA	PTHR23091:SF282;PTHR23091	NA	NA	PF00583	cd04301	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000007.1-processed-gene-12.21-mRNA-1	IPR013087	GO:0003676	PS00028	PS50157	mobidb-lite	G3DSA:3.30.160.60	SSF57667	SM00355	PTHR24376;PTHR24376:SF63	NA	NA	PF00096	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000007.1-processed-gene-4.16-mRNA-1	IPR010619	NA	NA	NA	mobidb-lite	NA	SSF81995	NA	PTHR31082	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PF06738	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000006.1-augustus-gene-12.33-mRNA-1	IPR036249	GO:0045454;GO:0005783;GO:0016853	PS00194	PS51352	NA	G3DSA:3.40.30.10;G3DSA:1.20.1150.12	SSF52833;SSF47933	NA	PTHR18929:SF187;PTHR18929	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	PF00085;PF07749	cd00238;cd02998	NA	TIGR01126	PR00421	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-25.34-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR11863;PTHR11863:SF26	TMhelix	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000006.1-processed-gene-16.4-mRNA-1	IPR036511	GO:0006400;GO:0016763;GO:0008479	NA	NA	mobidb-lite	G3DSA:3.20.20.105	SSF51713	NA	PTHR21148;PTHR21148:SF29	NA	NA	PF01702	NA	MetaCyc: PWY-6700|Reactome: R-HSA-6782315	TIGR00449	NA	NA	NA	NA	NA	NA	MF_03043	NA	NA
maker-NIGB01000003.1-augustus-gene-6.36-mRNA-1	IPR036322	GO:0005515;GO:0000055;GO:0000056;GO:0006913;GO:0017056	PS00678	NA	mobidb-lite	NA	SSF50978	NA	PTHR13257	NA	NA	NA	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-19.42-mRNA-1	IPR009311	GO:0016021	NA	NA	NA	NA	NA	NA	PTHR16932:SF18;PTHR16932	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF06140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-15.41-mRNA-1	IPR002938	GO:0071949	NA	NA	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.50;G3DSA:3.40.30.20	SSF52833;SSF51905;SSF54373	NA	PTHR43004:SF7;PTHR43004	NA	NA	PF01494;PF07976	cd02979	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-47.23-mRNA-1	IPR013126		NA	NA	mobidb-lite	G3DSA:3.90.640.10;G3DSA:3.30.30.30;G3DSA:3.30.420.40	SSF53067	NA	PTHR19375:SF331;PTHR19375	NA	NA	PF00012	cd10232	Reactome: R-HSA-3371453	NA	PR00301	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000006.1-processed-gene-1.22-mRNA-1	IPR017441	GO:0005524;GO:0004672;GO:0006468	PS00107;PS00108	PS50011	NA	G3DSA:1.10.510.10	SSF56112	SM00220	PTHR45524	NA	NA	PF00069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000006.1-processed-gene-1.17-mRNA-1	IPR036872	GO:0007165;GO:0005515;GO:0043087	NA	PS50096;PS50018;PS50021	mobidb-lite	G3DSA:1.10.418.10;G3DSA:1.10.506.10	SSF48350;SSF47576;SSF143885	SM00015;SM00323;SM00033	PTHR14149;PTHR14149:SF14	NA	NA	PF03836;PF00307;PF00612;PF00616	cd05127;cd00014	Reactome: R-HSA-5626467	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-16.3-mRNA-1	IPR013083	NA	NA	PS50089	mobidb-lite	G3DSA:3.30.40.10	SSF57850	SM00184	PTHR22765;PTHR22765:SF27	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF13639	cd16454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000007.1-processed-gene-8.12-mRNA-1	IPR011059	GO:0016810;GO:0008270;GO:0016701;GO:0055114;GO:0006725;GO:0008198;GO:0016491	NA	NA	NA	G3DSA:2.30.40.10;G3DSA:3.20.20.140;G3DSA:3.40.830.10	SSF51338;SSF53213;SSF51556	NA	PTHR43668:SF3;PTHR43668	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF07969;PF02900	cd01309;cd07363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000007.1-processed-gene-9.29-mRNA-1	IPR036849	GO:0050032	NA	NA	NA	G3DSA:3.20.20.120;G3DSA:3.30.390.10;G3DSA:3.40.50.720	SSF51604;SSF51735;SSF54826	SM00922	PTHR13794;PTHR13794:SF50	NA	NA	PF13561;PF02746;PF13378	cd03327	KEGG: 00051+4.2.1.90|MetaCyc: PWY-6713|MetaCyc: PWY-6714	NA	PR00080;PR00081	NA	NA	NA	NA	NA	NA	SFLDS00001;SFLDF00006	NA
augustus_masked-NIGB01000005.1-processed-gene-19.5-mRNA-1	IPR006285	GO:0005737;GO:0006914;GO:0008641	NA	NA	mobidb-lite	G3DSA:3.40.50.720;G3DSA:3.40.140.70;G3DSA:3.40.140.100	SSF69572	NA	PTHR10953;PTHR10953:SF3	NA	NA	PF16420;PF00899	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-6798695|Reactome: R-HSA-6802952|Reactome: R-HSA-983168	TIGR01381	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-15.33-mRNA-1	IPR003169	GO:0005515	NA	PS50829	mobidb-lite	G3DSA:3.30.1490.40	SSF55277	SM00444	PTHR14445;PTHR14445:SF36	NA	NA	PF02213	cd00072	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000007.1-augustus-gene-11.23-mRNA-1	IPR001680	GO:0005515;GO:0000159;GO:0019888	PS01025;PS01024;PS00678	NA	mobidb-lite	NA	SSF50978	SM00320	PTHR11871;PTHR11871:SF0	NA	NA	PF00400	NA	NA	NA	PR00600	NA	NA	NA	NA	PIRSF037309	NA	NA	NA
maker-NIGB01000006.1-augustus-gene-17.12-mRNA-1	IPR037171	GO:0044237	NA	NA	mobidb-lite	G3DSA:3.40.50.10470	SSF100950	NA	PTHR10233;PTHR10233:SF14	NA	NA	PF01008	NA	KEGG: 00270+5.3.1.23|MetaCyc: PWY-4361|MetaCyc: PWY-7174	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-23.53-mRNA-1	IPR033749	GO:0008299	PS00444;PS00723	NA	NA	G3DSA:1.10.600.10	SSF48576	NA	PTHR12001:SF47;PTHR12001	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	PF00348	cd00685	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00005	NA
maker-NIGB01000008.1-augustus-gene-1.23-mRNA-1	IPR002075	NA	NA	PS50177	NA	G3DSA:3.10.450.50	SSF54427	NA	PTHR12612:SF0;PTHR12612	NA	NA	PF02136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-39.18-mRNA-1	IPR020846	GO:0016021;GO:0055085	NA	PS50850	NA	G3DSA:1.20.1250.20	SSF103473	NA	PTHR43791;PTHR43791:SF6	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF07690	cd06174	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000006.1-augustus-gene-2.0-mRNA-1	IPR003594	GO:0000160;GO:0000155;GO:0007165;GO:0005515;GO:0016310;GO:0016772	NA	PS50110;PS50112;PS50109;PS50113	mobidb-lite	G3DSA:3.30.565.10;G3DSA:3.30.450.20;G3DSA:1.10.287.130;G3DSA:3.40.50.2300	SSF55785;SSF52172;SSF47384;SSF55874	SM00448;SM00387;SM00086;SM00091;SM00388	PTHR43047:SF5;PTHR43047	NA	NA	PF02518;PF08447;PF13188;PF00512;PF00072	cd00082;cd00130;cd00075;cd00156	Reactome: R-HSA-70895	TIGR00229	PR00344	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-0.24-mRNA-1	IPR022783	GO:0003676	NA	PS50174	mobidb-lite	NA	NA	SM00443	PTHR23329:SF1;PTHR23329	NA	NA	PF07842;PF01585;PF12457	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-41.16-mRNA-1	IPR020846	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	PS00216;PS00217	PS50850	NA	G3DSA:1.20.1250.20	SSF103473	NA	PTHR23500:SF50;PTHR23500	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF00083	cd06174	Reactome: R-HSA-189200	TIGR00879	PR00171	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-10.36-mRNA-1	IPR005123	GO:0016491;GO:0055114	NA	PS51471	NA	G3DSA:2.60.120.330	SSF51197	NA	PTHR10209:SF388;PTHR10209	NA	NA	PF03171;PF14226	NA	NA	NA	PR00682	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000008.1-augustus-gene-7.6-mRNA-1	IPR014718	GO:0030246;GO:0003824	NA	NA	NA	G3DSA:1.20.1050.60;G3DSA:2.70.98.10;G3DSA:3.30.2080.10;G3DSA:1.20.1610.10	SSF48208	NA	PTHR12143:SF25;PTHR12143	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	PF07971;PF17678	NA	NA	TIGR01180	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-5.12-mRNA-1	IPR003265	GO:0006284;GO:0051539;GO:0016021;GO:0055085;GO:0003824;GO:0006281;GO:0016787	NA	PS50850	mobidb-lite	G3DSA:1.10.1670.10;G3DSA:3.90.79.10;G3DSA:1.10.340.30	SSF48150;SSF55811;SSF103473	SM00525;SM00478	PTHR42944	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF07690;PF00730;PF14815	cd00056;cd03431;cd06174	Reactome: R-HSA-110357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000007.1-augustus-gene-10.10-mRNA-1	IPR001085	GO:0004372;GO:0019264;GO:0030170;GO:0035999;GO:0003824	PS00096	NA	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	SSF53383	NA	PTHR11680:SF25;PTHR11680	NA	NA	PF00464	cd00378	KEGG: 00260+2.1.2.1|KEGG: 00460+2.1.2.1|KEGG: 00630+2.1.2.1|KEGG: 00670+2.1.2.1|KEGG: 00680+2.1.2.1|MetaCyc: PWY-1622|MetaCyc: PWY-181|MetaCyc: PWY-2161|MetaCyc: PWY-2201|MetaCyc: PWY-3661|MetaCyc: PWY-3661-1|MetaCyc: PWY-3841|MetaCyc: PWY-5497|Reactome: R-HSA-196757	NA	NA	SignalP-TM	NA	NA	NA	PIRSF000412	MF_00051	NA	NA
maker-NIGB01000001.1-augustus-gene-18.6-mRNA-1	IPR002252	GO:0004557;GO:0005975;GO:0003824	NA	NA	NA	G3DSA:2.60.40.1180;G3DSA:3.20.20.70;G3DSA:2.70.98.60	SSF51445	NA	PTHR22762:SF81;PTHR22762	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	PF02065;PF16874;PF16875	cd14791	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	NA	PR00743	SignalP-TM	SignalP-noTM	NA	NA	PIRSF005536	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-14.49-mRNA-1	IPR008610		NA	NA	mobidb-lite	NA	NA	NA	PTHR13028	NA	NA	PF05890	NA	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-30.3-mRNA-1	IPR025609	NA	NA	PS51536;PS51513	mobidb-lite	G3DSA:2.30.30.100	SSF50182	SM01271;SM01199	PTHR22684	NA	NA	PF12701;PF09532;PF04910	cd01736	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-22.21-mRNA-1	IPR016069	GO:0043565	NA	NA	mobidb-lite	G3DSA:1.20.58.200;G3DSA:1.20.58.190	SSF74784	NA	PTHR10741;PTHR10741:SF5	NA	NA	PF01997	cd14820	Reactome: R-HSA-426486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-34.38-mRNA-1	IPR012989	GO:0005515	NA	PS50033;PS51399	mobidb-lite	G3DSA:1.10.8.10;G3DSA:3.30.420.210;G3DSA:3.10.20.90	SSF46934;SSF54236;SSF102848	SM00553	PTHR23333:SF20;PTHR23333	NA	NA	PF08059;PF00789;PF14555	cd14273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000005.1-processed-gene-14.5-mRNA-1	IPR001958	GO:0005215;GO:0016021;GO:0055085	NA	PS50850	mobidb-lite	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	SSF103473	NA	PTHR23502;PTHR23502:SF51	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PF07690	cd06174	NA	NA	PR01035	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-38.2-mRNA-1	IPR017853	GO:0004553;GO:0005975	NA	NA	NA	G3DSA:3.20.20.80;G3DSA:2.60.120.260;G3DSA:2.60.40.10	SSF51445;SSF49785;SSF49303	NA	PTHR42931	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	PF02836;PF00703;PF02837	NA	KEGG: 00052+3.2.1.23|KEGG: 00511+3.2.1.23|KEGG: 00531+3.2.1.23|KEGG: 00600+3.2.1.23|KEGG: 00604+3.2.1.23|MetaCyc: PWY-6807|Reactome: R-HSA-6798695	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-4.9-mRNA-1	IPR006032	GO:0003735;GO:0005840;GO:0006412;GO:0015935	NA	NA	NA	G3DSA:2.40.50.140	SSF50249	NA	PTHR11652:SF1;PTHR11652	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	PF00164	cd03368	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	TIGR00981	PR01034	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-20.31-mRNA-1	IPR013240	GO:0006360	NA	NA	mobidb-lite	NA	NA	NA	PTHR28155	NA	NA	PF08208	NA	Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73777|Reactome: R-HSA-73863	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-27.12-mRNA-1	IPR036188	GO:0005515;GO:0003677;GO:0016491;GO:0055114	NA	PS50934;PS50118	mobidb-lite	G3DSA:3.50.50.60;G3DSA:1.10.10.10;G3DSA:3.90.660.10;G3DSA:1.10.30.10	SSF47095;SSF54373;SSF46689;SSF51905	SM00398	PTHR10742;PTHR10742:SF353	NA	NA	PF00505;PF04433;PF01593	cd01390	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-39.12-mRNA-1	IPR037524	NA	NA	PS51820	NA	G3DSA:2.60.120.1560	SSF56988	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	PF10528	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGB01000010.1-augustus-gene-5.79-mRNA-1	IPR013057	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR22950:SF458;PTHR22950	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-32.5-mRNA-1	IPR035940	NA	NA	NA	NA	G3DSA:3.40.33.10	SSF55797	SM00198	PTHR10334;PTHR10334:SF312	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PF00188	NA	NA	NA	PR00837	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NIGB01000010.1-augustus-gene-2.38-mRNA-1	IPR033121	NA	NA	PS51767	mobidb-lite	G3DSA:2.40.70.10	SSF50630	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-14.37-mRNA-1	IPR033138	GO:0005507;GO:0055114	PS00079	NA	NA	G3DSA:2.60.40.420	SSF49503	NA	PTHR11709:SF148;PTHR11709	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	PF07732;PF00394	cd13851;cd13877	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-2.23-mRNA-1	IPR009075	GO:0016627;GO:0055114	NA	NA	NA	G3DSA:2.40.110.20;G3DSA:1.20.140.10	SSF47203;SSF56645	NA	PTHR42707;PTHR42707:SF2	NA	NA	PF00441;PF02770;PF18158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
