Gene	interpro	GO	Gene3D	ProSiteProfiles	Pfam	SMART	PANTHER	MobiDBLite	CDD	SUPERFAMILY	ProSitePatterns	Coils	PATHWAY	TIGRFAM	Phobius	TMHMM	Hamap	PIRSF	PRINTS	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	ProDom	SFLD
augustus_masked-NODE_6_length_318289_cov_41.506698-processed-gene-2.22-mRNA-1	IPR005804	GO:0006629	NA	NA	PF00487	NA	PTHR36459	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_38_length_144168_cov_44.648663-augustus-gene-0.55-mRNA-1	IPR004276	GO:0005975;GO:0016758;GO:0030259	G3DSA:3.40.50.2000	PS50330	PF03033	SM00726	PTHR11926:SF704;PTHR11926	mobidb-lite	cd03784	SSF53756	NA	Coil	KEGG: 00550+2.4.1.227|MetaCyc: PWY-5265|MetaCyc: PWY-6385|MetaCyc: PWY-6470|MetaCyc: PWY-6471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_249_length_35221_cov_46.759760-processed-gene-0.2-mRNA-1	IPR019165	GO:0004222	NA	NA	PF09768	NA	PTHR21711:SF0;PTHR21711	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_223582_cov_47.348450-augustus-gene-1.47-mRNA-1	IPR013830	NA	G3DSA:3.40.50.1110	NA	PF13472	NA	PTHR30383;PTHR30383:SF12	NA	cd00229	SSF52266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_244_length_36797_cov_41.948950-augustus-gene-0.15-mRNA-1	IPR013862	NA	NA	NA	PF08552	NA	PTHR28077	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_26_length_170807_cov_40.015948-augustus-gene-0.8-mRNA-1	IPR003593	GO:0005524	G3DSA:3.40.50.300;G3DSA:1.10.8.60	NA	PF00004;PF17862	SM00382	PTHR23077:SF27;PTHR23077	mobidb-lite	cd00009	SSF52540	PS00674	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_245_length_36735_cov_49.655021-processed-gene-0.10-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA
augustus_masked-NODE_2_length_436630_cov_48.410920-processed-gene-3.21-mRNA-1	IPR036259	GO:0016021;GO:0055085	NA	PS50850	PF07690	NA	PTHR23502;PTHR23502:SF13	mobidb-lite	cd06174	SSF103473	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_484860_cov_50.546594-augustus-gene-2.5-mRNA-1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	G3DSA:4.10.240.10	PS50048	PF00172;PF04082	SM00066;SM00906	PTHR31313:SF45;PTHR31313	mobidb-lite	cd12148;cd00067	SSF57701	NA	Coil	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_247_length_35800_cov_43.693886-processed-gene-0.6-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_52_length_126822_cov_42.128024-augustus-gene-0.8-mRNA-1	IPR001272	GO:0004612;GO:0005524;GO:0006094;GO:0004611;GO:0017076	G3DSA:3.90.228.20;G3DSA:2.170.8.10;G3DSA:3.40.449.10	NA	PF01293	NA	PTHR30031:SF0;PTHR30031	NA	cd00484	SSF68923;SSF53795	PS00532	NA	KEGG: 00010+4.1.1.49|KEGG: 00020+4.1.1.49|KEGG: 00620+4.1.1.49|KEGG: 00710+4.1.1.49|MetaCyc: PWY-561|MetaCyc: PWY-7117	TIGR00224	NA	NA	MF_00453	PIRSF006294	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_74_length_101889_cov_36.763183-processed-gene-0.6-mRNA-1	IPR001680	GO:0005515;GO:0005669	G3DSA:1.25.40.500;G3DSA:2.130.10.10	PS50082;PS50294	PF04494;PF00400	SM00320	PTHR19879;PTHR19879:SF1	mobidb-lite	cd08044;cd00200	SSF50978;SSF160897	PS00678	NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-6807505|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA	NA	PR00320	NA	NA	NA	NA	NA
augustus_masked-NODE_19_length_201490_cov_48.986974-processed-gene-0.30-mRNA-1	IPR023299	GO:0000166;GO:0016021;GO:0000287;GO:0004012;GO:0005524;GO:0015914	G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:2.70.150.10	NA	PF16209;PF00702;PF16212	NA	PTHR24092:SF5;PTHR24092	mobidb-lite	NA	SSF56784;SSF81660;SSF81653;SSF81665	PS00154	NA	Reactome: R-HSA-936837	TIGR01494;TIGR01652	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	PR00119	NA	NA	NA	NA	SFLDF00027;SFLDG00002
maker-NODE_92_length_87246_cov_39.869454-augustus-gene-0.11-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_109_length_78457_cov_45.243636-processed-gene-0.0-mRNA-1	IPR010987	GO:0005515	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	PS50405;PS50404	PF00043;PF02798	NA	PTHR44051;PTHR44051:SF6	NA	cd03048	SSF52833;SSF47616	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFLDG01151;SFLDS00019
maker-NODE_364_length_16193_cov_45.330325-augustus-gene-0.2-mRNA-1	IPR005828	GO:0016021;GO:0022857;GO:0055085	G3DSA:1.20.1250.20	PS50850	PF00083	NA	PTHR23508:SF10;PTHR23508	NA	cd06174	SSF103473	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_201490_cov_48.986974-augustus-gene-1.0-mRNA-1	IPR017441	GO:0005524;GO:0004672;GO:0006468	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PS50011	PF00069	SM00220	PTHR24361;PTHR24361:SF351	mobidb-lite	cd06621	SSF56112	PS00107;PS00108	NA	NA	NA	NA	NA	NA	PIRSF000615	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_225485_cov_46.082997-processed-gene-1.62-mRNA-1	IPR004408	GO:0004077;GO:0006464	G3DSA:3.30.930.10	PS51733	PF03099;PF09825	NA	PTHR12835:SF5;PTHR12835	NA	cd03144;cd16442	SSF55681;SSF52317	NA	NA	KEGG: 00780+6.3.4.15|Reactome: R-HSA-196780|Reactome: R-HSA-3371599	TIGR00121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_164543_cov_47.811217-augustus-gene-0.0-mRNA-1	IPR019734	GO:0005515	G3DSA:1.25.40.10	PS50005;PS50293	PF13432;PF14559;PF13181;PF12895;PF00515	SM00028	PTHR12558:SF13;PTHR12558	mobidb-lite	NA	SSF48452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_377419_cov_47.972443-augustus-gene-2.62-mRNA-1	IPR011701	GO:0016021;GO:0055085	G3DSA:1.20.1250.20	PS50850	PF07690	NA	PTHR23520	NA	cd06174	SSF103473	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_436630_cov_48.410920-augustus-gene-2.51-mRNA-1	IPR001969	GO:0004190;GO:0006508	G3DSA:2.40.70.10	PS51767	PF00026	NA	PTHR13683;PTHR13683:SF345	NA	cd06097	SSF50630	PS00141	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	PR00792	NA	NA	NA	NA	NA
maker-NODE_33_length_159463_cov_46.963304-augustus-gene-0.7-mRNA-1	IPR027417	GO:0005525;GO:0006614;GO:0003924;GO:0005047;GO:0005785;GO:0006886	G3DSA:1.20.120.140;G3DSA:3.30.450.60;G3DSA:3.40.50.300	NA	PF00448;PF02881;PF04086	SM00382;SM00963;SM00962	PTHR43134;PTHR43134:SF1	mobidb-lite	NA	SSF52540;SSF47364;SSF64356	PS00300	NA	Reactome: R-HSA-1799339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_369570_cov_49.812937-processed-gene-0.13-mRNA-1	IPR002194	GO:0005524;GO:0006457;GO:0051082	G3DSA:1.10.560.10;G3DSA:3.50.7.10;G3DSA:3.30.260.10	NA	PF00118	NA	PTHR11353;PTHR11353:SF23	NA	cd03336	SSF48592;SSF52029;SSF54849	PS00995;PS00751;PS00750	Coil	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-6814122	TIGR02341	NA	NA	NA	NA	PR00304	NA	NA	NA	NA	NA
maker-NODE_65_length_107139_cov_47.890919-augustus-gene-0.9-mRNA-1	IPR027417	GO:0003677;GO:0003678;GO:0005524;GO:0005634;GO:0006270;GO:0042555;GO:0006260	G3DSA:1.20.58.870;G3DSA:3.40.50.300;G3DSA:2.40.50.140;G3DSA:3.30.1640.10;G3DSA:2.20.28.10	PS50051	PF14551;PF18263;PF17207;PF17855;PF00493	SM00350	PTHR11630:SF43;PTHR11630	mobidb-lite	NA	SSF52540;SSF50249	PS00847	NA	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	NA	NA	NA	NA	NA	PR01662;PR01657	NA	NA	NA	NA	NA
maker-NODE_285_length_29347_cov_23.143395-augustus-gene-0.1-mRNA-1	IPR001680	GO:0005515	G3DSA:2.130.10.10	PS50082;PS50294	PF00400	SM00320	PTHR22836	mobidb-lite	cd00200	SSF50978	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_219_length_43985_cov_42.476150-processed-gene-0.10-mRNA-1	IPR023395	GO:0022857;GO:0055085	G3DSA:1.50.40.10	PS50920	PF00153	NA	PTHR24089:SF282;PTHR24089	NA	NA	SSF103506	NA	NA	NA	NA	NA	TMhelix	NA	NA	PR00926	NA	NA	NA	NA	NA
maker-NODE_141_length_68258_cov_45.685165-augustus-gene-0.7-mRNA-1	IPR036291	GO:0016491	G3DSA:3.40.50.720	NA	PF13561	SM00822	PTHR42760:SF58;PTHR42760	NA	NA	SSF51735	PS00061	NA	NA	NA	NA	NA	NA	NA	PR00080;PR00081	NA	NA	NA	NA	NA
maker-NODE_15_length_210320_cov_43.855837-augustus-gene-1.37-mRNA-1	IPR019564	GO:0001401	NA	NA	PF10568	NA	PTHR12289;PTHR12289:SF41	mobidb-lite	cd03078	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_60_length_110145_cov_34.144495-augustus-gene-0.7-mRNA-1	IPR004299	NA	NA	NA	PF03062	NA	PTHR13285:SF18;PTHR13285	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_155_length_61795_cov_52.866073-processed-gene-0.12-mRNA-1	IPR026822		NA	NA	PF12656	NA	PTHR15818	mobidb-lite	NA	NA	NA	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_79_length_95875_cov_50.363663-augustus-gene-0.49-mRNA-1	IPR001171	GO:0016020;GO:0016628;GO:0055114	G3DSA:1.20.120.1630	NA	PF01222	NA	PTHR21257;PTHR21257:SF38	mobidb-lite	NA	NA	PS01017;PS01018	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_484860_cov_50.546594-augustus-gene-3.26-mRNA-1	IPR004837	GO:0016021;GO:0055085;GO:0006816;GO:0015369	G3DSA:1.20.1420.30;G3DSA:1.20.58.1130	NA	PF01699	NA	PTHR31503:SF14;PTHR31503	mobidb-lite	NA	NA	NA	NA	Reactome: R-HSA-425561	TIGR00378	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_36_length_149521_cov_44.867525-augustus-gene-0.16-mRNA-1	IPR033248	GO:0004802;GO:0003824	G3DSA:3.40.50.920;G3DSA:3.40.50.970	NA	PF02780;PF00456;PF02779	SM00861	PTHR43522;PTHR43522:SF2	NA	cd02012;cd07033	SSF52922;SSF52518	PS00802;PS00801	NA	KEGG: 00030+2.2.1.1|KEGG: 00710+2.2.1.1|MetaCyc: PWY-1861|MetaCyc: PWY-5723|MetaCyc: PWY-6901	TIGR00232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_193_length_50354_cov_49.519880-augustus-gene-0.7-mRNA-1	IPR020892	GO:0003755;GO:0006457;GO:0005515;GO:0000413	G3DSA:2.130.10.10;G3DSA:2.40.100.10	PS50294;PS50082;PS50072	PF00160;PF00400	SM00320	PTHR11071:SF213;PTHR11071	mobidb-lite	cd01927	SSF50978;SSF50891	PS00170	NA	NA	NA	NA	NA	NA	NA	PR00153	NA	NA	NA	NA	NA
maker-NODE_235_length_39307_cov_44.854288-augustus-gene-0.14-mRNA-1	IPR001623	NA	G3DSA:1.10.287.110	PS50076	PF00226	SM00271	PTHR44144	mobidb-lite	cd06257	SSF46565	PS00636	Coil	NA	NA	NA	NA	NA	NA	PR00625	NA	NA	NA	NA	NA
maker-NODE_5_length_369570_cov_49.812937-augustus-gene-1.34-mRNA-1	IPR018815	NA	NA	NA	PF10311	NA	PTHR28029	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_197_length_48977_cov_41.831238-augustus-gene-0.4-mRNA-1	IPR004429	GO:0003862;GO:0009098;GO:0055114;GO:0016616;GO:0000287;GO:0051287	G3DSA:3.40.718.10	NA	PF00180	SM01329	PTHR42979:SF1;PTHR42979	NA	NA	SSF53659	PS00470	NA	KEGG: 00290+1.1.1.85|KEGG: 00660+1.1.1.85|MetaCyc: PWY-7396	TIGR00169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_156_length_61002_cov_51.280131-processed-gene-0.19-mRNA-1	IPR001388	GO:0016021;GO:0016192	G3DSA:1.20.5.110;G3DSA:3.30.450.50	PS50892;PS50859	PF13774;PF00957	SM01270	PTHR21136;PTHR21136:SF168	NA	NA	SSF58038;SSF64356	NA	NA	Reactome: R-HSA-204005	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	PR00219	NA	NA	NA	NA	NA
augustus_masked-NODE_30_length_164047_cov_50.852452-processed-gene-0.38-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
augustus_masked-NODE_204_length_47492_cov_36.939956-processed-gene-0.7-mRNA-1	IPR000612	GO:0016021	NA	NA	PF01679	NA	PTHR21659:SF22;PTHR21659	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	SignalP-TM	SignalP-TM	NA	NA	NA
augustus_masked-NODE_6_length_318289_cov_41.506698-processed-gene-1.28-mRNA-1	IPR023214	NA	G3DSA:3.40.50.1000	NA	PF12710	NA	PTHR28181	NA	NA	SSF56784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_28_length_165515_cov_51.014215-processed-gene-0.5-mRNA-1	IPR003827		G3DSA:3.30.1960.10	NA	PF02676	NA	PTHR23245:SF31;PTHR23245	mobidb-lite	NA	SSF111278	NA	NA	MetaCyc: PWY-7286|Reactome: R-HSA-6782861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_32_length_163309_cov_48.572870-augustus-gene-0.51-mRNA-1	IPR002524	GO:0006812;GO:0008324;GO:0016021;GO:0055085	G3DSA:1.20.1510.10	NA	PF01545	NA	PTHR11562:SF17;PTHR11562	mobidb-lite	NA	SSF160240;SSF161111	NA	NA	Reactome: R-HSA-435368	TIGR01297	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_216_length_44673_cov_44.309882-processed-gene-0.3-mRNA-1	IPR023465	GO:0008531;GO:0009231	G3DSA:2.40.30.30	NA	PF01687	SM00904	PTHR22749;PTHR22749:SF2	mobidb-lite	NA	SSF82114	NA	NA	Reactome: R-HSA-196843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_262446_cov_48.377925-augustus-gene-0.9-mRNA-1	IPR011032	GO:0008270;GO:0016491;GO:0055114	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	PF08240;PF00107	NA	PTHR42813;PTHR42813:SF2	NA	cd08284	SSF50129;SSF51735	PS00059	NA	Reactome: R-HSA-71384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_223582_cov_47.348450-processed-gene-0.30-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_368_length_15714_cov_42.149548-processed-gene-0.4-mRNA-1	IPR001841	GO:0008270	G3DSA:3.30.40.10	PS50089	PF12678	SM00184	PTHR44631	mobidb-lite	cd16448	SSF57850	NA	NA	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
augustus_masked-NODE_9_length_284830_cov_44.416483-processed-gene-1.24-mRNA-1	IPR011545	GO:0003676;GO:0005524	G3DSA:3.40.50.300	PS51195;PS51194;PS51192	PF00270;PF00271	SM00487;SM00490	PTHR24031;PTHR24031:SF336	mobidb-lite	cd00079	SSF52540	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_15_length_210320_cov_43.855837-augustus-gene-1.51-mRNA-1	IPR009447	GO:0006506;GO:0016021;GO:0016746	NA	NA	PF06423	NA	PTHR20661	NA	NA	NA	NA	NA	Reactome: R-HSA-162710	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	PIRSF017321	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_484860_cov_50.546594-processed-gene-0.23-mRNA-1	IPR000679	GO:0006355;GO:0008270;GO:0043565;GO:0003700	G3DSA:3.30.50.10	PS50114	PF00320	SM00401	PTHR10071:SF285;PTHR10071	mobidb-lite	cd00202	SSF57716	PS00344	Coil	Reactome: R-HSA-383280	NA	NA	NA	NA	NA	PR00619	NA	NA	NA	NA	NA
augustus_masked-NODE_121_length_74372_cov_49.311428-processed-gene-0.7-mRNA-1	IPR029044	GO:0016758	NA	NA	PF03142	NA	PTHR22914:SF10;PTHR22914	mobidb-lite	NA	SSF53448	NA	NA	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_203_length_47776_cov_47.225146-processed-gene-0.8-mRNA-1	IPR019007	GO:0006396;GO:0001522;GO:0031429;GO:0042254	NA	NA	PF09429	NA	PTHR23237:SF3;PTHR23237	mobidb-lite	NA	NA	NA	Coil	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_32_length_163309_cov_48.572870-augustus-gene-0.57-mRNA-1	IPR036305	NA	NA	NA	NA	NA	PTHR39466	NA	NA	SSF48097	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_57_length_118273_cov_45.929655-augustus-gene-0.15-mRNA-1	IPR023213	GO:0016746	G3DSA:3.30.559.10;G3DSA:3.30.559.40;G3DSA:1.10.275.20;G3DSA:3.30.559.70	NA	PF00755	NA	PTHR22589:SF29;PTHR22589	mobidb-lite	NA	SSF52777	PS00440	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_272981_cov_47.056631-processed-gene-1.39-mRNA-1	IPR000807	GO:0000105;GO:0004424	G3DSA:3.30.230.40	NA	PF00475	NA	PTHR23133:SF2;PTHR23133	NA	cd07914	SSF54211	PS00955;PS00954	NA	KEGG: 00340+4.2.1.19	NA	NA	NA	MF_00076	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_165515_cov_51.014215-augustus-gene-0.68-mRNA-1	IPR001210	GO:0003735;GO:0005622;GO:0005840;GO:0006412	G3DSA:1.10.60.20	NA	PF00833	NA	PTHR10732	mobidb-lite	NA	SSF116820	PS00712	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	MF_00511	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_107_length_79501_cov_50.549122-processed-gene-0.6-mRNA-1	IPR025256	NA	NA	NA	PF13886	NA	PTHR39469	mobidb-lite	NA	NA	NA	Coil	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
augustus_masked-NODE_108_length_79253_cov_44.901246-processed-gene-0.16-mRNA-1	IPR001623	NA	NA	PS50076	NA	SM00271	NA	mobidb-lite	cd06257	SSF46565	PS00636	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	PR00625	NA	NA	NA	NA	NA
maker-NODE_46_length_133813_cov_42.972847-augustus-gene-0.9-mRNA-1	IPR002347	GO:0005783;GO:0030497;GO:0045703;GO:0016491	G3DSA:3.40.50.720	NA	PF00106	NA	PTHR43086:SF2;PTHR43086	NA	cd05356	SSF51735	PS00061	NA	KEGG: 00062+1.1.1.330|MetaCyc: PWY-5080|MetaCyc: PWY-5353|MetaCyc: PWY-6433|MetaCyc: PWY-6598|MetaCyc: PWY-6958|MetaCyc: PWY-7036|MetaCyc: PWY-7049|MetaCyc: PWY-7053|MetaCyc: PWY-7592|MetaCyc: PWY-7601|MetaCyc: PWY-7602|MetaCyc: PWY-7606|MetaCyc: PWY-7619|MetaCyc: PWY-7724|MetaCyc: PWY-7725|MetaCyc: PWY-7726|MetaCyc: PWY-7727|MetaCyc: PWY-7728	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	MF_03107	PIRSF000126	PR00081	NA	NA	NA	NA	NA
maker-NODE_157_length_59881_cov_48.479951-augustus-gene-0.3-mRNA-1	IPR013766	GO:0045454	G3DSA:3.40.30.10	PS51352	PF00085	NA	PTHR18929;PTHR18929:SF135	mobidb-lite	cd02961	SSF52833	PS00194	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
maker-NODE_193_length_50354_cov_49.519880-augustus-gene-0.12-mRNA-1	IPR038220	GO:0071949	G3DSA:3.40.30.20;G3DSA:3.50.50.60;G3DSA:3.30.9.50	NA	PF01494;PF07976	NA	PTHR43004:SF4;PTHR43004	mobidb-lite	cd02979	SSF52833;SSF54373;SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA
