Gene	interpro	SUPERFAMILY	PANTHER	Gene3D	GO	PRINTS	Pfam	ProSiteProfiles	MobiDBLite	Phobius	TMHMM	CDD	Coils	SFLD	PATHWAY	ProSitePatterns	TIGRFAM	SMART	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	ProDom	PIRSF
OTA08743.1	IPR005599	NA	PTHR22760;PTHR22760:SF1	NA	GO:0016757;GO:0005788;GO:0006488;GO:0052824	NA	PF03901	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	KEGG: 00510+2.4.1.260|KEGG: 00513+2.4.1.260|Reactome: R-HSA-446193|Reactome: R-HSA-4720489	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00736.1	IPR005828	SSF103473	PTHR23500;PTHR23500:SF349	G3DSA:1.20.1250.20	GO:0016021;GO:0022857;GO:0055085	NA	PF00083	PS50850	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
OTA06982.1	IPR002293	NA	PTHR11785;PTHR11785:SF203	G3DSA:1.20.1740.10	GO:0016020;GO:0022857;GO:0055085	NA	PF13520	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006060
OTA04555.1	IPR016181	SSF55729	PTHR13256;PTHR13256:SF67	NA	GO:0016747	NA	PF13302	PS51186	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01772.1	IPR007219	NA	PTHR31313;PTHR31313:SF43	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd12148	NA	NA	NA	NA	NA	SM00906	NA	NA	NA	NA	NA	NA
OTA07447.1	IPR007149	NA	PTHR23146	NA	GO:0006368;GO:0016570;GO:0016593	NA	PF04004	NA	mobidb-lite	NA	NA	NA	Coil	NA	Reactome: R-HSA-112382|Reactome: R-HSA-201722|Reactome: R-HSA-674695|Reactome: R-HSA-75955|Reactome: R-HSA-8866654	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01110.1	IPR020846	SSF103473	PTHR11360;PTHR11360:SF231	G3DSA:1.20.1250.20	GO:0016021;GO:0055085	NA	PF07690	PS50850	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08623.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08128.1	IPR014710	NA	NA	G3DSA:2.60.120.10	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01258.1	IPR036259	SSF103473	PTHR23501:SF58;PTHR23501	G3DSA:1.20.1250.20	GO:0016021;GO:0055085	NA	PF07690	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08431.1	IPR003593	SSF52540	PTHR23073;PTHR23073:SF12	G3DSA:3.40.50.300;G3DSA:1.10.8.60;G3DSA:2.40.50.140	GO:0005737;GO:0016787;GO:0030163;GO:0005524;GO:0036402	NA	PF16450;PF00004;PF17862	NA	NA	NA	NA	cd00009	Coil	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PS00674	TIGR01242	SM00382	NA	NA	NA	NA	NA	NA
OTA05294.1	IPR018170	SSF51430	PTHR11732;PTHR11732:SF198	G3DSA:3.20.20.100	GO:0016491;GO:0055114	PR00069	PF00248	NA	NA	NA	NA	cd06660	NA	NA	NA	PS00062	NA	NA	NA	NA	NA	NA	NA	NA
OTA04682.1	IPR019559	SSF75632;SSF46785;SSF74788	PTHR11932;PTHR11932:SF126	G3DSA:1.10.10.10;G3DSA:1.20.1310.10;G3DSA:1.10.10.2620	GO:0006511;GO:0031625	NA	PF10557;PF00888	PS50069	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-8951664	NA	NA	SM00182;SM00884	NA	NA	NA	NA	NA	NA
OTA05478.1	IPR021833	NA	PTHR38116	NA	NA	NA	PF11905	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03493.1	IPR020846	SSF103473	PTHR23500;PTHR23500:SF145	G3DSA:1.20.1250.20	GO:0016021;GO:0022857;GO:0055085	NA	PF00083	PS50850	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08500.1	IPR009060	SSF46934;SSF52833;SSF54236	PTHR23322:SF6;PTHR23322	G3DSA:1.10.8.10;G3DSA:3.10.20.90;G3DSA:3.40.30.10	GO:0005515	NA	PF13899;PF14555;PF00789	PS50033	mobidb-lite	NA	NA	cd14348;cd02958	Coil	NA	NA	NA	NA	SM00594;SM00166	NA	NA	NA	NA	NA	NA
OTA06075.1	IPR007109	SSF52954	PTHR22734;PTHR22734:SF3	NA	NA	NA	PF04427	PS50833	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	SM00879	NA	NA	NA	NA	NA	NA
OTA00725.1	IPR004882	NA	PTHR12375;PTHR12375:SF30	NA	GO:0003729;GO:0005685;GO:0006376	NA	PF03194	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03213.1	IPR035587	SSF51395	PTHR11082:SF5;PTHR11082	G3DSA:3.20.20.70	GO:0008033;GO:0017150;GO:0050660;GO:0055114;GO:0003824	NA	PF01207	NA	mobidb-lite	NA	NA	cd02801	NA	NA	NA	PS01136	NA	NA	NA	NA	NA	NA	NA	NA
OTA00754.1	IPR001138	SSF57701	PTHR31944:SF67;PTHR31944	G3DSA:4.10.240.10	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	PS50048	mobidb-lite	NA	NA	cd00067	NA	NA	NA	PS00463	NA	SM00066	NA	NA	NA	NA	NA	NA
OTA06108.1	IPR020846	SSF103473	PTHR23514:SF3;PTHR23514	G3DSA:1.20.1250.20	GO:0016021;GO:0055085	NA	PF07690	PS50850	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08705.1	IPR029071	SSF54236;SSF46934	PTHR13020;PTHR13020:SF42	G3DSA:1.10.8.10;G3DSA:3.10.20.90	GO:0003676;GO:0005515	NA	NA	PS50033;PS50157	mobidb-lite	NA	NA	NA	Coil	NA	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA
OTA00323.1	IPR012929	NA	PTHR18898	NA	GO:0006606	NA	PF07926	NA	mobidb-lite	NA	NA	NA	Coil	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03559.1	IPR002110	SSF48403;SSF52540	PTHR24151:SF8;PTHR24151	G3DSA:3.40.50.300;G3DSA:1.25.40.20	GO:0005515	NA	PF17109	PS50088;PS50297	NA	NA	NA	cd00204	NA	NA	NA	NA	NA	SM00248	NA	NA	NA	NA	NA	NA
OTA05126.1	IPR005829	SSF103473	PTHR23500:SF136;PTHR23500	G3DSA:1.20.1250.20	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PR00171	PF00083	PS51257;PS50850	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	cd06174	NA	NA	Reactome: R-HSA-189200	PS00216;PS00217	TIGR00879	NA	NA	NA	NA	NA	NA	NA
OTA00550.1	IPR013640	NA	PTHR28218	NA	NA	NA	PF08432	NA	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08108.1	IPR035967	SSF109905	PTHR23140	NA	GO:0003723;GO:0006396	NA	PF01805	PS51391	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SM00582	NA	NA	NA	NA	NA	NA
OTA00169.1	IPR020846	SSF103473	PTHR23520	G3DSA:1.20.1250.20	GO:0016021;GO:0055085	NA	PF07690	PS50850	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06638.1	IPR019481	NA	NA	G3DSA:3.30.200.170		NA	PF10419	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05402.1	IPR024083	SSF48557	PTHR11444;PTHR11444:SF1	G3DSA:1.10.275.10;G3DSA:1.20.200.10;G3DSA:1.10.40.30	GO:0003824;GO:0004333;GO:0006106;GO:0045239;GO:0006099;GO:0016829	PR00149	PF00206;PF10415	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	cd01362	Coil	NA	KEGG: 00020+4.2.1.2|KEGG: 00620+4.2.1.2|KEGG: 00720+4.2.1.2|MetaCyc: PWY-5392|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7254|MetaCyc: PWY-7384|Reactome: R-HSA-71403	PS00163	TIGR00979	NA	SignalP-TM	NA	NA	MF_00743	NA	NA
OTA03828.1	IPR036291	SSF51735	PTHR43544;PTHR43544:SF12	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04806.1	IPR035427	SSF144122	PTHR19338;PTHR19338:SF4	G3DSA:1.10.287.810	GO:0005758;GO:0072321	NA	PF02953	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1268020	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04131.1	IPR003439	SSF52540;SSF90123	PTHR24223:SF269;PTHR24223	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	PF00005;PF00664	PS50929;PS50893	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	cd03250	NA	NA	NA	PS00211	NA	SM00382	NA	NA	NA	NA	NA	NA
OTA06271.1	IPR030185	NA	PTHR31162	G3DSA:1.50.10.150	GO:0015140;GO:0016021;GO:0071423;GO:0055085	NA	PF03595	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	cd09317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08433.1	IPR029021	SSF52799;SSF52821	PTHR19134;PTHR19134:SF364	G3DSA:3.40.250.10	GO:0004725;GO:0006470;GO:0016311;GO:0016791	PR00700	PF00102;PF00581	PS50206;PS50055;PS50056	mobidb-lite	NA	NA	cd00047;cd01446	Coil	NA	NA	PS00383	NA	SM00404;SM00194;SM00450	NA	NA	NA	NA	NA	NA
OTA02388.1	IPR018108	SSF103506	PTHR24089:SF180;PTHR24089	G3DSA:1.50.40.10	GO:0022857;GO:0055085	PR00926	PF00153	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06715.1	IPR000938	SSF74924;SSF54236	PTHR18916:SF59;PTHR18916	G3DSA:2.30.30.190;G3DSA:3.10.20.90	GO:0005515	NA	PF01302;PF14560	PS50245	NA	NA	NA	NA	NA	NA	NA	NA	NA	SM01052	NA	NA	NA	NA	NA	NA
OTA08165.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01456.1	IPR003439	SSF52540	PTHR19241:SF179;PTHR19241	G3DSA:3.40.50.300	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085;GO:0016020	NA	PF00005;PF14510;PF06422;PF01061	PS50893	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd03233;cd03232	Coil	NA	Reactome: R-HSA-1369062	PS00211	NA	SM00382	NA	NA	NA	NA	NA	NA
OTA01880.1	IPR011990	SSF48452	PTHR21581:SF6;PTHR21581	NA	GO:0005515	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00265.1	IPR019180	NA	PTHR21193	NA	NA	NA	PF09791	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04242.1	IPR002347	SSF51735	PTHR44169:SF2;PTHR44169	G3DSA:3.40.50.720	GO:0016491	PR00080;PR00081	PF00106	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	PS00061	NA	NA	NA	NA	NA	NA	NA	NA
OTA07609.1	IPR029058	SSF53474	PTHR10794	G3DSA:3.40.50.1820	NA	NA	PF00561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF005211
OTA03366.1	IPR000717	SSF46785	PTHR13937;PTHR13937:SF0	G3DSA:1.10.10.10	GO:0003723;GO:0003743;GO:0005852;GO:0006413;GO:0031369	NA	PF01399;PF05470	PS50250	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	SM00088;SM00753	NA	NA	NA	MF_03002	NA	NA
OTA04111.1	IPR033895	NA	PTHR10571	NA	GO:0003975;GO:0006487;GO:0006488;GO:0008963;GO:0016021	NA	PF00953	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	cd06855	NA	NA	KEGG: 00510+2.7.8.15|Reactome: R-HSA-446193|Reactome: R-HSA-4549356	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04006.1	NA	NA	PTHR38846	NA	NA	NA	NA	NA	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
OTA06827.1	IPR003660	SSF58104;SSF52172;SSF47384;SSF158472;SSF55874	PTHR45339	G3DSA:3.30.565.10;G3DSA:1.10.8.500;G3DSA:1.10.287.130;G3DSA:3.40.50.2300;G3DSA:3.40.50.12330	GO:0007165;GO:0016021;GO:0000155;GO:0000160;GO:0016310;GO:0016772	PR00344	PF00672;PF00072;PF00512;PF02518	PS50885;PS50110;PS50109	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	cd06225;cd00082;cd00075;cd00156	Coil	NA	Reactome: R-HSA-70895	NA	NA	SM00387;SM00304;SM00388;SM00448	NA	NA	NA	NA	NA	NA
OTA08348.1	IPR039130	NA	PTHR13142	NA	GO:0000070;GO:1902412	NA	PF03941	NA	mobidb-lite	NA	NA	NA	Coil	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-4615885|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06828.1	IPR001841	SSF57850	PTHR22765:SF27;PTHR22765	G3DSA:3.30.40.10	NA	NA	PF13639	PS50089	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	TMhelix	cd16454	NA	NA	NA	NA	NA	SM00184	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
OTA07981.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05679.1	IPR022678	SSF55729	PTHR11377:SF5;PTHR11377	G3DSA:3.40.630.30	GO:0004379;GO:0006499	NA	PF01233;PF02799	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-2514859	PS00975;PS00976	NA	NA	NA	NA	NA	NA	NA	PIRSF015892
OTA00815.1	IPR000504	SSF54928;SSF57850	PTHR12603;PTHR12603:SF0	G3DSA:3.30.70.330;G3DSA:3.30.40.10	GO:0003676;GO:0004842;GO:0030014	NA	PF00076;PF14570	PS50102	mobidb-lite	NA	NA	cd16618;cd12438	Coil	NA	Reactome: R-HSA-429947|Reactome: R-HSA-6804115	NA	NA	SM00361	NA	NA	NA	NA	NA	NA
OTA03378.1	NA	NA	PTHR10351:SF46;PTHR10351	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
OTA07168.1	IPR013240	NA	PTHR28155	G3DSA:3.30.200.140	GO:0006360	NA	PF08208	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73777|Reactome: R-HSA-73863	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02645.1	IPR019787	SSF57903	PTHR15856;PTHR15856:SF25	G3DSA:3.30.40.10	NA	NA	PF00628	PS50330	mobidb-lite	NA	NA	NA	NA	NA	NA	PS01359	NA	SM00249	NA	NA	NA	NA	NA	NA
OTA00724.1	NA	NA	PTHR22979:SF48;PTHR22979	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04626.1	IPR036748	SSF64076	PTHR21192:SF2;PTHR21192	G3DSA:3.40.1230.10	NA	NA	PF04430	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
OTA08112.1	IPR008775	SSF51197	PTHR40470	G3DSA:2.60.120.620	NA	NA	PF05721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03598.1	IPR020846	SSF103473	PTHR23511:SF12;PTHR23511	G3DSA:1.20.1250.20	GO:0016021;GO:0055085	NA	PF07690	PS50850	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07867.1	IPR004013	SSF89550	PTHR21039	G3DSA:3.20.20.140	GO:0003824;GO:0000105;GO:0004401	NA	PF02811	NA	NA	NA	NA	cd12110	NA	NA	KEGG: 00340+3.1.3.15	NA	TIGR01856	NA	NA	NA	NA	NA	NA	NA
OTA07520.1	IPR001680	SSF50978	PTHR22850;PTHR22850:SF149	NA	GO:0005515	NA	PF00400	PS50089;PS50082;PS50294;PS50908	mobidb-lite	NA	NA	cd16448	NA	NA	NA	NA	NA	SM00320	NA	NA	NA	NA	NA	NA
OTA04631.1	IPR036420	SSF52113;SSF56091;SSF117018;SSF50249	PTHR10459;PTHR10459:SF7	G3DSA:2.40.50.140;G3DSA:3.30.470.30;G3DSA:1.10.3260.10;G3DSA:3.40.50.10190	GO:0003910;GO:0005524;GO:0006281;GO:0006310;GO:0071897;GO:0003677;GO:0003909;GO:0051103	NA	PF01068;PF16589;PF11411;PF04679;PF04675	PS50160;PS50172	mobidb-lite	NA	NA	cd00027;cd07903	Coil	NA	Reactome: R-HSA-164843|Reactome: R-HSA-5693571	PS00697	TIGR00574	SM00292	NA	NA	NA	NA	NA	NA
OTA06246.1	IPR010472	SSF101447;SSF48371	PTHR23213:SF321;PTHR23213	G3DSA:1.10.238.150;G3DSA:1.10.12.30;G3DSA:1.25.10.10;G3DSA:1.20.58.2220	GO:0003779;GO:0016043;GO:0017048;GO:0030036	PR01217	PF06367;PF06371;PF02181	PS51231;PS51232;PS51444	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	SM01140;SM00498;SM01139	NA	NA	NA	NA	NA	NA
OTA08070.1	IPR018108	SSF103506	PTHR24089:SF45;PTHR24089	G3DSA:1.50.40.10	GO:0022857;GO:0055085	PR00926	PF00153	PS50920	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02113.1	IPR002885	NA	PTHR44149	G3DSA:1.25.40.10	GO:0005515	NA	PF01535;PF13041	PS51375	NA	NA	NA	NA	Coil	NA	NA	NA	TIGR00756	NA	NA	NA	NA	NA	NA	NA
OTA04586.1	IPR037791	SSF49562	PTHR10774;PTHR10774:SF151	G3DSA:2.60.40.150	GO:1903474	NA	PF00168	PS50004	mobidb-lite	NA	NA	cd08681	NA	NA	NA	NA	NA	SM00239	NA	NA	NA	NA	NA	NA
OTA05633.1	IPR036412	SSF56784;SSF81653;SSF81665	PTHR42861;PTHR42861:SF26	G3DSA:2.70.150.10;G3DSA:3.40.1110.10;G3DSA:1.20.1110.10;G3DSA:2.60.120.1500	GO:0000166;GO:0008553;GO:0016021;GO:0120029	PR00120;PR00119	PF00690;PF00702;PF00122	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd02076	NA	SFLDG00002;SFLDF00027	Reactome: R-HSA-936837	PS00154	TIGR01647;TIGR01494	SM00831	NA	NA	NA	NA	NA	NA
OTA02386.1	IPR039867	SSF48371	PTHR12295;PTHR12295:SF30	NA	GO:0000902	NA	PF14222;PF14228;PF14225	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03080.1	IPR011993	SSF50729;SSF90209;SSF46785	PTHR13128	G3DSA:2.30.29.30;G3DSA:2.20.28.140;G3DSA:1.10.10.10	GO:0032266;GO:0043130;GO:0000814;GO:0032509	NA	PF16988;PF04157;PF11605	PS51495	mobidb-lite	NA	NA	NA	Coil	NA	Reactome: R-HSA-917729	NA	NA	SM00547	NA	NA	NA	NA	NA	NA
OTA07539.1	IPR025972	SSF117100;SSF49785;SSF51011;SSF51445	PTHR23421:SF64;PTHR23421	G3DSA:2.60.120.260;G3DSA:2.60.390.10;G3DSA:3.20.20.80;G3DSA:2.102.20.10	GO:0004553;GO:0005975	PR00742	PF13363;PF10435;PF13364;PF01301	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	KEGG: 00052+3.2.1.23|KEGG: 00511+3.2.1.23|KEGG: 00531+3.2.1.23|KEGG: 00600+3.2.1.23|KEGG: 00604+3.2.1.23|MetaCyc: PWY-6807	PS01182	NA	SM01029	NA	SignalP-noTM	NA	NA	NA	NA
OTA04913.1	IPR000683	SSF55347;SSF51735	PTHR43818:SF11;PTHR43818	G3DSA:3.40.50.720;G3DSA:3.30.360.10	GO:0016491	NA	PF01408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07839.1	IPR011948	SSF56784	PTHR12210;PTHR12210:SF102	G3DSA:3.40.50.1000	GO:0016791	NA	PF03031	PS50969	mobidb-lite	NA	NA	cd07521	NA	NA	NA	NA	TIGR02251	SM00577	NA	NA	NA	NA	NA	NA
