Gene	MobiDBLite	Gene3D	CDD	interpro	SUPERFAMILY	PANTHER	GO	Pfam	ProSiteProfiles	Phobius	SignalP_EUK	SignalP_GRAM_POSITIVE	TMHMM	SMART	Coils	ProSitePatterns	PATHWAY	PIRSF	PRINTS	Hamap	SignalP_GRAM_NEGATIVE	SFLD	TIGRFAM	ProDom
snap_masked-scaffold3-processed-gene-1.171-mRNA-1	mobidb-lite	NA	NA	IPR025204	NA	PTHR31740;PTHR31740:SF2		PF13092	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA
maker-scaffold12-augustus-gene-1.9-mRNA-1	mobidb-lite	G3DSA:3.40.1090.10	cd07230	IPR002641	SSF52151	PTHR14226:SF10;PTHR14226	GO:0006629;GO:0004806	PF01734;PF11815	PS51635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold32-augustus-gene-0.42-mRNA-1	mobidb-lite	NA	NA	IPR013170	NA	PTHR45208	NA	PF08312	NA	NA	NA	NA	NA	SM01115	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold49-augustus-gene-0.6-mRNA-1	mobidb-lite	G3DSA:1.20.120.720;G3DSA:2.30.30.360;G3DSA:3.30.70.3240;G3DSA:1.20.58.530;G3DSA:3.40.850.10;G3DSA:1.20.5.1050;G3DSA:4.10.270.10	cd01377	IPR001609	SSF90257;SSF52540	PTHR13140;PTHR13140:SF574	GO:0003774;GO:0005524;GO:0016459;GO:0051015	PF02736;PF00063;PF01576	PS51456;PS51844	NA	NA	NA	NA	SM00242	Coil	NA	NA	NA	PR00193	NA	NA	NA	NA	NA
maker-scaffold41-augustus-gene-0.5-mRNA-1	mobidb-lite	G3DSA:3.40.50.300	cd01672	IPR018094	SSF52540	PTHR10344;PTHR10344:SF1	GO:0004798;GO:0005524;GO:0006233	PF02223	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	PS01331	KEGG: 00240+2.7.4.9|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7187|MetaCyc: PWY-7197|MetaCyc: PWY-7198|MetaCyc: PWY-7210|Reactome: R-HSA-499943	NA	NA	MF_00165	NA	NA	TIGR00041	NA
maker-scaffold181-snap-gene-0.1-mRNA-1	mobidb-lite	G3DSA:2.30.42.20;G3DSA:3.30.1370.100;G3DSA:3.30.230.10	cd00075;cd03484	IPR014762	SSF118116;SSF54211;SSF55874	PTHR10073:SF12;PTHR10073	GO:0005524;GO:0006298;GO:0030983;GO:0016887;GO:0032300	PF13589;PF01119;PF08676	NA	NA	NA	NA	NA	SM01340;SM00853	NA	PS00058	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold17-augustus-gene-1.277-mRNA-1	mobidb-lite	G3DSA:2.40.40.20;G3DSA:1.10.274.100;G3DSA:1.10.132.30;G3DSA:3.30.70.2850;G3DSA:1.20.120.1280;G3DSA:3.30.1490.180;G3DSA:1.10.357.120	cd01435;cd02735	IPR000722	SSF64484	PTHR19376;PTHR19376:SF11	GO:0003677;GO:0003899;GO:0006351;GO:0005634;GO:0008270	PF00623;PF04983;PF04997;PF04998;PF05000	NA	NA	NA	NA	NA	SM00663	NA	NA	KEGG: 00230+2.7.7.6|KEGG: 00240+2.7.7.6	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold147-processed-gene-0.51-mRNA-1	mobidb-lite	G3DSA:3.40.366.10;G3DSA:3.30.450.60;G3DSA:3.30.70.250;G3DSA:2.60.40.1170	NA	IPR028565	SSF52151;SSF55048;SSF64356;SSF49447	PTHR42681;PTHR42681:SF1	GO:0016740	PF00698;PF00928	PS51072	NA	NA	NA	NA	SM00827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold63-augustus-gene-0.221-mRNA-1	mobidb-lite	G3DSA:3.40.850.10;G3DSA:2.60.200.20	cd01365;cd00060	IPR022140	SSF52540;SSF49879;SSF50729	PTHR24115;PTHR24115:SF717	GO:0003777;GO:0005524;GO:0007018;GO:0008017;GO:0005515	PF12423;PF00225;PF12473;PF16183	PS50003;PS50067	NA	NA	NA	NA	SM00233;SM00129	Coil	PS00411	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	NA	PR00380	NA	NA	NA	NA	NA
maker-scaffold107-snap-gene-0.201-mRNA-1	mobidb-lite	G3DSA:1.20.1250.20	cd06174	IPR003663	SSF103473	PTHR23500;PTHR23500:SF35	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	PF00083	PS50850	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	PS00216;PS00217	Reactome: R-HSA-189200	NA	PR00171	NA	NA	NA	TIGR00879	NA
maker-scaffold102-augustus-gene-0.199-mRNA-1	NA	G3DSA:1.10.730.10;G3DSA:3.40.50.620;G3DSA:3.30.1360.70	cd07956;cd00671	IPR036695	SSF55190;SSF52374;SSF47323	PTHR11956;PTHR11956:SF1	GO:0000166;GO:0004814;GO:0005524;GO:0005737;GO:0006420;GO:0004812;GO:0006418	PF00750;PF05746	NA	NA	NA	NA	NA	SM00836;SM01016	Coil	PS00178	KEGG: 00970+6.1.1.19	NA	PR01038	NA	NA	NA	TIGR00456	NA
augustus_masked-scaffold238-processed-gene-0.5-mRNA-1	mobidb-lite	NA	NA	IPR005024	NA	PTHR22761;PTHR22761:SF5	GO:0007034	PF03357	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold10-snap-gene-2.290-mRNA-1	NA	G3DSA:3.10.110.10	cd00195	IPR016135	SSF54495	PTHR43972;PTHR43972:SF1		PF00179	PS50127	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	SM00212	NA	NA	Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA
maker-scaffold135-augustus-gene-0.6-mRNA-1	mobidb-lite	NA	NA	IPR004813	NA	PTHR31645;PTHR31645:SF3	GO:0055085	PF03169	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	TIGR00728	NA
maker-scaffold224-snap-gene-0.88-mRNA-1	mobidb-lite	G3DSA:2.60.40.790	cd06466	IPR007052	SSF49764	PTHR12621;PTHR12621:SF9	NA	PF04968;PF04969	PS51203;PS51401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold87-snap-gene-0.33-mRNA-1	mobidb-lite	G3DSA:1.20.120.720;G3DSA:1.10.10.820;G3DSA:3.10.120.10	NA	IPR004835	SSF109715;SSF52540;SSF53448;SSF55856	PTHR22914;PTHR22914:SF13	GO:0016758;GO:0003774;GO:0005524;GO:0016459	PF03142;PF00173;PF08766	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	SM00242	NA	NA	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	NA	NA	NA	NA	NA
maker-scaffold132-snap-gene-0.8-mRNA-1	NA	G3DSA:2.60.120.620	NA	IPR006620	NA	PTHR10869;PTHR10869:SF86	GO:0005506;GO:0016705;GO:0031418;GO:0055114	NA	NA	NA	NA	NA	NA	SM00702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold36-snap-gene-0.50-mRNA-1	mobidb-lite	G3DSA:1.20.1250.20	cd06174	IPR011701	SSF103473	PTHR43791;PTHR43791:SF40	GO:0016021;GO:0055085	PF07690	PS50850	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold38-augustus-gene-0.165-mRNA-1	mobidb-lite	G3DSA:1.25.40.20;G3DSA:2.60.40.10	cd00204;cd00102	IPR002110	SSF81296;SSF48403	PTHR24148:SF17;PTHR24148	GO:0005515	PF01833;PF13857	PS50088;PS50297	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	SM00248;SM00429	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold19-snap-gene-0.54-mRNA-1	NA	G3DSA:2.160.10.10	cd03357	IPR024688	SSF51161	PTHR23416;PTHR23416:SF23	GO:0016407	PF12464;PF00132	NA	NA	NA	NA	NA	SM01266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold113-snap-gene-0.93-mRNA-1	NA	NA	NA	IPR033394	SSF159245	PTHR10484:SF13;PTHR10484	GO:0006979	PF17187;PF08622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold5-processed-gene-0.162-mRNA-1	mobidb-lite	G3DSA:3.30.420.10;G3DSA:1.10.10.460	cd07181	IPR012337	SSF53098	PTHR10954;PTHR10954:SF7	GO:0004523;GO:0016070;GO:0003676;GO:0003723	PF01351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00729	NA
augustus_masked-scaffold10-processed-gene-1.110-mRNA-1	mobidb-lite	G3DSA:3.20.20.80	NA	IPR017853	SSF51445	PTHR31297:SF22;PTHR31297	GO:0004553;GO:0005975	PF00150	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold101-augustus-gene-0.199-mRNA-1	mobidb-lite	G3DSA:1.25.40.10	NA	IPR011990	NA	PTHR13471	GO:0005515	PF08424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold49-snap-gene-0.314-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold52-augustus-gene-0.6-mRNA-1	mobidb-lite	NA	NA	IPR039258	NA	PTHR21354	GO:0003676	NA	NA	NA	NA	NA	NA	SM00355	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold174-snap-gene-0.109-mRNA-1	NA	G3DSA:3.40.50.300;G3DSA:1.10.1420.10	NA	IPR036187	SSF48334;SSF52540	PTHR11361;PTHR11361:SF20	GO:0005524;GO:0006298;GO:0030983	PF00488	NA	NA	NA	NA	NA	SM00534	NA	PS00486	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold49-processed-gene-0.251-mRNA-1	NA	G3DSA:3.20.20.70	cd00957	IPR001585	SSF51569	PTHR10683;PTHR10683:SF20	GO:0005975;GO:0004801;GO:0005737;GO:0006098;GO:0003824	PF00923	NA	NA	NA	NA	NA	NA	NA	PS00958;PS01054	KEGG: 00030+2.2.1.2|MetaCyc: PWY-1861|MetaCyc: PWY-5723|Reactome: R-HSA-163754|Reactome: R-HSA-6791055|Reactome: R-HSA-6791462|Reactome: R-HSA-71336|Reactome: R-HSA-8950505	NA	NA	NA	NA	NA	TIGR00874	NA
augustus_masked-scaffold105-processed-gene-0.17-mRNA-1	NA	G3DSA:2.10.109.10	cd06530	IPR036286	SSF51306	PTHR12383	GO:0006508;GO:0008236;GO:0016020	PF10502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00727	NA	NA	NA	TIGR02227	NA
maker-scaffold105-augustus-gene-0.40-mRNA-1	NA	G3DSA:1.10.630.10	NA	IPR036396	SSF48264	PTHR24279;PTHR24279:SF85	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	PF00067	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	PR00465	NA	NA	NA	NA	NA
maker-scaffold144-augustus-gene-0.0-mRNA-1	NA	G3DSA:3.60.21.10	NA	IPR006186	SSF56300	PTHR11668;PTHR11668:SF25	GO:0016787	PF00149	NA	NA	NA	NA	NA	SM00156	NA	PS00125	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	PR00114	NA	NA	NA	NA	NA
augustus_masked-scaffold1-processed-gene-1.57-mRNA-1	mobidb-lite	G3DSA:2.130.10.10	NA	IPR017986	SSF50978	PTHR45589	GO:0005515	PF00400	PS50294;PS50082	NA	NA	NA	NA	SM00320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold31-augustus-gene-0.379-mRNA-1	mobidb-lite	NA	NA	IPR006876	NA	PTHR21355:SF0;PTHR21355	NA	PF04791	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold152-processed-gene-0.130-mRNA-1	mobidb-lite	NA	cd00167	IPR017877	NA	NA	NA	PF13921	PS50090	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR01217	NA	NA	NA	NA	NA
maker-scaffold228-augustus-gene-0.37-mRNA-1	mobidb-lite	G3DSA:2.40.50.990;G3DSA:3.40.50.300;G3DSA:1.20.1390.20;G3DSA:1.25.10.10	cd03221	IPR003439	SSF52540;SSF48371	PTHR19211;PTHR19211:SF5	GO:0005524;GO:0016887	PF00005;PF17947	PS50893;PS50077	NA	NA	NA	NA	SM01349;SM00382	NA	PS00211	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold1-processed-gene-5.199-mRNA-1	mobidb-lite	G3DSA:1.10.510.10	NA	IPR008271	SSF56112	PTHR24343:SF191;PTHR24343	GO:0004672;GO:0006468;GO:0005524	PF00069	PS50011	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	SM00220	Coil	PS00108	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold62-snap-gene-0.45-mRNA-1	mobidb-lite	G3DSA:3.30.750.24;G3DSA:2.60.120.10	cd07042;cd00038	IPR036513	SSF52091;SSF51206	PTHR11814:SF59;PTHR11814	GO:0008272;GO:0015116;GO:0016021;GO:0008271;GO:0016020;GO:0055085	PF00027;PF00916;PF01740	PS50801;PS50042	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	SM00100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold34-processed-gene-0.196-mRNA-1	mobidb-lite	G3DSA:3.30.50.10;G3DSA:3.30.450.20	cd00202;cd00130	IPR013088	SSF55785;SSF57716	PTHR24351:SF160;PTHR24351	GO:0006355;GO:0008270;GO:0043565;GO:0005515	PF13426;PF00320;PF08446;PF08447	PS50112;PS50114	NA	NA	NA	NA	SM00091;SM00401;SM00086	Coil	PS00344	Reactome: R-HSA-383280	NA	NA	NA	NA	NA	TIGR00229	NA
maker-scaffold106-snap-gene-0.22-mRNA-1	mobidb-lite	G3DSA:3.30.200.20;G3DSA:1.10.510.10	cd07840	IPR008271	SSF56112	PTHR24056:SF39;PTHR24056	GO:0004672;GO:0006468;GO:0005524	PF00069	PS50011	NA	NA	NA	NA	SM00220	Coil	PS00108;PS00107	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold83-snap-gene-0.65-mRNA-1	mobidb-lite	G3DSA:3.30.70.330	NA	IPR012677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold83-processed-gene-0.3-mRNA-1	NA	G3DSA:1.25.40.10;G3DSA:3.40.50.300	NA	IPR019734	SSF48452;SSF52540	PTHR19959	GO:0005515	PF13432;PF13424;PF13174;PF13374	PS50005;PS50293	NA	NA	NA	NA	SM00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold120-snap-gene-0.64-mRNA-1	mobidb-lite	G3DSA:3.40.50.140;G3DSA:1.10.460.10;G3DSA:1.10.290.10;G3DSA:2.70.20.10	cd03362;cd00186	IPR000380	SSF56712	PTHR11390;PTHR11390:SF21	GO:0003677;GO:0003917;GO:0006265;GO:0003916	PF01751;PF01131	PS50880	NA	NA	NA	NA	SM00493;SM00437;SM00436	NA	NA	NA	NA	PR00417	NA	NA	NA	NA	NA
maker-scaffold9-augustus-gene-0.34-mRNA-1	NA	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	cd03249	IPR011527	SSF52540;SSF90123	PTHR24221:SF400;PTHR24221	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	PF00005;PF00664	PS50929;PS50893	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	SM00382	NA	PS00211	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold19-processed-gene-1.38-mRNA-1	NA	G3DSA:2.102.10.10;G3DSA:3.30.390.30;G3DSA:3.50.50.60	cd03478	IPR036922	SSF51905;SSF50022;SSF55424	PTHR43557:SF2;PTHR43557	GO:0016491;GO:0051537;GO:0055114;GO:0050660	PF07992;PF00355	PS51296	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00411;PR00368	NA	NA	NA	NA	NA
snap_masked-scaffold80-processed-gene-0.29-mRNA-1	mobidb-lite	G3DSA:1.10.418.10	cd00014	IPR001715	SSF47576	PTHR18959;PTHR18959:SF84	GO:0005515	PF00307	PS50021	NA	NA	NA	NA	SM00033	Coil	NA	NA	NA	PR00888	NA	NA	NA	NA	NA
snap_masked-scaffold6-processed-gene-1.140-mRNA-1	mobidb-lite	NA	NA	IPR015419	NA	PTHR31283:SF5;PTHR31283	NA	PF09341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold25-processed-gene-0.18-mRNA-1	mobidb-lite	G3DSA:1.10.260.40	cd00093	IPR001387	SSF47413	PTHR10245:SF15;PTHR10245	GO:0043565;GO:0003677	PF01381;PF08523	PS50943	NA	NA	NA	NA	SM00530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold63-processed-gene-0.248-mRNA-1	mobidb-lite	NA	NA	NA	NA	PTHR39606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold34-processed-gene-0.224-mRNA-1	mobidb-lite	G3DSA:3.30.160.60	NA	IPR013087	NA	NA	GO:0003676	NA	PS50157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold8-processed-gene-0.124-mRNA-1	NA	G3DSA:3.20.20.300;G3DSA:3.40.50.1700;G3DSA:2.60.40.10	cd01653	IPR036962	SSF51445;SSF52279	PTHR42721:SF3;PTHR42721	GO:0004553;GO:0005975	PF14310;PF00933;PF01915	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	SignalP-noTM	SignalP-TM	NA	SM01217	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-scaffold58-augustus-gene-0.83-mRNA-1	mobidb-lite	G3DSA:3.30.70.330	cd12306	IPR012677	SSF54928	PTHR43987	GO:0003676	PF00076	PS50102	NA	NA	NA	NA	SM00360	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold46-augustus-gene-0.67-mRNA-1	NA	G3DSA:3.40.50.1400	cd00419;cd03411	IPR001015	SSF53800	PTHR11108:SF1;PTHR11108	GO:0004325;GO:0006783	PF00762	NA	NA	NA	NA	NA	NA	NA	PS00534	KEGG: 00860+4.99.1.1|Reactome: R-HSA-189451	NA	NA	MF_00323	NA	NA	TIGR00109	NA
maker-scaffold236-snap-gene-0.0-mRNA-1	NA	NA	NA	IPR023754	NA	PTHR23289;PTHR23289:SF2	GO:0006784;GO:0016020;GO:0016627;GO:0055114;GO:0016021	PF02628	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	Reactome: R-HSA-189451	NA	NA	MF_01665	NA	NA	NA	NA
maker-scaffold114-augustus-gene-0.76-mRNA-1	NA	G3DSA:1.50.10.20	cd02893	IPR026872	SSF48239	PTHR11774;PTHR11774:SF6	GO:0005965;GO:0018343;GO:0003824	PF00432	NA	NA	NA	NA	NA	NA	NA	NA	KEGG: 00900+2.5.1.58|Reactome: R-HSA-2514859	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold31-processed-gene-0.67-mRNA-1	mobidb-lite	NA	NA	IPR025256	NA	PTHR39469	NA	PF13886	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	SignalP-noTM	SignalP-TM	TMhelix	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
augustus_masked-scaffold1-processed-gene-2.216-mRNA-1	NA	G3DSA:1.10.168.20;G3DSA:2.40.10.450	cd11380	IPR001047	NA	PTHR10394	GO:0003735;GO:0005622;GO:0005840;GO:0006412	PF01201	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	TIGR00307	NA
snap_masked-scaffold62-processed-gene-0.79-mRNA-1	mobidb-lite	G3DSA:3.40.850.10	NA	IPR036961	SSF52540	PTHR24115;PTHR24115:SF592	GO:0003777;GO:0005524;GO:0007018;GO:0008017	PF00225	PS50067	NA	NA	NA	NA	SM00129	Coil	PS00411	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	NA	PR00380	NA	NA	NA	NA	NA
maker-scaffold191-augustus-gene-0.36-mRNA-1	mobidb-lite	G3DSA:2.130.10.10	cd00200	IPR019775	SSF50978	PTHR19853;PTHR19853:SF0	GO:0005515	PF04003;PF00400	PS50082;PS50294	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	SM00320	NA	PS00678	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	PR00320	NA	NA	NA	NA	NA
maker-scaffold255-snap-gene-0.24-mRNA-1	mobidb-lite	G3DSA:1.20.1250.20	cd06174	IPR036259	SSF103473	PTHR43791:SF33;PTHR43791	GO:0016021;GO:0055085	PF07690	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold151-augustus-gene-0.94-mRNA-1	NA	G3DSA:2.60.40.1180;G3DSA:2.70.98.50;G3DSA:1.50.10.10	NA	IPR013780	SSF48208	PTHR31084:SF0;PTHR31084	GO:0004560;GO:0003824	PF14498	NA	SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	KEGG: 00511+3.2.1.51|MetaCyc: PWY-6807	PIRSF007663	NA	NA	SignalP-noTM	NA	NA	NA
maker-scaffold94-augustus-gene-0.14-mRNA-1	NA	G3DSA:3.20.20.70	NA	IPR006218	SSF51569	PTHR21225:SF0;PTHR21225	GO:0009058;GO:0003849;GO:0009073;GO:0003824	PF00793	NA	NA	NA	NA	NA	NA	NA	NA	KEGG: 00540+2.5.1.55|MetaCyc: PWY-1269|MetaCyc: PWY-7674	PIRSF001361	NA	NA	NA	NA	TIGR00034	NA
maker-scaffold8-snap-gene-1.247-mRNA-1	mobidb-lite	G3DSA:3.90.226.10	cd07017	IPR023562	SSF52096	PTHR10381;PTHR10381:SF11	GO:0004252;GO:0006508	PF00574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00127	NA	NA	NA	NA	NA
maker-scaffold212-snap-gene-0.11-mRNA-1	mobidb-lite	G3DSA:2.70.150.10;G3DSA:1.20.1110.10;G3DSA:1.20.58.1970;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10	NA	IPR013167	SSF81660;SSF81665;SSF81653;SSF56784	PTHR42861;PTHR42861:SF29	GO:0000166;GO:0016021	PF00690;PF00689;PF08318;PF00702;PF00122	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	SM00762;SM00831	NA	PS00154	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	NA	PR00119;PR00121	NA	NA	SFLDS00003;SFLDF00027	TIGR01494	NA
snap_masked-scaffold81-processed-gene-0.236-mRNA-1	NA	G3DSA:3.40.50.80;G3DSA:2.40.30.10	cd06186	IPR039261	SSF63380;SSF52343	PTHR11972:SF39;PTHR11972	GO:0016491;GO:0055114	PF08022;PF01794;PF08030	PS51384	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00052;SFLDG01169;SFLDG01168	NA	NA
augustus_masked-scaffold2-processed-gene-3.213-mRNA-1	mobidb-lite	G3DSA:2.170.270.10;G3DSA:3.30.40.10	NA	IPR001214	SSF82199;SSF57903	PTHR15856:SF39;PTHR15856	GO:0005515	PF00856	PS50280	NA	NA	NA	NA	SM00317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold177-augustus-gene-0.90-mRNA-1	mobidb-lite	G3DSA:3.40.1810.10	cd00266	IPR002100	SSF55455	PTHR11945;PTHR11945:SF221	GO:0003677;GO:0046983;GO:0000981;GO:0000987;GO:0045944	PF00319	PS50066	NA	NA	NA	NA	SM00432	NA	PS00350	Reactome: R-HSA-375170	NA	PR00404	NA	NA	NA	NA	NA
maker-scaffold163-snap-gene-0.53-mRNA-1	mobidb-lite	NA	NA	IPR004882	NA	PTHR12375;PTHR12375:SF30	GO:0003729;GO:0005685;GO:0006376	PF03194	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
