Gene	MobiDBLite	interpro	GO	SUPERFAMILY	PATHWAY	CDD	SMART	PANTHER	Pfam	Phobius	Gene3D	TMHMM	SignalP_GRAM_NEGATIVE	Coils	PIRSF	PRINTS	ProSiteProfiles	ProSitePatterns	Hamap	TIGRFAM	SignalP_EUK	SignalP_GRAM_POSITIVE	ProDom	SFLD
maker-NIGD01000009.1-augustus-gene-16.20-mRNA-1	mobidb-lite	IPR000504	GO:0003676;GO:0003723;GO:0005634;GO:0006396;GO:1990904	SSF46785;SSF54928	NA	cd12291	SM00360;SM00715	PTHR22792:SF100;PTHR22792	PF00076;PF05383	NA	G3DSA:1.10.10.10;G3DSA:3.30.70.330	NA	NA	Coil	NA	PR00302	PS50102;PS50961	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000006.1-augustus-gene-4.2-mRNA-1	mobidb-lite	IPR027417	NA	SSF52540	NA	cd02024	NA	PTHR42666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-1.13-mRNA-1	mobidb-lite	IPR017871	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085;GO:0016020	SSF52540	Reactome: R-HSA-1369062	cd03232	SM00382	PTHR19241:SF256;PTHR19241	PF00005;PF06422;PF01061	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.300	TMhelix	NA	Coil	NA	NA	PS50893	PS00211	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-53.18-mRNA-1	NA	IPR003337	GO:0003824;GO:0005992	SSF53756;SSF56784	Reactome: R-HSA-446205	cd03788	NA	PTHR10788:SF15;PTHR10788	PF02358;PF00982	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	G3DSA:3.40.50.2000;G3DSA:3.40.50.1000;G3DSA:3.30.70.1020	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01484;TIGR00685	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-64.18-mRNA-1	mobidb-lite	IPR006876	NA	NA	NA	NA	NA	PTHR16130	PF04791	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000005.1-augustus-gene-29.6-mRNA-1	mobidb-lite	IPR021711	NA	NA	NA	NA	NA	PTHR28014	PF11702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000008.1-augustus-gene-9.29-mRNA-1	mobidb-lite	IPR017853	GO:0005975;GO:0004553;GO:0008061	SSF51445;SSF54556	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	SM00636	PTHR11177:SF174;PTHR11177	PF00704	NA	G3DSA:3.20.20.80;G3DSA:3.10.50.10	NA	NA	NA	NA	NA	NA	PS01095	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-53.3-mRNA-1	NA	IPR002379	GO:0015078;GO:0015991;GO:0033177;GO:0033179	SSF81333	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	NA	NA	PTHR10263:SF5;PTHR10263	PF00137	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.120.610	TMhelix	NA	NA	NA	PR00122	NA	NA	NA	TIGR01100	NA	NA	NA	NA
maker-NIGD01000005.1-augustus-gene-17.27-mRNA-1	mobidb-lite	IPR001260	GO:0004109;GO:0006779;GO:0055114	SSF102886	KEGG: 00860+1.3.3.3|MetaCyc: PWY-7159|Reactome: R-HSA-189451	NA	NA	PTHR10755;PTHR10755:SF0	PF01218	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.40.1500.10	NA	NA	NA	NA	PR00073	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000003.1-augustus-gene-17.36-mRNA-1	NA	IPR001494	GO:0006886;GO:0008536	SSF48371	NA	NA	SM00913	PTHR10997;PTHR10997:SF7	PF03810	NA	G3DSA:1.25.10.10	NA	NA	NA	NA	NA	PS50166	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-30.28-mRNA-1	NA	IPR003674	GO:0004576;GO:0006486;GO:0016020	NA	NA	NA	NA	PTHR13872:SF38;PTHR13872	PF02516	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.12610	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-20.8-mRNA-1	mobidb-lite	IPR031468	GO:0008289;GO:0061817	SSF49562	NA	cd04052;cd04040;cd04044;cd04045	SM00239	PTHR10774;PTHR10774:SF116	PF00168	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:2.60.40.150	TMhelix	NA	NA	PIRSF037232	PR00360	PS51847;PS50004	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000009.1-processed-gene-29.5-mRNA-1	NA	IPR003807	NA	NA	NA	NA	NA	PTHR38646	PF02656	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000009.1-processed-gene-29.11-mRNA-1	mobidb-lite	IPR024134	GO:0006801;GO:0046872	SSF49329	MetaCyc: PWY-6854|Reactome: R-HSA-3299685	NA	NA	PTHR10003;PTHR10003:SF37	PF00080	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	G3DSA:2.60.40.200	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-12.26-mRNA-1	NA	IPR036742	GO:0000275;GO:0015986;GO:0046933	SSF48690	NA	cd12153	NA	PTHR12448:SF0;PTHR12448	PF04627	NA	G3DSA:1.10.1620.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-75.4-mRNA-1	mobidb-lite	IPR001382	GO:0004571;GO:0005509;GO:0016020;GO:0003824	SSF48225	NA	NA	NA	PTHR11742;PTHR11742:SF47	PF01532	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.50.10.10	TMhelix	NA	NA	NA	PR00747	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-59.15-mRNA-1	NA	IPR019775	GO:0005515	SSF50978;SSF50998	NA	NA	SM00320	PTHR14344	PF00400	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	PS50294;PS50082	PS00678	NA	NA	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-33.5-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-50.15-mRNA-1	mobidb-lite	IPR029048		SSF53067;SSF100934	Reactome: R-HSA-3371453	cd10230	NA	PTHR19375:SF90;PTHR19375	PF00012	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	G3DSA:1.20.1270.10;G3DSA:3.30.30.30;G3DSA:3.90.640.10;G3DSA:3.30.420.40	TMhelix	SignalP-TM	NA	NA	PR00301	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
augustus_masked-NIGD01000009.1-processed-gene-26.25-mRNA-1	mobidb-lite	IPR006751	GO:0005669;GO:0006367	NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	cd08047	SM01370	PTHR12228:SF0;PTHR12228	PF04658	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-32.24-mRNA-1	mobidb-lite	IPR003593	GO:0005524;GO:0016887;GO:0016020	SSF52540	Reactome: R-HSA-1369062	NA	SM00382	PTHR19241:SF309;PTHR19241	PF00005;PF01061	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.300	TMhelix	NA	NA	NA	NA	PS50893	PS00211	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-75.3-mRNA-1	mobidb-lite	IPR007051	NA	SSF49764	NA	cd06466	NA	PTHR12621;PTHR12621:SF9	PF04969;PF04968	NA	G3DSA:2.60.40.790	NA	NA	NA	NA	NA	PS51401;PS51203	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-77.39-mRNA-1	NA	IPR036318	GO:0050660;GO:0071949;GO:0016491;GO:0055114	SSF56176	NA	NA	NA	PTHR42973;PTHR42973:SF20	PF08031;PF01565	NA	G3DSA:3.40.462.20;G3DSA:3.30.465.10;G3DSA:3.30.43.10	NA	NA	NA	NA	NA	PS51387	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000003.1-augustus-gene-49.15-mRNA-1	mobidb-lite	IPR006062	GO:0000105;GO:0003824	SSF51366	NA	NA	NA	PTHR43090	PF00977	NA	G3DSA:3.20.20.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000007.1-augustus-gene-4.5-mRNA-1	mobidb-lite	IPR017871	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	SSF90123;SSF52540	NA	cd03250;cd03244	SM00382	PTHR24223:SF340;PTHR24223	PF00664;PF00005	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	TMhelix	NA	NA	NA	NA	PS50893;PS50929	PS00211	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-43.9-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	PR01217	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-40.18-mRNA-1	mobidb-lite	IPR036885	GO:0003824;GO:0005515	SSF47592;SSF56024;SSF48208;SSF109715	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	cd00138	SM00151	PTHR31084;PTHR31084:SF0	PF13091;PF08766;PF02201;PF14498	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	G3DSA:1.10.245.10;G3DSA:2.60.40.1180;G3DSA:3.30.870.10;G3DSA:2.70.98.50;G3DSA:1.50.10.10	NA	SignalP-noTM	Coil	NA	NA	PS50035	NA	NA	NA	SignalP-noTM	NA	NA	NA
augustus_masked-NIGD01000008.1-processed-gene-7.16-mRNA-1	mobidb-lite	IPR001876	GO:0003676	SSF54928;SSF90209	NA	NA	SM00547;SM00443	PTHR13948:SF3;PTHR13948	PF01585	NA	G3DSA:4.10.1060.10;G3DSA:3.30.70.330	NA	NA	NA	NA	NA	PS50174;PS50199	PS01358;PS00028	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-10.8-mRNA-1	mobidb-lite	NA	NA	NA	NA	cd14688	NA	PTHR42070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000007.1-augustus-gene-7.27-mRNA-1	mobidb-lite	IPR013243	GO:0000124	NA	NA	NA	NA	PTHR15117;PTHR15117:SF11	PF08313	NA	NA	NA	NA	Coil	NA	NA	PS51505	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000007.1-processed-gene-1.10-mRNA-1	mobidb-lite	IPR000504	GO:0003676	SSF54928	NA	cd12520;cd12521;cd12522	SM00360	PTHR42664;PTHR42664:SF2	PF00076;PF10378	NA	G3DSA:3.30.70.330	NA	NA	NA	NA	NA	PS50102	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-40.3-mRNA-1	mobidb-lite	IPR011989	NA	SSF48371	NA	cd13394	NA	PTHR13347	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:1.25.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-37.11-mRNA-1	NA	IPR015590	GO:0016491;GO:0055114;GO:0016620	SSF53720	NA	NA	NA	PTHR43720:SF1;PTHR43720	PF00171	NA	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	NA	NA	NA	NA	NA	PS00687	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-11.15-mRNA-1	mobidb-lite	IPR001452	GO:0005515	SSF50044	NA	cd00174	SM00326	PTHR44208:SF1;PTHR44208	PF00018	NA	G3DSA:2.30.30.40	NA	NA	Coil	NA	PR00452	PS50002	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-24.15-mRNA-1	mobidb-lite	IPR000717	GO:0003743;GO:0005737;GO:0005852	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	SM00088;SM00753	PTHR15350;PTHR15350:SF2	PF18005;PF01399	NA	G3DSA:1.25.40.570	NA	NA	Coil	NA	NA	PS50250	NA	MF_03012	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-57.29-mRNA-1	mobidb-lite	IPR000048	GO:0005515;GO:0043087;GO:0007165	SSF48350;SSF143885;SSF47576	Reactome: R-HSA-5626467	cd05127;cd00014	SM00323;SM00033;SM00015	PTHR14149:SF14;PTHR14149	PF00616;PF03836;PF00307;PF00612	NA	G3DSA:1.20.5.190;G3DSA:1.10.418.10;G3DSA:1.10.506.10	NA	NA	Coil	NA	NA	PS50096;PS50018;PS50021	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000009.1-processed-gene-33.27-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	PTHR37278	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-19.12-mRNA-1	mobidb-lite	IPR036259	NA	SSF103473	NA	NA	NA	PTHR19432:SF35;PTHR19432	PF13347	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.20.1250.20	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-12.4-mRNA-1	NA	IPR003008	GO:0003924;GO:0005200;GO:0005525;GO:0005874;GO:0007017	SSF52490;SSF55307	Reactome: R-HSA-380320	NA	SM00865	PTHR11588;PTHR11588:SF248	PF00091;PF03953	NA	G3DSA:3.40.50.1440;G3DSA:3.30.1330.20	NA	NA	NA	NA	PR01162;PR01161	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000011.1-augustus-gene-22.27-mRNA-1	mobidb-lite	IPR008271	GO:0004672;GO:0006468;GO:0005524;GO:0005515;GO:0000077;GO:0004694;GO:0010998	SSF54495;SSF56112;SSF55681	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	cd14012	SM00220;SM00591	PTHR11042;PTHR11042:SF90	PF12745;PF00069;PF13393;PF05773	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10;G3DSA:3.10.110.10;G3DSA:3.40.50.800;G3DSA:3.30.930.10	NA	NA	Coil	PIRSF000660	NA	PS50908;PS50011	PS00108;PS00107	NA	NA	NA	NA	NA	NA
maker-NIGD01000011.1-augustus-gene-9.20-mRNA-1	mobidb-lite	IPR036322	GO:0005515;GO:0006364;GO:0032040	SSF50978	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	cd00200	SM00320	PTHR19854;PTHR19854:SF15	PF00400;PF08625	NA	G3DSA:2.130.10.10	NA	NA	Coil	NA	PR00320	PS50082;PS50294	PS00678	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-55.12-mRNA-1	NA	IPR001214	GO:0005515	SSF82199	NA	NA	SM00317	PTHR12197	PF00856	NA	NA	NA	NA	NA	NA	NA	PS50280	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-9.6-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-16.17-mRNA-1	mobidb-lite	IPR001680	GO:0005515	SSF50978	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226|Reactome: R-HSA-8951664	NA	SM00320	PTHR22851	PF00400;PF04158	NA	G3DSA:2.130.10.10	NA	NA	Coil	NA	PR00320	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-27.35-mRNA-1	mobidb-lite	IPR006685	GO:0016020;GO:0055085;GO:0005509	SSF50182;SSF47473	NA	NA	NA	PTHR31323;PTHR31323:SF7	PF00924	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:2.30.30.60	TMhelix	NA	NA	PIRSF017209	NA	PS50222	PS00018	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-73.13-mRNA-1	mobidb-lite	IPR014813	GO:0005525	SSF52540	Reactome: R-HSA-6791226	cd04178	NA	PTHR11089;PTHR11089:SF30	PF08701;PF01926	NA	G3DSA:3.40.50.300;G3DSA:1.10.1580.10	NA	NA	Coil	NA	PR00326	PS51721	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-68.18-mRNA-1	NA	IPR000569	GO:0004842;GO:0005515	SSF51045;SSF56204;SSF49562	MetaCyc: PWY-7511|Reactome: R-HSA-983168	cd08382;cd00201	SM00239;SM00119;SM00456	PTHR11254;PTHR11254:SF347	PF00168;PF00397;PF00632	NA	G3DSA:3.30.2410.10;G3DSA:2.60.40.150;G3DSA:3.90.1750.10;G3DSA:2.20.70.10	NA	NA	NA	NA	NA	PS50237;PS50020;PS50004	PS01159	NA	NA	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-27.15-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
augustus_masked-NIGD01000010.1-processed-gene-5.6-mRNA-1	NA	IPR006252	GO:0004474;GO:0006097;GO:0003824	SSF51645	KEGG: 00620+2.3.3.9|KEGG: 00630+2.3.3.9|MetaCyc: PWY-6969|MetaCyc: PWY-7118|MetaCyc: PWY-7294|MetaCyc: PWY-7295|MetaCyc: PWY-7854	cd00727	NA	PTHR42902;PTHR42902:SF1	PF01274	NA	G3DSA:3.20.20.360;G3DSA:1.20.1220.12	NA	NA	NA	PIRSF001363	NA	NA	NA	NA	TIGR01344	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-64.0-mRNA-1	mobidb-lite	IPR022591		NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	PTHR13900	PF12157	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-20.20-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000011.1-processed-gene-4.25-mRNA-1	NA	IPR028889	GO:0005515;GO:0006511;GO:0036459;GO:0016579	SSF54001;SSF49599	Reactome: R-HSA-5689880|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804757|Reactome: R-HSA-8866652|Reactome: R-HSA-8948747	cd02659	SM00061	PTHR24006;PTHR24006:SF644	PF12436;PF14533;PF00443;PF00917	NA	G3DSA:3.10.20.90;G3DSA:3.90.70.10;G3DSA:2.60.210.10	NA	NA	Coil	NA	NA	PS50235;PS50144	PS00973;PS00972	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-39.17-mRNA-1	mobidb-lite	NA	NA	SSF57997	NA	NA	NA	PTHR42041	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000008.1-processed-gene-8.10-mRNA-1	mobidb-lite	IPR027417	GO:0005524	SSF52540;SSF57850	NA	cd00079;cd00046	SM00184;SM00487;SM00490	PTHR10799:SF798;PTHR10799	PF00176;PF00271	NA	G3DSA:3.30.40.10;G3DSA:3.40.50.10810;G3DSA:3.40.50.300;G3DSA:1.20.120.850	NA	NA	Coil	NA	NA	PS51192;PS51194;PS50089	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000010.1-augustus-gene-3.4-mRNA-1	mobidb-lite	IPR036181	NA	SSF116846	NA	NA	NA	PTHR37327	PF04212	NA	G3DSA:1.20.58.280	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-30.26-mRNA-1	NA	IPR036249	GO:0000776;GO:0031262;GO:0045454	SSF52833	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	cd02947	NA	PTHR21650;PTHR21650:SF2	PF03800;PF18595;PF00085	NA	G3DSA:3.40.30.10;G3DSA:1.10.418.60	NA	NA	Coil	NA	PR00421	PS51352	PS00194	NA	NA	NA	SignalP-TM	NA	NA
maker-NIGD01000004.1-augustus-gene-48.5-mRNA-1	mobidb-lite	IPR011701	GO:0016021;GO:0055085	SSF103473	NA	cd06174	NA	PTHR23511:SF4;PTHR23511	PF07690	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.20.1250.20	TMhelix	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-26.24-mRNA-1	mobidb-lite	NA	NA	NA	NA	cd12087	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION	NA	TMhelix	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-26.4-mRNA-1	mobidb-lite	IPR003038	GO:0004579;GO:0008250;GO:0016021	NA	Reactome: R-HSA-446203	NA	NA	PTHR10705	PF02109	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	PIRSF005588	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
maker-NIGD01000003.1-augustus-gene-17.40-mRNA-1	mobidb-lite	IPR002110	GO:0005515	SSF48403	NA	cd00204	SM00248	PTHR24149;PTHR24149:SF1	PF12796	NA	NA	NA	NA	Coil	NA	NA	PS50088;PS50297	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-39.13-mRNA-1	NA	IPR001986	GO:0016765;GO:0003856;GO:0005737;GO:0009073;GO:0003866;GO:0003855;GO:0004764;GO:0055114;GO:0003824	SSF51735;SSF56796;SSF51569;SSF55205;SSF53223;SSF52540	KEGG: 00400+2.5.1.19|MetaCyc: PWY-6163	cd08195;cd01065;cd00464;cd01556;cd00502	NA	PTHR21090	PF00275;PF01202;PF01487;PF08501;PF01761	NA	G3DSA:3.40.50.720;G3DSA:3.40.50.300;G3DSA:1.20.1090.10;G3DSA:3.20.20.70;G3DSA:3.40.50.10860;G3DSA:3.65.10.10;G3DSA:3.40.50.1970	TMhelix	NA	NA	NA	PR01100	NA	PS00885;PS00104;PS01128	MF_00109;MF_00210	TIGR01357;TIGR01356;TIGR01809	NA	NA	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-1.22-mRNA-1	mobidb-lite	IPR002110	GO:0005515	SSF48403	NA	cd00204	SM00248	PTHR42652:SF2;PTHR42652	PF12796	NA	G3DSA:1.25.40.20	NA	NA	NA	NA	PR01415	PS50088;PS50297	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-28.10-mRNA-1	NA	IPR001328	GO:0004045	SSF53178	MetaCyc: PWY-6308	cd00462	NA	PTHR17224:SF1;PTHR17224	PF01195	NA	G3DSA:3.40.50.1470	NA	NA	NA	NA	NA	NA	PS01196	NA	NA	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-19.31-mRNA-1	mobidb-lite	IPR003877	GO:0005515;GO:0048188;GO:0051568	SSF49899	Reactome: R-HSA-201722|Reactome: R-HSA-3214841|Reactome: R-HSA-3769402|Reactome: R-HSA-5617472|Reactome: R-HSA-8936459	cd12872	SM00449	PTHR10598	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
