Gene	Phobius	PANTHER	interpro	GO	ProSiteProfiles	TMHMM	SUPERFAMILY	SMART	Gene3D	Pfam	PATHWAY	MobiDBLite	Coils	ProSitePatterns	PRINTS	TIGRFAM	CDD	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	Hamap	SFLD	ProDom
RFU74826.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81088.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	PTHR44169;PTHR44169:SF2	IPR036291	GO:0016491	NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF00106	NA	NA	NA	PS00061	PR00081;PR00080	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78877.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR44010:SF4;PTHR44010	IPR004853	NA	NA	TMhelix	NA	NA	NA	PF03151	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72566.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76644.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR13145	IPR011016	GO:0008270	PS51292	TMhelix	SSF57850	SM00744	G3DSA:3.30.40.10	PF12906	MetaCyc: PWY-7511	mobidb-lite	Coil	NA	NA	NA	cd16702	NA	NA	NA	NA	NA	NA	NA
RFU76621.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR45527	IPR009081	GO:0031177;GO:0003824	PS50075;PS51257	NA	SSF52777;SSF56801;SSF47336	SM00823;SM01294	G3DSA:3.30.559.30;G3DSA:3.40.50.12780;G3DSA:3.30.559.10;G3DSA:3.30.300.30;G3DSA:1.10.1200.10	PF00668;PF00501;PF00550	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	PS00012;PS00455	NA	TIGR01733	cd05918	NA	NA	NA	NA	NA	NA	NA
RFU78130.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR43520:SF12;PTHR43520	IPR006121	GO:0030001;GO:0046872;GO:0006812;GO:0016021;GO:0019829;GO:0000166	PS50846	TMhelix	SSF55008;SSF56784;SSF81665;SSF81653	NA	G3DSA:2.70.150.20;G3DSA:3.30.70.100;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10	PF00702;PF00403;PF00122	Reactome: R-HSA-936837	NA	NA	PS00154;PS01047	PR00119;PR00943	TIGR01525;TIGR01494	cd02094;cd00371	NA	NA	NA	NA	NA	SFLDS00003;SFLDF00027	NA
RFU76154.1	NA	PTHR11021;PTHR11021:SF0	IPR001163	GO:0000387;GO:0005681;GO:0000398;GO:0005732	NA	NA	SSF50182	SM00651	G3DSA:2.30.30.100	PF01423	Reactome: R-HSA-109688|Reactome: R-HSA-111367|Reactome: R-HSA-191859|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-77588	NA	NA	NA	NA	NA	cd01722	PIRSF006609	NA	NA	NA	NA	NA	NA
RFU81828.1	NA	NA	IPR024079	GO:0008237	NA	NA	SSF55486	NA	G3DSA:3.40.390.10	PF16313	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80044.1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	PTHR43730	IPR013783	NA	NA	NA	SSF51445;SSF49303;SSF49785	NA	G3DSA:2.60.40.10;G3DSA:3.20.20.80;G3DSA:2.60.120.260	PF17786;PF17753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
RFU71760.1	NA	PTHR43450:SF2;PTHR43450	IPR004364	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004815;GO:0005737;GO:0006422	NA	NA	SSF55681	NA	G3DSA:3.30.930.10	PF00152;PF09924	Reactome: R-HSA-2408517|Reactome: R-HSA-379716	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73671.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR31331	IPR004043	NA	PS50820	TMhelix	SSF69848	SM00603	G3DSA:2.170.130.20	PF03815	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73337.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	PTHR14218;PTHR14218:SF19	IPR015366	GO:0008236;GO:0004252;GO:0006508	PS51695	NA	SSF52743;SSF54897	SM00944	NA	PF09286	Reactome: R-HSA-381038	NA	NA	NA	NA	NA	cd11377;cd04056	NA	NA	NA	SignalP-noTM	NA	NA	NA
RFU81130.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73768.1	NA	PTHR10799:SF798;PTHR10799	IPR014001	GO:0005524	PS51192;PS51194	NA	SSF52540	SM00487;SM00490	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	PF00271;PF00176	NA	mobidb-lite	NA	NA	NA	NA	cd00079;cd00046	NA	NA	NA	NA	NA	NA	NA
RFU79104.1	NA	PTHR11946:SF54;PTHR11946	IPR013155	GO:0004812;GO:0006418;GO:0000166;GO:0005524;GO:0004832;GO:0006438;GO:0002161;GO:0005737	NA	NA	SSF52374;SSF47323;SSF50677	NA	G3DSA:3.40.50.620;G3DSA:1.10.730.10;G3DSA:3.90.740.10;G3DSA:1.10.287.380	PF08264;PF00133	KEGG: 00970+6.1.1.9	mobidb-lite	Coil	PS00178	PR00986	TIGR00422	cd07962;cd00817	NA	NA	NA	NA	MF_02004	NA	NA
RFU81309.1	NA	PTHR19375;PTHR19375:SF191	IPR013126		NA	NA	SSF53067	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10	PF00012	Reactome: R-HSA-3371453	NA	NA	NA	PR00301	NA	cd10229	NA	NA	NA	NA	NA	NA	NA
RFU72515.1	NA	PTHR11347:SF177;PTHR11347	IPR003607	GO:0004114;GO:0007165;GO:0008081	PS51845	NA	SSF109604	SM00471	G3DSA:1.10.1300.10	PF00233	NA	mobidb-lite	Coil	PS00126	NA	NA	cd00077	NA	NA	NA	NA	NA	NA	NA
RFU71911.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	PTHR13683:SF230;PTHR13683	IPR021109	GO:0004190;GO:0006508	PS51767	NA	SSF50630	NA	G3DSA:2.40.70.10	PF00026	NA	NA	NA	PS00141	PR00792	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
RFU77763.1	NA	PTHR23023;PTHR23023:SF101	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	TMhelix	SSF51905	NA	G3DSA:3.50.50.60	PF00743	NA	NA	NA	NA	PR00370	NA	NA	PIRSF000332	NA	NA	NA	NA	NA	NA
RFU80278.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	PTHR34992:SF1;PTHR34992	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA	NA	NA
RFU77373.1	NA	PTHR43544:SF12;PTHR43544	IPR036291	NA	NA	NA	SSF51735	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78341.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR24064;PTHR24064:SF200	IPR005828	GO:0016021;GO:0022857;GO:0055085	PS50850	TMhelix	SSF103473	NA	G3DSA:1.20.1250.20	PF00083	NA	mobidb-lite	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA
RFU72316.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76785.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR23507:SF25;PTHR23507	IPR011701	GO:0016021;GO:0055085	PS50850	TMhelix	SSF103473	NA	G3DSA:1.20.1250.20	PF07690	NA	mobidb-lite	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA
RFU79186.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR31310:SF11;PTHR31310	IPR026841	NA	NA	TMhelix	SSF48317	SM00014	G3DSA:1.20.144.10	PF14378	NA	NA	NA	NA	NA	NA	cd03386	NA	NA	NA	NA	NA	NA	NA
RFU76003.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR43492	IPR008927	GO:0055114;GO:0016491;GO:0003857;GO:0006631	NA	TMhelix	SSF48179;SSF51735	NA	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	PF02737;PF00725	KEGG: 00062+4.2.1.17+1.1.1.35|KEGG: 00071+4.2.1.17+1.1.1.35|KEGG: 00120+1.1.1.35|KEGG: 00280+4.2.1.17+1.1.1.35|KEGG: 00281+4.2.1.17+1.1.1.35|KEGG: 00310+4.2.1.17+1.1.1.35|KEGG: 00360+4.2.1.17|KEGG: 00362+4.2.1.17+1.1.1.35|KEGG: 00380+4.2.1.17+1.1.1.35|KEGG: 00410+4.2.1.17|KEGG: 00592+4.2.1.17|KEGG: 00623+1.1.1.35|KEGG: 00627+4.2.1.17|KEGG: 00640+4.2.1.17|KEGG: 00650+4.2.1.17+1.1.1.35|KEGG: 00720+4.2.1.17+1.1.1.35|KEGG: 00903+4.2.1.17|KEGG: 00930+4.2.1.17+1.1.1.35|MetaCyc: PWY-1361|MetaCyc: PWY-5109|MetaCyc: PWY-5136|MetaCyc: PWY-5138|MetaCyc: PWY-5177|MetaCyc: PWY-5789|MetaCyc: PWY-6435|MetaCyc: PWY-6583|MetaCyc: PWY-6863|MetaCyc: PWY-6883|MetaCyc: PWY-6944|MetaCyc: PWY-6945|MetaCyc: PWY-6946|MetaCyc: PWY-7007|MetaCyc: PWY-7046|MetaCyc: PWY-7094|MetaCyc: PWY-7216|MetaCyc: PWY-735|MetaCyc: PWY-7401|MetaCyc: PWY-7606|MetaCyc: PWY-7654|MetaCyc: PWY-7656|MetaCyc: PWY-7726|MetaCyc: PWY-7778|MetaCyc: PWY-7779|MetaCyc: PWY-8002	NA	Coil	PS00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75480.1	NA	NA	IPR008984	GO:0005515;GO:0003700;GO:0006355;GO:0043565	PS50039;PS50006	NA	SSF49879;SSF46785	SM00339	G3DSA:2.60.200.20;G3DSA:1.10.10.10	PF00250	NA	mobidb-lite	Coil	NA	PR00053	NA	cd00060	NA	NA	NA	NA	NA	NA	NA
RFU81475.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR35179;PTHR35179:SF1	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74638.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	PTHR22811:SF46;PTHR22811	IPR009038	NA	PS50866	TMhelix	SSF101576	SM01190	NA	PF01105	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
RFU71813.1	NA	PTHR21483	IPR039913	GO:0006366	NA	NA	NA	NA	NA	PF08621	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81165.1	NA	PTHR23105:SF12;PTHR23105	IPR004038	GO:0042254;GO:1990904	NA	NA	SSF55315	NA	G3DSA:3.30.1330.30	PF01248	Reactome: R-HSA-6791226	mobidb-lite	NA	PS01082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75032.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	PTHR42886:SF3;PTHR42886	IPR029058	NA	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	PF00561	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA	NA	NA
RFU73203.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR33048	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76763.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	IPR001810	GO:0005515	PS50181	NA	SSF81383	SM00256	G3DSA:1.20.1280.50	PF00646	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74045.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR11559;PTHR11559:SF206	IPR029058	NA	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	PF00135	NA	NA	NA	PS00941;PS00122	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
RFU73608.1	NA	PTHR10644;PTHR10644:SF2	IPR015943	GO:0005515;GO:0003676;GO:0005634	NA	NA	NA	NA	G3DSA:2.130.10.10	PF03178;PF10433	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73054.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
RFU80974.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR022185	NA	NA	TMhelix	NA	NA	NA	PF12505	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80557.1	NA	PTHR24279;PTHR24279:SF87	IPR017972	GO:0016705;GO:0055114;GO:0004497;GO:0005506;GO:0020037	NA	NA	SSF48264	NA	G3DSA:1.10.630.10	PF00067	NA	NA	NA	PS00086	PR00465	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78401.1	NA	PTHR19375:SF136;PTHR19375	IPR029048		NA	NA	SSF53067;SSF100920;SSF100934	NA	G3DSA:3.30.30.30;G3DSA:1.20.1270.10;G3DSA:3.30.420.40;G3DSA:2.60.34.10;G3DSA:3.90.640.10	PF00012	Reactome: R-HSA-3371453	mobidb-lite	Coil	PS01036	PR00301	NA	cd10228	NA	NA	NA	NA	NA	NA	NA
RFU72036.1	NA	PTHR44944	IPR013087	GO:0003676	PS50157	NA	SSF57667	SM00355	G3DSA:3.30.160.60	PF00096	NA	mobidb-lite	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80642.1	NA	NA	IPR007527	GO:0008270	NA	NA	NA	NA	NA	PF04434	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80953.1	NA	PTHR12565:SF290;PTHR12565	IPR011598	GO:0046983;GO:0006355	PS50888	NA	SSF47459	NA	G3DSA:4.10.280.10	PF00010	NA	mobidb-lite	NA	NA	NA	NA	cd00083	NA	NA	NA	NA	NA	NA	NA
RFU77022.1	NA	PTHR28006	IPR038608	GO:0005515;GO:0033551	NA	NA	NA	NA	G3DSA:3.90.1150.80	PF12539	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79476.1	NA	PTHR43272:SF5;PTHR43272	IPR020845	GO:0003824	NA	NA	SSF56801	NA	G3DSA:3.40.50.12780	PF00501	NA	NA	NA	PS00455	NA	NA	cd05927	NA	SignalP-TM	NA	NA	NA	NA	NA
RFU75980.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79450.1	NA	PTHR11937:SF175;PTHR11937	IPR004000	GO:0005524;GO:0005885;GO:0007015;GO:0034314	NA	NA	SSF53067	SM00268	G3DSA:3.30.420.40;G3DSA:3.90.640.10	PF00022	NA	NA	NA	PS01132	NA	NA	cd00012	NA	NA	NA	NA	NA	NA	NA
RFU75882.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR31405;PTHR31405:SF13	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	SM00906	NA	PF04082	NA	mobidb-lite	NA	NA	NA	NA	cd12148	NA	SignalP-TM	NA	NA	NA	NA	NA
RFU79474.1	NA	PTHR13856;PTHR13856:SF100	IPR003903	GO:0006886	PS50330;PS50179	NA	SSF48464	SM00288;SM00726	G3DSA:1.25.40.90	PF02809;PF00790	Reactome: R-HSA-182971|Reactome: R-HSA-432720|Reactome: R-HSA-5689880|Reactome: R-HSA-6807004|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828|Reactome: R-HSA-8875360|Reactome: R-HSA-917729	mobidb-lite	NA	NA	NA	NA	cd03569	PIRSF036956	NA	NA	NA	NA	NA	NA
RFU75636.1	NA	PTHR19375;PTHR19375:SF331	IPR013126		NA	NA	SSF53067	NA	G3DSA:3.30.420.40;G3DSA:3.30.30.30;G3DSA:3.90.640.10	PF00012	Reactome: R-HSA-3371453	mobidb-lite	NA	NA	PR00301	NA	cd10232	NA	NA	NA	NA	NA	NA	NA
RFU73923.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR45582	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	TMhelix	NA	SM00906	NA	PF04082	NA	mobidb-lite	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA
RFU75482.1	NA	PTHR13711:SF204;PTHR13711	IPR038167	GO:0003677;GO:0005634	NA	NA	SSF50729	SM01287	G3DSA:2.30.29.220;G3DSA:2.30.29.30;G3DSA:2.30.29.150	PF17292;PF08512;PF03531	Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-75955	mobidb-lite	NA	NA	PR00887	NA	cd13231;cd13230;cd13229	NA	NA	NA	NA	NA	NA	NA
RFU72539.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR16255;PTHR16255:SF1	IPR003734	NA	NA	NA	NA	NA	NA	PF02582	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78996.1	NA	PTHR34776	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80683.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR31845:SF17;PTHR31845	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	NA	G3DSA:4.10.240.10	NA	NA	mobidb-lite	Coil	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA
RFU75763.1	NA	PTHR44845	IPR013120	GO:0003824	PS50075	NA	SSF56801;SSF51735;SSF47336	SM00822	G3DSA:3.30.300.30;G3DSA:3.40.50.720;G3DSA:3.40.50.12780;G3DSA:1.10.1200.10	PF07993;PF00106;PF00501;PF00550	Reactome: R-HSA-8848584	NA	NA	PS00012;PS00455	PR00081	TIGR01746	cd05930;cd05235	NA	NA	NA	NA	NA	NA	NA
RFU76694.1	NA	PTHR44245	IPR036236	GO:0003676	PS50157	NA	SSF57667	SM00355	G3DSA:3.30.160.60	PF00096	NA	mobidb-lite	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75341.1	NA	PTHR14150:SF12;PTHR14150	IPR006709	GO:0006364;GO:0032040	NA	NA	NA	NA	NA	PF04615	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78520.1	NA	PTHR44169;PTHR44169:SF2	IPR002347	GO:0016491	NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF00106	NA	NA	NA	PS00061	PR00080;PR00081	NA	cd05374	NA	NA	NA	NA	NA	NA	NA
RFU79366.1	NA	PTHR22850:SF6;PTHR22850	IPR036322	GO:0005515	PS50082;PS50294	NA	SSF50978	SM00320	G3DSA:2.130.10.10	PF12265;PF00400	NA	mobidb-lite	NA	PS00678	PR00320	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81032.1	NA	PTHR43475:SF3;PTHR43475	IPR015797	GO:0016787;GO:0044237	PS51462	NA	SSF55811;SSF100950	NA	G3DSA:3.40.50.10470;G3DSA:3.90.79.10	PF00293;PF01008	KEGG: 00270+5.3.1.23|MetaCyc: PWY-4361|MetaCyc: PWY-7174	NA	NA	NA	NA	NA	cd04664	NA	NA	NA	NA	NA	NA	NA
RFU75463.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	PTHR24096	IPR000873	GO:0003824	NA	TMhelix	SSF56801	NA	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	PF00501	NA	NA	NA	PS00455	NA	NA	cd04433	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
RFU76461.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR23501;PTHR23501:SF145	IPR020846	GO:0005215;GO:0016021;GO:0055085	PS50850	TMhelix	SSF103473	NA	G3DSA:1.20.1720.10	PF07690	NA	NA	NA	NA	PR01035	NA	cd06174	NA	NA	NA	NA	NA	NA	NA
RFU77481.1	NA	PTHR11907;PTHR11907:SF13	IPR005854	GO:0004044;GO:0009113;GO:0009116	PS51278	NA	SSF53271;SSF56235	NA	G3DSA:3.40.50.2020;G3DSA:3.60.20.10	PF13522	KEGG: 00230+2.4.2.14|KEGG: 00250+2.4.2.14|MetaCyc: PWY-6121|MetaCyc: PWY-6122|MetaCyc: PWY-6277|MetaCyc: PWY-7282|Reactome: R-HSA-73817	NA	NA	NA	NA	TIGR01134	cd06223	PIRSF000485	NA	NA	NA	NA	NA	NA
RFU81679.1	NA	PTHR13711:SF293;PTHR13711	IPR013719		NA	NA	SSF50729	SM01287	G3DSA:2.30.29.30	PF08512	Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-75955	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78424.1	NA	PTHR24089;PTHR24089:SF57	IPR040062	GO:0022857;GO:0005509;GO:0055085	PS50920;PS50222	NA	SSF103506;SSF47473	SM00054	G3DSA:1.50.40.10;G3DSA:1.10.238.10	PF00153;PF00036;PF13499	NA	mobidb-lite	NA	PS00018	PR00926	NA	cd00051	NA	NA	NA	NA	NA	NA	NA
RFU79339.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
RFU73791.1	NA	PTHR28532	IPR019191	NA	NA	NA	NA	NA	NA	PF09811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76632.1	NA	PTHR31757	IPR009783	NA	NA	NA	SSF54427	NA	G3DSA:3.10.450.50	PF07080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74464.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR23502:SF31;PTHR23502	IPR020846	GO:0016021;GO:0055085	PS50850	TMhelix	SSF103473	NA	G3DSA:1.20.1250.20	PF07690	NA	mobidb-lite	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA
RFU80258.1	TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	PTHR10796:SF116;PTHR10796	IPR000731	GO:0016021	PS50156	TMhelix	SSF82866	NA	G3DSA:1.20.1640.10	PF12349;PF16414;PF02460	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
