Gene	MobiDBLite	PANTHER	Gene3D	interpro	Pfam	GO	SMART	SUPERFAMILY	CDD	ProSiteProfiles	Coils	PATHWAY	Phobius	PRINTS	TMHMM	PIRSF	Hamap	ProSitePatterns	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	TIGRFAM	ProDom	SFLD
maker-NIGC01000007.1-augustus-gene-13.31-mRNA-1	mobidb-lite	PTHR12428;PTHR12428:SF17	NA	IPR001708	PF02096	GO:0016021;GO:0032977	NA	NA	NA	NA	Coil	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-36.23-mRNA-1	NA	PTHR23502	NA	IPR020846	PF07690	GO:0016021;GO:0055085	NA	SSF103473	cd06174	NA	NA	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-22.26-mRNA-1	mobidb-lite	PTHR28249	NA	IPR005605	PF03907	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-28.43-mRNA-1	mobidb-lite	NA	G3DSA:2.40.50.40	IPR016197	NA	NA	NA	SSF54160	NA	PS50013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-1.13-mRNA-1	mobidb-lite	PTHR31310;PTHR31310:SF7	NA	IPR026841	PF14378	NA	NA	NA	cd03386	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-3.34-mRNA-1	mobidb-lite	PTHR31794:SF2;PTHR31794	NA	IPR004776	PF03547	GO:0016021;GO:0055085	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-32.57-mRNA-1	mobidb-lite	PTHR10792:SF8;PTHR10792	G3DSA:2.30.170.20	IPR011017	PF01246	NA	SM00746	SSF57716	cd00472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-42.20-mRNA-1	mobidb-lite	PTHR43628:SF2;PTHR43628	G3DSA:1.25.40.10	IPR006597	NA	GO:0005515	SM00671	SSF81901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000003.1-processed-gene-11.18-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000010.1-augustus-gene-16.9-mRNA-1	NA	PTHR21257:SF17;PTHR21257	NA	IPR001171	PF01222	GO:0016020;GO:0016628;GO:0055114	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	PS01017;PS01018	NA	NA	NA	NA	NA	NA
maker-NIGC01000006.1-augustus-gene-7.1-mRNA-1	mobidb-lite	PTHR39607;PTHR39607:SF1	NA	IPR004827	NA	GO:0003700;GO:0006355	NA	SSF57959	cd14688	NA	Coil	NA	NA	NA	NA	NA	NA	PS00036	NA	NA	NA	NA	NA	NA
maker-NIGC01000007.1-augustus-gene-16.2-mRNA-1	mobidb-lite	PTHR22883;PTHR22883:SF147	NA	IPR001594	PF01529	NA	NA	NA	NA	PS50216	Coil	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-5.8-mRNA-1	mobidb-lite	PTHR12505;PTHR12505:SF39	G3DSA:2.30.30.490	IPR011011	NA	GO:0003682	NA	SSF57903	cd04370	PS51038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000006.1-processed-gene-18.4-mRNA-1	mobidb-lite	PTHR19862	G3DSA:2.130.10.10	IPR020472	PF00400;PF11816	GO:0005515	SM00320	SSF50978	cd00200	PS50082;PS50294	NA	Reactome: R-HSA-110314|Reactome: R-HSA-5689880|Reactome: R-HSA-6783310	NA	PR00320	NA	NA	NA	PS00678	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-23.13-mRNA-1	NA	PTHR11705;PTHR11705:SF115	G3DSA:3.30.70.340;G3DSA:3.40.630.10	IPR000834	PF02244;PF00246	GO:0004181;GO:0006508;GO:0008270;GO:0004180	SM00631	SSF54897;SSF53187	cd06248	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	PR00765	NA	NA	NA	PS00132	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-28.1-mRNA-1	mobidb-lite	PTHR16027:SF6;PTHR16027	G3DSA:1.25.40.20	IPR036770	PF12796;PF01843	GO:0005515	SM01132;SM00248	SSF48403	cd15473;cd00204	PS50297;PS50088;PS51126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000010.1-processed-gene-8.12-mRNA-1	mobidb-lite	PTHR13844:SF7;PTHR13844	G3DSA:1.10.245.10	IPR036885	PF02201	GO:0005515	SM00151	SSF47592	NA	NA	NA	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-19.30-mRNA-1	mobidb-lite	PTHR19134;PTHR19134:SF364	G3DSA:3.40.250.10	IPR000242	PF00102;PF00581	GO:0004725;GO:0006470;GO:0016311;GO:0016791	SM00194;SM00404	SSF52821;SSF52799	cd01446;cd00047	PS50056;PS50206;PS50055	NA	NA	NA	PR00700	NA	NA	NA	PS00383	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-19.44-mRNA-1	NA	PTHR31375;PTHR31375:SF53	G3DSA:2.160.20.10	IPR012334	PF12708	NA	NA	SSF51126	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-26.40-mRNA-1	NA	NA	NA	IPR011333	PF00651	GO:0005515	NA	SSF54695	NA	PS50097	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-27.22-mRNA-1	NA	PTHR20963;PTHR20963:SF24	G3DSA:3.40.50.1240	IPR029033	PF00328	NA	NA	SSF53254	cd07061	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	PS00778;PS00616	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-13.12-mRNA-1	NA	PTHR24287	G3DSA:1.10.630.10	IPR001128	PF00067	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	SSF48264	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	PR00463;PR00385	TMhelix	NA	NA	PS00086	NA	SignalP-TM	NA	NA	NA	NA
maker-NIGC01000006.1-augustus-gene-9.36-mRNA-1	mobidb-lite	PTHR13856;PTHR13856:SF91	G3DSA:3.40.250.10;G3DSA:1.10.10.60	IPR009057	PF00046;PF00581	GO:0003677	NA	SSF46689;SSF52821	cd00086	PS50206;PS50071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-25.9-mRNA-1	mobidb-lite	PTHR24093:SF346;PTHR24093	G3DSA:2.70.150.10;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:1.20.1110.10	IPR023214	PF00702;PF00690;PF13246;PF00689;PF00122	GO:0000166;GO:0016021	SM00831	SSF81653;SSF81665;SSF81660;SSF56784	NA	NA	NA	Reactome: R-HSA-936837	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PR00119	TMhelix	NA	NA	PS00154	NA	NA	NA	TIGR01494	NA	SFLDF00027;SFLDG00002
maker-NIGC01000005.1-augustus-gene-23.19-mRNA-1	NA	PTHR11626	G3DSA:1.10.600.10	IPR006449	PF00494	GO:0008610;GO:0016021;GO:0009058;GO:0016740;GO:0004310;GO:0006696;GO:0051996;GO:0016765	NA	SSF48576	cd00683	NA	NA	KEGG: 00100+2.5.1.21|KEGG: 00909+2.5.1.21|MetaCyc: PWY-5670|Reactome: R-HSA-191273|Reactome: R-HSA-1989781|Reactome: R-HSA-2426168	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	PS01044	NA	NA	NA	TIGR01559	NA	SFLDG01018;SFLDS00005
augustus_masked-NIGC01000008.1-processed-gene-1.3-mRNA-1	mobidb-lite	PTHR24361;PTHR24361:SF351	G3DSA:1.10.510.10;G3DSA:3.30.200.20	IPR000719	PF00069	GO:0004672;GO:0005524;GO:0006468	SM00220	SSF56112	NA	PS50011	NA	NA	NA	NA	NA	PIRSF000615	NA	PS00108;PS00107	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-2.1-mRNA-1	mobidb-lite	PTHR10593;PTHR10593:SF23	G3DSA:3.30.200.20;G3DSA:1.10.510.10	IPR018935	PF01163	GO:0004674;GO:0005524	SM00090	SSF56112	cd05147	NA	Coil	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6791226	NA	NA	NA	PIRSF038147	NA	PS01245	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000006.1-processed-gene-20.43-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-5.29-mRNA-1	NA	PTHR11579:SF0;PTHR11579	G3DSA:3.40.50.150	IPR029063	PF01135	GO:0004719;GO:0006464	NA	SSF53335	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-29.11-mRNA-1	mobidb-lite	PTHR23138;PTHR23138:SF119	G3DSA:2.30.29.30	IPR000156	PF00638;PF09369	GO:0046907	SM00160	SSF50729	NA	PS50196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-24.9-mRNA-1	mobidb-lite	PTHR22883:SF117;PTHR22883	NA	IPR001594	PF01529	GO:0005789;GO:0019706	NA	NA	NA	PS50216	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	MF_03199	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000007.1-augustus-gene-1.15-mRNA-1	mobidb-lite	PTHR31735:SF1;PTHR31735	NA	IPR022127	PF12400	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	TMhelix	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-36.35-mRNA-1	mobidb-lite	PTHR43775;PTHR43775:SF19	G3DSA:3.40.366.10;G3DSA:3.30.559.10;G3DSA:3.40.50.150;G3DSA:3.40.47.10;G3DSA:3.40.50.12780;G3DSA:3.30.300.30;G3DSA:3.40.50.720;G3DSA:3.10.129.110;G3DSA:3.30.559.30;G3DSA:1.10.1200.10	IPR001227	PF16197;PF14765;PF00698;PF00501;PF08659;PF02801;PF08242;PF07993;PF00668;PF00109;PF00550	GO:0016740;GO:0003824;GO:0031177	SM00826;SM00822;SM00825;SM00823;SM00827	SSF56801;SSF55048;SSF47336;SSF53335;SSF53901;SSF51735;SSF52777;SSF52151	cd02440;cd05930;cd00833	PS50075	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	NA	NA	NA	PS00455;PS00012;PS00606	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-27.15-mRNA-1	mobidb-lite	PTHR23500:SF353;PTHR23500	G3DSA:1.20.1250.20	IPR003663	PF00083	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	NA	SSF103473	cd06174	PS50850	NA	Reactome: R-HSA-189200	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PR00171	TMhelix	NA	NA	PS00216;PS00217	NA	NA	NA	TIGR00879	NA	NA
augustus_masked-NIGC01000010.1-processed-gene-17.35-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-19.24-mRNA-1	NA	PTHR23323;PTHR23323:SF24	G3DSA:1.25.40.10	IPR016528	PF00637;PF17122;PF12451	GO:0006886;GO:0016192;GO:0005515	NA	SSF48371;SSF50978	cd16688	PS50236;PS50089	NA	NA	NA	NA	NA	PIRSF007860	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-22.8-mRNA-1	mobidb-lite	PTHR43791;PTHR43791:SF50	G3DSA:1.20.1250.20	IPR036259	PF07690	GO:0016021;GO:0055085	NA	SSF103473	cd06174	PS50850	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-10.4-mRNA-1	mobidb-lite	PTHR10459;PTHR10459:SF38	G3DSA:3.30.470.30;G3DSA:3.30.1490.70;G3DSA:1.10.3260.10;G3DSA:2.40.50.140	IPR036599	PF04675;PF01068;PF04679	GO:0003677;GO:0003910;GO:0006281;GO:0006310;GO:0005524;GO:0071897;GO:0003909;GO:0051103	NA	SSF117018;SSF56091;SSF50249	cd07900;cd07969	PS50160	NA	NA	NA	NA	NA	NA	NA	PS00697	NA	NA	NA	TIGR00574	NA	NA
augustus_masked-NIGC01000003.1-processed-gene-5.10-mRNA-1	mobidb-lite	PTHR44038;PTHR44038:SF2	G3DSA:2.130.10.10;G3DSA:1.20.1280.50	IPR036322	PF12937;PF00400	GO:0005515	SM00256;SM00320	SSF50978;SSF81383	cd00200	PS50082;PS50294;PS50181	NA	NA	NA	PR00320	NA	NA	NA	PS00678	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000010.1-processed-gene-20.22-mRNA-1	mobidb-lite	NA	G3DSA:1.10.10.60	IPR006600	PF18107;PF03221	GO:0003677	SM00674	SSF46689	NA	PS51253	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000003.1-augustus-gene-9.5-mRNA-1	mobidb-lite	PTHR10333:SF86;PTHR10333	G3DSA:3.30.40.10	IPR024610	NA	NA	SM01408;SM00249	SSF57903	cd15505	PS50016	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000006.1-processed-gene-6.54-mRNA-1	NA	NA	G3DSA:3.10.310.10	IPR007400	PF04303	NA	NA	SSF54506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-32.59-mRNA-1	NA	PTHR11910;PTHR11910:SF1	G3DSA:1.10.520.20	IPR000711	PF00213	GO:0015986;GO:0046933;GO:0016020	NA	SSF47928	NA	NA	NA	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	NA	PR00125	NA	NA	MF_01416	PS00389	NA	SignalP-TM	NA	TIGR01145	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-28.28-mRNA-1	mobidb-lite	PTHR10314:SF159;PTHR10314	G3DSA:3.30.60.90;G3DSA:3.40.50.1100;G3DSA:3.30.40.10	IPR017907	PF00291	GO:0006535	NA	SSF57850;SSF53686	cd01561	NA	NA	NA	NA	NA	NA	NA	NA	PS00518;PS00901	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000010.1-processed-gene-4.27-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-12.1-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-27.3-mRNA-1	mobidb-lite	PTHR21248:SF11;PTHR21248	G3DSA:3.30.870.10	IPR001736	PF13091	GO:0003824	SM00155	SSF56024	cd00138	PS50035	NA	Reactome: R-HSA-1483148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-16.11-mRNA-1	mobidb-lite	PTHR22872	G3DSA:2.130.10.30;G3DSA:3.30.710.10;G3DSA:1.25.40.20	IPR000210	PF13540;PF13637;PF00651	GO:0005515	SM00248;SM00225	SSF54695;SSF50985;SSF48403	cd00204	PS50097;PS50012;PS50297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-29.7-mRNA-1	NA	PTHR11306;PTHR11306:SF0	G3DSA:2.60.40.770	IPR014756	PF02221	GO:0032366	SM00737	SSF81296	cd00917	NA	NA	Reactome: R-HSA-6798695|Reactome: R-HSA-8964038	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-31.13-mRNA-1	mobidb-lite	PTHR12975	NA	IPR024420	PF12739		NA	NA	NA	NA	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-14.8-mRNA-1	mobidb-lite	PTHR21535;PTHR21535:SF33	G3DSA:1.20.58.340;G3DSA:2.80.10.50	IPR035992	PF01544;PF00652	GO:0016020;GO:0030001;GO:0046873;GO:0055085	SM00458	SSF50370;SSF143865;SSF144083	cd00161	PS50231	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-27.6-mRNA-1	mobidb-lite	PTHR35184	NA	IPR021460	PF11309	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000007.1-augustus-gene-10.15-mRNA-1	mobidb-lite	PTHR22904:SF496;PTHR22904	G3DSA:1.25.40.10;G3DSA:2.60.40.790	IPR007052	PF04969;PF05002	GO:0005515	NA	SSF48452;SSF49764	cd06466	PS51048;PS51203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-8.10-mRNA-1	NA	PTHR42919:SF12;PTHR42919	G3DSA:3.40.630.30	IPR016181	PF00583	NA	NA	SSF55729	cd04301	PS51186	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-12.7-mRNA-1	mobidb-lite	PTHR36182	G3DSA:2.70.50.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	PR01217	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-22.11-mRNA-1	mobidb-lite	PTHR23102;PTHR23102:SF24	G3DSA:4.10.1000.10	IPR000571	PF00642	GO:0046872	SM00356	SSF90229	NA	PS50103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-17.25-mRNA-1	mobidb-lite	PTHR23105:SF70;PTHR23105	G3DSA:3.30.1330.210	IPR001921	PF01248	GO:0042254;GO:1990904	NA	SSF55315	NA	NA	Coil	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PR00882;PR00881	NA	NA	NA	PS01082	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000006.1-processed-gene-21.2-mRNA-1	mobidb-lite	PTHR13078;PTHR13078:SF57	G3DSA:3.80.10.10;G3DSA:3.10.129.10;G3DSA:2.30.30.190	IPR032675	PF01575;PF01302	GO:0005515	SM01052	SSF54637;SSF74924;SSF52058	cd03448	PS51450;PS50245	NA	NA	NA	NA	NA	NA	NA	PS00845	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-16.25-mRNA-1	mobidb-lite	PTHR11462;PTHR11462:SF39	NA	IPR021833	PF11905	NA	NA	NA	cd14688	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000005.1-processed-gene-29.33-mRNA-1	mobidb-lite	PTHR11808;PTHR11808:SF50	G3DSA:3.40.630.30;G3DSA:3.40.640.10;G3DSA:3.90.1150.10	IPR018859	PF10455;PF01053;PF04768	GO:0003824;GO:0030170;GO:0004121;GO:0071266	NA	SSF103657;SSF53383	cd07600;cd00614	PS51731	NA	KEGG: 00220+2.3.1.1|MetaCyc: PWY-5154|Reactome: R-HSA-70635	NA	NA	NA	NA	NA	PS00868	NA	NA	NA	TIGR01329	NA	NA
augustus_masked-NIGC01000010.1-processed-gene-0.1-mRNA-1	mobidb-lite	PTHR12801:SF105;PTHR12801	NA	IPR013520	NA	NA	SM00479	SSF53098	cd06145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-12.5-mRNA-1	NA	PTHR11247:SF1;PTHR11247	G3DSA:1.20.144.10	IPR000326	PF01569	GO:0016787	SM00014	SSF48317	cd03382	NA	NA	Reactome: R-HSA-446199	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-12.11-mRNA-1	mobidb-lite	PTHR12864:SF14;PTHR12864	G3DSA:2.60.120.920	IPR013320	PF00622	GO:0005515	SM00449	SSF49899	cd12910	PS50188	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-13.1-mRNA-1	mobidb-lite	PTHR45590	G3DSA:1.10.1000.11;G3DSA:2.30.29.30	IPR023394	PF01369;PF15410	GO:0005086;GO:0032012	SM00222	SSF50729;SSF48425	cd00171	PS50190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-45.7-mRNA-1	mobidb-lite	PTHR10963;PTHR10963:SF56	G3DSA:2.60.120.200	IPR000757	PF00722	GO:0004553;GO:0005975	NA	SSF49899	cd02183	PS51762	Coil	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-9.35-mRNA-1	NA	PTHR11902	G3DSA:3.20.20.120;G3DSA:3.30.390.10	IPR036849	PF00113;PF03952	GO:0000015;GO:0000287;GO:0004634;GO:0006096	SM01193;SM01192	SSF54826;SSF51604	NA	NA	NA	KEGG: 00010+4.2.1.11|KEGG: 00680+4.2.1.11|MetaCyc: PWY-1042|MetaCyc: PWY-1622|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7124|MetaCyc: PWY-7218|MetaCyc: PWY-8004	NA	PR00148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
