Gene	interpro	Pfam	GO	PIRSF	Phobius	Gene3D	CDD	TMHMM	PANTHER	SUPERFAMILY	MobiDBLite	SignalP_EUK	ProSitePatterns	Coils	ProSiteProfiles	SMART	PATHWAY	TIGRFAM	SignalP_GRAM_POSITIVE	PRINTS	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
maker-NODE_11_length_781200_cov_24.806976-augustus-gene-5.1-mRNA-1	IPR000878	PF00590;PF14824;PF14823;PF13241	GO:0008168;GO:0006779;GO:0019354;GO:0055114	NA	NA	G3DSA:3.40.1010.10;G3DSA:3.40.50.720;G3DSA:3.30.950.10	NA	NA	PTHR21091:SF96;PTHR21091	SSF51735;SSF53790;SSF75615	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-5358493	TIGR01470	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_1742724_cov_22.765721-augustus-gene-16.11-mRNA-1	IPR000433	PF00569;PF16158	GO:0008270	NA	NA	G3DSA:3.30.60.90;G3DSA:2.60.40.10	cd14947;cd02340;cd02249	NA	PTHR20930;PTHR20930:SF0	SSF57850	mobidb-lite	NA	NA	Coil	PS50135	SM00291	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_563110_cov_24.829048-augustus-gene-4.53-mRNA-1	IPR007145	PF03999	GO:0000226;GO:0008017	NA	NA	G3DSA:1.20.58.1520	NA	NA	PTHR19321:SF0;PTHR19321	NA	mobidb-lite	NA	NA	Coil	NA	NA	Reactome: R-HSA-5625900	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_596300_cov_26.438574-processed-gene-1.23-mRNA-1	IPR036277	PF02463;PF06470	GO:0005515;GO:0005524;GO:0005694;GO:0051276	PIRSF005719	NA	G3DSA:3.40.50.300;G3DSA:3.30.70.1620;G3DSA:1.20.1060.20	cd03273	NA	PTHR43941	SSF75553;SSF52540	mobidb-lite	NA	NA	Coil	NA	SM00968	Reactome: R-HSA-2299718|Reactome: R-HSA-2514853	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_58_length_79692_cov_25.973179-processed-gene-0.30-mRNA-1	IPR001406	PF01416	GO:0001522;GO:0003723;GO:0009451;GO:0009982	NA	NA	G3DSA:3.30.70.580;G3DSA:3.30.70.660	cd02569	NA	PTHR11142;PTHR11142:SF5	SSF55120	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_00171	NA	NA	NA
augustus_masked-NODE_16_length_580193_cov_25.066322-processed-gene-0.15-mRNA-1	IPR036259	PF00083	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20	cd06174	TMhelix	PTHR23500;PTHR23500:SF145	SSF103473	NA	NA	PS00216	NA	PS50850	NA	Reactome: R-HSA-189200	TIGR00879	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_1120656_cov_25.632235-augustus-gene-1.41-mRNA-1	IPR005225	PF00071	GO:0005525;GO:0005622;GO:0007264;GO:0003924	NA	NA	G3DSA:3.40.50.300	cd04132	NA	PTHR24072:SF181;PTHR24072	SSF52540	mobidb-lite	NA	NA	NA	PS51420	SM00176;SM00174;SM00173;SM00175	Reactome: R-HSA-194840	TIGR00231	NA	PR00449	NA	NA	NA	NA
maker-NODE_8_length_926964_cov_22.211756-augustus-gene-8.62-mRNA-1	IPR000300	PF02383;PF03372	GO:0046856;GO:0042578	NA	NA	G3DSA:3.60.10.10	NA	NA	PTHR11200;PTHR11200:SF249	SSF56219	mobidb-lite	NA	NA	NA	PS50275	SM00128	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_1133640_cov_24.555234-augustus-gene-9.10-mRNA-1	IPR017321	PF00850;PF09757		PIRSF037919	NA	G3DSA:3.40.800.20	NA	NA	PTHR10625:SF177;PTHR10625	SSF52768	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862	NA	NA	PR01270	NA	NA	NA	NA
maker-NODE_12_length_714536_cov_25.462417-augustus-gene-0.25-mRNA-1	IPR012951	PF08031;PF01565	GO:0016491;GO:0050660;GO:0055114;GO:0071949	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	G3DSA:3.40.462.20;G3DSA:3.30.465.40	NA	NA	PTHR13878:SF50;PTHR13878	SSF56176	NA	SignalP-noTM	NA	NA	PS51387	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_27_length_414828_cov_18.522350-processed-gene-0.21-mRNA-1	IPR008289	PF00275;PF00616;PF08501;PF01202;PF13716;PF01761;PF01487	GO:0003855;GO:0003856;GO:0003866;GO:0004764;GO:0004765;GO:0009073;GO:0043087;GO:0003824;GO:0016765;GO:0005737;GO:0055114;GO:0007165	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.1970;G3DSA:1.10.506.10;G3DSA:3.40.525.10;G3DSA:3.40.50.720;G3DSA:1.20.1090.10;G3DSA:3.40.50.10860;G3DSA:3.40.50.300;G3DSA:2.30.29.30;G3DSA:3.65.10.10;G3DSA:3.20.20.70	cd00464;cd00502;cd01556;cd08195;cd01065	NA	PTHR21090	SSF55205;SSF51569;SSF51735;SSF56796;SSF48350;SSF52540;SSF48371;SSF53223	NA	NA	PS00104;PS01128;PS00885	Coil	PS50018	SM00323	KEGG: 00400+1.1.1.25+4.2.1.10+2.7.1.71+2.5.1.19+4.2.3.4|MetaCyc: PWY-6163|MetaCyc: PWY-6164|MetaCyc: PWY-6416|MetaCyc: PWY-6707	TIGR01809;TIGR01357;TIGR01356	NA	PR01100	MF_03143;MF_00109;MF_00210	NA	NA	NA
maker-NODE_32_length_317700_cov_23.290069-augustus-gene-1.35-mRNA-1	IPR033453	PF02055;PF17189	GO:0004348;GO:0006665	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	G3DSA:3.20.20.80	NA	NA	PTHR11069:SF23;PTHR11069	SSF51445	NA	SignalP-noTM	NA	NA	NA	NA	Reactome: R-HSA-1660662|Reactome: R-HSA-390471	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-6.17-mRNA-1	IPR039373	PF02225;PF04389;PF04253	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.930.40;G3DSA:3.40.630.10;G3DSA:3.50.30.30	cd03874;cd02121	TMhelix	PTHR10404;PTHR10404:SF46	SSF53187;SSF47672;SSF52025	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_483063_cov_24.362872-processed-gene-1.24-mRNA-1	IPR004365	PF01336;PF00152	GO:0003676;GO:0000166;GO:0004824;GO:0005524;GO:0005737;GO:0006430;GO:0004812;GO:0006418	PIRSF039101	NA	G3DSA:2.40.50.140;G3DSA:3.30.930.10	cd04322;cd00775	NA	PTHR42918;PTHR42918:SF3	SSF50249;SSF55681	mobidb-lite	NA	NA	Coil	PS50862	NA	KEGG: 00970+6.1.1.6|Reactome: R-HSA-2408517|Reactome: R-HSA-379716|Reactome: R-HSA-379726	TIGR00499	NA	PR00982	MF_00252	NA	NA	NA
augustus_masked-NODE_14_length_638213_cov_25.283819-processed-gene-4.53-mRNA-1	IPR001680	PF00400	GO:0005515	NA	NA	G3DSA:2.130.10.10	NA	NA	PTHR22852	SSF50978	mobidb-lite	NA	NA	NA	PS50082;PS50294	SM00320	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_530916_cov_24.776642-augustus-gene-1.9-mRNA-1	IPR016024	PF05536	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	PTHR13109	SSF48371	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-0.26-mRNA-1	IPR000182	PF00583	GO:0016747	NA	NA	G3DSA:3.40.630.30	cd04301	NA	PTHR10545;PTHR10545:SF29	SSF55729	NA	NA	NA	NA	PS51186	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_57_length_93140_cov_26.246385-augustus-gene-0.29-mRNA-1	IPR019734	PF13181;PF00149;PF08321	GO:0005515;GO:0016787;GO:0004721;GO:0006470	PIRSF033096	NA	G3DSA:1.25.40.10;G3DSA:3.60.21.10	cd07417	NA	PTHR11668;PTHR11668:SF391	SSF56300;SSF48452	NA	NA	PS00125	NA	PS50005;PS50293	SM00028;SM00156	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	PR00114	NA	NA	NA	NA
maker-NODE_5_length_1111637_cov_24.871330-augustus-gene-4.12-mRNA-1	IPR002292	PF02729;PF00185	GO:0016743;GO:0006520;GO:0016597	NA	NA	G3DSA:3.40.50.1370	NA	NA	PTHR11405;PTHR11405:SF1	SSF53671	NA	NA	PS00097	NA	NA	NA	KEGG: 00220+2.1.3.3|MetaCyc: PWY-4981|MetaCyc: PWY-4984|MetaCyc: PWY-7400|Reactome: R-HSA-1268020|Reactome: R-HSA-70635	TIGR00658	NA	PR00102;PR00100	NA	NA	NA	NA
augustus_masked-NODE_20_length_530916_cov_24.776642-processed-gene-3.26-mRNA-1	IPR011990	PF03568	GO:0005515;GO:0006508;GO:0008233;GO:0005634	NA	NA	NA	NA	NA	PTHR12792	SSF48452	mobidb-lite	NA	NA	Coil	PS51700	NA	Reactome: R-HSA-2467813	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_11_length_781200_cov_24.806976-augustus-gene-4.1-mRNA-1	IPR038222	PF01368;PF02833	GO:0005737;GO:0016462	NA	NA	G3DSA:3.10.310.20;G3DSA:3.90.1640.10	NA	NA	PTHR12112;PTHR12112:SF22	SSF64182	NA	NA	NA	NA	NA	SM01131	KEGG: 00190+3.6.1.1|MetaCyc: PWY-7805|MetaCyc: PWY-7807	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_6_length_1086122_cov_24.848966-augustus-gene-3.31-mRNA-1	IPR002022	PF00544	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	G3DSA:2.160.20.10	NA	NA	PTHR31683:SF35;PTHR31683	SSF51126	NA	SignalP-noTM	NA	NA	NA	SM00656	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_49_length_121062_cov_26.874627-processed-gene-0.20-mRNA-1	IPR022155	PF12449	NA	NA	NA	G3DSA:3.30.565.10	NA	NA	PTHR15600:SF29;PTHR15600	SSF55874	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_58_length_79692_cov_25.973179-augustus-gene-0.14-mRNA-1	IPR025609	PF05008;PF09532;PF12701;PF12352	GO:0006886;GO:0016020;GO:0016192	NA	NA	G3DSA:1.20.5.110;G3DSA:1.20.58.400;G3DSA:2.30.30.100	cd01736;cd15862	NA	PTHR13586:SF0;PTHR13586	SSF47661;SSF58038;SSF50182	mobidb-lite	NA	NA	Coil	PS51536;PS51513;PS51512	SM01271;SM01199;SM00397	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_65_length_67783_cov_22.944262-augustus-gene-0.8-mRNA-1	IPR027357	PF06920;PF14429;PF16172	GO:0005515;GO:0005085;GO:0007264;GO:0035556	NA	NA	G3DSA:1.25.40.410;G3DSA:2.60.40.150;G3DSA:1.20.1270.350;G3DSA:2.30.30.40	cd11684;cd08679	NA	PTHR23317;PTHR23317:SF69	SSF50044;SSF48371	mobidb-lite	NA	NA	Coil	PS51651;PS50002;PS51650	SM00326	Reactome: R-HSA-983231	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_1133640_cov_24.555234-processed-gene-7.30-mRNA-1	IPR007502	PF04408;PF00271;PF07717;PF00270	GO:0004386;GO:0003676;GO:0005524	NA	NA	G3DSA:1.20.120.1080;G3DSA:3.40.50.300	cd00046;cd00079	NA	PTHR18934:SF91;PTHR18934	SSF52540	mobidb-lite	NA	PS00690	Coil	PS51194;PS51192	SM00847;SM00487;SM00490	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_40_length_185010_cov_24.500170-processed-gene-0.61-mRNA-1	IPR036866	PF16661;PF07521;PF13299;PF10996	GO:0005847;GO:0006378;GO:0006379	NA	NA	G3DSA:3.60.15.10	cd16293	NA	PTHR11203:SF5;PTHR11203	SSF56281	mobidb-lite	NA	NA	NA	NA	SM01027	Reactome: R-HSA-109688|Reactome: R-HSA-159231|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-7.24-mRNA-1	IPR027815	PF14703;PF13967;PF02714	GO:0016020	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR13018:SF83;PTHR13018	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_483063_cov_24.362872-processed-gene-1.4-mRNA-1	IPR001128	PF00067	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.10.630.10	NA	TMhelix	PTHR24305:SF70;PTHR24305	SSF48264	NA	NA	PS00086	NA	NA	NA	NA	NA	NA	PR00463	NA	NA	NA	NA
maker-NODE_25_length_427975_cov_24.897092-augustus-gene-3.49-mRNA-1	IPR036188	PF13450;PF00743	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	NA	G3DSA:3.50.50.60	NA	TMhelix	PTHR42877:SF5;PTHR42877	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-10.15-mRNA-1	IPR008721	PF05460	GO:0003677;GO:0005664;GO:0006260	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_20_length_530916_cov_24.776642-processed-gene-4.8-mRNA-1	IPR022417	PF01379;PF03900	GO:0004418;GO:0033014;GO:0018160	PIRSF001438	NA	G3DSA:3.30.160.40;G3DSA:3.40.190.10	NA	NA	PTHR11557:SF0;PTHR11557	SSF53850;SSF54782	NA	NA	PS00533	NA	NA	NA	KEGG: 00860+2.5.1.61|MetaCyc: PWY-5188|MetaCyc: PWY-5189|Reactome: R-HSA-189451	TIGR00212	NA	PR00151	MF_00260	NA	NA	NA
augustus_masked-NODE_61_length_75511_cov_21.330163-processed-gene-0.6-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_392061_cov_26.495191-augustus-gene-2.68-mRNA-1	IPR024240	PF12971;PF12972;PF05089		NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.120.670;G3DSA:3.20.20.80;G3DSA:3.30.379.10	NA	NA	PTHR12872	SSF51445	NA	SignalP-noTM	NA	NA	NA	NA	KEGG: 00531+3.2.1.50|Reactome: R-HSA-2024096|Reactome: R-HSA-2206282	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
maker-NODE_24_length_437981_cov_25.163338-augustus-gene-0.3-mRNA-1	IPR004827	PF07716	GO:0003700;GO:0006355	NA	NA	G3DSA:1.20.5.170	cd14705	NA	PTHR13044;PTHR13044:SF14	SSF57959	mobidb-lite	NA	PS00036	Coil	PS50217	SM00338	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-12.30-mRNA-1	IPR023214	NA	NA	NA	NA	G3DSA:3.40.50.1000;G3DSA:1.10.150.720	NA	NA	PTHR12725:SF74;PTHR12725	SSF56784	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_981326_cov_21.713968-processed-gene-4.17-mRNA-1	IPR037143	PF02801;PF18314;PF18325;PF01648;PF00109	GO:0000287;GO:0008897;GO:0006633;GO:0004312;GO:0042759;GO:0003824	PIRSF000454	NA	G3DSA:3.90.470.20;G3DSA:3.30.70.2490;G3DSA:3.40.47.10;G3DSA:3.90.25.70	cd08950;cd00828	NA	PTHR10982	SSF53901;SSF51735;SSF56214;SSF52151	mobidb-lite	NA	PS00606	NA	PS50075	NA	KEGG: 00770+2.7.8.7|MetaCyc: PWY-6012|MetaCyc: PWY-6012-1|MetaCyc: PWY-6289|Reactome: R-HSA-199220	TIGR00556	NA	NA	MF_00101	NA	PD004282	NA
augustus_masked-NODE_9_length_812477_cov_21.218138-processed-gene-1.22-mRNA-1	IPR021840	PF11915	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR37544;PTHR37544:SF1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_530558_cov_24.609851-augustus-gene-2.10-mRNA-1	IPR002347	PF13561	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	G3DSA:3.40.50.720	cd05233	NA	PTHR42820:SF1;PTHR42820	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00081;PR00080	NA	NA	NA	NA
augustus_masked-NODE_8_length_926964_cov_22.211756-processed-gene-1.22-mRNA-1	IPR017111	PF11764;PF11767;PF00856	GO:0018024;GO:0034968;GO:0048188;GO:0005515	PIRSF037104	NA	G3DSA:3.30.70.330;G3DSA:2.170.270.10	NA	NA	PTHR22884:SF462;PTHR22884	SSF82199	mobidb-lite	NA	NA	Coil	PS50868;PS51572;PS50280	SM00317;SM00508;SM01291	KEGG: 00310+2.1.1.43	NA	NA	NA	NA	NA	NA	NA
maker-NODE_36_length_260573_cov_26.882064-augustus-gene-1.51-mRNA-1	IPR014001	PF07529;PF00439;PF08880;PF14619;PF00176;PF00271	GO:0005515;GO:0005524;GO:0005634;GO:0006355;GO:0042393	NA	NA	G3DSA:3.40.50.10810;G3DSA:1.20.920.10;G3DSA:3.40.50.300;G3DSA:1.20.5.170	cd00079;cd04369;cd00046	NA	PTHR10799:SF836;PTHR10799	SSF47370;SSF52540	mobidb-lite	NA	NA	Coil	PS51192;PS51194;PS51204;PS50014;PS51666	SM00951;SM01314;SM00297;SM00490;SM00487	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	PR00503	NA	NA	NA	NA
maker-NODE_26_length_427138_cov_26.846437-augustus-gene-0.27-mRNA-1	IPR020846	PF07690	GO:0016021;GO:0055085	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20	cd06174	TMhelix	PTHR11360:SF164;PTHR11360	SSF103473	mobidb-lite	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_20_length_530916_cov_24.776642-processed-gene-4.4-mRNA-1	IPR002136	PF00573	GO:0003735;GO:0005840;GO:0006412	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	G3DSA:3.40.1370.10	NA	NA	PTHR10746:SF6;PTHR10746	SSF52166	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA
maker-NODE_49_length_121062_cov_26.874627-augustus-gene-0.51-mRNA-1	IPR030379	PF00735	GO:0005525	PIRSF006698	NA	G3DSA:3.40.50.300	cd01850	NA	PTHR18884:SF58;PTHR18884	SSF52540	mobidb-lite	NA	NA	Coil	PS51719	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_580193_cov_25.066322-processed-gene-1.20-mRNA-1	IPR036265	PF09830	GO:0003877;GO:0005524;GO:0009117	NA	NA	G3DSA:3.30.428.70	NA	NA	PTHR38420	SSF54197	NA	NA	NA	NA	NA	NA	KEGG: 00230+2.7.7.53|KEGG: 00920+2.7.7.5|MetaCyc: PWY-5279	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_1111637_cov_24.871330-augustus-gene-9.3-mRNA-1	IPR015943	NA	GO:0005515	NA	NA	G3DSA:2.130.10.10	NA	NA	PTHR15598:SF5;PTHR15598	SSF50978	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_299613_cov_22.944428-augustus-gene-1.66-mRNA-1	IPR036259	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20	cd06174	TMhelix	PTHR43702:SF6;PTHR43702	SSF103473	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_46_length_156720_cov_25.100528-processed-gene-0.44-mRNA-1	IPR003386	PF02450	GO:0006629;GO:0008374	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.1820	NA	TMhelix	PTHR11440:SF4;PTHR11440	SSF53474	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_48_length_127753_cov_26.661629-processed-gene-0.0-mRNA-1	IPR027132	PF15456	GO:0000724;GO:0006281;GO:0030915	NA	NA	G3DSA:1.20.5.340	NA	NA	PTHR19306:SF6;PTHR19306	SSF57997	mobidb-lite	NA	NA	Coil	NA	NA	Reactome: R-HSA-3108214	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_28_length_392061_cov_26.495191-processed-gene-2.48-mRNA-1	IPR004834	PF01644;PF08407	GO:0004100;GO:0006031;GO:0016758	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	cd04190	TMhelix	PTHR22914:SF38;PTHR22914	SSF53448	mobidb-lite	NA	NA	NA	NA	NA	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	NA	NA	NA	PD002998	NA
maker-NODE_2_length_1742724_cov_22.765721-augustus-gene-14.6-mRNA-1	IPR001126	PF07264	GO:0006281	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR34292:SF1;PTHR34292	NA	NA	NA	NA	NA	PS50173	NA	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7|Reactome: R-HSA-5656169	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_530916_cov_24.776642-augustus-gene-2.40-mRNA-1	IPR029458	PF14847;PF00536;PF00069	GO:0005515;GO:0004672;GO:0006468;GO:0005524;GO:0007165	NA	NA	G3DSA:3.10.20.90;G3DSA:1.10.510.10;G3DSA:3.30.200.20;G3DSA:1.10.150.50	cd09534	NA	PTHR24361:SF637;PTHR24361	SSF56112;SSF47769	mobidb-lite	NA	PS00108;PS00107	NA	PS50105;PS50011;PS50200	SM00220;SM01304;SM00454	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-0.15-mRNA-1	IPR036908	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	G3DSA:2.40.40.10	NA	NA	PTHR31836	SSF50685	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_5_length_1111637_cov_24.871330-processed-gene-1.23-mRNA-1	IPR012340	NA	GO:0003723;GO:0003746;GO:0043022;GO:0045901	NA	NA	G3DSA:2.30.30.30;G3DSA:2.40.50.140	cd04469	NA	PTHR11673:SF12;PTHR11673	SSF50249;SSF50104	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_40_length_185010_cov_24.500170-augustus-gene-0.16-mRNA-1	IPR000608	PF00179		NA	NA	G3DSA:3.10.110.10	cd00195	NA	PTHR24068:SF55;PTHR24068	SSF54495	NA	NA	PS00183	NA	PS50127	SM00212	Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-11.4-mRNA-1	IPR013910	PF08601;PF00170	GO:0003700;GO:0006355	NA	NA	G3DSA:1.20.5.170;G3DSA:1.10.238.100	cd14688	NA	PTHR22952:SF267;PTHR22952	SSF57959;SSF111430	mobidb-lite	NA	PS00036	Coil	PS50217	SM00338	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_160414_cov_26.333527-augustus-gene-0.19-mRNA-1	IPR005829	PF00083	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20	cd06174	TMhelix	PTHR23500;PTHR23500:SF117	SSF103473	NA	NA	PS00217	NA	PS50850	NA	Reactome: R-HSA-189200	TIGR00879	NA	PR00171	NA	NA	NA	NA
augustus_masked-NODE_24_length_437981_cov_25.163338-processed-gene-2.28-mRNA-1	IPR038765	PF02338	NA	NA	NA	G3DSA:3.90.70.80	NA	NA	PTHR12419;PTHR12419:SF10	SSF54001	mobidb-lite	NA	NA	Coil	PS50802	NA	NA	NA	NA	NA	NA	NA	NA	NA
