Gene	interpro	GO	Gene3D	MobiDBLite	Pfam	PANTHER	ProSitePatterns	SMART	SUPERFAMILY	ProSiteProfiles	PRINTS	CDD	PATHWAY	TIGRFAM	Hamap	PIRSF	Phobius	TMHMM	SignalP_GRAM_NEGATIVE	SFLD	SignalP_EUK	SignalP_GRAM_POSITIVE	Coils	ProDom
PTB75844.1	IPR000651	GO:0005085;GO:0007264;GO:0005622	G3DSA:1.20.870.10;G3DSA:1.10.840.10	mobidb-lite	PF00617;PF00618	PTHR23113;PTHR23113:SF244	NA	SM00229;SM00147	SSF48366	PS50212;PS50009	NA	cd06224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81531.1	IPR025239	GO:0003676	NA	mobidb-lite	PF13821;PF01585	PTHR21032:SF0;PTHR21032	NA	SM01173;SM00443	NA	PS50174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB81257.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB80527.1	IPR004813	GO:0055085	NA	mobidb-lite	PF03169	PTHR22601;PTHR22601:SF16	NA	NA	NA	NA	NA	NA	NA	TIGR00728	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB74684.1	NA	NA	NA	mobidb-lite	NA	PTHR38120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB78580.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB71509.1	IPR002130	GO:0000413;GO:0003755;GO:0006457	G3DSA:2.40.100.10	NA	PF00160	PTHR11071;PTHR11071:SF385	PS00170	NA	SSF50891	PS50072	PR00153	NA	NA	NA	NA	PIRSF001467	NA	NA	NA	NA	NA	NA	NA	NA
PTB74792.1	IPR023485	GO:0003993;GO:0004726;GO:0005737;GO:0006470;GO:0004725	G3DSA:3.40.50.2300	NA	PF01451	PTHR11717;PTHR11717:SF7	NA	SM00226	SSF52788	NA	PR00720;PR00719	cd16343	KEGG: 00730+3.1.3.2|KEGG: 00740+3.1.3.2|MetaCyc: PWY-6348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78374.1	IPR037344	GO:0032126;GO:0070941	G3DSA:3.40.50.300	mobidb-lite	PF17100	PTHR10039:SF5;PTHR10039	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81307.1	IPR029069	NA	G3DSA:3.10.129.10	NA	PF01575	PTHR13078;PTHR13078:SF57	NA	NA	SSF54637	NA	NA	cd03448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78057.1	IPR012358	GO:0000298;GO:0005773;GO:0016021;GO:0016787	NA	mobidb-lite	PF00149	PTHR10340;PTHR10340:SF13	NA	NA	SSF56300	PS51257	NA	NA	NA	NA	NA	PIRSF027093	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB72387.1	NA	NA	NA	mobidb-lite	NA	PTHR33048:SF65;PTHR33048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB81935.1	IPR013149	GO:0055114;GO:0008270;GO:0016491	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	PF00107;PF08240	PTHR42683:SF18;PTHR42683	PS00059	SM00829	SSF51735;SSF50129	NA	NA	cd05283	Reactome: R-HSA-71384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74128.1	IPR006880	GO:0031011;GO:0006338	NA	mobidb-lite	PF04795	PTHR21561:SF12;PTHR21561	NA	SM01406	NA	NA	NA	NA	Reactome: R-HSA-5689603|Reactome: R-HSA-5696394	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB79781.1	IPR011236	GO:0004721;GO:0006470;GO:0016787	G3DSA:3.60.21.10	NA	PF00149	PTHR11668:SF391;PTHR11668	NA	SM00156	SSF56300	NA	PR00114	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|Reactome: R-HSA-5675221|Reactome: R-HSA-5693565|Reactome: R-HSA-8939211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77537.1	IPR003593	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	G3DSA:3.40.50.300	NA	PF12698;PF00005	PTHR19229:SF184;PTHR19229	PS00211	SM00382	SSF52540	PS50893	NA	cd03263	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB81882.1	IPR014717	GO:0003735;GO:0005840;GO:0006412;GO:0019843	G3DSA:3.30.70.60	NA	PF00494;PF01250	PTHR21181:SF13;PTHR21181	NA	NA	SSF54995;SSF48576	NA	NA	cd15465	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	TIGR00166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79821.1	IPR019402	NA	NA	NA	PF10277	PTHR21324;PTHR21324:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB78463.1	IPR020846	GO:0016021;GO:0055085	G3DSA:1.20.1250.20	NA	PF07690	PTHR23507;PTHR23507:SF25	NA	NA	SSF103473	PS50850	NA	cd06174	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB79825.1	IPR039856	GO:0005515	G3DSA:1.25.40.10	NA	NA	PTHR12760	NA	NA	SSF48452	PS50293;PS50005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB76088.1	IPR019489	GO:0005524	G3DSA:3.40.50.300;G3DSA:1.10.8.60	NA	PF10431;PF07724;PF17871;PF00004	PTHR11638:SF18;PTHR11638	PS00871;PS00870	SM01086;SM00382	SSF52540	NA	PR00300	cd00009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB81082.1	IPR024193	GO:0000723;GO:0003677;GO:0003684;GO:0005634;GO:0006303;GO:0006310;GO:0042162;GO:0043564;GO:0016817	G3DSA:1.25.40.240;G3DSA:2.40.290.10;G3DSA:1.10.1600.10;G3DSA:3.40.50.410	mobidb-lite	PF02735;PF08785;PF03731	PTHR12604:SF4;PTHR12604	NA	SM00559	SSF53300;SSF101420;SSF100939	PS50234	NA	cd00873	Reactome: R-HSA-164843|Reactome: R-HSA-1834949|Reactome: R-HSA-3270619|Reactome: R-HSA-5693571|Reactome: R-HSA-6798695	NA	NA	PIRSF016570	NA	NA	NA	NA	NA	NA	NA	NA
PTB80980.1	IPR026891	GO:0004553;GO:0005975	G3DSA:2.60.40.10;G3DSA:3.40.50.1700;G3DSA:3.20.20.300	NA	PF14310;PF00933;PF01915	PTHR42715;PTHR42715:SF5	PS00775	SM01217	SSF52279;SSF51445	NA	PR00133	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB72515.1	IPR003817	GO:0004609;GO:0008654;GO:0005739	NA	mobidb-lite	PF02666	PTHR10067;PTHR10067:SF6	NA	NA	NA	NA	NA	NA	KEGG: 00564+4.1.1.65|MetaCyc: PWY-5669|Reactome: R-HSA-1483213	TIGR00163	MF_03208	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
PTB71124.1	NA	NA	NA	NA	NA	PTHR39697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA
PTB73391.1	IPR023210	NA	G3DSA:3.20.20.100	NA	PF00248	PTHR43364:SF7;PTHR43364	NA	NA	SSF51430	NA	NA	cd06660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB77487.1	IPR013121	GO:0016491;GO:0055114	G3DSA:3.40.50.80	NA	PF08030;PF01794	PTHR11972;PTHR11972:SF91	NA	NA	SSF52343	NA	NA	cd06186	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB81220.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB71083.1	IPR039653	GO:0004659;GO:0016021;GO:0016765	G3DSA:1.10.357.140;G3DSA:1.20.120.1780	NA	PF01040	PTHR11048;PTHR11048:SF37	PS00943	NA	NA	NA	NA	cd13959	Reactome: R-HSA-1268020|Reactome: R-HSA-2142789	TIGR01474	MF_01635	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
PTB77192.1	IPR011993	GO:0005546;GO:0016197;GO:0030036;GO:0031932;GO:0038203	G3DSA:2.30.29.30	mobidb-lite	NA	PTHR31941:SF7;PTHR31941	NA	SM00233	SSF50729	PS50003	NA	cd13311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74597.1	IPR005065	GO:0003847;GO:0016042	NA	mobidb-lite	PF03403	PTHR10272;PTHR10272:SF0	NA	NA	SSF53474	NA	NA	NA	KEGG: 00565+3.1.1.47	NA	NA	PIRSF018169	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
PTB71205.1	IPR027417	NA	G3DSA:3.40.50.300	mobidb-lite	PF13087;PF13086	PTHR10887:SF323;PTHR10887	NA	NA	SSF52540	NA	NA	cd06008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB80010.1	IPR019194		NA	mobidb-lite	PF09816	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-674695|Reactome: R-HSA-75955	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB79108.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB71127.1	IPR006598	NA	NA	NA	PF05686	PTHR12203:SF54;PTHR12203	NA	SM00672	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB79811.1	IPR005814	GO:0008483;GO:0030170;GO:0003824	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	PF00202	PTHR43094	NA	NA	SSF53383	NA	NA	cd00610	NA	NA	NA	PIRSF000521	NA	NA	NA	NA	NA	NA	NA	NA
PTB80793.1	IPR005024	GO:0007034	G3DSA:1.10.287.1060	mobidb-lite	PF03357	PTHR22761;PTHR22761:SF18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB74318.1	IPR017938	GO:0000293;GO:0016021;GO:0016491;GO:0055114	G3DSA:3.40.50.80	NA	PF01794;PF08030;PF08022	PTHR11972;PTHR11972:SF89	NA	NA	SSF63380;SSF52343	PS51384	NA	cd06186	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	SFLDG01168;SFLDS00052	NA	NA	NA	NA
PTB73007.1	IPR002379	GO:0015078;GO:0015991;GO:0033177;GO:0033179	G3DSA:1.20.120.610	NA	PF00137	PTHR10263;PTHR10263:SF18	NA	NA	SSF81333	NA	PR00122	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB80714.1	IPR005178	NA	NA	mobidb-lite	PF03619	PTHR23423:SF10;PTHR23423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB79406.1	IPR001357	GO:0003689;GO:0005524;GO:0005663;GO:0006260;GO:0006281;GO:0003677	G3DSA:3.40.50.10190;G3DSA:1.20.272.10;G3DSA:3.40.50.300;G3DSA:1.10.8.60	mobidb-lite	PF00533;PF08519;PF00004	PTHR23389:SF6;PTHR23389	NA	SM00292;SM00382	SSF52113;SSF48019;SSF52540	PS50172	NA	cd00027;cd00009	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	NA	NA	PIRSF036578	NA	NA	NA	NA	NA	NA	Coil	NA
PTB80625.1	IPR011761	GO:0005524;GO:0046872;GO:0006807;GO:0004088;GO:0006207;GO:0006541	G3DSA:3.30.470.20;G3DSA:3.20.20.140;G3DSA:3.40.50.880;G3DSA:3.30.1490.20;G3DSA:3.40.50.1380;G3DSA:3.40.50.20;G3DSA:1.10.1030.10;G3DSA:3.50.30.20	NA	PF02142;PF00988;PF02786;PF02787;PF00117	PTHR11405:SF5;PTHR11405	PS00867;PS00866	SM01097;SM00851;SM01096	SSF56059;SSF51556;SSF52440;SSF48108;SSF52021;SSF52317;SSF52335	PS50975;PS51273	PR00099;PR00097;PR00096;PR00098	cd01423;cd01744	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	TIGR01369;TIGR01368	MF_01209	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75547.1	IPR002110	GO:0005515	G3DSA:1.25.40.20	NA	PF12796;PF01529	PTHR24161:SF17;PTHR24161	NA	SM00248	SSF48403	PS50216;PS50088;PS50297	NA	cd00204	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB72735.1	IPR012341	GO:0003824;GO:0004555;GO:0005991	G3DSA:1.50.10.10	NA	PF01204	PTHR23403;PTHR23403:SF1	PS00928	NA	SSF48208	NA	PR00744	NA	KEGG: 00500+3.2.1.28|Reactome: R-HSA-189085	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB73285.1	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71466.1	IPR000218	GO:0003735;GO:0005840;GO:0006412	G3DSA:2.40.150.20	NA	PF00238	PTHR11761;PTHR11761:SF8	PS00049	SM01374	SSF50193	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	MF_01367	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80773.1	IPR009014	GO:0003824;GO:0010181;GO:0055114;GO:0016491;GO:0020037;GO:0051536;GO:0004783;GO:0008652;GO:0009337;GO:0050661;GO:0051539	G3DSA:3.40.50.360;G3DSA:3.30.413.10;G3DSA:3.40.50.920;G3DSA:3.40.50.970;G3DSA:3.90.480.10	NA	PF00258;PF03460;PF01855;PF01077	PTHR19384;PTHR19384:SF93	PS00365	NA	SSF52922;SSF52518;SSF56014;SSF55124;SSF52218	PS50902	PR00369;PR00397	cd07034	KEGG: 00920+1.8.1.2|MetaCyc: PWY-6683	NA	MF_01540	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76092.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	NA	NA
PTB79073.1	IPR016181	GO:0016747	G3DSA:3.40.630.30	NA	PF00583	PTHR10545;PTHR10545:SF29	NA	NA	SSF55729	PS51186	NA	cd04301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB75158.1	IPR014710	GO:0016491	G3DSA:2.60.120.10;G3DSA:3.40.50.720	NA	PF13561	PTHR42820;PTHR42820:SF1	PS00061	NA	SSF51735;SSF51182	NA	PR00081	cd05233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81880.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB71836.1	IPR003618	GO:0006351	G3DSA:1.10.472.30;G3DSA:3.30.40.10	mobidb-lite	PF00628;PF07744;PF07500	PTHR11477;PTHR11477:SF11	PS01359	SM00249;SM00510	SSF46942;SSF57903	PS51321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB71113.1	IPR027417	GO:0003777;GO:0005524;GO:0007018;GO:0008017;GO:0003676	G3DSA:3.40.850.10	mobidb-lite	PF00225	PTHR24115;PTHR24115:SF557	PS00411;PS00028	SM00129	SSF52540	PS50157;PS50067	PR00380	NA	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	Coil	NA
PTB81643.1	IPR039421	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	mobidb-lite	PF00005;PF00664	PTHR24221;PTHR24221:SF388	PS00211	SM00382	SSF52540;SSF90123	PS50893;PS50929	NA	cd03249	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB79115.1	IPR003593	GO:0005524;GO:0016887	G3DSA:3.40.50.300;G3DSA:2.40.50.990;G3DSA:1.20.1390.20;G3DSA:1.25.10.10	mobidb-lite	PF17947;PF00005	PTHR19211;PTHR19211:SF5	PS00211	SM00382;SM01349	SSF48371;SSF52540	PS50893;PS50077	NA	cd03221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73231.1	IPR009000	GO:0003735;GO:0005622;GO:0005840;GO:0006412	G3DSA:2.40.30.10	mobidb-lite	NA	PTHR11229	NA	NA	SSF50447	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB71500.1	IPR036259	NA	NA	mobidb-lite	PF06912	PTHR37488:SF1;PTHR37488	NA	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB78039.1	IPR019544	GO:0005515	G3DSA:1.25.40.10	mobidb-lite	PF10516	PTHR15081:SF1;PTHR15081	NA	NA	SSF48452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB80906.1	IPR011009	NA	G3DSA:3.30.200.20;G3DSA:3.90.1200.10	mobidb-lite	PF01633	PTHR22603:SF66;PTHR22603	NA	NA	SSF56112	NA	NA	cd05157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB75780.1	IPR020546	GO:0015986;GO:0045261;GO:0046933	G3DSA:2.60.15.10	NA	PF02823	PTHR13822:SF7;PTHR13822	NA	NA	SSF51344	NA	NA	cd12152	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	TIGR01216	MF_00530	NA	NA	NA	NA	NA	NA	NA	NA	PD000944
PTB72434.1	IPR015943	GO:0005515;GO:0005669	G3DSA:2.130.10.10;G3DSA:1.25.40.500	mobidb-lite	PF08513;PF04494;PF00400	PTHR19879;PTHR19879:SF1	PS00678	SM00667;SM00320	SSF50978;SSF160897	PS50082;PS50896;PS50294	PR00320	cd08044;cd00200	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-6807505|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72084.1	IPR002088	GO:0008318;GO:0018342;GO:0005968;GO:0018344	G3DSA:1.25.40.120	mobidb-lite	PF01239	PTHR11129;PTHR11129:SF2	NA	NA	SSF48439	PS51147	NA	NA	Reactome: R-HSA-6803205|Reactome: R-HSA-8873719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73338.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77130.1	IPR036188	GO:0071949	G3DSA:3.50.50.60;G3DSA:3.30.9.30	NA	PF01494	PTHR13789;PTHR13789:SF215	NA	NA	SSF51905;SSF54373	NA	PR00420	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA
PTB80161.1	IPR036259	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	G3DSA:1.20.1250.20	NA	PF00083	PTHR23500;PTHR23500:SF42	PS00216	NA	SSF103473	PS50850	NA	cd06174	Reactome: R-HSA-189200	TIGR00879	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB75863.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-noTM	NA	SignalP-noTM	NA	NA	NA
PTB71492.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	G3DSA:1.10.630.10	NA	PF00067	PTHR24305;PTHR24305:SF70	PS00086	NA	SSF48264	NA	PR00385;PR00463	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA
PTB77982.1	NA	NA	NA	NA	NA	PTHR10476:SF1;PTHR10476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB79616.1	IPR002075	GO:0005634;GO:0051028;GO:0005515	G3DSA:3.10.450.50;G3DSA:3.80.10.10;G3DSA:1.10.8.10	mobidb-lite	PF02136;PF03943	PTHR10662:SF22;PTHR10662	NA	SM00804	SSF46934;SSF54427;SSF52058	PS51281;PS50177;PS51450	NA	cd14342	Reactome: R-HSA-159236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78018.1	IPR003439	GO:0005524;GO:0016887;GO:0016020;GO:0016021;GO:0042626;GO:0055085	G3DSA:3.40.50.300	mobidb-lite	PF00005;PF01061;PF06422	PTHR19241;PTHR19241:SF298	PS00211	SM00382	SSF52540	PS50893	NA	cd03233	Reactome: R-HSA-1369062	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	Coil	NA
PTB77913.1	IPR036188	GO:0016491;GO:0055114	G3DSA:3.50.50.60	NA	PF07992	PTHR42863;PTHR42863:SF9	NA	NA	SSF51905	NA	PR00368;PR00469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71319.1	IPR007594	GO:0005319;GO:0006869;GO:0016021	NA	NA	PF04506	PTHR13117	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-446193|Reactome: R-HSA-4570571	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB80984.1	IPR001045	GO:0003824;GO:0006595	G3DSA:2.30.140.10;G3DSA:3.40.50.150	NA	PF17284;PF01564	PTHR11558;PTHR11558:SF11	PS01330	NA	SSF53335	PS51006	NA	cd02440	KEGG: 00270+2.5.1.16|KEGG: 00330+2.5.1.16|KEGG: 00410+2.5.1.16|KEGG: 00480+2.5.1.16|Reactome: R-HSA-351202	TIGR00417	MF_00198	PIRSF000502	NA	NA	NA	NA	NA	NA	NA	NA
PTB76017.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
