id	MainDescription 	type	AccessoryDescription	
GH5_5	NA	CAZYME	NA	
GH5_7	NA	CAZYME	NA	
GH51	"endoglucanase (EC 3.2.1.4); endo-beta-1,4-xylanase (EC 3.2.1.8); beta-xylosidase (EC 3.2.1.37); alpha-L-arabinofuranosidase (EC 3.2.1.55)"	CAZYME	NA	
GH54	alpha-L-arabinofuranosidase (EC 3.2.1.55); beta-xylosidase (EC 3.2.1.37).	CAZYME	NA	
GH55	"exo-beta-1,3-glucanase (EC 3.2.1.58); endo-beta-1,3-glucanase (EC 3.2.1.39)"	CAZYME	NA	
GH6	endoglucanase (EC 3.2.1.4); cellobiohydrolase (EC 3.2.1.91)	CAZYME	NA	
GH62	alpha-L-arabinofuranosidase (EC 3.2.1.55)	CAZYME	NA	
GH63	"processing alpha-glucosidase (EC 3.2.1.106); alpha-1,3-glucosidase (EC 3.2.1.84); alpha-glucosidase (EC 3.2.1.20); mannosylglycerate alpha-mannosidase / mannosylglycerate hydrolase (EC 3.2.1.170)"	CAZYME	NA	
GH64	"beta-1,3-glucanase (EC 3.2.1.39)"	CAZYME	NA	
GH65	"alpha,alpha-trehalase (EC 3.2.1.28); maltose phosphorylase (EC 2.4.1.8); trehalose phosphorylase (EC 2.4.1.64); kojibiose phosphorylase (EC 2.4.1.230); trehalose-6-phosphate phosphorylase (EC 2.4.1.216); nigerose phosphorylase (EC 2.4.1.279); 3-O-alpha-glucopyranosyl-L-rhamnose phosphorylase (EC 2.4.1.282); 2-O-alpha-glucopyranosylglycerol: phosphate beta-glucosyltransferase (EC 2.4.1.-); alpha-glucosyl-1,2-beta-galactosyl-L-hydroxylysine alpha-glucosidase (EC 3.2.1.107)"	CAZYME	NA	
GH67	"alpha-glucuronidase (EC 3.2.1.139); xylan alpha-1,2-glucuronidase (EC 3.2.1.131)"	CAZYME	NA	
GH7	"endo-beta-1,4-glucanase (EC 3.2.1.4); reducing end-acting cellobiohydrolase (EC 3.2.1.176); chitosanase (EC 3.2.1.132); endo-beta-1,3-1,4-glucanase (EC 3.2.1.73)"	CAZYME	NA	
GH71	"alpha-1,3-glucanase (EC 3.2.1.59)."	CAZYME	NA	
GH72	"beta-1,3-glucanosyltransglycosylase (EC 2.4.1.-)"	CAZYME	NA	
GH74	endoglucanase (EC 3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC 3.2.1.150); xyloglucanase (EC 3.2.1.151)	CAZYME	NA	
GH75	chitosanase (EC 3.2.1.132)	CAZYME	NA	
GH76	"alpha-1,6-mannanase (EC 3.2.1.101)"	CAZYME	NA	
GH78	"alpha-L-rhamnosidase (EC 3.2.1.40); rhamnogalacturonan alpha-L-rhamnohydrolase (EC 3.2.1.174); L-Rhap-alpha-1,3-D-Apif -specific alpha-1,3-L-rhamnosidase (EC 3.2.1.-)"	CAZYME	NA	
GH79	beta-glucuronidase (EC 3.2.1.31); hyaluronoglucuronidase (EC 3.2.1.36); heparanase (EC 3.2.1.166); baicalin beta-glucuronidase (EC 3.2.1.167); beta-4-O-methyl-glucuronidase (EC 3.2.1.-)	CAZYME	NA	
GH81	"endo-beta-1,3-glucanase (EC 3.2.1.39)"	CAZYME	NA	
GH89	alpha-N-acetylglucosaminidase (EC 3.2.1.50)	CAZYME	NA	
GH92	"mannosyl-oligosaccharide alpha-1,2-mannosidase (EC 3.2.1.113); mannosyl-oligosaccharide alpha-1,3-mannosidase (EC 3.2.1.-);"	CAZYME	NA	
GH93	"exo-alpha-L-1,5-arabinanase (EC 3.2.1.-)"	CAZYME	NA	
GH95	"alpha-L-fucosidase (EC 3.2.1.51); alpha-1,2-L-fucosidase (EC 3.2.1.63); alpha-L-galactosidase (EC 3.2.1.-)"	CAZYME	NA	
GT1	UDP-glucuronosyltransferase (EC 2.4.1.17); zeatin O-beta-xylosyltransferase (EC 2.4.2.40); 2-hydroxyacylsphingosine 1-beta-galactosyltransferase (EC 2.4.1.45); N-acylsphingosine galactosyltransferase (EC 2.4.1.47); flavonol 3-O-glucosyltransferase (EC 2.4.1.91); anthocyanidin 3-O-glucosyltransferase (EC 2.4.1.115); sinapate 1-glucosyltransferase (EC 2.4.1.120); indole-3-acetate beta-glucosyltransferase (EC 2.4.1.121); flavonol L-rhamnosyltransferase (EC 2.4.1.159); sterol glucosyltransferase (EC 2.4.1.173); UDP-Glc: 4-hydroxybenzoate 4-O-beta-glucosyltransferase (EC 2.4.1.194); zeatin O-beta-glucosyltransferase (EC 2.4.1.203); limonoid glucosyltransferase (EC 2.4.1.210); UDP-GlcA: baicalein 7-O-beta-glucuronosyltransferase (EC 2.4.1.253); UDP-Glc: chalcone 4â€²-O-beta-glucosyltransferase (EC 2.4.1.286); ecdysteroid UDP-glucosyltransferase (EC 2.4.1.-); salicylic acid beta-glucosyltransferase (EC 2.4.1.-); anthocyanin 3-O-galactosyltransferase (EC 2.4.1.-); anthocyanin 5-O-glucosyltransferase (EC 2.4.1.-); dTDP-beta-2-deoxy-L-fucose: alpha-L-2-deoxyfucosyltransferase (EC 2.4.1.-); UDP-beta-L-rhamnose: alpha-L-rhamnosyltransferase (EC 2.4.1.-); zeaxanthin glucosyltransferase (EC 2.4.1.-)	CAZYME	NA	
GT15	"glycolipid 2-alpha-mannosyltransferase (EC 2.4.1.131); GDP-Man: alpha-1,2-mannosyltransferase (EC 2.4.1.-)."	CAZYME	NA	
GT17	"beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.144)."	CAZYME	NA	
GT21	UDP-Glc: ceramide beta-glucosyltransferase (EC 2.4.1.80).	CAZYME	NA	
GT22	"Dol-P-Man: Man6GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.259); Dol-P-Man: Man8GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.261); Dol-P-Man: Man2-GlcNAc-phosphatidylinositol alpha-1,2-mannosyltransferase (EC 2.4.1.-); Dol-P-Man: Man3-GlcNAc-phosphatidylinositol alpha-1,2-mannosyltransferase (EC 2.4.1.-)"	CAZYME	NA	
GT24	UDP-Glc: glycoprotein alpha-glucosyltransferase (EC 2.4.1.-).	CAZYME	NA	
GT31	"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.149); Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase (EC 2.4.1.122); fucose-specific beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.-); globotriosylceramide beta-1,3-GalNAc transferase (EC 2.4.1.79); chondroitin synthase (beta-1,3-GlcUA and beta-1,4-GalNAc transferase (EC 2.4.1.175); chondroitin beta-1,3-glucuronyltransferase (EC 2.4.1.226); chondroitin beta-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-); UDP-Gal: beta-galactosylxylosylprotein beta-1,3-galactosyltransferase (EC 2.4.1.134); UDP-GlcNAc: O-fucosylpeptide beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.222)"	CAZYME	NA	
GT32	"alpha-1,6-mannosyltransferase (EC 2.4.1.-); alpha-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.-); alpha-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-);"	CAZYME	NA	
GT4	"sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342)"	CAZYME	NA	
GT69	"GDP-Man: alpha-1,3-mannosyltransferase (EC 2.4.1.-)"	CAZYME	NA	
GT90	"UDP-Xyl: (mannosyl) glucuronoxylomannan/galactoxylomannan beta-1,2-xylosyltransferase (EC 2.4.2.-); UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-); UDP-Xyl: protein O-beta-xylosyltransferase (EC 2.4.2.-)"	CAZYME	NA	
KATG_PENMA	FUNCTION: Bifunctional enzyme with both catalase and broad- spectrum peroxidase activity (By similarity). May be involved in protection from the host during host infection.	VIRULENCE	NA	
LAP1_ARTBC	FUNCTION: Extracellular aminopeptidase which contributes to pathogenicity (By similarity).	VIRULENCE	NA	
LAP1_ARTOC	FUNCTION: Extracellular aminopeptidase which contributes to pathogenicity (By similarity).	VIRULENCE	NA	
LAP1_TRIVH	FUNCTION: Extracellular aminopeptidase which contributes to pathogenicity (By similarity).	VIRULENCE	NA	
LAP2_ARTOC	FUNCTION: Extracellular aminopeptidase that releases a wide variety of amino acids from natural peptides and contributes to pathogenicity.	VIRULENCE	NA	
LAP2_ASPFU	FUNCTION: Extracellular aminopeptidase that releases a wide variety of amino acids from natural peptides and contributes to pathogenicity (By similarity).	VIRULENCE	NA	
LAP2_TRIEQ	FUNCTION: Extracellular aminopeptidase that releases a wide variety of amino acids from natural peptides and contributes to pathogenicity.	VIRULENCE	NA	
LAP2_TRIRU	FUNCTION: Extracellular aminopeptidase that releases a wide variety of amino acids from natural peptides and contributes to pathogenicity.	VIRULENCE	NA	
LAP2_TRIVH	FUNCTION: Extracellular aminopeptidase that releases a wide variety of amino acids from natural peptides and contributes to pathogenicity (By similarity).	VIRULENCE	NA	
LAP4_ARTOC	FUNCTION: Probable extracellular aminopeptidase which contributes to pathogenicity (By similarity).	VIRULENCE	NA	
LAP5_ARTBC	FUNCTION: Probable extracellular aminopeptidase which contributes to pathogenicity (By similarity).	VIRULENCE	NA	
MCPA_ARTBC	FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).	VIRULENCE	NA	
MCPA_ARTOC	FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).	VIRULENCE	NA	
MCPA_TRIEQ	FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).	VIRULENCE	NA	
MCPA_TRIRU	FUNCTION: Extracellular metalloprotease that contributes to pathogenicity.	VIRULENCE	NA	
MCPAL_ARTBC	FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).	VIRULENCE	NA	
MCPAL_ARTOC	FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).	VIRULENCE	NA	
MEP_NEOFI	FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates and probably acts as a virulence factor (By similarity).	VIRULENCE	NA	
MEP1_ASPFC	FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Plays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host (By similarity).	VIRULENCE	NA	
MEP1_COCP7	FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Pays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host. Digests an immunodominant cell surface antigen (SOWgp) and prevents host recognition of endospores during the phase of development when these fungal cells are most vulnerable to phagocytic cell defenses.	VIRULENCE	NA	
MEP7_ARTBC	FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Plays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host (By similarity).	VIRULENCE	NA	
MEP8_ARTGP	FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Plays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host (By similarity).	VIRULENCE	NA	
MER0000339	cuticle-degrading peptidase of parasitic fungus	MEROPS	NA	
MER0004239	"subfamily S8A non-peptidase homologues	"	MEROPS	NA	
MER0011060	cuticle-degrading peptidase of parasitic fungus	MEROPS	NA	
MER0014006	NA	MEROPS	NA	
MER0019139	cuticle-degrading peptidase of parasitic fungus	MEROPS	NA	
MER0024046	family S33 unassigned peptidases	MEROPS	NA	
MER0025111	trypsin (fungal)	MEROPS	NA	
MER0028352	Prb1 peptidase	MEROPS	NA	
MER0031546	NA	MEROPS	NA	
MER0032062	trypsin (mosquito type)	MEROPS	NA	
MER0032162	NA	MEROPS	NA	
MER0032537	NA	MEROPS	NA	
MER0032545	NA	MEROPS	NA	
MER0032555	NA	MEROPS	NA	
MER0032561	NA	MEROPS	NA	
MER0032566	NA	MEROPS	NA	
MER0032575	NA	MEROPS	NA	
MER0032698	"family S33 unassigned peptidases	"	MEROPS	NA	
MER0032723	family S33 non-peptidase homologues	MEROPS	NA	
MER0032867	NA	MEROPS	NA	
MER0032938	NA	MEROPS	NA	
MER0033095	NA	MEROPS	NA	
MER0033126	NA	MEROPS	NA	
MER0033130	NA	MEROPS	NA	
MER0033386	NA	MEROPS	NA	
MER0033389	NA	MEROPS	NA	
MER0033394	NA	MEROPS	NA	
MER0035648	NA	MEROPS	NA	
MER0039492	NA	MEROPS	NA	
MER0047368	NA	MEROPS	NA	
MER0058016	NA	MEROPS	NA	
MER0060274	NA	MEROPS	NA	
MER0060939	NA	MEROPS	NA	
MER0064110	S-formylglutathione hydrolase FrmB	MEROPS	NA	
MER0064120	PoSl ({Pleurotus ostreatus})-type peptidase	MEROPS	NA	
MER0064128	NA	MEROPS	NA	
MER0064130	NA	MEROPS	NA	
MER0064151	NA	MEROPS	NA	
MER0064174	subfamily A1A unassigned peptidases	MEROPS	NA	
MER0064189	Mername-AA063 peptidase	MEROPS	NA	
MER0064233	NA	MEROPS	NA	
MER0064512	NA	MEROPS	NA	
MER0064533	NA	MEROPS	NA	
MER0064713	"glycosylphosphatidylinositol:protein transamidase	"	MEROPS	NA	
MER0064741	NA	MEROPS	NA	
MER0064746	NA	MEROPS	NA	
MER0064864	"family S9 non-peptidase homologues	"	MEROPS	NA	
MER0065244	NA	MEROPS	NA	
MER0065989	family S8 non-peptidase homologues	MEROPS	NA	
MER0067170	family S33 unassigned peptidases	MEROPS	NA	
MER0073932	family S33 unassigned peptidases	MEROPS	NA	
MER0079834	carboxypeptidase Y	MEROPS	NA	
MER0080738	NA	MEROPS	NA	
MER0080921	NA	MEROPS	NA	
MER0080922	NA	MEROPS	NA	
MER0087541	NA	MEROPS	NA	
MER0090158	"GMP synthase	"	MEROPS	NA	
MER0090831	subfamily A1A unassigned peptidases	MEROPS	NA	
MER0093089	NA	MEROPS	NA	
MER0096282	NA	MEROPS	NA	
MER0099136	NA	MEROPS	NA	
MER0101148	NA	MEROPS	NA	
MER0107351	subfamily A1A unassigned peptidases	MEROPS	NA	
MER0109473	NA	MEROPS	NA	
MER0109583	deuterolysin	MEROPS	NA	
MER0114101	NA	MEROPS	NA	
MER0114178	NA	MEROPS	NA	
MER0114300	NA	MEROPS	NA	
MER0114579	NA	MEROPS	NA	
MER0118072	NA	MEROPS	NA	
MER0118505	NA	MEROPS	NA	
MER0119691	NA	MEROPS	NA	
MER0121047	family S33 unassigned peptidases	MEROPS	NA	
MER0122025	"peptidase T	"	MEROPS	NA	
MER0123675	NA	MEROPS	NA	
MER0124599	grifolisin	MEROPS	NA	
MER0125990	NA	MEROPS	NA	
MER0130181	NA	MEROPS	NA	
MER0130678	NA	MEROPS	NA	
MER0131500	NA	MEROPS	NA	
MER0160806	family C56 non-peptidase homologues	MEROPS	NA	
MER0167059	NA	MEROPS	NA	
MER0167067	NA	MEROPS	NA	
MER0173931	NA	MEROPS	NA	
MER0187495	NA	MEROPS	NA	
MER0187519	NA	MEROPS	NA	
MER0187528	NA	MEROPS	NA	
MER0188710	NA	MEROPS	NA	
MER0188786	NA	MEROPS	NA	
MER0194922	NA	MEROPS	NA	
MER0201858	family S9 unassigned peptidases	MEROPS	NA	
MER0202996	NA	MEROPS	NA	
MER0204230	NA	MEROPS	NA	
MER0204750	NA	MEROPS	NA	
MER0204874	"	subfamily A1A non-peptidase homologues"	MEROPS	NA	
MER0208727	NA	MEROPS	NA	
MER0209012	NA	MEROPS	NA	
MER0209177	NA	MEROPS	NA	
MER0209188	lysophospholipase II	MEROPS	NA	
MER0209297	family S33 non-peptidase homologues	MEROPS	NA	
MER0209434	NA	MEROPS	NA	
MER0210110	NA	MEROPS	NA	
MER0210192	NA	MEROPS	NA	
MER0210856	family S9 non-peptidase homologues	MEROPS	NA	
MER0211021	NA	MEROPS	NA	
MER0211190	NA	MEROPS	NA	
MER0211309	NA	MEROPS	NA	
MER0211573	NA	MEROPS	NA	
MER0212820	NA	MEROPS	NA	
MER0213217	NA	MEROPS	NA	
MER0213847	family S9 unassigned peptidases	MEROPS	NA	
MER0214202	NA	MEROPS	NA	
MER0214426	NA	MEROPS	NA	
MER0214563	NA	MEROPS	NA	
MER0214723	NA	MEROPS	NA	
MER0215464	NA	MEROPS	NA	
MER0215484	family S9 non-peptidase homologues	MEROPS	NA	
MER0215489	NA	MEROPS	NA	
MER0215532	NA	MEROPS	NA	
MER0220622	NA	MEROPS	NA	
MER0220675	family M6 unassigned peptidases	MEROPS	NA	
MER0220952	family S33 unassigned peptidases	MEROPS	NA	
MER0228949	"subfamily A1A unassigned peptidases	"	MEROPS	NA	
MER0229183	family M38 non-peptidase homologues	MEROPS	NA	
MER0229521	Mername-AA293 peptidase	MEROPS	NA	
MER0238105	subfamily A1A unassigned peptidases	MEROPS	NA	
MER0239537	family S9 non-peptidase homologues	MEROPS	NA	
MER0242197	NA	MEROPS	NA	
MER0242200	glycosylphosphatidylinositol:protein transamidase	MEROPS	NA	
MER0242202	glycosylphosphatidylinositol:protein transamidase	MEROPS	NA	
MER0254872	NA	MEROPS	NA	
MER0258435	NA	MEROPS	NA	
MER0273140	NA	MEROPS	NA	
MER0275595	NA	MEROPS	NA	
MER0276430	NA	MEROPS	NA	
MER0279945	NA	MEROPS	NA	
MER0280073	carboxypeptidase OcpB	MEROPS	NA	
MER0280243	NA	MEROPS	NA	
MER0281239	NA	MEROPS	NA	
MER0287564	"subfamily M43B unassigned peptidases	"	MEROPS	NA	
MER0295435	deuterolysin	MEROPS	NA	
MER0295437	NA	MEROPS	NA	
MER0295438	NA	MEROPS	NA	
MER0295895	NA	MEROPS	NA	
MER0295896	NA	MEROPS	NA	
MER0295897	NA	MEROPS	NA	
MER0296701	carboxypeptidase Y	MEROPS	NA	
MER0296714	NA	MEROPS	NA	
MER0296715	NA	MEROPS	NA	
MER0296717	NA	MEROPS	NA	
MER0296884	"kex carboxypeptidase	"	MEROPS	NA	
MER0296885	NA	MEROPS	NA	
MER0296926	NA	MEROPS	NA	
MER0297003	NA	MEROPS	NA	
MER0297012	NA	MEROPS	NA	
MER0305009	NA	MEROPS	NA	
MER0305109	NA	MEROPS	NA	
MER0305119	acid prolyl endopeptidase ({Aspergillus} sp.)	MEROPS	NA	
MER0305138	acid prolyl endopeptidase	MEROPS	NA	
MER0305143	NA	MEROPS	NA	
MER0306630	"family C48 unassigned peptidases	"	MEROPS	NA	
MER0308295	NA	MEROPS	NA	
MER0308564	NA	MEROPS	NA	
MER0313342	family M77 unassigned peptidases	MEROPS	NA	
MER0314821	NA	MEROPS	NA	
MER0314841	NA	MEROPS	NA	
MER0314866	NA	MEROPS	NA	
MER0314882	NA	MEROPS	NA	
MER0319665	NA	MEROPS	NA	
MER0325030	NA	MEROPS	NA	
MER0325032	NA	MEROPS	NA	
MER0349783	NA	MEROPS	NA	
MER0349865	NA	MEROPS	NA	
MER0349890	NA	MEROPS	NA	
MER0350221	NA	MEROPS	NA	
MER0350469	NA	MEROPS	NA	
MER0350546	NA	MEROPS	NA	
MER0355678	NA	MEROPS	NA	
MER0356205	NA	MEROPS	NA	
MER0365567	NA	MEROPS	NA	
MER0366015	NA	MEROPS	NA	
MER0374691	NA	MEROPS	NA	
MER0378835	NA	MEROPS	NA	
MER0378848	NA	MEROPS	NA	
MER0378941	NA	MEROPS	NA	
MER0378947	NA	MEROPS	NA	
MER0382075	NA	MEROPS	NA	
MER0382079	NA	MEROPS	NA	
MER0382088	NA	MEROPS	NA	
MER0382286	NA	MEROPS	NA	
MER0383311	NA	MEROPS	NA	
MER0383344	NA	MEROPS	NA	
MER0383470	NA	MEROPS	NA	
MER0383474	NA	MEROPS	NA	
MER0383531	NA	MEROPS	NA	
MER0383576	NA	MEROPS	NA	
MER0383609	NA	MEROPS	NA	
MER0383625	NA	MEROPS	NA	
MER0383630	subfamily A1A unassigned peptidases	MEROPS	NA	
MER0383643	NA	MEROPS	NA	
MER0383686	NA	MEROPS	NA	
MER0383704	NA	MEROPS	NA	
MER0383705	NA	MEROPS	NA	
MER0383713	NA	MEROPS	NA	
MER0383724	NA	MEROPS	NA	
MER0383730	subfamily A1A unassigned peptidases	MEROPS	NA	
MER0383736	NA	MEROPS	NA	
MER0383780	NA	MEROPS	NA	
MER0383788	NA	MEROPS	NA	
MER0383814	NA	MEROPS	NA	
MER0383819	NA	MEROPS	NA	
MER0383832	NA	MEROPS	NA	
MER0383872	NA	MEROPS	NA	
MER0383880	NA	MEROPS	NA	
MER0383910	NA	MEROPS	NA	
MER0383915	NA	MEROPS	NA	
MER0383966	barrierpepsin	MEROPS	NA	
MER0383999	NA	MEROPS	NA	
MER0384103	NA	MEROPS	NA	
MER0384133	NA	MEROPS	NA	
MER0384160	NA	MEROPS	NA	
MER0384170	NA	MEROPS	NA	
MER0384193	NA	MEROPS	NA	
MER0384250	NA	MEROPS	NA	
MER0384279	NA	MEROPS	NA	
MER0384301	NA	MEROPS	NA	
MER0384340	NA	MEROPS	NA	
MER0389931	NA	MEROPS	NA	
MER0401497	NA	MEROPS	NA	
MER0402064	NA	MEROPS	NA	
MER0402219	subfamily S8A unassigned peptidases	MEROPS	NA	
MER0402318	NA	MEROPS	NA	
MER0402352	kexin	MEROPS	NA	
MER0408764	NA	MEROPS	NA	
MER0414073	NA	MEROPS	NA	
MER0421114	NA	MEROPS	NA	
MER0421119	NA	MEROPS	NA	
MER0424902	NA	MEROPS	NA	
MER0425491	subfamily A1A unassigned peptidases	MEROPS	NA	
MER0425752	NA	MEROPS	NA	
MER0425754	NA	MEROPS	NA	
MER0428589	NA	MEROPS	NA	
MER0449393	imidazoleglycerol-phosphate synthase	MEROPS	NA	
MER0472968	NA	MEROPS	NA	
MER0474671	NA	MEROPS	NA	
MER0496058	NA	MEROPS	NA	
MER0496059	NA	MEROPS	NA	
MER0496069	NA	MEROPS	NA	
MER0496070	NA	MEROPS	NA	
MER0507688	family S33 unassigned peptidases	MEROPS	NA	
MER0511150	NA	MEROPS	NA	
MER0511172	NA	MEROPS	NA	
MER0511360	NA	MEROPS	NA	
MER0511361	NA	MEROPS	NA	
MER0536151	NA	MEROPS	NA	
MER0549739	NA	MEROPS	NA	
MER0624524	NA	MEROPS	NA	
MER0624541	family S9 unassigned peptidases	MEROPS	NA	
MER0624725	NA	MEROPS	NA	
MER0624820	NA	MEROPS	NA	
MER0625115	NA	MEROPS	NA	
MER0625340	NA	MEROPS	NA	
MER0625601	NA	MEROPS	NA	
MER0625803	NA	MEROPS	NA	
MER0625808	NA	MEROPS	NA	
MER0625945	family S33 unassigned peptidases	MEROPS	NA	
MER0625950	NA	MEROPS	NA	
MER0626102	NA	MEROPS	NA	
MER0626147	NA	MEROPS	NA	
MER0626149	family S33 unassigned peptidases	MEROPS	NA	
MER0656118	NA	MEROPS	NA	
MER0688976	NA	MEROPS	NA	
MER0693594	subfamily A1A unassigned peptidases	MEROPS	NA	
MER0693873	NA	MEROPS	NA	
MER0694303	subfamily A1A unassigned peptidases	MEROPS	NA	
MER0760805	NA	MEROPS	NA	
MER0760948	NA	MEROPS	NA	
MER0761007	peptidase B inhibitor (fungus)	MEROPS	NA	
MER0761051	peptidase B inhibitor (fungus)	MEROPS	NA	
MER0761149	NA	MEROPS	NA	
MER0785864	NA	MEROPS	NA	
MER0833534	subfamily M14A unassigned peptidases	MEROPS	NA	
MER0834062	subfamily M14A unassigned peptidases	MEROPS	NA	
MER0834156	"subfamily M14A unassigned peptidases	"	MEROPS	NA	
MER0834757	"subfamily M14A unassigned peptidases	"	MEROPS	NA	
MER0842434	subfamily M20D non-peptidase homologues	MEROPS	NA	
MER0845095	NA	MEROPS	NA	
MER0845695	subfamily M20D non-peptidase homologues	MEROPS	NA	
MER0848649	subfamily M20D non-peptidase homologues	MEROPS	NA	
MER0850829	NA	MEROPS	NA	
MER0851575	NA	MEROPS	NA	
MER0853622	NA	MEROPS	NA	
MER0854697	NA	MEROPS	NA	
MER0874598	NA	MEROPS	NA	
MER0881738	NA	MEROPS	NA	
MER0881927	subfamily M43B unassigned peptidases	MEROPS	NA	
MER0882052	metallopeptidase MEP1 ({Metarhizium}-type)	MEROPS	NA	
MER0882059	subfamily M43B unassigned peptidases	MEROPS	NA	
MER0902462	NA	MEROPS	NA	
MER0903139	NA	MEROPS	NA	
MER0947474	carboxypeptidase OcpB	MEROPS	NA	
MER0954117	"subfamily S1A unassigned peptidases	"	MEROPS	NA	
MER0967802	NA	MEROPS	NA	
MER0968917	NA	MEROPS	NA	
MER0970307	NA	MEROPS	NA	
MER0970662	NA	MEROPS	NA	
MER0972305	NA	MEROPS	NA	
MER0972514	NA	MEROPS	NA	
MER0974079	NA	MEROPS	NA	
MER0975090	NA	MEROPS	NA	
MER0975367	NA	MEROPS	NA	
MER0975454	NA	MEROPS	NA	
MER0975957	NA	MEROPS	NA	
MER0976426	"subfamily S8A unassigned peptidases	"	MEROPS	NA	
MER0976651	NA	MEROPS	NA	
MER0977078	family S53 unassigned peptidases	MEROPS	NA	
MER0979320	NA	MEROPS	NA	
MER0979722	"subfamily S8A unassigned peptidases	"	MEROPS	NA	
MER0979965	"subfamily S8A unassigned peptidases	"	MEROPS	NA	
MER0983324	NA	MEROPS	NA	
MER0983684	NA	MEROPS	NA	
MER0985053	NA	MEROPS	NA	
MER0985130	NA	MEROPS	NA	
MER0988519	NA	MEROPS	NA	
MER0988946	NA	MEROPS	NA	
MER0998302	NA	MEROPS	NA	
MER0999770	NA	MEROPS	NA	
MER1003490	NA	MEROPS	NA	
MER1005208	NA	MEROPS	NA	
MER1005478	NA	MEROPS	NA	
MER1005925	NA	MEROPS	NA	
MER1007435	NA	MEROPS	NA	
MER1008241	family S12 unassigned peptidases	MEROPS	NA	
MER1009650	family S12 unassigned peptidases	MEROPS	NA	
MER1010109	NA	MEROPS	NA	
MER1027628	NA	MEROPS	NA	
MER1047786	NA	MEROPS	NA	
MER1047980	NA	MEROPS	NA	
MER1051527	NA	MEROPS	NA	
MER1058581	NA	MEROPS	NA	
MER1060381	NA	MEROPS	NA	
MER1060383	NA	MEROPS	NA	
MER1065333	NA	MEROPS	NA	
