1433_CANAL,SIMILARITY: Belongs to the 14-3-3 family.
C1G1Q2_PARBD,CATALYTIC ACTIVITY: CTP + phosphatidate = diphosphate + CDP- diacylglycerol.
C1G2S7_PARBD,Unknown
C1G323_PARBD,Unknown
C1G373_PARBD,SIMILARITY: Contains 1 PCI domain.
C1G3C3_PARBD,Unknown
C1G3N5_PARBD,CATALYTIC ACTIVITY: Thioredoxin + NADP(+) = thioredoxin disulfide + NADPH.
C1G3Y7_PARBD,CATALYTIC ACTIVITY: ATP + D-ribose 5-phosphate = AMP + 5-phospho- alpha-D-ribose 1-diphosphate.
C1G452_PARBD,Unknown
C1G479_PARBD,Unknown
C1G541_PARBD,SIMILARITY: Belongs to the TCP-1 chaperonin family.
C1G658_PARBD,Unknown
C1G696_PARBD,SIMILARITY: Belongs to the ferrochelatase family.
C1G6E6_PARBD,SIMILARITY: Belongs to the thiolase family.
C1G787_PARBD,FUNCTION: Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins (By similarity).
C1G7L1_PARBD,Unknown
C1G7S0_PARBD,COFACTOR: Iron (By similarity).
C1G7T1_PARBD,Unknown
C1G801_PARBD,Unknown
C1G8Q1_PARBD,Unknown
C1G9A7_PARBD,Unknown
C1G9P8_PARBD,Unknown
C1GA26_PARBD,SIMILARITY: Belongs to the GHMP kinase family.
C1GA89_PARBD,Unknown
C1GBB9_PARBD,Unknown
C1GC36_PARBD,Unknown
C1GCG7_PARBD,PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; N(2)- acetyl-L-ornithine from L-glutamate.
C1GCT8_PARBD,Unknown
C1GD67_PARBD,SIMILARITY: Contains 1 PpiC domain.
C1GDS4_PARBD,Unknown
C1GDU0_PARBD,Unknown
C1GE78_PARBD,Unknown
C1GFM5_PARBD,Unknown
C1GG64_PARBD,Unknown
C1GGI3_PARBD,Unknown
C1GGS9_PARBD,SIMILARITY: Belongs to the eukaryotic-type primase small subunit family.
C1GGW7_PARBD,Unknown
C1GGZ6_PARBD,Unknown
C1GI69_PARBD,Unknown
C1GIB2_PARBD,Unknown
C1GIT4_PARBD,Unknown
C1GJM3_PARBD,Unknown
C1GJS5_PARBD,Unknown
C1GL98_PARBD,Unknown
C1GLI4_PARBD,Unknown
C1GLV1_PARBD,SIMILARITY: Belongs to the small GTPase superfamily. Rab family.
C1GM22_PARBD,FUNCTION: Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha-chain (By similarity).
C1GM25_PARBD,Unknown
C1GM83_PARBD,Unknown
C1GM90_PARBD,SIMILARITY: Contains 1 CRAL-TRIO domain.
C1GMG4_PARBD,SIMILARITY: Belongs to the DEAD box helicase family.
C1GMY5_PARBD,Unknown
C1GN18_PARBD,Unknown
C1GN68_PARBD,Unknown
C1K9I8_FUSOX,Unknown
C1KJG7_MAGOR,Unknown
C1KJG8_MAGOR,Unknown
C1KJG9_MAGOR,Unknown
C1KJH1_MAGOR,Unknown
C1KJH3_MAGOR,Unknown
C1KJH4_MAGOR,Unknown
C1KJH5_MAGOR,Unknown
C1KJH7_MAGOR,Unknown
C1KJH8_MAGOR,Unknown
C1KJH9_MAGOR,Unknown
C1KJI0_MAGOR,Unknown
C1KJI1_MAGOR,Unknown
C1KJI3_MAGOR,Unknown
C1KJI4_MAGOR,Unknown
C1KJI7_MAGOR,Unknown
C1KJI8_MAGOR,Unknown
C1KJJ1_MAGOR,Unknown
C1KJJ2_MAGOR,Unknown
C1KJJ3_MAGOR,Unknown
C1KJJ4_MAGOR,Unknown
C1KJJ6_MAGOR,Unknown
C1KJJ7_MAGOR,Unknown
C1KJJ8_MAGOR,Unknown
C1KJJ9_MAGOR,Unknown
C1KJK1_MAGOR,Unknown
C1KJK3_MAGOR,Unknown
C4B8B7_MAGOR,Unknown
C4B8B8_MAGOR,Unknown
C4B8B9_MAGOR,Unknown
C4B8C0_MAGOR,Unknown
C4B8C1_MAGOR,Unknown
C4B8C2_MAGOR,Unknown
C4JU45_UNCRE,Unknown
C4MEZ6_CRYGA,CATALYTIC ACTIVITY: ATP + a protein = ADP + a phosphoprotein.
C4YCM3_CANAW,Unknown
C4YDB0_CANAW,PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; N(2)- acetyl-L-ornithine from L-glutamate.
C4YEJ6_CANAW,SIMILARITY: Contains 1 PpiC domain.
C4YES7_CANAW,SIMILARITY: Belongs to the small GTPase superfamily. Rab family.
C4YET9_CANAW,Unknown
C4YFW2_CANAW,Unknown
C4YFW6_CANAW,SIMILARITY: Belongs to the TCP-1 chaperonin family.
C4YG18_CANAW,Unknown
C4YGE9_CANAW,Unknown
C4YGN4_CANAW,Unknown
C4YH28_CANAW,Unknown
C4YHT8_CANAW,FUNCTION: Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins (By similarity).
C4YIG4_CANAW,CATALYTIC ACTIVITY: D-erythro-1-(imidazol-4-yl)glycerol 3- phosphate = 3-(imidazol-4-yl)-2-oxopropyl phosphate + H(2)O.
C4YII6_CANAW,SIMILARITY: Belongs to the DEAD box helicase family.
C4YIU6_CANAW,Unknown
C4YJK4_CANAW,CATALYTIC ACTIVITY: ATP + D-ribose 5-phosphate = AMP + 5-phospho- alpha-D-ribose 1-diphosphate.
C4YJX4_CANAW,Unknown
C4YKG1_CANAW,Unknown
C4YKI2_CANAW,Unknown
C4YKU8_CANAW,Unknown
C4YKV7_CANAW,Unknown
C4YL11_CANAW,SIMILARITY: Belongs to the small GTPase superfamily. Rab family.
C4YL48_CANAW,Unknown
C4YM45_CANAW,Unknown
C4YMU1_CANAW,Unknown
C4YMU9_CANAW,FUNCTION: Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha-chain (By similarity).
C4YN15_CANAW,Unknown
C4YNI1_CANAW,Unknown
C4YNV8_CANAW,Unknown
C4YNX8_CANAW,Unknown
C4YP33_CANAW,Unknown
C4YPV8_CANAW,Unknown
C4YPY8_CANAW,Unknown
C4YQC5_CANAW,Unknown
C4YQU5_CANAW,SIMILARITY: Contains 1 CRAL-TRIO domain.
C4YR14_CANAW,Unknown
C4YRF5_CANAW,CATALYTIC ACTIVITY: Thioredoxin + NADP(+) = thioredoxin disulfide + NADPH.
C4YS40_CANAW,Unknown
C4YT17_CANAW,Unknown
C4YTQ3_CANAW,Unknown
C5FHM9_ARTOC,Unknown
C5G6Q4_AJEDR,Unknown
C5G6R6_AJEDR,Unknown
C5G6X8_AJEDR,SIMILARITY: Contains 1 PpiC domain.
C5G7L2_AJEDR,SIMILARITY: Belongs to the class-I aminoacyl-tRNA synthetase family.
C5G8D3_AJEDR,Unknown
C5G9E7_AJEDR,Unknown
C5GA89_AJEDR,Unknown
C5GAK9_AJEDR,Unknown
C5GC66_AJEDR,Unknown
C5GCD1_AJEDR,Unknown
C5GCN5_AJEDR,Unknown
C5GDC1_AJEDR,Unknown
C5GDV2_AJEDR,Unknown
C5GEJ4_AJEDR,Unknown
C5GFA3_AJEDR,Unknown
C5GFB0_AJEDR,SIMILARITY: Contains 1 CRAL-TRIO domain.
C5GFG3_AJEDR,FUNCTION: Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins (By similarity).
C5GGD1_AJEDR,CATALYTIC ACTIVITY: Thioredoxin + NADP(+) = thioredoxin disulfide + NADPH.
C5GGD9_AJEDR,Unknown
C5GH04_AJEDR,SIMILARITY: Belongs to the DEAD box helicase family.
C5GHC7_AJEDR,Unknown
C5GHJ0_AJEDR,SIMILARITY: Belongs to the GHMP kinase family.
C5GHR8_AJEDR,Unknown
C5GHY1_AJEDR,Unknown
C5GIT7_AJEDR,SIMILARITY: Belongs to the thiolase family.
C5GKQ2_AJEDR,Unknown
C5GNK0_AJEDR,Unknown
C5GNL4_AJEDR,COFACTOR: Iron (By similarity).
C5GNL7_AJEDR,Unknown
C5GNV8_AJEDR,SIMILARITY: Belongs to the TCP-1 chaperonin family.
C5GNX0_AJEDR,CATALYTIC ACTIVITY: CTP + phosphatidate = diphosphate + CDP- diacylglycerol.
C5GPC5_AJEDR,Unknown
C5GPL4_AJEDR,Unknown
C5GQ05_AJEDR,Unknown
C5GQD4_AJEDR,PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; N(2)- acetyl-L-ornithine from L-glutamate.
C5GR28_AJEDR,Unknown
C5GRC3_AJEDR,Unknown
C5GRJ2_AJEDR,Unknown
C5GS26_AJEDR,SIMILARITY: Belongs to the small GTPase superfamily. Rab family.
C5GS76_AJEDR,SIMILARITY: Contains 1 PCI domain.
C5GS89_AJEDR,Unknown
C5GSC7_AJEDR,FUNCTION: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex (By similarity).
C5GSW0_AJEDR,Unknown
C5GT68_AJEDR,Unknown
C5GT93_AJEDR,Unknown
C5GU56_AJEDR,Unknown
C5GV17_AJEDR,CATALYTIC ACTIVITY: ATP + D-ribose 5-phosphate = AMP + 5-phospho- alpha-D-ribose 1-diphosphate.
C5GVQ4_AJEDR,Unknown
C5GVY6_AJEDR,FUNCTION: Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha-chain (By similarity).
C5GWE1_AJEDR,Unknown
C5GWH6_AJEDR,Unknown
C5GWL2_AJEDR,Unknown
C5GX01_AJEDR,Unknown
C5GXJ3_AJEDR,Unknown
C5GXR7_AJEDR,FUNCTION: Catalyzes the ferrous insertion into protoporphyrin IX (By similarity).
C5GXV5_AJEDR,Unknown
C5GYF3_AJEDR,Unknown
C5J0G7_MYCGR,Unknown
C5JHS1_AJEDS,Unknown
C5JLM0_AJEDS,Unknown
C5JMT3_AJEDS,Unknown
C5JW68_AJEDS,Unknown
C5MK57_MYCGR,Unknown
C5NS41_PYTOL,Unknown
C5NS42_PYTOL,Unknown
C5NS43_PYTOL,Unknown
C5NSJ4_PICPA,CATALYTIC ACTIVITY: Thioredoxin + NADP(+) = thioredoxin disulfide + NADPH.
C6H5E7_AJECH,Unknown
C6K2F1_MYCGR,SIMILARITY: Contains 1 SAM (sterile alpha motif) domain.
C6KEF4_MYCGR,SIMILARITY: Contains 1 SAM (sterile alpha motif) domain.
C6KEF5_MYCGR,CATALYTIC ACTIVITY: ATP + a protein = ADP + a phosphoprotein.
C7G480_9EURO,Unknown
C7GIS7_YEAS2,FUNCTION: Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins (By similarity).
C7GJ29_YEAS2,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
C7GJ52_YEAS2,SIMILARITY: Belongs to the class-I aminoacyl-tRNA synthetase family.
C7GJF6_YEAS2,SIMILARITY: Belongs to the bZIP family.
C7GJG4_YEAS2,SIMILARITY: Belongs to the eukaryotic-type primase small subunit family.
C7GK18_YEAS2,CATALYTIC ACTIVITY: S-adenosyl-L-methionine = (5-deoxy-5- adenosyl)(3-aminopropyl)-methylsulfonium salt + CO(2).
C7GK31_YEAS2,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
C7GLC6_YEAS2,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
C7GLK7_YEAS2,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
C7GM24_YEAS2,CATALYTIC ACTIVITY: CTP + phosphatidate = diphosphate + CDP- diacylglycerol.
C7GM39_YEAS2,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
C7GMH1_YEAS2,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
C7GMI1_YEAS2,CATALYTIC ACTIVITY: Thioredoxin + NADP(+) = thioredoxin disulfide + NADPH.
C7GMI4_YEAS2,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
C7GMW6_YEAS2,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
C7GMY8_YEAS2,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
C7YXF5_NECH7,Unknown
C7ZLR4_NECH7,Unknown
C9W9H0_PICAN,Unknown
CANB_CRYNB,FUNCTION: Regulatory subunit of calcineurin, a calcium-dependent, calmodulin stimulated protein phosphatase. Confers calcium sensitivity. Plays a central role in virulence and antifungal drug action (By similarity).
CANB_CRYNJ,FUNCTION: Regulatory subunit of calcineurin, a calcium-dependent, calmodulin stimulated protein phosphatase. Confers calcium sensitivity. Plays a central role in virulence and antifungal drug action.
CARP1_CANAL,CATALYTIC ACTIVITY: Preferential cleavage at the carboxyl of hydrophobic amino acids, but fails to cleave 15-Leu-|-Tyr-16, 16- Tyr-|-Leu-17 and 24-Phe-|-Phe-25 of insulin B chain. Activates trypsinogen, and degrades keratin.
CARP2_CANAL,CATALYTIC ACTIVITY: Preferential cleavage at the carboxyl of hydrophobic amino acids, but fails to cleave 15-Leu-|-Tyr-16, 16- Tyr-|-Leu-17 and 24-Phe-|-Phe-25 of insulin B chain. Activates trypsinogen, and degrades keratin.
CARP3_CANAL,CATALYTIC ACTIVITY: Preferential cleavage at the carboxyl of hydrophobic amino acids, but fails to cleave 15-Leu-|-Tyr-16, 16- Tyr-|-Leu-17 and 24-Phe-|-Phe-25 of insulin B chain. Activates trypsinogen, and degrades keratin.
CARP4_CANAL,CATALYTIC ACTIVITY: Preferential cleavage at the carboxyl of hydrophobic amino acids, but fails to cleave 15-Leu-|-Tyr-16, 16- Tyr-|-Leu-17 and 24-Phe-|-Phe-25 of insulin B chain. Activates trypsinogen, and degrades keratin.
CARP5_CANAL,CATALYTIC ACTIVITY: Preferential cleavage at the carboxyl of hydrophobic amino acids, but fails to cleave 15-Leu-|-Tyr-16, 16- Tyr-|-Leu-17 and 24-Phe-|-Phe-25 of insulin B chain. Activates trypsinogen, and degrades keratin.
CARP6_CANAL,CATALYTIC ACTIVITY: Preferential cleavage at the carboxyl of hydrophobic amino acids, but fails to cleave 15-Leu-|-Tyr-16, 16- Tyr-|-Leu-17 and 24-Phe-|-Phe-25 of insulin B chain. Activates trypsinogen, and degrades keratin.
CARP7_CANAL,CATALYTIC ACTIVITY: Preferential cleavage at the carboxyl of hydrophobic amino acids, but fails to cleave 15-Leu-|-Tyr-16, 16- Tyr-|-Leu-17 and 24-Phe-|-Phe-25 of insulin B chain. Activates trypsinogen, and degrades keratin.
CARP8_CANAL,CATALYTIC ACTIVITY: Preferential cleavage at the carboxyl of hydrophobic amino acids, but fails to cleave 15-Leu-|-Tyr-16, 16- Tyr-|-Leu-17 and 24-Phe-|-Phe-25 of insulin B chain. Activates trypsinogen, and degrades keratin.
CARP9_CANAL,CATALYTIC ACTIVITY: Preferential cleavage at the carboxyl of hydrophobic amino acids, but fails to cleave 15-Leu-|-Tyr-16, 16- Tyr-|-Leu-17 and 24-Phe-|-Phe-25 of insulin B chain. Activates trypsinogen, and degrades keratin.
CARP_ARTBC,FUNCTION: Vacuolar aspartic endopeptidase which is probably also secreted and contributes to virulence (By similarity).
CARP_ASPFU,FUNCTION: Vacuolar aspartic endopeptidase which is probably also secreted and contributes to virulence.
CARP_TRIVH,FUNCTION: Vacuolar aspartic endopeptidase which is probably also secreted and contributes to virulence (By similarity).
CAS1_CRYNJ,FUNCTION: Probable O-acetyltransferase required for the O- acetylation of the capsular glucoronoxylmannans (GXM) involved in virulence.
CATA_CANAL,FUNCTION: Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide. Required for hyphal growth.
CCR4_CANAL,FUNCTION: Acts as catalytic component of the CCR4-NOT core complex, which in the nucleus seems to be a general transcription factor, and in the cytoplasm the major mRNA deadenylase involved in mRNA turnover. Ccr4 has 3'-5' RNase activity with a strong preference for polyadenylated substrates and also low exonuclease activity towards single stranded DNA. Discovered because of its role in the control of ADH2 gene expression. It is required for the expression of genes involved in non-fermentative growth (By similarity).
CDC10_CANAL,FUNCTION: Plays a role in the cell cycle. Involved in the formation of the ring of filaments in the neck region at the mother-bud junction during mitosis.
CDC42_CANAL,FUNCTION: Involved in hyphal formation, virulence, morphogenesis.
CEUL_OPHUL,FUNCTION: Has been implicated in the pathogenicity of this fungus on ELM. Accumulates at, and plugs intercellular openings in the xylem, or interacts with host parenchyma cells, thereby enhancing respiration and electrolyte loss.
CFT1_CRYNB,FUNCTION: RNA-binding component of the cleavage and polyadenylation factor (CPF) complex, which plays a key role in polyadenylation-dependent pre-mRNA 3'-end formation and cooperates with cleavage factors including the CFIA complex and NAB4/CFIB. Involved in poly(A) site recognition. May be involved in coupling transcription termination and mRNA 3'-end formation (By similarity).
CHS3_CANAL,FUNCTION: Formation and repair of the disk-shaped septum in yeast and the cross walls of the hyphal phase.
CHS5_USTMA,FUNCTION: Plays a major role in cell wall biogenesis. Required for the proper morphology of yeast-like cells. Involved in mating tube and dikaryotic hyphae formation. Essential for pathogenicity.
CHS6_USTMA,FUNCTION: Plays a major role in cell wall biogenesis. Involved in mating tube and dikaryotic hyphae formation. Essential for pathogenicity.
CHS7_CANAL,FUNCTION: Chaperone required for the export of the chitin synthase CHS3 from the endoplasmic reticulum (By similarity).
CLA4_CANAL,FUNCTION: Essential for virulence and morphological switching (hyphal formation) of C.albicans.
CTSD_ARTBC,FUNCTION: Probable GPI-anchored aspartic-type endopeptidase which contributes to virulence (By similarity).
CTSD_ARTOC,FUNCTION: Secreted aspartic-type endopeptidase which is secreted and contributes to virulence (By similarity).
CTSD_ASPFU,FUNCTION: Secreted aspartic-type endopeptidase which is secreted and contributes to virulence.
CTSD_TRIVH,FUNCTION: Probable GPI-anchored aspartic-type endopeptidase which contributes to virulence (By similarity).
CUTI1_COLGL,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection.
CUTI1_COLKA,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection.
CUTI1_FUSSO,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection.
CUTI2_COLGL,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection.
CUTI2_COLKA,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection.
CUTI2_FUSSO,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection (By similarity).
CUTI3_FUSSO,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection (By similarity).
CUTI_ALTBR,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection (By similarity).
CUTI_ASCRA,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection (By similarity).
CUTI_BOTFU,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection (By similarity).
CUTI_COLCA,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection.
CUTI_ERYGR,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection (By similarity).
CUTI_FUSSC,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection.
CUTI_MAGO7,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection.
CUTI_MONFR,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection (By similarity).
CUTI_PYRBR,FUNCTION: Catalyzes the hydrolysis of cutin, a polyester that forms the structure of plant cuticle. Allows pathogenic fungi to penetrate through the cuticular barrier into the host plant during the initial stage of the fungal infection (By similarity).
CXT1_CRYNJ,FUNCTION: Beta-1,2-xylosyltransferase that plays a key role in capsule polysaccharide synthesis by transferring xylose to alpha- 1,3-dimannoside in a beta-1,2-linkage. Also mediates glycosylation of glycosphingolipids; constitutes the unique xylosyltransferase responsible for adding xylose to glycosphingolipids.
CYAA_USTMA,FUNCTION: Plays essential roles in regulation of cellular metabolism by catalyzing the synthesis of a second messenger, cAMP.
D0MS91_PHYIT,Unknown
D0MS92_PHYIT,Unknown
D0MS93_PHYIT,Unknown
D0MS94_PHYIT,Unknown
D0MWI0_PHYIT,Unknown
D0MWJ5_PHYIT,Unknown
D0MWW1_PHYIT,Unknown
D0MXL6_PHYIT,Unknown
D0MY26_PHYIT,Unknown
D0N092_PHYIT,Unknown
D0N0T1_PHYIT,Unknown
D0N138_PHYIT,Unknown
D0N148_PHYIT,Unknown
D0N1P8_PHYIT,Unknown
D0N4P7_PHYIT,Unknown
D0N4P8_PHYIT,Unknown
D0N4Q0_PHYIT,Unknown
D0N5Q9_PHYIT,Unknown
D0N6R8_PHYIT,Unknown
D0N9G4_PHYIT,Unknown
D0N9K2_PHYIT,Unknown
D0N9P2_PHYIT,Unknown
D0N9P3_PHYIT,Unknown
D0N9P5_PHYIT,Unknown
D0NH20_PHYIT,Unknown
D0NH21_PHYIT,Unknown
D0NKT5_PHYIT,Unknown
D0NKT9_PHYIT,Unknown
D0NKU0_PHYIT,Unknown
D0NKU1_PHYIT,Unknown
D0NKU2_PHYIT,Unknown
D0NND4_PHYIT,Unknown
D0NUA6_PHYIT,Unknown
D0NUA7_PHYIT,Unknown
D0NUA8_PHYIT,Unknown
D0NUA9_PHYIT,Unknown
D0NUB0_PHYIT,Unknown
D0NUB1_PHYIT,Unknown
D0NUB2_PHYIT,Unknown
D0NUD3_PHYIT,Unknown
D0P0C5_PHYIT,Unknown
D0P0C7_PHYIT,Unknown
D0P227_PHYIT,Unknown
D0P3R6_PHYIT,Unknown
D0RMB8_PHYIT,Unknown
D0U2D2_FUSOX,Unknown
D1MGZ7_BEABA,SIMILARITY: Belongs to the peptidase S8 family.
D1MYV6_MAGGR,SIMILARITY: Contains 3 chitin-binding type-1 domains.
D2JLR3_9HYPO,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLR4_9HYPO,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLR5_9HYPO,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLR6_FUSBO,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLR7_9HYPO,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLR8_FUSCE,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLR9_FUSCU,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLS0_FUSEQ,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLS1_9HYPO,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLS2_9HYPO,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLS3_9HYPO,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLS4_FUSPO,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLS5_GIBPU,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLS6_9HYPO,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLS7_FUSSP,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLS8_9HYPO,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D2JLS9_9HYPO,SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA (By similarity).
D3JMW2_COLLN,Unknown
D3JMW3_9PEZI,Unknown
D3JMW6_9PEZI,Unknown
D3JMW8_9PEZI,Unknown
D3JMW9_9PEZI,Unknown
D3JMX2_9PEZI,Unknown
D3JMX4_9PEZI,Unknown
D3JMY0_9PEZI,Unknown
D3JMY1_COLDE,Unknown
D3JMY9_9PEZI,Unknown
D3JMZ0_9PEZI,Unknown
D3JMZ1_9PEZI,Unknown
D3JN01_9PEZI,Unknown
D3JN04_9PEZI,Unknown
